State,District,Year,Jowar,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2006 - 2007,"59,300.00","37,600.00",0.63,"1,44,100.00","1,15,800.00",0.8,,,,,,,,,
,,2007 - 2008,"50,300.00","84,400.00",1.68,"97,500.00","1,00,100.00",1.03,,,,,,,,,
,,2008 - 2009,"45,500.00","83,200.00",1.83,"1,64,800.00","1,31,000.00",0.79,,,,,,,,,
,,2009 - 2010,"46,800.00","70,600.00",1.51,"1,34,400.00","1,20,500.00",0.9,,,,,,,,,
,,2010 - 2011,"44,600.00","76,100.00",1.71,"1,33,800.00","1,05,200.00",0.79,,,,,,,,,
,,2011 - 2012,"36,300.00","65,100.00",1.79,"1,39,900.00","86,800.00",0.62,,,,,,,,,
,,2012 - 2013,"32,500.00","56,400.00",1.74,"1,23,600.00","70,700.00",0.57,,,,,,,,,
,,2013 - 2014,"29,700.00","52,800.00",1.78,"1,38,000.00","1,12,200.00",0.81,,,,,,,,,
,,2014 - 2015,"23,400.00","35,900.00",1.53,"1,45,600.00","1,27,100.00",0.87,,,,,,,,,
,,2015 - 2016,"24,800.00","30,500.00",1.23,"1,38,700.00","1,09,600.00",0.79,,,,,,,,,
,,2016 - 2017,"24,400.00","25,300.00",1.04,"1,49,600.00","1,08,800.00",0.73,,,,,,,,,
,,2017 - 2018,"24,100.00","33,100.00",1.37,"1,36,600.00","1,24,600.00",0.91,,,,,,,,,
,,2018 - 2019,"24,312.00","27,154.00",1.12,"1,25,460.00","97,200.00",0.77,,,,,,,,,
,,2019 - 2020,"26,269.00","18,280.00",0.7,"1,56,560.00","1,24,992.00",0.8,,,,,,,,,
,,2020 - 2021,"19,760.00","32,207.91",1.63,"1,32,301.63","1,34,538.15",1.02,,,,,,,,,
,,2021 - 2022,"16,553.00","22,248.89",1.34,"1,11,364.77","1,34,409.48",1.21,,,,,,,,,
,,2022 - 2023,"12,638.80","18,153.11",1.44,"1,12,894.96","1,15,350.43",1.02,,,,,,,,,
,28. Solapur,2000 - 2001,"2,100.00","1,600.00",0.76,"6,36,700.00","2,85,200.00",0.45,,,,,,,,,
,,2001 - 2002,700,500,0.71,"7,12,900.00","3,13,800.00",0.44,,,,,,,,,
,,2002 - 2003,"1,100.00",600,0.55,"6,72,100.00","2,25,400.00",0.34,,,,,,,,,
,,2003 - 2004,400,100,0.25,"6,13,700.00","28,600.00",0.05,,,,,,,,,
,,2004 - 2005,400,300,0.75,"6,86,900.00","3,02,600.00",0.44,,,,,,,,,
,,2005 - 2006,400,300,0.75,"7,07,000.00","3,61,100.00",0.51,,,,,,,,,
,,2006 - 2007,400,200,0.5,"7,11,300.00","3,42,200.00",0.48,,,,,,,,,
,,2007 - 2008,200,200,1,"6,17,800.00","3,51,500.00",0.57,,,,,,,,,
,,2008 - 2009,200,200,1,"6,87,500.00","4,06,000.00",0.59,,,,,,,,,
,,2009 - 2010,100,44,0.44,"6,57,600.00","4,00,700.00",0.61,,,,,,,,,
,,2010 - 2011,400,200,0.5,"6,41,200.00","3,80,600.00",0.59,,,,,,,,,
,,2011 - 2012,400,300,0.75,"4,82,600.00","1,93,000.00",0.4,,,,,,,,,
,,2012 - 2013,400,100,0.25,"4,80,700.00","1,32,900.00",0.28,,,,,,,,,
,,2013 - 2014,500,200,0.4,"5,65,800.00","3,04,500.00",0.54,,,,,,,,,
,,2014 - 2015,300,100,0.33,"6,22,800.00","3,54,100.00",0.57,,,,,,,,,
,,2015 - 2016,200,,0,"6,15,700.00","1,08,000.00",0.18,,,,,,,,,
,,2016 - 2017,200,80,0.4,"6,58,500.00","3,61,780.00",0.55,,,,,,,,,
,,2017 - 2018,,,,"6,56,900.00","3,70,080.00",0.56,,,,,,,,,
,,2018 - 2019,"3,688.00","1,819.00",0.49,"5,13,810.00","1,82,500.00",0.36,,,,,,,,,
,,2019 - 2020,"3,648.00",929,0.25,"4,62,614.00","3,15,047.00",0.68,,,,,,,,,
,,2020 - 2021,"3,112.67","1,921.76",0.62,"4,70,931.63","3,74,566.11",0.8,,,,,,,,,
,,2021 - 2022,"1,199.19","1,353.97",1.13,"4,58,397.74","3,74,300.09",0.82,,,,,,,,,
,,2022 - 2023,313.64,156.14,0.5,"2,51,430.71","1,95,660.86",0.78,,,,,,,,,
,29. Thane,2022 - 2023,,,,27.5,18.4,0.67,,,,,,,,,
,30. Wardha,2000 - 2001,"43,100.00","43,900.00",1.02,"1,800.00",500,0.28,,,,,,,,,
,,2001 - 2002,"36,100.00","34,900.00",0.97,"1,700.00",800,0.47,,,,,,,,,
,,2002 - 2003,"34,500.00","31,700.00",0.92,700,200,0.29,,,,,,,,,
,,2003 - 2004,"29,800.00","29,300.00",0.98,500,200,0.4,,,,,,,,,
,,2004 - 2005,"25,200.00","22,600.00",0.9,600,200,0.33,,,,,,,,,
,,2005 - 2006,"19,800.00","16,000.00",0.81,800,300,0.38,,,,,,,,,
,,2006 - 2007,"15,600.00","13,300.00",0.85,500,200,0.4,,,,,,,,,
,,2007 - 2008,"10,400.00","7,800.00",0.75,600,300,0.5,,,,,,,,,
,,2008 - 2009,"4,300.00","1,500.00",0.35,300,100,0.33,,,,,,,,,
,,2009 - 2010,"3,700.00","1,700.00",0.46,"1,300.00",700,0.54,,,,,,,,,
,,2010 - 2011,"3,100.00","1,500.00",0.48,"1,200.00",700,0.58,,,,,,,,,
,,2011 - 2012,"3,200.00","2,300.00",0.72,600,300,0.5,,,,,,,,,
,,2012 - 2013,"4,000.00","3,500.00",0.88,800,800,1,,,,,,,,,
,,2013 - 2014,"3,000.00",700,0.23,"3,500.00","2,200.00",0.63,,,,,,,,,
,,2014 - 2015,"4,000.00","1,700.00",0.43,"2,400.00","1,100.00",0.46,,,,,,,,,
,,2015 - 2016,"4,300.00","2,200.00",0.51,"2,200.00",800,0.36,,,,,,,,,
,,2016 - 2017,"3,600.00","1,800.00",0.5,"1,900.00","1,100.00",0.58,,,,,,,,,
,,2017 - 2018,"3,000.00","1,300.00",0.43,"3,500.00","2,600.00",0.74,,,,,,,,,
,,2018 - 2019,"2,269.00",553,0.24,"5,090.00","2,600.00",0.51,,,,,,,,,
,,2019 - 2020,747,167,0.22,"4,598.00","2,592.00",0.56,,,,,,,,,
,,2020 - 2021,739.66,159.39,0.22,"4,358.41","2,657.86",0.61,,,,,,,,,
,,2021 - 2022,651.65,139.65,0.21,"1,068.40",928.78,0.87,,,,"1,189.61",989.07,0.83,,,
,,2022 - 2023,306.78,11.22,0.04,"1,004.69",841.68,0.84,,,,,,,,,
,31. Washim,2000 - 2001,"66,800.00","79,900.00",1.2,"1,500.00","1,000.00",0.67,,,,,,,,,
,,2001 - 2002,"66,300.00","80,800.00",1.22,"1,300.00","1,400.00",1.08,,,,,,,,,
,,2002 - 2003,"62,700.00","73,900.00",1.18,900,700,0.78,,,,,,,,,
,,2003 - 2004,"59,300.00","77,200.00",1.3,700,500,0.71,,,,,,,,,
,,2004 - 2005,"52,500.00","53,300.00",1.02,600,200,0.33,,,,,,,,,
,,2005 - 2006,"49,100.00","55,400.00",1.13,700,600,0.86,,,,,,,,,
,,2006 - 2007,"50,600.00","65,000.00",1.28,800,700,0.88,,,,,,,,,
,,2007 - 2008,"40,600.00","60,100.00",1.48,700,800,1.14,,,,,,,,,
,,2008 - 2009,"29,900.00","45,000.00",1.51,300,300,1,,,,,,,,,
,,2009 - 2010,"25,600.00","38,900.00",1.52,200,200,1,,,,,,,,,
,,2010 - 2011,"26,500.00","30,000.00",1.13,300,300,1,,,,,,,,,
,,2011 - 2012,"17,700.00","20,400.00",1.15,300,300,1,,,,,,,,,
,,2012 - 2013,"15,900.00","19,500.00",1.23,300,200,0.67,,,,,,,,,
,,2013 - 2014,"15,000.00","8,100.00",0.54,400,300,0.75,,,,,,,,,
,,2014 - 2015,"10,000.00","7,500.00",0.75,"1,600.00","1,300.00",0.81,,,,,,,,,
,,2015 - 2016,"9,600.00","4,300.00",0.45,"2,100.00","1,200.00",0.57,,,,,,,,,
,,2016 - 2017,"7,600.00","5,700.00",0.75,"2,200.00","2,500.00",1.14,,,,,,,,,
,,2017 - 2018,"8,554.00","4,100.00",0.48,392,300,0.77,,,,,,,,,
,,2018 - 2019,"9,660.00","4,850.00",0.5,370,200,0.54,,,,,,,,,
,,2019 - 2020,"6,004.00","2,141.00",0.36,402,318,0.79,,,,,,,,,
,,2020 - 2021,"5,599.59","3,215.42",0.57,345.47,382.73,1.11,,,,,,,,,
,,2021 - 2022,"6,441.91","4,895.21",0.76,541.59,466.2,0.86,,,,172.4,143.34,0.83,,,
,,2022 - 2023,364.11,170.19,0.47,438.92,540.3,1.23,,,,539.7,448.72,0.83,,,
,32. Yavatmal,2000 - 2001,"1,54,400.00","1,70,200.00",1.1,100,100,1,,,,,,,,,
,,2001 - 2002,"1,45,500.00","1,59,200.00",1.09,100,100,1,,,,,,,,,
,,2002 - 2003,"1,39,400.00","1,64,600.00",1.18,100,100,1,,,,,,,,,
,,2003 - 2004,"1,29,100.00","1,32,800.00",1.03,"33,300.00","12,800.00",0.38,,,,,,,,,
,,2004 - 2005,"1,15,100.00","1,13,000.00",0.98,,,,,,,,,,,,
,,2005 - 2006,"1,15,000.00","88,400.00",0.77,,,,,,,,,,,,
,,2006 - 2007,"83,500.00","82,000.00",0.98,,,,,,,,,,,,
,,2007 - 2008,"81,700.00","88,400.00",1.08,,,,,,,,,,,,
,,2008 - 2009,"74,400.00","72,000.00",0.97,,,,,,,,,,,,
,,2009 - 2010,"71,600.00","37,600.00",0.53,,,,,,,,,,,,
,,2010 - 2011,"68,500.00","52,400.00",0.76,100,100,1,,,,,,,,,
,,2011 - 2012,"67,000.00","86,100.00",1.29,100,100,1,,,,,,,,,
,,2012 - 2013,"59,600.00","68,700.00",1.15,200,200,1,,,,,,,,,
,,2013 - 2014,"48,300.00","15,600.00",0.32,,,,,,,,,,,,
,,2014 - 2015,"43,100.00","19,200.00",0.45,"4,000.00","3,300.00",0.83,,,,,,,,,
,,2015 - 2016,"42,100.00","17,100.00",0.41,"5,900.00","3,300.00",0.56,,,,,,,,,
,,2016 - 2017,"29,900.00","13,500.00",0.45,"4,600.00","5,300.00",1.15,,,,,,,,,
,,2017 - 2018,"22,546.00","12,100.00",0.54,"1,326.00","1,000.00",0.75,,,,,,,,,
,,2018 - 2019,"14,471.00","4,845.00",0.33,"1,600.00",800,0.5,,,,,,,,,
,,2019 - 2020,"14,057.00","4,393.00",0.31,"2,459.00","1,942.00",0.79,,,,,,,,,
,,2020 - 2021,"14,057.03","5,299.64",0.38,"2,758.99","3,056.56",1.11,,,,,,,,,
,,2021 - 2022,"14,057.03","3,538.15",0.25,"2,758.98","2,374.90",0.86,,,,"1,717.79","1,428.21",0.83,,,
,,2022 - 2023,"4,901.09","1,093.43",0.22,"2,386.09","2,936.99",1.23,,,,"3,935.40","3,345.09",0.85,,,
15. Nagaland,1. Chumoukedima,2022 - 2023,5,4,0.8,,,,,,,,,,,,
,2. Dimapur,2000 - 2001,270,230,0.85,,,,,,,,,,,,
,,2001 - 2002,270,230,0.85,,,,,,,,,,,,
,,2002 - 2003,480,"1,210.00",2.52,,,,,,,,,,,,
,,2003 - 2004,450,810,1.8,,,,,,,,,,,,
,,2004 - 2005,420,850,2.02,,,,,,,,,,,,
,,2005 - 2006,140,350,2.5,,,,,,,,,,,,
,,2006 - 2007,220,200,0.91,,,,,,,,,,,,
,,2021 - 2022,12,10,0.83,,,,,,,,,,,,
,,2022 - 2023,9,8,0.89,,,,,,,,,,,,
,3. Kiphire,2021 - 2022,10,9,0.9,,,,,,,,,,,,
,,2022 - 2023,12,11,0.92,,,,,,,,,,,,
,4. Kohima,2000 - 2001,140,110,0.79,,,,,,,,,,,,
,,2001 - 2002,140,100,0.71,,,,,,,,,,,,
,,2002 - 2003,160,250,1.56,,,,,,,,,,,,
,,2003 - 2004,90,90,1,,,,,,,,,,,,
,,2004 - 2005,210,350,1.67,,,,,,,,,,,,
,,2005 - 2006,70,90,1.29,,,,,,,,,,,,
,,2006 - 2007,130,90,0.69,,,,,,,,,,,,
,,2007 - 2008,150,190,1.27,,,,,,,,,,,,
,,2008 - 2009,30,30,1,,,,,,,,,,,,
,,2009 - 2010,50,20,0.4,,,,,,,,,,,,
,,2010 - 2011,30,30,1,,,,,,,,,,,,
,,2011 - 2012,30,30,1,,,,,,,,,,,,
,,2012 - 2013,40,40,1,,,,,,,,,,,,
,,2013 - 2014,50,50,1,,,,,,,,,,,,
,,2014 - 2015,50,50,1,,,,,,,,,,,,
,,2015 - 2016,50,50,1,,,,,,,,,,,,
,,2016 - 2017,60,60,1,,,,,,,,,,,,
,,2017 - 2018,60,60,1,,,,,,,,,,,,
,,2018 - 2019,60,60,1,,,,,,,,,,,,
,,2019 - 2020,60,60,1,,,,,,,,,,,,
,,2020 - 2021,60,60,1,,,,,,,,,,,,
,,2021 - 2022,40,37,0.93,,,,,,,,,,,,
,,2022 - 2023,31,30,0.97,,,,,,,,,,,,
,5. Mokokchung,2000 - 2001,160,130,0.81,,,,,,,,,,,,
,,2001 - 2002,160,130,0.81,,,,,,,,,,,,
,,2002 - 2003,200,400,2,,,,,,,,,,,,
,,2003 - 2004,420,610,1.45,,,,,,,,,,,,
,,2004 - 2005,260,440,1.69,,,,,,,,,,,,
,,2005 - 2006,60,60,1,,,,,,,,,,,,
,,2006 - 2007,100,70,0.7,,,,,,,,,,,,
,,2007 - 2008,100,140,1.4,,,,,,,,,,,,
,6. Mon,2000 - 2001,150,130,0.87,,,,,,,,,,,,
,,2001 - 2002,130,140,1.08,,,,,,,,,,,,
,,2002 - 2003,190,410,2.16,,,,,,,,,,,,
,,2003 - 2004,530,920,1.74,,,,,,,,,,,,
,,2004 - 2005,260,370,1.42,,,,,,,,,,,,
,,2005 - 2006,50,70,1.4,,,,,,,,,,,,
,,2006 - 2007,100,80,0.8,,,,,,,,,,,,
,,2007 - 2008,110,140,1.27,,,,,,,,,,,,
,,2008 - 2009,50,60,1.2,,,,,,,,,,,,
,,2009 - 2010,70,30,0.43,,,,,,,,,,,,
,,2010 - 2011,30,20,0.67,,,,,,,,,,,,
,,2011 - 2012,30,20,0.67,,,,,,,,,,,,
,,2012 - 2013,50,50,1,,,,,,,,,,,,
,,2013 - 2014,60,60,1,,,,,,,,,,,,
,,2014 - 2015,60,60,1,,,,,,,,,,,,
,,2015 - 2016,60,60,1,,,,,,,,,,,,
,,2016 - 2017,60,60,1,,,,,,,,,,,,
,,2017 - 2018,60,60,1,,,,,,,,,,,,
,,2018 - 2019,60,60,1,,,,,,,,,,,,
,,2019 - 2020,60,60,1,,,,,,,,,,,,
,,2020 - 2021,60,60,1,,,,,,,,,,,,
,,2021 - 2022,40,34,0.85,,,,,,,,,,,,
,,2022 - 2023,46,41,0.89,,,,,,,,,,,,
,7. Noklak,2021 - 2022,36,35,0.97,,,,,,,,,,,,
,,2022 - 2023,42,42,1,,,,,,,,,,,,
,8. Phek,2000 - 2001,150,120,0.8,,,,,,,,,,,,
,,2001 - 2002,150,100,0.67,,,,,,,,,,,,
,,2002 - 2003,180,270,1.5,,,,,,,,,,,,
,,2003 - 2004,410,690,1.68,,,,,,,,,,,,
,,2004 - 2005,390,510,1.31,,,,,,,,,,,,
,,2005 - 2006,60,70,1.17,,,,,,,,,,,,
,,2006 - 2007,120,90,0.75,,,,,,,,,,,,
,,2007 - 2008,110,160,1.45,,,,,,,,,,,,
,,2008 - 2009,30,20,0.67,,,,,,,,,,,,
,,2009 - 2010,50,20,0.4,,,,,,,,,,,,
,,2010 - 2011,20,20,1,,,,,,,,,,,,
,,2011 - 2012,20,20,1,,,,,,,,,,,,
,,2012 - 2013,30,30,1,,,,,,,,,,,,
,,2013 - 2014,40,40,1,,,,,,,,,,,,
,,2014 - 2015,40,40,1,,,,,,,,,,,,
,,2015 - 2016,50,50,1,,,,,,,,,,,,
,,2016 - 2017,50,50,1,,,,,,,,,,,,
,,2017 - 2018,50,50,1,,,,,,,,,,,,
,,2018 - 2019,60,50,0.83,,,,,,,,,,,,
,,2019 - 2020,60,50,0.83,,,,,,,,,,,,
,,2020 - 2021,60,50,0.83,,,,,,,,,,,,
,,2021 - 2022,40,39,0.98,,,,,,,,,,,,
,,2022 - 2023,46,47,1.02,,,,,,,,,,,,
,9. Tseminyu,2022 - 2023,15,14,0.93,,,,,,,,,,,,
,10. Tuensang,2000 - 2001,200,170,0.85,,,,,,,,,,,,
,,2001 - 2002,220,160,0.73,,,,,,,,,,,,
,,2002 - 2003,270,550,2.04,,,,,,,,,,,,
,,2003 - 2004,560,920,1.64,,,,,,,,,,,,
,,2004 - 2005,280,470,1.68,,,,,,,,,,,,
,,2005 - 2006,50,50,1,,,,,,,,,,,,
,,2006 - 2007,110,80,0.73,,,,,,,,,,,,
,,2007 - 2008,110,140,1.27,,,,,,,,,,,,
,11. Wokha,2000 - 2001,230,200,0.87,,,,,,,,,,,,
,,2001 - 2002,230,200,0.87,,,,,,,,,,,,
,,2002 - 2003,280,580,2.07,,,,,,,,,,,,
,,2003 - 2004,270,490,1.81,,,,,,,,,,,,
,,2004 - 2005,380,530,1.39,,,,,,,,,,,,
,,2005 - 2006,70,80,1.14,,,,,,,,,,,,
,,2006 - 2007,110,60,0.55,,,,,,,,,,,,
,,2007 - 2008,120,150,1.25,,,,,,,,,,,,
,,2008 - 2009,10,10,1,,,,,,,,,,,,
,,2009 - 2010,30,10,0.33,,,,,,,,,,,,
,,2010 - 2011,20,20,1,,,,,,,,,,,,
,,2011 - 2012,20,20,1,,,,,,,,,,,,
,,2012 - 2013,30,30,1,,,,,,,,,,,,
,,2013 - 2014,40,30,0.75,,,,,,,,,,,,
,,2014 - 2015,50,40,0.8,,,,,,,,,,,,
,,2015 - 2016,50,40,0.8,,,,,,,,,,,,
,,2016 - 2017,50,40,0.8,,,,,,,,,,,,
,,2017 - 2018,50,40,0.8,,,,,,,,,,,,
,,2018 - 2019,50,50,1,,,,,,,,,,,,
,,2019 - 2020,50,50,1,,,,,,,,,,,,
,,2020 - 2021,50,50,1,,,,,,,,,,,,
,,2021 - 2022,40,39,0.98,,,,,,,,,,,,
,,2022 - 2023,46,47,1.02,,,,,,,,,,,,
,12. Zunheboto,2000 - 2001,200,160,0.8,,,,,,,,,,,,
,,2001 - 2002,200,140,0.7,,,,,,,,,,,,
,,2002 - 2003,240,330,1.38,,,,,,,,,,,,
,,2003 - 2004,270,470,1.74,,,,,,,,,,,,
,,2004 - 2005,300,480,1.6,,,,,,,,,,,,
,,2005 - 2006,50,50,1,,,,,,,,,,,,
,,2006 - 2007,110,80,0.73,,,,,,,,,,,,
,,2007 - 2008,100,130,1.3,,,,,,,,,,,,
,,2008 - 2009,20,10,0.5,,,,,,,,,,,,
,,2009 - 2010,40,20,0.5,,,,,,,,,,,,
,,2010 - 2011,20,20,1,,,,,,,,,,,,
,,2011 - 2012,20,20,1,,,,,,,,,,,,
,,2012 - 2013,30,20,0.67,,,,,,,,,,,,
,,2013 - 2014,40,40,1,,,,,,,,,,,,
,,2014 - 2015,40,40,1,,,,,,,,,,,,
,,2015 - 2016,40,40,1,,,,,,,,,,,,
,,2016 - 2017,40,40,1,,,,,,,,,,,,
,,2017 - 2018,50,50,1,,,,,,,,,,,,
,,2018 - 2019,50,50,1,,,,,,,,,,,,
,,2019 - 2020,50,50,1,,,,,,,,,,,,
,,2020 - 2021,50,50,1,,,,,,,,,,,,
,,2021 - 2022,50,46,0.92,,,,,,,,,,,,
,,2022 - 2023,58,55,0.95,,,,,,,,,,,,
16. Odisha,1. Balangir,2000 - 2001,"1,000.00",510,0.51,,,,,,,,,,,,
,,2001 - 2002,960,710,0.74,,,,,,,,,,,,
,,2002 - 2003,940,440,0.47,,,,,,,,,,,,
,,2003 - 2004,950,590,0.62,,,,,,,,,,,,
,,2004 - 2005,955,515,0.54,,,,,,,,,,,,
,,2019 - 2020,130,80,0.62,,,,,,,,,,,,
,2. Bargarh,2000 - 2001,90,70,0.78,,,,,,,,,,,,
,,2001 - 2002,120,70,0.58,,,,,,,,,,,,
,,2002 - 2003,170,90,0.53,,,,,,,,,,,,
,,2003 - 2004,80,50,0.63,,,,,,,,,,,,
,,2004 - 2005,129,75,0.58,,,,,,,,,,,,
,3. Cuttack,2002 - 2003,20,10,0.5,,,,,,,,,,,,
,,2003 - 2004,10,10,1,,,,,,,,,,,,
,,2004 - 2005,12,7,0.58,,,,,,,,,,,,
,4. Deogarh,2000 - 2001,100,50,0.5,,,,,,,,,,,,
,,2001 - 2002,90,50,0.56,,,,,,,,,,,,
,,2002 - 2003,440,240,0.55,,,,,,,,,,,,
,,2003 - 2004,110,60,0.55,,,,,,,,,,,,
,,2004 - 2005,20,10,0.5,,,,,,,,,,,,
,,2019 - 2020,30,20,0.67,,,,,,,,,,,,
,5. Gajapati,2000 - 2001,"2,060.00",930,0.45,,,,,,,,,,,,
,,2001 - 2002,"2,070.00",930,0.45,,,,,,,,,,,,
,,2002 - 2003,"2,100.00",950,0.45,,,,,,,,,,,,
,,2003 - 2004,"2,100.00",950,0.45,,,,,,,,,,,,
,,2004 - 2005,"2,085.00",970,0.47,,,,,,,,,,,,
,,2019 - 2020,"1,550.00",980,0.63,,,,,,,,,,,,
,6. Ganjam,2000 - 2001,560,340,0.61,,,,,,,,,,,,
,,2001 - 2002,560,340,0.61,,,,,,,,,,,,
,,2002 - 2003,630,320,0.51,,,,,,,,,,,,
,,2003 - 2004,360,220,0.61,,,,,,,,,,,,
,,2004 - 2005,321,198,0.62,,,,,,,,,,,,
,,2019 - 2020,850,520,0.61,,,,,,,,,,,,
,7. Jajapur,2000 - 2001,160,60,0.38,,,,,,,,,,,,
,,2002 - 2003,180,70,0.39,,,,,,,,,,,,
,,2003 - 2004,150,50,0.33,,,,,,,,,,,,
,,2004 - 2005,180,67,0.37,,,,,,,,,,,,
,8. Kalahandi,2000 - 2001,"1,170.00",550,0.47,,,,,,,,,,,,
,,2001 - 2002,680,620,0.91,,,,,,,,,,,,
,,2002 - 2003,290,300,1.03,,,,,,,,,,,,
,,2003 - 2004,250,260,1.04,,,,,,,,,,,,
,,2004 - 2005,230,159,0.69,,,,,,,,,,,,
,,2019 - 2020,90,50,0.56,,,,,,,,,,,,
,9. Kandhamal,2000 - 2001,620,260,0.42,,,,,,,,,,,,
,,2001 - 2002,530,220,0.42,,,,,,,,,,,,
,,2002 - 2003,550,220,0.4,,,,,,,,,,,,
,,2003 - 2004,460,180,0.39,,,,,,,,,,,,
,,2004 - 2005,481,192,0.4,,,,,,,,,,,,
,,2019 - 2020,110,60,0.55,,,,,,,,,,,,
,10. Kendujhar,2000 - 2001,430,240,0.56,,,,,,,,,,,,
,,2001 - 2002,390,220,0.56,,,,,,,,,,,,
,,2002 - 2003,260,140,0.54,,,,,,,,,,,,
,,2003 - 2004,290,160,0.55,,,,,,,,,,,,
,,2004 - 2005,317,172,0.54,,,,,,,,,,,,
,,2019 - 2020,80,50,0.63,,,,,,,,,,,,
,11. Khordha,2000 - 2001,80,50,0.63,,,,,,,,,,,,
,,2001 - 2002,180,60,0.33,,,,,,,,,,,,
,12. Koraput,2000 - 2001,"1,860.00","1,480.00",0.8,,,,,,,,,,,,
,,2001 - 2002,"1,790.00",950,0.53,,,,,,,,,,,,
,,2002 - 2003,"1,750.00","1,160.00",0.66,,,,,,,,,,,,
,,2003 - 2004,"1,690.00","1,160.00",0.69,,,,,,,,,,,,
,,2004 - 2005,"1,790.00","1,108.00",0.62,,,,,,,,,,,,
,,2019 - 2020,540,350,0.65,,,,,,,,,,,,
,13. Malkangiri,2000 - 2001,870,560,0.64,,,,,,,,,,,,
,,2001 - 2002,"1,140.00",830,0.73,,,,,,,,,,,,
,,2002 - 2003,560,300,0.54,,,,,,,,,,,,
,,2003 - 2004,510,290,0.57,,,,,,,,,,,,
,,2004 - 2005,360,184,0.51,,,,,,,,,,,,
,,2019 - 2020,140,90,0.64,,,,,,,,,,,,
,14. Mayurbhanj,2000 - 2001,440,240,0.55,,,,,,,,,,,,
,,2001 - 2002,320,170,0.53,,,,,,,,,,,,
,,2002 - 2003,310,150,0.48,,,,,,,,,,,,
,,2003 - 2004,340,160,0.47,,,,,,,,,,,,
,,2004 - 2005,237,125,0.53,,,,,,,,,,,,
,15. Nabarangpur,2000 - 2001,290,260,0.9,,,,,,,,,,,,
,,2001 - 2002,210,180,0.86,,,,,,,,,,,,
,,2002 - 2003,150,110,0.73,,,,,,,,,,,,
,,2003 - 2004,150,90,0.6,,,,,,,,,,,,
,,2004 - 2005,190,132,0.69,,,,,,,,,,,,
,,2019 - 2020,50,30,0.6,,,,,,,,,,,,
,16. Nayagarh,2000 - 2001,90,70,0.78,,,,,,,,,,,,
,,2001 - 2002,80,70,0.88,,,,,,,,,,,,
,,2002 - 2003,80,60,0.75,,,,,,,,,,,,
,,2003 - 2004,130,50,0.38,,,,,,,,,,,,
,,2004 - 2005,48,18,0.38,,,,,,,,,,,,
,,2019 - 2020,100,60,0.6,,,,,,,,,,,,
,17. Nuapada,2000 - 2001,490,100,0.2,,,,,,,,,,,,
,,2001 - 2002,400,100,0.25,,,,,,,,,,,,
,,2002 - 2003,60,20,0.33,,,,,,,,,,,,
,,2003 - 2004,200,100,0.5,,,,,,,,,,,,
,,2004 - 2005,98,38,0.39,,,,,,,,,,,,
,,2019 - 2020,230,150,0.65,,,,,,,,,,,,
,18. Rayagada,2000 - 2001,"1,500.00",940,0.63,,,,,,,,,,,,
,,2001 - 2002,"1,510.00",930,0.62,,,,,,,,,,,,
,,2002 - 2003,"1,430.00",720,0.5,,,,,,,,,,,,
,,2003 - 2004,"2,260.00","1,380.00",0.61,,,,,,,,,,,,
,,2004 - 2005,"1,576.00",946,0.6,,,,,,,,,,,,
,,2019 - 2020,630,420,0.67,,,,,,,,,,,,
,19. Sambalpur,2000 - 2001,190,90,0.47,,,,,,,,,,,,
,,2001 - 2002,190,90,0.47,,,,,,,,,,,,
,,2002 - 2003,220,110,0.5,,,,,,,,,,,,
,,2003 - 2004,210,100,0.48,,,,,,,,,,,,
,,2004 - 2005,240,138,0.58,,,,,,,,,,,,
,,2019 - 2020,10,10,1,,,,,,,,,,,,
,20. Sonepur,2000 - 2001,10,10,1,,,,,,,,,,,,
,,2001 - 2002,10,10,1,,,,,,,,,,,,
,,2002 - 2003,10,10,1,,,,,,,,,,,,
,,2003 - 2004,10,10,1,,,,,,,,,,,,
,,2004 - 2005,10,4,0.4,,,,,,,,,,,,
,21. Sundargarh,2000 - 2001,990,670,0.68,,,,,,,,,,,,
,,2001 - 2002,"1,030.00",540,0.52,,,,,,,,,,,,
,,2002 - 2003,850,300,0.35,,,,,,,,,,,,
,,2003 - 2004,830,510,0.61,,,,,,,,,,,,
,,2004 - 2005,792,393,0.5,,,,,,,,,,,,
,,2019 - 2020,"1,270.00",810,0.64,,,,,,,,,,,,
17. Puducherry,1. Karaikal,2000 - 2001,6,6,1,,,,,,,,,,,,
,2. Pondicherry,2006 - 2007,,,,,,,,,,4,7,1.75,,,
,,2007 - 2008,3,5,1.67,,,,,,,,,,,,
,,2008 - 2009,2,3,1.5,,,,,,,,,,,,
,,2009 - 2010,6,9,1.5,,,,,,,,,,,,
,,2011 - 2012,,,,,,,,,,1,2,2,,,
,,2012 - 2013,2,4,2,,,,,,,1,2,2,,,
,,2013 - 2014,1,2,2,,,,,,,1,2,2,,,
