State,District,Year,Jowar,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,"5,503.00","11,529.00",2.1,"6,578.00","8,446.00",1.28,,,,,,,,,
,,2014 - 2015,"5,677.00","7,272.00",1.28,"9,591.00","15,183.00",1.58,,,,,,,,,
,,2015 - 2016,"7,116.00","9,735.00",1.37,"19,038.00","38,133.00",2,,,,,,,,,
,,2016 - 2017,"1,835.00","1,767.00",0.96,"5,216.00","5,618.00",1.08,,,,,,,,,
,,2017 - 2018,"3,973.00","4,795.00",1.21,"8,278.00","5,182.00",0.63,,,,,,,,,
,,2018 - 2019,533,419,0.79,"16,701.00","10,588.00",0.63,,,,,,,,,
,,2019 - 2020,"4,632.00","9,936.00",2.15,"14,575.00","15,027.00",1.03,,,,,,,,,
,,2020 - 2021,807,"2,100.00",2.6,"6,794.00","4,973.00",0.73,,,,,,,,,
,,2021 - 2022,207,386,1.86,"3,116.00","2,839.00",0.91,,,,,,,,,
,,2022 - 2023,522,"1,453.00",2.78,"5,046.00","8,109.00",1.61,,,,,,,,,
,11. Kakinada,2022 - 2023,,,,1,7,7,,,,,,,,,
,12. Krishna,2000 - 2001,2,1,0.5,65,27,0.42,,,,,,,,,
,,2001 - 2002,123,70,0.57,730,539,0.74,,,,,,,,,
,,2002 - 2003,81,27,0.33,866,695,0.8,,,,,,,,,
,,2003 - 2004,147,435,2.96,"1,209.00","2,271.00",1.88,,,,,,,,,
,,2004 - 2005,455,243,0.53,506,950,1.88,,,,,,,,,
,,2005 - 2006,5,3,0.6,170,496,2.92,,,,,,,,,
,,2006 - 2007,227,169,0.74,643,"1,387.00",2.16,,,,,,,,,
