State,District,Year,Small millets,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,"3,649.00","1,753.00",0.48,,,,,,,,,,,,
,,2021 - 2022,"2,381.00","1,716.00",0.72,,,,,,,,,,,,
,19. Vizianagaram,2000 - 2001,"4,422.00","3,102.00",0.7,,,,,,,,,,,,
,,2001 - 2002,"4,221.00","2,214.00",0.52,,,,,,,,,,,,
,,2002 - 2003,"3,658.00","1,893.00",0.52,,,,,,,,,,,,
,,2003 - 2004,"3,364.00","2,185.00",0.65,,,,,,,,,,,,
,,2004 - 2005,"4,187.00","2,229.00",0.53,,,,,,,,,,,,
,,2005 - 2006,"4,190.00","2,349.00",0.56,,,,,,,,,,,,
,,2006 - 2007,"2,785.00","2,014.00",0.72,,,,,,,,,,,,
,,2007 - 2008,"3,000.00","2,000.00",0.67,,,,,,,,,,,,
,,2008 - 2009,"2,246.00","1,285.00",0.57,,,,,,,,,,,,
,,2009 - 2010,"1,822.00","1,474.00",0.81,,,,,,,,,,,,
,,2010 - 2011,"1,806.00","1,461.00",0.81,,,,,,,,,,,,
,,2011 - 2012,300,133,0.44,,,,,,,,,,,,
,,2013 - 2014,499,282,0.57,,,,,,,,,,,,
,,2014 - 2015,117,85,0.73,,,,,,,,,,,,
,,2015 - 2016,31,19,0.61,,,,,,,,,,,,
,,2016 - 2017,65,48,0.74,,,,,,,,,,,,
,,2017 - 2018,95,70,0.74,,,,,,,,,,,,
,,2018 - 2019,80,57,0.71,,,,,,,,,,,,
,,2019 - 2020,19,16,0.84,,,,,,,,,,,,
,,2020 - 2021,20,11,0.55,,,,,,,,,,,,
,,2021 - 2022,24,17,0.71,,,,,,,,,,,,
,,2022 - 2023,14,12,0.86,,,,,,,,,,,,
,20. West godavari,2000 - 2001,72,31,0.43,,,,,,,,,,,,
,,2001 - 2002,24,12,0.5,,,,,,,,,,,,
,,2014 - 2015,10,5,0.5,,,,,,,,,,,,
,,2015 - 2016,19,8,0.42,,,,,,,,,,,,
,,2016 - 2017,6,2,0.33,,,,,,,,,,,,
,,2017 - 2018,6,2,0.33,,,,,,,,,,,,
,,2018 - 2019,12,5,0.42,,,,,,,,,,,,
,,2019 - 2020,17,9,0.53,,,,,,,,,,,,
2. Arunachal Pradesh,1. Anjaw,2004 - 2005,532,495,0.93,,,,,,,,,,,,
,,2005 - 2006,585,525,0.9,,,,,,,,,,,,
,,2006 - 2007,586,492,0.84,,,,,,,,,,,,
,,2007 - 2008,635,521,0.82,,,,,,,,,,,,
,,2008 - 2009,667,553,0.83,,,,,,,,,,,,
,,2009 - 2010,675,499,0.74,,,,,,,,,,,,
,,2010 - 2011,695,556,0.8,,,,,,,,,,,,
,,2011 - 2012,"1,381.00","1,104.00",0.8,,,,,,,,,,,,
,,2012 - 2013,"1,381.00","1,105.00",0.8,,,,,,,,,,,,
,,2013 - 2014,"1,381.00","1,105.00",0.8,,,,,,,,,,,,
,,2014 - 2015,"2,367.00","2,792.00",1.18,,,,,,,,,,,,
,,2015 - 2016,"2,392.00","2,806.00",1.17,,,,,,,,,,,,
,,2016 - 2017,"2,392.00","2,780.00",1.16,,,,,,,,,,,,
,,2017 - 2018,"2,405.00","2,793.00",1.16,,,,,,,,,,,,
,,2018 - 2019,"2,405.00","2,797.00",1.16,,,,,,,,,,,,
,,2019 - 2020,"2,405.00","2,799.00",1.16,,,,,,,,,,,,
,,2020 - 2021,"2,406.00","2,805.00",1.17,,,,,,,,,,,,
,,2022 - 2023,"2,455.00","2,853.00",1.16,,,,,,,,,,,,
,2. Changlang,2000 - 2001,"2,000.00","1,375.00",0.69,,,,,,,,,,,,
,,2001 - 2002,"2,010.00","1,608.00",0.8,,,,,,,,,,,,
,,2002 - 2003,"2,020.00","1,616.00",0.8,,,,,,,,,,,,
,,2003 - 2004,"2,000.00","1,640.00",0.82,,,,,,,,,,,,
,,2004 - 2005,"2,050.00","1,640.00",0.8,,,,,,,,,,,,
,,2005 - 2006,"2,060.00","1,668.00",0.81,,,,,,,,,,,,
,,2006 - 2007,"1,243.00","1,007.00",0.81,,,,,,,,,,,,
,,2007 - 2008,"2,172.00","1,759.00",0.81,,,,,,,,,,,,
,,2008 - 2009,"2,177.00","2,120.00",0.97,,,,,,,,,,,,
,,2009 - 2010,"1,470.00","1,441.00",0.98,,,,,,,,,,,,
,,2010 - 2011,"1,544.00","1,513.00",0.98,,,,,,,,,,,,
,,2011 - 2012,"1,250.00","1,167.00",0.93,,,,,,,,,,,,
