State,District,Year,Small millets,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,"7,428.00","3,839.00",0.52,,,,,,,,,,,,
,,2020 - 2021,"1,858.00","1,509.00",0.81,,,,,,,,,,,,
,,2021 - 2022,"1,343.00","1,093.00",0.81,,,,,,,,,,,,
,,2022 - 2023,839,231,0.28,,,,,,,,,,,,
,28. Udupi,2020 - 2021,2,3,1.5,,,,,,,,,,,,
,29. Uttar kannad,2018 - 2019,4,3,0.75,,,,,,,,,,,,
,,2019 - 2020,12,4,0.33,,,,,,,,,,,,
,,2020 - 2021,44,57,1.3,,,,,,,,,,,,
,,2021 - 2022,96,105,1.09,,,,,,,,,,,,
,,2022 - 2023,11,8,0.73,,,,,,,,,,,,
,30. Vijayanagar,2022 - 2023,"2,207.00",843,0.38,,,,,,,,,,,,
,31. Yadgir,2010 - 2011,86,69,0.8,,,,,,,,,,,,
,,2011 - 2012,46,15,0.33,,,,,,,,,,,,
,,2012 - 2013,36,11,0.31,,,,,,,,,,,,
,,2013 - 2014,34,12,0.35,,,,,,,,,,,,
,,2014 - 2015,55,20,0.36,,,,,,,,,,,,
,,2015 - 2016,6,2,0.33,,,,,,,,,,,,
,,2016 - 2017,13,5,0.38,,,,,,,,,,,,
,,2017 - 2018,161,87,0.54,,,,,,,,,,,,
,,2018 - 2019,32,18,0.56,,,,,,,,,,,,
,,2019 - 2020,167,72,0.43,,,,,,,,,,,,
,,2020 - 2021,109,77,0.71,,,,,,,,,,,,
,,2021 - 2022,86,84,0.98,,,,,,,,,,,,
,,2022 - 2023,125,51,0.41,,,,,,,,,,,,
11. Kerala,1. Alappuzha,2003 - 2004,5,4,0.8,,,,,,,,,,,,
,2. Idukki,2003 - 2004,176,137,0.78,,,,,,,,,,,,
,3. Kasaragod,2003 - 2004,5,3,0.6,,,,,,,,,,,,
,4. Kollam,2003 - 2004,2,0,0,,,,,,,,,,,,
,5. Kottayam,2003 - 2004,1,1,1,,,,,,,,,,,,
,6. Palakkad,2003 - 2004,"1,033.00",806,0.78,,,,,,,,,,,,
,,2012 - 2013,,,,,,,62,61,0.98,,,,,,
,,2013 - 2014,,,,,,,40,35,0.88,,,,,,
,,2014 - 2015,,,,,,,27,21,0.78,,,,,,
,,2015 - 2016,,,,,,,14,10,0.71,,,,,,
,,2016 - 2017,,,,,,,9,6,0.67,,,,,,
,,2017 - 2018,,,,,,,23.51,17,0.72,,,,,,
,,2018 - 2019,,,,,,,47.5,34.5,0.73,,,,,,
,,2019 - 2020,30,22,0.73,27,21,0.78,,,,,,,,,
,,2020 - 2021,22,16,0.73,29,21.7,0.75,,,,,,,,,
,,2021 - 2022,5,6,1.2,29,35,1.21,,,,,,,,,
,,2022 - 2023,5,6.15,1.23,31.21,38.73,1.24,,,,,,,,,
,7. Thiruvananthapuram,2003 - 2004,4,3,0.75,,,,,,,,,,,,
,8. Thrissur,2003 - 2004,6,5,0.83,,,,,,,,,,,,
,9. Wayanad,2003 - 2004,1,1,1,,,,,,,,,,,,
12. Ladakh,1. Leh ladakh,2020 - 2021,410.5,267.42,0.65,,,,,,,,,,,,
13. Madhya Pradesh,1. Alirajpur,2008 - 2009,,,,,,,"1,801.00",505,0.28,,,,,,
,,2009 - 2010,"1,892.00",459,0.24,,,,,,,,,,,,
,,2010 - 2011,"1,609.00",452,0.28,,,,,,,,,,,,
,,2011 - 2012,"1,476.00",320,0.22,,,,,,,,,,,,
,,2012 - 2013,"1,376.00",442,0.32,,,,,,,,,,,,
,,2013 - 2014,"1,319.00",572,0.43,,,,,,,,,,,,
,,2015 - 2016,"1,000.00",459,0.46,,,,,,,,,,,,
,,2016 - 2017,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2017 - 2018,20,20,1,,,,,,,,,,,,
,,2018 - 2019,8,5,0.63,,,,,,,,,,,,
,,2019 - 2020,26,14,0.54,,,,,,,,,,,,
,,2021 - 2022,59,27,0.46,,,,,,,,,,,,
,,2022 - 2023,146,91,0.62,,,,,,,,,,,,
,2. Anuppur,2003 - 2004,"19,757.00","6,865.00",0.35,,,,,,,,,,,,
,,2004 - 2005,"18,885.00","5,902.00",0.31,,,,,,,,,,,,
,,2005 - 2006,3,1,0.33,,,,,,,,,,,,
,,2006 - 2007,"17,848.00","5,089.00",0.29,,,,,,,,,,,,
,,2007 - 2008,,,,,,,19,4,0.21,,,,,,
,,2008 - 2009,,,,,,,"17,400.00","5,613.00",0.32,,,,,,
,,2009 - 2010,"15,817.00","2,667.00",0.17,,,,,,,,,,,,
,,2010 - 2011,"15,095.00","3,500.00",0.23,,,,,,,,,,,,
,,2011 - 2012,"15,075.00","4,323.00",0.29,,,,,,,,,,,,
,,2012 - 2013,"13,987.00","6,459.00",0.46,,,,,,,,,,,,
,,2013 - 2014,"12,613.00","6,669.00",0.53,,,,,,,,,,,,
,,2014 - 2015,"6,000.00","4,000.00",0.67,,,,,,,,,,,,
,,2015 - 2016,"13,000.00","9,000.00",0.69,,,,,,,,,,,,
,,2016 - 2017,"13,000.00","11,000.00",0.85,,,,,,,,,,,,
,,2017 - 2018,"12,520.00","11,970.00",0.96,,,,,,,,,,,,
,,2018 - 2019,"7,314.00","3,906.00",0.53,,,,,,,,,,,,
,,2019 - 2020,"8,758.00","8,451.00",0.96,,,,,,,,,,,,
,,2021 - 2022,"6,722.00","5,277.00",0.79,,,,,,,,,,,,
,,2022 - 2023,"17,800.00","14,774.00",0.83,,,,,,,,,,,,
,3. Ashoknagar,2003 - 2004,7,2,0.29,,,,,,,,,,,,
,,2004 - 2005,19,6,0.32,,,,,,,,,,,,
,,2005 - 2006,7,3,0.43,,,,,,,,,,,,
,,2006 - 2007,,,,1,,0,,,,,,,,,
,4. Balaghat,2000 - 2001,"13,261.00","4,850.00",0.37,,,,,,,,,,,,
,,2001 - 2002,"13,023.00","4,914.00",0.38,,,,,,,,,,,,
,,2002 - 2003,"12,766.00","5,084.00",0.4,,,,,,,,,,,,
,,2003 - 2004,"12,650.00","5,477.00",0.43,,,,,,,,,,,,
,,2004 - 2005,"12,597.00","4,816.00",0.38,,,,,,,,,,,,
,,2005 - 2006,89,33,0.37,,,,,,,,,,,,
,,2006 - 2007,"12,515.00","5,154.00",0.41,12,,0,,,,,,,,,
,,2008 - 2009,,,,,,,"12,168.00","5,131.00",0.42,,,,,,
,,2009 - 2010,"11,770.00","5,547.00",0.47,,,,,,,,,,,,
,,2010 - 2011,"10,489.00","6,173.00",0.59,,,,,,,,,,,,
,,2011 - 2012,"10,249.00","5,866.00",0.57,,,,,,,,,,,,
,,2012 - 2013,"10,618.00","4,652.00",0.44,,,,,,,,,,,,
,,2013 - 2014,"9,758.00","5,014.00",0.51,,,,,,,,,,,,
,,2014 - 2015,"3,000.00","2,000.00",0.67,,,,,,,,,,,,
,,2015 - 2016,"3,000.00","2,000.00",0.67,,,,,,,,,,,,
,,2016 - 2017,"2,000.00","2,000.00",1,,,,,,,,,,,,
,,2017 - 2018,500,620,1.24,,,,,,,,,,,,
,,2018 - 2019,"3,716.00","2,824.00",0.76,,,,,,,,,,,,
,,2019 - 2020,"3,513.00","2,853.00",0.81,,,,,,,,,,,,
,,2021 - 2022,"3,054.00","2,452.00",0.8,,,,,,,,,,,,
,,2022 - 2023,"5,900.00","5,546.00",0.94,,,,,,,,,,,,
,5. Barwani,2000 - 2001,"1,594.00",196,0.12,,,,,,,,,,,,
,,2001 - 2002,"1,169.00",192,0.16,,,,,,,,,,,,
,,2002 - 2003,975,199,0.2,,,,,,,,,,,,
,,2003 - 2004,"1,437.00",318,0.22,,,,,,,,,,,,
,,2004 - 2005,"1,467.00",263,0.18,,,,,,,,,,,,
,,2005 - 2006,938,"1,279.00",1.36,,,,,,,,,,,,
,,2006 - 2007,809,174,0.22,8,,0,,,,,,,,,
,,2007 - 2008,,,,,,,734,181,0.25,,,,,,
,,2008 - 2009,,,,,,,701,172,0.25,,,,,,
,,2009 - 2010,656,137,0.21,,,,,,,,,,,,
,,2010 - 2011,386,95,0.25,,,,,,,,,,,,
,,2011 - 2012,372,90,0.24,,,,,,,,,,,,
,,2012 - 2013,192,50,0.26,,,,,,,,,,,,
,,2013 - 2014,180,48,0.27,,,,,,,,,,,,
,,2014 - 2015,"3,000.00",0,0,,,,,,,,,,,,
,,2018 - 2019,15,9,0.6,,,,,,,,,,,,
,,2019 - 2020,2,,0,,,,,,,,,,,,
,6. Betul,2000 - 2001,"39,190.00","5,317.00",0.14,,,,,,,,,,,,
,,2001 - 2002,"39,318.00","8,847.00",0.23,,,,,,,,,,,,
,,2002 - 2003,"39,080.00","7,345.00",0.19,,,,,,,,,,,,
,,2003 - 2004,"28,346.00","6,144.00",0.22,,,,,,,,,,,,
,,2004 - 2005,"19,974.00","3,250.00",0.16,,,,,,,,,,,,
,,2005 - 2006,156,66,0.42,,,,,,,,,,,,
,,2006 - 2007,"10,527.00","2,150.00",0.2,,,,,,,,,,,,
,,2008 - 2009,,,,,,,"10,591.00","2,225.00",0.21,,,,,,
,,2009 - 2010,"3,721.00",834,0.22,,,,,,,,,,,,
,,2010 - 2011,"13,438.00","4,289.00",0.32,,,,,,,,,,,,
,,2011 - 2012,"3,198.00",876,0.27,,,,,,,,,,,,
,,2012 - 2013,"4,129.00","1,602.00",0.39,,,,,,,,,,,,
,,2013 - 2014,"4,152.00","1,687.00",0.41,,,,,,,,,,,,
,,2014 - 2015,"4,000.00","3,000.00",0.75,,,,,,,,,,,,
,,2015 - 2016,"3,000.00","1,000.00",0.33,,,,,,,,,,,,
,,2016 - 2017,"3,000.00","2,000.00",0.67,,,,,,,,,,,,
,,2017 - 2018,"2,890.00","2,410.00",0.83,,,,,,,,,,,,
,,2018 - 2019,885,260,0.29,,,,,,,,,,,,
,,2019 - 2020,768,88,0.11,,,,,,,,,,,,
,,2021 - 2022,500,248,0.5,,,,,,,,,,,,
,,2022 - 2023,630,425,0.67,,,,,,,,,,,,
,7. Bhind,2001 - 2002,17,7,0.41,,,,,,,,,,,,
,,2002 - 2003,1,0,0,,,,,,,,,,,,
,,2004 - 2005,2,,0,,,,,,,,,,,,
,,2005 - 2006,2,,0,,,,,,,,,,,,
,,2008 - 2009,,,,,,,4,1,0.25,,,,,,
,,2012 - 2013,5,1,0.2,,,,,,,,,,,,
,,2018 - 2019,6,4,0.67,,,,,,,,,,,,
,8. Bhopal,2022 - 2023,"1,830.00","1,700.00",0.93,,,,,,,,,,,,
,9. Burhanpur,2003 - 2004,293,76,0.26,,,,,,,,,,,,
,,2004 - 2005,256,42,0.16,,,,,,,,,,,,
,,2005 - 2006,73,24,0.33,,,,,,,,,,,,
,,2006 - 2007,114,29,0.25,,,,,,,,,,,,
,,2007 - 2008,,,,,,,1,,0,,,,,,
,,2008 - 2009,,,,,,,40,10,0.25,,,,,,
,,2009 - 2010,39,6,0.15,2,4,2,,,,,,,,,
,,2010 - 2011,10,2,0.2,,,,,,,,,,,,
,,2011 - 2012,12,4,0.33,,,,,,,,,,,,
,,2012 - 2013,3,1,0.33,,,,,,,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,,,,,,,
,10. Chhatarpur,2000 - 2001,"5,616.00","1,148.00",0.2,,,,,,,,,,,,
,,2001 - 2002,"4,684.00","1,390.00",0.3,,,,,,,,,,,,
,,2002 - 2003,"3,565.00",775,0.22,,,,,,,,,,,,
,,2003 - 2004,"3,738.00","1,291.00",0.35,,,,,,,,,,,,
,,2004 - 2005,"3,262.00","1,142.00",0.35,,,,,,,,,,,,
,,2005 - 2006,"1,315.00",357,0.27,,,,,,,,,,,,
,,2006 - 2007,"1,871.00",567,0.3,2,,0,,,,,,,,,
,,2008 - 2009,,,,,,,"1,698.00",516,0.3,,,,,,
,,2009 - 2010,"1,279.00",396,0.31,,,,,,,,,,,,
,,2010 - 2011,681,212,0.31,,,,,,,,,,,,
,,2011 - 2012,448,143,0.32,,,,,,,,,,,,
,,2012 - 2013,244,62,0.25,,,,,,,,,,,,
,,2013 - 2014,108,64,0.59,,,,,,,,,,,,
,,2014 - 2015,"3,000.00","2,000.00",0.67,,,,,,,,,,,,
,,2018 - 2019,13,7,0.54,,,,,,,,,,,,
,,2019 - 2020,1,,0,,,,,,,,,,,,
,,2021 - 2022,28,22,0.79,,,,,,,,,,,,
,,2022 - 2023,180,140,0.78,,,,,,,,,,,,
,11. Chhindwara,2000 - 2001,"49,630.00","5,814.00",0.12,,,,,,,,,,,,
,,2001 - 2002,"47,566.00","8,202.00",0.17,,,,,,,,,,,,
,,2002 - 2003,"46,444.00","6,742.00",0.15,,,,,,,,,,,,
,,2003 - 2004,"42,248.00","10,837.00",0.26,,,,,,,,,,,,
,,2004 - 2005,"38,744.00","8,789.00",0.23,,,,,,,,,,,,
,,2005 - 2006,"1,460.00",817,0.56,,,,,,,,,,,,
,,2006 - 2007,"28,711.00","7,506.00",0.26,82,,0,,,,,,,,,
,,2007 - 2008,,,,,,,377,104,0.28,,,,,,
,,2008 - 2009,,,,,,,"31,623.00","7,838.00",0.25,,,,,,
,,2009 - 2010,"28,543.00","9,719.00",0.34,60,23,0.38,,,,,,,,,
,,2010 - 2011,"24,878.00","6,368.00",0.26,,,,,,,,,,,,
,,2011 - 2012,"24,954.00","10,248.00",0.41,,,,,,,,,,,,
,,2012 - 2013,"21,781.00","11,141.00",0.51,,,,,,,,,,,,
,,2013 - 2014,"23,451.00","8,475.00",0.36,,,,,,,,,,,,
,,2014 - 2015,"10,000.00","7,000.00",0.7,,,,,,,,,,,,
,,2015 - 2016,"17,000.00","9,000.00",0.53,,,,,,,,,,,,
,,2016 - 2017,"18,000.00","20,000.00",1.11,,,,,,,,,,,,
,,2017 - 2018,"16,330.00","15,950.00",0.98,,,,,,,,,,,,
,,2018 - 2019,"7,382.00","2,724.00",0.37,,,,,,,,,,,,
,,2019 - 2020,"6,297.00","4,137.00",0.66,,,,,,,,,,,,
,,2021 - 2022,"7,458.00","4,176.00",0.56,,,,,,,,,,,,
,,2022 - 2023,"13,160.00","14,015.00",1.06,,,,,,,,,,,,
,12. Damoh,2000 - 2001,"1,503.00",220,0.15,,,,,,,,,,,,
,,2001 - 2002,"1,252.00",326,0.26,,,,,,,,,,,,
,,2002 - 2003,"1,128.00",163,0.14,,,,,,,,,,,,
,,2003 - 2004,951,292,0.31,,,,,,,,,,,,
,,2004 - 2005,781,210,0.27,,,,,,,,,,,,
,,2005 - 2006,110,19,0.17,,,,,,,,,,,,
,,2006 - 2007,580,130,0.22,26,,0,,,,,,,,,
,,2007 - 2008,,,,,,,30,5,0.17,,,,,,
,,2008 - 2009,,,,,,,478,170,0.36,,,,,,
,,2009 - 2010,355,107,0.3,21,8,0.38,,,,,,,,,
,,2010 - 2011,167,74,0.44,,,,,,,,,,,,
,,2011 - 2012,"15,914.00","7,121.00",0.45,,,,,,,,,,,,
,,2012 - 2013,98,34,0.35,,,,,,,,,,,,
,,2013 - 2014,97,24,0.25,,,,,,,,,,,,
,,2017 - 2018,120,70,0.58,,,,,,,,,,,,
,,2019 - 2020,1,,0,,,,,,,,,,,,
,13. Datia,2000 - 2001,10,4,0.4,,,,,,,,,,,,
,,2001 - 2002,11,4,0.36,,,,,,,,,,,,
,,2002 - 2003,8,2,0.25,,,,,,,,,,,,
,,2003 - 2004,6,3,0.5,,,,,,,,,,,,
,,2004 - 2005,6,1,0.17,,,,,,,,,,,,
,,2005 - 2006,3,1,0.33,,,,,,,,,,,,
,,2012 - 2013,100,34,0.34,,,,,,,,,,,,
,14. Dewas,2000 - 2001,14,4,0.29,,,,,,,,,,,,
,,2001 - 2002,77,12,0.16,,,,,,,,,,,,
,,2002 - 2003,13,3,0.23,,,,,,,,,,,,
,,2003 - 2004,5,1,0.2,,,,,,,,,,,,
,15. Dhar,2000 - 2001,167,15,0.09,,,,,,,,,,,,
,,2001 - 2002,138,14,0.1,,,,,,,,,,,,
,,2002 - 2003,258,48,0.19,,,,,,,,,,,,
,,2003 - 2004,154,42,0.27,,,,,,,,,,,,
,,2004 - 2005,110,28,0.25,,,,,,,,,,,,
,,2005 - 2006,114,26,0.23,,,,,,,,,,,,
,,2006 - 2007,98,28,0.29,1,,0,,,,,,,,,
,,2007 - 2008,,,,,,,24,4,0.17,,,,,,
,,2008 - 2009,,,,,,,58,16,0.28,,,,,,
,,2009 - 2010,49,14,0.29,3,1,0.33,,,,,,,,,
,,2010 - 2011,51,23,0.45,,,,,,,,,,,,
,,2011 - 2012,24,8,0.33,,,,,,,,,,,,
,,2012 - 2013,18,8,0.44,,,,,,,,,,,,
,,2013 - 2014,20,,0,,,,,,,,,,,,
,,2018 - 2019,1,,0,,,,,,,,,,,,
,,2019 - 2020,51,33,0.65,,,,,,,,,,,,
,,2021 - 2022,35,19,0.54,,,,,,,,,,,,
,,2022 - 2023,158,96,0.61,,,,,,,,,,,,
,16. Dindori,2000 - 2001,"48,643.00","5,655.00",0.12,,,,,,,,,,,,
,,2001 - 2002,"47,919.00","11,555.00",0.24,,,,,,,,,,,,
,,2002 - 2003,"47,397.00","8,288.00",0.17,,,,,,,,,,,,
,,2003 - 2004,"47,236.00","10,437.00",0.22,,,,,,,,,,,,
,,2004 - 2005,"46,074.00","8,799.00",0.19,,,,,,,,,,,,
,,2005 - 2006,305,5,0.02,,,,,,,,,,,,
,,2006 - 2007,"44,277.00","7,642.00",0.17,,,,,,,,,,,,
,,2008 - 2009,,,,,,,"42,363.00","8,749.00",0.21,,,,,,
,,2009 - 2010,"42,225.00","8,205.00",0.19,,,,,,,,,,,,
,,2010 - 2011,"42,156.00","9,869.00",0.23,,,,,,,,,,,,
,,2011 - 2012,"40,600.00","9,844.00",0.24,,,,,,,,,,,,
,,2012 - 2013,"39,684.00","19,361.00",0.49,,,,,,,,,,,,
,,2013 - 2014,"38,274.00","33,811.00",0.88,,,,,,,,,,,,
,,2014 - 2015,"9,000.00","3,000.00",0.33,,,,,,,,,,,,
,,2015 - 2016,"21,000.00","17,000.00",0.81,,,,,,,,,,,,
,,2016 - 2017,"22,000.00","23,000.00",1.05,,,,,,,,,,,,
,,2017 - 2018,"31,600.00","30,940.00",0.98,,,,,,,,,,,,
,,2018 - 2019,"20,337.00","15,070.00",0.74,,,,,,,,,,,,
,,2019 - 2020,"21,559.00","21,171.00",0.98,,,,,,,,,,,,
,,2021 - 2022,"17,690.00","14,152.00",0.8,,,,,,,,,,,,
,,2022 - 2023,"24,926.00","25,923.00",1.04,,,,,,,,,,,,
,17. Guna,2000 - 2001,5,2,0.4,,,,,,,,,,,,
,,2001 - 2002,2,1,0.5,,,,,,,,,,,,
,,2002 - 2003,12,2,0.17,,,,,,,,,,,,
,,2003 - 2004,18,6,0.33,,,,,,,,,,,,
,18. Gwalior,2018 - 2019,2,,0,,,,,,,,,,,,
,19. Harda,2000 - 2001,"1,219.00",213,0.17,,,,,,,,,,,,
,,2001 - 2002,"1,208.00",273,0.23,,,,,,,,,,,,
,,2003 - 2004,900,202,0.22,,,,,,,,,,,,
,,2004 - 2005,"1,143.00",244,0.21,,,,,,,,,,,,
,,2005 - 2006,47,16,0.34,,,,,,,,,,,,
,,2006 - 2007,493,94,0.19,,,,,,,,,,,,
,,2008 - 2009,,,,,,,203,50,0.25,,,,,,
,,2009 - 2010,183,40,0.22,,,,,,,,,,,,
,,2010 - 2011,286,87,0.3,,,,,,,,,,,,
,,2011 - 2012,64,16,0.25,,,,,,,,,,,,
,,2012 - 2013,14,3,0.21,,,,,,,,,,,,
,,2013 - 2014,86,28,0.33,,,,,,,,,,,,
,,2018 - 2019,14,5,0.36,,,,,,,,,,,,
,,2019 - 2020,3,1,0.33,,,,,,,,,,,,
,,2021 - 2022,9,3,0.33,,,,,,,,,,,,
,20. Hoshangabad,2000 - 2001,"2,319.00",452,0.19,,,,,,,,,,,,
,,2001 - 2002,"2,837.00",648,0.23,,,,,,,,,,,,
,,2002 - 2003,"2,589.00",651,0.25,,,,,,,,,,,,
,,2003 - 2004,"2,734.00",725,0.27,,,,,,,,,,,,
,,2004 - 2005,"2,511.00",524,0.21,,,,,,,,,,,,
,,2005 - 2006,257,103,0.4,,,,,,,,,,,,
,,2006 - 2007,"2,116.00",518,0.24,,,,,,,,,,,,
,,2007 - 2008,,,,,,,11,3,0.27,,,,,,
,,2008 - 2009,,,,,,,"1,439.00",386,0.27,,,,,,
,,2009 - 2010,"1,312.00",344,0.26,2,1,0.5,,,,,,,,,
,,2010 - 2011,768,283,0.37,,,,,,,,,,,,
,,2011 - 2012,237,75,0.32,,,,,,,,,,,,
,,2012 - 2013,164,61,0.37,,,,,,,,,,,,
,,2013 - 2014,154,52,0.34,,,,,,,,,,,,
,,2014 - 2015,"1,000.00",0,0,,,,,,,,,,,,
,,2015 - 2016,"1,000.00",285,0.29,,,,,,,,,,,,
,,2016 - 2017,"1,000.00",800,0.8,,,,,,,,,,,,
,,2017 - 2018,40,30,0.75,,,,,,,,,,,,
,,2018 - 2019,32,19,0.59,,,,,,,,,,,,
,,2019 - 2020,1,,0,,,,,,,,,,,,
,,2021 - 2022,8,3,0.38,,,,,,,,,,,,
,,2022 - 2023,160,100,0.63,,,,,,,,,,,,
,21. Indore,2000 - 2001,7,2,0.29,,,,,,,,,,,,
,,2002 - 2003,3,1,0.33,,,,,,,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,,,,,,,
,22. Jabalpur,2000 - 2001,"13,784.00","1,968.00",0.14,,,,,,,,,,,,
,,2001 - 2002,"13,993.00","3,401.00",0.24,,,,,,,,,,,,
,,2002 - 2003,"12,539.00","2,973.00",0.24,,,,,,,,,,,,
,,2003 - 2004,"13,401.00","5,606.00",0.42,,,,,,,,,,,,
,,2004 - 2005,"13,258.00","4,870.00",0.37,,,,,,,,,,,,
,,2005 - 2006,28,134,4.79,,,,,,,,,,,,
,,2006 - 2007,"12,803.00","4,557.00",0.36,,,,,,,,,,,,
,,2008 - 2009,,,,,,,"12,236.00","4,044.00",0.33,,,,,,
,,2009 - 2010,"10,927.00","3,305.00",0.3,4,6,1.5,,,,,,,,,
,,2010 - 2011,"12,408.00","6,604.00",0.53,,,,,,,,,,,,
,,2011 - 2012,"12,867.00","5,054.00",0.39,,,,,,,,,,,,
,,2012 - 2013,"8,791.00","3,234.00",0.37,,,,,,,,,,,,
,,2013 - 2014,"4,269.00","3,215.00",0.75,,,,,,,,,,,,
,,2014 - 2015,"7,000.00","3,000.00",0.43,,,,,,,,,,,,
,,2015 - 2016,"3,000.00","1,000.00",0.33,,,,,,,,,,,,
,,2016 - 2017,"4,000.00","4,000.00",1,,,,,,,,,,,,
,,2017 - 2018,"4,840.00","5,260.00",1.09,,,,,,,,,,,,
,,2018 - 2019,"3,870.00","2,759.00",0.71,,,,,,,,,,,,
,,2019 - 2020,"4,247.00","3,954.00",0.93,,,,,,,,,,,,
,,2021 - 2022,"5,351.00","4,522.00",0.85,,,,,,,,,,,,
,,2022 - 2023,"3,700.00","3,411.00",0.92,,,,,,,,,,,,
,23. Jhabua,2000 - 2001,"6,233.00",739,0.12,,,,,,,,,,,,
,,2001 - 2002,"5,995.00","1,154.00",0.19,,,,,,,,,,,,
,,2002 - 2003,"5,638.00","1,038.00",0.18,,,,,,,,,,,,
,,2003 - 2004,"4,453.00","1,105.00",0.25,,,,,,,,,,,,
,,2004 - 2005,"4,128.00",981,0.24,,,,,,,,,,,,
,,2005 - 2006,"3,505.00",853,0.24,,,,,,,,,,,,
,,2006 - 2007,"3,270.00",774,0.24,1,,0,,,,,,,,,
,,2007 - 2008,,,,,,,985,200,0.2,,,,,,
,,2008 - 2009,,,,,,,559,148,0.26,,,,,,
,,2009 - 2010,568,129,0.23,,,,,,,,,,,,
,,2010 - 2011,475,117,0.25,,,,,,,,,,,,
,,2011 - 2012,412,91,0.22,,,,,,,,,,,,
,,2012 - 2013,323,88,0.27,,,,,,,,,,,,
,,2013 - 2014,282,130,0.46,,,,,,,,,,,,
,,2014 - 2015,"4,000.00","3,000.00",0.75,,,,,,,,,,,,
,,2018 - 2019,6,2,0.33,,,,,,,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,,,,
,,2022 - 2023,165,119,0.72,,,,,,,,,,,,
,24. Katni,2000 - 2001,"7,387.00",957,0.13,,,,,,,,,,,,
,,2001 - 2002,"7,168.00","1,695.00",0.24,,,,,,,,,,,,
,,2002 - 2003,"6,658.00","1,043.00",0.16,,,,,,,,,,,,
,,2003 - 2004,"6,114.00","1,579.00",0.26,,,,,,,,,,,,
,,2004 - 2005,"6,244.00","1,449.00",0.23,,,,,,,,,,,,
,,2005 - 2006,"2,866.00",2,0,,,,,,,,,,,,
,,2006 - 2007,"5,652.00",646,0.11,,,,,,,,,,,,
,,2008 - 2009,,,,,,,"4,646.00","1,057.00",0.23,,,,,,
,,2009 - 2010,"3,210.00",392,0.12,,,,,,,,,,,,
,,2010 - 2011,"3,440.00",715,0.21,,,,,,,,,,,,
,,2011 - 2012,"3,022.00",508,0.17,,,,,,,,,,,,
,,2012 - 2013,"2,554.00","1,001.00",0.39,,,,,,,,,,,,
,,2013 - 2014,"1,694.00","2,351.00",1.39,,,,,,,,,,,,
,,2014 - 2015,"2,000.00","1,000.00",0.5,,,,,,,,,,,,
,,2015 - 2016,"3,000.00","2,000.00",0.67,,,,,,,,,,,,
,,2016 - 2017,"2,000.00","2,000.00",1,,,,,,,,,,,,
,,2017 - 2018,660,710,1.08,,,,,,,,,,,,
,,2018 - 2019,328,356,1.09,,,,,,,,,,,,
,,2019 - 2020,302,418,1.38,,,,,,,,,,,,
,,2021 - 2022,655,576,0.88,,,,,,,,,,,,
,,2022 - 2023,614,677,1.1,,,,,,,,,,,,
,25. Khandwa,2000 - 2001,"5,687.00",751,0.13,,,,,,,,,,,,
,,2001 - 2002,"4,565.00",868,0.19,,,,,,,,,,,,
,,2002 - 2003,"3,649.00",741,0.2,,,,,,,,,,,,
,,2003 - 2004,"2,727.00",671,0.25,,,,,,,,,,,,
,,2004 - 2005,"2,524.00",455,0.18,,,,,,,,,,,,
,,2005 - 2006,485,114,0.24,,,,,,,,,,,,
,,2006 - 2007,"2,257.00",517,0.23,,,,,,,,,,,,
,,2007 - 2008,,,,,,,225,50,0.22,,,,,,
,,2008 - 2009,,,,,,,"1,711.00",452,0.26,,,,,,
,,2009 - 2010,"1,484.00",348,0.23,13,5,0.38,,,,,,,,,
,,2010 - 2011,"1,137.00",350,0.31,,,,,,,,,,,,
,,2011 - 2012,"1,114.00",287,0.26,,,,,,,,,,,,
,,2012 - 2013,654,145,0.22,,,,,,,,,,,,
,,2013 - 2014,272,60,0.22,,,,,,,,,,,,
,,2014 - 2015,"2,000.00","1,000.00",0.5,,,,,,,,,,,,
,,2016 - 2017,"1,000.00","5,000.00",5,,,,,,,,,,,,
,,2017 - 2018,480,310,0.65,,,,,,,,,,,,
,,2018 - 2019,40,19,0.48,,,,,,,,,,,,
,,2019 - 2020,45,20,0.44,,,,,,,,,,,,
,,2021 - 2022,8,2,0.25,,,,,,,,,,,,
,,2022 - 2023,70,43,0.61,,,,,,,,,,,,
,26. Khargone,2000 - 2001,247,40,0.16,,,,,,,,,,,,
,,2001 - 2002,372,73,0.2,,,,,,,,,,,,
,,2002 - 2003,337,73,0.22,,,,,,,,,,,,
,,2003 - 2004,89,23,0.26,,,,,,,,,,,,
,,2004 - 2005,228,42,0.18,,,,,,,,,,,,
