State,District,Year,Rapeseed &Mustard,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,231,318,1.38,,,,,,,,,
,,2021 - 2022,243,332,1.37,,,,,,,,,
,,2022 - 2023,245,337,1.38,,,,,,,,,
,17. Papum pare,2016 - 2017,"1,276.00","1,870.00",1.47,,,,,,,,,
,,2017 - 2018,"1,287.00","1,881.00",1.46,,,,,,,,,
,,2018 - 2019,"1,287.00","1,881.00",1.46,,,,,,,,,
,,2019 - 2020,"1,288.00","1,881.00",1.46,,,,,,,,,
,,2020 - 2021,"1,290.00","1,901.00",1.47,,,,,,,,,
,,2021 - 2022,"1,317.00","1,934.00",1.47,,,,,,,,,
,,2022 - 2023,"1,330.00","1,949.00",1.47,,,,,,,,,
,18. Shi yomi,2019 - 2020,213,155,0.73,,,,,,,,,
,,2020 - 2021,213,157,0.74,,,,,,,,,
,,2021 - 2022,222,167,0.75,,,,,,,,,
,,2022 - 2023,222,167,0.75,,,,,,,,,
,19. Siang,2016 - 2017,"1,844.00","1,671.00",0.91,,,,,,,,,
,,2017 - 2018,"1,870.00","1,697.00",0.91,,,,,,,,,
,,2018 - 2019,"1,871.00","1,697.00",0.91,,,,,,,,,
,,2019 - 2020,"1,874.00","1,700.00",0.91,,,,,,,,,
,,2020 - 2021,"1,877.00","1,720.00",0.92,,,,,,,,,
,,2021 - 2022,"1,894.00","1,838.00",0.97,,,,,,,,,
,,2022 - 2023,"1,897.00","1,848.00",0.97,,,,,,,,,
,20. Tirap,2016 - 2017,165,258,1.56,,,,,,,,,
,,2017 - 2018,176,269,1.53,,,,,,,,,
,,2018 - 2019,176,269,1.53,,,,,,,,,
,,2019 - 2020,179,272,1.52,,,,,,,,,
,,2020 - 2021,180,275,1.53,,,,,,,,,
,,2021 - 2022,191,228,1.19,,,,,,,,,
,,2022 - 2023,193,230,1.19,,,,,,,,,
,21. Upper siang,2016 - 2017,73,110,1.51,,,,,,,,,
,,2017 - 2018,84,121,1.44,,,,,,,,,
,,2018 - 2019,84,121,1.44,,,,,,,,,
,,2019 - 2020,85,124,1.46,,,,,,,,,
,,2020 - 2021,86,126,1.47,,,,,,,,,
,,2021 - 2022,100,147,1.47,,,,,,,,,
,,2022 - 2023,106,149,1.41,,,,,,,,,
,22. Upper subansiri,2016 - 2017,114,175,1.54,,,,,,,,,
,,2017 - 2018,125,186,1.49,,,,,,,,,
,,2018 - 2019,97,153,1.58,,,,,,,,,
,,2019 - 2020,99,155,1.57,,,,,,,,,
,,2020 - 2021,100,157,1.57,,,,,,,,,
,,2021 - 2022,112,173,1.54,,,,,,,,,
,,2022 - 2023,119,175,1.47,,,,,,,,,
,23. West kameng,2016 - 2017,187,341,1.82,,,,,,,,,
,,2017 - 2018,198,352,1.78,,,,,,,,,
,,2018 - 2019,198,352,1.78,,,,,,,,,
,,2019 - 2020,200,353,1.77,,,,,,,,,
,,2020 - 2021,201,363,1.81,,,,,,,,,
,,2021 - 2022,213,381,1.79,,,,,,,,,
,,2022 - 2023,215,391,1.82,,,,,,,,,
,24. West siang,2016 - 2017,"1,266.00","1,750.00",1.38,,,,,,,,,
,,2017 - 2018,"1,277.00","1,761.00",1.38,,,,,,,,,
,,2018 - 2019,941,663,0.7,,,,,,,,,
,,2019 - 2020,491,341,0.69,,,,,,,,,
,,2020 - 2021,492,345,0.7,,,,,,,,,
,,2021 - 2022,506,373,0.74,,,,,,,,,
,,2022 - 2023,498,435,0.87,,,,,,,,,
4. Assam,1. Baksa,2005 - 2006,"9,254.00","4,072.00",0.44,,,,,,,,,
,,2006 - 2007,"10,758.00","5,228.00",0.49,,,,,,,,,
,,2007 - 2008,"10,587.00","6,892.00",0.65,,,,,,,,,
,,2008 - 2009,"7,707.00","4,601.00",0.6,,,,,,,,,
,,2009 - 2010,"9,684.00","2,811.00",0.29,,,,,,,,,
,,2010 - 2011,"9,500.00","3,467.00",0.36,,,,,,,,,
,,2011 - 2012,"8,535.00","4,333.00",0.51,,,,,,,,,
,,2012 - 2013,"10,200.00","5,361.00",0.53,,,,,,,,,
,,2013 - 2014,"10,375.00","6,148.00",0.59,,,,,,,,,
,,2014 - 2015,"10,380.00","5,384.00",0.52,,,,,,,,,
,,2015 - 2016,"10,350.00","5,893.00",0.57,,,,,,,,,
,,2016 - 2017,"10,575.00","6,023.00",0.57,,,,,,,,,
,,2017 - 2018,"10,580.00","6,371.00",0.6,,,,,,,,,
,,2018 - 2019,"11,020.00","6,948.00",0.63,,,,,,,,,
,,2019 - 2020,"11,250.00","7,338.00",0.65,,,,,,,,,
,,2020 - 2021,"11,055.00","5,929.00",0.54,,,,,,,,,
,,2021 - 2022,"11,250.00","7,856.00",0.7,,,,,,,,,
,,2022 - 2023,"11,900.00","8,317.00",0.7,,,,,,,,,
,2. Barpeta,2000 - 2001,"25,865.00","15,146.00",0.59,,,,,,,,,
,,2001 - 2002,"24,045.00","7,862.00",0.33,,,,,,,,,
,,2002 - 2003,"24,040.00","12,861.00",0.53,,,,,,,,,
,,2003 - 2004,"28,740.00","17,948.00",0.62,,,,,,,,,
,,2004 - 2005,"20,740.00","11,522.00",0.56,,,,,,,,,
,,2005 - 2006,"14,768.00","4,279.00",0.29,,,,,,,,,
,,2006 - 2007,"18,508.00","8,561.00",0.46,,,,,,,,,
,,2007 - 2008,"18,766.00","9,931.00",0.53,,,,,,,,,
,,2008 - 2009,"12,607.00","7,265.00",0.58,,,,,,,,,
,,2009 - 2010,"14,241.00","7,359.00",0.52,,,,,,,,,
,,2010 - 2011,"16,740.00","7,385.00",0.44,,,,,,,,,
,,2011 - 2012,"16,500.00","10,794.00",0.65,,,,,,,,,
,,2012 - 2013,"18,005.00","14,813.00",0.82,,,,,,,,,
,,2013 - 2014,"18,601.00","10,054.00",0.54,,,,,,,,,
,,2014 - 2015,"18,263.00","9,865.00",0.54,,,,,,,,,
