State,District,Year,Rapeseed &Mustard,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,"1,51,131.00","2,22,767.00",1.47,,,,,,,,,
,,2006 - 2007,"1,46,768.00","1,95,348.00",1.33,,,,,,,,,
,,2007 - 2008,"1,38,013.00","1,93,632.00",1.4,,,,,,,,,
,,2008 - 2009,"1,51,876.00","2,02,451.00",1.33,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"1,50,614.00","1,96,401.00",1.3
,,2010 - 2011,"1,39,166.00","2,25,171.00",1.62,,,,,,,,,
,,2011 - 2012,"1,34,093.00","2,31,445.00",1.73,,,,,,,,,
,,2012 - 2013,"1,41,899.00","2,46,620.00",1.74,,,,,,,,,
,,2013 - 2014,"1,37,860.00","1,41,996.00",1.03,,,,,,,,,
,,2014 - 2015,"1,50,000.00","1,57,000.00",1.05,,,,,,,,,
,,2015 - 2016,"1,28,000.00","1,75,000.00",1.37,,,,,,,,,
,,2016 - 2017,"1,39,000.00","2,21,000.00",1.59,,,,,,,,,
,,2017 - 2018,"1,45,490.00","2,19,110.00",1.51,,,,,,,,,
,,2018 - 2019,"1,45,446.00","3,04,273.00",2.09,,,,,,,,,
,,2019 - 2020,"1,48,173.00","3,09,682.00",2.09,,,,,,,,,
,,2020 - 2021,"1,55,400.00","3,37,529.00",2.17,,,,,,,,,
,,2021 - 2022,"1,85,467.00","3,22,713.00",1.74,,,,,,,,,
,,2022 - 2023,"1,85,287.00","3,44,634.00",1.86,,,,,,,,,
,31. Narsinghpur,2000 - 2001,272,222,0.82,,,,,,,,,
,,2001 - 2002,164,167,1.02,,,,,,,,,
,,2002 - 2003,92,67,0.73,,,,,,,,,
,,2003 - 2004,203,226,1.11,,,,,,,,,
,,2004 - 2005,252,293,1.16,,,,,,,,,
,,2005 - 2006,206,251,1.22,,,,,,,,,
,,2006 - 2007,143,170,1.19,,,,,,,,,
,,2007 - 2008,147,170,1.16,,,,,,,,,
,,2008 - 2009,55,69,1.25,,,,,,,,,
,,2009 - 2010,,,,,,,,,,35,38,1.09
,,2010 - 2011,87,95,1.09,,,,,,,,,
,,2011 - 2012,26,43,1.65,,,,,,,,,
,,2012 - 2013,39,58,1.49,,,,,,,,,
,,2013 - 2014,27,19,0.7,,,,,,,,,
,,2014 - 2015,"1,000.00","1,000.00",1,,,,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,,,,
,,2017 - 2018,"2,500.00","2,980.00",1.19,,,,,,,,,
,,2018 - 2019,29,23,0.79,,,,,,,,,
,,2019 - 2020,40,67,1.68,,,,,,,,,
,,2020 - 2021,45,77,1.71,,,,,,,,,
,,2021 - 2022,301,362,1.2,,,,,,,,,
,,2022 - 2023,821,969,1.18,,,,,,,,,
,32. Neemuch,2000 - 2001,"6,001.00","3,746.00",0.62,,,,,,,,,
,,2001 - 2002,"13,189.00","10,363.00",0.79,,,,,,,,,
,,2002 - 2003,"2,622.00","1,571.00",0.6,,,,,,,,,
,,2003 - 2004,"8,605.00","8,962.00",1.04,,,,,,,,,
,,2004 - 2005,"29,382.00","32,829.00",1.12,,,,,,,,,
,,2005 - 2006,"41,477.00","40,222.00",0.97,,,,,,,,,
,,2006 - 2007,"30,731.00","27,351.00",0.89,,,,,,,,,
,,2007 - 2008,"23,176.00","21,840.00",0.94,,,,,,,,,
,,2008 - 2009,"26,948.00","24,202.00",0.9,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"19,335.00","16,989.00",0.88
,,2010 - 2011,"19,986.00","20,870.00",1.04,,,,,,,,,
,,2011 - 2012,"16,839.00","19,318.00",1.15,,,,,,,,,
,,2012 - 2013,"17,940.00","28,223.00",1.57,,,,,,,,,
,,2013 - 2014,"18,241.00","18,620.00",1.02,,,,,,,,,
,,2014 - 2015,"9,000.00","10,000.00",1.11,,,,,,,,,
,,2015 - 2016,"18,000.00","27,000.00",1.5,,,,,,,,,
,,2016 - 2017,"21,000.00","31,000.00",1.48,,,,,,,,,
,,2017 - 2018,"20,400.00","27,030.00",1.33,,,,,,,,,
,,2018 - 2019,"14,645.00","9,065.00",0.62,,,,,,,,,
,,2019 - 2020,"4,594.00","8,834.00",1.92,,,,,,,,,
,,2020 - 2021,"12,063.00","15,875.00",1.32,,,,,,,,,
,,2021 - 2022,"13,459.00","14,738.00",1.1,,,,,,,,,
,,2022 - 2023,"13,979.00","15,181.00",1.09,,,,,,,,,
,33. Niwari,2019 - 2020,"1,367.00","1,401.00",1.02,,,,,,,,,
,,2020 - 2021,"2,889.00","2,877.00",1,,,,,,,,,
,,2021 - 2022,"3,387.00","2,605.00",0.77,,,,,,,,,
,,2022 - 2023,"3,907.00","3,665.00",0.94,,,,,,,,,
,34. Panna,2000 - 2001,"2,915.00",632,0.22,,,,,,,,,
,,2001 - 2002,"2,952.00",964,0.33,,,,,,,,,
,,2002 - 2003,"3,025.00",961,0.32,,,,,,,,,
,,2003 - 2004,"3,190.00","1,210.00",0.38,,,,,,,,,
,,2004 - 2005,"3,001.00","1,111.00",0.37,,,,,,,,,
,,2005 - 2006,"3,302.00","1,297.00",0.39,,,,,,,,,
,,2006 - 2007,"2,704.00","1,010.00",0.37,,,,,,,,,
,,2007 - 2008,"2,912.00","1,236.00",0.42,,,,,,,,,
,,2008 - 2009,"3,717.00","2,359.00",0.63,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"4,531.00","2,913.00",0.64
,,2010 - 2011,"3,662.00","1,574.00",0.43,,,,,,,,,
,,2011 - 2012,"4,556.00","1,538.00",0.34,,,,,,,,,
,,2012 - 2013,"4,184.00","2,317.00",0.55,,,,,,,,,
,,2013 - 2014,"4,268.00","2,320.00",0.54,,,,,,,,,
,,2014 - 2015,"6,000.00","4,000.00",0.67,,,,,,,,,
,,2015 - 2016,"6,000.00","4,000.00",0.67,,,,,,,,,
,,2016 - 2017,"8,000.00","6,000.00",0.75,,,,,,,,,
,,2017 - 2018,"12,600.00","10,870.00",0.86,,,,,,,,,
,,2018 - 2019,"6,055.00","3,482.00",0.58,,,,,,,,,
,,2019 - 2020,"10,772.00","9,727.00",0.9,,,,,,,,,
,,2020 - 2021,"12,001.00","12,673.00",1.06,,,,,,,,,
,,2021 - 2022,"18,850.00","16,079.00",0.85,,,,,,,,,
,,2022 - 2023,"19,370.00","18,382.00",0.95,,,,,,,,,
,35. Raisen,2000 - 2001,230,153,0.67,,,,,,,,,
,,2001 - 2002,178,145,0.81,,,,,,,,,
,,2002 - 2003,251,206,0.82,,,,,,,,,
,,2003 - 2004,163,165,1.01,,,,,,,,,
,,2004 - 2005,186,190,1.02,,,,,,,,,
,,2005 - 2006,345,355,1.03,,,,,,,,,
,,2006 - 2007,306,312,1.02,,,,,,,,,
,,2007 - 2008,281,280,1,,,,,,,,,
,,2008 - 2009,234,249,1.06,,,,,,,,,
,,2009 - 2010,,,,,,,,,,374,404,1.08
,,2010 - 2011,281,271,0.96,,,,,,,,,
,,2011 - 2012,148,177,1.2,,,,,,,,,
,,2012 - 2013,157,125,0.8,,,,,,,,,
,,2013 - 2014,233,197,0.85,,,,,,,,,
,,2014 - 2015,"1,000.00","1,000.00",1,,,,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,,,,
,,2017 - 2018,280,200,0.71,,,,,,,,,
,,2018 - 2019,36,24,0.67,,,,,,,,,
,,2019 - 2020,85,96,1.13,,,,,,,,,
,,2020 - 2021,72,67,0.93,,,,,,,,,
,,2021 - 2022,233,180,0.77,,,,,,,,,
,,2022 - 2023,"1,071.00",739,0.69,,,,,,,,,
,36. Rajgarh,2000 - 2001,124,55,0.44,,,,,,,,,
,,2001 - 2002,140,81,0.58,,,,,,,,,
,,2002 - 2003,79,41,0.52,,,,,,,,,
,,2003 - 2004,157,134,0.85,,,,,,,,,
,,2004 - 2005,849,639,0.75,,,,,,,,,
,,2005 - 2006,"1,519.00",954,0.63,,,,,,,,,
,,2006 - 2007,"1,662.00","1,431.00",0.86,,,,,,,,,
,,2007 - 2008,"1,687.00","1,338.00",0.79,,,,,,,,,
,,2008 - 2009,"1,404.00","1,025.00",0.73,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"2,663.00","2,532.00",0.95
,,2010 - 2011,"4,022.00","3,105.00",0.77,,,,,,,,,
,,2011 - 2012,"2,804.00","3,227.00",1.15,,,,,,,,,
,,2012 - 2013,"4,853.00","5,633.00",1.16,,,,,,,,,
,,2013 - 2014,"8,348.00","5,999.00",0.72,,,,,,,,,
,,2014 - 2015,"2,000.00","2,000.00",1,,,,,,,,,
,,2015 - 2016,"7,000.00","8,000.00",1.14,,,,,,,,,
,,2016 - 2017,"7,000.00","5,000.00",0.71,,,,,,,,,
,,2017 - 2018,"8,970.00","8,520.00",0.95,,,,,,,,,
,,2018 - 2019,"5,292.00","3,202.00",0.61,,,,,,,,,
,,2019 - 2020,"7,420.00","9,527.00",1.28,,,,,,,,,
,,2020 - 2021,"25,344.00","32,364.00",1.28,,,,,,,,,
,,2021 - 2022,"59,305.00","60,550.00",1.02,,,,,,,,,
,,2022 - 2023,"59,825.00","83,755.00",1.4,,,,,,,,,
,37. Ratlam,2000 - 2001,172,130,0.76,,,,,,,,,
,,2001 - 2002,637,486,0.76,,,,,,,,,
,,2002 - 2003,428,264,0.62,,,,,,,,,
,,2003 - 2004,"1,764.00","2,448.00",1.39,,,,,,,,,
,,2004 - 2005,"11,402.00","16,074.00",1.41,,,,,,,,,
,,2005 - 2006,"15,248.00","21,971.00",1.44,,,,,,,,,
,,2006 - 2007,"11,827.00","16,945.00",1.43,,,,,,,,,
,,2007 - 2008,"9,441.00","13,220.00",1.4,,,,,,,,,
,,2008 - 2009,"4,132.00","6,180.00",1.5,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"4,528.00","6,863.00",1.52
,,2010 - 2011,"5,606.00","9,196.00",1.64,,,,,,,,,
,,2011 - 2012,"5,040.00","11,292.00",2.24,,,,,,,,,
,,2012 - 2013,"8,264.00","17,336.00",2.1,,,,,,,,,
,,2013 - 2014,"9,865.00","14,350.00",1.45,,,,,,,,,
,,2014 - 2015,"7,000.00","12,000.00",1.71,,,,,,,,,
,,2015 - 2016,"8,000.00","12,000.00",1.5,,,,,,,,,
,,2016 - 2017,"10,000.00","15,000.00",1.5,,,,,,,,,
,,2017 - 2018,"9,300.00","9,240.00",0.99,,,,,,,,,
,,2018 - 2019,"4,126.00","5,017.00",1.22,,,,,,,,,
,,2019 - 2020,"2,294.00","4,035.00",1.76,,,,,,,,,
,,2020 - 2021,"3,977.00","7,290.00",1.83,,,,,,,,,
,,2021 - 2022,"4,636.00","7,719.00",1.67,,,,,,,,,
,,2022 - 2023,"5,156.00","7,270.00",1.41,,,,,,,,,
,38. Rewa,2000 - 2001,"2,416.00",540,0.22,,,,,,,,,
,,2001 - 2002,"2,530.00",784,0.31,,,,,,,,,
,,2002 - 2003,"2,695.00",874,0.32,,,,,,,,,
,,2003 - 2004,"2,710.00",824,0.3,,,,,,,,,
,,2004 - 2005,"2,852.00",881,0.31,,,,,,,,,
,,2005 - 2006,"2,693.00","1,127.00",0.42,,,,,,,,,
,,2006 - 2007,"2,478.00",886,0.36,,,,,,,,,
,,2007 - 2008,"2,513.00",819,0.33,,,,,,,,,
,,2008 - 2009,"2,767.00","1,346.00",0.49,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"3,184.00","1,569.00",0.49
,,2010 - 2011,"3,063.00","1,147.00",0.37,,,,,,,,,
,,2011 - 2012,"3,370.00","1,466.00",0.44,,,,,,,,,
,,2012 - 2013,"3,923.00","1,797.00",0.46,,,,,,,,,
,,2013 - 2014,"4,916.00","2,319.00",0.47,,,,,,,,,
,,2014 - 2015,"7,000.00","4,000.00",0.57,,,,,,,,,
,,2015 - 2016,"16,000.00","10,000.00",0.63,,,,,,,,,
,,2016 - 2017,"14,000.00","11,000.00",0.79,,,,,,,,,
,,2017 - 2018,"14,510.00","13,510.00",0.93,,,,,,,,,
,,2018 - 2019,"6,960.00","3,731.00",0.54,,,,,,,,,
,,2019 - 2020,"17,101.00","18,042.00",1.06,,,,,,,,,
,,2020 - 2021,"15,700.00","11,681.00",0.74,,,,,,,,,
,,2021 - 2022,"21,073.00","18,123.00",0.86,,,,,,,,,
,,2022 - 2023,"26,475.00","35,741.00",1.35,,,,,,,,,
,39. Sagar,2000 - 2001,819,314,0.38,,,,,,,,,
,,2001 - 2002,768,398,0.52,,,,,,,,,
,,2002 - 2003,477,185,0.39,,,,,,,,,
,,2003 - 2004,779,524,0.67,,,,,,,,,
,,2004 - 2005,821,562,0.68,,,,,,,,,
,,2005 - 2006,975,643,0.66,,,,,,,,,
,,2006 - 2007,982,646,0.66,,,,,,,,,
,,2007 - 2008,687,440,0.64,,,,,,,,,
,,2008 - 2009,612,535,0.87,,,,,,,,,
,,2009 - 2010,,,,,,,,,,620,508,0.82
,,2010 - 2011,833,492,0.59,,,,,,,,,
,,2011 - 2012,513,417,0.81,,,,,,,,,
,,2012 - 2013,491,406,0.83,,,,,,,,,
,,2013 - 2014,426,169,0.4,,,,,,,,,
,,2014 - 2015,"1,000.00","1,000.00",1,,,,,,,,,
,,2015 - 2016,"4,000.00","3,000.00",0.75,,,,,,,,,
,,2017 - 2018,"3,510.00","2,810.00",0.8,,,,,,,,,
,,2018 - 2019,607,431,0.71,,,,,,,,,
,,2019 - 2020,"1,014.00","1,273.00",1.26,,,,,,,,,
,,2020 - 2021,"1,018.00","1,072.00",1.05,,,,,,,,,
,,2021 - 2022,"2,486.00","2,334.00",0.94,,,,,,,,,
,,2022 - 2023,"4,028.00","3,835.00",0.95,,,,,,,,,
,40. Satna,2000 - 2001,"1,641.00",314,0.19,,,,,,,,,
,,2001 - 2002,"2,019.00",627,0.31,,,,,,,,,
,,2002 - 2003,"2,473.00",765,0.31,,,,,,,,,
,,2003 - 2004,"2,427.00",903,0.37,,,,,,,,,
,,2004 - 2005,"2,628.00",977,0.37,,,,,,,,,
,,2005 - 2006,"2,595.00",909,0.35,,,,,,,,,
,,2006 - 2007,"2,236.00",581,0.26,,,,,,,,,
,,2007 - 2008,"2,101.00",533,0.25,,,,,,,,,
,,2008 - 2009,"2,329.00",846,0.36,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"2,741.00","1,193.00",0.44
,,2010 - 2011,"2,607.00",817,0.31,,,,,,,,,
,,2011 - 2012,"2,776.00","1,194.00",0.43,,,,,,,,,
,,2012 - 2013,"2,933.00","1,004.00",0.34,,,,,,,,,
,,2013 - 2014,"3,299.00",885,0.27,,,,,,,,,
,,2014 - 2015,"2,000.00","1,000.00",0.5,,,,,,,,,
,,2015 - 2016,"4,000.00","3,000.00",0.75,,,,,,,,,
,,2016 - 2017,"5,000.00","6,000.00",1.2,,,,,,,,,
,,2017 - 2018,"7,350.00","13,620.00",1.85,,,,,,,,,
,,2018 - 2019,"6,061.00","1,473.00",0.24,,,,,,,,,
,,2019 - 2020,"8,183.00","7,455.00",0.91,,,,,,,,,
,,2020 - 2021,"8,777.00","7,162.00",0.82,,,,,,,,,
,,2021 - 2022,"13,584.00","11,411.00",0.84,,,,,,,,,
,,2022 - 2023,"14,176.00","17,663.00",1.25,,,,,,,,,
,41. Sehore,2000 - 2001,10,3,0.3,,,,,,,,,
,,2001 - 2002,44,27,0.61,,,,,,,,,
,,2002 - 2003,35,21,0.6,,,,,,,,,
,,2003 - 2004,67,47,0.7,,,,,,,,,
,,2004 - 2005,"86,086.00","1,15,417.00",1.34,,,,,,,,,
,,2005 - 2006,62,44,0.71,,,,,,,,,
,,2006 - 2007,66,47,0.71,,,,,,,,,
,,2007 - 2008,47,35,0.74,,,,,,,,,
,,2008 - 2009,57,56,0.98,,,,,,,,,
,,2009 - 2010,,,,,,,,,,77,92,1.19
,,2010 - 2011,107,74,0.69,,,,,,,,,
,,2011 - 2012,68,102,1.5,,,,,,,,,
,,2012 - 2013,56,50,0.89,,,,,,,,,
,,2013 - 2014,68,58,0.85,,,,,,,,,
,,2017 - 2018,230,260,1.13,,,,,,,,,
,,2018 - 2019,150,118,0.79,,,,,,,,,
,,2019 - 2020,198,286,1.44,,,,,,,,,
,,2020 - 2021,222,337,1.52,,,,,,,,,
,,2021 - 2022,441,472,1.07,,,,,,,,,
,,2022 - 2023,961,"1,023.00",1.06,,,,,,,,,
,42. Seoni,2000 - 2001,686,276,0.4,,,,,,,,,
,,2001 - 2002,"1,063.00",738,0.69,,,,,,,,,
,,2002 - 2003,"1,016.00",658,0.65,,,,,,,,,
,,2003 - 2004,"1,106.00",874,0.79,,,,,,,,,
,,2004 - 2005,"1,216.00",811,0.67,,,,,,,,,
,,2005 - 2006,"1,322.00",998,0.75,,,,,,,,,
,,2006 - 2007,"1,123.00",856,0.76,,,,,,,,,
,,2007 - 2008,"1,091.00",853,0.78,,,,,,,,,
,,2008 - 2009,"1,080.00",901,0.83,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"1,180.00",997,0.84
,,2010 - 2011,"1,103.00",851,0.77,,,,,,,,,
,,2011 - 2012,"1,208.00","1,205.00",1,,,,,,,,,
,,2012 - 2013,"1,182.00","1,097.00",0.93,,,,,,,,,
,,2013 - 2014,"1,189.00","1,031.00",0.87,,,,,,,,,
,,2014 - 2015,"1,000.00","1,000.00",1,,,,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,,,,
,,2017 - 2018,"1,400.00",640,0.46,,,,,,,,,
,,2018 - 2019,431,245,0.57,,,,,,,,,
,,2019 - 2020,"1,975.00","2,234.00",1.13,,,,,,,,,
,,2020 - 2021,"2,253.00","2,816.00",1.25,,,,,,,,,
,,2021 - 2022,"5,920.00","5,150.00",0.87,,,,,,,,,
,,2022 - 2023,"8,667.00","7,064.00",0.82,,,,,,,,,
,43. Shahdol,2000 - 2001,"12,749.00","2,852.00",0.22,,,,,,,,,
,,2001 - 2002,"13,216.00","3,176.00",0.24,,,,,,,,,
,,2002 - 2003,"11,944.00","3,290.00",0.28,,,,,,,,,
,,2003 - 2004,"3,966.00","1,206.00",0.3,,,,,,,,,
,,2004 - 2005,"4,430.00","1,506.00",0.34,,,,,,,,,
,,2005 - 2006,"4,434.00","1,678.00",0.38,,,,,,,,,
,,2006 - 2007,"3,863.00","1,342.00",0.35,,,,,,,,,
,,2007 - 2008,"3,480.00","1,305.00",0.38,,,,,,,,,
,,2008 - 2009,"3,713.00","1,542.00",0.42,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"4,123.00","1,895.00",0.46
,,2010 - 2011,"4,257.00","1,663.00",0.39,,,,,,,,,
,,2011 - 2012,"4,018.00","1,696.00",0.42,,,,,,,,,
,,2012 - 2013,"4,102.00","2,098.00",0.51,,,,,,,,,
,,2013 - 2014,"8,991.00","4,956.00",0.55,,,,,,,,,
,,2014 - 2015,"7,000.00","5,000.00",0.71,,,,,,,,,
,,2015 - 2016,"5,000.00","3,000.00",0.6,,,,,,,,,
,,2016 - 2017,"9,000.00","4,000.00",0.44,,,,,,,,,
,,2017 - 2018,"9,300.00","4,460.00",0.48,,,,,,,,,
,,2018 - 2019,"1,721.00",558,0.32,,,,,,,,,
,,2019 - 2020,"2,717.00","1,891.00",0.7,,,,,,,,,
,,2020 - 2021,"2,296.00","1,056.00",0.46,,,,,,,,,
,,2021 - 2022,"2,898.00","1,797.00",0.62,,,,,,,,,
,,2022 - 2023,"3,418.00","2,717.00",0.79,,,,,,,,,
,44. Shajapur,2000 - 2001,163,113,0.69,,,,,,,,,
,,2001 - 2002,221,150,0.68,,,,,,,,,
,,2002 - 2003,136,88,0.65,,,,,,,,,
,,2003 - 2004,436,407,0.93,,,,,,,,,
,,2004 - 2005,"3,068.00","3,105.00",1.01,,,,,,,,,
,,2005 - 2006,"3,229.00","2,555.00",0.79,,,,,,,,,
,,2006 - 2007,"5,523.00","5,909.00",1.07,,,,,,,,,
,,2007 - 2008,"4,265.00","3,280.00",0.77,,,,,,,,,
,,2008 - 2009,"3,910.00","3,213.00",0.82,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"5,308.00","6,186.00",1.17
,,2010 - 2011,"7,023.00","7,201.00",1.03,,,,,,,,,
,,2011 - 2012,"5,758.00","7,192.00",1.25,,,,,,,,,
,,2012 - 2013,"6,288.00","6,822.00",1.08,,,,,,,,,
,,2013 - 2014,"2,605.00","2,417.00",0.93,,,,,,,,,
,,2014 - 2015,"2,000.00","2,000.00",1,,,,,,,,,
,,2015 - 2016,"4,000.00","4,000.00",1,,,,,,,,,
,,2016 - 2017,"4,000.00","4,000.00",1,,,,,,,,,
,,2017 - 2018,"3,800.00","4,320.00",1.14,,,,,,,,,
,,2018 - 2019,322,234,0.73,,,,,,,,,
,,2019 - 2020,646,"1,077.00",1.67,,,,,,,,,
,,2020 - 2021,"1,708.00","2,313.00",1.35,,,,,,,,,
,,2021 - 2022,"3,035.00","3,068.00",1.01,,,,,,,,,
,,2022 - 2023,"3,555.00","3,829.00",1.08,,,,,,,,,
,45. Sheopur,2000 - 2001,"56,550.00","45,767.00",0.81,,,,,,,,,
,,2001 - 2002,"60,530.00","66,667.00",1.1,,,,,,,,,
,,2002 - 2003,"9,248.00","4,699.00",0.51,,,,,,,,,
,,2003 - 2004,"59,567.00","91,744.00",1.54,,,,,,,,,
,,2004 - 2005,62,44,0.71,,,,,,,,,
,,2005 - 2006,"89,519.00","1,05,536.00",1.18,,,,,,,,,
,,2006 - 2007,"81,812.00","95,896.00",1.17,,,,,,,,,
,,2007 - 2008,"68,489.00","78,465.00",1.15,,,,,,,,,
,,2008 - 2009,"83,690.00","1,02,404.00",1.22,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"75,812.00","94,004.00",1.24
,,2010 - 2011,"48,646.00","54,625.00",1.12,,,,,,,,,
,,2011 - 2012,"49,455.00","68,307.00",1.38,,,,,,,,,
,,2012 - 2013,"47,053.00","72,088.00",1.53,,,,,,,,,
,,2013 - 2014,"47,985.00","67,307.00",1.4,,,,,,,,,
,,2014 - 2015,"43,000.00","70,000.00",1.63,,,,,,,,,
,,2015 - 2016,"33,000.00","38,000.00",1.15,,,,,,,,,
,,2016 - 2017,"39,000.00","56,000.00",1.44,,,,,,,,,
,,2017 - 2018,"17,210.00","23,940.00",1.39,,,,,,,,,
,,2018 - 2019,"43,463.00","57,936.00",1.33,,,,,,,,,
,,2019 - 2020,"39,255.00","85,380.00",2.18,,,,,,,,,
,,2020 - 2021,"42,044.00","95,019.00",2.26,,,,,,,,,
,,2021 - 2022,"75,785.00","1,36,034.00",1.79,,,,,,,,,
,,2022 - 2023,"77,265.00","1,32,896.00",1.72,,,,,,,,,
,46. Shivpuri,2000 - 2001,"34,274.00","16,927.00",0.49,,,,,,,,,
,,2001 - 2002,"33,357.00","20,970.00",0.63,,,,,,,,,
,,2002 - 2003,"9,997.00","3,501.00",0.35,,,,,,,,,
,,2003 - 2004,"34,292.00","25,616.00",0.75,,,,,,,,,
,,2004 - 2005,"61,708.00","48,765.00",0.79,,,,,,,,,
,,2005 - 2006,"79,178.00","57,995.00",0.73,,,,,,,,,
,,2006 - 2007,"54,553.00","36,117.00",0.66,,,,,,,,,
,,2007 - 2008,"44,799.00","23,675.00",0.53,,,,,,,,,
,,2008 - 2009,"60,211.00","45,774.00",0.76,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"61,094.00","49,205.00",0.81
,,2010 - 2011,"63,301.00","46,232.00",0.73,,,,,,,,,
,,2011 - 2012,"40,082.00","34,447.00",0.86,,,,,,,,,
,,2012 - 2013,"36,504.00","24,656.00",0.68,,,,,,,,,
,,2013 - 2014,"33,360.00","18,144.00",0.54,,,,,,,,,
,,2014 - 2015,"53,000.00","36,000.00",0.68,,,,,,,,,
,,2015 - 2016,"42,000.00","25,000.00",0.6,,,,,,,,,
,,2016 - 2017,"62,000.00","74,000.00",1.19,,,,,,,,,
,,2017 - 2018,"54,660.00","47,820.00",0.87,,,,,,,,,
,,2018 - 2019,"39,695.00","21,475.00",0.54,,,,,,,,,
,,2019 - 2020,"31,502.00","32,416.00",1.03,,,,,,,,,
,,2020 - 2021,"41,140.00","67,675.00",1.64,,,,,,,,,
,,2021 - 2022,"1,19,521.00","1,17,131.00",0.98,,,,,,,,,
,,2022 - 2023,"1,20,041.00","2,00,468.00",1.67,,,,,,,,,
,47. Sidhi,2000 - 2001,"8,687.00","1,664.00",0.19,,,,,,,,,
,,2001 - 2002,"8,924.00","2,221.00",0.25,,,,,,,,,
,,2002 - 2003,"7,963.00","2,003.00",0.25,,,,,,,,,
,,2003 - 2004,"8,357.00","3,010.00",0.36,,,,,,,,,
,,2004 - 2005,"8,094.00","2,912.00",0.36,,,,,,,,,
,,2005 - 2006,"8,017.00","3,496.00",0.44,,,,,,,,,
,,2006 - 2007,"7,968.00","3,602.00",0.45,,,,,,,,,
,,2007 - 2008,"7,686.00","3,049.00",0.4,,,,,,,,,
,,2008 - 2009,"3,240.00","1,622.00",0.5,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"4,043.00","2,050.00",0.51
,,2010 - 2011,"3,444.00","1,486.00",0.43,,,,,,,,,
,,2011 - 2012,"3,784.00","2,672.00",0.71,,,,,,,,,
,,2012 - 2013,"3,621.00","1,823.00",0.5,,,,,,,,,
,,2013 - 2014,"3,533.00","1,656.00",0.47,,,,,,,,,
,,2014 - 2015,"5,000.00","3,000.00",0.6,,,,,,,,,
,,2015 - 2016,"6,000.00","4,000.00",0.67,,,,,,,,,
,,2016 - 2017,"7,000.00","5,000.00",0.71,,,,,,,,,
,,2017 - 2018,"8,600.00","6,360.00",0.74,,,,,,,,,
,,2018 - 2019,"2,253.00",764,0.34,,,,,,,,,
,,2019 - 2020,"5,057.00","3,494.00",0.69,,,,,,,,,
,,2020 - 2021,"7,132.00","9,849.00",1.38,,,,,,,,,
,,2021 - 2022,"7,368.00","4,914.00",0.67,,,,,,,,,
,,2022 - 2023,"7,888.00","5,261.00",0.67,,,,,,,,,
,48. Singrauli,2008 - 2009,"4,748.00","2,381.00",0.5,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"4,839.00","3,307.00",0.68
,,2010 - 2011,"4,572.00","2,657.00",0.58,,,,,,,,,
,,2011 - 2012,"4,763.00","3,289.00",0.69,,,,,,,,,
,,2012 - 2013,"4,697.00","5,741.00",1.22,,,,,,,,,
,,2013 - 2014,"5,076.00","5,168.00",1.02,,,,,,,,,
,,2014 - 2015,"6,000.00","7,000.00",1.17,,,,,,,,,
,,2015 - 2016,"12,000.00","8,000.00",0.67,,,,,,,,,
,,2016 - 2017,"10,000.00","6,000.00",0.6,,,,,,,,,
,,2017 - 2018,"10,250.00","6,150.00",0.6,,,,,,,,,
,,2018 - 2019,"7,677.00","5,451.00",0.71,,,,,,,,,
,,2019 - 2020,"14,545.00","17,905.00",1.23,,,,,,,,,
,,2020 - 2021,"16,984.00","6,963.00",0.41,,,,,,,,,
,,2021 - 2022,"17,113.00","13,074.00",0.76,,,,,,,,,
,,2022 - 2023,"22,749.00","17,380.00",0.76,,,,,,,,,
,49. Tikamgarh,2000 - 2001,"8,544.00","3,653.00",0.43,,,,,,,,,
,,2001 - 2002,"8,833.00","4,953.00",0.56,,,,,,,,,
,,2002 - 2003,"9,946.00","4,434.00",0.45,,,,,,,,,
,,2003 - 2004,"10,507.00","5,752.00",0.55,,,,,,,,,
,,2004 - 2005,"13,942.00","6,460.00",0.46,,,,,,,,,
,,2005 - 2006,"17,006.00","7,100.00",0.42,,,,,,,,,
