State,District,Year,Soyabean,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,"4,33,000.00","3,00,000.00",0.69,,,,,,,,,
,,2015 - 2016,"4,55,000.00","3,29,000.00",0.72,,,,,,,,,
,,2016 - 2017,"4,59,000.00","6,73,000.00",1.47,,,,,,,,,
,,2017 - 2018,"4,46,900.00","4,67,900.00",1.05,,,,,,,,,
,,2018 - 2019,"5,04,215.00","6,48,422.00",1.29,,,,,,,,,
,,2019 - 2020,"5,05,789.00","2,35,698.00",0.47,,,,,,,,,
,,2020 - 2021,"5,08,110.00","1,86,984.00",0.37,,,,,,,,,
,,2021 - 2022,"5,08,547.00","6,47,889.00",1.27,,,,,,,,,
,,2022 - 2023,"5,13,222.00","6,42,554.00",1.25,,,,,,,,,
,51. Umaria,2000 - 2001,91,33,0.36,,,,,,,,,
,,2001 - 2002,74,33,0.45,,,,,,,,,
,,2002 - 2003,63,24,0.38,,,,,,,,,
,,2003 - 2004,51,25,0.49,,,,,,,,,
,,2004 - 2005,44,19,0.43,,,,,,,,,
,,2005 - 2006,49,19,0.39,,,,,,,,,
,,2006 - 2007,91,33,0.36,,,,,,,,,
,,2007 - 2008,189,58,0.31,,,,,,,,,
,,2008 - 2009,381,156,0.41,,,,,,,,,
,,2009 - 2010,,,,,,,687,306,0.45,,,
,,2010 - 2011,"1,248.00",843,0.68,,,,,,,,,
,,2011 - 2012,"2,107.00",737,0.35,,,,,,,,,
,,2012 - 2013,"2,871.00",967,0.34,,,,,,,,,
,,2013 - 2014,"9,471.00","1,579.00",0.17,,,,,,,,,
,,2014 - 2015,"14,000.00","16,000.00",1.14,,,,,,,,,
,,2015 - 2016,"5,000.00","2,000.00",0.4,,,,,,,,,
,,2016 - 2017,"4,000.00","4,000.00",1,,,,,,,,,
,,2017 - 2018,"2,100.00","1,530.00",0.73,,,,,,,,,
,,2018 - 2019,"1,465.00",919,0.63,,,,,,,,,
,,2019 - 2020,596,294,0.49,,,,,,,,,
,,2020 - 2021,"1,356.00",669,0.49,,,,,,,,,
,,2021 - 2022,899,556,0.62,,,,,,,,,
,,2022 - 2023,"1,223.00",841,0.69,,,,,,,,,
,52. Vidisha,2000 - 2001,"1,15,873.00","1,19,122.00",1.03,,,,,,,,,
,,2001 - 2002,"1,34,850.00","1,25,794.00",0.93,,,,,,,,,
,,2002 - 2003,"1,03,515.00","88,374.00",0.85,,,,,,,,,
,,2003 - 2004,"1,25,138.00","1,06,942.00",0.85,,,,,,,,,
,,2004 - 2005,"1,34,778.00","1,40,618.00",1.04,,,,,,,,,
,,2005 - 2006,"1,24,862.00","1,40,954.00",1.13,,,,,,,,,
,,2006 - 2007,"1,43,406.00","1,40,193.00",0.98,,,,,,,,,
,,2007 - 2008,"1,80,345.00","1,81,334.00",1.01,,,,,,,,,
,,2008 - 2009,"1,92,976.00","2,09,584.00",1.09,,,,,,,,,
,,2009 - 2010,,,,,,,"2,17,852.00","2,55,592.00",1.17,,,
,,2010 - 2011,"2,49,232.00","2,77,253.00",1.11,,,,,,,,,
,,2011 - 2012,"2,42,251.00","2,90,526.00",1.2,,,,,,,,,
,,2012 - 2013,"2,89,763.00","3,21,892.00",1.11,,,,,,,,,
,,2013 - 2014,"3,17,819.00","3,21,540.00",1.01,,,,,,,,,
,,2014 - 2015,"2,55,000.00","2,98,000.00",1.17,,,,,,,,,
,,2015 - 2016,"3,11,000.00","2,05,000.00",0.66,,,,,,,,,
,,2016 - 2017,"2,90,000.00","1,71,000.00",0.59,,,,,,,,,
,,2017 - 2018,"2,77,480.00","3,75,990.00",1.36,,,,,,,,,
,,2018 - 2019,"2,90,610.00","2,76,370.00",0.95,,,,,,,,,
,,2019 - 2020,"4,38,963.00","2,52,843.00",0.58,,,,,,,,,
,,2020 - 2021,"4,56,760.00","2,59,440.00",0.57,,,,,,,,,
,,2021 - 2022,"2,58,181.00","2,58,181.00",1,,,,,,,,,
,,2022 - 2023,"3,88,901.00","4,02,124.00",1.03,,,,,,,,,
12. Maharashtra,1. Ahilyanagar,2000 - 2001,"7,200.00","6,200.00",0.86,,,,,,,,,
,,2001 - 2002,"7,600.00","9,000.00",1.18,,,,,,,,,
,,2002 - 2003,"15,100.00","18,800.00",1.25,,,,,,,,,
,,2003 - 2004,"17,900.00","18,500.00",1.03,,,,,,,,,
,,2004 - 2005,"35,500.00","51,800.00",1.46,,,,,,,,,
,,2005 - 2006,"37,500.00","38,800.00",1.03,,,,,,,,,
,,2006 - 2007,"49,000.00","64,500.00",1.32,,,,,,,,,
,,2007 - 2008,"55,400.00","84,500.00",1.53,,,,,,,,,
,,2008 - 2009,"55,500.00","40,100.00",0.72,,,,,,,,,
,,2009 - 2010,"58,000.00","53,200.00",0.92,,,,,,,,,
,,2010 - 2011,"50,700.00","90,800.00",1.79,,,,,,,,,
,,2011 - 2012,"58,600.00","1,22,700.00",2.09,,,,,,,,,
,,2012 - 2013,"56,800.00","28,100.00",0.49,,,,,,,,,
,,2013 - 2014,"65,900.00","74,500.00",1.13,,,,,,,,,
,,2014 - 2015,"58,200.00","35,900.00",0.62,,,,,,,,,
,,2015 - 2016,"40,900.00","19,800.00",0.48,,,,,,,,,
,,2016 - 2017,"52,000.00","41,700.00",0.8,,,,,,,,,
,,2017 - 2018,"59,284.00","86,900.00",1.47,,,,,,,,,
,,2018 - 2019,"60,627.00","38,254.00",0.63,,,,,,,,,
,,2019 - 2020,"70,951.00","40,505.00",0.57,,,,,,,,,
,,2020 - 2021,"84,480.32","1,41,300.37",1.67,,,,,,,,,
,,2021 - 2022,"99,300.03","1,57,052.93",1.58,,,,,,,"3,195.00","4,792.50",1.5
,,2022 - 2023,"1,10,629.00","2,00,692.00",1.81,,,,,,,"1,475.00","2,212.50",1.5
,2. Akola,2000 - 2001,"28,900.00","31,200.00",1.08,,,,,,,,,
,,2001 - 2002,"31,300.00","30,600.00",0.98,,,,,,,,,
,,2002 - 2003,"27,200.00","40,900.00",1.5,,,,,,,,,
,,2003 - 2004,"30,800.00","37,500.00",1.22,,,,,,,,,
,,2004 - 2005,"50,300.00","31,000.00",0.62,,,,,,,,,
,,2005 - 2006,"54,100.00","38,900.00",0.72,,,,,,,,,
,,2006 - 2007,"59,800.00","98,400.00",1.65,,,,,,,,,
,,2007 - 2008,"82,600.00","1,64,800.00",2,,,,,,,,,
,,2008 - 2009,"1,37,500.00","28,300.00",0.21,,,,,,,,,
,,2009 - 2010,"1,51,500.00","1,47,000.00",0.97,,,,,,,,,
,,2010 - 2011,"1,26,600.00","2,38,400.00",1.88,,,,,,,,,
,,2011 - 2012,"1,40,600.00","1,67,700.00",1.19,,,,,,,,,
,,2012 - 2013,"1,51,000.00","2,90,400.00",1.92,,,,,,,,,
,,2013 - 2014,"1,87,100.00","1,91,900.00",1.03,,,,,,,,,
,,2014 - 2015,"2,33,100.00","69,600.00",0.3,,,,,,,,,
,,2015 - 2016,"2,27,200.00","1,02,100.00",0.45,,,,,,,,,
,,2016 - 2017,"2,16,600.00","3,05,700.00",1.41,,,,,,,,,
,,2017 - 2018,"2,04,700.00","1,44,000.00",0.7,,,,,,,,,
,,2018 - 2019,"2,12,808.00","2,98,804.00",1.4,,,,,,,,,
,,2019 - 2020,"2,09,650.00","1,90,226.00",0.91,,,,,,,,,
,,2020 - 2021,"2,16,566.29","2,65,587.88",1.23,,,,,,,,,
,,2021 - 2022,"2,35,636.19","2,56,678.50",1.09,,,,,,,417.8,208.9,0.5
,,2022 - 2023,"2,42,717.00","3,87,667.00",1.6,,,,,,,38.4,23.04,0.6
,3. Amravati,2000 - 2001,"1,80,300.00","1,25,100.00",0.69,,,,,,,,,
,,2001 - 2002,"1,53,200.00","1,43,600.00",0.94,,,,,,,,,
,,2002 - 2003,"1,56,500.00","1,50,000.00",0.96,,,,,,,,,
,,2003 - 2004,"1,55,000.00","2,16,100.00",1.39,,,,,,,,,
,,2004 - 2005,"1,67,100.00","80,000.00",0.48,,,,,,,,,
,,2005 - 2006,"1,81,200.00","2,04,400.00",1.13,,,,,,,,,
,,2006 - 2007,"2,16,700.00","3,23,600.00",1.49,,,,,,,,,
,,2007 - 2008,"2,85,800.00","4,85,700.00",1.7,,,,,,,,,
,,2008 - 2009,"3,73,000.00","1,24,200.00",0.33,,,,,,,,,
,,2009 - 2010,"3,17,600.00","2,56,900.00",0.81,,,,,,,,,
,,2010 - 2011,"2,73,300.00","4,44,500.00",1.63,,,,,,,,,
,,2011 - 2012,"2,96,700.00","3,73,100.00",1.26,,,,,,,,,
,,2012 - 2013,"3,09,500.00","4,71,800.00",1.52,,,,,,,,,
,,2013 - 2014,"3,66,400.00","3,52,700.00",0.96,,,,,,,,,
,,2014 - 2015,"3,70,600.00","1,28,300.00",0.35,,,,,,,,,
,,2015 - 2016,"3,65,900.00","1,26,700.00",0.35,,,,,,,,,
,,2016 - 2017,"3,62,900.00","4,83,400.00",1.33,,,,,,,,,
,,2017 - 2018,"2,87,100.00","2,65,200.00",0.92,,,,,,,,,
,,2018 - 2019,"2,91,642.00","3,51,621.00",1.21,,,,,,,,,
,,2019 - 2020,"2,38,726.00","1,98,940.00",0.83,,,,,,,,,
,,2020 - 2021,"2,38,726.00","2,20,266.32",0.92,,,,,,,,,
,,2021 - 2022,"2,48,704.41","2,60,194.55",1.05,,,,,,,595,297.5,0.5
,,2022 - 2023,"2,56,438.00","1,81,020.00",0.71,,,,,,,144,86.4,0.6
,4. Beed,2000 - 2001,"3,300.00","4,400.00",1.33,,,,,,,,,
,,2001 - 2002,"6,900.00","7,400.00",1.07,,,,,,,,,
,,2002 - 2003,"16,500.00","22,500.00",1.36,,,,,,,,,
,,2003 - 2004,"25,500.00","25,900.00",1.02,,,,,,,,,
,,2004 - 2005,"27,900.00","24,400.00",0.87,,,,,,,,,
,,2005 - 2006,"36,100.00","39,700.00",1.1,,,,,,,,,
,,2006 - 2007,"42,100.00","34,500.00",0.82,,,,,,,,,
,,2007 - 2008,"46,500.00","21,000.00",0.45,,,,,,,,,
,,2008 - 2009,"71,400.00","14,500.00",0.2,,,,,,,,,
,,2009 - 2010,"68,800.00","35,400.00",0.51,,,,,,,,,
,,2010 - 2011,"70,400.00","96,600.00",1.37,,,,,,,,,
,,2011 - 2012,"76,400.00","1,18,100.00",1.55,,,,,,,,,
,,2012 - 2013,"76,400.00","1,27,000.00",1.66,,,,,,,,,
,,2013 - 2014,"93,500.00","1,74,200.00",1.86,,,,,,,,,
,,2014 - 2015,"1,13,400.00","39,900.00",0.35,,,,,,,,,
,,2015 - 2016,"1,45,100.00","23,800.00",0.16,,,,,,,,,
,,2016 - 2017,"1,69,200.00","1,32,350.00",0.78,,,,,,,,,
,,2017 - 2018,"1,81,300.00","1,28,300.00",0.71,,,,,,,,,
,,2018 - 2019,"2,17,791.00","52,764.00",0.24,,,,,,,,,
,,2019 - 2020,"2,45,565.00","1,90,397.00",0.78,,,,,,,,,
,,2020 - 2021,"2,59,964.67","5,14,696.40",1.98,,,,,,,,,
,,2021 - 2022,"2,86,183.40","2,67,724.57",0.94,,,,,,,"5,506.00","2,863.01",0.52
,,2022 - 2023,"3,44,732.00","5,07,514.00",1.47,,,,,,,"1,541.00","1,541.00",1
,5. Bhandara,2000 - 2001,"9,700.00","7,700.00",0.79,,,,,,,,,
,,2001 - 2002,"7,200.00","8,200.00",1.14,,,,,,,,,
,,2002 - 2003,"9,300.00","9,700.00",1.04,,,,,,,,,
,,2003 - 2004,"8,200.00","13,800.00",1.68,,,,,,,,,
,,2004 - 2005,"9,500.00","8,900.00",0.94,,,,,,,,,
,,2005 - 2006,"8,500.00","7,600.00",0.89,,,,,,,,,
,,2006 - 2007,"8,600.00","7,200.00",0.84,,,,,,,,,
,,2007 - 2008,"9,000.00","10,300.00",1.14,,,,,,,,,
,,2008 - 2009,"8,400.00","10,000.00",1.19,,,,,,,,,
,,2009 - 2010,"7,900.00","6,400.00",0.81,,,,,,,,,
,,2010 - 2011,"7,000.00","12,100.00",1.73,,,,,,,,,
,,2011 - 2012,"6,900.00","4,700.00",0.68,,,,,,,,,
,,2012 - 2013,"7,100.00","5,700.00",0.8,,,,,,,,,
,,2013 - 2014,"7,000.00","2,800.00",0.4,,,,,,,,,
,,2014 - 2015,"8,100.00","3,700.00",0.46,,,,,,,,,
,,2015 - 2016,"6,600.00",900,0.14,,,,,,,,,
,,2016 - 2017,"11,800.00","13,300.00",1.13,,,,,,,,,
,,2017 - 2018,"5,300.00","6,400.00",1.21,,,,,,,,,
,,2018 - 2019,"4,111.00","4,649.00",1.13,,,,,,,,,
,,2019 - 2020,269,280,1.04,,,,,,,,,
,,2020 - 2021,275.46,174.49,0.63,,,,,,,,,
,,2021 - 2022,262.08,235.35,0.9,,,,,,,5.9,3.54,0.6
,,2022 - 2023,346,344,0.99,,,,,,,18.4,11.04,0.6
,6. Buldhana,2000 - 2001,"68,100.00","51,400.00",0.75,,,,,,,,,
,,2001 - 2002,"70,500.00","1,02,000.00",1.45,,,,,,,,,
,,2002 - 2003,"78,600.00","98,400.00",1.25,,,,,,,,,
,,2003 - 2004,"87,900.00","1,49,900.00",1.71,,,,,,,,,
,,2004 - 2005,"1,41,200.00","1,32,100.00",0.94,,,,,,,,,
,,2005 - 2006,"1,62,500.00","85,500.00",0.53,,,,,,,,,
,,2006 - 2007,"1,72,700.00","2,16,900.00",1.26,,,,,,,,,
,,2007 - 2008,"1,90,500.00","3,82,400.00",2.01,,,,,,,,,
,,2008 - 2009,"2,40,000.00","68,700.00",0.29,,,,,,,,,
,,2009 - 2010,"2,12,800.00","1,56,500.00",0.74,,,,,,,,,
,,2010 - 2011,"2,25,500.00","4,16,100.00",1.85,,,,,,,,,
,,2011 - 2012,"2,58,800.00","3,74,200.00",1.45,,,,,,,,,
,,2012 - 2013,"2,79,500.00","4,30,300.00",1.54,,,,,,,,,
,,2013 - 2014,"3,23,200.00","4,79,000.00",1.48,,,,,,,,,
,,2014 - 2015,"3,52,500.00","1,89,100.00",0.54,,,,,,,,,
,,2015 - 2016,"3,52,400.00","1,60,400.00",0.46,,,,,,,,,
,,2016 - 2017,"3,65,010.00","7,03,600.00",1.93,,,,,,,,,
,,2017 - 2018,"3,70,290.00","4,39,600.00",1.19,,,,,,,,,
,,2018 - 2019,"4,04,209.00","4,48,429.00",1.11,,,,,,,,,
,,2019 - 2020,"3,96,413.00","5,35,844.00",1.35,,,,,,,,,
,,2020 - 2021,"4,15,693.31","6,95,094.79",1.67,,,,,,,,,
,,2021 - 2022,"4,38,282.82","7,47,798.15",1.71,,,,,,,"5,565.80","2,782.90",0.5
,,2022 - 2023,"4,44,649.00","7,91,652.00",1.78,,,,,,,"1,305.80",783.48,0.6
,7. Chandrapur,2000 - 2001,"1,16,100.00","1,38,900.00",1.2,,,,,,,,,
,,2001 - 2002,"1,13,800.00","1,51,500.00",1.33,,,,,,,,,
,,2002 - 2003,"1,23,000.00","1,43,400.00",1.17,,,,,,,,,
,,2003 - 2004,"1,36,700.00","1,62,400.00",1.19,,,,,,,,,
,,2004 - 2005,"1,64,600.00","1,61,500.00",0.98,,,,,,,,,
,,2005 - 2006,"1,61,700.00","1,73,700.00",1.07,,,,,,,,,
,,2006 - 2007,"1,72,500.00","2,11,300.00",1.22,,,,,,,,,
,,2007 - 2008,"1,62,100.00","2,24,400.00",1.38,,,,,,,,,
,,2008 - 2009,"1,81,900.00","1,19,700.00",0.66,,,,,,,,,
,,2009 - 2010,"1,79,800.00","62,100.00",0.35,,,,,,,,,
,,2010 - 2011,"1,48,300.00","1,48,600.00",1,,,,,,,,,
,,2011 - 2012,"1,46,800.00","1,29,700.00",0.88,,,,,,,,,
,,2012 - 2013,"1,42,100.00","1,45,100.00",1.02,,,,,,,,,
,,2013 - 2014,"1,42,100.00","88,400.00",0.62,,,,,,,,,
,,2014 - 2015,"1,26,200.00","64,300.00",0.51,,,,,,,,,
,,2015 - 2016,"1,17,100.00","59,400.00",0.51,,,,,,,,,
,,2016 - 2017,"1,08,500.00","1,08,300.00",1,,,,,,,,,
,,2017 - 2018,"65,900.00","62,000.00",0.94,,,,,,,,,
,,2018 - 2019,"75,376.00","1,20,538.00",1.6,,,,,,,,,
,,2019 - 2020,"75,499.00","66,209.00",0.88,,,,,,,,,
,,2020 - 2021,"81,447.19","69,731.09",0.86,,,,,,,,,
,,2021 - 2022,"82,220.33","1,20,691.23",1.47,,,,,,,571.3,342.78,0.6
,,2022 - 2023,"87,901.00","1,09,454.00",1.25,,,,,,,257.3,154.38,0.6
,8. Chhatrapati Sambhajinagar,2000 - 2001,"4,300.00","3,200.00",0.74,,,,,,,,,
,,2001 - 2002,"1,900.00","2,000.00",1.05,,,,,,,,,
,,2002 - 2003,"2,700.00","4,100.00",1.52,,,,,,,,,
,,2003 - 2004,"4,600.00","6,200.00",1.35,,,,,,,,,
,,2004 - 2005,"5,700.00","5,400.00",0.95,,,,,,,,,
,,2005 - 2006,"8,600.00","10,300.00",1.2,,,,,,,,,
,,2006 - 2007,"10,000.00","15,600.00",1.56,,,,,,,,,
,,2007 - 2008,"8,600.00","13,800.00",1.6,,,,,,,,,
,,2008 - 2009,"6,200.00","5,100.00",0.82,,,,,,,,,
,,2009 - 2010,"5,100.00","5,700.00",1.12,,,,,,,,,
,,2010 - 2011,"7,700.00","16,400.00",2.13,,,,,,,,,
,,2011 - 2012,"7,800.00","11,100.00",1.42,,,,,,,,,
,,2012 - 2013,"7,800.00","5,800.00",0.74,,,,,,,,,
,,2013 - 2014,"11,500.00","12,500.00",1.09,,,,,,,,,
,,2014 - 2015,"18,700.00","8,500.00",0.45,,,,,,,,,
,,2015 - 2016,"20,900.00","9,500.00",0.45,,,,,,,,,
,,2016 - 2017,"29,300.00","31,100.00",1.06,,,,,,,,,
,,2017 - 2018,"26,200.00","11,500.00",0.44,,,,,,,,,
,,2018 - 2019,"14,022.00","9,054.00",0.65,,,,,,,,,
,,2019 - 2020,"19,024.00","15,551.00",0.82,,,,,,,,,
,,2020 - 2021,"16,746.39","20,763.89",1.24,,,,,,,,,
,,2021 - 2022,"16,746.39","12,697.11",0.76,,,,,,,"2,952.10","2,361.68",0.8
,,2022 - 2023,"30,417.00","23,932.00",0.79,,,,,,,404,262.6,0.65
,9. Dharashiv,2000 - 2001,"2,100.00","1,700.00",0.81,,,,,,,,,
,,2001 - 2002,"3,600.00",700,0.19,,,,,,,,,
,,2002 - 2003,"4,700.00","5,200.00",1.11,,,,,,,,,
,,2003 - 2004,"23,300.00","10,100.00",0.43,,,,,,,,,
,,2004 - 2005,"27,200.00","33,300.00",1.22,,,,,,,,,
,,2005 - 2006,"33,500.00","36,300.00",1.08,,,,,,,,,
,,2006 - 2007,"32,400.00","19,500.00",0.6,,,,,,,,,
,,2007 - 2008,"36,200.00","47,400.00",1.31,,,,,,,,,
,,2008 - 2009,"26,200.00","7,000.00",0.27,,,,,,,,,
,,2009 - 2010,"46,100.00","22,400.00",0.49,,,,,,,,,
,,2010 - 2011,"65,200.00","1,11,400.00",1.71,,,,,,,,,
,,2011 - 2012,"90,800.00","1,37,400.00",1.51,,,,,,,,,
,,2012 - 2013,"1,11,700.00","1,01,300.00",0.91,,,,,,,,,
,,2013 - 2014,"1,33,500.00","2,70,400.00",2.03,,,,,,,,,
,,2014 - 2015,"1,33,500.00","65,600.00",0.49,,,,,,,,,
,,2015 - 2016,"90,900.00","14,900.00",0.16,,,,,,,,,
,,2016 - 2017,"1,02,000.00","28,200.00",0.28,,,,,,,,,
,,2017 - 2018,"1,15,400.00","79,400.00",0.69,,,,,,,,,
,,2018 - 2019,"2,14,165.00","1,17,791.00",0.55,,,,,,,,,
,,2019 - 2020,"2,29,766.00","2,76,894.00",1.21,,,,,,,,,
,,2020 - 2021,"2,43,729.95","4,10,948.00",1.69,,,,,,,,,
,,2021 - 2022,"2,66,322.21","2,86,269.74",1.07,,,,,,,"4,441.40","2,309.44",0.52
,,2022 - 2023,"4,37,775.00","5,00,201.00",1.14,,,,,,,968.2,503.45,0.52
,10. Dhule,2000 - 2001,"2,200.00","1,300.00",0.59,,,,,,,,,
,,2001 - 2002,"2,300.00","4,300.00",1.87,,,,,,,,,
,,2002 - 2003,"1,500.00","2,000.00",1.33,,,,,,,,,
,,2003 - 2004,"1,700.00","2,700.00",1.59,,,,,,,,,
,,2004 - 2005,"1,700.00","2,900.00",1.71,,,,,,,,,
,,2005 - 2006,"2,700.00","2,800.00",1.04,,,,,,,,,
,,2006 - 2007,"3,100.00","2,700.00",0.87,,,,,,,,,
,,2007 - 2008,"5,400.00","8,000.00",1.48,,,,,,,,,
,,2008 - 2009,"14,600.00","10,600.00",0.73,,,,,,,,,
,,2009 - 2010,"19,900.00","18,600.00",0.93,,,,,,,,,
,,2010 - 2011,"21,100.00","47,100.00",2.23,,,,,,,,,
,,2011 - 2012,"11,000.00","17,700.00",1.61,,,,,,,,,
,,2012 - 2013,"11,400.00","18,300.00",1.61,,,,,,,,,
,,2013 - 2014,"12,000.00","16,200.00",1.35,,,,,,,,,
,,2014 - 2015,"15,500.00","20,000.00",1.29,,,,,,,,,
,,2015 - 2016,"20,800.00","13,400.00",0.64,,,,,,,,,
,,2016 - 2017,"18,300.00","25,300.00",1.38,,,,,,,,,
,,2017 - 2018,"18,456.00","32,700.00",1.77,,,,,,,,,
,,2018 - 2019,"20,076.00","31,835.00",1.59,,,,,,,,,
,,2019 - 2020,"19,328.00","14,861.00",0.77,,,,,,,,,
,,2020 - 2021,"20,077.22","25,932.41",1.29,,,,,,,,,
,,2021 - 2022,"21,418.46","26,982.97",1.26,,,,,,,545,817.5,1.5
,,2022 - 2023,"30,114.00","44,192.00",1.47,,,,,,,43,64.5,1.5
,11. Gadchiroli,2000 - 2001,"1,800.00","1,800.00",1,,,,,,,,,
,,2001 - 2002,"2,200.00","2,600.00",1.18,,,,,,,,,
,,2002 - 2003,"2,800.00","2,500.00",0.89,,,,,,,,,
,,2003 - 2004,"2,700.00","3,600.00",1.33,,,,,,,,,
,,2004 - 2005,"3,100.00","3,100.00",1,,,,,,,,,
,,2005 - 2006,"3,100.00","1,800.00",0.58,,,,,,,,,
,,2006 - 2007,"3,400.00","4,200.00",1.24,,,,,,,,,
,,2007 - 2008,"3,900.00","4,200.00",1.08,,,,,,,,,
,,2008 - 2009,"8,200.00","6,100.00",0.74,,,,,,,,,
,,2009 - 2010,"8,700.00","3,100.00",0.36,,,,,,,,,
,,2010 - 2011,"7,500.00","6,900.00",0.92,,,,,,,,,
,,2011 - 2012,"5,900.00","7,200.00",1.22,,,,,,,,,
,,2012 - 2013,"5,200.00","6,300.00",1.21,,,,,,,,,
,,2013 - 2014,"5,200.00","3,800.00",0.73,,,,,,,,,
,,2014 - 2015,"4,400.00","3,000.00",0.68,,,,,,,,,
,,2015 - 2016,"3,500.00","1,500.00",0.43,,,,,,,,,
,,2016 - 2017,"2,100.00","1,800.00",0.86,,,,,,,,,
,,2017 - 2018,200,300,1.5,,,,,,,,,
,,2018 - 2019,164,376,2.29,,,,,,,,,
,,2019 - 2020,104,239,2.3,,,,,,,,,
,,2020 - 2021,95.27,52.61,0.55,,,,,,,,,
,,2021 - 2022,3.09,4.33,1.4,,,,,,,6,3.6,0.6
,,2022 - 2023,15,25,1.67,,,,,,,0.4,0.24,0.6
,12. Gondia,2002 - 2003,100,100,1,,,,,,,,,
,,2003 - 2004,100,100,1,,,,,,,,,
,,2004 - 2005,100,100,1,,,,,,,,,
,,2022 - 2023,,,,,,,,,,6,3.6,0.6
,13. Hingoli,2000 - 2001,"20,400.00","24,500.00",1.2,,,,,,,,,
,,2001 - 2002,"25,200.00","35,100.00",1.39,,,,,,,,,
,,2002 - 2003,"32,000.00","48,600.00",1.52,,,,,,,,,
,,2003 - 2004,"1,17,700.00","1,85,500.00",1.58,,,,,,,,,
,,2004 - 2005,"1,29,300.00","1,03,500.00",0.8,,,,,,,,,
,,2005 - 2006,"1,39,500.00","1,80,800.00",1.3,,,,,,,,,
,,2006 - 2007,"1,31,100.00","1,13,700.00",0.87,,,,,,,,,
,,2007 - 2008,"1,14,000.00","2,02,900.00",1.78,,,,,,,,,
,,2008 - 2009,"1,29,900.00","76,300.00",0.59,,,,,,,,,
,,2009 - 2010,"1,37,400.00","1,23,900.00",0.9,,,,,,,,,
,,2010 - 2011,"1,48,300.00","2,37,400.00",1.6,,,,,,,,,
,,2011 - 2012,"1,46,700.00","2,04,200.00",1.39,,,,,,,,,
,,2012 - 2013,"1,50,500.00","2,86,700.00",1.9,,,,,,,,,
,,2013 - 2014,"1,70,000.00","1,86,000.00",1.09,,,,,,,,,
,,2014 - 2015,"1,37,700.00","38,400.00",0.28,,,,,,,,,
,,2015 - 2016,"1,65,100.00","78,900.00",0.48,,,,,,,,,
,,2016 - 2017,"1,71,600.00","1,84,000.00",1.07,,,,,,,,,
,,2017 - 2018,"1,75,800.00","1,99,400.00",1.13,,,,,,,,,
,,2018 - 2019,"2,15,800.00","3,00,739.00",1.39,,,,,,,,,
,,2019 - 2020,"2,34,176.00","4,63,500.00",1.98,,,,,,,,,
,,2020 - 2021,"2,35,553.92","2,54,685.73",1.08,,,,,,,,,
,,2021 - 2022,"2,52,058.53","2,41,824.95",0.96,,,,,,,"4,351.10","2,262.49",0.52
,,2022 - 2023,"2,49,507.00","3,87,409.00",1.55,,,,,,,"4,763.70","2,477.03",0.52
,14. Jalgaon,2000 - 2001,"2,900.00","2,900.00",1,,,,,,,,,
,,2001 - 2002,"3,100.00","4,300.00",1.39,,,,,,,,,
,,2002 - 2003,"3,400.00","8,600.00",2.53,,,,,,,,,
,,2003 - 2004,"3,600.00","8,800.00",2.44,,,,,,,,,
,,2004 - 2005,"8,500.00","18,000.00",2.12,,,,,,,,,
,,2005 - 2006,"14,600.00","26,500.00",1.82,,,,,,,,,
,,2006 - 2007,"27,100.00","51,300.00",1.89,,,,,,,,,
,,2007 - 2008,"24,800.00","45,500.00",1.83,,,,,,,,,
,,2008 - 2009,"18,100.00","33,800.00",1.87,,,,,,,,,
,,2009 - 2010,"19,100.00","41,800.00",2.19,,,,,,,,,
,,2010 - 2011,"12,900.00","26,200.00",2.03,,,,,,,,,
,,2011 - 2012,"15,800.00","31,600.00",2,,,,,,,,,
,,2012 - 2013,"15,000.00","25,600.00",1.71,,,,,,,,,
,,2013 - 2014,"15,000.00","26,500.00",1.77,,,,,,,,,
,,2014 - 2015,"25,000.00","35,400.00",1.42,,,,,,,,,
,,2015 - 2016,"31,800.00","17,600.00",0.55,,,,,,,,,
,,2016 - 2017,"33,900.00","63,600.00",1.88,,,,,,,,,
,,2017 - 2018,"34,139.00","55,900.00",1.64,,,,,,,,,
,,2018 - 2019,"32,232.00","46,823.00",1.45,,,,,,,,,
,,2019 - 2020,"32,790.00","18,001.00",0.55,,,,,,,,,
,,2020 - 2021,"33,220.92","39,601.77",1.19,,,,,,,,,
,,2021 - 2022,"28,319.61","16,159.17",0.57,,,,,,,"1,430.40","2,145.60",1.5
,,2022 - 2023,"24,434.00","35,581.00",1.46,,,,,,,641,961.5,1.5
,15. Jalna,2000 - 2001,"4,700.00","2,300.00",0.49,,,,,,,,,
,,2001 - 2002,"5,100.00","3,900.00",0.76,,,,,,,,,
,,2002 - 2003,"6,200.00","10,200.00",1.65,,,,,,,,,
,,2003 - 2004,"11,700.00","14,800.00",1.26,,,,,,,,,
,,2004 - 2005,"15,900.00","15,000.00",0.94,,,,,,,,,
,,2005 - 2006,"30,200.00","35,700.00",1.18,,,,,,,,,
