State,District,Year,Soyabean,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2011 - 2012,9,9,1,,,,,,,,,
,,2012 - 2013,7,11,1.57,,,,,,,,,
,,2013 - 2014,7,10,1.43,,,,,,,,,
,,2014 - 2015,8,7,0.88,,,,,,,,,
,,2015 - 2016,9,5,0.56,,,,,,,,,
,,2016 - 2017,8,8,1,,,,,,,,,
,9. Dhamtari,2001 - 2002,6,6,1,,,,,,,,,
,,2002 - 2003,6,4,0.67,,,,,,,,,
,,2003 - 2004,30,36,1.2,,,,,,,,,
,,2005 - 2006,42,55,1.31,,,,,,,,,
,,2006 - 2007,44,64,1.45,,,,,,,,,
,10. Durg,2000 - 2001,"2,554.00","1,299.00",0.51,,,,,,,,,
,,2001 - 2002,"2,998.00","1,949.00",0.65,,,,,,,,,
,,2002 - 2003,"4,394.00","2,050.00",0.47,,,,,,,,,
,,2003 - 2004,"7,081.00","5,259.00",0.74,,,,,,,,,
,,2004 - 2005,"11,734.00","10,056.00",0.86,,,,,,,,,
,,2005 - 2006,"18,015.00","14,889.00",0.83,,,,,,,,,
,,2006 - 2007,"25,500.00","22,631.00",0.89,,,,,,,,,
,,2007 - 2008,"27,196.00","29,564.00",1.09,,,,,,,,,
,,2008 - 2009,"30,516.00","24,659.00",0.81,,,,,,,,,
,,2009 - 2010,"31,683.00","26,098.00",0.82,,,,,,,,,
,,2010 - 2011,"37,298.00","39,291.00",1.05,,,,,,,,,
,,2011 - 2012,"6,900.00","5,067.00",0.73,,,,,,,,,
,,2012 - 2013,"7,331.00","8,586.00",1.17,,,,,,,,,
,,2013 - 2014,"6,641.00","5,597.00",0.84,,,,,,,,,
,,2014 - 2015,"7,538.00","4,477.00",0.59,,,,,,,,,
,,2015 - 2016,"6,323.00","3,058.00",0.48,,,,,,,,,
,,2016 - 2017,"5,547.00","4,654.00",0.84,,,,,,,,,
,,2017 - 2018,"3,708.00","1,475.00",0.4,,,,,,,,,
,,2018 - 2019,"3,741.00","2,157.00",0.58,,,,,,,,,
,,2019 - 2020,"3,775.00","3,741.00",0.99,,,,,,,,,
,,2020 - 2021,"3,436.00","2,441.00",0.71,,,,,,,,,
,,2021 - 2022,"2,112.00","1,339.00",0.63,,,,,,,,,
,,2022 - 2023,"2,038.00","2,081.00",1.02,,,,,,,,,
,11. Gariyaband,2011 - 2012,2,2,1,,,,,,,,,
,12. Gaurella-pendra-marwahi,2020 - 2021,3,4,1.33,,,,,,,,,
,,2021 - 2022,5,7,1.4,,,,,,,,,
,,2022 - 2023,6,6,1,,,,,,,,,
,13. Janjgir-champa,2000 - 2001,6,4,0.67,,,,,,,,,
,,2001 - 2002,12,12,1,,,,,,,,,
,,2002 - 2003,23,19,0.83,,,,,,,,,
,,2003 - 2004,26,28,1.08,,,,,,,,,
,,2004 - 2005,40,48,1.2,,,,,,,,,
,,2005 - 2006,29,30,1.03,,,,,,,,,
,,2006 - 2007,27,32,1.19,,,,,,,,,
,,2007 - 2008,39,55,1.41,,,,,,,,,
,,2008 - 2009,33,45,1.36,,,,,,,,,
,,2009 - 2010,33,44,1.33,,,,,,,,,
,,2010 - 2011,50,76,1.52,,,,,,,,,
,,2011 - 2012,35,36,1.03,,,,,,,,,
,,2012 - 2013,24,39,1.63,,,,,,,,,
,,2013 - 2014,25,33,1.32,,,,,,,,,
,,2014 - 2015,25,24,0.96,,,,,,,,,
,,2015 - 2016,19,13,0.68,,,,,,,,,
,,2016 - 2017,14,15,1.07,,,,,,,,,
,,2017 - 2018,14,6,0.43,,,,,,,,,
,,2018 - 2019,13,10,0.77,,,,,,,,,
,14. Jashpur,2000 - 2001,11,7,0.64,,,,,,,,,
,,2001 - 2002,18,13,0.72,,,,,,,,,
,,2002 - 2003,33,20,0.61,,,,,,,,,
,,2003 - 2004,33,32,0.97,,,,,,,,,
,,2004 - 2005,21,17,0.81,,,,,,,,,
