State,District,Year,Coriander,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,7. Hisar,2013 - 2014,15,20,1.33,,,,,,
,,2014 - 2015,10,12,1.2,,,,,,
,,2015 - 2016,3,9,3,,,,,,
,,2016 - 2017,3,10,3.33,,,,,,
,,2017 - 2018,15,50,3.33,,,,,,
,,2018 - 2019,3,,0,,,,,,
,,2019 - 2020,7,14,2,,,,,,
,8. Jhajjar,2013 - 2014,20,26,1.3,,,,,,
,,2014 - 2015,21,42,2,,,,,,
,,2015 - 2016,210,512,2.44,,,,,,
,,2016 - 2017,150,238,1.59,,,,,,
,,2017 - 2018,150,400,2.67,,,,,,
,,2018 - 2019,270,860,3.19,,,,,,
,9. Jind,2008 - 2009,7,,0,,,,,,
,,2009 - 2010,2,,0,,,,,,
,,2010 - 2011,1,,0,,,,,,
,,2013 - 2014,120,150,1.25,,,,,,
,,2014 - 2015,200,230,1.15,,,,,,
,,2015 - 2016,255,161,0.63,,,,,,
,,2016 - 2017,138,136,0.99,,,,,,
,,2017 - 2018,258,513,1.99,,,,,,
,,2018 - 2019,300,236,0.79,,,,,,
,,2019 - 2020,300,310,1.03,,,,,,
,,2021 - 2022,78,0,0,,,,,,
,10. Kaithal,2009 - 2010,6,,0,,,,,,
,,2012 - 2013,11,10,0.91,,,,,,
,,2013 - 2014,110,160,1.45,,,,,,
,,2014 - 2015,100,150,1.5,,,,,,
,,2015 - 2016,110,230,2.09,,,,,,
,,2016 - 2017,90,200,2.22,,,,,,
,,2017 - 2018,120,230,1.92,,,,,,
,,2018 - 2019,110,300,2.73,,,,,,
,,2019 - 2020,100,330,3.3,,,,,,
,,2021 - 2022,38,0,0,,,,,,
,11. Karnal,2009 - 2010,29,100,3.45,,,,,,
,,2010 - 2011,57,,0,,,,,,
,,2011 - 2012,65,100,1.54,,,,,,
,,2012 - 2013,86,90,1.05,,,,,,
,,2013 - 2014,180,150,0.83,,,,,,
,,2014 - 2015,180,265,1.47,,,,,,
,,2015 - 2016,50,280,5.6,,,,,,
,,2016 - 2017,50,250,5,,,,,,
,,2017 - 2018,50,100,2,,,,,,
,,2018 - 2019,60,413,6.88,,,,,,
,,2019 - 2020,60,400,6.67,,,,,,
,,2021 - 2022,84,0,0,,,,,,
,12. Kurukshetra,2009 - 2010,9,,0,,,,,,
,,2010 - 2011,16,,0,,,,,,
,,2012 - 2013,1,1,1,,,,,,
,,2013 - 2014,55,65,1.18,,,,,,
,,2014 - 2015,40,110,2.75,,,,,,
,,2015 - 2016,240,400,1.67,,,,,,
,,2016 - 2017,70,120,1.71,,,,,,
,,2021 - 2022,17,0,0,,,,,,
,13. Mahendragarh,2008 - 2009,7,,0,,,,,,
,,2009 - 2010,11,,0,,,,,,
,,2013 - 2014,7,18,2.57,,,,,,
,,2014 - 2015,1,5,5,,,,,,
,,2015 - 2016,6,10,1.67,,,,,,
,,2016 - 2017,5,10,2,,,,,,
,,2017 - 2018,55,18,0.33,,,,,,
,,2018 - 2019,5,40,8,,,,,,
,,2019 - 2020,2,30,15,,,,,,
,14. Mewat,2013 - 2014,9,27,3,,,,,,
,,2014 - 2015,12,30,2.5,,,,,,
,,2015 - 2016,20,39,1.95,,,,,,
,,2016 - 2017,21,40,1.9,,,,,,
,,2017 - 2018,15,25,1.67,,,,,,
,,2018 - 2019,26,57,2.19,,,,,,
,,2019 - 2020,350,575,1.64,,,,,,
,15. Palwal,2013 - 2014,20,58,2.9,,,,,,
,,2014 - 2015,18,30,1.67,,,,,,
,,2015 - 2016,22,35,1.59,,,,,,
,,2016 - 2017,22,15,0.68,,,,,,
,,2018 - 2019,25,45,1.8,,,,,,
,,2019 - 2020,50,80,1.6,,,,,,
,16. Panchkula,2008 - 2009,5,,0,,,,,,
,,2009 - 2010,7,,0,,,,,,
,,2012 - 2013,3,3,1,,,,,,
,,2013 - 2014,68,150,2.21,,,,,,
,,2014 - 2015,70,140,2,,,,,,
,,2015 - 2016,75,145,1.93,,,,,,
,,2016 - 2017,70,12,0.17,,,,,,
,,2017 - 2018,70,235,3.36,,,,,,
,,2018 - 2019,14,35,2.5,,,,,,
,,2019 - 2020,8,20,2.5,,,,,,
,,2021 - 2022,30,0,0,,,,,,
,17. Panipat,2008 - 2009,349,800,2.29,,,,,,
,,2009 - 2010,306,500,1.63,,,,,,
,,2010 - 2011,217,,0,,,,,,
,,2011 - 2012,156,200,1.28,,,,,,
,,2012 - 2013,193,203,1.05,,,,,,
,,2013 - 2014,162,250,1.54,,,,,,
,,2014 - 2015,160,480,3,,,,,,
,,2015 - 2016,170,900,5.29,,,,,,
,,2016 - 2017,174,990,5.69,,,,,,
,,2017 - 2018,167,"1,050.00",6.29,,,,,,
,,2018 - 2019,177,"1,050.00",5.93,,,,,,
,,2019 - 2020,187,"1,118.00",5.98,,,,,,
,,2020 - 2021,583,0,0,,,,,,
,,2021 - 2022,451,0,0,,,,,,
,18. Rewari,2013 - 2014,29,58,2,,,,,,
,,2014 - 2015,30,65,2.17,,,,,,
,,2015 - 2016,35,68,1.94,,,,,,
,,2016 - 2017,30,60,2,,,,,,
,,2017 - 2018,39,85,2.18,,,,,,
,,2018 - 2019,40,95,2.38,,,,,,
,,2019 - 2020,40,105,2.63,,,,,,
,19. Rohtak,2008 - 2009,6,,0,,,,,,
,,2009 - 2010,2,,0,,,,,,
,,2010 - 2011,1,,0,,,,,,
,,2011 - 2012,1,,0,,,,,,
,,2013 - 2014,143,205,1.43,,,,,,
,,2014 - 2015,143,400,2.8,,,,,,
,,2015 - 2016,145,400,2.76,,,,,,
,,2016 - 2017,145,170,1.17,,,,,,
,,2019 - 2020,100,200,2,,,,,,
,20. Sirsa,2008 - 2009,3,,0,,,,,,
,,2009 - 2010,6,,0,,,,,,
,,2013 - 2014,22,24,1.09,,,,,,
,,2014 - 2015,9,10,1.11,,,,,,
,,2015 - 2016,52,8,0.15,,,,,,
,,2016 - 2017,53,48,0.91,,,,,,
,,2017 - 2018,40,275,6.88,,,,,,
,,2018 - 2019,60,298,4.97,,,,,,
,,2019 - 2020,155,695,4.48,,,,,,
,21. Sonipat,2013 - 2014,800,648,0.81,,,,,,
,,2014 - 2015,614,672,1.09,,,,,,
,,2015 - 2016,775,"1,515.00",1.95,,,,,,
,,2016 - 2017,775,"1,025.00",1.32,,,,,,
,,2017 - 2018,850,"1,830.00",2.15,,,,,,
,,2018 - 2019,830,"1,630.00",1.96,,,,,,
,,2019 - 2020,450,"1,370.00",3.04,,,,,,
,,2021 - 2022,7,0,0,,,,,,
,22. Yamunanagar,2008 - 2009,7,,0,,,,,,
,,2011 - 2012,53,,0,,,,,,
,,2013 - 2014,350,350,1,,,,,,
,,2014 - 2015,350,540,1.54,,,,,,
,,2015 - 2016,270,490,1.81,,,,,,
,,2016 - 2017,236,225,0.95,,,,,,
,,2017 - 2018,298,300,1.01,,,,,,
,,2018 - 2019,303,650,2.15,,,,,,
,,2019 - 2020,309,865,2.8,,,,,,
,,2021 - 2022,12,0,0,,,,,,
5. Himachal Pradesh,1. Bilaspur,2009 - 2010,,,,,,,3,3,1
,,2010 - 2011,,,,,,,3,2,0.67
,,2012 - 2013,,,,,,,4,1,0.25
,,2013 - 2014,,,,,,,5,2,0.4
,,2014 - 2015,,,,,,,1,,0
,,2015 - 2016,,,,,,,3,5,1.67
,,2018 - 2019,,,,,,,2,1,0.5
,,2019 - 2020,,,,,,,3,2,0.67
,,2020 - 2021,,,,,,,31,42,1.35
,,2021 - 2022,,,,,,,4,6,1.5
,2. Chamba,2001 - 2002,16,5,0.31,,,,,,
,,2002 - 2003,10,3,0.3,,,,,,
,,2005 - 2006,,,,,,,10,1,0.1
,,2006 - 2007,,,,,,,17,4,0.24
,,2007 - 2008,,,,,,,15,1,0.07
,,2008 - 2009,,,,,,,7,3,0.43
,,2009 - 2010,,,,,,,15,7,0.47
,,2010 - 2011,,,,,,,18,9,0.5
,,2011 - 2012,,,,,,,10,3,0.3
,,2012 - 2013,,,,,,,5,2,0.4
,,2013 - 2014,,,,,,,17,,0
,,2014 - 2015,,,,,,,5,2,0.4
,,2015 - 2016,,,,,,,17,5,0.29
,,2016 - 2017,,,,,,,4,2,0.5
,,2017 - 2018,,,,,,,4,2,0.5
,,2018 - 2019,,,,,,,7,2,0.29
,,2019 - 2020,,,,,,,8,5,0.63
,,2020 - 2021,,,,,,,3,3,1
,,2021 - 2022,,,,,,,2,2,1
,3. Hamirpur,2001 - 2002,3,8,2.67,,,,,,
,,2002 - 2003,1,,0,,,,,,
,,2006 - 2007,,,,,,,6,2,0.33
,,2008 - 2009,,,,,,,9,,0
,,2009 - 2010,,,,,,,3,2,0.67
,,2010 - 2011,,,,,,,5,3,0.6
,,2011 - 2012,,,,,,,9,3,0.33
,,2012 - 2013,,,,,,,3,1,0.33
,,2014 - 2015,,,,,,,1,,0
,,2015 - 2016,,,,,,,2,1,0.5
,,2016 - 2017,,,,,,,5,,0
,,2017 - 2018,,,,,,,5,,0
,,2018 - 2019,,,,,,,2,1,0.5
,,2019 - 2020,,,,,,,3,2,0.67
,,2020 - 2021,,,,,,,7,8,1.14
,,2021 - 2022,,,,,,,6,6,1
,4. Kangra,2001 - 2002,2,4,2,,,,,,
,,2002 - 2003,6,2,0.33,,,,,,
,,2009 - 2010,,,,,,,11,7,0.64
,,2010 - 2011,,,,,,,12,7,0.58
,,2011 - 2012,,,,,,,2,1,0.5
,,2012 - 2013,,,,,,,9,3,0.33
,,2018 - 2019,,,,,,,6,2,0.33
,,2019 - 2020,,,,,,,7,4,0.57
,,2020 - 2021,,,,,,,1,1,1
,,2021 - 2022,,,,,,,2,3,1.5
,5. Kullu,2001 - 2002,61,15,0.25,,,,,,
,,2002 - 2003,17,5,0.29,,,,,,
,,2005 - 2006,,,,,,,26,2,0.08
,,2006 - 2007,,,,,,,7,2,0.29
,,2007 - 2008,,,,,,,25,8,0.32
,,2008 - 2009,,,,,,,32,7,0.22
,,2009 - 2010,,,,,,,9,6,0.67
,,2010 - 2011,,,,,,,11,6,0.55
,,2011 - 2012,,,,,,,18,5,0.28
,,2012 - 2013,,,,,,,24,6,0.25
,,2013 - 2014,,,,,,,12,4,0.33
,,2014 - 2015,,,,,,,42,11,0.26
,,2015 - 2016,,,,,,,11,4,0.36
,,2016 - 2017,,,,,,,25,5,0.2
,,2017 - 2018,,,,,,,25,5,0.2
,,2018 - 2019,,,,,,,11,4,0.36
,,2019 - 2020,,,,,,,11,6,0.55
,,2020 - 2021,,,,,,,58,79,1.36
,,2021 - 2022,,,,,,,80,87,1.09
,6. Mandi,2001 - 2002,3,6,2,,,,,,
,,2002 - 2003,27,9,0.33,,,,,,
,,2005 - 2006,,,,,,,17,5,0.29
,,2006 - 2007,,,,,,,8,3,0.38
,,2007 - 2008,,,,,,,10,3,0.3
,,2008 - 2009,,,,,,,16,1,0.06
,,2009 - 2010,,,,,,,10,6,0.6
,,2010 - 2011,,,,,,,12,7,0.58
,,2011 - 2012,,,,,,,10,3,0.3
,,2012 - 2013,,,,,,,12,3,0.25
,,2013 - 2014,,,,,,,9,3,0.33
,,2014 - 2015,,,,,,,11,3,0.27
,,2015 - 2016,,,,,,,12,4,0.33
,,2016 - 2017,,,,,,,12,1,0.08
,,2017 - 2018,,,,,,,12,1,0.08
,,2018 - 2019,,,,,,,12,4,0.33
,,2019 - 2020,,,,,,,12,7,0.58
,,2020 - 2021,,,,,,,11,14,1.27
,,2021 - 2022,,,,,,,11,15,1.36
,7. Shimla,2001 - 2002,104,30,0.29,,,,,,
,,2002 - 2003,84,27,0.32,,,,,,
,,2005 - 2006,,,,,,,35,7,0.2
,,2006 - 2007,,,,,,,50,17,0.34
,,2007 - 2008,,,,,,,124,42,0.34
,,2008 - 2009,,,,,,,37,5,0.14
,,2009 - 2010,,,,,,,28,15,0.54
,,2010 - 2011,,,,,,,33,17,0.52
,,2011 - 2012,,,,,,,39,13,0.33
,,2012 - 2013,,,,,,,32,11,0.34
,,2013 - 2014,,,,,,,42,14,0.33
,,2014 - 2015,,,,,,,64,21,0.33
,,2015 - 2016,,,,,,,30,10,0.33
,,2016 - 2017,,,,,,,30,4,0.13
,,2017 - 2018,,,,,,,30,4,0.13
,,2018 - 2019,,,,,,,31,4,0.13
,,2019 - 2020,,,,,,,30,15,0.5
,,2020 - 2021,,,,,,,29,15,0.52
,,2021 - 2022,,,,,,,23,12,0.52
,8. Sirmaur,2001 - 2002,118,34,0.29,,,,,,
,,2002 - 2003,93,30,0.32,,,,,,
,,2005 - 2006,,,,,,,55,2,0.04
,,2006 - 2007,,,,,,,56,2,0.04
,,2007 - 2008,,,,,,,62,14,0.23
,,2008 - 2009,,,,,,,31,2,0.06
,,2009 - 2010,,,,,,,35,17,0.49
,,2010 - 2011,,,,,,,40,19,0.48
,,2011 - 2012,,,,,,,29,10,0.34
,,2012 - 2013,,,,,,,41,14,0.34
,,2013 - 2014,,,,,,,56,19,0.34
,,2014 - 2015,,,,,,,45,15,0.33
,,2015 - 2016,,,,,,,38,12,0.32
,,2016 - 2017,,,,,,,26,1,0.04
,,2017 - 2018,,,,,,,26,1,0.04
,,2018 - 2019,,,,,,,38,1,0.03
,,2019 - 2020,,,,,,,37,15,0.41
,,2020 - 2021,,,,,,,14,19,1.36
,,2021 - 2022,,,,,,,21,28,1.33
,9. Solan,2009 - 2010,,,,,,,3,1,0.33
,,2010 - 2011,,,,,,,3,1,0.33
,,2012 - 2013,,,,,,,3,1,0.33
,,2015 - 2016,,,,,,,2,1,0.5
,,2018 - 2019,,,,,,,16,8,0.5
,,2019 - 2020,,,,,,,16,8,0.5
,,2020 - 2021,,,,,,,1,1,1
,,2021 - 2022,,,,,,,1,1,1
,10. Una,2001 - 2002,1,3,3,,,,,,
,,2002 - 2003,25,8,0.32,,,,,,
,,2008 - 2009,,,,,,,4,1,0.25
,,2009 - 2010,,,,,,,3,2,0.67
,,2010 - 2011,,,,,,,4,2,0.5
,,2011 - 2012,,,,,,,12,4,0.33
,,2012 - 2013,,,,,,,11,4,0.36
,,2013 - 2014,,,,,,,3,1,0.33
,,2014 - 2015,,,,,,,3,1,0.33
,,2015 - 2016,,,,,,,3,1,0.33
,,2016 - 2017,,,,,,,2,1,0.5
,,2017 - 2018,,,,,,,2,1,0.5
,,2018 - 2019,,,,,,,3,1,0.33
,,2019 - 2020,,,,,,,3,2,0.67
,,2020 - 2021,,,,,,,4,7,1.75
,,2021 - 2022,,,,,,,3,5,1.67
6. Jammu and Kashmir,1. Jammu,2007 - 2008,,,,,,,6,0.7,0.12
,2. Rajauri,2007 - 2008,,,,,,,3,0.4,0.13
7. Karnataka,1. Bagalkot,2000 - 2001,34,3,0.09,,,,,,
,,2001 - 2002,30,3,0.1,,,,,,
,,2002 - 2003,30,3,0.1,,,,,,
,,2003 - 2004,26,2,0.08,,,,,,
,,2004 - 2005,31,3,0.1,,,,,,
,,2005 - 2006,34,3,0.09,,,,,,
,,2006 - 2007,39,4,0.1,,,,,,
,,2007 - 2008,40,14,0.35,,,,,,
,,2008 - 2009,83,45,0.54,,,,,,
,,2009 - 2010,240,118,0.49,,,,,,
,,2010 - 2011,229,85,0.37,,,,,,
,,2011 - 2012,164,67,0.41,,,,,,
,,2012 - 2013,145,57,0.39,,,,,,
,,2013 - 2014,94,27,0.29,,,,,,
,,2014 - 2015,125,42,0.34,,,,,,
,,2015 - 2016,150,64,0.43,,,,,,
,,2016 - 2017,10,4,0.4,,,,,,
,,2018 - 2019,203,181,0.89,,,,,,
,,2021 - 2022,114,62,0.54,,,,,,
,,2022 - 2023,62,44,0.71,,,,,,
,2. Bangalore rural,2000 - 2001,133,14,0.11,,,,,,
,,2001 - 2002,7,1,0.14,,,,,,
,,2005 - 2006,86,13,0.15,,,,,,
,,2006 - 2007,69,11,0.16,,,,,,
,,2007 - 2008,94,33,0.35,,,,,,
,,2008 - 2009,55,30,0.55,,,,,,
,,2009 - 2010,68,33,0.49,,,,,,
,,2010 - 2011,81,30,0.37,,,,,,
,,2011 - 2012,70,28,0.4,,,,,,
,,2012 - 2013,47,19,0.4,,,,,,
,,2013 - 2014,40,12,0.3,,,,,,
,,2014 - 2015,37,13,0.35,,,,,,
,,2015 - 2016,93,40,0.43,,,,,,
,,2016 - 2017,41,18,0.44,,,,,,
,,2017 - 2018,1,,0,,,,,,
,,2018 - 2019,145,130,0.9,,,,,,
,,2020 - 2021,8,4,0.5,,,,,,
,,2022 - 2023,5,3,0.6,,,,,,
,3. Belgaum,2000 - 2001,389,46,0.12,,,,,,
,,2001 - 2002,184,22,0.12,,,,,,
,,2002 - 2003,274,33,0.12,,,,,,
,,2003 - 2004,278,33,0.12,,,,,,
,,2004 - 2005,354,42,0.12,,,,,,
,,2005 - 2006,522,62,0.12,,,,,,
,,2006 - 2007,365,43,0.12,,,,,,
,,2007 - 2008,461,161,0.35,,,,,,
,,2008 - 2009,612,330,0.54,,,,,,
,,2009 - 2010,612,300,0.49,,,,,,
,,2012 - 2013,11,4,0.36,,,,,,
,,2013 - 2014,348,108,0.31,,,,,,
,,2014 - 2015,215,87,0.4,,,,,,
,,2015 - 2016,197,126,0.64,,,,,,
,,2016 - 2017,234,140,0.6,,,,,,
,,2018 - 2019,242,216,0.89,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,
,,2022 - 2023,2,16,8,,,,,,
,4. Bellary,2000 - 2001,"4,148.00",838,0.2,,,,,,
,,2001 - 2002,"6,420.00","1,297.00",0.2,,,,,,
,,2002 - 2003,"2,908.00",587,0.2,,,,,,
,,2003 - 2004,"3,503.00",707,0.2,,,,,,
,,2004 - 2005,"4,327.00",874,0.2,,,,,,
,,2005 - 2006,"3,809.00",769,0.2,,,,,,
,,2006 - 2007,"2,602.00",525,0.2,,,,,,
,,2007 - 2008,"3,281.00","1,241.00",0.38,,,,,,
,,2008 - 2009,"3,755.00","2,015.00",0.54,,,,,,
,,2009 - 2010,"3,354.00","1,551.00",0.46,,,,,,
,,2010 - 2011,"2,084.00",677,0.32,,,,,,
,,2011 - 2012,597,242,0.41,,,,,,
,,2012 - 2013,"2,831.00","1,118.00",0.39,,,,,,
,,2013 - 2014,838,260,0.31,,,,,,
,,2014 - 2015,"1,241.00",420,0.34,,,,,,
,,2015 - 2016,"2,093.00",897,0.43,,,,,,
,,2016 - 2017,232,101,0.44,,,,,,
,,2017 - 2018,23,8,0.35,,,,,,
,,2018 - 2019,315,282,0.9,,,,,,
,,2020 - 2021,235,126,0.54,,,,,,
,,2021 - 2022,95,49,0.52,,,,,,
,,2022 - 2023,80,56,0.7,,,,,,
,5. Bengaluru urban,2000 - 2001,24,4,0.17,,,,,,
,,2001 - 2002,29,5,0.17,,,,,,
,,2002 - 2003,24,4,0.17,,,,,,
,,2003 - 2004,33,5,0.15,,,,,,
,,2004 - 2005,32,5,0.16,,,,,,
,,2005 - 2006,30,5,0.17,,,,,,
,,2006 - 2007,24,4,0.17,,,,,,
,,2007 - 2008,21,7,0.33,,,,,,
,,2008 - 2009,17,9,0.53,,,,,,
,,2009 - 2010,16,8,0.5,,,,,,
,,2010 - 2011,16,6,0.38,,,,,,
,,2011 - 2012,18,7,0.39,,,,,,
,,2012 - 2013,41,16,0.39,,,,,,
,,2013 - 2014,9,3,0.33,,,,,,
,,2014 - 2015,22,7,0.32,,,,,,
,,2015 - 2016,105,45,0.43,,,,,,
,,2017 - 2018,4,1,0.25,,,,,,
,,2018 - 2019,153,137,0.9,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,6. Bidar,2000 - 2001,661,70,0.11,,,,,,
,,2001 - 2002,788,83,0.11,,,,,,
,,2002 - 2003,729,77,0.11,,,,,,
,,2003 - 2004,687,73,0.11,,,,,,
,,2004 - 2005,674,71,0.11,,,,,,
,,2005 - 2006,532,56,0.11,,,,,,
,,2006 - 2007,331,35,0.11,,,,,,
,,2007 - 2008,287,100,0.35,,,,,,
,,2008 - 2009,272,147,0.54,,,,,,
,,2009 - 2010,285,140,0.49,,,,,,
,,2010 - 2011,223,83,0.37,,,,,,
,,2011 - 2012,276,73,0.26,,,,,,
,,2012 - 2013,64,17,0.27,,,,,,
,,2013 - 2014,55,17,0.31,,,,,,
,,2014 - 2015,76,26,0.34,,,,,,
,,2016 - 2017,1,,0,,,,,,
,,2018 - 2019,17,15,0.88,,,,,,
,,2020 - 2021,17,9,0.53,,,,,,
,,2021 - 2022,34,19,0.56,,,,,,
,,2022 - 2023,54,32,0.59,,,,,,
,7. Bijapur,2000 - 2001,506,48,0.09,,,,,,
,,2001 - 2002,130,12,0.09,,,,,,
,,2002 - 2003,325,31,0.1,,,,,,
,,2003 - 2004,26,2,0.08,,,,,,
,,2004 - 2005,130,12,0.09,,,,,,
,,2005 - 2006,74,7,0.09,,,,,,
,,2006 - 2007,88,8,0.09,,,,,,
,,2007 - 2008,80,28,0.35,,,,,,
,,2008 - 2009,75,40,0.53,,,,,,
,,2009 - 2010,199,98,0.49,,,,,,
,,2010 - 2011,226,82,0.36,,,,,,
,,2011 - 2012,101,27,0.27,,,,,,
,,2012 - 2013,99,26,0.26,,,,,,
,,2013 - 2014,58,18,0.31,,,,,,
,,2014 - 2015,112,38,0.34,,,,,,
,,2015 - 2016,151,65,0.43,,,,,,
,,2018 - 2019,123,110,0.89,,,,,,
,,2019 - 2020,99,49,0.49,,,,,,
,,2021 - 2022,3,2,0.67,,,,,,
,,2022 - 2023,3,2,0.67,,,,,,
,8. Chamarajanagar,2000 - 2001,119,12,0.1,,,,,,
,,2001 - 2002,18,2,0.11,,,,,,
,,2002 - 2003,26,3,0.12,,,,,,
,,2003 - 2004,137,14,0.1,,,,,,
,,2004 - 2005,118,12,0.1,,,,,,
,,2005 - 2006,583,58,0.1,,,,,,
,,2006 - 2007,205,20,0.1,,,,,,
,,2007 - 2008,157,50,0.32,,,,,,
,,2008 - 2009,238,128,0.54,,,,,,
,,2009 - 2010,328,161,0.49,,,,,,
,,2010 - 2011,248,93,0.38,,,,,,
,,2011 - 2012,478,194,0.41,,,,,,
,,2012 - 2013,134,53,0.4,,,,,,
,,2013 - 2014,516,160,0.31,,,,,,
,,2014 - 2015,468,146,0.31,,,,,,
,,2015 - 2016,586,266,0.45,,,,,,
,,2016 - 2017,24,10,0.42,,,,,,
,,2017 - 2018,175,65,0.37,,,,,,
,,2018 - 2019,117,155,1.32,,,,,,
,,2020 - 2021,57,31,0.54,,,,,,
,,2021 - 2022,6,3,0.5,,,,,,
,,2022 - 2023,23,11,0.48,,,,,,
,9. Chikballapur,2007 - 2008,37,13,0.35,,,,,,
,,2008 - 2009,12,6,0.5,,,,,,
,,2009 - 2010,15,7,0.47,,,,,,
,,2010 - 2011,14,5,0.36,,,,,,
,,2012 - 2013,142,56,0.39,,,,,,
,,2014 - 2015,136,46,0.34,,,,,,
,,2015 - 2016,131,56,0.43,,,,,,
,,2016 - 2017,206,135,0.66,,,,,,
,,2017 - 2018,253,91,0.36,,,,,,
,,2018 - 2019,168,165,0.98,,,,,,
,,2020 - 2021,52,28,0.54,,,,,,
,,2021 - 2022,122,66,0.54,,,,,,
,,2022 - 2023,19,14,0.74,,,,,,
,10. Chikmagalur,2000 - 2001,"1,206.00",123,0.1,,,,,,
,,2001 - 2002,"1,594.00",163,0.1,,,,,,
,,2002 - 2003,"1,305.00",133,0.1,,,,,,
,,2003 - 2004,"1,338.00",136,0.1,,,,,,
,,2004 - 2005,"1,463.00",149,0.1,,,,,,
,,2005 - 2006,"1,235.00",126,0.1,,,,,,
,,2006 - 2007,784,80,0.1,,,,,,
,,2007 - 2008,609,174,0.29,,,,,,
,,2008 - 2009,595,180,0.3,,,,,,
,,2009 - 2010,477,144,0.3,,,,,,
,,2010 - 2011,406,155,0.38,,,,,,
,,2011 - 2012,387,166,0.43,,,,,,
,,2012 - 2013,364,156,0.43,,,,,,
,,2013 - 2014,326,103,0.32,,,,,,
,,2014 - 2015,269,87,0.32,,,,,,
,,2015 - 2016,251,71,0.28,,,,,,
,,2016 - 2017,441,123,0.28,,,,,,
,,2017 - 2018,161,54,0.34,,,,,,
,,2018 - 2019,52,24,0.46,,,,,,
,,2020 - 2021,31,17,0.55,,,,,,
,,2021 - 2022,31,17,0.55,,,,,,
,11. Chitradurga,2000 - 2001,391,39,0.1,,,,,,
,,2001 - 2002,127,13,0.1,,,,,,
,,2002 - 2003,267,27,0.1,,,,,,
,,2003 - 2004,245,25,0.1,,,,,,
,,2004 - 2005,270,27,0.1,,,,,,
,,2005 - 2006,108,11,0.1,,,,,,
,,2006 - 2007,161,16,0.1,,,,,,
,,2007 - 2008,215,75,0.35,,,,,,
,,2008 - 2009,413,265,0.64,,,,,,
,,2009 - 2010,205,120,0.59,,,,,,
,,2010 - 2011,88,33,0.38,,,,,,
,,2011 - 2012,67,27,0.4,,,,,,
,,2012 - 2013,48,19,0.4,,,,,,
,,2013 - 2014,78,24,0.31,,,,,,
,,2014 - 2015,104,35,0.34,,,,,,
,,2015 - 2016,166,60,0.36,,,,,,
,,2016 - 2017,175,60,0.34,,,,,,
,,2017 - 2018,99,45,0.45,,,,,,
,,2018 - 2019,35,31,0.89,,,,,,
,,2019 - 2020,70,35,0.5,,,,,,
,,2020 - 2021,49,26,0.53,,,,,,
,,2021 - 2022,15,8,0.53,,,,,,
,,2022 - 2023,54,3,0.06,,,,,,
,12. Dakshin kannad,2018 - 2019,3,3,1,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,13. Davangere,2000 - 2001,104,11,0.11,,,,,,
,,2001 - 2002,53,5,0.09,,,,,,
,,2002 - 2003,41,4,0.1,,,,,,
,,2003 - 2004,26,3,0.12,,,,,,
,,2004 - 2005,19,2,0.11,,,,,,
,,2005 - 2006,18,2,0.11,,,,,,
,,2006 - 2007,26,3,0.12,,,,,,
,,2007 - 2008,13,5,0.38,,,,,,
,,2008 - 2009,71,38,0.54,,,,,,
,,2009 - 2010,41,20,0.49,,,,,,
,,2010 - 2011,22,8,0.36,,,,,,
,,2011 - 2012,40,16,0.4,,,,,,
,,2012 - 2013,14,6,0.43,,,,,,
,,2013 - 2014,4,1,0.25,,,,,,
,,2014 - 2015,15,5,0.33,,,,,,
,,2015 - 2016,56,24,0.43,,,,,,
,,2017 - 2018,43,16,0.37,,,,,,
,,2018 - 2019,63,56,0.89,,,,,,
,,2020 - 2021,12,6,0.5,,,,,,
,,2021 - 2022,6,3,0.5,,,,,,
,14. Dharwad,2000 - 2001,637,66,0.1,,,,,,
,,2001 - 2002,374,39,0.1,,,,,,
,,2002 - 2003,498,51,0.1,,,,,,
,,2003 - 2004,329,34,0.1,,,,,,
,,2004 - 2005,390,40,0.1,,,,,,
,,2005 - 2006,582,60,0.1,,,,,,
,,2006 - 2007,566,58,0.1,,,,,,
,,2007 - 2008,492,119,0.24,,,,,,
,,2008 - 2009,314,281,0.89,,,,,,
,,2009 - 2010,345,332,0.96,,,,,,
,,2010 - 2011,363,235,0.65,,,,,,
,,2011 - 2012,331,179,0.54,,,,,,
,,2012 - 2013,60,32,0.53,,,,,,
,,2013 - 2014,144,45,0.31,,,,,,
,,2014 - 2015,76,27,0.36,,,,,,
,,2015 - 2016,46,16,0.35,,,,,,
,,2016 - 2017,144,62,0.43,,,,,,
,,2017 - 2018,17,6,0.35,,,,,,
,,2018 - 2019,19,17,0.89,,,,,,
,,2019 - 2020,415,205,0.49,,,,,,
,,2020 - 2021,59,31,0.53,,,,,,
,,2021 - 2022,12,7,0.58,,,,,,
,15. Gadag,2000 - 2001,103,11,0.11,,,,,,
