State,District,Year,Coriander,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,51,33,0.65,,,,,,
,,2003 - 2004,49,34,0.69,,,,,,
,,2004 - 2005,13,9,0.69,,,,,,
,,2005 - 2006,2,2,1,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,14. Katihar,2000 - 2001,53,25,0.47,,,,,,
,,2001 - 2002,37,21,0.57,,,,,,
,,2002 - 2003,43,27,0.63,,,,,,
,,2004 - 2005,10,7,0.7,,,,,,
,,2005 - 2006,19,15,0.79,,,,,,
,,2007 - 2008,10,7,0.7,,,,,,
,,2016 - 2017,12,11,0.92,,,,,,
,,2017 - 2018,31,28,0.9,,,,,,
,,2018 - 2019,2,2,1,,,,,,
,,2019 - 2020,2,2,1,,,,,,
,,2020 - 2021,20,18,0.9,,,,,,
,,2021 - 2022,22,20,0.91,,,,,,
,,2022 - 2023,20,18,0.9,,,,,,
,15. Khagaria,2000 - 2001,63,30,0.48,,,,,,
,,2001 - 2002,58,34,0.59,,,,,,
,,2002 - 2003,108,70,0.65,,,,,,
,,2003 - 2004,99,69,0.7,,,,,,
,,2004 - 2005,88,58,0.66,,,,,,
,,2005 - 2006,99,64,0.65,,,,,,
,,2007 - 2008,115,84,0.73,,,,,,
,,2016 - 2017,181,159,0.88,,,,,,
,,2017 - 2018,174,157,0.9,,,,,,
,,2018 - 2019,157,141,0.9,,,,,,
,,2019 - 2020,160,143,0.89,,,,,,
,,2020 - 2021,164,147,0.9,,,,,,
,,2021 - 2022,71,86,1.21,,,,,,
,,2022 - 2023,113,138,1.22,,,,,,
,16. Kishanganj,2000 - 2001,16,8,0.5,,,,,,
,,2001 - 2002,43,24,0.56,,,,,,
,,2002 - 2003,12,7,0.58,,,,,,
,,2003 - 2004,8,6,0.75,,,,,,
,,2004 - 2005,14,9,0.64,,,,,,
,,2005 - 2006,47,37,0.79,,,,,,
,,2007 - 2008,32,23,0.72,,,,,,
,,2016 - 2017,33,29,0.88,,,,,,
,,2017 - 2018,34,30,0.88,,,,,,
,,2018 - 2019,37,33,0.89,,,,,,
,,2019 - 2020,33,29,0.88,,,,,,
,,2020 - 2021,36,32,0.89,,,,,,
,,2021 - 2022,29,26,0.9,,,,,,
,,2022 - 2023,28,25,0.89,,,,,,
,17. Lakhisarai,2002 - 2003,14,9,0.64,,,,,,
,,2021 - 2022,15,16,1.07,,,,,,
