State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,8. Guntur,2000 - 2001,,,,,,,"2,345.00",,0,,,
,,2001 - 2002,,,,,,,"2,857.00","4,480.00",1.57,,,
,,2002 - 2003,,,,,,,"2,592.00","2,803.00",1.08,,,
,,2003 - 2004,,,,,,,"3,181.00","7,965.00",2.5,,,
,,2004 - 2005,,,,,,,"3,872.00","7,020.00",1.81,,,
,,2005 - 2006,,,,,,,"3,110.00","5,759.00",1.85,,,
,,2006 - 2007,,,,,,,"2,541.00","5,377.00",2.12,,,
,,2007 - 2008,,,,,,,"2,000.00","5,000.00",2.5,,,
,,2008 - 2009,,,,,,,"6,246.00","15,890.00",2.54,,,
,,2009 - 2010,,,,,,,"9,223.00","21,059.00",2.28,,,
,,2010 - 2011,,,,,,,"4,116.00","10,729.00",2.61,,,
,,2011 - 2012,,,,,,,"4,487.00","14,803.00",3.3,,,
,,2012 - 2013,,,,,,,"6,000.00","20,000.00",3.33,,,
,,2013 - 2014,,,,"6,435.00","21,523.00",3.34,,,,,,
,,2014 - 2015,,,,"4,991.00","14,559.00",2.92,,,,,,
,,2015 - 2016,,,,"1,986.00","7,194.00",3.62,,,,,,
,,2016 - 2017,,,,"1,720.00","4,019.00",2.34,,,,,,
,,2017 - 2018,"1,354.00","3,956.00",2.92,"2,399.00","6,933.00",2.89,,,,,,
,,2018 - 2019,942,"2,221.00",2.36,"4,663.00","10,535.00",2.26,,,,,,
,,2019 - 2020,"2,490.00","6,309.00",2.53,"2,510.00","6,765.00",2.7,,,,,,
,,2020 - 2021,"1,248.00","3,395.00",2.72,"1,904.00","5,277.00",2.77,,,,,,
,,2021 - 2022,"1,442.00","3,026.00",2.1,"2,420.00","5,214.00",2.15,,,,,,
,,2022 - 2023,,,,600,"2,395.00",3.99,,,,,,
,9. Kadapa,2000 - 2001,,,,,,,113,145,1.28,,,
,,2001 - 2002,,,,,,,81,82,1.01,,,
,,2002 - 2003,,,,,,,174,170,0.98,,,
,,2003 - 2004,,,,,,,389,489,1.26,,,
,,2004 - 2005,,,,,,,85,94,1.11,,,
,,2005 - 2006,,,,,,,74,91,1.23,,,
,,2006 - 2007,,,,,,,60,73,1.22,,,
,,2008 - 2009,,,,,,,324,516,1.59,,,
,,2009 - 2010,,,,,,,377,633,1.68,,,
,,2010 - 2011,,,,,,,169,257,1.52,,,
,,2011 - 2012,,,,,,,142,230,1.62,,,
,,2013 - 2014,11,20,1.82,23,42,1.83,,,,,,
,,2014 - 2015,20,60,3,6,18,3,,,,,,
,,2015 - 2016,40,71,1.78,,,,,,,,,
,,2016 - 2017,72,120,1.67,26,43,1.65,,,,,,
,,2017 - 2018,49,68,1.39,,,,,,,,,
,,2018 - 2019,28,34,1.21,76,100,1.32,,,,,,
,,2019 - 2020,98,322,3.29,4,8,2,,,,,,
,,2020 - 2021,,,,73,160,2.19,,,,,,
,,2021 - 2022,6,13,2.17,48,94,1.96,,,,,,
,,2022 - 2023,1,2,2,81,150,1.85,,,,,,
