State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,,,,,,,"3,691.00","6,891.00",1.87,,,
,,2010 - 2011,,,,,,,"3,268.00","5,827.00",1.78,,,
,,2011 - 2012,,,,,,,"3,228.00","6,085.00",1.89,,,
,,2012 - 2013,,,,,,,"3,228.00","6,101.00",1.89,,,
,,2013 - 2014,,,,,,,"4,531.00","8,613.00",1.9,,,
,,2014 - 2015,,,,,,,"4,585.00","8,079.00",1.76,,,
,,2015 - 2016,,,,,,,"2,319.00","4,026.00",1.74,,,
,,2016 - 2017,,,,,,,"3,643.00","6,412.00",1.76,,,
,,2017 - 2018,,,,,,,"4,178.00","7,324.00",1.75,,,
,,2018 - 2019,,,,,,,"4,285.00","7,499.00",1.75,,,
,,2019 - 2020,,,,,,,"3,750.00","6,578.00",1.75,,,
,,2020 - 2021,,,,,,,"3,746.00","6,563.00",1.75,,,
,,2021 - 2022,,,,,,,"3,788.00","6,637.00",1.75,,,
,,2022 - 2023,,,,,,,"3,789.00","6,642.00",1.75,,,
,19. Saran,2002 - 2003,,,,,,,13,14,1.08,,,
,,2004 - 2005,,,,,,,3,3,1,,,
,20. Sheohar,2000 - 2001,,,,,,,74,86,1.16,,,
,,2001 - 2002,,,,,,,66,73,1.11,,,
,,2002 - 2003,,,,,,,65,73,1.12,,,
,,2003 - 2004,,,,,,,49,54,1.1,,,
,,2004 - 2005,,,,,,,63,73,1.16,,,
,,2005 - 2006,,,,,,,5,6,1.2,,,
,,2007 - 2008,,,,,,,8,18,2.25,,,
,,2009 - 2010,,,,,,,2,4,2,,,
,,2010 - 2011,,,,,,,1,2,2,,,
,,2011 - 2012,,,,,,,8,15,1.88,,,
,,2012 - 2013,,,,,,,23,43,1.87,,,
,,2013 - 2014,,,,,,,21,40,1.9,,,
,,2014 - 2015,,,,,,,21,37,1.76,,,
,,2015 - 2016,,,,,,,21,36,1.71,,,
,,2016 - 2017,,,,,,,43,76,1.77,,,
,,2017 - 2018,,,,,,,39,69,1.77,,,
,,2018 - 2019,,,,,,,45,79,1.76,,,
,,2019 - 2020,,,,,,,25,44,1.76,,,
,,2020 - 2021,,,,,,,25,44,1.76,,,
,,2021 - 2022,,,,,,,23,40,1.74,,,
,,2022 - 2023,,,,,,,23,40,1.74,,,
,21. Sitamarhi,2000 - 2001,,,,,,,196,228,1.16,,,
,,2001 - 2002,,,,,,,181,199,1.1,,,
,,2002 - 2003,,,,,,,179,201,1.12,,,
,,2003 - 2004,,,,,,,175,195,1.11,,,
,,2004 - 2005,,,,,,,171,199,1.16,,,
,,2005 - 2006,,,,,,,47,54,1.15,,,
,22. Siwan,2004 - 2005,,,,,,,128,149,1.16,,,
,,2005 - 2006,,,,,,,13,15,1.15,,,
,,2007 - 2008,,,,,,,58,98,1.69,,,
,,2009 - 2010,,,,,,,58,108,1.86,,,
,,2010 - 2011,,,,,,,93,166,1.78,,,
,,2011 - 2012,,,,,,,112,211,1.88,,,
,,2012 - 2013,,,,,,,93,176,1.89,,,
,,2013 - 2014,,,,,,,97,184,1.9,,,
,,2014 - 2015,,,,,,,92,161,1.75,,,
,,2015 - 2016,,,,,,,92,163,1.77,,,
,,2016 - 2017,,,,,,,90,158,1.76,,,
,,2017 - 2018,,,,,,,92,162,1.76,,,
,,2018 - 2019,,,,,,,92,162,1.76,,,
,,2019 - 2020,,,,,,,93,163,1.75,,,
,,2020 - 2021,,,,,,,92,162,1.76,,,
,,2021 - 2022,,,,,,,92,162,1.76,,,
,,2022 - 2023,,,,,,,92,162,1.76,,,
,23. Supaul,2000 - 2001,,,,,,,1,1,1,,,
,24. Vaishali,2000 - 2001,,,,,,,"7,927.00","9,219.00",1.16,,,
,,2001 - 2002,,,,,,,"6,133.00","6,752.00",1.1,,,
,,2002 - 2003,,,,,,,"6,252.00","7,027.00",1.12,,,
,,2003 - 2004,,,,,,,"5,023.00","5,586.00",1.11,,,
,,2004 - 2005,,,,,,,"6,378.00","7,405.00",1.16,,,
,,2005 - 2006,,,,,,,"6,088.00","7,019.00",1.15,,,
,,2007 - 2008,,,,,,,"4,890.00","11,179.00",2.29,,,
,,2009 - 2010,,,,,,,"4,610.00","8,607.00",1.87,,,
,,2010 - 2011,,,,,,,"4,748.00","8,466.00",1.78,,,
,,2011 - 2012,,,,,,,"5,359.00","10,102.00",1.89,,,
,,2012 - 2013,,,,,,,"6,272.00","11,854.00",1.89,,,
,,2013 - 2014,,,,,,,"6,249.00","11,879.00",1.9,,,
,,2014 - 2015,,,,,,,"5,027.00","8,863.00",1.76,,,
,,2015 - 2016,,,,,,,"5,829.00","10,107.00",1.73,,,
,,2016 - 2017,,,,,,,"5,702.00","10,047.00",1.76,,,
,,2017 - 2018,,,,,,,"5,852.00","10,288.00",1.76,,,
,,2018 - 2019,,,,,,,"5,839.00","10,224.00",1.75,,,
,,2019 - 2020,,,,,,,"5,766.00","10,131.00",1.76,,,
,,2020 - 2021,,,,,,,"5,859.00","10,283.00",1.76,,,
,,2021 - 2022,,,,,,,"5,857.00","10,332.00",1.76,,,
,,2022 - 2023,,,,,,,"5,854.00","10,297.00",1.76,,,
4. Chhattisgarh,1. Baloda bazar,2022 - 2023,,,,,,,1,1,1,,,
,2. Balrampur,2011 - 2012,,,,,,,3,1,0.33,,,
,,2012 - 2013,,,,,,,1,4,4,,,
,,2013 - 2014,,,,,,,2,2,1,,,
,,2014 - 2015,,,,,,,1,1,1,,,
,,2017 - 2018,,,,,,,1,,0,,,
,,2019 - 2020,,,,,,,1,1,1,,,
,,2020 - 2021,,,,,,,2,1,0.5,,,
,,2021 - 2022,,,,,,,2,1,0.5,,,
,,2022 - 2023,,,,,,,1,1,1,,,
,3. Bastar,2000 - 2001,,,,,,,8,5,0.63,,,
,,2001 - 2002,,,,,,,10,6,0.6,,,
,,2002 - 2003,,,,,,,9,6,0.67,,,
,,2003 - 2004,,,,,,,6,4,0.67,,,
,,2004 - 2005,,,,,,,7,4,0.57,,,
,,2005 - 2006,,,,,,,8,5,0.63,,,
,,2006 - 2007,,,,,,,4,4,1,,,
,,2007 - 2008,,,,,,,2,2,1,,,
,,2008 - 2009,,,,,,,2,1,0.5,,,
,,2009 - 2010,,,,,,,3,2,0.67,,,
,,2010 - 2011,,,,,,,3,2,0.67,,,
,,2011 - 2012,,,,,,,3,2,0.67,,,
,,2012 - 2013,,,,,,,4,2,0.5,,,
,,2013 - 2014,,,,,,,7,4,0.57,,,
,,2014 - 2015,,,,,,,7,4,0.57,,,
,,2017 - 2018,,,,,,,3,2,0.67,,,
,,2018 - 2019,,,,,,,2,,0,,,
,,2019 - 2020,,,,,,,1,,0,,,
,,2020 - 2021,,,,,,,33,17,0.52,,,
,,2021 - 2022,,,,,,,33,19,0.58,,,
,,2022 - 2023,,,,,,,15,9,0.6,,,
,4. Dantewada,2000 - 2001,,,,,,,8,4,0.5,,,
,,2001 - 2002,,,,,,,7,5,0.71,,,
,,2002 - 2003,,,,,,,8,5,0.63,,,
,,2003 - 2004,,,,,,,8,5,0.63,,,
,,2004 - 2005,,,,,,,6,2,0.33,,,
,,2005 - 2006,,,,,,,2,1,0.5,,,
,,2006 - 2007,,,,,,,1,1,1,,,
,5. Durg,2000 - 2001,,,,,,,1,,0,,,
,6. Gariyaband,2022 - 2023,,,,,,,2,2,1,,,
,7. Jashpur,2000 - 2001,,,,,,,4,2,0.5,,,
,,2002 - 2003,,,,,,,1,1,1,,,
,,2003 - 2004,,,,,,,2,2,1,,,
,,2004 - 2005,,,,,,,1,1,1,,,
,,2005 - 2006,,,,,,,2,1,0.5,,,
,,2006 - 2007,,,,,,,1,1,1,,,
,,2007 - 2008,,,,,,,2,2,1,,,
,,2008 - 2009,,,,,,,2,1,0.5,,,
,,2009 - 2010,,,,,,,1,,0,,,
,,2010 - 2011,,,,,,,1,,0,,,
,8. Korea,2000 - 2001,,,,,,,1,,0,,,
,,2002 - 2003,,,,,,,1,,0,,,
,,2003 - 2004,,,,,,,2,1,0.5,,,
,,2004 - 2005,,,,,,,1,1,1,,,
,,2019 - 2020,,,,,,,1,1,1,,,
,9. Raigarh,2001 - 2002,,,,,,,3,2,0.67,,,
,10. Surajpur,2011 - 2012,,,,,,,10,4,0.4,,,
,,2012 - 2013,,,,,,,8,1,0.13,,,
,,2013 - 2014,,,,,,,8,4,0.5,,,
,,2014 - 2015,,,,,,,21,9,0.43,,,
,,2016 - 2017,,,,,,,5,3,0.6,,,
,,2017 - 2018,,,,,,,6,2,0.33,,,
,,2018 - 2019,,,,,,,12,7,0.58,,,
,,2019 - 2020,,,,,,,5,3,0.6,,,
,,2020 - 2021,,,,,,,1,1,1,,,
,11. Surguja,2000 - 2001,,,,,,,20,9,0.45,,,
,,2001 - 2002,,,,,,,20,9,0.45,,,
,,2002 - 2003,,,,,,,20,6,0.3,,,
,,2003 - 2004,,,,,,,23,11,0.48,,,
,,2004 - 2005,,,,,,,18,9,0.5,,,
,,2005 - 2006,,,,,,,17,8,0.47,,,
,,2006 - 2007,,,,,,,10,10,1,,,
,,2007 - 2008,,,,,,,15,7,0.47,,,
,,2008 - 2009,,,,,,,23,12,0.52,,,
,,2009 - 2010,,,,,,,18,9,0.5,,,
,,2010 - 2011,,,,,,,19,10,0.53,,,
,,2011 - 2012,,,,,,,5,2,0.4,,,
,,2012 - 2013,,,,,,,5,1,0.2,,,
,,2013 - 2014,,,,,,,5,5,1,,,
,,2014 - 2015,,,,,,,4,2,0.5,,,
,,2017 - 2018,,,,,,,3,2,0.67,,,
,,2018 - 2019,,,,,,,2,1,0.5,,,
,,2019 - 2020,,,,,,,1,1,1,,,
,,2020 - 2021,,,,,,,2,2,1,,,
,,2021 - 2022,,,,,,,1,1,1,,,
,,2022 - 2023,,,,,,,13,13,1,,,
5. Gujarat,1. Ahmadabad,2000 - 2001,,,,,,,"1,000.00","1,700.00",1.7,,,
,,2001 - 2002,,,,,,,"1,000.00","1,800.00",1.8,,,
,,2002 - 2003,,,,,,,"1,000.00","1,800.00",1.8,,,
,,2003 - 2004,,,,,,,"1,000.00","1,800.00",1.8,,,
,,2004 - 2005,,,,,,,"1,000.00","1,600.00",1.6,,,
,,2005 - 2006,,,,,,,700,"1,000.00",1.43,,,
,,2008 - 2009,600,900,1.5,,,,,,,,,
,,2010 - 2011,200,400,2,,,,,,,,,
,,2011 - 2012,100,100,1,,,,,,,,,
,,2012 - 2013,100,200,2,100,100,1,,,,,,
,,2013 - 2014,50,97,1.94,55,110,2,,,,,,
,,2014 - 2015,,,,55,86,1.56,,,,,,
,,2015 - 2016,5,10,2,80,139,1.74,,,,,,
,,2016 - 2017,80,157,1.96,,,,,,,,,
,,2017 - 2018,,,,113,394,3.49,,,,,,
,,2018 - 2019,15,28,1.87,,,,,,,,,
,,2019 - 2020,22,43,1.95,52,134,2.58,,,,,,
,,2020 - 2021,,,,225,545,2.42,,,,,,
,,2021 - 2022,10,21,2.1,79,195,2.47,,,,,,
,,2022 - 2023,9,17,1.89,38,94,2.47,,,,,,
,2. Amreli,2010 - 2011,"1,200.00","2,000.00",1.67,,,,,,,,,
,,2018 - 2019,20,37,1.85,,,,,,,,,
,3. Anand,2004 - 2005,,,,,,,"21,800.00","44,900.00",2.06,,,
,,2005 - 2006,,,,,,,"22,800.00","42,600.00",1.87,,,
,,2006 - 2007,,,,,,,"22,200.00","39,400.00",1.77,,,
,,2007 - 2008,,,,,,,"13,000.00","23,900.00",1.84,,,
,,2008 - 2009,"15,600.00","27,400.00",1.76,,,,,,,,,
,,2009 - 2010,"13,900.00","27,200.00",1.96,"13,900.00","27,200.00",1.96,,,,,,
,,2010 - 2011,"14,800.00","29,600.00",2,"62,500.00","1,24,600.00",1.99,,,,,,
,,2011 - 2012,"12,500.00","28,100.00",2.25,"62,100.00","1,12,200.00",1.81,,,,,,
,,2012 - 2013,"5,900.00","13,200.00",2.24,"58,000.00","1,04,500.00",1.8,,,,,,
,,2013 - 2014,"8,869.00","21,623.00",2.44,"56,716.00","1,05,984.00",1.87,,,,,,
,,2014 - 2015,"12,695.00","24,977.00",1.97,"64,737.00","1,27,370.00",1.97,,,,,,
,,2015 - 2016,"10,311.00","24,065.00",2.33,"61,855.00","1,44,363.00",2.33,,,,,,
,,2016 - 2017,"3,875.00","8,733.00",2.25,"56,086.00","1,86,654.00",3.33,,,,,,
,,2017 - 2018,"11,030.00","23,896.00",2.17,"61,445.00","2,14,025.00",3.48,,,,,,
,,2018 - 2019,"12,853.00","24,859.00",1.93,"60,493.00","1,17,961.00",1.95,,,,,,
,,2019 - 2020,"10,377.00","20,584.00",1.98,"58,571.00","1,41,101.00",2.41,,,,,,
,,2020 - 2021,"5,327.00","10,433.00",1.96,"57,644.00","1,23,716.00",2.15,,,,,,
,,2021 - 2022,"9,445.00","17,923.00",1.9,"63,773.00","1,45,894.00",2.29,,,,,,
,,2022 - 2023,"11,034.00","23,966.00",2.17,"64,209.00","1,60,053.00",2.49,,,,,,
,4. Aravalli,2017 - 2018,,,,800,"2,787.00",3.48,,,,,,
,,2018 - 2019,,,,589,707,1.2,,,,,,
,,2019 - 2020,,,,"1,681.00","4,317.00",2.57,,,,,,
,,2020 - 2021,,,,"1,769.00","2,974.00",1.68,,,,,,
,,2021 - 2022,,,,"2,223.00","3,733.00",1.68,,,,,,
,,2022 - 2023,,,,"1,756.00","3,022.00",1.72,,,,,,
,5. Banas kantha,2000 - 2001,,,,,,,"3,000.00","5,100.00",1.7,,,
,,2001 - 2002,,,,,,,"2,500.00","4,300.00",1.72,,,
,,2002 - 2003,,,,,,,"1,100.00","2,900.00",2.64,,,
,,2003 - 2004,,,,,,,"33,100.00","69,800.00",2.11,,,
,,2006 - 2007,,,,,,,200,400,2,,,
,,2009 - 2010,200,300,1.5,200,300,1.5,,,,,,
,,2010 - 2011,,,,"6,100.00","12,100.00",1.98,,,,,,
,,2011 - 2012,100,200,2,"4,300.00","7,700.00",1.79,,,,,,
,,2012 - 2013,,,,800,"1,100.00",1.38,,,,,,
,,2013 - 2014,28,54,1.93,"3,185.00","5,935.00",1.86,,,,,,
,,2014 - 2015,,,,"6,760.00","10,554.00",1.56,,,,,,
,,2015 - 2016,,,,"11,956.00","20,756.00",1.74,,,,,,
,,2016 - 2017,,,,"8,355.00","27,805.00",3.33,,,,,,
,,2017 - 2018,,,,"8,763.00","30,523.00",3.48,,,,,,
,,2018 - 2019,20,37,1.85,"2,740.00","4,521.00",1.65,,,,,,
,,2019 - 2020,,,,"4,139.00","11,446.00",2.77,,,,,,
,,2020 - 2021,,,,"5,090.00","15,323.00",3.01,,,,,,
,,2021 - 2022,,,,"5,522.00","16,403.00",2.97,,,,,,
,,2022 - 2023,,,,"6,718.00","19,854.00",2.96,,,,,,
,6. Bharuch,2000 - 2001,,,,,,,100,100,1,,,
,,2002 - 2003,,,,,,,100,100,1,,,
,7. Bhavnagar,2005 - 2006,,,,,,,100,100,1,,,
,,2021 - 2022,1,2,2,1,2,2,,,,,,
,8. Dohad,2019 - 2020,5,10,2,,,,,,,,,
,9. Gandhinagar,2006 - 2007,,,,,,,200,400,2,,,
,,2008 - 2009,100,100,1,,,,,,,,,
,,2010 - 2011,100,200,2,"1,600.00","3,000.00",1.88,,,,,,
,,2011 - 2012,,,,"2,600.00","4,300.00",1.65,,,,,,
,,2012 - 2013,,,,700,"1,600.00",2.29,,,,,,
,,2013 - 2014,17,33,1.94,813,"1,487.00",1.83,,,,,,
,,2014 - 2015,22,40,1.82,967,"1,510.00",1.56,,,,,,
,,2015 - 2016,7,14,2,"4,689.00","8,140.00",1.74,,,,,,
,,2016 - 2017,,,,"3,173.00","10,560.00",3.33,,,,,,
,,2017 - 2018,,,,"3,595.00","12,522.00",3.48,,,,,,
,,2018 - 2019,,,,"3,422.00","9,154.00",2.68,,,,,,
,,2019 - 2020,,,,"3,547.00","8,859.00",2.5,,,,,,
,,2020 - 2021,,,,"4,908.00","11,330.00",2.31,,,,,,
,,2021 - 2022,,,,"4,682.00","12,033.00",2.57,,,,,,
,,2022 - 2023,,,,"4,846.00","12,111.00",2.5,,,,,,
,10. Jamnagar,2015 - 2016,,,,100,174,1.74,,,,,,
,,2021 - 2022,,,,1,2,2,,,,,,
,11. Junagadh,2015 - 2016,"11,700.00","23,328.00",1.99,,,,,,,,,
,12. Kachchh,2014 - 2015,890,"1,624.00",1.82,,,,,,,,,
,13. Kheda,2000 - 2001,,,,,,,"65,600.00","1,18,900.00",1.81,,,
,,2001 - 2002,,,,,,,"64,900.00","1,24,200.00",1.91,,,
,,2002 - 2003,,,,,,,"47,400.00","87,300.00",1.84,,,
,,2003 - 2004,,,,,,,"20,500.00","36,300.00",1.77,,,
,,2004 - 2005,,,,,,,"30,500.00","48,200.00",1.58,,,
,,2005 - 2006,,,,,,,"26,400.00","39,000.00",1.48,,,
,,2006 - 2007,,,,,,,"20,700.00","40,900.00",1.98,,,
,,2007 - 2008,,,,,,,"20,200.00","38,600.00",1.91,,,
,,2008 - 2009,"22,500.00","30,100.00",1.34,,,,,,,,,
,,2009 - 2010,"35,400.00","53,700.00",1.52,"35,400.00","53,700.00",1.52,,,,,,
,,2010 - 2011,"26,100.00","43,700.00",1.67,"11,500.00","23,800.00",2.07,,,,,,
,,2011 - 2012,"34,000.00","61,100.00",1.8,"13,700.00","23,900.00",1.74,,,,,,
,,2012 - 2013,"33,500.00","56,400.00",1.68,"8,500.00","12,000.00",1.41,,,,,,
,,2013 - 2014,"23,411.00","48,039.00",2.05,"8,752.00","15,524.00",1.77,,,,,,
,,2014 - 2015,"32,778.00","61,229.00",1.87,"27,583.00","51,525.00",1.87,,,,,,
,,2015 - 2016,"30,497.00","51,432.00",1.69,"38,523.00","64,968.00",1.69,,,,,,
,,2016 - 2017,"29,396.00","59,853.00",2.04,"31,651.00","1,05,335.00",3.33,,,,,,
,,2017 - 2018,"36,850.00","69,408.00",1.88,"25,612.00","89,212.00",3.48,,,,,,
,,2018 - 2019,"42,006.00","81,986.00",1.95,"31,688.00","43,317.00",1.37,,,,,,
,,2019 - 2020,"30,669.00","62,519.00",2.04,"23,294.00","53,491.00",2.3,,,,,,
,,2020 - 2021,"32,180.00","69,581.00",2.16,"28,135.00","65,684.00",2.33,,,,,,
,,2021 - 2022,"36,568.00","80,561.00",2.2,"30,338.00","67,670.00",2.23,,,,,,
,,2022 - 2023,"35,456.00","66,288.00",1.87,"28,433.00","64,486.00",2.27,,,,,,
,14. Mahesana,2000 - 2001,,,,,,,"2,100.00","3,600.00",1.71,,,
,,2001 - 2002,,,,,,,"2,900.00","4,900.00",1.69,,,
,,2002 - 2003,,,,,,,"1,600.00","2,700.00",1.69,,,
,,2003 - 2004,,,,,,,700,"1,300.00",1.86,,,
,,2004 - 2005,,,,,,,900,"1,300.00",1.44,,,
,,2005 - 2006,,,,,,,300,500,1.67,,,
,,2006 - 2007,,,,,,,200,300,1.5,,,
,,2007 - 2008,,,,,,,500,"1,000.00",2,,,
,,2008 - 2009,"1,700.00","2,400.00",1.41,,,,,,,,,
,,2009 - 2010,100,200,2,100,200,2,,,,,,
,,2010 - 2011,500,900,1.8,"4,100.00","8,000.00",1.95,,,,,,
,,2011 - 2012,100,100,1,"8,300.00","8,200.00",0.99,,,,,,
,,2012 - 2013,400,600,1.5,"11,600.00","15,600.00",1.34,,,,,,
,,2013 - 2014,240,467,1.95,"10,909.00","14,456.00",1.33,,,,,,
,,2014 - 2015,156,285,1.83,"12,972.00","20,251.00",1.56,,,,,,
,,2015 - 2016,241,481,2,"16,473.00","28,597.00",1.74,,,,,,
,,2016 - 2017,,,,"13,334.00","44,376.00",3.33,,,,,,
,,2017 - 2018,,,,"14,340.00","49,949.00",3.48,,,,,,
,,2018 - 2019,70,129,1.84,"12,700.00","21,590.00",1.7,,,,,,
,,2019 - 2020,50,98,1.96,"16,200.00","56,225.00",3.47,,,,,,
,,2020 - 2021,8,16,2,"17,910.00","60,836.00",3.4,,,,,,
,,2021 - 2022,,,,"18,062.00","61,850.00",3.42,,,,,,
,,2022 - 2023,,,,"15,742.00","46,498.00",2.95,,,,,,
,15. Mahisagar,2014 - 2015,325,593,1.82,,,,,,,,,
,,2015 - 2016,800,"1,389.00",1.74,2,3,1.5,,,,,,
,,2016 - 2017,,,,"1,612.00","5,365.00",3.33,,,,,,
,,2017 - 2018,,,,70,244,3.49,,,,,,
,,2018 - 2019,"1,334.00","2,467.00",1.85,,,,,,,,,
,,2019 - 2020,613,"1,205.00",1.97,70,180,2.57,,,,,,
,,2020 - 2021,"1,280.00","2,629.00",2.05,124,301,2.43,,,,,,
,,2021 - 2022,820,"3,114.00",3.8,820,"2,021.00",2.46,,,,,,
,,2022 - 2023,76,125,1.64,876,"2,175.00",2.48,,,,,,
,16. Panch mahals,2000 - 2001,,,,,,,100,200,2,,,
,,2001 - 2002,,,,,,,100,200,2,,,
,,2002 - 2003,,,,,,,100,100,1,,,
,,2003 - 2004,,,,,,,200,400,2,,,
,,2004 - 2005,,,,,,,300,500,1.67,,,
,,2005 - 2006,,,,,,,500,800,1.6,,,
,,2006 - 2007,,,,,,,"1,400.00","2,300.00",1.64,,,
,,2007 - 2008,,,,,,,300,500,1.67,,,
,,2008 - 2009,400,600,1.5,,,,,,,,,
,,2009 - 2010,800,"1,300.00",1.63,800,"1,300.00",1.63,,,,,,
,,2010 - 2011,600,"1,000.00",1.67,,,,,,,,,
,,2011 - 2012,500,900,1.8,,,,,,,,,
,,2012 - 2013,,,,100,,0,,,,,,
,,2013 - 2014,5,10,2,,,,,,,,,
,,2014 - 2015,17,31,1.82,,,,,,,,,
,,2015 - 2016,945,"1,884.00",1.99,,,,,,,,,
,,2016 - 2017,76,149,1.96,,,,,,,,,
,,2017 - 2018,460,854,1.86,71,247,3.48,,,,,,
,,2018 - 2019,105,194,1.85,,,,,,,,,
,,2019 - 2020,245,482,1.97,158,406,2.57,,,,,,
,,2020 - 2021,160,329,2.06,"1,068.00","2,588.00",2.42,,,,,,
,,2021 - 2022,703,"1,469.00",2.09,112,276,2.46,,,,,,
,,2022 - 2023,"1,344.00","2,554.00",1.9,472,"1,172.00",2.48,,,,,,
,17. Patan,2004 - 2005,,,,,,,100,200,2,,,
,,2005 - 2006,,,,,,,100,100,1,,,
,,2007 - 2008,,,,,,,100,100,1,,,
,,2008 - 2009,200,300,1.5,,,,,,,,,
,,2010 - 2011,,,,600,"1,200.00",2,,,,,,
,,2011 - 2012,,,,600,900,1.5,,,,,,
,,2012 - 2013,,,,100,100,1,,,,,,
,,2013 - 2014,,,,350,585,1.67,,,,,,
,,2014 - 2015,,,,"1,165.00","1,819.00",1.56,,,,,,
,,2015 - 2016,880,"1,755.00",1.99,"1,878.00","3,260.00",1.74,,,,,,
,,2016 - 2017,,,,"1,625.00","5,408.00",3.33,,,,,,
,,2017 - 2018,,,,"1,620.00","5,643.00",3.48,,,,,,
,,2018 - 2019,,,,"1,505.00","2,559.00",1.7,,,,,,
,,2019 - 2020,,,,"3,382.00","9,171.00",2.71,,,,,,
,,2020 - 2021,,,,"4,009.00","10,115.00",2.52,,,,,,
,,2021 - 2022,,,,"4,747.00","13,423.00",2.83,,,,,,
,,2022 - 2023,,,,"6,586.00","14,139.00",2.15,,,,,,
,18. Rajkot,2021 - 2022,26,54,2.08,,,,,,,,,
,19. Sabar kantha,2000 - 2001,,,,,,,100,100,1,,,
,,2001 - 2002,,,,,,,100,100,1,,,
,,2006 - 2007,,,,,,,700,"1,200.00",1.71,,,
,,2009 - 2010,200,300,1.5,200,300,1.5,,,,,,
,,2010 - 2011,,,,"1,600.00","3,300.00",2.06,,,,,,
,,2011 - 2012,,,,"3,800.00","3,700.00",0.97,,,,,,
,,2012 - 2013,,,,100,200,2,,,,,,
,,2013 - 2014,,,,285,374,1.31,,,,,,
,,2014 - 2015,,,,310,484,1.56,,,,,,
,,2017 - 2018,,,,"3,648.00","12,707.00",3.48,,,,,,
,,2018 - 2019,,,,"2,407.00","2,888.00",1.2,,,,,,
,,2019 - 2020,,,,"1,770.00","4,546.00",2.57,,,,,,
,,2020 - 2021,,,,"2,770.00","6,258.00",2.26,,,,,,
,,2021 - 2022,,,,"5,033.00","10,272.00",2.04,,,,,,
,,2022 - 2023,,,,"5,243.00","14,438.00",2.75,,,,,,
,20. Surat,2013 - 2014,30,58,1.93,,,,,,,,,
,21. Surendranagar,2017 - 2018,42,78,1.86,,,,,,,,,
,22. Vadodara,2000 - 2001,,,,,,,"15,800.00","18,800.00",1.19,,,
,,2001 - 2002,,,,,,,"14,000.00","9,800.00",0.7,,,
,,2002 - 2003,,,,,,,"15,100.00","19,700.00",1.3,,,
,,2003 - 2004,,,,,,,"12,700.00","15,200.00",1.2,,,
,,2004 - 2005,,,,,,,"16,700.00","17,200.00",1.03,,,
,,2005 - 2006,,,,,,,"14,200.00","17,400.00",1.23,,,
,,2006 - 2007,,,,,,,"11,400.00","13,500.00",1.18,,,
,,2007 - 2008,,,,,,,"11,600.00","14,600.00",1.26,,,
,,2008 - 2009,"8,100.00","8,300.00",1.02,,,,,,,,,
,,2009 - 2010,"12,200.00","18,500.00",1.52,"12,200.00","18,500.00",1.52,,,,,,
,,2010 - 2011,"16,400.00","26,700.00",1.63,,,,,,,,,
,,2011 - 2012,"15,300.00","27,000.00",1.76,,,,,,,,,
,,2012 - 2013,"4,000.00","6,800.00",1.7,,,,,,,,,
,,2013 - 2014,"6,412.00","8,650.00",1.35,"3,020.00","5,415.00",1.79,,,,,,
,,2014 - 2015,"1,265.00","1,661.00",1.31,260,341,1.31,,,,,,
,,2015 - 2016,"5,750.00","6,829.00",1.19,155,184,1.19,,,,,,
,,2016 - 2017,"4,490.00","5,500.00",1.22,900,"2,995.00",3.33,,,,,,
,,2017 - 2018,"4,727.00","4,331.00",0.92,671,"2,337.00",3.48,,,,,,
,,2018 - 2019,"5,132.00","4,097.00",0.8,311,641,2.06,,,,,,
,,2019 - 2020,"6,253.00","9,872.00",1.58,"1,165.00","2,992.00",2.57,,,,,,
,,2020 - 2021,"6,777.00","10,954.00",1.62,"1,064.00","2,579.00",2.42,,,,,,
,,2021 - 2022,"6,357.00","9,514.00",1.5,"2,312.00","5,700.00",2.47,,,,,,
,,2022 - 2023,"6,516.00","10,506.00",1.61,"3,493.00","5,647.00",1.62,,,,,,
6. Haryana,1. Kaithal,2011 - 2012,,,,,,,1,,0,,,
,2. Panchkula,2012 - 2013,,,,,,,11,,0,,,
,3. Rewari,2011 - 2012,,,,,,,10,,0,,,
7. Himachal Pradesh,1. Bilaspur,2001 - 2002,,,,,,,1,1,1,,,
,,2002 - 2003,,,,,,,1,2,2,,,
,2. Chamba,2001 - 2002,,,,,,,20,23,1.15,,,
,,2002 - 2003,,,,,,,31,36,1.16,,,
,3. Hamirpur,2014 - 2015,0.5,0.6,1.2,,,,,,,,,
,4. Kangra,2012 - 2013,0.5,0.6,1.2,,,,,,,,,
,5. Sirmaur,2001 - 2002,,,,,,,2,2,1,,,
,,2014 - 2015,0.3,0.5,1.67,,,,,,,,,
,6. Solan,2012 - 2013,0.5,0.5,1,,,,,,,,,
8. Jammu and Kashmir,1. Jammu,2000 - 2001,,,,,,,53,8,0.15,,,
,,2001 - 2002,,,,,,,30,10,0.33,,,
,,2002 - 2003,,,,,,,12,4,0.33,,,
,2. Kathua,2000 - 2001,,,,,,,46,4,0.09,,,
,,2001 - 2002,,,,,,,3,2,0.67,,,
,,2002 - 2003,,,,,,,2,0.1,0.05,,,
