State,District,Year,Onion,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,212,"1,089.00",5.14,65,431,6.63,,,,1,5,5
,,2015 - 2016,151,659,4.36,12,68,5.67,,,,2,9,4.5
,,2016 - 2017,172,"1,235.00",7.18,6,86,14.33,,,,2,29,14.5
,,2017 - 2018,135,"1,490.00",11.04,63,893,14.17,,,,,,
,,2018 - 2019,13,98,7.54,139,"1,843.00",13.26,,,,,,
,,2019 - 2020,65,525,8.08,84,"1,172.00",13.95,,,,,,
,,2020 - 2021,158,959,6.07,133,"1,662.00",12.5,,,,30,429,14.3
,,2021 - 2022,504,"3,587.00",7.12,69,749,10.86,,,,72,891,12.38
,,2022 - 2023,64,432,6.75,5,65,13,,,,203,"4,483.00",22.08
,21. Mysore,2000 - 2001,,,,,,,15,80,5.33,,,
,,2001 - 2002,,,,,,,5,21,4.2,,,
,,2002 - 2003,,,,,,,5,17,3.4,,,
,,2003 - 2004,,,,,,,5,13,2.6,,,
,,2004 - 2005,,,,,,,5,29,5.8,,,
,,2005 - 2006,20,111,5.55,,,,,,,,,
,,2006 - 2007,,,,,,,5,28,5.6,,,
,,2007 - 2008,7,42,6,,,,,,,,,
,,2008 - 2009,7,36,5.14,,,,,,,,,
,,2009 - 2010,10,35,3.5,,,,,,,,,
,,2010 - 2011,15,94,6.27,,,,,,,,,
,,2011 - 2012,17,84,4.94,,,,,,,,,
,,2012 - 2013,16,85,5.31,,,,,,,,,
,,2013 - 2014,2,13,6.5,,,,,,,2,16,8
,,2014 - 2015,,,,5,33,6.6,,,,,,
,,2015 - 2016,,,,2,11,5.5,,,,,,
,,2016 - 2017,,,,,,,,,,5,74,14.8
,,2017 - 2018,,,,4,57,14.25,,,,11,133,12.09
,,2018 - 2019,11,83,7.55,7,93,13.29,,,,7,74,10.57
,,2019 - 2020,22,178,8.09,11,153,13.91,,,,12,139,11.58
,,2020 - 2021,6,36,6,49,612,12.49,,,,20,286,14.3
,,2021 - 2022,52,370,7.12,126,"1,380.00",10.95,,,,14,171,12.21
,,2022 - 2023,25,166,6.64,53,701,13.23,,,,7,152,21.71
,22. Raichur,2000 - 2001,,,,,,,"1,470.00","8,402.00",5.72,,,
,,2001 - 2002,,,,,,,"1,597.00","11,068.00",6.93,,,
,,2002 - 2003,,,,,,,"1,849.00","11,856.00",6.41,,,
,,2003 - 2004,,,,,,,"1,354.00","4,531.00",3.35,,,
,,2004 - 2005,,,,,,,"1,429.00","12,466.00",8.72,,,
,,2005 - 2006,"1,527.00","22,135.00",14.5,45,466,10.36,,,,324,"5,540.00",17.1
,,2006 - 2007,,,,,,,"2,142.00","23,100.00",10.78,,,
,,2007 - 2008,"1,771.00","17,156.00",9.69,20,168,8.4,,,,251,819,3.26
,,2008 - 2009,"1,595.00","16,574.00",10.39,14,93,6.64,,,,221,"2,212.00",10.01
,,2009 - 2010,"1,255.00","8,274.00",6.59,10,59,5.9,,,,291,"2,225.00",7.65
,,2010 - 2011,"1,004.00","11,457.00",11.41,15,103,6.87,,,,251,"2,670.00",10.64
,,2011 - 2012,826,"8,317.00",10.07,390,"3,104.00",7.96,,,,135,831,6.16
,,2012 - 2013,"1,147.00","9,869.00",8.6,124,812,6.55,,,,,,
,,2013 - 2014,837,"6,572.00",7.85,140,984,7.03,,,,44,345,7.84
,,2014 - 2015,"1,173.00","7,150.00",6.1,137,908,6.63,,,,30,147,4.9
,,2015 - 2016,978,"5,779.00",5.91,128,724,5.66,,,,33,143,4.33
,,2016 - 2017,"1,414.00","8,840.00",6.25,212,"3,036.00",14.32,,,,20,294,14.7
,,2017 - 2018,90,"1,080.00",12,,,,,,,10,121,12.1
,,2018 - 2019,"2,374.00","21,272.00",8.96,616,"8,167.00",13.26,,,,25,264,10.56
,,2019 - 2020,"1,486.00","15,509.00",10.44,583,"8,134.00",13.95,,,,155,"1,792.00",11.56
,,2020 - 2021,"2,320.00","17,073.00",7.36,644,"8,049.00",12.5,,,,13,186,14.31
,,2021 - 2022,"3,062.00","20,283.00",6.62,569,"6,216.00",10.92,,,,8,98,12.25
,,2022 - 2023,"1,373.00","14,702.00",10.71,599,"7,933.00",13.24,,,,,,
,23. Ramanagara,2007 - 2008,2,12,6,,,,,,,,,
,,2008 - 2009,23,119,5.17,,,,,,,,,
,,2009 - 2010,20,71,3.55,,,,,,,,,
,,2010 - 2011,5,31,6.2,,,,,,,,,
,,2011 - 2012,30,148,4.93,,,,,,,,,
,,2012 - 2013,10,53,5.3,,,,,,,,,
,,2013 - 2014,5,33,6.6,,,,,,,,,
,,2014 - 2015,7,36,5.14,,,,,,,,,
,,2015 - 2016,13,57,4.38,,,,,,,,,
,,2016 - 2017,16,115,7.19,,,,,,,,,
,,2017 - 2018,20,221,11.05,,,,,,,,,
,,2018 - 2019,1,8,8,,,,,,,,,
,,2019 - 2020,6,48,8,4,56,14,,,,2,23,11.5
,,2020 - 2021,8,49,6.13,6,75,12.5,,,,,,
,,2021 - 2022,7,49,7,3,32,10.67,,,,,,
,,2022 - 2023,3,20,6.67,3,39,13,,,,,,
,24. Shimoga,2000 - 2001,,,,,,,10,51,5.1,,,
,,2001 - 2002,,,,,,,20,86,4.3,,,
,,2002 - 2003,,,,,,,13,44,3.38,,,
,,2003 - 2004,,,,,,,12,43,3.58,,,
,,2004 - 2005,,,,,,,20,126,6.3,,,
,,2005 - 2006,17,95,5.59,,,,,,,,,
,,2006 - 2007,,,,,,,19,106,5.58,,,
,,2007 - 2008,20,119,5.95,,,,,,,,,
,,2008 - 2009,10,52,5.2,1,7,7,,,,6,33,5.5
,,2009 - 2010,1,4,4,,,,,,,,,
,,2015 - 2016,2,9,4.5,,,,,,,,,
,,2016 - 2017,2,14,7,2,29,14.5,,,,,,
,,2017 - 2018,,,,1,14,14,,,,1,12,12
,,2019 - 2020,1,8,8,2,28,14,,,,,,
,,2020 - 2021,,,,2,25,12.5,,,,2,29,14.5
,,2021 - 2022,1,7,7,,,,,,,1,12,12
,25. Tumkur,2000 - 2001,,,,,,,757,"3,998.00",5.28,,,
,,2001 - 2002,,,,,,,529,"2,824.00",5.34,,,
,,2002 - 2003,,,,,,,157,"1,085.00",6.91,,,
,,2003 - 2004,,,,,,,257,"1,125.00",4.38,,,
,,2004 - 2005,,,,,,,201,"1,325.00",6.59,,,
,,2005 - 2006,227,"1,265.00",5.57,4,41,10.25,,,,45,770,17.11
,,2006 - 2007,,,,,,,177,"1,006.00",5.68,,,
,,2007 - 2008,405,"2,414.00",5.96,25,210,8.4,,,,28,237,8.46
,,2008 - 2009,385,"3,088.00",8.02,15,100,6.67,,,,17,93,5.47
,,2009 - 2010,216,"1,576.00",7.3,33,195,5.91,,,,46,351,7.63
,,2010 - 2011,290,"1,811.00",6.24,8,55,6.88,,,,48,511,10.65
,,2011 - 2012,650,"4,166.00",6.41,5,40,8,,,,19,117,6.16
,,2012 - 2013,400,"3,624.00",9.06,,,,,,,5,28,5.6
,,2013 - 2014,457,"3,466.00",7.58,23,162,7.04,,,,116,911,7.85
,,2014 - 2015,625,"2,844.00",4.55,15,99,6.6,,,,15,74,4.93
,,2015 - 2016,"1,039.00","5,790.00",5.57,18,102,5.67,,,,73,316,4.33
,,2016 - 2017,836,"5,212.00",6.23,3,43,14.33,,,,12,177,14.75
,,2017 - 2018,497,"6,459.00",13,7,99,14.14,,,,70,844,12.06
,,2018 - 2019,293,"2,289.00",7.81,29,384,13.24,,,,16,169,10.56
,,2019 - 2020,445,"4,619.00",10.38,279,"3,893.00",13.95,,,,23,266,11.57
,,2020 - 2021,508,"4,952.00",9.75,102,"1,275.00",12.5,,,,28,401,14.32
,,2021 - 2022,919,"7,995.00",8.7,135,"1,477.00",10.94,,,,17,207,12.18
,,2022 - 2023,493,"3,739.00",7.58,39,519,13.31,,,,8,173,21.63
,26. Udupi,2000 - 2001,,,,,,,7,41,5.86,,,
,,2001 - 2002,,,,,,,6,86,14.33,,,
,,2002 - 2003,,,,,,,5,66,13.2,,,
,,2003 - 2004,,,,,,,4,42,10.5,,,
,,2004 - 2005,,,,,,,4,36,9,,,
,,2005 - 2006,,,,2,21,10.5,,,,,,
,,2006 - 2007,,,,,,,1,6,6,,,
,,2021 - 2022,,,,2,21,10.5,,,,,,
,27. Uttar kannad,2000 - 2001,,,,,,,75,441,5.88,,,
,,2001 - 2002,,,,,,,75,"1,081.00",14.41,,,
,,2002 - 2003,,,,,,,74,982,13.27,,,
,,2003 - 2004,,,,,,,75,783,10.44,,,
,,2004 - 2005,,,,,,,77,697,9.05,,,
,,2005 - 2006,,,,72,746,10.36,,,,,,
,,2006 - 2007,,,,,,,74,457,6.18,,,
,,2007 - 2008,,,,71,598,8.42,,,,10,84,8.4
,,2008 - 2009,,,,72,481,6.68,,,,,,
,,2009 - 2010,,,,71,421,5.93,,,,,,
,,2010 - 2011,,,,73,500,6.85,,,,,,
,,2011 - 2012,,,,56,446,7.96,,,,,,
,,2012 - 2013,,,,54,353,6.54,,,,,,
,,2013 - 2014,,,,61,429,7.03,,,,,,
,,2014 - 2015,,,,58,384,6.62,,,,,,
,,2015 - 2016,,,,49,277,5.65,,,,,,
,,2016 - 2017,,,,44,630,14.32,,,,,,
,,2017 - 2018,,,,34,482,14.18,,,,,,
,,2018 - 2019,,,,42,557,13.26,,,,,,
,,2019 - 2020,,,,42,586,13.95,,,,,,
,,2020 - 2021,,,,33,412,12.48,,,,,,
,,2021 - 2022,,,,19,203,10.68,,,,,,
,,2022 - 2023,,,,8,104,13,,,,,,
,28. Vijayanagar,2022 - 2023,"7,802.00","50,376.00",6.46,"3,483.00","29,894.00",8.58,,,,21,102,4.86
,29. Yadgir,2010 - 2011,311,"1,952.00",6.28,285,"1,952.00",6.85,,,,18,192,10.67
,,2011 - 2012,560,"2,764.00",4.94,384,"3,056.00",7.96,,,,15,92,6.13
,,2012 - 2013,264,"1,401.00",5.31,260,"1,702.00",6.55,,,,4,23,5.75
,,2013 - 2014,253,"1,674.00",6.62,791,"5,558.00",7.03,,,,3,24,8
,,2014 - 2015,395,"2,029.00",5.14,329,"2,180.00",6.63,,,,7,34,4.86
,,2015 - 2016,188,821,4.37,194,"1,098.00",5.66,,,,60,259,4.32
,,2016 - 2017,108,360,3.33,105,"1,504.00",14.32,,,,6,88,14.67
,,2017 - 2018,68,989,14.54,67,950,14.18,,,,,,
,,2018 - 2019,313,"2,369.00",7.57,38,504,13.26,,,,11,116,10.55
,,2019 - 2020,96,585,6.09,385,"5,372.00",13.95,,,,193,"2,231.00",11.56
,,2020 - 2021,194,637,3.28,507,"6,337.00",12.5,,,,88,"1,260.00",14.32
,,2021 - 2022,397,"1,419.00",3.57,251,"2,739.00",10.91,,,,149,"1,855.00",12.45
,,2022 - 2023,114,307,2.69,279,"3,700.00",13.26,,,,23,498,21.65
12. Kerala,1. Idukki,2013 - 2014,,,,,,,6,,0,,,
,,2014 - 2015,,,,,,,4,,0,,,
,,2018 - 2019,,,,,,,0.69,,0,,,
,2. Palakkad,2012 - 2013,,,,,,,40,,0,,,
,,2013 - 2014,,,,,,,97,,0,,,
,,2014 - 2015,,,,,,,57,,0,,,
,,2015 - 2016,,,,,,,27,,0,,,
,,2016 - 2017,,,,,,,31,,0,,,
,,2017 - 2018,,,,,,,9,,0,,,
,,2018 - 2019,,,,,,,4.28,,0,,,
,3. Thiruvananthapuram,2018 - 2019,,,,,,,0.09,,0,,,
,4. Wayanad,2018 - 2019,,,,,,,0.15,,0,,,
13. Ladakh,1. Kargil,2022 - 2023,,,,59,830,14.07,,,,,,
,2. Leh ladakh,2020 - 2021,,,,95.5,"1,442.00",15.1,,,,,,
,,2021 - 2022,,,,97,"1,580.00",16.29,,,,,,
,,2022 - 2023,,,,37.3,607.57,16.29,,,,,,
14. Madhya Pradesh,1. Agar malwa,2013 - 2014,,,,,,,"2,015.00","25,913.00",12.86,,,
,,2015 - 2016,,,,,,,"3,970.00","1,23,795.50",31.18,,,
,,2016 - 2017,,,,,,,"4,575.00","1,37,250.00",30,,,
,,2017 - 2018,,,,,,,"3,500.00","1,06,750.00",30.5,,,
,,2018 - 2019,,,,,,,"3,600.00","1,09,800.00",30.5,,,
,,2019 - 2020,,,,,,,"4,051.10","1,23,558.55",30.5,,,
,2. Alirajpur,2008 - 2009,,,,,,,84,832,9.9,,,
,,2009 - 2010,,,,,,,92,974,10.59,,,
,,2010 - 2011,,,,,,,109,"1,360.00",12.48,,,
,,2011 - 2012,,,,,,,126,"1,566.00",12.43,,,
,,2012 - 2013,,,,,,,185,"2,540.00",13.73,,,
,,2013 - 2014,,,,,,,194,"1,597.00",8.23,,,
,,2015 - 2016,,,,,,,481,"12,025.00",25,,,
,,2016 - 2017,,,,,,,61,"1,525.00",25,,,
,,2017 - 2018,,,,,,,112,"2,810.08",25.09,,,
,,2018 - 2019,,,,,,,120,"3,012.00",25.1,,,
,,2019 - 2020,,,,,,,132,"3,315.84",25.12,,,
,3. Anuppur,2003 - 2004,,,,,,,76,689,9.07,,,
,,2004 - 2005,,,,,,,56,703,12.55,,,
,,2005 - 2006,,,,,,,80,847,10.59,,,
,,2006 - 2007,,,,,,,84,539,6.42,,,
,,2007 - 2008,,,,,,,89,811,9.11,,,
,,2008 - 2009,,,,,,,97,876,9.03,,,
,,2009 - 2010,,,,,,,97,860,8.87,,,
,,2010 - 2011,,,,,,,106,"1,059.00",9.99,,,
,,2011 - 2012,,,,,,,113,"1,032.00",9.13,,,
,,2012 - 2013,,,,,,,157,"1,949.00",12.41,,,
,,2013 - 2014,,,,,,,167,"1,746.00",10.46,,,
,,2015 - 2016,,,,,,,765,"12,240.00",16,,,
,,2016 - 2017,,,,,,,827,"17,118.90",20.7,,,
,,2017 - 2018,,,,,,,877.8,"19,136.04",21.8,,,
,,2018 - 2019,,,,,,,932,"21,436.00",23,,,
,,2019 - 2020,,,,,,,"1,453.43","34,129.02",23.48,,,
,4. Ashoknagar,2003 - 2004,,,,,,,49,554,11.31,,,
,,2004 - 2005,,,,,,,75,"1,018.00",13.57,,,
,,2005 - 2006,,,,,,,104,"1,513.00",14.55,,,
,,2006 - 2007,,,,,,,108,"1,559.00",14.44,,,
,,2007 - 2008,,,,,,,107,"1,145.00",10.7,,,
,,2008 - 2009,,,,,,,55,716,13.02,,,
,,2009 - 2010,,,,,,,81,"1,018.00",12.57,,,
,,2010 - 2011,,,,,,,115,"2,386.00",20.75,,,
,,2011 - 2012,,,,,,,110,"1,988.00",18.07,,,
,,2012 - 2013,,,,,,,130,"2,333.00",17.95,,,
,,2013 - 2014,,,,,,,137,"2,638.00",19.26,,,
,,2015 - 2016,,,,,,,"1,350.00","29,700.00",22,,,
,,2016 - 2017,,,,,,,"1,352.00","29,744.00",22,,,
,,2017 - 2018,,,,,,,"1,352.00","29,744.00",22,,,
,,2018 - 2019,,,,,,,"1,352.00","29,755.00",22.01,,,
,,2019 - 2020,,,,,,,"1,352.00","29,755.00",22.01,,,
,5. Balaghat,2000 - 2001,,,,,,,187,"4,071.00",21.77,,,
,,2001 - 2002,,,,,,,262,"5,710.00",21.79,,,
,,2002 - 2003,,,,,,,205,"4,291.00",20.93,,,
,,2003 - 2004,,,,,,,219,"4,291.00",19.59,,,
,,2004 - 2005,,,,,,,174,"3,969.00",22.81,,,
,,2005 - 2006,,,,,,,192,"4,352.00",22.67,,,
,,2006 - 2007,,,,,,,202,"4,607.00",22.81,,,
,,2007 - 2008,,,,,,,226,"4,460.00",19.73,,,
,,2008 - 2009,,,,,,,217,"4,346.00",20.03,,,
,,2009 - 2010,,,,,,,217,"4,502.00",20.75,,,
,,2010 - 2011,,,,,,,234,"5,622.00",24.03,,,
,,2011 - 2012,,,,,,,216,"5,941.00",27.5,,,
,,2012 - 2013,,,,,,,211,"5,762.00",27.31,,,
,,2013 - 2014,,,,,,,196,"4,924.00",25.12,,,
,,2015 - 2016,,,,,,,427,"6,365.00",14.91,,,
,,2016 - 2017,,,,,,,442,"10,166.00",23,,,
,,2017 - 2018,,,,,,,446,"9,624.00",21.58,,,
,,2018 - 2019,,,,,,,447,"9,667.00",21.63,,,
,,2019 - 2020,,,,,,,451,"9,757.00",21.63,,,
,6. Barwani,2000 - 2001,,,,,,,544,"4,332.00",7.96,,,
,,2001 - 2002,,,,,,,627,"5,275.00",8.41,,,
,,2002 - 2003,,,,,,,931,"8,183.00",8.79,,,
,,2003 - 2004,,,,,,,"1,021.00","7,450.00",7.3,,,
,,2004 - 2005,,,,,,,943,"8,013.00",8.5,,,
,,2005 - 2006,,,,,,,861,"5,682.00",6.6,,,
,,2006 - 2007,,,,,,,977,"7,587.00",7.77,,,
,,2007 - 2008,,,,,,,"1,177.00","8,544.00",7.26,,,
,,2008 - 2009,,,,,,,"1,057.00","6,277.00",5.94,,,
,,2009 - 2010,,,,,,,"1,198.00","9,010.00",7.52,,,
,,2010 - 2011,,,,,,,"1,347.00","7,961.00",5.91,,,
,,2011 - 2012,,,,,,,"1,323.00","11,246.00",8.5,,,
,,2012 - 2013,,,,,,,"1,116.00","11,706.00",10.49,,,
,,2013 - 2014,,,,,,,"1,523.00","19,076.00",12.53,,,
,,2015 - 2016,,,,,,,"3,288.00","80,298.00",24.42,,,
,,2016 - 2017,,,,,,,"2,347.00","58,675.00",25,,,
,,2017 - 2018,,,,,,,"3,259.00","81,475.00",25,,,
,,2018 - 2019,,,,,,,"3,781.00","94,525.00",25,,,
,,2019 - 2020,,,,,,,"3,806.00","95,150.00",25,,,
,7. Betul,2000 - 2001,,,,,,,147,"2,798.00",19.03,,,
,,2001 - 2002,,,,,,,280,"5,333.00",19.05,,,
,,2002 - 2003,,,,,,,308,"5,636.00",18.3,,,
,,2003 - 2004,,,,,,,322,"5,432.00",16.87,,,
,,2004 - 2005,,,,,,,313,"6,151.00",19.65,,,
,,2005 - 2006,,,,,,,402,"7,759.00",19.3,,,
,,2006 - 2007,,,,,,,387,"7,514.00",19.42,,,
,,2007 - 2008,,,,,,,388,"6,134.00",15.81,,,
,,2008 - 2009,,,,,,,373,"5,704.00",15.29,,,
,,2009 - 2010,,,,,,,554,"9,067.00",16.37,,,
,,2010 - 2011,,,,,,,755,"13,907.00",18.42,,,
,,2011 - 2012,,,,,,,487,"10,311.00",21.17,,,
,,2012 - 2013,,,,,,,513,"15,037.00",29.31,,,
,,2013 - 2014,,,,,,,523,"14,050.00",26.86,,,
,,2015 - 2016,,,,,,,654,"10,987.00",16.8,,,
,,2016 - 2017,,,,,,,813,"20,123.00",24.75,,,
,,2017 - 2018,,,,,,,"1,049.00","26,225.00",25,,,
,,2018 - 2019,,,,,,,"1,008.00","25,200.00",25,,,
,,2019 - 2020,,,,,,,"1,015.00","25,375.00",25,,,
,8. Bhind,2000 - 2001,,,,,,,162,"1,589.00",9.81,,,
,,2001 - 2002,,,,,,,201,"1,973.00",9.82,,,
,,2002 - 2003,,,,,,,176,"1,659.00",9.43,,,
,,2003 - 2004,,,,,,,164,"1,279.00",7.8,,,
,,2004 - 2005,,,,,,,165,"1,695.00",10.27,,,
,,2005 - 2006,,,,,,,193,"1,736.00",8.99,,,
,,2006 - 2007,,,,,,,53,465,8.77,,,
,,2007 - 2008,,,,,,,62,352,5.68,,,
,,2008 - 2009,,,,,,,63,363,5.76,,,
,,2009 - 2010,,,,,,,62,494,7.97,,,
,,2010 - 2011,,,,,,,118,824,6.98,,,
,,2011 - 2012,,,,,,,127,677,5.33,,,
,,2012 - 2013,,,,,,,119,"1,065.00",8.95,,,
,,2013 - 2014,,,,,,,29,205,7.07,,,
,,2015 - 2016,,,,,,,639,"11,808.00",18.48,,,
,,2016 - 2017,,,,,,,645,"12,909.00",20.01,,,
,,2017 - 2018,,,,,,,715,"14,307.00",20.01,,,
,,2018 - 2019,,,,,,,766,"15,215.00",19.86,,,
,,2019 - 2020,,,,,,,768,"15,255.00",19.86,,,
,9. Bhopal,2000 - 2001,,,,,,,564,"6,677.00",11.84,,,
,,2001 - 2002,,,,,,,638,"6,407.00",10.04,,,
,,2002 - 2003,,,,,,,615,"5,932.00",9.65,,,
,,2003 - 2004,,,,,,,748,"8,103.00",10.83,,,
,,2004 - 2005,,,,,,,832,"11,195.00",13.46,,,
,,2005 - 2006,,,,,,,852,"10,042.00",11.79,,,
,,2006 - 2007,,,,,,,"1,036.00","13,434.00",12.97,,,
,,2007 - 2008,,,,,,,941,"9,048.00",9.62,,,
,,2008 - 2009,,,,,,,829,"8,898.00",10.73,,,
,,2009 - 2010,,,,,,,805,"9,499.00",11.8,,,
,,2010 - 2011,,,,,,,644,"3,397.00",5.27,,,
,,2011 - 2012,,,,,,,691,"15,643.00",22.64,,,
,,2012 - 2013,,,,,,,733,"22,922.00",31.27,,,
,,2013 - 2014,,,,,,,696,"10,216.00",14.68,,,
,,2015 - 2016,,,,,,,"1,652.00","41,539.00",25.14,,,
,,2016 - 2017,,,,,,,"2,152.50","54,308.00",25.23,,,
,,2017 - 2018,,,,,,,"2,581.00","68,329.00",26.47,,,
,,2018 - 2019,,,,,,,"1,601.00","42,341.00",26.45,,,
,,2019 - 2020,,,,,,,"1,690.00","44,465.00",26.31,,,
,10. Burhanpur,2003 - 2004,,,,,,,208,"6,754.00",32.47,,,
,,2004 - 2005,,,,,,,229,"7,969.00",34.8,,,
,,2005 - 2006,,,,,,,357,"12,442.00",34.85,,,
,,2006 - 2007,,,,,,,400,"12,271.00",30.68,,,
,,2007 - 2008,,,,,,,411,"12,467.00",30.33,,,
,,2008 - 2009,,,,,,,417,"12,839.00",30.79,,,
,,2009 - 2010,,,,,,,421,"13,432.00",31.9,,,
,,2010 - 2011,,,,,,,485,"14,944.00",30.81,,,
,,2011 - 2012,,,,,,,363,"15,336.00",42.25,,,
,,2012 - 2013,,,,,,,386,"21,029.00",54.48,,,
,,2013 - 2014,,,,,,,587,"25,822.00",43.99,,,
,,2015 - 2016,,,,,,,688,"13,760.00",20,,,
,,2016 - 2017,,,,,,,710,"14,200.00",20,,,
,,2017 - 2018,,,,,,,714,"14,280.00",20,,,
,,2018 - 2019,,,,,,,716,"14,320.00",20,,,
,,2019 - 2020,,,,,,,726,"14,520.00",20,,,
,11. Chhatarpur,2000 - 2001,,,,,,,637,"5,838.00",9.16,,,
,,2001 - 2002,,,,,,,670,"6,358.00",9.49,,,
,,2002 - 2003,,,,,,,726,"6,619.00",9.12,,,
,,2003 - 2004,,,,,,,769,"6,561.00",8.53,,,
,,2004 - 2005,,,,,,,812,"8,068.00",9.94,,,
,,2005 - 2006,,,,,,,888,"7,121.00",8.02,,,
,,2006 - 2007,,,,,,,614,"4,196.00",6.83,,,
,,2007 - 2008,,,,,,,317,"1,911.00",6.03,,,
,,2008 - 2009,,,,,,,736,"4,327.00",5.88,,,
,,2009 - 2010,,,,,,,707,"4,309.00",6.09,,,
,,2010 - 2011,,,,,,,798,"4,335.00",5.43,,,
,,2011 - 2012,,,,,,,876,"4,986.00",5.69,,,
,,2012 - 2013,,,,,,,909,"6,164.00",6.78,,,
,,2013 - 2014,,,,,,,"1,047.00","5,979.00",5.71,,,
,,2015 - 2016,,,,,,,884,"27,140.00",30.7,,,
,,2016 - 2017,,,,,,,"1,127.00","36,130.00",32.06,,,
,,2017 - 2018,,,,,,,303.4,9.46,0.03,,,
,,2018 - 2019,,,,,,,504,225,0.45,,,
,,2019 - 2020,,,,,,,"1,201.00","9,069.00",7.55,,,
,12. Chhindwara,2000 - 2001,,,,,,,812,"20,214.00",24.89,,,
,,2001 - 2002,,,,,,,736,"15,895.00",21.6,,,
,,2002 - 2003,,,,,,,840,"16,755.00",19.95,,,
,,2003 - 2004,,,,,,,845,"18,927.00",22.4,,,
,,2004 - 2005,,,,,,,843,"21,992.00",26.09,,,
,,2005 - 2006,,,,,,,990,"24,085.00",24.33,,,
,,2006 - 2007,,,,,,,"1,039.00","25,426.00",24.47,,,
,,2007 - 2008,,,,,,,"1,112.00","24,550.00",22.08,,,
,,2008 - 2009,,,,,,,"1,222.00","27,380.00",22.41,,,
,,2009 - 2010,,,,,,,"1,388.00","32,229.00",23.22,,,
,,2010 - 2011,,,,,,,"2,084.00","58,979.00",28.3,,,
,,2011 - 2012,,,,,,,"2,133.00","67,084.00",31.45,,,
,,2012 - 2013,,,,,,,"2,310.00","69,358.00",30.03,,,
,,2013 - 2014,,,,,,,"2,219.00","59,956.00",27.02,,,
,,2015 - 2016,,,,,,,"3,234.00","80,850.00",25,,,
,,2016 - 2017,,,,,,,"3,302.00","82,550.00",25,,,
,,2017 - 2018,,,,,,,"3,590.00","89,750.00",25,,,
,,2018 - 2019,,,,,,,"3,005.00","75,125.00",25,,,
,,2019 - 2020,,,,,,,"3,005.00","75,125.00",25,,,
,13. Damoh,2000 - 2001,,,,,,,489,"7,231.00",14.79,,,
,,2001 - 2002,,,,,,,500,"10,618.00",21.24,,,
,,2002 - 2003,,,,,,,496,"10,118.00",20.4,,,
,,2003 - 2004,,,,,,,505,"10,080.00",19.96,,,
,,2004 - 2005,,,,,,,533,"12,389.00",23.24,,,
,,2005 - 2006,,,,,,,644,"13,067.00",20.29,,,
,,2006 - 2007,,,,,,,725,"12,552.00",17.31,,,
,,2007 - 2008,,,,,,,720,"12,345.00",17.15,,,
,,2008 - 2009,,,,,,,678,"14,088.00",20.78,,,
,,2009 - 2010,,,,,,,791,"17,671.00",22.34,,,
,,2010 - 2011,,,,,,,"1,043.00","13,224.00",12.68,,,
,,2011 - 2012,,,,,,,947,"25,658.00",27.09,,,
,,2012 - 2013,,,,,,,"1,191.00","32,040.00",26.9,,,
,,2013 - 2014,,,,,,,916,"19,572.00",21.37,,,
,,2015 - 2016,,,,,,,"3,087.00","61,431.00",19.9,,,
,,2016 - 2017,,,,,,,"3,120.00","62,400.00",20,,,
,,2017 - 2018,,,,,,,"3,635.00","72,700.00",20,,,
,,2018 - 2019,,,,,,,"3,650.00","73,000.00",20,,,
,,2019 - 2020,,,,,,,"3,810.00","76,200.00",20,,,
,14. Datia,2000 - 2001,,,,,,,55,563,10.24,,,
,,2001 - 2002,,,,,,,80,856,10.7,,,
,,2002 - 2003,,,,,,,84,536,6.38,,,
,,2003 - 2004,,,,,,,56,505,9.02,,,
,,2004 - 2005,,,,,,,83,800,9.64,,,
,,2005 - 2006,,,,,,,116,"1,065.00",9.18,,,
,,2006 - 2007,,,,,,,33,266,8.06,,,
,,2007 - 2008,,,,,,,60,610,10.17,,,
,,2008 - 2009,,,,,,,42,279,6.64,,,
,,2009 - 2010,,,,,,,56,386,6.89,,,
,,2010 - 2011,,,,,,,121,802,6.63,,,
,,2011 - 2012,,,,,,,132,"1,216.00",9.21,,,
,,2012 - 2013,,,,,,,112,"1,338.00",11.95,,,
,,2013 - 2014,,,,,,,162,"1,225.00",7.56,,,
,,2015 - 2016,,,,,,,600,"15,000.00",25,,,
,,2016 - 2017,,,,,,,605,"15,125.00",25,,,
,,2017 - 2018,,,,,,,660,"16,500.00",25,,,
,,2018 - 2019,,,,,,,665,"16,625.00",25,,,
,,2019 - 2020,,,,,,,666,"16,650.00",25,,,
,15. Dewas,2000 - 2001,,,,,,,742,"7,148.00",9.63,,,
,,2001 - 2002,,,,,,,868,"10,545.00",12.15,,,
,,2002 - 2003,,,,,,,"1,018.00","11,691.00",11.48,,,
,,2003 - 2004,,,,,,,"1,621.00","19,949.00",12.31,,,
,,2004 - 2005,,,,,,,"2,172.00","26,308.00",12.11,,,
,,2005 - 2006,,,,,,,"1,860.00","19,947.00",10.72,,,
