State,District,Year,Onion,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,,,,,,,534,"4,560.00",8.54,,,
,,2007 - 2008,,,,,,,673,"4,772.00",7.09,,,
,,2008 - 2009,,,,,,,622,"4,976.00",8,,,
,,2016 - 2017,,,,718,"10,346.00",14.41,,,,,,
,,2017 - 2018,,,,558,"9,161.00",16.42,,,,,,
,,2018 - 2019,,,,254,"4,284.00",16.87,,,,,,
,,2019 - 2020,,,,216,"1,984.00",9.19,,,,,,
,,2020 - 2021,,,,157,"2,312.00",14.73,,,,,,
,,2021 - 2022,,,,198,"2,568.00",12.97,,,,,,
,,2022 - 2023,,,,177,"3,110.00",17.57,,,,,,
,8. Buxar,2000 - 2001,,,,,,,174,"2,102.00",12.08,,,
,,2001 - 2002,,,,,,,234,"2,476.00",10.58,,,
,,2002 - 2003,,,,,,,134,"1,292.00",9.64,,,
,,2003 - 2004,,,,,,,124,"1,586.00",12.79,,,
,,2004 - 2005,,,,,,,203,"1,918.00",9.45,,,
,,2005 - 2006,,,,,,,871,"7,438.00",8.54,,,
,,2007 - 2008,,,,,,,"1,071.00","10,678.00",9.97,,,
,,2008 - 2009,,,,,,,844,"7,216.00",8.55,,,
,,2016 - 2017,,,,565,"6,814.00",12.06,,,,,,
,,2017 - 2018,,,,513,"13,404.00",26.13,,,,,,
,,2018 - 2019,,,,436,"6,604.00",15.15,,,,,,
,,2019 - 2020,,,,469,"6,255.00",13.34,,,,,,
,,2020 - 2021,,,,430,"5,307.00",12.34,,,,,,
,,2021 - 2022,,,,376,"3,634.00",9.66,,,,,,
,,2022 - 2023,,,,322,"3,863.00",12,,,,,,
,9. Darbhanga,2000 - 2001,,,,,,,262,"4,496.00",17.16,,,
,,2001 - 2002,,,,,,,274,"1,652.00",6.03,,,
,,2002 - 2003,,,,,,,180,"1,816.00",10.09,,,
,,2003 - 2004,,,,,,,283,"2,638.00",9.32,,,
,,2004 - 2005,,,,,,,182,"1,434.00",7.88,,,
,,2005 - 2006,,,,,,,160,"1,147.00",7.17,,,
,,2007 - 2008,,,,,,,138,"1,072.00",7.77,,,
,,2008 - 2009,,,,,,,67,573,8.55,,,
,,2016 - 2017,,,,79,498,6.3,,,,,,
,,2017 - 2018,,,,78,"1,560.00",20,,,,,,
,,2018 - 2019,,,,75,515,6.87,,,,,,
,,2019 - 2020,,,,68,"1,905.00",28.01,,,,,,
,,2020 - 2021,,,,79,"2,719.00",34.42,,,,,,
,,2021 - 2022,,,,71,"1,278.00",18,,,,,,
,,2022 - 2023,,,,69,601,8.71,,,,,,
,10. Gaya,2000 - 2001,,,,,,,694,"4,074.00",5.87,,,
,,2001 - 2002,,,,,,,661,"7,416.00",11.22,,,
