State,District,Year,Niger seed,,,,,,,,,,,
,,2011 - 2012,,,,139,84,0.6,,,,,,
,,2012 - 2013,,,,139,84,0.6,,,,,,
,,2015 - 2016,,,,133,79,0.59,,,,,,
,,2016 - 2017,20,8,0.4,10,3,0.3,,,,,,
,,2017 - 2018,,,,129,88,0.68,,,,,,
,,2018 - 2019,20,8,0.4,10,3,0.3,,,,,,
,,2019 - 2020,20,8,0.4,10,3,0.3,,,,,,
5. Jharkhand,1. Bokaro,2017 - 2018,,,,400,208,0.52,,,,,,
,,2018 - 2019,,,,400,208,0.52,,,,,,
,,2020 - 2021,,,,40,21,0.53,,,,,,
,,2021 - 2022,,,,132,56,0.42,,,,,,
,2. Chatra,2017 - 2018,,,,172,101,0.59,,,,,,
,,2018 - 2019,,,,127,75,0.59,,,,,,
,,2019 - 2020,,,,85,52,0.61,,,,,,
,,2020 - 2021,,,,80,50,0.63,,,,,,
,,2021 - 2022,,,,144,89,0.62,,,,,,
,3. Deoghar,2017 - 2018,,,,108,54,0.5,,,,,,
,4. Dumka,2017 - 2018,,,,54,32,0.59,,,,,,
,,2018 - 2019,,,,100,60,0.6,,,,,,
,,2020 - 2021,,,,109,49,0.45,,,,,,
,5. East singhbum,2017 - 2018,,,,786,507,0.65,,,,,,
,,2018 - 2019,,,,443,257,0.58,,,,,,
,,2019 - 2020,,,,250,145,0.58,,,,,,
,,2020 - 2021,,,,47,27,0.57,,,,,,
,,2021 - 2022,,,,32,19,0.59,,,,,,
,6. Garhwa,2018 - 2019,,,,140,73,0.52,,,,,,
,7. Giridih,2017 - 2018,,,,5,2,0.4,,,,,,
,,2018 - 2019,,,,63,26,0.41,,,,,,
,,2019 - 2020,,,,40,17,0.43,,,,,,
,,2020 - 2021,,,,69,30,0.43,,,,,,
,,2021 - 2022,,,,61,27,0.44,,,,,,
,,2022 - 2023,,,,46,20,0.43,,,,,,
,8. Godda,2018 - 2019,,,,67,40,0.6,,,,,,
,9. Gumla,2017 - 2018,,,,"1,060.00",581,0.55,,,,,,
,,2018 - 2019,,,,"1,035.00",511,0.49,,,,,,
,,2019 - 2020,,,,"1,354.00",669,0.49,,,,,,
,,2020 - 2021,,,,"1,458.00",720,0.49,,,,,,
,,2021 - 2022,,,,657,71,0.11,,,,,,
,,2022 - 2023,,,,610,64,0.1,,,,,,
,10. Hazaribagh,2017 - 2018,,,,36,18,0.5,,,,,,
,,2019 - 2020,,,,98,49,0.5,,,,,,
,,2020 - 2021,,,,245,123,0.5,,,,,,
,,2021 - 2022,,,,116,52,0.45,,,,,,
,,2022 - 2023,,,,12,5,0.42,,,,,,
,11. Khunti,2018 - 2019,,,,250,87,0.35,,,,,,
,,2020 - 2021,,,,266,120,0.45,,,,,,
,,2021 - 2022,,,,148,67,0.45,,,,,,
,,2022 - 2023,,,,171,77,0.45,,,,,,
,12. Koderma,2018 - 2019,,,,80,30,0.38,,,,,,
,,2019 - 2020,,,,86,34,0.4,,,,,,
,,2020 - 2021,,,,86,34,0.4,,,,,,
,13. Latehar,2017 - 2018,,,,85,36,0.42,,,,,,
,14. Lohardaga,2017 - 2018,,,,415,125,0.3,,,,,,
,,2018 - 2019,,,,300,90,0.3,,,,,,
,,2019 - 2020,,,,464,139,0.3,,,,,,
,,2020 - 2021,,,,410,123,0.3,,,,,,
,,2021 - 2022,,,,215,65,0.3,,,,,,
,,2022 - 2023,,,,195,59,0.3,,,,,,
,15. Pakur,2017 - 2018,,,,47,11,0.23,,,,,,
,,2018 - 2019,,,,29,12,0.41,,,,,,
,,2019 - 2020,,,,3,1,0.33,,,,,,
,,2021 - 2022,,,,103,41,0.4,,,,,,
,16. Palamu,2017 - 2018,,,,10,6,0.6,,,,,,
,,2018 - 2019,,,,40,17,0.43,,,,,,
,,2019 - 2020,,,,16,8,0.5,,,,,,
,,2020 - 2021,,,,97,45,0.46,,,,,,
,,2021 - 2022,,,,1,1,1,,,,,,
,17. Ramgarh,2017 - 2018,,,,134,67,0.5,,,,,,
,,2019 - 2020,,,,67,34,0.51,,,,,,
,,2020 - 2021,,,,237,119,0.5,,,,,,
,,2021 - 2022,,,,116,58,0.5,,,,,,
,,2022 - 2023,,,,11,6,0.55,,,,,,
,18. Ranchi,2017 - 2018,,,,149,67,0.45,,,,,,
,,2018 - 2019,,,,234,94,0.4,,,,,,
,19. Saraikela kharsawan,2017 - 2018,,,,436,218,0.5,,,,,,
,,2018 - 2019,,,,380,247,0.65,,,,,,
,,2019 - 2020,,,,213,138,0.65,,,,,,
,,2020 - 2021,,,,22,14,0.64,,,,,,
,,2021 - 2022,,,,153,99,0.65,,,,,,
,20. Simdega,2017 - 2018,,,,500,500,1,,,,,,
,,2018 - 2019,,,,520,520,1,,,,,,
,,2020 - 2021,,,,502,351,0.7,,,,,,
,,2021 - 2022,,,,472,283,0.6,,,,,,
,,2022 - 2023,,,,289,173,0.6,,,,,,
,21. West singhbhum,2017 - 2018,,,,546,257,0.47,,,,,,
,,2018 - 2019,,,,535,254,0.47,,,,,,
,,2019 - 2020,,,,441,210,0.48,,,,,,
,,2020 - 2021,,,,256,120,0.47,,,,,,
,,2021 - 2022,,,,99,47,0.47,,,,,,
,,2022 - 2023,,,,554,266,0.48,,,,,,
6. Karnataka,1. Bagalkot,2000 - 2001,,,,435,66,0.15,,,,,,
,,2001 - 2002,,,,164,25,0.15,,,,,,
,,2002 - 2003,,,,122,18,0.15,,,,,,
,,2003 - 2004,,,,153,23,0.15,,,,,,
,,2004 - 2005,,,,226,34,0.15,,,,,,
,,2005 - 2006,,,,184,28,0.15,,,,,,
,,2006 - 2007,,,,257,39,0.15,,,,,,
,,2007 - 2008,,,,201,76,0.38,,,,,,
,,2008 - 2009,,,,101,35,0.35,,,,,,
,,2009 - 2010,,,,166,58,0.35,,,,,,
,,2010 - 2011,,,,77,23,0.3,,,,,,
,,2011 - 2012,,,,178,48,0.27,,,,,,
,,2012 - 2013,,,,6,1,0.17,,,,,,
,,2013 - 2014,,,,106,23,0.22,,,,,,
,,2014 - 2015,,,,74,20,0.27,,,,,,
,,2017 - 2018,,,,40,9,0.23,,,,,,
,,2018 - 2019,,,,4,1,0.25,,,,,,
,,2019 - 2020,,,,12,3,0.25,,,,,,
,,2020 - 2021,,,,34,8,0.24,,,,,,
,,2021 - 2022,,,,22,5,0.23,,,,,,
,,2022 - 2023,,,,2,0.39,0.2,,,,,,
,2. Bangalore rural,2000 - 2001,,,,"2,948.00",727,0.25,,,,,,
,,2001 - 2002,,,,"2,600.00",641,0.25,,,,,,
,,2002 - 2003,,,,"1,493.00",368,0.25,,,,,,
,,2003 - 2004,,,,"1,628.00",401,0.25,,,,,,
,,2004 - 2005,,,,"1,640.00",404,0.25,,,,,,
,,2005 - 2006,,,,"2,157.00",532,0.25,,,,,,
,,2006 - 2007,,,,"1,375.00",339,0.25,,,,,,
,,2007 - 2008,,,,727,275,0.38,,,,,,
,,2008 - 2009,,,,641,220,0.34,,,,,,
,,2009 - 2010,,,,"2,626.00",920,0.35,,,,,,
,,2010 - 2011,,,,559,168,0.3,,,,,,
,,2011 - 2012,,,,449,122,0.27,,,,,,
,,2012 - 2013,,,,316,76,0.24,,,,,,
,,2013 - 2014,,,,404,88,0.22,,,,,,
,,2014 - 2015,,,,208,55,0.26,,,,,,
,,2015 - 2016,,,,116,30,0.26,,,,,,
,,2016 - 2017,,,,91,17,0.19,,,,,,
,,2017 - 2018,,,,101,22,0.22,,,,,,
,,2018 - 2019,,,,7,1,0.14,,,,,,
,,2019 - 2020,,,,14,3,0.21,,,,,,
,,2020 - 2021,,,,3,1,0.33,,,,,,
,,2021 - 2022,,,,7,2,0.29,,,,,,
,3. Belgaum,2000 - 2001,,,,482,111,0.23,,,,,,
,,2001 - 2002,,,,456,105,0.23,,,,,,
,,2002 - 2003,,,,"1,060.00",243,0.23,,,,,,
,,2003 - 2004,,,,512,118,0.23,,,,,,
,,2004 - 2005,,,,755,173,0.23,,,,,,
,,2005 - 2006,,,,"1,089.00",250,0.23,,,,,,
,,2006 - 2007,,,,909,209,0.23,,,,,,
,,2007 - 2008,,,,515,194,0.38,,,,,,
,,2008 - 2009,,,,349,120,0.34,,,,,,
,,2009 - 2010,,,,539,189,0.35,,,,,,
,,2010 - 2011,,,,491,148,0.3,,,,,,
,,2011 - 2012,,,,446,121,0.27,,,,,,
,,2012 - 2013,,,,304,73,0.24,,,,,,
,,2013 - 2014,,,,896,196,0.22,,,,,,
,,2014 - 2015,,,,238,71,0.3,,,,,,
,,2015 - 2016,,,,210,65,0.31,,,,,,
,,2016 - 2017,,,,209,39,0.19,,,,,,
,,2017 - 2018,,,,72,16,0.22,,,,,,
,,2018 - 2019,,,,32,6,0.19,,,,,,
,,2019 - 2020,,,,12,3,0.25,,,,,,
,,2020 - 2021,,,,78,19,0.24,,,,,,
,,2021 - 2022,,,,50,12,0.24,,,,,,
,,2022 - 2023,,,,12,3,0.25,,,,,,
,4. Bellary,2000 - 2001,,,,"1,719.00",444,0.26,,,,,,
,,2001 - 2002,,,,"1,312.00",339,0.26,,,,,,
,,2002 - 2003,,,,754,195,0.26,,,,,,
,,2003 - 2004,,,,791,204,0.26,,,,,,
,,2004 - 2005,,,,831,215,0.26,,,,,,
,,2005 - 2006,,,,714,184,0.26,,,,,,
,,2006 - 2007,,,,663,171,0.26,,,,,,
,,2007 - 2008,,,,554,208,0.38,,,,,,
,,2008 - 2009,,,,604,221,0.37,,,,,,
,,2009 - 2010,,,,442,158,0.36,,,,,,
,,2010 - 2011,,,,838,143,0.17,,,,,,
,,2011 - 2012,,,,256,70,0.27,,,,,,
,,2012 - 2013,,,,466,112,0.24,,,,,,
,,2013 - 2014,,,,281,30,0.11,,,,,,
,,2014 - 2015,,,,124,33,0.27,,,,,,
,,2015 - 2016,,,,129,33,0.26,,,,,,
,,2016 - 2017,,,,55,10,0.18,,,,,,
,,2017 - 2018,,,,40,9,0.23,,,,,,
,,2018 - 2019,,,,16,3,0.19,,,,,,
,,2019 - 2020,,,,61,15,0.25,,,,,,
,,2020 - 2021,,,,72,18,0.25,,,,,,
,,2021 - 2022,,,,72,16,0.22,,,,,,
,,2022 - 2023,,,,19,4,0.21,,,,,,
,5. Bengaluru urban,2000 - 2001,,,,910,224,0.25,,,,,,
,,2001 - 2002,,,,635,157,0.25,,,,,,
,,2002 - 2003,,,,360,89,0.25,,,,,,
,,2003 - 2004,,,,646,159,0.25,,,,,,
,,2004 - 2005,,,,655,161,0.25,,,,,,
,,2005 - 2006,,,,460,113,0.25,,,,,,
,,2006 - 2007,,,,380,94,0.25,,,,,,
,,2007 - 2008,,,,573,216,0.38,,,,,,
,,2008 - 2009,,,,464,159,0.34,,,,,,
,,2009 - 2010,,,,425,149,0.35,,,,,,
,,2010 - 2011,,,,417,126,0.3,,,,,,
,,2011 - 2012,,,,364,99,0.27,,,,,,
,,2012 - 2013,,,,134,32,0.24,,,,,,
,,2013 - 2014,,,,161,35,0.22,,,,,,
,,2014 - 2015,,,,88,23,0.26,,,,,,
,,2015 - 2016,,,,96,25,0.26,,,,,,
,,2016 - 2017,,,,77,14,0.18,,,,,,
,,2017 - 2018,,,,26,6,0.23,,,,,,
,,2018 - 2019,,,,10,2,0.2,,,,,,
,,2019 - 2020,,,,22,5,0.23,,,,,,
,,2020 - 2021,,,,6,1,0.17,,,,,,
,,2021 - 2022,,,,22,5,0.23,,,,,,
,,2022 - 2023,,,,27,7,0.26,,,,,,
,6. Bidar,2000 - 2001,,,,"6,730.00",766,0.11,,,,,,
,,2001 - 2002,,,,"5,805.00",661,0.11,,,,,,
,,2002 - 2003,,,,"6,024.00",686,0.11,,,,,,
,,2003 - 2004,,,,"6,281.00",715,0.11,,,,,,
,,2004 - 2005,,,,"6,120.00",697,0.11,,,,,,
,,2005 - 2006,,,,"5,785.00",659,0.11,,,,,,
,,2006 - 2007,,,,"4,963.00",565,0.11,,,,,,
,,2007 - 2008,,,,"4,494.00","1,691.00",0.38,,,,,,
,,2008 - 2009,,,,"4,039.00",976,0.24,,,,,,
,,2009 - 2010,,,,"3,296.00",904,0.27,,,,,,
,,2010 - 2011,,,,"2,883.00",642,0.22,,,,,,
,,2011 - 2012,,,,"2,698.00",644,0.24,,,,,,
,,2012 - 2013,,,,"2,003.00",478,0.24,,,,,,
,,2013 - 2014,,,,"1,179.00",281,0.24,,,,,,
,,2014 - 2015,,,,"1,120.00",357,0.32,,,,,,
,,2015 - 2016,,,,277,96,0.35,,,,,,
,,2016 - 2017,,,,700,155,0.22,,,,,,
,,2017 - 2018,,,,424,102,0.24,,,,,,
,,2018 - 2019,,,,301,66,0.22,,,,,,
,,2019 - 2020,,,,219,54,0.25,,,,,,
,,2020 - 2021,,,,128,30,0.23,,,,,,
,,2021 - 2022,,,,67,16,0.24,,,,,,
,,2022 - 2023,,,,6,2,0.33,,,,,,
,7. Bijapur,2000 - 2001,,,,897,136,0.15,,,,,,
,,2001 - 2002,,,,218,33,0.15,,,,,,
,,2002 - 2003,,,,421,64,0.15,,,,,,
,,2003 - 2004,,,,129,20,0.16,,,,,,
,,2004 - 2005,,,,836,127,0.15,,,,,,
,,2005 - 2006,,,,252,38,0.15,,,,,,
,,2006 - 2007,,,,"1,053.00",159,0.15,,,,,,
,,2007 - 2008,,,,"1,257.00",236,0.19,,,,,,
,,2008 - 2009,,,,137,26,0.19,,,,,,
,,2009 - 2010,,,,870,215,0.25,,,,,,
,,2010 - 2011,,,,"1,091.00",338,0.31,,,,,,
,,2011 - 2012,,,,342,68,0.2,,,,,,
,,2012 - 2013,,,,139,28,0.2,,,,,,
,,2013 - 2014,,,,321,70,0.22,,,,,,
,,2014 - 2015,,,,178,47,0.26,,,,,,
,,2015 - 2016,,,,95,24,0.25,,,,,,
,,2016 - 2017,,,,47,9,0.19,,,,,,
,,2018 - 2019,,,,4,1,0.25,,,,,,
,,2019 - 2020,,,,14,3,0.21,,,,,,
,,2020 - 2021,,,,14,3,0.21,,,,,,
,,2021 - 2022,,,,12,3,0.25,,,,,,
,,2022 - 2023,,,,25,5,0.2,,,,,,
,8. Chamarajanagar,2000 - 2001,,,,697,144,0.21,,,,,,
,,2001 - 2002,,,,680,140,0.21,,,,,,
,,2002 - 2003,,,,"1,279.00",263,0.21,,,,,,
,,2003 - 2004,,,,"1,105.00",228,0.21,,,,,,
,,2004 - 2005,,,,728,150,0.21,,,,,,
,,2005 - 2006,,,,"1,185.00",244,0.21,,,,,,
,,2006 - 2007,,,,"1,526.00",314,0.21,,,,,,
,,2007 - 2008,,,,608,189,0.31,,,,,,
,,2008 - 2009,,,,833,349,0.42,,,,,,
,,2009 - 2010,,,,861,361,0.42,,,,,,
,,2010 - 2011,,,,838,306,0.37,,,,,,
,,2011 - 2012,,,,"1,330.00",357,0.27,,,,,,
,,2012 - 2013,,,,78,21,0.27,,,,,,
,,2013 - 2014,,,,431,94,0.22,,,,,,
,,2014 - 2015,,,,123,33,0.27,,,,,,
,,2015 - 2016,,,,201,52,0.26,,,,,,
,,2017 - 2018,,,,18,4,0.22,,,,,,
,,2018 - 2019,,,,17,3,0.18,,,,,,
,,2019 - 2020,,,,12,3,0.25,,,,,,
,,2020 - 2021,,,,4,1,0.25,,,,,,
,,2021 - 2022,,,,4,1,0.25,,,,,,
,,2022 - 2023,,,,3,1,0.33,,,,,,
,9. Chikballapur,2007 - 2008,,,,608,229,0.38,,,,,,
,,2008 - 2009,,,,459,157,0.34,,,,,,
,,2009 - 2010,,,,148,24,0.16,,,,,,
,,2010 - 2011,,,,216,65,0.3,,,,,,
,,2011 - 2012,,,,348,95,0.27,,,,,,
,,2012 - 2013,,,,171,41,0.24,,,,,,
,,2013 - 2014,,,,79,17,0.22,,,,,,
,,2014 - 2015,,,,6,2,0.33,,,,,,
,,2015 - 2016,,,,54,14,0.26,,,,,,
,,2016 - 2017,,,,68,13,0.19,,,,,,
,,2017 - 2018,,,,63,14,0.22,,,,,,
,,2018 - 2019,,,,22,4,0.18,,,,,,
,,2021 - 2022,,,,3,1,0.33,,,,,,
,,2022 - 2023,,,,5,1,0.2,,,,,,
,10. Chikmagalur,2000 - 2001,,,,795,206,0.26,,,,,,
,,2001 - 2002,,,,915,237,0.26,,,,,,
,,2002 - 2003,,,,739,192,0.26,,,,,,
,,2003 - 2004,,,,637,165,0.26,,,,,,
,,2004 - 2005,,,,"1,115.00",289,0.26,,,,,,
,,2005 - 2006,,,,525,136,0.26,,,,,,
,,2006 - 2007,,,,"1,009.00",262,0.26,,,,,,
,,2007 - 2008,,,,"1,276.00",480,0.38,,,,,,
,,2008 - 2009,,,,"1,460.00",477,0.33,,,,,,
,,2009 - 2010,,,,"1,070.00",338,0.32,,,,,,
,,2010 - 2011,,,,"1,093.00",329,0.3,,,,,,
,,2011 - 2012,,,,562,165,0.29,,,,,,
,,2012 - 2013,,,,119,35,0.29,,,,,,
,,2013 - 2014,,,,129,28,0.22,,,,,,
,,2014 - 2015,,,,349,92,0.26,,,,,,
,,2015 - 2016,,,,218,73,0.33,,,,,,
,,2016 - 2017,,,,205,38,0.19,,,,,,
,,2017 - 2018,,,,17,4,0.24,,,,,,
,,2018 - 2019,,,,2,,0,,,,,,
,,2019 - 2020,,,,1,,0,,,,,,
,11. Chitradurga,2000 - 2001,,,,542,159,0.29,,,,,,
,,2001 - 2002,,,,661,194,0.29,,,,,,
,,2002 - 2003,,,,301,89,0.3,,,,,,
,,2003 - 2004,,,,423,124,0.29,,,,,,
,,2004 - 2005,,,,338,99,0.29,,,,,,
,,2005 - 2006,,,,622,183,0.29,,,,,,
,,2006 - 2007,,,,582,171,0.29,,,,,,
,,2007 - 2008,,,,536,202,0.38,,,,,,
,,2008 - 2009,,,,268,92,0.34,,,,,,
,,2009 - 2010,,,,221,77,0.35,,,,,,
,,2010 - 2011,,,,192,58,0.3,,,,,,
,,2011 - 2012,,,,74,20,0.27,,,,,,
,,2012 - 2013,,,,81,19,0.23,,,,,,
,,2013 - 2014,,,,6,1,0.17,,,,,,
,,2014 - 2015,,,,27,7,0.26,,,,,,
,,2015 - 2016,,,,19,5,0.26,,,,,,
,,2016 - 2017,,,,12,2,0.17,,,,,,
,,2017 - 2018,,,,14,3,0.21,,,,,,
,,2019 - 2020,,,,1,,0,,,,,,
,,2021 - 2022,,,,2,0.49,0.25,,,,,,
,,2022 - 2023,,,,3,0.69,0.23,,,,,,
,12. Davangere,2000 - 2001,,,,854,251,0.29,,,,,,
,,2001 - 2002,,,,684,201,0.29,,,,,,
,,2002 - 2003,,,,878,258,0.29,,,,,,
,,2003 - 2004,,,,572,168,0.29,,,,,,
,,2004 - 2005,,,,539,158,0.29,,,,,,
,,2005 - 2006,,,,673,198,0.29,,,,,,
,,2006 - 2007,,,,597,176,0.29,,,,,,
,,2007 - 2008,,,,458,172,0.38,,,,,,
,,2008 - 2009,,,,658,225,0.34,,,,,,
,,2009 - 2010,,,,381,125,0.33,,,,,,
,,2010 - 2011,,,,323,97,0.3,,,,,,
,,2011 - 2012,,,,329,90,0.27,,,,,,
,,2012 - 2013,,,,179,43,0.24,,,,,,
,,2013 - 2014,,,,127,28,0.22,,,,,,
,,2014 - 2015,,,,182,48,0.26,,,,,,
,,2015 - 2016,,,,113,29,0.26,,,,,,
,,2016 - 2017,,,,141,26,0.18,,,,,,
,,2017 - 2018,,,,231,50,0.22,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,,2019 - 2020,,,,2,,0,,,,,,
,,2020 - 2021,,,,9,2,0.22,,,,,,
,,2021 - 2022,,,,2,0.49,0.25,,,,,,
,13. Dharwad,2000 - 2001,,,,224,54,0.24,,,,,,
,,2001 - 2002,,,,242,58,0.24,,,,,,
,,2002 - 2003,,,,329,79,0.24,,,,,,
,,2003 - 2004,,,,192,46,0.24,,,,,,
,,2004 - 2005,,,,408,98,0.24,,,,,,
,,2005 - 2006,,,,434,104,0.24,,,,,,
,,2006 - 2007,,,,598,144,0.24,,,,,,
,,2007 - 2008,,,,597,225,0.38,,,,,,
,,2008 - 2009,,,,426,173,0.41,,,,,,
,,2009 - 2010,,,,311,74,0.24,,,,,,
,,2010 - 2011,,,,350,105,0.3,,,,,,
,,2011 - 2012,,,,178,48,0.27,,,,,,
,,2012 - 2013,,,,189,45,0.24,,,,,,
,,2013 - 2014,,,,408,89,0.22,,,,,,
,,2014 - 2015,,,,296,78,0.26,,,,,,
,,2015 - 2016,,,,17,4,0.24,,,,,,
,,2016 - 2017,,,,97,18,0.19,,,,,,
,,2017 - 2018,,,,27,6,0.22,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,,2019 - 2020,,,,29,7,0.24,,,,,,
,,2020 - 2021,,,,16,4,0.25,,,,,,
,,2021 - 2022,,,,4,1,0.25,,,,,,
,,2022 - 2023,,,,1,0.23,0.23,,,,,,
,14. Gadag,2000 - 2001,,,,"1,112.00",268,0.24,,,,,,
,,2001 - 2002,,,,729,175,0.24,,,,,,
,,2002 - 2003,,,,780,188,0.24,,,,,,
,,2003 - 2004,,,,261,63,0.24,,,,,,
,,2004 - 2005,,,,632,152,0.24,,,,,,
,,2005 - 2006,,,,"1,080.00",260,0.24,,,,,,
,,2006 - 2007,,,,672,162,0.24,,,,,,
,,2007 - 2008,,,,"1,026.00",305,0.3,,,,,,
,,2008 - 2009,,,,495,166,0.34,,,,,,
,,2009 - 2010,,,,"1,043.00",435,0.42,,,,,,
,,2010 - 2011,,,,858,354,0.41,,,,,,
,,2011 - 2012,,,,915,362,0.4,,,,,,
,,2012 - 2013,,,,208,82,0.39,,,,,,
,,2013 - 2014,,,,453,99,0.22,,,,,,
,,2014 - 2015,,,,319,84,0.26,,,,,,
,,2015 - 2016,,,,229,59,0.26,,,,,,
,,2016 - 2017,,,,462,86,0.19,,,,,,
,,2017 - 2018,,,,156,28,0.18,,,,,,
,,2018 - 2019,,,,4,1,0.25,,,,,,
,,2019 - 2020,,,,69,17,0.25,,,,,,
,,2020 - 2021,,,,30,7,0.23,,,,,,
,,2021 - 2022,,,,5,1,0.2,,,,,,
,,2022 - 2023,,,,2,0.46,0.23,,,,,,
,15. Gulbarga,2000 - 2001,,,,"2,484.00",295,0.12,,,,,,
,,2001 - 2002,,,,"1,708.00",203,0.12,,,,,,
,,2002 - 2003,,,,"1,028.00",122,0.12,,,,,,
,,2003 - 2004,,,,"2,040.00",242,0.12,,,,,,
,,2004 - 2005,,,,"1,947.00",231,0.12,,,,,,
,,2005 - 2006,,,,"1,647.00",196,0.12,,,,,,
,,2006 - 2007,,,,"1,478.00",176,0.12,,,,,,
,,2007 - 2008,,,,"1,612.00",407,0.25,,,,,,
,,2008 - 2009,,,,"1,230.00",421,0.34,,,,,,
,,2009 - 2010,,,,994,180,0.18,,,,,,
,,2010 - 2011,,,,"1,034.00",174,0.17,,,,,,
,,2011 - 2012,,,,"1,264.00",344,0.27,,,,,,
,,2012 - 2013,,,,304,73,0.24,,,,,,
,,2013 - 2014,,,,532,116,0.22,,,,,,
,,2014 - 2015,,,,422,112,0.27,,,,,,
,,2015 - 2016,,,,571,130,0.23,,,,,,
,,2016 - 2017,,,,148,19,0.13,,,,,,
,,2017 - 2018,,,,181,39,0.22,,,,,,
,,2018 - 2019,,,,37,7,0.19,,,,,,
,,2019 - 2020,,,,12,3,0.25,,,,,,
,,2020 - 2021,,,,18,4,0.22,,,,,,
,,2021 - 2022,,,,6,1,0.17,,,,,,
,,2022 - 2023,,,,5,1,0.2,,,,,,
,16. Hassan,2000 - 2001,,,,"10,066.00","1,754.00",0.17,,,,,,
,,2001 - 2002,,,,"6,094.00","1,062.00",0.17,,,,,,
,,2002 - 2003,,,,"4,001.00",697,0.17,,,,,,
,,2003 - 2004,,,,"2,715.00",473,0.17,,,,,,
,,2004 - 2005,,,,"4,991.00",870,0.17,,,,,,
,,2005 - 2006,,,,"4,700.00",819,0.17,,,,,,
,,2006 - 2007,,,,"4,152.00",723,0.17,,,,,,
,,2007 - 2008,,,,"3,777.00","1,421.00",0.38,,,,,,
,,2008 - 2009,,,,"3,059.00","1,429.00",0.47,,,,,,
,,2009 - 2010,,,,"3,090.00","1,413.00",0.46,,,,,,
,,2010 - 2011,,,,"3,619.00","1,010.00",0.28,,,,,,
,,2011 - 2012,,,,"1,687.00",302,0.18,,,,,,
,,2012 - 2013,,,,"2,556.00",458,0.18,,,,,,
,,2013 - 2014,,,,"3,367.00",473,0.14,,,,,,
,,2014 - 2015,,,,"1,871.00",578,0.31,,,,,,
,,2015 - 2016,,,,"1,501.00",413,0.28,,,,,,
,,2016 - 2017,,,,737,139,0.19,,,,,,
,,2017 - 2018,,,,882,258,0.29,,,,,,
,,2018 - 2019,,,,143,37,0.26,,,,,,
,,2019 - 2020,,,,229,57,0.25,,,,,,
,,2020 - 2021,,,,173,44,0.25,,,,,,
,,2021 - 2022,,,,62,17,0.27,,,,,,
,17. Haveri,2000 - 2001,,,,"1,686.00",406,0.24,,,,,,
,,2001 - 2002,,,,"1,633.00",393,0.24,,,,,,
,,2002 - 2003,,,,940,226,0.24,,,,,,
,,2003 - 2004,,,,652,157,0.24,,,,,,
,,2004 - 2005,,,,828,199,0.24,,,,,,
,,2005 - 2006,,,,645,155,0.24,,,,,,
,,2006 - 2007,,,,665,160,0.24,,,,,,
,,2007 - 2008,,,,555,138,0.25,,,,,,
,,2008 - 2009,,,,579,198,0.34,,,,,,
,,2009 - 2010,,,,449,157,0.35,,,,,,
,,2010 - 2011,,,,379,114,0.3,,,,,,
,,2011 - 2012,,,,313,85,0.27,,,,,,
,,2012 - 2013,,,,282,68,0.24,,,,,,
,,2013 - 2014,,,,275,60,0.22,,,,,,
,,2014 - 2015,,,,179,47,0.26,,,,,,
,,2015 - 2016,,,,125,32,0.26,,,,,,
,,2016 - 2017,,,,137,26,0.19,,,,,,
,,2017 - 2018,,,,107,23,0.21,,,,,,
,,2018 - 2019,,,,2,,0,,,,,,
,,2019 - 2020,,,,37,9,0.24,,,,,,
,,2020 - 2021,,,,11,3,0.27,,,,,,
,,2021 - 2022,,,,5,1,0.2,,,,,,
,,2022 - 2023,,,,5,1,0.2,,,,,,
,18. Kodagu,2018 - 2019,,,,1,,0,,,,,,
,19. Kolar,2000 - 2001,,,,"1,094.00",251,0.23,,,,,,
,,2001 - 2002,,,,"1,069.00",246,0.23,,,,,,
,,2002 - 2003,,,,402,92,0.23,,,,,,
,,2003 - 2004,,,,847,195,0.23,,,,,,
,,2004 - 2005,,,,811,186,0.23,,,,,,
,,2005 - 2006,,,,537,123,0.23,,,,,,
,,2006 - 2007,,,,537,123,0.23,,,,,,
,,2007 - 2008,,,,174,65,0.37,,,,,,
,,2008 - 2009,,,,680,233,0.34,,,,,,
,,2009 - 2010,,,,223,78,0.35,,,,,,
,,2010 - 2011,,,,289,87,0.3,,,,,,
,,2011 - 2012,,,,229,62,0.27,,,,,,
,,2012 - 2013,,,,164,39,0.24,,,,,,
,,2013 - 2014,,,,135,30,0.22,,,,,,
,,2014 - 2015,,,,71,19,0.27,,,,,,
,,2015 - 2016,,,,88,23,0.26,,,,,,
,,2016 - 2017,,,,92,17,0.18,,,,,,
,,2017 - 2018,,,,61,13,0.21,,,,,,
,,2018 - 2019,,,,64,13,0.2,,,,,,
,,2019 - 2020,,,,25,6,0.24,,,,,,
,,2020 - 2021,,,,267,66,0.25,,,,,,
,,2021 - 2022,,,,3,1,0.33,,,,,,
,,2022 - 2023,,,,1,0.23,0.23,,,,,,
,20. Koppal,2000 - 2001,,,,"1,761.00",230,0.13,,,,,,
,,2001 - 2002,,,,"2,095.00",274,0.13,,,,,,
,,2002 - 2003,,,,"1,289.00",168,0.13,,,,,,
,,2003 - 2004,,,,"1,130.00",148,0.13,,,,,,
,,2004 - 2005,,,,"1,452.00",190,0.13,,,,,,
