State,District,Year,Potato,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Winter,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,,,,,,,1,1,1,,,,,,
,,2021 - 2022,,,,,,,4,94,23.5,,,,,,
,,2022 - 2023,,,,,,,12.01,104.55,8.71,,,,,,
,11. Pathanamthitta,2011 - 2012,,,,,,,2,22,11,,,,,,
,12. Thiruvananthapuram,2011 - 2012,,,,,,,18,204,11.33,,,,,,
,13. Thrissur,2011 - 2012,,,,,,,9,99,11,,,,,,
,14. Wayanad,2011 - 2012,,,,,,,12,141,11.75,,,,,,
15. Ladakh,1. Kargil,2022 - 2023,168,"2,354.00",14.01,,,,,,,,,,,,
,2. Leh ladakh,2020 - 2021,861.2,"9,187.20",10.67,,,,,,,,,,,,
,,2021 - 2022,420,"7,384.92",17.58,,,,,,,,,,,,
,,2022 - 2023,250.14,"5,002.80",20,,,,,,,,,,,,
16. Madhya Pradesh,1. Agar malwa,2013 - 2014,,,,,,,795,"10,679.00",13.43,,,,,,
,,2015 - 2016,,,,,,,940,"13,150.00",13.99,,,,,,
,,2016 - 2017,,,,,,,"2,020.00","48,480.00",24,,,,,,
,,2017 - 2018,,,,,,,"1,560.00","37,440.00",24,,,,,,
,,2018 - 2019,,,,,,,"1,701.00","35,721.00",21,,,,,,
,,2019 - 2020,,,,,,,"1,730.00","36,330.00",21,,,,,,
,2. Alirajpur,2009 - 2010,,,,,,,2,20,10,,,,,,
,,2015 - 2016,,,,,,,60,"1,500.00",25,,,,,,
,,2016 - 2017,,,,,,,15,375,25,,,,,,
,,2017 - 2018,,,,,,,11,283.8,25.8,,,,,,
,,2018 - 2019,,,,,,,12,309.84,25.82,,,,,,
,,2019 - 2020,,,,,,,12,309.96,25.83,,,,,,
,3. Anuppur,2003 - 2004,,,,,,,193,"2,068.00",10.72,,,,,,
,,2004 - 2005,,,,,,,180,"2,084.00",11.58,,,,,,
,,2005 - 2006,,,,,,,194,"2,147.00",11.07,,,,,,
,,2006 - 2007,,,,,,,212,"2,251.00",10.62,,,,,,
,,2007 - 2008,,,,,,,235,"2,342.00",9.97,,,,,,
,,2008 - 2009,,,,,,,209,"1,799.00",8.61,,,,,,
,,2009 - 2010,,,,,,,193,"1,699.00",8.8,,,,,,
,,2010 - 2011,,,,,,,237,"1,629.00",6.87,,,,,,
,,2011 - 2012,,,,,,,236,"2,245.00",9.51,,,,,,
,,2012 - 2013,,,,,,,312,"3,074.00",9.85,,,,,,
,,2013 - 2014,,,,,,,327,"2,727.00",8.34,,,,,,
,,2015 - 2016,,,,,,,692,"12,388.00",17.9,,,,,,
,,2016 - 2017,,,,,,,750,"13,607.60",18.14,,,,,,
,,2017 - 2018,,,,,,,857,"17,225.70",20.1,,,,,,
,,2018 - 2019,,,,,,,944,"20,768.00",22,,,,,,
,,2019 - 2020,,,,,,,"1,404.36","32,284.50",22.99,,,,,,
,4. Ashoknagar,2003 - 2004,,,,,,,97,"1,093.00",11.27,,,,,,
,,2004 - 2005,,,,,,,79,995,12.59,,,,,,
,,2005 - 2006,,,,,,,104,"1,453.00",13.97,,,,,,
,,2006 - 2007,,,,,,,87,"1,257.00",14.45,,,,,,
,,2007 - 2008,,,,,,,116,"1,510.00",13.02,,,,,,
,,2008 - 2009,,,,,,,73,908,12.44,,,,,,
,,2009 - 2010,,,,,,,124,"1,527.00",12.31,,,,,,
,,2010 - 2011,,,,,,,150,"1,889.00",12.59,,,,,,
,,2011 - 2012,,,,,,,230,"3,039.00",13.21,,,,,,
,,2012 - 2013,,,,,,,343,"4,974.00",14.5,,,,,,
,,2013 - 2014,,,,,,,350,"4,298.00",12.28,,,,,,
,,2015 - 2016,,,,,,,600,"12,000.00",20,,,,,,
,,2016 - 2017,,,,,,,605,"12,100.00",20,,,,,,
,,2017 - 2018,,,,,,,605,"12,100.00",20,,,,,,
,,2018 - 2019,,,,,,,605,"12,190.00",20.15,,,,,,
,,2019 - 2020,,,,,,,605,"12,190.00",20.15,,,,,,
,5. Balaghat,2001 - 2002,,,,,,,376,"5,479.00",14.57,,,,,,
,,2002 - 2003,,,,,,,380,"5,191.00",13.66,,,,,,
,,2003 - 2004,,,,,,,386,"5,400.00",13.99,,,,,,
,,2004 - 2005,,,,,,,297,"4,640.00",15.62,,,,,,
,,2005 - 2006,,,,,,,370,"4,905.00",13.26,,,,,,
,,2006 - 2007,,,,,,,360,"4,735.00",13.15,,,,,,
,,2007 - 2008,,,,,,,347,"4,997.00",14.4,,,,,,
,,2008 - 2009,,,,,,,376,"4,146.00",11.03,,,,,,
,,2009 - 2010,,,,,,,374,"4,755.00",12.71,,,,,,
,,2010 - 2011,,,,,,,383,"4,571.00",11.93,,,,,,
,,2011 - 2012,,,,,,,382,"5,694.00",14.91,,,,,,
,,2012 - 2013,,,,,,,373,"4,647.00",12.46,,,,,,
,,2013 - 2014,,,,,,,371,"3,889.00",10.48,,,,,,
,,2015 - 2016,,,,,,,922,"14,885.00",16.14,,,,,,
,,2016 - 2017,,,,,,,940,"14,959.00",15.91,,,,,,
,,2017 - 2018,,,,,,,950,"20,859.00",21.96,,,,,,
,,2018 - 2019,,,,,,,953,"20,971.00",22.01,,,,,,
,,2019 - 2020,,,,,,,957,"21,061.00",22.01,,,,,,
,6. Barwani,2001 - 2002,,,,,,,14,130,9.29,,,,,,
,,2002 - 2003,,,,,,,6,60,10,,,,,,
,,2003 - 2004,,,,,,,7,68,9.71,,,,,,
,,2004 - 2005,,,,,,,7,84,12,,,,,,
,,2005 - 2006,,,,,,,8,66,8.25,,,,,,
,,2006 - 2007,,,,,,,6,48,8,,,,,,
,,2007 - 2008,,,,,,,15,102,6.8,,,,,,
,,2008 - 2009,,,,,,,11,72,6.55,,,,,,
,,2009 - 2010,,,,,,,34,301,8.85,,,,,,
,,2010 - 2011,,,,,,,33,251,7.61,,,,,,
,,2011 - 2012,,,,,,,29,222,7.66,,,,,,
,,2012 - 2013,,,,,,,9,254,28.22,,,,,,
,,2013 - 2014,,,,,,,11,269,24.45,,,,,,
,,2015 - 2016,,,,,,,178,"3,560.00",20,,,,,,
,,2016 - 2017,,,,,,,60.6,"1,333.20",22,,,,,,
,,2017 - 2018,,,,,,,35,770,22,,,,,,
,,2018 - 2019,,,,,,,32,704,22,,,,,,
,,2019 - 2020,,,,,,,4,88,22,,,,,,
,7. Betul,2001 - 2002,,,,,,,"1,032.00","10,866.00",10.53,,,,,,
,,2002 - 2003,,,,,,,"1,258.00","11,775.00",9.36,,,,,,
,,2003 - 2004,,,,,,,"1,318.00","13,553.00",10.28,,,,,,
,,2004 - 2005,,,,,,,840,"8,994.00",10.71,,,,,,
,,2005 - 2006,,,,,,,943,"9,189.00",9.74,,,,,,
,,2006 - 2007,,,,,,,"1,082.00","11,347.00",10.49,,,,,,
,,2007 - 2008,,,,,,,830,"8,551.00",10.3,,,,,,
,,2008 - 2009,,,,,,,903,"8,186.00",9.07,,,,,,
,,2009 - 2010,,,,,,,"1,025.00","9,604.00",9.37,,,,,,
,,2010 - 2011,,,,,,,"1,069.00","8,717.00",8.15,,,,,,
,,2011 - 2012,,,,,,,"1,392.00","13,222.00",9.5,,,,,,
,,2012 - 2013,,,,,,,"1,084.00","15,170.00",13.99,,,,,,
,,2013 - 2014,,,,,,,"1,230.00","15,034.00",12.22,,,,,,
,,2015 - 2016,,,,,,,"1,065.00","15,443.00",14.5,,,,,,
,,2016 - 2017,,,,,,,"1,255.00","18,233.00",14.53,,,,,,
,,2017 - 2018,,,,,,,"1,559.00","23,600.00",15.14,,,,,,
,,2018 - 2019,,,,,,,"1,461.00","21,205.00",14.51,,,,,,
,,2019 - 2020,,,,,,,"1,473.00","21,369.00",14.51,,,,,,
,8. Bhind,2001 - 2002,,,,,,,330,"4,291.00",13,,,,,,
,,2002 - 2003,,,,,,,351,"4,277.00",12.19,,,,,,
,,2003 - 2004,,,,,,,447,"5,579.00",12.48,,,,,,
,,2004 - 2005,,,,,,,613,"8,543.00",13.94,,,,,,
,,2005 - 2006,,,,,,,"1,068.00","12,734.00",11.92,,,,,,
,,2006 - 2007,,,,,,,577,"6,826.00",11.83,,,,,,
,,2007 - 2008,,,,,,,811,"6,603.00",8.14,,,,,,
,,2008 - 2009,,,,,,,837,"8,577.00",10.25,,,,,,
,,2009 - 2010,,,,,,,"1,217.00","11,931.00",9.8,,,,,,
,,2010 - 2011,,,,,,,932,"8,057.00",8.64,,,,,,
,,2011 - 2012,,,,,,,"1,096.00","9,739.00",8.89,,,,,,
,,2012 - 2013,,,,,,,954,"14,919.00",15.64,,,,,,
,,2013 - 2014,,,,,,,803,"8,971.00",11.17,,,,,,
,,2015 - 2016,,,,,,,"1,527.00","33,594.00",22,,,,,,
,,2016 - 2017,,,,,,,"1,540.00","33,880.00",22,,,,,,
,,2017 - 2018,,,,,,,"1,560.00","34,320.00",22,,,,,,
,,2018 - 2019,,,,,,,"1,650.00","36,316.00",22.01,,,,,,
,,2019 - 2020,,,,,,,"1,650.00","36,316.00",22.01,,,,,,
,9. Bhopal,2001 - 2002,,,,,,,53,642,12.11,,,,,,
,,2002 - 2003,,,,,,,76,878,11.55,,,,,,
,,2003 - 2004,,,,,,,73,848,11.62,,,,,,
,,2004 - 2005,,,,,,,70,910,13,,,,,,
,,2005 - 2006,,,,,,,97,"1,123.00",11.58,,,,,,
,,2006 - 2007,,,,,,,80,948,11.85,,,,,,
,,2007 - 2008,,,,,,,109,"1,212.00",11.12,,,,,,
,,2008 - 2009,,,,,,,77,776,10.08,,,,,,
,,2009 - 2010,,,,,,,100,981,9.81,,,,,,
,,2010 - 2011,,,,,,,63,516,8.19,,,,,,
,,2011 - 2012,,,,,,,85,"1,055.00",12.41,,,,,,
,,2012 - 2013,,,,,,,83,"1,202.00",14.48,,,,,,
,,2013 - 2014,,,,,,,66,789,11.95,,,,,,
,,2015 - 2016,,,,,,,518,"11,094.00",21.42,,,,,,
,,2016 - 2017,,,,,,,662.5,"14,511.50",21.9,,,,,,
,,2017 - 2018,,,,,,,378,"8,340.00",22.06,,,,,,
,,2018 - 2019,,,,,,,405,"8,872.00",21.91,,,,,,
,,2019 - 2020,,,,,,,515,"11,205.00",21.76,,,,,,
,10. Burhanpur,2003 - 2004,,,,,,,2,22,11,,,,,,
,,2004 - 2005,,,,,,,3,35,11.67,,,,,,
,,2007 - 2008,,,,,,,1,11,11,,,,,,
,,2010 - 2011,,,,,,,1,11,11,,,,,,
,,2011 - 2012,,,,,,,1,11,11,,,,,,
,,2012 - 2013,,,,,,,6,88,14.67,,,,,,
,,2013 - 2014,,,,,,,17,160,9.41,,,,,,
,,2015 - 2016,,,,,,,90,"1,800.00",20,,,,,,
,,2016 - 2017,,,,,,,100,"2,000.00",20,,,,,,
,,2017 - 2018,,,,,,,105,"2,100.00",20,,,,,,
,,2018 - 2019,,,,,,,108,"2,160.00",20,,,,,,
,,2019 - 2020,,,,,,,112,"2,241.00",20.01,,,,,,
,11. Chhatarpur,2001 - 2002,,,,,,,"1,253.00","12,371.00",9.87,,,,,,
,,2002 - 2003,,,,,,,"1,229.00","11,376.00",9.26,,,,,,
,,2003 - 2004,,,,,,,"1,277.00","12,552.00",9.83,,,,,,
,,2004 - 2005,,,,,,,"1,235.00","13,559.00",10.98,,,,,,
,,2005 - 2006,,,,,,,"1,140.00","10,808.00",9.48,,,,,,
,,2006 - 2007,,,,,,,928,"7,325.00",7.89,,,,,,
,,2007 - 2008,,,,,,,566,"3,836.00",6.78,,,,,,
,,2008 - 2009,,,,,,,915,"5,668.00",6.19,,,,,,
,,2009 - 2010,,,,,,,"1,062.00","7,243.00",6.82,,,,,,
,,2010 - 2011,,,,,,,"1,243.00","6,178.00",4.97,,,,,,
,,2011 - 2012,,,,,,,"1,444.00","8,229.00",5.7,,,,,,
,,2012 - 2013,,,,,,,"1,512.00","10,309.00",6.82,,,,,,
,,2013 - 2014,,,,,,,"1,660.00","10,673.00",6.43,,,,,,
,,2015 - 2016,,,,,,,962,"18,278.00",19,,,,,,
,,2016 - 2017,,,,,,,"1,398.00","26,562.00",19,,,,,,
,,2017 - 2018,,,,,,,280.5,14.76,0.05,,,,,,
,,2018 - 2019,,,,,,,465,28.9,0.06,,,,,,
,,2019 - 2020,,,,,,,467,"8,400.00",17.99,,,,,,
,12. Chhindwara,2001 - 2002,,,,,,,"1,910.00","30,564.00",16,,,,,,
,,2002 - 2003,,,,,,,"2,090.00","37,625.00",18,,,,,,
,,2003 - 2004,,,,,,,"2,182.00","43,578.00",19.97,,,,,,
,,2004 - 2005,,,,,,,"2,148.00","44,962.00",20.93,,,,,,
,,2005 - 2006,,,,,,,"2,637.00","53,746.00",20.38,,,,,,
,,2006 - 2007,,,,,,,"2,681.00","52,665.00",19.64,,,,,,
,,2007 - 2008,,,,,,,"3,199.00","60,708.00",18.98,,,,,,
,,2008 - 2009,,,,,,,"2,736.00","41,738.00",15.26,,,,,,
,,2009 - 2010,,,,,,,"3,222.00","53,993.00",16.76,,,,,,
,,2010 - 2011,,,,,,,"3,972.00","66,869.00",16.84,,,,,,
,,2011 - 2012,,,,,,,"3,935.00","76,603.00",19.47,,,,,,
,,2012 - 2013,,,,,,,"5,121.00","1,10,821.00",21.64,,,,,,
,,2013 - 2014,,,,,,,"4,897.00","93,779.00",19.15,,,,,,
,,2015 - 2016,,,,,,,"7,312.00","1,82,800.00",25,,,,,,
,,2016 - 2017,,,,,,,"8,000.00","2,00,000.00",25,,,,,,
,,2017 - 2018,,,,,,,"8,556.00","2,13,900.00",25,,,,,,
,,2018 - 2019,,,,,,,"7,904.00","1,97,600.00",25,,,,,,
,,2019 - 2020,,,,,,,"7,904.00","1,97,600.00",25,,,,,,
,13. Damoh,2001 - 2002,,,,,,,610,"11,945.00",19.58,,,,,,
,,2002 - 2003,,,,,,,615,"10,778.00",17.53,,,,,,
,,2003 - 2004,,,,,,,590,"11,429.00",19.37,,,,,,
,,2004 - 2005,,,,,,,600,"13,173.00",21.96,,,,,,
,,2005 - 2006,,,,,,,625,"11,811.00",18.9,,,,,,
,,2006 - 2007,,,,,,,728,"9,749.00",13.39,,,,,,
,,2007 - 2008,,,,,,,661,"9,138.00",13.82,,,,,,
,,2008 - 2009,,,,,,,746,"13,902.00",18.64,,,,,,
,,2009 - 2010,,,,,,,805,"14,831.00",18.42,,,,,,
,,2010 - 2011,,,,,,,"1,447.00","12,720.00",8.79,,,,,,
,,2011 - 2012,,,,,,,"1,419.00","26,925.00",18.97,,,,,,
,,2012 - 2013,,,,,,,"1,308.00","24,932.00",19.06,,,,,,
,,2013 - 2014,,,,,,,981,"19,535.00",19.91,,,,,,
,,2015 - 2016,,,,,,,"1,250.00","27,500.00",22,,,,,,
,,2016 - 2017,,,,,,,"1,265.00","27,830.00",22,,,,,,
,,2017 - 2018,,,,,,,"1,585.00","34,870.00",22,,,,,,
,,2018 - 2019,,,,,,,"1,650.00","36,300.00",22,,,,,,
,,2019 - 2020,,,,,,,"1,850.00","40,700.00",22,,,,,,
,14. Datia,2001 - 2002,,,,,,,113,"2,486.00",22,,,,,,
,,2002 - 2003,,,,,,,134,"2,254.00",16.82,,,,,,
,,2003 - 2004,,,,,,,144,"2,321.00",16.12,,,,,,
,,2004 - 2005,,,,,,,206,"3,518.00",17.08,,,,,,
,,2005 - 2006,,,,,,,208,"3,555.00",17.09,,,,,,
,,2006 - 2007,,,,,,,123,"1,936.00",15.74,,,,,,
,,2007 - 2008,,,,,,,188,"2,671.00",14.21,,,,,,
,,2008 - 2009,,,,,,,123,"2,185.00",17.76,,,,,,
,,2009 - 2010,,,,,,,171,"1,931.00",11.29,,,,,,
,,2010 - 2011,,,,,,,135,"1,221.00",9.04,,,,,,
,,2011 - 2012,,,,,,,276,"3,892.00",14.1,,,,,,
,,2012 - 2013,,,,,,,294,"6,647.00",22.61,,,,,,
,,2013 - 2014,,,,,,,302,"5,707.00",18.9,,,,,,
,,2015 - 2016,,,,,,,"1,100.00","25,300.00",23,,,,,,
,,2016 - 2017,,,,,,,"1,105.00","25,415.00",23,,,,,,
,,2017 - 2018,,,,,,,688,"15,824.00",23,,,,,,
,,2018 - 2019,,,,,,,690,"15,870.00",23,,,,,,
,,2019 - 2020,,,,,,,691,"15,893.00",23,,,,,,
,15. Dewas,2001 - 2002,,,,,,,"2,935.00","37,069.00",12.63,,,,,,
,,2002 - 2003,,,,,,,"2,988.00","35,969.00",12.04,,,,,,
,,2003 - 2004,,,,,,,"4,152.00","52,862.00",12.73,,,,,,
,,2004 - 2005,,,,,,,"5,422.00","73,427.00",13.54,,,,,,
,,2005 - 2006,,,,,,,"3,252.00","46,708.00",14.36,,,,,,
,,2006 - 2007,,,,,,,"3,890.00","55,434.00",14.25,,,,,,
,,2007 - 2008,,,,,,,"4,160.00","55,634.00",13.37,,,,,,
,,2008 - 2009,,,,,,,"4,811.00","57,469.00",11.95,,,,,,
,,2009 - 2010,,,,,,,"5,090.00","60,110.00",11.81,,,,,,
,,2010 - 2011,,,,,,,"6,131.00","63,887.00",10.42,,,,,,
,,2011 - 2012,,,,,,,"9,434.00","1,14,938.00",12.18,,,,,,
,,2012 - 2013,,,,,,,"8,511.00","1,64,239.00",19.3,,,,,,
,,2013 - 2014,,,,,,,"8,560.00","1,24,249.00",14.52,,,,,,
,,2015 - 2016,,,,,,,"7,881.00","1,54,378.00",19.59,,,,,,
,,2016 - 2017,,,,,,,"8,102.00","1,59,609.00",19.7,,,,,,
,,2017 - 2018,,,,,,,"8,144.00","1,60,600.00",19.72,,,,,,
,,2018 - 2019,,,,,,,"9,840.00","1,94,142.59",19.73,,,,,,
,,2019 - 2020,,,,,,,"9,981.00","1,96,924.51",19.73,,,,,,
,16. Dhar,2001 - 2002,,,,,,,534,"7,023.00",13.15,,,,,,
,,2002 - 2003,,,,,,,530,"6,426.00",12.12,,,,,,
,,2003 - 2004,,,,,,,748,"10,087.00",13.49,,,,,,
,,2004 - 2005,,,,,,,682,"12,391.00",18.17,,,,,,
,,2005 - 2006,,,,,,,810,"9,858.00",12.17,,,,,,
,,2006 - 2007,,,,,,,845,"13,265.00",15.7,,,,,,
,,2007 - 2008,,,,,,,"1,465.00","21,030.00",14.35,,,,,,
,,2008 - 2009,,,,,,,"2,056.00","22,544.00",10.96,,,,,,
,,2009 - 2010,,,,,,,"1,900.00","20,597.00",10.84,,,,,,
,,2010 - 2011,,,,,,,"2,207.00","26,138.00",11.84,,,,,,
,,2011 - 2012,,,,,,,"2,962.00","34,073.00",11.5,,,,,,
,,2012 - 2013,,,,,,,"2,732.00","32,737.00",11.98,,,,,,
,,2013 - 2014,,,,,,,"1,489.00","22,941.00",15.41,,,,,,
,,2015 - 2016,,,,,,,"2,074.00","37,332.00",18,,,,,,
,,2016 - 2017,,,,,,,"2,074.00","51,110.00",24.64,,,,,,
,,2017 - 2018,,,,,,,"2,305.00","56,819.00",24.65,,,,,,
,,2018 - 2019,,,,,,,"2,319.00","52,255.40",22.53,,,,,,
,,2019 - 2020,,,,,,,"2,000.00","50,895.00",25.45,,,,,,
,17. Dindori,2001 - 2002,,,,,,,16,144,9,,,,,,
,,2002 - 2003,,,,,,,22,196,8.91,,,,,,
,,2003 - 2004,,,,,,,22,237,10.77,,,,,,
,,2004 - 2005,,,,,,,24,245,10.21,,,,,,
,,2005 - 2006,,,,,,,27,237,8.78,,,,,,
,,2006 - 2007,,,,,,,29,200,6.9,,,,,,
,,2007 - 2008,,,,,,,25,172,6.88,,,,,,
,,2008 - 2009,,,,,,,29,185,6.38,,,,,,
,,2009 - 2010,,,,,,,14,86,6.14,,,,,,
,,2010 - 2011,,,,,,,14,68,4.86,,,,,,
,,2011 - 2012,,,,,,,13,65,5,,,,,,
,,2012 - 2013,,,,,,,24,171,7.13,,,,,,
,,2013 - 2014,,,,,,,17,174,10.24,,,,,,
,,2019 - 2020,,,,,,,68,"1,224.00",18,,,,,,
,18. Guna,2001 - 2002,,,,,,,245,"3,634.00",14.83,,,,,,
,,2002 - 2003,,,,,,,206,"1,313.00",6.37,,,,,,
,,2003 - 2004,,,,,,,87,"1,221.00",14.03,,,,,,
,,2004 - 2005,,,,,,,90,"1,352.00",15.02,,,,,,
,,2005 - 2006,,,,,,,74,"1,034.00",13.97,,,,,,
,,2006 - 2007,,,,,,,72,"1,027.00",14.26,,,,,,
,,2007 - 2008,,,,,,,48,464,9.67,,,,,,
,,2008 - 2009,,,,,,,80,930,11.63,,,,,,
,,2009 - 2010,,,,,,,102,"1,089.00",10.68,,,,,,
,,2010 - 2011,,,,,,,136,"1,428.00",10.5,,,,,,
,,2011 - 2012,,,,,,,98,"1,178.00",12.02,,,,,,
,,2012 - 2013,,,,,,,139,"2,026.00",14.58,,,,,,
,,2013 - 2014,,,,,,,216,"2,771.00",12.83,,,,,,
,,2015 - 2016,,,,,,,156,"3,120.00",20,,,,,,
,,2016 - 2017,,,,,,,235,"4,700.00",20,,,,,,
,,2017 - 2018,,,,,,,240,"4,800.00",20,,,,,,
,,2018 - 2019,,,,,,,297,"5,940.00",20,,,,,,
,,2019 - 2020,,,,,,,328,"6,560.00",20,,,,,,
,19. Gwalior,2001 - 2002,,,,,,,961,"26,936.00",28.03,,,,,,
,,2002 - 2003,,,,,,,761,"15,895.00",20.89,,,,,,
,,2003 - 2004,,,,,,,960,"23,515.00",24.49,,,,,,
,,2004 - 2005,,,,,,,998,"24,996.00",25.05,,,,,,
,,2005 - 2006,,,,,,,962,"20,831.00",21.65,,,,,,
,,2006 - 2007,,,,,,,927,"18,018.00",19.44,,,,,,
,,2007 - 2008,,,,,,,749,"12,466.00",16.64,,,,,,
,,2008 - 2009,,,,,,,780,"13,825.00",17.72,,,,,,
,,2009 - 2010,,,,,,,875,"16,569.00",18.94,,,,,,
,,2010 - 2011,,,,,,,733,"12,611.00",17.2,,,,,,
,,2011 - 2012,,,,,,,687,"12,018.00",17.49,,,,,,
,,2012 - 2013,,,,,,,697,"11,343.00",16.27,,,,,,
,,2013 - 2014,,,,,,,902,"10,986.00",12.18,,,,,,
,,2015 - 2016,,,,,,,"2,860.00","71,500.00",25,,,,,,
,,2016 - 2017,,,,,,,"3,303.00","82,575.00",25,,,,,,
,,2017 - 2018,,,,,,,"3,402.00","85,050.00",25,,,,,,
,,2018 - 2019,,,,,,,"3,410.00","85,250.00",25,,,,,,
,,2019 - 2020,,,,,,,"3,470.00","86,750.00",25,,,,,,
,20. Harda,2001 - 2002,,,,,,,17,172,10.12,,,,,,
,,2002 - 2003,,,,,,,30,295,9.83,,,,,,
,,2003 - 2004,,,,,,,25,262,10.48,,,,,,
,,2004 - 2005,,,,,,,46,616,13.39,,,,,,
,,2005 - 2006,,,,,,,42,398,9.48,,,,,,
,,2006 - 2007,,,,,,,30,282,9.4,,,,,,
,,2007 - 2008,,,,,,,28,320,11.43,,,,,,
,,2008 - 2009,,,,,,,20,219,10.95,,,,,,
,,2009 - 2010,,,,,,,24,251,10.46,,,,,,
,,2010 - 2011,,,,,,,33,316,9.58,,,,,,
,,2011 - 2012,,,,,,,65,786,12.09,,,,,,
,,2012 - 2013,,,,,,,33,361,10.94,,,,,,
,,2013 - 2014,,,,,,,36,317,8.81,,,,,,
,,2015 - 2016,,,,,,,200,"5,200.00",26,,,,,,
,,2016 - 2017,,,,,,,200,"5,220.00",26.1,,,,,,
,,2017 - 2018,,,,,,,220,"5,742.00",26.1,,,,,,
,,2018 - 2019,,,,,,,200,"5,220.00",26.1,,,,,,
,,2019 - 2020,,,,,,,150,"3,915.00",26.1,,,,,,
,21. Hoshangabad,2001 - 2002,,,,,,,253,"3,163.00",12.5,,,,,,
,,2002 - 2003,,,,,,,262,"3,071.00",11.72,,,,,,
,,2003 - 2004,,,,,,,286,"3,432.00",12,,,,,,
,,2004 - 2005,,,,,,,263,"3,581.00",13.62,,,,,,
,,2005 - 2006,,,,,,,331,"3,885.00",11.74,,,,,,
,,2006 - 2007,,,,,,,281,"3,272.00",11.64,,,,,,
,,2007 - 2008,,,,,,,285,"3,115.00",10.93,,,,,,
,,2008 - 2009,,,,,,,347,"3,388.00",9.76,,,,,,
,,2009 - 2010,,,,,,,342,"3,197.00",9.35,,,,,,
,,2010 - 2011,,,,,,,346,"3,419.00",9.88,,,,,,
,,2011 - 2012,,,,,,,357,"3,808.00",10.67,,,,,,
,,2012 - 2013,,,,,,,390,"4,361.00",11.18,,,,,,
,,2013 - 2014,,,,,,,412,"3,849.00",9.34,,,,,,
,,2015 - 2016,,,,,,,315,"7,560.00",24,,,,,,
,,2016 - 2017,,,,,,,319,"7,018.00",22,,,,,,
,,2017 - 2018,,,,,,,361,"7,942.00",22,,,,,,
,,2018 - 2019,,,,,,,370.5,"8,163.54",22.03,,,,,,
,,2019 - 2020,,,,,,,370.5,"8,163.54",22.03,,,,,,
,22. Indore,2001 - 2002,,,,,,,"10,653.00","1,40,019.00",13.14,,,,,,
,,2002 - 2003,,,,,,,"12,384.00","1,52,596.00",12.32,,,,,,
,,2003 - 2004,,,,,,,"13,202.00","2,12,025.00",16.06,,,,,,
,,2004 - 2005,,,,,,,"12,590.00","1,93,565.00",15.37,,,,,,
,,2005 - 2006,,,,,,,"13,266.00","1,75,748.00",13.25,,,,,,
,,2006 - 2007,,,,,,,"14,909.00","1,95,964.00",13.14,,,,,,
,,2007 - 2008,,,,,,,"18,738.00","2,69,665.00",14.39,,,,,,
,,2008 - 2009,,,,,,,"16,482.00","2,11,865.00",12.85,,,,,,
,,2009 - 2010,,,,,,,"17,280.00","2,35,280.00",13.62,,,,,,
,,2010 - 2011,,,,,,,"21,908.00","1,55,782.00",7.11,,,,,,
,,2011 - 2012,,,,,,,"21,930.00","3,11,346.00",14.2,,,,,,
,,2012 - 2013,,,,,,,"20,425.00","2,56,196.00",12.54,,,,,,
,,2013 - 2014,,,,,,,"20,124.00","2,15,885.00",10.73,,,,,,
,,2015 - 2016,,,,,,,"39,000.00","8,58,000.00",22,,,,,,
,,2016 - 2017,,,,,,,"45,400.00","10,21,500.00",22.5,,,,,,
,,2017 - 2018,,,,,,,"44,170.00","11,26,335.00",25.5,,,,,,
,,2018 - 2019,,,,,,,"47,500.00","12,11,250.00",25.5,,,,,,
,,2019 - 2020,,,,,,,"44,652.00","11,38,626.00",25.5,,,,,,
,23. Jabalpur,2001 - 2002,,,,,,,313,"4,841.00",15.47,,,,,,
,,2002 - 2003,,,,,,,338,"4,963.00",14.68,,,,,,
,,2003 - 2004,,,,,,,322,"5,265.00",16.35,,,,,,
,,2004 - 2005,,,,,,,320,"6,584.00",20.58,,,,,,
,,2005 - 2006,,,,,,,350,"6,811.00",19.46,,,,,,
,,2006 - 2007,,,,,,,395,"7,627.00",19.31,,,,,,
,,2007 - 2008,,,,,,,601,"5,772.00",9.6,,,,,,
,,2008 - 2009,,,,,,,304,"4,920.00",16.18,,,,,,
,,2009 - 2010,,,,,,,280,"3,629.00",12.96,,,,,,
,,2010 - 2011,,,,,,,305,"5,127.00",16.81,,,,,,
,,2011 - 2012,,,,,,,375,"6,888.00",18.37,,,,,,
,,2012 - 2013,,,,,,,334,"5,541.00",16.59,,,,,,
,,2013 - 2014,,,,,,,229,"3,254.00",14.21,,,,,,
,,2015 - 2016,,,,,,,"2,365.00","40,734.00",17.22,,,,,,
,,2016 - 2017,,,,,,,"2,590.91","44,625.01",17.22,,,,,,
,,2017 - 2018,,,,,,,"2,850.00","49,087.00",17.22,,,,,,
