State,District,Year,Potato,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Winter,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2010 - 2011,,,,,,,110,935,8.5,,,,,,
,,2011 - 2012,,,,,,,117,"1,043.00",8.91,,,,,,
,,2012 - 2013,,,,,,,120,"1,022.00",8.52,,,,,,
,,2013 - 2014,,,,,,,120,"1,022.00",8.52,,,,,,
,,2014 - 2015,,,,,,,33,138,4.18,,,,,,
,,2015 - 2016,,,,,,,73,392,5.37,,,,,,
,,2016 - 2017,,,,,,,73,392,5.37,,,,,,
,,2017 - 2018,,,,,,,78,444,5.69,,,,,,
,,2018 - 2019,,,,,,,82,476,5.8,,,,,,
,,2019 - 2020,,,,,,,83,484,5.83,,,,,,
,,2020 - 2021,,,,,,,83,490,5.9,,,,,,
,,2021 - 2022,,,,,,,84,496,5.9,,,,,,
,,2022 - 2023,,,,,,,86,508,5.91,,,,,,
,2. Changlang,2000 - 2001,,,,,,,755,"3,238.00",4.29,,,,,,
,,2001 - 2002,,,,,,,25,133,5.32,,,,,,
,,2002 - 2003,,,,,,,50,290,5.8,,,,,,
,,2003 - 2004,,,,,,,48,264,5.5,,,,,,
,,2004 - 2005,,,,,,,104,959,9.22,,,,,,
,,2005 - 2006,,,,,,,60,390,6.5,,,,,,
,,2006 - 2007,,,,,,,68,456,6.71,,,,,,
,,2007 - 2008,,,,,,,31,180,5.81,,,,,,
,,2008 - 2009,,,,,,,20,120,6,,,,,,
,,2009 - 2010,,,,,,,65,422,6.49,,,,,,
,,2010 - 2011,,,,,,,112,709,6.33,,,,,,
,,2011 - 2012,,,,,,,119,791,6.65,,,,,,
,,2012 - 2013,,,,,,,105,683,6.5,,,,,,
,,2013 - 2014,,,,,,,110,715,6.5,,,,,,
,,2014 - 2015,,,,,,,129,"1,101.00",8.53,,,,,,
,,2015 - 2016,,,,,,,159,"1,048.00",6.59,,,,,,
,,2016 - 2017,,,,,,,159,"1,048.00",6.59,,,,,,
,,2017 - 2018,,,,,,,164,"1,100.00",6.71,,,,,,
,,2018 - 2019,,,,,,,168,"1,132.00",6.74,,,,,,
,,2019 - 2020,,,,,,,169,"1,140.00",6.75,,,,,,
,,2020 - 2021,,,,,,,169,"1,147.00",6.79,,,,,,
,,2021 - 2022,,,,,,,172,"1,166.00",6.78,,,,,,
,,2022 - 2023,,,,,,,176,"1,194.00",6.78,,,,,,
,3. Dibang valley,2000 - 2001,,,,,,,510,"2,877.00",5.64,,,,,,
,,2001 - 2002,,,,,,,520,"3,640.00",7,,,,,,
,,2002 - 2003,,,,,,,50,325,6.5,,,,,,
,,2003 - 2004,,,,,,,92,644,7,,,,,,
,,2004 - 2005,,,,,,,55,326,5.93,,,,,,
,,2005 - 2006,,,,,,,40,280,7,,,,,,
,,2006 - 2007,,,,,,,53,333,6.28,,,,,,
,,2007 - 2008,,,,,,,45,268,5.96,,,,,,
,,2008 - 2009,,,,,,,48,305,6.35,,,,,,
,,2009 - 2010,,,,,,,48,305,6.35,,,,,,
,,2010 - 2011,,,,,,,100,550,5.5,,,,,,
,,2011 - 2012,,,,,,,106,614,5.79,,,,,,
,,2012 - 2013,,,,,,,110,645,5.86,,,,,,
,,2013 - 2014,,,,,,,113,682,6.04,,,,,,
,,2014 - 2015,,,,,,,122,761,6.24,,,,,,
,,2015 - 2016,,,,,,,162,891,5.5,,,,,,
,,2016 - 2017,,,,,,,162,891,5.5,,,,,,
,,2017 - 2018,,,,,,,167,943,5.65,,,,,,
,,2018 - 2019,,,,,,,171,925,5.41,,,,,,
,,2019 - 2020,,,,,,,172,983,5.72,,,,,,
,,2020 - 2021,,,,,,,172,990,5.76,,,,,,
,,2021 - 2022,,,,,,,176,"1,013.00",5.76,,,,,,
,,2022 - 2023,,,,,,,179,"1,031.00",5.76,,,,,,
,4. East kameng,2000 - 2001,,,,,,,74,340,4.59,,,,,,
,,2001 - 2002,,,,,,,63,366,5.81,,,,,,
,,2002 - 2003,,,,,,,70,410,5.86,,,,,,
,,2003 - 2004,,,,,,,70,410,5.86,,,,,,
,,2005 - 2006,,,,,,,95,556,5.85,,,,,,
,,2006 - 2007,,,,,,,90,522,5.8,,,,,,
,,2007 - 2008,,,,,,,90,581,6.46,,,,,,
,,2008 - 2009,,,,,,,94,614,6.53,,,,,,
,,2009 - 2010,,,,,,,95,622,6.55,,,,,,
,,2010 - 2011,,,,,,,97,637,6.57,,,,,,
,,2011 - 2012,,,,,,,103,711,6.9,,,,,,
,,2012 - 2013,,,,,,,103,710,6.89,,,,,,
,,2013 - 2014,,,,,,,110,770,7,,,,,,
,,2014 - 2015,,,,,,,119,849,7.13,,,,,,
,,2015 - 2016,,,,,,,159,979,6.16,,,,,,
,,2016 - 2017,,,,,,,159,979,6.16,,,,,,
,,2017 - 2018,,,,,,,164,"1,031.00",6.29,,,,,,
,,2018 - 2019,,,,,,,168,"1,063.00",6.33,,,,,,
,,2019 - 2020,,,,,,,118,750,6.36,,,,,,
,,2020 - 2021,,,,,,,118,756,6.41,,,,,,
,,2021 - 2022,,,,,,,121,776,6.41,,,,,,
,,2022 - 2023,,,,,,,126,808,6.41,,,,,,
,5. East siang,2000 - 2001,,,,,,,500,"4,270.00",8.54,,,,,,
,,2001 - 2002,,,,,,,530,"4,400.00",8.3,,,,,,
,,2002 - 2003,,,,,,,570,"4,640.00",8.14,,,,,,
,,2003 - 2004,,,,,,,620,"5,090.00",8.21,,,,,,
,,2004 - 2005,,,,,,,520,"4,163.00",8.01,,,,,,
,,2005 - 2006,,,,,,,676,"4,833.00",7.15,,,,,,
,,2006 - 2007,,,,,,,676,"4,833.00",7.15,,,,,,
,,2007 - 2008,,,,,,,685,"4,899.00",7.15,,,,,,
,,2008 - 2009,,,,,,,707,"5,719.00",8.09,,,,,,
,,2009 - 2010,,,,,,,707,"5,719.00",8.09,,,,,,
,,2010 - 2011,,,,,,,742,"6,105.00",8.23,,,,,,
,,2011 - 2012,,,,,,,787,"6,815.00",8.66,,,,,,
,,2012 - 2013,,,,,,,875,"5,675.00",6.49,,,,,,
,,2013 - 2014,,,,,,,930,"5,975.00",6.42,,,,,,
,,2014 - 2015,,,,,,,944,"6,054.00",6.41,,,,,,
,,2015 - 2016,,,,,,,701,"4,468.00",6.37,,,,,,
,,2016 - 2017,,,,,,,701,"4,468.00",6.37,,,,,,
,,2017 - 2018,,,,,,,706,"4,536.00",6.42,,,,,,
,,2018 - 2019,,,,,,,484,"3,129.00",6.46,,,,,,
,,2019 - 2020,,,,,,,485,"3,137.00",6.47,,,,,,
,,2020 - 2021,,,,,,,485,"3,148.00",6.49,,,,,,
,,2021 - 2022,,,,,,,499,"3,439.00",6.89,,,,,,
,,2022 - 2023,,,,,,,509,"3,511.00",6.9,,,,,,
,6. Kamle,2018 - 2019,,,,,,,176,"1,432.00",8.14,,,,,,
,,2019 - 2020,,,,,,,177,"1,440.00",8.14,,,,,,
,,2020 - 2021,,,,,,,177,"1,447.00",8.18,,,,,,
,,2021 - 2022,,,,,,,180,"1,465.00",8.14,,,,,,
,,2022 - 2023,,,,,,,183,"1,490.00",8.14,,,,,,
,7. Kra daadi,2015 - 2016,,,,,,,100,350,3.5,,,,,,
,,2016 - 2017,,,,,,,100,150,1.5,,,,,,
,,2017 - 2018,,,,,,,105,202,1.92,,,,,,
,,2018 - 2019,,,,,,,109,234,2.15,,,,,,
,,2019 - 2020,,,,,,,110,242,2.2,,,,,,
,,2020 - 2021,,,,,,,110,247,2.25,,,,,,
,,2021 - 2022,,,,,,,113,254,2.25,,,,,,
,,2022 - 2023,,,,,,,117,263,2.25,,,,,,
,8. Kurung kumey,2002 - 2003,,,,,,,215,"1,540.00",7.16,,,,,,
,,2003 - 2004,,,,,,,230,"1,635.00",7.11,,,,,,
,,2004 - 2005,,,,,,,279,"2,784.00",9.98,,,,,,
,,2006 - 2007,,,,,,,292,"2,266.00",7.76,,,,,,
,,2007 - 2008,,,,,,,25,15,0.6,,,,,,
,,2008 - 2009,,,,,,,25,15,0.6,,,,,,
,,2009 - 2010,,,,,,,25,15,0.6,,,,,,
,,2010 - 2011,,,,,,,25,17,0.68,,,,,,
,,2011 - 2012,,,,,,,26,19,0.73,,,,,,
,,2012 - 2013,,,,,,,27,23,0.85,,,,,,
,,2013 - 2014,,,,,,,14,119,8.5,,,,,,
,,2014 - 2015,,,,,,,20,191,9.55,,,,,,
,,2015 - 2016,,,,,,,80,230,2.88,,,,,,
,,2016 - 2017,,,,,,,80,230,2.88,,,,,,
,,2017 - 2018,,,,,,,85,282,3.32,,,,,,
,,2018 - 2019,,,,,,,89,314,3.53,,,,,,
,,2019 - 2020,,,,,,,90,322,3.58,,,,,,
,,2020 - 2021,,,,,,,90,327,3.63,,,,,,
