State,District,Year,Groundnut,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Autumn,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,,,,"1,100.00",600,0.55,"6,800.00","10,400.00",1.53,,,,,,,,,
,,2016 - 2017,,,,"1,200.00","1,200.00",1,"3,400.00","4,900.00",1.44,,,,,,,,,
,,2017 - 2018,,,,"1,500.00","1,800.00",1.2,"1,866.00","2,200.00",1.18,,,,,,,,,
,,2018 - 2019,,,,834,347,0.42,"1,110.00","1,120.00",1.01,,,,,,,,,
,,2019 - 2020,,,,670,222,0.33,"1,762.00","2,928.00",1.66,,,,,,,,,
,,2020 - 2021,,,,670,609.16,0.91,"1,290.88","1,185.00",0.92,,,,,,,,,
,,2021 - 2022,,,,644.66,"1,210.94",1.88,"1,187.82","1,026.46",0.86,,,,,,,,,
,,2022 - 2023,,,,601.41,293.67,0.49,"1,456.00",728,0.5,,,,,,,,,
,4. Beed,2000 - 2001,,,,"14,500.00","8,400.00",0.58,"3,500.00","3,100.00",0.89,,,,,,,,,
,,2001 - 2002,,,,"9,800.00","4,700.00",0.48,"2,600.00","2,400.00",0.92,,,,,,,,,
,,2002 - 2003,,,,"9,300.00","4,700.00",0.51,"1,900.00","1,800.00",0.95,,,,,,,,,
,,2003 - 2004,,,,"9,300.00","3,600.00",0.39,600,800,1.33,,,,,,,,,
,,2004 - 2005,,,,"7,400.00","4,100.00",0.55,"1,500.00","1,700.00",1.13,,,,,,,,,
,,2005 - 2006,,,,"8,000.00","4,600.00",0.58,"3,700.00","2,900.00",0.78,,,,,,,,,
,,2006 - 2007,,,,"8,500.00","5,000.00",0.59,"3,100.00","3,000.00",0.97,,,,,,,,,
,,2007 - 2008,,,,"7,800.00","4,700.00",0.6,"2,300.00","2,400.00",1.04,,,,,,,,,
,,2008 - 2009,,,,"6,000.00","3,200.00",0.53,"3,400.00","3,100.00",0.91,,,,,,,,,
,,2009 - 2010,,,,"5,900.00","3,700.00",0.63,"3,900.00","3,500.00",0.9,,,,,,,,,
,,2010 - 2011,,,,"4,900.00","3,000.00",0.61,"4,400.00","4,200.00",0.95,,,,,,,,,
,,2011 - 2012,,,,"3,700.00","2,500.00",0.68,"4,200.00","4,800.00",1.14,,,,,,,,,
,,2012 - 2013,,,,"3,700.00","1,700.00",0.46,"1,400.00","1,300.00",0.93,,,,,,,,,
,,2013 - 2014,,,,"5,900.00","5,000.00",0.85,"1,800.00","2,000.00",1.11,,,,,,,,,
,,2014 - 2015,,,,"10,800.00","2,600.00",0.24,"1,600.00","1,000.00",0.63,,,,,,,,,
,,2015 - 2016,,,,"17,500.00",500,0.03,900,400,0.44,,,,,,,,,
,,2016 - 2017,,,,"26,400.00","8,840.00",0.33,"2,100.00","2,300.00",1.1,,,,,,,,,
,,2017 - 2018,,,,"29,600.00","15,450.00",0.52,"2,060.00","2,000.00",0.97,,,,,,,,,
,,2018 - 2019,,,,"4,024.00",676,0.17,,,,,,,,,,,,
,,2019 - 2020,,,,"4,519.00","1,993.00",0.44,"2,415.00","2,809.00",1.16,,,,,,,,,
,,2020 - 2021,,,,"4,207.44","3,899.30",0.93,"2,415.00","3,166.30",1.31,,,,,,,,,
,,2021 - 2022,,,,"3,985.48","2,234.66",0.56,"2,415.00","2,925.77",1.21,,,,,,,,,
,,2022 - 2023,,,,"2,441.00","2,948.24",1.21,"3,736.00","5,710.00",1.53,,,,,,,,,
,5. Bhandara,2000 - 2001,,,,100,100,1,200,400,2,,,,,,,,,
,,2002 - 2003,,,,200,100,0.5,100,100,1,,,,,,,,,
,,2003 - 2004,,,,100,100,1,100,100,1,,,,,,,,,
,,2004 - 2005,,,,100,100,1,100,100,1,,,,,,,,,
,,2005 - 2006,,,,,,,200,100,0.5,,,,,,,,,
,,2006 - 2007,,,,100,100,1,200,200,1,,,,,,,,,
,,2007 - 2008,,,,,,,200,100,0.5,,,,,,,,,
,,2008 - 2009,,,,,,,100,100,1,,,,,,,,,
,,2010 - 2011,,,,,,,100,100,1,,,,,,,,,
,,2011 - 2012,,,,,,,100,40,0.4,,,,,,,,,
,,2012 - 2013,,,,,,,100,100,1,,,,,,,,,
,,2013 - 2014,,,,,,,100,100,1,,,,,,,,,
,,2016 - 2017,,,,,,,10,5,0.5,,,,,,,,,
,,2017 - 2018,,,,,,,5,2,0.4,,,,,,,,,
,,2018 - 2019,,,,,,,5,8,1.6,,,,,,,,,
,,2021 - 2022,,,,,,,7,13.19,1.88,,,,,,,,,
,,2022 - 2023,,,,,,,11,17,1.55,,,,,,,,,
,6. Buldhana,2000 - 2001,,,,"4,600.00","1,600.00",0.35,"2,300.00","1,900.00",0.83,,,,,,,,,
,,2001 - 2002,,,,"2,700.00","1,600.00",0.59,600,600,1,,,,,,,,,
,,2002 - 2003,,,,"1,400.00",900,0.64,700,800,1.14,,,,,,,,,
,,2003 - 2004,,,,700,600,0.86,400,400,1,,,,,,,,,
,,2004 - 2005,,,,400,200,0.5,200,100,0.5,,,,,,,,,
,,2005 - 2006,,,,300,200,0.67,100,100,1,,,,,,,,,
,,2006 - 2007,,,,600,400,0.67,"1,100.00","1,300.00",1.18,,,,,,,,,
,,2007 - 2008,,,,600,500,0.83,"1,000.00","1,500.00",1.5,,,,,,,,,
,,2008 - 2009,,,,400,100,0.25,"1,600.00","1,400.00",0.88,,,,,,,,,
,,2009 - 2010,,,,,,,500,600,1.2,,,,,,,,,
,,2010 - 2011,,,,200,200,1,700,800,1.14,,,,,,,,,
,,2011 - 2012,,,,400,400,1,"1,100.00","1,900.00",1.73,,,,,,,,,
,,2012 - 2013,,,,300,300,1,900,"1,300.00",1.44,,,,,,,,,
,,2013 - 2014,,,,300,400,1.33,"2,300.00","3,700.00",1.61,,,,,,,,,
,,2014 - 2015,,,,"1,100.00",600,0.55,"2,700.00","3,500.00",1.3,,,,,,,,,
,,2015 - 2016,,,,"1,000.00",500,0.5,"2,800.00","2,600.00",0.93,,,,,,,,,
,,2016 - 2017,,,,970,900,0.93,"4,100.00","4,800.00",1.17,,,,,,,,,
,,2017 - 2018,,,,"1,250.00","1,500.00",1.2,974,"1,500.00",1.54,,,,,,,,,
,,2018 - 2019,,,,"1,277.00","1,206.00",0.94,330,330,1,,,,,,,,,
,,2019 - 2020,,,,"1,436.00","1,226.00",0.85,"5,334.00","10,459.00",1.96,,,,,,,,,
,,2020 - 2021,,,,"1,583.89","1,440.07",0.91,"5,334.00","10,404.50",1.95,,,,,,,,,
,,2021 - 2022,,,,"1,640.27","1,679.31",1.02,"5,313.29","7,521.56",1.42,,,,,,,,,
,,2022 - 2023,,,,603.66,952.58,1.58,"4,251.00","6,613.00",1.56,,,,,,,,,
,7. Chandrapur,2000 - 2001,,,,,,,100,200,2,,,,,,,,,
,,2001 - 2002,,,,,,,100,100,1,,,,,,,,,
,,2002 - 2003,,,,,,,100,200,2,,,,,,,,,
,,2004 - 2005,,,,,,,100,100,1,,,,,,,,,
,,2005 - 2006,,,,,,,100,100,1,,,,,,,,,
,,2006 - 2007,,,,,,,100,100,1,,,,,,,,,
,,2007 - 2008,,,,,,,200,200,1,,,,,,,,,
,,2008 - 2009,,,,,,,100,100,1,,,,,,,,,
,,2009 - 2010,,,,,,,100,100,1,,,,,,,,,
,,2012 - 2013,,,,,,,10,20,2,,,,,,,,,
,,2015 - 2016,,,,,,,10,16,1.6,,,,,,,,,
,,2016 - 2017,,,,,,,100,60,0.6,,,,,,,,,
,,2017 - 2018,,,,,,,29,34,1.17,,,,,,,,,
,,2018 - 2019,,,,,,,10,10,1,,,,,,,,,
,,2019 - 2020,,,,,,,98,74,0.76,,,,,,,,,
,,2020 - 2021,,,,,,,98,49.88,0.51,,,,,,,,,
,,2021 - 2022,,,,,,,98,193.36,1.97,,,,,,,,,
,,2022 - 2023,,,,,,,294,557,1.89,,,,,,,,,
,8. Chhatrapati Sambhajinagar,2000 - 2001,,,,"12,100.00","5,600.00",0.46,500,500,1,,,,,,,,,
,,2001 - 2002,,,,"5,500.00","2,300.00",0.42,400,500,1.25,,,,,,,,,
,,2002 - 2003,,,,"8,200.00","5,800.00",0.71,200,400,2,,,,,,,,,
,,2003 - 2004,,,,"8,900.00","4,400.00",0.49,100,100,1,,,,,,,,,
,,2004 - 2005,,,,"8,500.00","5,800.00",0.68,100,100,1,,,,,,,,,
,,2005 - 2006,,,,"7,500.00","4,500.00",0.6,200,300,1.5,,,,,,,,,
,,2006 - 2007,,,,"8,600.00","6,500.00",0.76,300,300,1,,,,,,,,,
,,2007 - 2008,,,,"8,600.00","8,700.00",1.01,500,300,0.6,,,,,,,,,
,,2008 - 2009,,,,"3,600.00","3,100.00",0.86,300,200,0.67,,,,,,,,,
,,2009 - 2010,,,,"4,400.00","4,000.00",0.91,200,100,0.5,,,,,,,,,
,,2010 - 2011,,,,"5,900.00","4,900.00",0.83,200,300,1.5,,,,,,,,,
,,2011 - 2012,,,,"5,600.00","4,500.00",0.8,200,200,1,,,,,,,,,
,,2012 - 2013,,,,"5,600.00","3,000.00",0.54,,,,,,,,,,,,
,,2013 - 2014,,,,"4,500.00","5,300.00",1.18,,,,,,,,,,,,
,,2014 - 2015,,,,"4,100.00",900,0.22,,,,,,,,,,,,
,,2015 - 2016,,,,"4,500.00","1,750.00",0.39,10,2,0.2,,,,,,,,,
,,2016 - 2017,,,,"6,500.00","5,800.00",0.89,300,300,1,,,,,,,,,
,,2017 - 2018,,,,"7,000.00","5,100.00",0.73,442,300,0.68,,,,,,,,,
,,2018 - 2019,,,,"8,907.00","3,662.00",0.41,5,4,0.8,,,,,,,,,
,,2019 - 2020,,,,"9,470.00","9,263.00",0.98,868,694,0.8,,,,,,,,,
,,2020 - 2021,,,,"9,722.72","4,261.19",0.44,"1,302.00","1,707.05",1.31,,,,,,,,,
,,2021 - 2022,,,,"9,722.72","5,850.16",0.6,"1,302.00","1,577.37",1.21,,,,,,,,,
,,2022 - 2023,,,,"5,954.93","6,580.36",1.11,781,"1,194.00",1.53,,,,,,,,,
,9. Dharashiv,2000 - 2001,,,,"10,700.00","4,900.00",0.46,"4,000.00","4,400.00",1.1,,,,,,,,,
,,2001 - 2002,,,,"8,600.00","2,900.00",0.34,700,700,1,,,,,,,,,
,,2002 - 2003,,,,"7,900.00","3,700.00",0.47,500,800,1.6,,,,,,,,,
,,2003 - 2004,,,,"7,800.00","2,100.00",0.27,100,100,1,,,,,,,,,
,,2004 - 2005,,,,"7,800.00","3,600.00",0.46,"1,900.00","3,100.00",1.63,,,,,,,,,
,,2005 - 2006,,,,"7,100.00","4,100.00",0.58,"7,000.00","8,900.00",1.27,,,,,,,,,
,,2006 - 2007,,,,"8,000.00","5,300.00",0.66,"7,900.00","8,400.00",1.06,,,,,,,,,
,,2007 - 2008,,,,"7,100.00","4,000.00",0.56,"2,500.00","2,800.00",1.12,,,,,,,,,
,,2008 - 2009,,,,"9,900.00","5,100.00",0.52,"1,600.00","2,100.00",1.31,,,,,,,,,
,,2009 - 2010,,,,"10,700.00","5,400.00",0.5,"1,000.00","1,000.00",1,,,,,,,,,
,,2010 - 2011,,,,"9,200.00","6,100.00",0.66,"1,300.00","1,400.00",1.08,,,,,,,,,
,,2011 - 2012,,,,"7,400.00","4,700.00",0.64,"1,300.00",700,0.54,,,,,,,,,
,,2012 - 2013,,,,"7,300.00","2,600.00",0.36,"1,000.00",400,0.4,,,,,,,,,
,,2013 - 2014,,,,"7,100.00","6,200.00",0.87,"2,000.00","2,300.00",1.15,,,,,,,,,
,,2014 - 2015,,,,"7,100.00","1,900.00",0.27,"1,900.00",800,0.42,,,,,,,,,
,,2015 - 2016,,,,"4,500.00",800,0.18,"1,100.00",400,0.36,,,,,,,,,
,,2016 - 2017,,,,"3,700.00","1,200.00",0.32,"1,800.00","1,700.00",0.94,,,,,,,,,
,,2017 - 2018,,,,"4,807.00","3,000.00",0.62,"1,563.00","1,300.00",0.83,,,,,,,,,
,,2018 - 2019,,,,"4,282.00","2,283.00",0.53,98,80,0.82,,,,,,,,,
,,2019 - 2020,,,,"3,924.00","2,107.00",0.54,"2,001.00","1,903.00",0.95,,,,,,,,,
,,2020 - 2021,,,,"4,034.95","1,476.53",0.37,"2,479.01","3,670.76",1.48,,,,,,,,,
,,2021 - 2022,,,,"4,187.26","3,701.95",0.88,"2,992.97","4,198.90",1.4,,,,,,,,,
,,2022 - 2023,,,,"1,263.62",956.06,0.76,"2,394.00","2,826.00",1.18,,,,,,,,,
,10. Dhule,2000 - 2001,,,,"38,100.00","8,200.00",0.22,900,"1,000.00",1.11,,,,,,,,,
,,2001 - 2002,,,,"33,000.00","21,300.00",0.65,"5,400.00","8,400.00",1.56,,,,,,,,,
,,2002 - 2003,,,,"33,100.00","19,600.00",0.59,"6,300.00","7,800.00",1.24,,,,,,,,,
,,2003 - 2004,,,,"31,600.00","32,700.00",1.03,"6,300.00","7,100.00",1.13,,,,,,,,,
,,2004 - 2005,,,,"29,500.00","25,000.00",0.85,"8,000.00","11,000.00",1.38,,,,,,,,,
,,2005 - 2006,,,,"29,400.00","18,300.00",0.62,"3,500.00","3,600.00",1.03,,,,,,,,,
,,2006 - 2007,,,,"32,000.00","21,300.00",0.67,"5,600.00","6,500.00",1.16,,,,,,,,,
,,2007 - 2008,,,,"35,700.00","29,400.00",0.82,"10,900.00","16,100.00",1.48,,,,,,,,,
,,2008 - 2009,,,,"23,100.00","8,500.00",0.37,"1,800.00","2,300.00",1.28,,,,,,,,,
,,2009 - 2010,,,,"21,600.00","16,700.00",0.77,"2,400.00","3,800.00",1.58,,,,,,,,,
,,2010 - 2011,,,,"21,100.00","27,900.00",1.32,"5,200.00","8,500.00",1.63,,,,,,,,,
,,2011 - 2012,,,,"14,600.00","11,700.00",0.8,"5,200.00","7,200.00",1.38,,,,,,,,,
,,2012 - 2013,,,,"15,100.00","10,700.00",0.71,"5,100.00","7,500.00",1.47,,,,,,,,,
,,2013 - 2014,,,,"14,800.00","14,100.00",0.95,"5,100.00","9,600.00",1.88,,,,,,,,,
,,2014 - 2015,,,,"15,100.00","9,100.00",0.6,"5,200.00","8,500.00",1.63,,,,,,,,,
,,2015 - 2016,,,,"21,000.00","10,000.00",0.48,"4,700.00","5,000.00",1.06,,,,,,,,,
,,2016 - 2017,,,,"16,500.00","11,500.00",0.7,"2,100.00","2,730.00",1.3,,,,,,,,,
,,2017 - 2018,,,,"15,200.00","17,600.00",1.16,"3,512.00","3,770.00",1.07,,,,,,,,,
,,2018 - 2019,,,,"17,220.00","8,665.00",0.5,"1,370.00","1,090.00",0.8,,,,,,,,,
,,2019 - 2020,,,,"20,321.00","11,813.00",0.58,"2,111.00","3,583.00",1.7,,,,,,,,,
,,2020 - 2021,,,,"20,636.91","13,552.46",0.66,"2,522.95","2,559.30",1.01,,,,,,,,,
,,2021 - 2022,,,,"20,311.41","11,660.78",0.57,"3,486.17","2,940.42",0.84,,,,,,,,,
,,2022 - 2023,,,,"9,662.07","9,495.88",0.98,"2,789.00","2,881.00",1.03,,,,,,,,,
,11. Gadchiroli,2003 - 2004,,,,,,,100,100,1,,,,,,,,,
,,2012 - 2013,,,,,,,10,20,2,,,,,,,,,
,,2016 - 2017,,,,10,17,1.7,,,,,,,,,,,,
,,2017 - 2018,,,,,,,1,1,1,,,,,,,,,
,,2019 - 2020,,,,35,8,0.23,1,2,2,,,,,,,,,
,,2020 - 2021,,,,,,,1,1.49,1.49,,,,,,,,,
,,2021 - 2022,,,,12.05,13.3,1.1,5,10.01,2,,,,,,,,,
,,2022 - 2023,,,,4,2.62,0.65,,,,,,,,,,,,
,12. Gondia,2001 - 2002,,,,,,,100,100,1,,,,,,,,,
,,2019 - 2020,,,,2,0.5,0.25,5,,0,,,,,,,,,
,,2020 - 2021,,,,2,1.82,0.91,,,,,,,,,,,,
,,2021 - 2022,,,,2,2.21,1.1,9,16.95,1.88,,,,,,,,,
,13. Hingoli,2000 - 2001,,,,,,,"3,900.00","3,400.00",0.87,,,,,,,,,
,,2001 - 2002,,,,,,,"4,200.00","5,700.00",1.36,,,,,,,,,
,,2002 - 2003,,,,200,100,0.5,"5,100.00","6,600.00",1.29,,,,,,,,,
,,2003 - 2004,,,,400,100,0.25,"2,700.00","3,200.00",1.19,,,,,,,,,
,,2004 - 2005,,,,300,100,0.33,500,500,1,,,,,,,,,
,,2005 - 2006,,,,,,,"8,200.00","10,200.00",1.24,,,,,,,,,
,,2006 - 2007,,,,,,,"9,700.00","10,600.00",1.09,,,,,,,,,
,,2007 - 2008,,,,,,,"1,800.00","2,400.00",1.33,,,,,,,,,
,,2008 - 2009,,,,,,,700,700,1,,,,,,,,,
,,2009 - 2010,,,,,,,700,600,0.86,,,,,,,,,
,,2010 - 2011,,,,,,,"3,000.00","2,600.00",0.87,,,,,,,,,
,,2011 - 2012,,,,100,40,0.4,"3,400.00","2,800.00",0.82,,,,,,,,,
,,2012 - 2013,,,,,,,"1,100.00","1,200.00",1.09,,,,,,,,,
,,2013 - 2014,,,,,,,"3,900.00","3,900.00",1,,,,,,,,,
,,2014 - 2015,,,,,,,"4,400.00","4,200.00",0.95,,,,,,,,,
,,2015 - 2016,,,,,,,"4,400.00","2,500.00",0.57,,,,,,,,,
,,2016 - 2017,,,,200,100,0.5,"1,900.00","2,100.00",1.11,,,,,,,,,
,,2017 - 2018,,,,284,800,2.82,804,700,0.87,,,,,,,,,
,,2018 - 2019,,,,538,259.2,0.48,225,190,0.84,,,,,,,,,
,,2019 - 2020,,,,664,321,0.48,559,"1,291.00",2.31,,,,,,,,,
,,2020 - 2021,,,,578.95,261.92,0.45,728.07,777.8,1.07,,,,,,,,,
,,2021 - 2022,,,,578.95,425.88,0.74,651.58,838.14,1.29,,,,,,,,,
,,2022 - 2023,,,,,,,"4,887.00","5,885.00",1.2,,,,,,,,,
,14. Jalgaon,2000 - 2001,,,,"6,900.00","2,500.00",0.36,"4,400.00","3,800.00",0.86,,,,,,,,,
,,2001 - 2002,,,,"5,800.00","3,400.00",0.59,"1,900.00","2,200.00",1.16,,,,,,,,,
,,2002 - 2003,,,,"5,700.00","5,000.00",0.88,"2,600.00","3,500.00",1.35,,,,,,,,,
,,2003 - 2004,,,,"5,200.00","4,800.00",0.92,"3,500.00","4,300.00",1.23,,,,,,,,,
,,2004 - 2005,,,,"4,900.00","3,800.00",0.78,"2,900.00","3,900.00",1.34,,,,,,,,,
,,2005 - 2006,,,,"3,800.00","3,100.00",0.82,"1,800.00","2,900.00",1.61,,,,,,,,,
,,2006 - 2007,,,,"3,300.00","3,000.00",0.91,"2,300.00","3,700.00",1.61,,,,,,,,,
,,2007 - 2008,,,,"3,400.00","2,800.00",0.82,"4,400.00","5,600.00",1.27,,,,,,,,,
,,2008 - 2009,,,,"1,300.00","1,000.00",0.77,"3,600.00","4,700.00",1.31,,,,,,,,,
,,2009 - 2010,,,,"1,400.00","1,500.00",1.07,"4,600.00","7,500.00",1.63,,,,,,,,,
,,2010 - 2011,,,,"1,900.00","2,400.00",1.26,"2,000.00","3,100.00",1.55,,,,,,,,,
,,2011 - 2012,,,,"1,500.00","2,000.00",1.33,"2,000.00","3,000.00",1.5,,,,,,,,,
,,2012 - 2013,,,,"1,100.00","1,000.00",0.91,"1,800.00","2,700.00",1.5,,,,,,,,,
,,2013 - 2014,,,,"1,100.00","1,300.00",1.18,"2,000.00","2,300.00",1.15,,,,,,,,,
,,2014 - 2015,,,,"2,400.00","2,100.00",0.88,"2,400.00","3,100.00",1.29,,,,,,,,,
,,2015 - 2016,,,,"2,600.00","1,200.00",0.46,"1,900.00","2,000.00",1.05,,,,,,,,,
,,2016 - 2017,,,,"2,700.00","3,600.00",1.33,"2,200.00","3,200.00",1.45,,,,,,,,,
,,2017 - 2018,,,,"3,000.00","3,100.00",1.03,"2,054.00","2,500.00",1.22,,,,,,,,,
,,2018 - 2019,,,,"3,395.00","2,413.00",0.71,410,510,1.24,,,,,,,,,
,,2019 - 2020,,,,"3,457.00","2,570.00",0.74,"1,058.00","2,445.00",2.31,,,,,,,,,
,,2020 - 2021,,,,"3,524.95","3,481.95",0.99,"1,308.95","2,350.08",1.8,,,,,,,,,
,,2021 - 2022,,,,"3,280.23","2,309.61",0.7,"1,471.41","2,472.98",1.68,,,,,,,,,
,,2022 - 2023,,,,"3,506.88","2,933.51",0.84,"2,595.00","4,306.00",1.66,,,,,,,,,
,15. Jalna,2000 - 2001,,,,"2,000.00","1,000.00",0.5,"1,400.00","1,400.00",1,,,,,,,,,
,,2001 - 2002,,,,"1,600.00",700,0.44,700,900,1.29,,,,,,,,,
,,2002 - 2003,,,,"1,200.00","1,000.00",0.83,100,100,1,,,,,,,,,
,,2003 - 2004,,,,"1,100.00",800,0.73,100,100,1,,,,,,,,,
,,2004 - 2005,,,,"1,200.00","1,000.00",0.83,"1,500.00","1,200.00",0.8,,,,,,,,,
,,2005 - 2006,,,,"1,200.00",900,0.75,"1,500.00","1,800.00",1.2,,,,,,,,,
,,2006 - 2007,,,,"1,200.00",800,0.67,700,600,0.86,,,,,,,,,
,,2007 - 2008,,,,"1,200.00",900,0.75,100,100,1,,,,,,,,,
,,2008 - 2009,,,,600,300,0.5,200,200,1,,,,,,,,,
,,2009 - 2010,,,,600,500,0.83,100,100,1,,,,,,,,,
,,2010 - 2011,,,,500,400,0.8,100,100,1,,,,,,,,,
,,2011 - 2012,,,,300,200,0.67,100,100,1,,,,,,,,,
,,2012 - 2013,,,,200,100,0.5,200,200,1,,,,,,,,,
,,2013 - 2014,,,,200,170,0.85,800,500,0.63,,,,,,,,,
,,2014 - 2015,,,,800,300,0.38,,,,,,,,,,,,
,,2015 - 2016,,,,900,300,0.33,400,200,0.5,,,,,,,,,
,,2016 - 2017,,,,900,500,0.56,200,300,1.5,,,,,,,,,
,,2017 - 2018,,,,"1,286.00",700,0.54,272,300,1.1,,,,,,,,,
,,2018 - 2019,,,,910,"1,199.00",1.32,255,210,0.82,,,,,,,,,
,,2019 - 2020,,,,"1,027.00","2,406.00",2.34,"2,019.00","2,019.00",1,,,,,,,,,
,,2020 - 2021,,,,"1,228.40","1,101.61",0.9,"2,019.00","2,647.11",1.31,,,,,,,,,
,,2021 - 2022,,,,"1,560.09","1,078.65",0.69,"2,019.00","2,446.02",1.21,,,,,,,,,
,,2022 - 2023,,,,"1,554.88","1,467.34",0.94,808,"1,234.00",1.53,,,,,,,,,
,16. Kolhapur,2000 - 2001,,,,"65,700.00","98,900.00",1.51,"2,300.00","6,900.00",3,,,,,,,,,
,,2001 - 2002,,,,"66,900.00","1,32,400.00",1.98,"2,400.00","5,400.00",2.25,,,,,,,,,
,,2002 - 2003,,,,"65,200.00","1,03,000.00",1.58,"2,800.00","7,600.00",2.71,,,,,,,,,
,,2003 - 2004,,,,"63,700.00","1,08,500.00",1.7,"2,800.00","7,500.00",2.68,,,,,,,,,
,,2004 - 2005,,,,"66,000.00","1,09,500.00",1.66,"3,000.00","7,200.00",2.4,,,,,,,,,
,,2005 - 2006,,,,"64,300.00","77,900.00",1.21,"2,700.00","7,200.00",2.67,,,,,,,,,
,,2006 - 2007,,,,"59,100.00","58,900.00",1,"2,500.00","6,700.00",2.68,,,,,,,,,
,,2007 - 2008,,,,"56,100.00","91,300.00",1.63,"2,500.00","6,300.00",2.52,,,,,,,,,
,,2008 - 2009,,,,"57,400.00","82,200.00",1.43,"3,100.00","8,000.00",2.58,,,,,,,,,
,,2009 - 2010,,,,"58,200.00","79,800.00",1.37,"2,500.00","6,300.00",2.52,,,,,,,,,
,,2010 - 2011,,,,"58,300.00","88,400.00",1.52,"2,100.00","3,700.00",1.76,,,,,,,,,
,,2011 - 2012,,,,"49,500.00","62,800.00",1.27,"2,000.00","4,900.00",2.45,,,,,,,,,
,,2012 - 2013,,,,"50,400.00","68,400.00",1.36,"2,200.00","4,800.00",2.18,,,,,,,,,
,,2013 - 2014,,,,"51,000.00","89,000.00",1.75,"2,600.00","6,100.00",2.35,,,,,,,,,
,,2014 - 2015,,,,"51,300.00","77,700.00",1.51,"3,100.00","6,400.00",2.06,,,,,,,,,
,,2015 - 2016,,,,"53,700.00","85,100.00",1.58,"2,600.00","4,800.00",1.85,,,,,,,,,
,,2016 - 2017,,,,"48,000.00","90,200.00",1.88,900,"2,500.00",2.78,,,,,,,,,
,,2017 - 2018,,,,"53,800.00","80,700.00",1.5,700,"1,700.00",2.43,,,,,,,,,
,,2018 - 2019,,,,"42,203.00","60,741.00",1.44,700,"1,670.00",2.39,,,,,,,,,
,,2019 - 2020,,,,"41,175.00","48,965.00",1.19,911,"2,049.00",2.25,,,,,,,,,
,,2020 - 2021,,,,"39,561.16","55,553.11",1.4,"1,124.12","2,622.08",2.33,,,,,,,,,
,,2021 - 2022,,,,"42,143.39","71,597.41",1.7,"1,240.41","2,212.06",1.78,,,,,,,,,
,,2022 - 2023,,,,"35,995.56","51,754.42",1.44,992,"1,707.00",1.72,,,,,,,,,
,17. Latur,2000 - 2001,,,,"15,700.00","7,300.00",0.46,800,600,0.75,,,,,,,,,
,,2001 - 2002,,,,"14,200.00","4,900.00",0.35,400,400,1,,,,,,,,,
,,2002 - 2003,,,,"13,800.00","5,000.00",0.36,200,100,0.5,,,,,,,,,
,,2003 - 2004,,,,"12,400.00","2,400.00",0.19,200,100,0.5,,,,,,,,,
,,2004 - 2005,,,,"12,600.00","3,700.00",0.29,300,300,1,,,,,,,,,
,,2005 - 2006,,,,"11,300.00","6,600.00",0.58,800,900,1.13,,,,,,,,,
,,2006 - 2007,,,,"10,400.00","5,400.00",0.52,800,400,0.5,,,,,,,,,
,,2007 - 2008,,,,"8,800.00","5,900.00",0.67,800,700,0.88,,,,,,,,,
,,2008 - 2009,,,,"3,000.00","1,400.00",0.47,800,700,0.88,,,,,,,,,
,,2009 - 2010,,,,"2,400.00",800,0.33,300,300,1,,,,,,,,,
,,2010 - 2011,,,,"2,700.00","1,500.00",0.56,"3,000.00","3,900.00",1.3,,,,,,,,,
,,2011 - 2012,,,,"3,600.00","2,100.00",0.58,"3,300.00","3,500.00",1.06,,,,,,,,,
,,2012 - 2013,,,,"3,000.00","2,100.00",0.7,"2,600.00","3,300.00",1.27,,,,,,,,,
,,2013 - 2014,,,,"2,900.00","2,600.00",0.9,"3,300.00","4,800.00",1.45,,,,,,,,,
,,2014 - 2015,,,,"1,700.00",400,0.24,"1,500.00","1,100.00",0.73,,,,,,,,,
,,2015 - 2016,,,,"1,400.00",200,0.14,8,1,0.13,,,,,,,,,
,,2016 - 2017,,,,"1,400.00",500,0.36,"2,800.00","3,400.00",1.21,,,,,,,,,
,,2017 - 2018,,,,"1,297.00",500,0.39,"1,176.00","1,400.00",1.19,,,,,,,,,
,,2018 - 2019,,,,"1,363.00",434,0.32,20,20,1,,,,,,,,,
,,2019 - 2020,,,,897,298,0.33,"1,572.00","2,113.00",1.34,,,,,,,,,
,,2020 - 2021,,,,"1,052.83",825.04,0.78,"1,977.65","2,349.12",1.19,,,,,,,,,
,,2021 - 2022,,,,"1,214.80",271.75,0.22,"2,105.95","2,618.71",1.24,,,,,,,,,
,,2022 - 2023,,,,406.99,242.49,0.6,"1,685.00","2,194.00",1.3,,,,,,,,,
,18. Nagpur,2000 - 2001,,,,"10,300.00","6,200.00",0.6,400,500,1.25,,,,,,,,,
,,2001 - 2002,,,,"9,800.00","6,600.00",0.67,"1,000.00","1,200.00",1.2,,,,,,,,,
