State,District,Year,Groundnut,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Autumn,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2003 - 2004,"6,570.00","10,959.00",1.67,"1,023.00","1,112.00",1.09,,,,,,,,,,,,
,,2004 - 2005,"7,305.00","16,999.00",2.33,"2,355.00","5,676.00",2.41,,,,,,,,,,,,
,,2005 - 2006,"4,164.00","8,053.00",1.93,"2,466.00","5,766.00",2.34,,,,,,,,,,,,
,,2006 - 2007,"4,039.00","11,079.00",2.74,"2,238.00","4,651.00",2.08,,,,,,,,,,,,
,,2007 - 2008,"6,000.00","14,000.00",2.33,"3,000.00","6,000.00",2,,,,,,,,,,,,
,,2008 - 2009,"4,048.00","8,537.00",2.11,"4,121.00","11,848.00",2.88,,,,,,,,,,,,
,,2009 - 2010,"2,894.00","4,790.00",1.66,"2,630.00","6,117.00",2.33,,,,,,,,,,,,
,,2010 - 2011,"2,082.00","2,859.00",1.37,"2,024.00","5,677.00",2.8,,,,,,,,,,,,
,,2011 - 2012,"2,504.00","5,454.00",2.18,"1,730.00","3,256.00",1.88,,,,,,,,,,,,
,,2012 - 2013,"3,000.00","7,000.00",2.33,"2,000.00","5,000.00",2.5,,,,,,,,,,,,
,,2013 - 2014,"1,947.00","3,475.00",1.78,"2,079.00","4,002.00",1.92,,,,,,,,,,,,
,,2014 - 2015,845,"1,847.00",2.19,999,"2,690.00",2.69,,,,,,,,,,,,
,,2015 - 2016,815,"2,744.00",3.37,"1,050.00","3,583.00",3.41,,,,,,,,,,,,
,,2016 - 2017,684,"2,036.00",2.98,926,"4,085.00",4.41,,,,,,,,,,,,
,,2017 - 2018,706,"2,530.00",3.58,"1,148.00","3,123.00",2.72,,,,,,,,,,,,
,,2018 - 2019,547,"2,364.00",4.32,"1,029.00","4,183.00",4.07,,,,,,,,,,,,
,,2019 - 2020,622,"2,574.00",4.14,870,"3,611.00",4.15,,,,,,,,,,,,
