State,District,Year,Masoor,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,"1,309.00","1,382.00",1.06,,,,,,,,,
,,2015 - 2016,"1,493.00","1,474.00",0.99,,,,,,,,,
,,2016 - 2017,"1,373.00","1,056.00",0.77,,,,,,,,,
,,2017 - 2018,"1,392.00","1,209.00",0.87,,,,,,,,,
,,2018 - 2019,"1,301.00","1,037.00",0.8,,,,,,,,,
,,2019 - 2020,"1,316.00","1,053.00",0.8,,,,,,,,,
,,2020 - 2021,"1,140.00",887,0.78,,,,,,,,,
,,2021 - 2022,"1,140.00",887,0.78,,,,,,,,,
,,2022 - 2023,"1,081.00",844,0.78,,,,,,,,,
,11. Dibrugarh,2001 - 2002,563,251,0.45,,,,,,,,,
,,2002 - 2003,121,54,0.45,,,,,,,,,
,,2003 - 2004,127,57,0.45,,,,,,,,,
,,2004 - 2005,135,60,0.44,,,,,,,,,
,,2005 - 2006,39,17,0.44,,,,,,,,,
,,2006 - 2007,67,30,0.45,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2009 - 2010,36,16,0.44,,,,,,,,,
,,2010 - 2011,18,8,0.44,,,,,,,,,
,,2011 - 2012,24,11,0.46,,,,,,,,,
,,2012 - 2013,25,12,0.48,,,,,,,,,
,,2013 - 2014,12,7,0.58,,,,,,,,,
,,2014 - 2015,33,22,0.67,,,,,,,,,
,,2015 - 2016,23,12,0.52,,,,,,,,,
,,2016 - 2017,31,16,0.52,,,,,,,,,
,,2017 - 2018,29,15,0.52,,,,,,,,,
,,2018 - 2019,39,21,0.54,,,,,,,,,
,,2019 - 2020,40,22,0.55,,,,,,,,,
,,2020 - 2021,64,36,0.56,,,,,,,,,
,,2021 - 2022,47,16,0.34,,,,,,,,,
,,2022 - 2023,129,121,0.94,,,,,,,,,
,12. Dima hasao,2001 - 2002,6,2,0.33,,,,,,,,,
,,2002 - 2003,4,2,0.5,,,,,,,,,
,,2003 - 2004,3,1,0.33,,,,,,,,,
,,2004 - 2005,3,1,0.33,,,,,,,,,
,,2005 - 2006,3,1,0.33,,,,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,
,,2008 - 2009,3,1,0.33,,,,,,,,,
,,2009 - 2010,2,1,0.5,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,
,,2011 - 2012,7,3,0.43,,,,,,,,,
,,2012 - 2013,16,7,0.44,,,,,,,,,
,,2013 - 2014,34,20,0.59,,,,,,,,,
,,2014 - 2015,7,4,0.57,,,,,,,,,
,,2015 - 2016,14,8,0.57,,,,,,,,,
,,2016 - 2017,18,11,0.61,,,,,,,,,
,,2017 - 2018,10,4,0.4,,,,,,,,,
,,2018 - 2019,19,11,0.58,,,,,,,,,
,,2019 - 2020,19,11,0.58,,,,,,,,,
,,2020 - 2021,25,15,0.6,,,,,,,,,
,,2021 - 2022,25,15,0.6,,,,,,,,,
