State,District,Year,Masoor,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2022 - 2023,140,154,1.1,,,,,,,,,
,21. Jabalpur,2004 - 2005,"38,727.00","21,230.00",0.55,,,,,,,,,
,,2005 - 2006,"41,659.00","24,092.00",0.58,,,,,,,,,
,,2006 - 2007,"39,909.00","19,233.00",0.48,,,,,,,,,
,,2007 - 2008,"40,457.00","12,430.00",0.31,,,,,,,,,
,,2008 - 2009,"40,582.00","20,780.00",0.51,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"37,057.00","17,858.00",0.48
,,2010 - 2011,"37,856.00","8,319.00",0.22,,,,,,,,,
,,2011 - 2012,"35,178.00","14,037.00",0.4,,,,,,,,,
,,2012 - 2013,"26,279.00","7,573.00",0.29,,,,,,,,,
,,2013 - 2014,"23,134.00","16,723.00",0.72,,,,,,,,,
,,2014 - 2015,"22,000.00","18,000.00",0.82,,,,,,,,,
,,2015 - 2016,"20,000.00","25,000.00",1.25,,,,,,,,,
,,2016 - 2017,"22,000.00","29,000.00",1.32,,,,,,,,,
,,2017 - 2018,"23,980.00","36,280.00",1.51,,,,,,,,,
,,2018 - 2019,"6,810.00","6,647.00",0.98,,,,,,,,,
,,2019 - 2020,"5,075.00","4,892.00",0.96,,,,,,,,,
,,2020 - 2021,"5,401.00","6,805.00",1.26,,,,,,,,,
,,2021 - 2022,"4,882.00","9,974.00",2.04,,,,,,,,,
,,2022 - 2023,"4,600.00","7,558.00",1.64,,,,,,,,,
,22. Jhabua,2004 - 2005,2,1,0.5,,,,,,,,,
,,2005 - 2006,1,,0,,,,,,,,,
,,2006 - 2007,1,,0,,,,,,,,,
,,2007 - 2008,1,,0,,,,,,,,,
,,2009 - 2010,,,,,,,,,,6,2,0.33
,,2010 - 2011,7,2,0.29,,,,,,,,,
,,2011 - 2012,7,3,0.43,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,
,,2017 - 2018,60,50,0.83,,,,,,,,,
,,2020 - 2021,15,17,1.13,,,,,,,,,
,23. Katni,2004 - 2005,"17,227.00","5,189.00",0.3,,,,,,,,,
,,2005 - 2006,"19,159.00","7,218.00",0.38,,,,,,,,,
,,2006 - 2007,"17,376.00","5,311.00",0.31,,,,,,,,,
,,2007 - 2008,"13,668.00","3,887.00",0.28,,,,,,,,,
,,2008 - 2009,"16,637.00","6,860.00",0.41,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"16,375.00","6,518.00",0.4
,,2010 - 2011,"24,500.00","3,932.00",0.16,,,,,,,,,
,,2011 - 2012,"19,651.00","4,943.00",0.25,,,,,,,,,
,,2012 - 2013,"15,827.00","8,143.00",0.51,,,,,,,,,
,,2013 - 2014,"15,964.00","14,618.00",0.92,,,,,,,,,
,,2014 - 2015,"14,000.00","12,000.00",0.86,,,,,,,,,
,,2015 - 2016,"18,000.00","22,000.00",1.22,,,,,,,,,
,,2016 - 2017,"13,000.00","12,000.00",0.92,,,,,,,,,
,,2017 - 2018,"13,900.00","13,790.00",0.99,,,,,,,,,
,,2018 - 2019,"4,661.00","4,055.00",0.87,,,,,,,,,
,,2019 - 2020,"2,382.00","2,127.00",0.89,,,,,,,,,
,,2020 - 2021,"1,920.00","1,580.00",0.82,,,,,,,,,
,,2021 - 2022,"1,350.00","1,523.00",1.13,,,,,,,,,
,,2022 - 2023,"4,200.00","4,738.00",1.13,,,,,,,,,
,24. Khandwa,2004 - 2005,634,210,0.33,,,,,,,,,
,,2005 - 2006,624,227,0.36,,,,,,,,,
,,2006 - 2007,652,237,0.36,,,,,,,,,
,,2007 - 2008,650,280,0.43,,,,,,,,,
,,2008 - 2009,667,226,0.34,,,,,,,,,
,,2009 - 2010,,,,,,,,,,781,285,0.36
,,2010 - 2011,708,162,0.23,,,,,,,,,
,,2011 - 2012,711,228,0.32,,,,,,,,,
,,2012 - 2013,651,208,0.32,,,,,,,,,
,,2013 - 2014,575,364,0.63,,,,,,,,,
,,2014 - 2015,"3,000.00","3,000.00",1,,,,,,,,,
,,2017 - 2018,310,160,0.52,,,,,,,,,
,,2018 - 2019,70,32,0.46,,,,,,,,,
,,2019 - 2020,42,14,0.33,,,,,,,,,
,,2020 - 2021,35,19,0.54,,,,,,,,,
,,2021 - 2022,8,4,0.5,,,,,,,,,
,25. Khargone,2004 - 2005,33,11,0.33,,,,,,,,,
,,2005 - 2006,30,11,0.37,,,,,,,,,
,,2006 - 2007,29,14,0.48,,,,,,,,,
,,2007 - 2008,16,6,0.38,,,,,,,,,
,,2008 - 2009,9,3,0.33,,,,,,,,,
,,2009 - 2010,,,,,,,,,,54,22,0.41
,,2010 - 2011,23,6,0.26,,,,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,,,,
,,2012 - 2013,10,4,0.4,,,,,,,,,
,,2013 - 2014,5,2,0.4,,,,,,,,,
,,2018 - 2019,1,,0,,,,,,,,,
,,2019 - 2020,1,,0,,,,,,,,,
,,2020 - 2021,5,4,0.8,,,,,,,,,
,26. Mandla,2004 - 2005,"13,110.00","5,312.00",0.41,,,,,,,,,
,,2005 - 2006,"15,279.00","6,191.00",0.41,,,,,,,,,
,,2006 - 2007,"14,112.00","5,718.00",0.41,,,,,,,,,
,,2007 - 2008,"14,446.00","5,955.00",0.41,,,,,,,,,
,,2008 - 2009,"14,438.00","5,952.00",0.41,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"14,378.00","5,519.00",0.38
,,2010 - 2011,"30,278.00","8,225.00",0.27,,,,,,,,,
,,2011 - 2012,"25,001.00","6,793.00",0.27,,,,,,,,,
,,2012 - 2013,"23,138.00","9,540.00",0.41,,,,,,,,,
,,2013 - 2014,"22,985.00","14,400.00",0.63,,,,,,,,,
,,2014 - 2015,"19,000.00","13,000.00",0.68,,,,,,,,,
,,2015 - 2016,"23,000.00","21,000.00",0.91,,,,,,,,,
,,2016 - 2017,"23,000.00","22,000.00",0.96,,,,,,,,,
,,2017 - 2018,"21,000.00","20,850.00",0.99,,,,,,,,,
,,2018 - 2019,"12,890.00","8,379.00",0.65,,,,,,,,,
,,2019 - 2020,"23,768.00","15,449.00",0.65,,,,,,,,,
,,2020 - 2021,"26,779.00","27,314.00",1.02,,,,,,,,,
,,2021 - 2022,"19,126.00","19,968.00",1.04,,,,,,,,,
,,2022 - 2023,"29,500.00","30,385.00",1.03,,,,,,,,,
,27. Mandsaur,2004 - 2005,"1,206.00",611,0.51,,,,,,,,,
,,2005 - 2006,823,291,0.35,,,,,,,,,
,,2006 - 2007,"1,043.00",520,0.5,,,,,,,,,
,,2007 - 2008,"1,042.00",383,0.37,,,,,,,,,
,,2008 - 2009,"1,318.00",581,0.44,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"1,660.00",756,0.46
,,2010 - 2011,"2,664.00",717,0.27,,,,,,,,,
,,2011 - 2012,"2,605.00",823,0.32,,,,,,,,,
,,2012 - 2013,"2,941.00","1,585.00",0.54,,,,,,,,,
,,2013 - 2014,"4,392.00","3,814.00",0.87,,,,,,,,,
,,2014 - 2015,"4,000.00","2,000.00",0.5,,,,,,,,,
,,2015 - 2016,"5,000.00","4,000.00",0.8,,,,,,,,,
,,2016 - 2017,"11,000.00","13,000.00",1.18,,,,,,,,,
,,2017 - 2018,"9,500.00","10,330.00",1.09,,,,,,,,,
,,2018 - 2019,"5,173.00","2,757.00",0.53,,,,,,,,,
,,2019 - 2020,"5,261.00","3,214.00",0.61,,,,,,,,,
,,2020 - 2021,"15,438.00","16,055.00",1.04,,,,,,,,,
,,2021 - 2022,"4,686.00","3,374.00",0.72,,,,,,,,,
,,2022 - 2023,"8,930.00","6,430.00",0.72,,,,,,,,,
,28. Morena,2004 - 2005,"1,532.00",802,0.52,,,,,,,,,
,,2005 - 2006,"1,466.00",813,0.55,,,,,,,,,
,,2006 - 2007,791,386,0.49,,,,,,,,,
,,2007 - 2008,484,191,0.39,,,,,,,,,
,,2008 - 2009,590,322,0.55,,,,,,,,,
,,2009 - 2010,,,,,,,,,,854,441,0.52
,,2010 - 2011,"1,217.00",403,0.33,,,,,,,,,
,,2011 - 2012,902,326,0.36,,,,,,,,,
,,2012 - 2013,664,485,0.73,,,,,,,,,
,,2013 - 2014,591,437,0.74,,,,,,,,,
,,2014 - 2015,"3,000.00","2,000.00",0.67,,,,,,,,,
,,2017 - 2018,420,650,1.55,,,,,,,,,
,,2018 - 2019,16,10,0.63,,,,,,,,,
,,2019 - 2020,38,32,0.84,,,,,,,,,
,,2020 - 2021,5,5,1,,,,,,,,,
,,2022 - 2023,200,122,0.61,,,,,,,,,
,29. Narsinghpur,2004 - 2005,"28,226.00","17,343.00",0.61,,,,,,,,,
,,2005 - 2006,"32,847.00","21,073.00",0.64,,,,,,,,,
,,2006 - 2007,"32,021.00","20,543.00",0.64,,,,,,,,,
,,2007 - 2008,"31,532.00","13,757.00",0.44,,,,,,,,,
,,2008 - 2009,"32,955.00","16,068.00",0.49,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"34,620.00","20,730.00",0.6
,,2010 - 2011,"39,135.00","12,900.00",0.33,,,,,,,,,
,,2011 - 2012,"34,580.00","14,486.00",0.42,,,,,,,,,
,,2012 - 2013,"33,290.00","28,276.00",0.85,,,,,,,,,
,,2013 - 2014,"32,349.00","17,539.00",0.54,,,,,,,,,
,,2014 - 2015,"27,000.00","19,000.00",0.7,,,,,,,,,
,,2015 - 2016,"42,000.00","42,000.00",1,,,,,,,,,
,,2016 - 2017,"51,000.00","66,000.00",1.29,,,,,,,,,
,,2017 - 2018,"42,500.00","60,950.00",1.43,,,,,,,,,
,,2018 - 2019,"19,752.00","13,392.00",0.68,,,,,,,,,
,,2019 - 2020,"18,956.00","14,596.00",0.77,,,,,,,,,
,,2020 - 2021,"19,497.00","17,742.00",0.91,,,,,,,,,
,,2021 - 2022,"25,834.00","32,525.00",1.26,,,,,,,,,
,,2022 - 2023,"31,200.00","39,000.00",1.25,,,,,,,,,
,30. Neemuch,2004 - 2005,329,177,0.54,,,,,,,,,
,,2005 - 2006,284,140,0.49,,,,,,,,,
,,2006 - 2007,229,108,0.47,,,,,,,,,
,,2007 - 2008,156,62,0.4,,,,,,,,,
,,2008 - 2009,157,64,0.41,,,,,,,,,
,,2009 - 2010,,,,,,,,,,214,91,0.43
,,2010 - 2011,494,174,0.35,,,,,,,,,
,,2011 - 2012,439,149,0.34,,,,,,,,,
,,2012 - 2013,443,317,0.72,,,,,,,,,
,,2013 - 2014,708,617,0.87,,,,,,,,,
,,2014 - 2015,"2,000.00","1,000.00",0.5,,,,,,,,,
,,2015 - 2016,"1,000.00","2,000.00",2,,,,,,,,,
,,2017 - 2018,"1,500.00",980,0.65,,,,,,,,,
,,2018 - 2019,727,377,0.52,,,,,,,,,
,,2019 - 2020,936,679,0.73,,,,,,,,,
,,2020 - 2021,"2,747.00","3,077.00",1.12,,,,,,,,,
,,2021 - 2022,923,"1,246.00",1.35,,,,,,,,,
,,2022 - 2023,"2,050.00","2,768.00",1.35,,,,,,,,,
,31. Niwari,2019 - 2020,25,17,0.68,,,,,,,,,
,,2020 - 2021,144,136,0.94,,,,,,,,,
,,2021 - 2022,480,454,0.95,,,,,,,,,
,,2022 - 2023,400,378,0.95,,,,,,,,,
,32. Panna,2004 - 2005,"25,553.00","13,054.00",0.51,,,,,,,,,
,,2005 - 2006,"26,559.00","12,799.00",0.48,,,,,,,,,
,,2006 - 2007,"22,643.00","10,476.00",0.46,,,,,,,,,
,,2007 - 2008,"20,404.00","9,833.00",0.48,,,,,,,,,
,,2008 - 2009,"20,108.00","12,598.00",0.63,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"20,238.00","12,680.00",0.63
,,2010 - 2011,"41,443.00","13,211.00",0.32,,,,,,,,,
,,2011 - 2012,"43,704.00","19,619.00",0.45,,,,,,,,,
,,2012 - 2013,"37,079.00","27,913.00",0.75,,,,,,,,,
,,2013 - 2014,"33,515.00","23,218.00",0.69,,,,,,,,,
,,2014 - 2015,"27,000.00","22,000.00",0.81,,,,,,,,,
,,2015 - 2016,"26,000.00","36,000.00",1.38,,,,,,,,,
,,2016 - 2017,"23,000.00","21,000.00",0.91,,,,,,,,,
,,2017 - 2018,"22,600.00","22,740.00",1.01,,,,,,,,,
,,2018 - 2019,"16,954.00","23,024.00",1.36,,,,,,,,,
,,2019 - 2020,"12,715.00","13,213.00",1.04,,,,,,,,,
,,2020 - 2021,"12,583.00","12,683.00",1.01,,,,,,,,,
,,2021 - 2022,"18,555.00","20,744.00",1.12,,,,,,,,,
,,2022 - 2023,"18,250.00","20,404.00",1.12,,,,,,,,,
,33. Raisen,2004 - 2005,"42,111.00","24,962.00",0.59,,,,,,,,,
,,2005 - 2006,"41,575.00","25,466.00",0.61,,,,,,,,,
,,2006 - 2007,"41,773.00","24,762.00",0.59,,,,,,,,,
,,2007 - 2008,"38,865.00","23,038.00",0.59,,,,,,,,,
,,2008 - 2009,"37,730.00","22,365.00",0.59,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"38,325.00","22,718.00",0.59
,,2010 - 2011,"31,952.00","13,859.00",0.43,,,,,,,,,
,,2011 - 2012,"23,034.00","13,154.00",0.57,,,,,,,,,
,,2012 - 2013,"16,305.00","10,066.00",0.62,,,,,,,,,
,,2013 - 2014,"14,877.00","9,410.00",0.63,,,,,,,,,
,,2014 - 2015,"15,000.00","10,000.00",0.67,,,,,,,,,
,,2015 - 2016,"22,000.00","32,000.00",1.45,,,,,,,,,
,,2016 - 2017,"31,000.00","51,000.00",1.65,,,,,,,,,
,,2017 - 2018,"34,200.00","47,670.00",1.39,,,,,,,,,
,,2018 - 2019,"25,731.00","22,798.00",0.89,,,,,,,,,
,,2019 - 2020,"23,675.00","20,965.00",0.89,,,,,,,,,
,,2020 - 2021,"31,207.00","40,257.00",1.29,,,,,,,,,
,,2021 - 2022,"28,391.00","37,590.00",1.32,,,,,,,,,
,,2022 - 2023,"31,520.00","41,291.00",1.31,,,,,,,,,
,34. Rajgarh,2004 - 2005,"5,889.00","2,341.00",0.4,,,,,,,,,
,,2005 - 2006,"5,153.00","1,937.00",0.38,,,,,,,,,
,,2006 - 2007,"6,303.00","3,280.00",0.52,,,,,,,,,
,,2007 - 2008,"6,671.00","2,846.00",0.43,,,,,,,,,
,,2008 - 2009,"5,450.00","2,324.00",0.43,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"7,217.00","3,913.00",0.54
,,2010 - 2011,"10,868.00","3,132.00",0.29,,,,,,,,,
,,2011 - 2012,"9,668.00","4,233.00",0.44,,,,,,,,,
,,2012 - 2013,"9,374.00","5,882.00",0.63,,,,,,,,,
,,2013 - 2014,"10,068.00","11,682.00",1.16,,,,,,,,,
,,2014 - 2015,"9,000.00","7,000.00",0.78,,,,,,,,,
,,2015 - 2016,"51,000.00","61,000.00",1.2,,,,,,,,,
,,2016 - 2017,"34,000.00","45,000.00",1.32,,,,,,,,,
,,2017 - 2018,"51,000.00","61,200.00",1.2,,,,,,,,,
,,2018 - 2019,"47,253.00","37,708.00",0.8,,,,,,,,,
,,2019 - 2020,"30,729.00","31,036.00",1.01,,,,,,,,,
,,2020 - 2021,"57,608.00","81,804.00",1.42,,,,,,,,,
,,2021 - 2022,"32,439.00","38,927.00",1.2,,,,,,,,,
,,2022 - 2023,"43,470.00","50,425.00",1.16,,,,,,,,,
,35. Ratlam,2004 - 2005,469,262,0.56,,,,,,,,,
,,2005 - 2006,892,411,0.46,,,,,,,,,
,,2006 - 2007,651,364,0.56,,,,,,,,,
,,2007 - 2008,726,406,0.56,,,,,,,,,
,,2008 - 2009,"1,312.00",688,0.52,,,,,,,,,
,,2009 - 2010,,,,,,,,,,924,484,0.52
,,2010 - 2011,910,302,0.33,,,,,,,,,
,,2011 - 2012,906,371,0.41,,,,,,,,,
,,2012 - 2013,878,625,0.71,,,,,,,,,
,,2013 - 2014,968,688,0.71,,,,,,,,,
,,2014 - 2015,"2,000.00","2,000.00",1,,,,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,,,,
,,2017 - 2018,"1,400.00","1,230.00",0.88,,,,,,,,,
,,2018 - 2019,"1,471.00",993,0.68,,,,,,,,,
,,2019 - 2020,"1,180.00",614,0.52,,,,,,,,,
,,2020 - 2021,"2,818.00","2,282.00",0.81,,,,,,,,,
,,2021 - 2022,"1,343.00","2,082.00",1.55,,,,,,,,,
,,2022 - 2023,"3,120.00","4,836.00",1.55,,,,,,,,,
,36. Rewa,2004 - 2005,"23,341.00","8,436.00",0.36,,,,,,,,,
,,2005 - 2006,"24,735.00","8,404.00",0.34,,,,,,,,,
,,2006 - 2007,"24,363.00","7,397.00",0.3,,,,,,,,,
,,2007 - 2008,"24,861.00","7,368.00",0.3,,,,,,,,,
,,2008 - 2009,"25,111.00","9,439.00",0.38,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"26,652.00","10,018.00",0.38
,,2010 - 2011,"52,456.00","6,446.00",0.12,,,,,,,,,
,,2011 - 2012,"41,601.00","8,862.00",0.21,,,,,,,,,
,,2012 - 2013,"37,633.00","10,791.00",0.29,,,,,,,,,
,,2013 - 2014,"35,112.00","15,568.00",0.44,,,,,,,,,
,,2014 - 2015,"40,000.00","28,000.00",0.7,,,,,,,,,
,,2015 - 2016,"36,000.00","39,000.00",1.08,,,,,,,,,
,,2016 - 2017,"34,000.00","34,000.00",1,,,,,,,,,
,,2017 - 2018,"24,130.00","26,230.00",1.09,,,,,,,,,
,,2018 - 2019,"16,296.00","9,419.00",0.58,,,,,,,,,
,,2019 - 2020,"9,934.00","8,617.00",0.87,,,,,,,,,
,,2020 - 2021,"5,752.00","3,503.00",0.61,,,,,,,,,
,,2021 - 2022,"4,690.00","6,238.00",1.33,,,,,,,,,
,,2022 - 2023,"18,350.00","24,406.00",1.33,,,,,,,,,
,37. Sagar,2004 - 2005,"64,932.00","26,246.00",0.4,,,,,,,,,
,,2005 - 2006,"77,147.00","33,229.00",0.43,,,,,,,,,
,,2006 - 2007,"73,953.00","32,432.00",0.44,,,,,,,,,
,,2007 - 2008,"62,441.00","25,917.00",0.42,,,,,,,,,
,,2008 - 2009,"59,807.00","28,102.00",0.47,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"54,512.00","25,614.00",0.47
,,2010 - 2011,"59,971.00","16,582.00",0.28,,,,,,,,,
,,2011 - 2012,"44,157.00","12,928.00",0.29,,,,,,,,,
,,2012 - 2013,"40,160.00","27,048.00",0.67,,,,,,,,,
,,2013 - 2014,"28,377.00","15,467.00",0.55,,,,,,,,,
,,2014 - 2015,"37,000.00","26,000.00",0.7,,,,,,,,,
,,2015 - 2016,"45,000.00","51,000.00",1.13,,,,,,,,,
,,2016 - 2017,"52,000.00","63,000.00",1.21,,,,,,,,,
,,2017 - 2018,"34,800.00","41,240.00",1.19,,,,,,,,,
,,2018 - 2019,"59,460.00","74,801.00",1.26,,,,,,,,,
,,2019 - 2020,"51,091.00","50,876.00",1,,,,,,,,,
,,2020 - 2021,"79,973.00","86,371.00",1.08,,,,,,,,,
,,2021 - 2022,"83,848.00","79,069.00",0.94,,,,,,,,,
,,2022 - 2023,"85,500.00","80,627.00",0.94,,,,,,,,,
,38. Satna,2004 - 2005,"34,609.00","16,730.00",0.48,,,,,,,,,
,,2005 - 2006,"36,054.00","17,723.00",0.49,,,,,,,,,
,,2006 - 2007,"32,511.00","11,453.00",0.35,,,,,,,,,
,,2007 - 2008,"28,697.00","8,699.00",0.3,,,,,,,,,
,,2008 - 2009,"28,415.00","12,571.00",0.44,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"27,119.00","14,441.00",0.53
,,2010 - 2011,"52,114.00","13,229.00",0.25,,,,,,,,,
,,2011 - 2012,"36,018.00","9,703.00",0.27,,,,,,,,,
,,2012 - 2013,"35,750.00","11,854.00",0.33,,,,,,,,,
,,2013 - 2014,"24,728.00","7,687.00",0.31,,,,,,,,,
,,2014 - 2015,"42,000.00","26,000.00",0.62,,,,,,,,,
,,2015 - 2016,"53,000.00","51,000.00",0.96,,,,,,,,,
,,2016 - 2017,"54,000.00","59,000.00",1.09,,,,,,,,,
,,2017 - 2018,"55,000.00","63,360.00",1.15,,,,,,,,,
,,2018 - 2019,"12,301.00","4,465.00",0.36,,,,,,,,,
,,2019 - 2020,"5,905.00","2,312.00",0.39,,,,,,,,,
,,2020 - 2021,"4,897.00","5,533.00",1.13,,,,,,,,,
,,2021 - 2022,"5,842.00","7,992.00",1.37,,,,,,,,,
,,2022 - 2023,"8,000.00","10,640.00",1.33,,,,,,,,,
,39. Sehore,2004 - 2005,146,67,0.46,,,,,,,,,
,,2005 - 2006,"5,766.00","3,890.00",0.67,,,,,,,,,
,,2006 - 2007,"5,447.00","3,938.00",0.72,,,,,,,,,
,,2007 - 2008,"5,108.00","3,693.00",0.72,,,,,,,,,
,,2008 - 2009,"4,246.00","3,069.00",0.72,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"3,335.00","3,013.00",0.9
,,2010 - 2011,"3,048.00","1,433.00",0.47,,,,,,,,,
,,2011 - 2012,"2,930.00","2,409.00",0.82,,,,,,,,,
,,2012 - 2013,"3,306.00","2,599.00",0.79,,,,,,,,,
,,2013 - 2014,"2,463.00","1,699.00",0.69,,,,,,,,,
,,2014 - 2015,"5,000.00","4,000.00",0.8,,,,,,,,,
,,2015 - 2016,"3,000.00","3,000.00",1,,,,,,,,,
,,2016 - 2017,"4,000.00","5,000.00",1.25,,,,,,,,,
,,2017 - 2018,"6,660.00","5,620.00",0.84,,,,,,,,,
,,2018 - 2019,"4,750.00","3,943.00",0.83,,,,,,,,,
,,2019 - 2020,"3,216.00","2,959.00",0.92,,,,,,,,,
,,2020 - 2021,"6,563.00","7,482.00",1.14,,,,,,,,,
,,2021 - 2022,"4,244.00","2,703.00",0.64,,,,,,,,,
,,2022 - 2023,"4,500.00","2,867.00",0.64,,,,,,,,,
,40. Seoni,2004 - 2005,"10,930.00","3,951.00",0.36,,,,,,,,,
,,2005 - 2006,"11,683.00","4,222.00",0.36,,,,,,,,,
,,2006 - 2007,"11,716.00","4,588.00",0.39,,,,,,,,,
,,2007 - 2008,"12,718.00","4,597.00",0.36,,,,,,,,,
,,2008 - 2009,"12,824.00","4,635.00",0.36,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"13,562.00","4,902.00",0.36
,,2010 - 2011,"26,208.00","7,010.00",0.27,,,,,,,,,
,,2011 - 2012,"22,926.00","6,132.00",0.27,,,,,,,,,
,,2012 - 2013,"21,163.00","12,274.00",0.58,,,,,,,,,
,,2013 - 2014,"20,282.00","13,196.00",0.65,,,,,,,,,
,,2014 - 2015,"20,000.00","14,000.00",0.7,,,,,,,,,
,,2015 - 2016,"15,000.00","13,000.00",0.87,,,,,,,,,
,,2016 - 2017,"20,000.00","19,000.00",0.95,,,,,,,,,
,,2017 - 2018,"18,400.00","14,940.00",0.81,,,,,,,,,
,,2018 - 2019,"14,003.00","7,282.00",0.52,,,,,,,,,
,,2019 - 2020,"12,494.00","8,671.00",0.69,,,,,,,,,
,,2020 - 2021,"11,375.00","9,214.00",0.81,,,,,,,,,
,,2021 - 2022,"9,701.00","7,858.00",0.81,,,,,,,,,
,,2022 - 2023,"15,000.00","12,150.00",0.81,,,,,,,,,
,41. Shahdol,2004 - 2005,736,272,0.37,,,,,,,,,
,,2005 - 2006,753,296,0.39,,,,,,,,,
,,2006 - 2007,750,295,0.39,,,,,,,,,
,,2007 - 2008,491,209,0.43,,,,,,,,,
,,2008 - 2009,648,266,0.41,,,,,,,,,
,,2009 - 2010,,,,,,,,,,575,226,0.39
,,2010 - 2011,768,227,0.3,,,,,,,,,
,,2011 - 2012,670,199,0.3,,,,,,,,,
,,2012 - 2013,890,648,0.73,,,,,,,,,
,,2013 - 2014,"2,972.00","2,861.00",0.96,,,,,,,,,
,,2014 - 2015,"6,000.00","5,000.00",0.83,,,,,,,,,
,,2015 - 2016,"2,000.00","3,000.00",1.5,,,,,,,,,
,,2016 - 2017,"4,000.00","2,000.00",0.5,,,,,,,,,
,,2017 - 2018,"4,200.00","3,110.00",0.74,,,,,,,,,
,,2018 - 2019,423,273,0.65,,,,,,,,,
,,2019 - 2020,260,195,0.75,,,,,,,,,
,,2020 - 2021,399,347,0.87,,,,,,,,,
,,2021 - 2022,250,223,0.89,,,,,,,,,
,,2022 - 2023,850,757,0.89,,,,,,,,,
,42. Shajapur,2004 - 2005,"6,716.00","2,889.00",0.43,,,,,,,,,
,,2005 - 2006,"5,115.00","1,731.00",0.34,,,,,,,,,
,,2006 - 2007,"6,509.00","2,854.00",0.44,,,,,,,,,
,,2007 - 2008,"7,636.00","2,296.00",0.3,,,,,,,,,
,,2008 - 2009,"7,114.00","2,140.00",0.3,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"7,797.00","3,468.00",0.44
,,2010 - 2011,"11,220.00","2,400.00",0.21,,,,,,,,,
,,2011 - 2012,"11,286.00","3,019.00",0.27,,,,,,,,,
,,2012 - 2013,"10,809.00","4,584.00",0.42,,,,,,,,,
,,2013 - 2014,"6,838.00","3,707.00",0.54,,,,,,,,,
,,2014 - 2015,"7,000.00","4,000.00",0.57,,,,,,,,,
,,2015 - 2016,"9,000.00","7,000.00",0.78,,,,,,,,,
,,2016 - 2017,"17,000.00","18,000.00",1.06,,,,,,,,,
,,2017 - 2018,"26,400.00","29,490.00",1.12,,,,,,,,,
,,2018 - 2019,"24,236.00","11,391.00",0.47,,,,,,,,,
,,2019 - 2020,"17,018.00","8,747.00",0.51,,,,,,,,,
,,2020 - 2021,"31,602.00","35,394.00",1.12,,,,,,,,,
,,2021 - 2022,"18,342.00","27,513.00",1.5,,,,,,,,,
,,2022 - 2023,"31,900.00","45,298.00",1.42,,,,,,,,,
,43. Sheopur,2004 - 2005,"5,496.00","3,708.00",0.67,,,,,,,,,
,,2005 - 2006,168,72,0.43,,,,,,,,,
,,2006 - 2007,131,44,0.34,,,,,,,,,
,,2007 - 2008,108,43,0.4,,,,,,,,,
,,2008 - 2009,100,38,0.38,,,,,,,,,
,,2009 - 2010,,,,,,,,,,142,52,0.37
,,2010 - 2011,124,62,0.5,,,,,,,,,
,,2011 - 2012,57,16,0.28,,,,,,,,,
,,2012 - 2013,44,45,1.02,,,,,,,,,
,,2013 - 2014,53,68,1.28,,,,,,,,,
,,2017 - 2018,200,190,0.95,,,,,,,,,
,,2018 - 2019,14,21,1.5,,,,,,,,,
,,2019 - 2020,5,7,1.4,,,,,,,,,
,,2020 - 2021,2,2,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,80,113,1.41,,,,,,,,,
,44. Shivpuri,2004 - 2005,"4,760.00","2,395.00",0.5,,,,,,,,,
,,2005 - 2006,"10,395.00","5,158.00",0.5,,,,,,,,,
,,2006 - 2007,"5,705.00","2,352.00",0.41,,,,,,,,,
,,2007 - 2008,"4,857.00","1,528.00",0.31,,,,,,,,,
,,2008 - 2009,"5,841.00","2,612.00",0.45,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"5,436.00","2,621.00",0.48
,,2010 - 2011,"6,778.00","2,317.00",0.34,,,,,,,,,
,,2011 - 2012,"5,303.00","1,841.00",0.35,,,,,,,,,
,,2012 - 2013,"4,487.00","1,558.00",0.35,,,,,,,,,
,,2013 - 2014,"5,174.00","1,930.00",0.37,,,,,,,,,
,,2014 - 2015,"6,000.00","2,000.00",0.33,,,,,,,,,
