State,District,Year,Sugarcane,,,,,,,,,,,,,,,,,
,,,Whole Year,,,Autumn,,,Kharif,,,Winter,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2010 - 2011,99,"3,584.00",36.2,,,,,,,,,,,,,,,
,,2011 - 2012,101,"3,743.00",37.06,,,,,,,,,,,,,,,
,,2012 - 2013,103,"3,668.00",35.61,,,,,,,,,,,,,,,
,,2013 - 2014,113,"4,178.00",36.97,,,,,,,,,,,,,,,
,,2014 - 2015,171,"6,286.00",36.76,,,,,,,,,,,,,,,
,,2015 - 2016,340,"11,984.00",35.25,,,,,,,,,,,,,,,
,,2016 - 2017,330,"12,694.00",38.47,,,,,,,,,,,,,,,
,,2017 - 2018,174,"6,508.00",37.4,,,,,,,,,,,,,,,
,,2018 - 2019,184,"6,451.00",35.06,,,,,,,,,,,,,,,
,,2019 - 2020,185,"7,586.00",41.01,,,,,,,,,,,,,,,
,,2020 - 2021,185,"6,631.00",35.84,,,,,,,,,,,,,,,
,,2021 - 2022,213,"8,301.00",38.97,,,,,,,,,,,,,,,
,,2022 - 2023,176,"7,843.00",44.56,,,,,,,,,,,,,,,
,10. Dhubri,2000 - 2001,307,"11,328.00",36.9,,,,,,,,,,,,,,,
,,2001 - 2002,184,"6,851.00",37.23,,,,,,,,,,,,,,,
,,2002 - 2003,174,"6,337.00",36.42,,,,,,,,,,,,,,,
,,2003 - 2004,106,"4,090.00",38.58,,,,,,,,,,,,,,,
,,2004 - 2005,93,"3,433.00",36.91,,,,,,,,,,,,,,,
,,2005 - 2006,75,"2,789.00",37.19,,,,,,,,,,,,,,,
,,2006 - 2007,75,"2,973.00",39.64,,,,,,,,,,,,,,,
,,2007 - 2008,92,"3,503.00",38.08,,,,,,,,,,,,,,,
,,2008 - 2009,92,"3,532.00",38.39,,,,,,,,,,,,,,,
,,2009 - 2010,92,"3,598.00",39.11,,,,,,,,,,,,,,,
,,2010 - 2011,138,"4,996.00",36.2,,,,,,,,,,,,,,,
,,2011 - 2012,142,"5,262.00",37.06,,,,,,,,,,,,,,,
,,2012 - 2013,154,"5,484.00",35.61,,,,,,,,,,,,,,,
,,2013 - 2014,145,"5,361.00",36.97,,,,,,,,,,,,,,,
,,2014 - 2015,147,"5,403.00",36.76,,,,,,,,,,,,,,,
,,2015 - 2016,266,"9,374.00",35.24,,,,,,,,,,,,,,,
,,2016 - 2017,325,"12,502.00",38.47,,,,,,,,,,,,,,,
,,2017 - 2018,245,"9,163.00",37.4,,,,,,,,,,,,,,,
,,2018 - 2019,325,"11,396.00",35.06,,,,,,,,,,,,,,,
,,2019 - 2020,247,"10,129.00",41.01,,,,,,,,,,,,,,,
,,2020 - 2021,243,"8,710.00",35.84,,,,,,,,,,,,,,,
,,2021 - 2022,243,"9,469.00",38.97,,,,,,,,,,,,,,,
,,2022 - 2023,509,"22,685.00",44.57,,,,,,,,,,,,,,,
,11. Dibrugarh,2000 - 2001,154,"5,682.00",36.9,,,,,,,,,,,,,,,
,,2001 - 2002,125,"4,654.00",37.23,,,,,,,,,,,,,,,
,,2002 - 2003,91,"3,314.00",36.42,,,,,,,,,,,,,,,
,,2003 - 2004,91,"3,512.00",38.59,,,,,,,,,,,,,,,
,,2004 - 2005,70,"2,584.00",36.91,,,,,,,,,,,,,,,
,,2005 - 2006,71,"2,640.00",37.18,,,,,,,,,,,,,,,
,,2006 - 2007,62,"2,457.00",39.63,,,,,,,,,,,,,,,
,,2007 - 2008,64,"2,475.00",38.67,,,,,,,,,,,,,,,
,,2008 - 2009,44,"1,689.00",38.39,,,,,,,,,,,,,,,
,,2009 - 2010,47,"1,838.00",39.11,,,,,,,,,,,,,,,
,,2010 - 2011,64,"2,317.00",36.2,,,,,,,,,,,,,,,
,,2011 - 2012,96,"3,557.00",37.05,,,,,,,,,,,,,,,
,,2012 - 2013,120,"4,273.00",35.61,,,,,,,,,,,,,,,
,,2013 - 2014,89,"3,290.00",36.97,,,,,,,,,,,,,,,
,,2014 - 2015,105,"3,860.00",36.76,,,,,,,,,,,,,,,
