State,District,Year,Sugarcane,,,,,,,,,,,,,,,,,
,,,Whole Year,,,Autumn,,,Kharif,,,Winter,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,"33,800.00","22,98,500.00",68,,,,,,,,,,,,,,,
,,2008 - 2009,"19,200.00","11,13,900.00",58.02,,,,,,,,,,,,,,,
,,2009 - 2010,"12,900.00","6,21,300.00",48.16,,,,,,,,,,,,,,,
,,2010 - 2011,"13,700.00","8,27,500.00",60.4,,,,,,,,,,,,,,,
,,2011 - 2012,"23,900.00","17,52,000.00",73.31,,,,,,,,,,,,,,,
,,2012 - 2013,"12,800.00","10,47,900.00",81.87,,,,,,,,,,,,,,,
,,2013 - 2014,"12,200.00","10,20,700.00",83.66,,,,,,,,,,,,,,,
,,2014 - 2015,"18,800.00","11,13,200.00",59.21,,,,,,,,,,,,,,,
,,2015 - 2016,"18,800.00","5,29,500.00",28.16,,,,,,,,,,,,,,,
,,2016 - 2017,"14,501.00","8,60,400.00",59.33,,,,,,,,,,,,,,,
,,2017 - 2018,"23,000.00","14,95,000.00",65,,,,,,,,,,,,,,,
,,2018 - 2019,"23,303.00","7,45,696.00",32,,,,,,,,,,,,,,,
,,2019 - 2020,"30,000.00","19,66,125.00",65.54,,,,,,,,,,,,,,,
,,2020 - 2021,"21,900.00","18,36,294.46",83.85,,,,,,,,,,,,,,,
,,2021 - 2022,"38,052.00","32,21,788.46",84.67,,,,,,,,,,,,,,,
,,2022 - 2023,"35,943.00","17,97,150.00",50,,,,,,,,,,,,,,,
,20. Nandurbar,2000 - 2001,"8,200.00","5,72,700.00",69.84,,,,,,,,,,,,,,,
,,2001 - 2002,"5,900.00","3,56,100.00",60.36,,,,,,,,,,,,,,,
,,2002 - 2003,"6,000.00","4,18,000.00",69.67,,,,,,,,,,,,,,,
,,2003 - 2004,"4,000.00","2,48,100.00",62.03,,,,,,,,,,,,,,,
,,2004 - 2005,"4,200.00","2,56,600.00",61.1,,,,,,,,,,,,,,,
,,2005 - 2006,"5,600.00","3,56,000.00",63.57,,,,,,,,,,,,,,,
,,2006 - 2007,"13,800.00","9,15,800.00",66.36,,,,,,,,,,,,,,,
,,2007 - 2008,"24,300.00","17,94,200.00",73.84,,,,,,,,,,,,,,,
,,2008 - 2009,"11,000.00","8,10,900.00",73.72,,,,,,,,,,,,,,,
,,2009 - 2010,"9,700.00","6,75,400.00",69.63,,,,,,,,,,,,,,,
,,2010 - 2011,"10,200.00","7,38,500.00",72.4,,,,,,,,,,,,,,,
,,2011 - 2012,"8,300.00","7,78,700.00",93.82,,,,,,,,,,,,,,,
,,2012 - 2013,"10,800.00","7,94,000.00",73.52,,,,,,,,,,,,,,,
,,2013 - 2014,"10,800.00","8,32,600.00",77.09,,,,,,,,,,,,,,,
,,2014 - 2015,"8,000.00","6,33,800.00",79.23,,,,,,,,,,,,,,,
,,2015 - 2016,"14,100.00","10,44,800.00",74.1,,,,,,,,,,,,,,,
,,2016 - 2017,"10,952.00","8,72,300.00",79.65,,,,,,,,,,,,,,,
,,2017 - 2018,"14,887.00","12,66,900.00",85.1,,,,,,,,,,,,,,,
,,2018 - 2019,"15,477.00","13,54,857.00",87.54,,,,,,,,,,,,,,,
,,2019 - 2020,"14,585.00","11,28,876.00",77.4,,,,,,,,,,,,,,,
,,2020 - 2021,"17,671.00","13,18,193.19",74.6,,,,,,,,,,,,,,,
,,2021 - 2022,"23,201.00","9,62,023.58",41.46,,,,,,,,,,,,,,,
,,2022 - 2023,"24,042.00","20,56,071.84",85.52,,,,,,,,,,,,,,,
,21. Nashik,2000 - 2001,"25,100.00","22,84,500.00",91.02,,,,,,,,,,,,,,,
,,2001 - 2002,"23,600.00","18,46,900.00",78.26,,,,,,,,,,,,,,,
,,2002 - 2003,"23,300.00","16,53,000.00",70.94,,,,,,,,,,,,,,,
,,2003 - 2004,"20,400.00","11,59,400.00",56.83,,,,,,,,,,,,,,,
,,2004 - 2005,"12,100.00","6,72,900.00",55.61,,,,,,,,,,,,,,,
,,2005 - 2006,"14,300.00","7,29,500.00",51.01,,,,,,,,,,,,,,,
,,2006 - 2007,"28,500.00","19,59,900.00",68.77,,,,,,,,,,,,,,,
,,2007 - 2008,"50,200.00","43,06,300.00",85.78,,,,,,,,,,,,,,,
,,2008 - 2009,"38,300.00","26,74,400.00",69.83,,,,,,,,,,,,,,,
,,2009 - 2010,"31,100.00","22,68,100.00",72.93,,,,,,,,,,,,,,,
,,2010 - 2011,"25,700.00","19,89,200.00",77.4,,,,,,,,,,,,,,,
,,2011 - 2012,"24,600.00","18,61,200.00",75.66,,,,,,,,,,,,,,,
,,2012 - 2013,"24,600.00","18,63,900.00",75.77,,,,,,,,,,,,,,,
,,2013 - 2014,"21,000.00","17,86,500.00",85.07,,,,,,,,,,,,,,,
,,2014 - 2015,"16,800.00","13,84,200.00",82.39,,,,,,,,,,,,,,,
,,2015 - 2016,"19,000.00","15,31,200.00",80.59,,,,,,,,,,,,,,,
,,2016 - 2017,"11,216.00","9,66,200.00",86.14,,,,,,,,,,,,,,,
,,2017 - 2018,"11,865.00","9,88,600.00",83.32,,,,,,,,,,,,,,,
,,2018 - 2019,"15,345.00","14,61,304.00",95.23,,,,,,,,,,,,,,,
,,2019 - 2020,"13,644.00","10,94,464.00",80.22,,,,,,,,,,,,,,,
,,2020 - 2021,"14,366.00","16,23,785.20",113.03,,,,,,,,,,,,,,,
,,2021 - 2022,"20,923.00","16,03,003.29",76.61,,,,,,,,,,,,,,,
,,2022 - 2023,"30,965.00","28,36,084.35",91.59,,,,,,,,,,,,,,,
,22. Parbhani,2000 - 2001,"12,900.00","8,49,600.00",65.86,,,,,,,,,,,,,,,
,,2001 - 2002,"12,100.00","10,71,300.00",88.54,,,,,,,,,,,,,,,
,,2002 - 2003,"15,800.00","9,02,000.00",57.09,,,,,,,,,,,,,,,
,,2003 - 2004,"13,400.00","8,54,500.00",63.77,,,,,,,,,,,,,,,
,,2004 - 2005,"8,900.00","4,96,600.00",55.8,,,,,,,,,,,,,,,
,,2005 - 2006,"11,000.00","7,40,000.00",67.27,,,,,,,,,,,,,,,
,,2006 - 2007,"20,900.00","17,58,300.00",84.13,,,,,,,,,,,,,,,
,,2007 - 2008,"18,900.00","14,45,800.00",76.5,,,,,,,,,,,,,,,
,,2008 - 2009,"12,300.00","9,39,400.00",76.37,,,,,,,,,,,,,,,
,,2009 - 2010,"11,000.00","8,56,600.00",77.87,,,,,,,,,,,,,,,
,,2010 - 2011,"15,500.00","14,15,200.00",91.3,,,,,,,,,,,,,,,
,,2011 - 2012,"17,200.00","11,66,200.00",67.8,,,,,,,,,,,,,,,
,,2012 - 2013,"17,000.00","12,12,400.00",71.32,,,,,,,,,,,,,,,
,,2013 - 2014,"35,900.00","25,49,700.00",71.02,,,,,,,,,,,,,,,
,,2014 - 2015,"26,600.00","15,77,200.00",59.29,,,,,,,,,,,,,,,
,,2015 - 2016,"28,500.00","7,63,600.00",26.79,,,,,,,,,,,,,,,
,,2016 - 2017,"9,000.00","5,78,614.00",64.29,,,,,,,,,,,,,,,
,,2017 - 2018,"25,000.00","13,75,000.00",55,,,,,,,,,,,,,,,
,,2018 - 2019,"45,700.00","19,19,400.00",42,,,,,,,,,,,,,,,
,,2019 - 2020,"15,759.00","10,32,727.00",65.53,,,,,,,,,,,,,,,
,,2020 - 2021,"31,500.00","23,17,556.61",73.57,,,,,,,,,,,,,,,
,,2021 - 2022,"50,898.00","43,45,889.15",85.38,,,,,,,,,,,,,,,
,,2022 - 2023,"47,058.00","42,35,220.00",90,,,,,,,,,,,,,,,
,23. Pune,2000 - 2001,"48,700.00","45,58,300.00",93.6,,,,,,,,,,,,,,,
,,2001 - 2002,"48,700.00","41,61,000.00",85.44,,,,,,,,,,,,,,,
,,2002 - 2003,"53,500.00","46,90,000.00",87.66,,,,,,,,,,,,,,,
,,2003 - 2004,"39,600.00","27,56,000.00",69.6,,,,,,,,,,,,,,,
,,2004 - 2005,"28,200.00","23,61,900.00",83.76,,,,,,,,,,,,,,,
,,2005 - 2006,"53,800.00","50,36,100.00",93.61,,,,,,,,,,,,,,,
,,2006 - 2007,"78,200.00","68,72,600.00",87.88,,,,,,,,,,,,,,,
,,2007 - 2008,"1,04,200.00","1,01,57,700.00",97.48,,,,,,,,,,,,,,,
,,2008 - 2009,"85,600.00","83,32,800.00",97.35,,,,,,,,,,,,,,,
,,2009 - 2010,"95,600.00","91,12,100.00",95.31,,,,,,,,,,,,,,,
,,2010 - 2011,"1,11,500.00","1,10,83,100.00",99.4,,,,,,,,,,,,,,,
,,2011 - 2012,"1,29,900.00","1,31,57,600.00",101.29,,,,,,,,,,,,,,,
,,2012 - 2013,"1,37,700.00","1,38,88,400.00",100.86,,,,,,,,,,,,,,,
,,2013 - 2014,"1,43,900.00","1,69,63,500.00",117.88,,,,,,,,,,,,,,,
,,2014 - 2015,"1,27,800.00","1,38,33,900.00",108.25,,,,,,,,,,,,,,,
,,2015 - 2016,"1,18,400.00","1,22,85,400.00",103.76,,,,,,,,,,,,,,,
,,2016 - 2017,"95,903.00","90,70,900.00",94.58,,,,,,,,,,,,,,,
,,2017 - 2018,"1,13,140.00","1,32,70,600.00",117.29,,,,,,,,,,,,,,,
,,2018 - 2019,"1,41,730.00","1,32,33,330.00",93.37,,,,,,,,,,,,,,,
,,2019 - 2020,"1,10,264.00","1,13,85,547.00",103.26,,,,,,,,,,,,,,,
,,2020 - 2021,"1,17,830.00","1,33,59,894.69",113.38,,,,,,,,,,,,,,,
,,2021 - 2022,"1,55,265.00","1,71,38,495.27",110.38,,,,,,,,,,,,,,,
,,2022 - 2023,"1,57,570.00","1,68,59,990.00",107,,,,,,,,,,,,,,,
,24. Ratnagiri,2016 - 2017,95,"9,600.00",101.05,,,,,,,,,,,,,,,
,,2017 - 2018,44,"2,600.00",59.09,,,,,,,,,,,,,,,
,,2022 - 2023,19,"1,523.80",80.2,,,,,,,,,,,,,,,
,25. Sangli,2000 - 2001,"45,200.00","43,44,800.00",96.12,,,,,,,,,,,,,,,
,,2001 - 2002,"44,900.00","44,72,400.00",99.61,,,,,,,,,,,,,,,
,,2002 - 2003,"47,400.00","42,06,000.00",88.73,,,,,,,,,,,,,,,
,,2003 - 2004,"35,100.00","27,95,500.00",79.64,,,,,,,,,,,,,,,
,,2004 - 2005,"31,600.00","26,51,500.00",83.91,,,,,,,,,,,,,,,
,,2005 - 2006,"36,800.00","29,96,400.00",81.42,,,,,,,,,,,,,,,
,,2006 - 2007,"53,400.00","49,73,000.00",93.13,,,,,,,,,,,,,,,
,,2007 - 2008,"64,700.00","65,50,000.00",101.24,,,,,,,,,,,,,,,
,,2008 - 2009,"55,400.00","50,37,100.00",90.92,,,,,,,,,,,,,,,
,,2009 - 2010,"63,200.00","54,19,700.00",85.75,,,,,,,,,,,,,,,
,,2010 - 2011,"76,300.00","78,51,300.00",102.9,,,,,,,,,,,,,,,
,,2011 - 2012,"70,500.00","71,63,400.00",101.61,,,,,,,,,,,,,,,
,,2012 - 2013,"60,700.00","70,66,100.00",116.41,,,,,,,,,,,,,,,
,,2013 - 2014,"62,600.00","74,66,700.00",119.28,,,,,,,,,,,,,,,
,,2014 - 2015,"74,500.00","81,07,100.00",108.82,,,,,,,,,,,,,,,
,,2015 - 2016,"84,000.00","80,87,900.00",96.28,,,,,,,,,,,,,,,
,,2016 - 2017,"72,358.00","78,09,500.00",107.93,,,,,,,,,,,,,,,
,,2017 - 2018,"80,176.00","85,46,800.00",106.6,,,,,,,,,,,,,,,
,,2018 - 2019,"89,918.00","91,78,829.00",102.08,,,,,,,,,,,,,,,
,,2019 - 2020,"89,827.00","89,87,585.00",100.05,,,,,,,,,,,,,,,
,,2020 - 2021,"1,11,945.00","1,23,94,752.83",110.72,,,,,,,,,,,,,,,
,,2021 - 2022,"92,715.00","98,67,440.05",106.43,,,,,,,,,,,,,,,
,,2022 - 2023,"1,37,585.00","1,42,26,289.00",103.4,,,,,,,,,,,,,,,
,26. Satara,2000 - 2001,"38,300.00","35,04,000.00",91.49,,,,,,,,,,,,,,,
,,2001 - 2002,"39,400.00","37,28,000.00",94.62,,,,,,,,,,,,,,,
,,2002 - 2003,"38,000.00","35,36,000.00",93.05,,,,,,,,,,,,,,,
,,2003 - 2004,"31,300.00","21,06,100.00",67.29,,,,,,,,,,,,,,,
,,2004 - 2005,"23,200.00","18,75,300.00",80.83,,,,,,,,,,,,,,,
,,2005 - 2006,"38,900.00","34,53,800.00",88.79,,,,,,,,,,,,,,,
,,2006 - 2007,"53,600.00","44,85,400.00",83.68,,,,,,,,,,,,,,,
,,2007 - 2008,"60,800.00","51,35,600.00",84.47,,,,,,,,,,,,,,,
,,2008 - 2009,"50,400.00","42,30,000.00",83.93,,,,,,,,,,,,,,,
,,2009 - 2010,"53,800.00","48,12,200.00",89.45,,,,,,,,,,,,,,,
,,2010 - 2011,"74,000.00","69,63,400.00",94.1,,,,,,,,,,,,,,,
,,2011 - 2012,"70,600.00","69,62,600.00",98.62,,,,,,,,,,,,,,,
,,2012 - 2013,"59,800.00","55,77,700.00",93.27,,,,,,,,,,,,,,,
,,2013 - 2014,"59,800.00","60,15,200.00",100.59,,,,,,,,,,,,,,,
,,2014 - 2015,"70,000.00","69,27,400.00",98.96,,,,,,,,,,,,,,,
,,2015 - 2016,"65,500.00","63,29,800.00",96.64,,,,,,,,,,,,,,,
,,2016 - 2017,"50,329.00","62,59,700.00",124.38,,,,,,,,,,,,,,,
,,2017 - 2018,"80,644.00","79,83,800.00",99,,,,,,,,,,,,,,,
,,2018 - 2019,"82,485.00","80,38,163.00",97.45,,,,,,,,,,,,,,,
,,2019 - 2020,"84,010.00","89,77,829.00",106.87,,,,,,,,,,,,,,,
,,2020 - 2021,"94,933.00","1,04,67,495.70",110.26,,,,,,,,,,,,,,,
,,2021 - 2022,"1,16,626.00","1,31,26,135.11",112.55,,,,,,,,,,,,,,,
,,2022 - 2023,"1,16,625.00","1,27,47,112.50",109.3,,,,,,,,,,,,,,,
,27. Sindhudurg,2013 - 2014,"1,100.00","96,700.00",87.91,,,,,,,,,,,,,,,
,,2015 - 2016,"1,400.00","1,08,300.00",77.36,,,,,,,,,,,,,,,
,,2016 - 2017,"1,209.00","1,21,400.00",100.41,,,,,,,,,,,,,,,
,,2017 - 2018,"1,098.00","65,900.00",60.02,,,,,,,,,,,,,,,
,,2022 - 2023,"1,236.00","99,127.20",80.2,,,,,,,,,,,,,,,
,28. Solapur,2000 - 2001,"64,700.00","59,52,500.00",92,,,,,,,,,,,,,,,
,,2001 - 2002,"59,800.00","45,33,500.00",75.81,,,,,,,,,,,,,,,
,,2002 - 2003,"56,400.00","40,52,000.00",71.84,,,,,,,,,,,,,,,
,,2003 - 2004,"48,600.00","28,31,500.00",58.26,,,,,,,,,,,,,,,
,,2004 - 2005,"36,400.00","26,32,800.00",72.33,,,,,,,,,,,,,,,
,,2005 - 2006,"68,300.00","56,60,500.00",82.88,,,,,,,,,,,,,,,
,,2006 - 2007,"1,43,600.00","1,22,23,700.00",85.12,,,,,,,,,,,,,,,
,,2007 - 2008,"1,54,500.00","1,22,47,900.00",79.27,,,,,,,,,,,,,,,
,,2008 - 2009,"1,17,500.00","99,54,400.00",84.72,,,,,,,,,,,,,,,
,,2009 - 2010,"1,07,300.00","99,32,600.00",92.57,,,,,,,,,,,,,,,
,,2010 - 2011,"1,63,100.00","1,60,00,100.00",98.1,,,,,,,,,,,,,,,
,,2011 - 2012,"1,73,400.00","1,59,36,200.00",91.9,,,,,,,,,,,,,,,
,,2012 - 2013,"1,44,200.00","97,16,600.00",67.38,,,,,,,,,,,,,,,
,,2013 - 2014,"1,22,600.00","1,04,88,200.00",85.55,,,,,,,,,,,,,,,
,,2014 - 2015,"2,05,500.00","2,00,49,700.00",97.57,,,,,,,,,,,,,,,
,,2015 - 2016,"1,83,100.00","1,09,64,400.00",59.88,,,,,,,,,,,,,,,
,,2016 - 2017,"64,744.00","47,62,070.00",73.55,,,,,,,,,,,,,,,
,,2017 - 2018,"1,00,505.00","1,04,68,150.00",104.16,,,,,,,,,,,,,,,
,,2018 - 2019,"1,90,018.00","1,40,93,635.00",74.17,,,,,,,,,,,,,,,
,,2019 - 2020,"97,086.00","88,86,198.00",91.53,,,,,,,,,,,,,,,
,,2020 - 2021,"2,15,000.00","2,26,08,354.26",105.16,,,,,,,,,,,,,,,
,,2021 - 2022,"2,54,125.00","2,60,87,769.41",102.66,,,,,,,,,,,,,,,
,,2022 - 2023,"2,30,050.00","2,00,58,059.50",87.19,,,,,,,,,,,,,,,
,29. Thane,2022 - 2023,11,882.2,80.2,,,,,,,,,,,,,,,
,30. Wardha,2000 - 2001,"3,500.00","2,33,900.00",66.83,,,,,,,,,,,,,,,
,,2001 - 2002,"3,200.00","1,91,400.00",59.81,,,,,,,,,,,,,,,
,,2002 - 2003,"3,900.00","2,32,000.00",59.49,,,,,,,,,,,,,,,
,,2003 - 2004,"2,900.00","1,71,700.00",59.21,,,,,,,,,,,,,,,
,,2004 - 2005,"1,600.00","72,000.00",45,,,,,,,,,,,,,,,
,,2005 - 2006,"1,600.00","88,500.00",55.31,,,,,,,,,,,,,,,
,,2006 - 2007,"3,400.00","2,29,300.00",67.44,,,,,,,,,,,,,,,
,,2007 - 2008,"5,500.00","3,19,200.00",58.04,,,,,,,,,,,,,,,
,,2008 - 2009,"1,900.00","72,300.00",38.05,,,,,,,,,,,,,,,
,,2009 - 2010,"1,800.00","1,48,600.00",82.56,,,,,,,,,,,,,,,
,,2010 - 2011,"2,000.00","1,36,800.00",68.4,,,,,,,,,,,,,,,
,,2011 - 2012,"3,700.00","2,44,300.00",66.03,,,,,,,,,,,,,,,
,,2012 - 2013,"2,100.00","1,80,200.00",85.81,,,,,,,,,,,,,,,
,,2013 - 2014,"3,200.00","1,87,500.00",58.59,,,,,,,,,,,,,,,
,,2014 - 2015,"3,100.00","2,01,800.00",65.1,,,,,,,,,,,,,,,
,,2015 - 2016,"3,100.00","2,14,700.00",69.26,,,,,,,,,,,,,,,
,,2016 - 2017,"3,017.00","1,80,200.00",59.73,,,,,,,,,,,,,,,
,,2017 - 2018,"2,168.00","1,30,100.00",60.01,,,,,,,,,,,,,,,
,,2018 - 2019,"2,505.00","1,69,488.00",67.66,,,,,,,,,,,,,,,
,,2019 - 2020,"2,660.00","1,71,916.00",64.63,,,,,,,,,,,,,,,
,,2020 - 2021,"1,407.00","96,250.00",68.41,,,,,,,,,,,,,,,
,,2021 - 2022,532,"33,576.96",63.11,,,,,,,,,,,,,,,
,,2022 - 2023,"1,784.00","89,200.00",50,,,,,,,,,,,,,,,
,31. Washim,2000 - 2001,"2,800.00","1,86,900.00",66.75,,,,,,,,,,,,,,,
,,2001 - 2002,"2,400.00","1,42,500.00",59.38,,,,,,,,,,,,,,,
,,2002 - 2003,"1,100.00","55,000.00",50,,,,,,,,,,,,,,,
,,2003 - 2004,"1,200.00","65,400.00",54.5,,,,,,,,,,,,,,,
,,2004 - 2005,"1,300.00","88,700.00",68.23,,,,,,,,,,,,,,,
,,2005 - 2006,300,"20,100.00",67,,,,,,,,,,,,,,,
,,2006 - 2007,100,"5,000.00",50,,,,,,,,,,,,,,,
,,2007 - 2008,600,"48,600.00",81,,,,,,,,,,,,,,,
,,2008 - 2009,100,"6,500.00",65,,,,,,,,,,,,,,,
,,2009 - 2010,200,"14,200.00",71,,,,,,,,,,,,,,,
,,2011 - 2012,100,"7,600.00",76,,,,,,,,,,,,,,,
,,2014 - 2015,200,"5,800.00",29,,,,,,,,,,,,,,,
,,2015 - 2016,200,"7,200.00",36,,,,,,,,,,,,,,,
,,2016 - 2017,256,"13,500.00",52.73,,,,,,,,,,,,,,,
,,2017 - 2018,154,"6,900.00",44.81,,,,,,,,,,,,,,,
,,2018 - 2019,183,"8,784.00",48,,,,,,,,,,,,,,,
,,2019 - 2020,99,"4,178.00",42.2,,,,,,,,,,,,,,,
,,2022 - 2023,117,"5,850.00",50,,,,,,,,,,,,,,,
,32. Yavatmal,2000 - 2001,"7,400.00","5,59,900.00",75.66,,,,,,,,,,,,,,,
,,2001 - 2002,"6,900.00","4,99,200.00",72.35,,,,,,,,,,,,,,,
,,2002 - 2003,"7,200.00","4,48,000.00",62.22,,,,,,,,,,,,,,,
,,2003 - 2004,"5,600.00","3,50,000.00",62.5,,,,,,,,,,,,,,,
,,2004 - 2005,"3,000.00","1,99,600.00",66.53,,,,,,,,,,,,,,,
,,2005 - 2006,"2,700.00","1,92,300.00",71.22,,,,,,,,,,,,,,,
,,2006 - 2007,"11,300.00","7,17,700.00",63.51,,,,,,,,,,,,,,,
,,2007 - 2008,"13,300.00","11,12,600.00",83.65,,,,,,,,,,,,,,,
,,2008 - 2009,"6,300.00","3,57,300.00",56.71,,,,,,,,,,,,,,,
,,2009 - 2010,"2,300.00","1,67,200.00",72.7,,,,,,,,,,,,,,,
,,2010 - 2011,"4,500.00","3,00,600.00",66.8,,,,,,,,,,,,,,,
,,2011 - 2012,"4,700.00","3,30,500.00",70.32,,,,,,,,,,,,,,,
,,2012 - 2013,"4,200.00","3,55,100.00",84.55,,,,,,,,,,,,,,,
,,2013 - 2014,"6,500.00","4,90,700.00",75.49,,,,,,,,,,,,,,,
,,2014 - 2015,"8,100.00","5,53,700.00",68.36,,,,,,,,,,,,,,,
,,2015 - 2016,"13,600.00","9,08,400.00",66.79,,,,,,,,,,,,,,,
,,2016 - 2017,"12,493.00","8,88,300.00",71.1,,,,,,,,,,,,,,,
,,2017 - 2018,"14,127.00","5,93,300.00",42,,,,,,,,,,,,,,,
,,2018 - 2019,"3,826.00","2,29,560.00",60,,,,,,,,,,,,,,,
,,2019 - 2020,"8,846.00","6,14,827.00",69.5,,,,,,,,,,,,,,,
,,2020 - 2021,"10,960.00","8,27,719.91",75.52,,,,,,,,,,,,,,,
,,2021 - 2022,"12,011.00","11,84,561.80",98.62,,,,,,,,,,,,,,,
,,2022 - 2023,"12,000.00","7,63,560.00",63.63,,,,,,,,,,,,,,,
19. Manipur,1. Bishnupur,2000 - 2001,120,"3,920.00",32.67,,,,,,,,,,,,,,,
,,2002 - 2003,100,"3,260.00",32.6,,,,,,,,,,,,,,,
,,2003 - 2004,120,"3,920.00",32.67,,,,,,,,,,,,,,,
,,2005 - 2006,20,650,32.5,,,,,,,,,,,,,,,
,,2006 - 2007,160,"5,230.00",32.69,,,,,,,,,,,,,,,
,,2008 - 2009,"1,660.00","96,800.00",58.31,,,,,,,,,,,,,,,
,,2009 - 2010,"1,100.00","61,850.00",56.23,,,,,,,,,,,,,,,
,,2010 - 2011,"1,660.00","97,300.00",58.61,,,,,,,,,,,,,,,
,,2011 - 2012,"1,760.00","1,02,750.00",58.38,,,,,,,,,,,,,,,
,,2012 - 2013,"1,680.00","98,760.00",58.79,,,,,,,,,,,,,,,
,,2013 - 2014,"1,760.00","1,03,000.00",58.52,,,,,,,,,,,,,,,
,,2014 - 2015,"1,760.00","1,03,000.00",58.52,,,,,,,,,,,,,,,
,,2015 - 2016,"1,750.00","1,05,000.00",60,,,,,,,,,,,,,,,
,,2016 - 2017,"1,750.00","1,05,000.00",60,,,,,,,,,,,,,,,
,,2017 - 2018,"1,750.00","1,05,000.00",60,,,,,,,,,,,,,,,
,,2018 - 2019,"1,200.00","73,000.00",60.83,,,,,,,,,,,,,,,
,,2021 - 2022,"1,000.00","60,250.00",60.25,,,,,,,,,,,,,,,
,,2022 - 2023,"1,000.00","60,250.00",60.25,,,,,,,,,,,,,,,
,2. Chandel,2000 - 2001,150,"4,900.00",32.67,,,,,,,,,,,,,,,
,,2002 - 2003,120,"3,920.00",32.67,,,,,,,,,,,,,,,
,,2003 - 2004,180,"5,880.00",32.67,,,,,,,,,,,,,,,
,,2006 - 2007,250,"8,160.00",32.64,,,,,,,,,,,,,,,
,,2007 - 2008,90,"2,940.00",32.67,,,,,,,,,,,,,,,
,,2008 - 2009,200,"9,530.00",47.65,,,,,,,,,,,,,,,
,,2009 - 2010,180,"9,530.00",52.94,,,,,,,,,,,,,,,
,,2010 - 2011,210,"10,020.00",47.71,,,,,,,,,,,,,,,
,,2011 - 2012,240,"13,000.00",54.17,,,,,,,,,,,,,,,
,,2012 - 2013,250,"13,090.00",52.36,,,,,,,,,,,,,,,
,,2013 - 2014,260,"14,630.00",56.27,,,,,,,,,,,,,,,
,,2014 - 2015,260,"14,630.00",56.27,,,,,,,,,,,,,,,
,,2015 - 2016,300,"14,090.00",46.97,,,,,,,,,,,,,,,
,,2016 - 2017,300,"14,090.00",46.97,,,,,,,,,,,,,,,
,,2017 - 2018,300,"14,090.00",46.97,,,,,,,,,,,,,,,
,,2018 - 2019,300,"14,090.00",46.97,,,,,,,,,,,,,,,
,,2021 - 2022,300,"14,090.00",46.97,,,,,,,,,,,,,,,
,,2022 - 2023,280,"13,850.00",49.46,,,,,,,,,,,,,,,
,3. Churachandpur,2000 - 2001,120,"3,920.00",32.67,,,,,,,,,,,,,,,
,,2002 - 2003,100,"3,270.00",32.7,,,,,,,,,,,,,,,
,,2003 - 2004,20,650,32.5,,,,,,,,,,,,,,,
,,2004 - 2005,170,"5,550.00",32.65,,,,,,,,,,,,,,,
,,2006 - 2007,90,"2,940.00",32.67,,,,,,,,,,,,,,,
,,2007 - 2008,400,"13,070.00",32.68,,,,,,,,,,,,,,,
,,2008 - 2009,180,"9,500.00",52.78,,,,,,,,,,,,,,,
,,2009 - 2010,190,"9,500.00",50,,,,,,,,,,,,,,,
,,2010 - 2011,190,"10,120.00",53.26,,,,,,,,,,,,,,,
,,2011 - 2012,220,"12,500.00",56.82,,,,,,,,,,,,,,,
,,2012 - 2013,240,"11,240.00",46.83,,,,,,,,,,,,,,,
,,2013 - 2014,240,"13,600.00",56.67,,,,,,,,,,,,,,,
,,2014 - 2015,240,"13,600.00",56.67,,,,,,,,,,,,,,,
,,2015 - 2016,280,"13,070.00",46.68,,,,,,,,,,,,,,,
,,2016 - 2017,280,"13,070.00",46.68,,,,,,,,,,,,,,,
,,2017 - 2018,280,"13,070.00",46.68,,,,,,,,,,,,,,,
,,2018 - 2019,280,"13,070.00",46.68,,,,,,,,,,,,,,,
,,2021 - 2022,280,"12,350.00",44.11,,,,,,,,,,,,,,,
,,2022 - 2023,230,"9,750.00",42.39,,,,,,,,,,,,,,,
,4. Imphal east,2000 - 2001,10,320,32,,,,,,,,,,,,,,,
,,2005 - 2006,10,330,33,,,,,,,,,,,,,,,
,,2008 - 2009,520,"31,070.00",59.75,,,,,,,,,,,,,,,
,,2009 - 2010,330,"24,270.00",73.55,,,,,,,,,,,,,,,
,,2010 - 2011,520,"31,120.00",59.85,,,,,,,,,,,,,,,
,,2011 - 2012,620,"36,120.00",58.26,,,,,,,,,,,,,,,
,,2012 - 2013,560,"30,450.00",54.38,,,,,,,,,,,,,,,
,,2013 - 2014,630,"37,000.00",58.73,,,,,,,,,,,,,,,
,,2014 - 2015,630,"37,000.00",58.73,,,,,,,,,,,,,,,
,,2015 - 2016,620,"39,430.00",63.6,,,,,,,,,,,,,,,
,,2016 - 2017,620,"39,430.00",63.6,,,,,,,,,,,,,,,
,,2017 - 2018,620,"39,430.00",63.6,,,,,,,,,,,,,,,
,,2018 - 2019,620,"38,500.00",62.1,,,,,,,,,,,,,,,
,,2021 - 2022,620,"39,430.00",63.6,,,,,,,,,,,,,,,
