State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,"2,183.00","1,107.00",0.51,,,,,,
,,2003 - 2004,"2,025.00","1,404.00",0.69,,,,,,
,,2004 - 2005,"1,813.00","1,280.00",0.71,,,,,,
,,2005 - 2006,"1,645.00","1,446.00",0.88,,,,,,
,,2006 - 2007,"1,530.00","1,335.00",0.87,,,,,,
,,2007 - 2008,"1,027.00",566,0.55,,,,,,
,,2008 - 2009,"1,122.00",808,0.72,,,,,,
,,2009 - 2010,,,,,,,979,692,0.71
,,2010 - 2011,832,654,0.79,,,,,,
,,2011 - 2012,679,657,0.97,,,,,,
,,2012 - 2013,461,404,0.88,,,,,,
,,2013 - 2014,904,630,0.7,,,,,,
,,2014 - 2015,"2,000.00","2,000.00",1,,,,,,
,,2015 - 2016,"3,000.00","2,000.00",0.67,,,,,,
,,2017 - 2018,"1,300.00",910,0.7,,,,,,
,,2018 - 2019,63,62,0.98,,,,,,
,,2019 - 2020,84,106,1.26,,,,,,
,,2020 - 2021,159,151,0.95,,,,,,
,,2021 - 2022,76,69,0.91,,,,,,
,,2022 - 2023,158,130,0.82,,,,,,
,24. Jhabua,2002 - 2003,3,2,0.67,,,,,,
,,2003 - 2004,7,4,0.57,,,,,,
,,2004 - 2005,1,,0,,,,,,
,,2007 - 2008,1,,0,,,,,,
,,2017 - 2018,40,30,0.75,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,
,,2020 - 2021,1,0,0,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,25. Katni,2000 - 2001,"5,481.00","1,893.00",0.35,,,,,,
,,2001 - 2002,"5,690.00","2,211.00",0.39,,,,,,
,,2002 - 2003,"5,752.00","1,540.00",0.27,,,,,,
,,2003 - 2004,"5,963.00","2,564.00",0.43,,,,,,
,,2004 - 2005,"5,670.00","2,420.00",0.43,,,,,,
,,2005 - 2006,"5,485.00","2,431.00",0.44,,,,,,
,,2006 - 2007,"5,267.00","1,909.00",0.36,,,,,,
,,2007 - 2008,"3,960.00","1,305.00",0.33,,,,,,
,,2008 - 2009,"4,865.00","2,468.00",0.51,,,,,,
,,2009 - 2010,,,,,,,"3,427.00","1,576.00",0.46
,,2010 - 2011,"2,157.00",585,0.27,,,,,,
,,2011 - 2012,"2,512.00","1,341.00",0.53,,,,,,
,,2012 - 2013,"2,271.00","1,058.00",0.47,,,,,,
,,2013 - 2014,"2,103.00","1,746.00",0.83,,,,,,
,,2014 - 2015,"3,000.00","2,000.00",0.67,,,,,,
,,2015 - 2016,"5,000.00","2,000.00",0.4,,,,,,
,,2016 - 2017,"3,000.00","2,000.00",0.67,,,,,,
,,2017 - 2018,"3,200.00","2,070.00",0.65,,,,,,
,,2018 - 2019,169,139,0.82,,,,,,
,,2019 - 2020,225,266,1.18,,,,,,
,,2020 - 2021,145,158,1.09,,,,,,
,,2021 - 2022,69,61,0.88,,,,,,
,,2022 - 2023,182,157,0.86,,,,,,
,26. Khandwa,2000 - 2001,56,13,0.23,,,,,,
,,2001 - 2002,165,52,0.32,,,,,,
,,2002 - 2003,113,38,0.34,,,,,,
,,2003 - 2004,91,30,0.33,,,,,,
,,2004 - 2005,86,25,0.29,,,,,,
,,2005 - 2006,102,36,0.35,,,,,,
,,2006 - 2007,116,54,0.47,,,,,,
,,2007 - 2008,104,39,0.38,,,,,,
,,2008 - 2009,98,39,0.4,,,,,,
,,2009 - 2010,,,,,,,88,44,0.5
,,2010 - 2011,104,31,0.3,,,,,,
,,2011 - 2012,107,46,0.43,,,,,,
,,2012 - 2013,40,16,0.4,,,,,,
,,2013 - 2014,25,13,0.52,,,,,,
,,2014 - 2015,"1,000.00",0,0,,,,,,
,,2018 - 2019,4,2,0.5,,,,,,
,,2019 - 2020,14,6,0.43,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,,2022 - 2023,2,0,0,,,,,,
,27. Khargone,2000 - 2001,29,5,0.17,,,,,,
,,2001 - 2002,50,14,0.28,,,,,,
,,2002 - 2003,66,18,0.27,,,,,,
,,2003 - 2004,50,17,0.34,,,,,,
,,2004 - 2005,58,18,0.31,,,,,,
,,2005 - 2006,40,14,0.35,,,,,,
,,2006 - 2007,37,17,0.46,,,,,,
,,2007 - 2008,27,12,0.44,,,,,,
,,2008 - 2009,27,11,0.41,,,,,,
,,2009 - 2010,,,,,,,38,18,0.47
,,2010 - 2011,13,5,0.38,,,,,,
,,2011 - 2012,10,5,0.5,,,,,,
,,2012 - 2013,17,7,0.41,,,,,,
,,2013 - 2014,13,1,0.08,,,,,,
,,2017 - 2018,50,20,0.4,,,,,,
,,2018 - 2019,1,,0,,,,,,
,,2019 - 2020,16,14,0.88,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,,2021 - 2022,2,2,1,,,,,,
,28. Mandla,2000 - 2001,"3,040.00",446,0.15,,,,,,
,,2001 - 2002,"4,468.00","1,295.00",0.29,,,,,,
,,2002 - 2003,"4,080.00","1,209.00",0.3,,,,,,
,,2003 - 2004,"4,428.00","1,578.00",0.36,,,,,,
,,2004 - 2005,"4,390.00","1,637.00",0.37,,,,,,
,,2005 - 2006,"4,761.00","1,672.00",0.35,,,,,,
,,2006 - 2007,"4,167.00","1,497.00",0.36,,,,,,
,,2007 - 2008,"4,290.00","1,399.00",0.33,,,,,,
,,2008 - 2009,"4,331.00","1,569.00",0.36,,,,,,
,,2009 - 2010,,,,,,,"4,460.00","1,441.00",0.32
,,2010 - 2011,"4,576.00","1,263.00",0.28,,,,,,
,,2011 - 2012,"5,675.00","2,357.00",0.42,,,,,,
,,2012 - 2013,"5,624.00","1,764.00",0.31,,,,,,
,,2013 - 2014,"5,584.00","2,898.00",0.52,,,,,,
,,2014 - 2015,"4,000.00","2,000.00",0.5,,,,,,
,,2015 - 2016,"7,000.00","3,000.00",0.43,,,,,,
,,2016 - 2017,"8,000.00","4,000.00",0.5,,,,,,
,,2017 - 2018,"3,670.00","1,790.00",0.49,,,,,,
,,2018 - 2019,658,392,0.6,,,,,,
,,2019 - 2020,"1,677.00","1,292.00",0.77,,,,,,
,,2020 - 2021,"2,164.00","1,406.00",0.65,,,,,,
,,2021 - 2022,"2,139.00","1,155.00",0.54,,,,,,
,,2022 - 2023,"2,242.00","1,480.00",0.66,,,,,,
,29. Mandsaur,2000 - 2001,"1,149.00",511,0.44,,,,,,
,,2001 - 2002,"2,788.00","1,490.00",0.53,,,,,,
,,2002 - 2003,371,149,0.4,,,,,,
,,2003 - 2004,"1,071.00",717,0.67,,,,,,
,,2004 - 2005,"1,814.00","1,351.00",0.74,,,,,,
,,2005 - 2006,"1,082.00",647,0.6,,,,,,
,,2006 - 2007,"1,947.00","1,675.00",0.86,,,,,,
,,2007 - 2008,"1,849.00","1,068.00",0.58,,,,,,
,,2008 - 2009,"1,228.00",959,0.78,,,,,,
,,2009 - 2010,,,,,,,"1,857.00","1,566.00",0.84
,,2010 - 2011,"1,259.00",695,0.55,,,,,,
,,2011 - 2012,"1,487.00","1,468.00",0.99,,,,,,
,,2012 - 2013,"2,805.00","2,907.00",1.04,,,,,,
,,2013 - 2014,"6,012.00","6,575.00",1.09,,,,,,
,,2014 - 2015,"2,000.00","3,000.00",1.5,,,,,,
,,2015 - 2016,"4,000.00","3,000.00",0.75,,,,,,
,,2016 - 2017,"6,000.00","6,000.00",1,,,,,,
,,2017 - 2018,"7,500.00","5,440.00",0.73,,,,,,
,,2018 - 2019,"8,893.00","7,595.00",0.85,,,,,,
,,2019 - 2020,"12,088.00","11,438.00",0.95,,,,,,
,,2020 - 2021,"7,625.00","8,235.00",1.08,,,,,,
,,2021 - 2022,"18,253.00","16,245.00",0.89,,,,,,
,,2022 - 2023,"31,665.00","25,332.00",0.8,,,,,,
,30. Morena,2000 - 2001,25,12,0.48,,,,,,
,,2001 - 2002,6,4,0.67,,,,,,
,,2002 - 2003,8,4,0.5,,,,,,
,,2003 - 2004,34,17,0.5,,,,,,
,,2004 - 2005,5,2,0.4,,,,,,
,,2005 - 2006,3,2,0.67,,,,,,
,,2006 - 2007,1,,0,,,,,,
,,2007 - 2008,4,3,0.75,,,,,,
,,2008 - 2009,3,2,0.67,,,,,,
,,2011 - 2012,130,91,0.7,,,,,,
,,2012 - 2013,4,2,0.5,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,
,,2015 - 2016,"5,000.00","3,000.00",0.6,,,,,,
,,2017 - 2018,"8,400.00","3,280.00",0.39,,,,,,
,,2019 - 2020,1,2,2,,,,,,
,,2020 - 2021,1,0,0,,,,,,
,,2022 - 2023,2,0,0,,,,,,
,31. Narsinghpur,2000 - 2001,39,23,0.59,,,,,,
,,2001 - 2002,98,63,0.64,,,,,,
,,2002 - 2003,45,25,0.56,,,,,,
,,2003 - 2004,47,32,0.68,,,,,,
,,2004 - 2005,19,14,0.74,,,,,,
,,2005 - 2006,13,11,0.85,,,,,,
,,2006 - 2007,14,11,0.79,,,,,,
,,2007 - 2008,18,13,0.72,,,,,,
,,2008 - 2009,6,6,1,,,,,,
,,2009 - 2010,,,,,,,5,4,0.8
,,2011 - 2012,1,2,2,,,,,,
,,2013 - 2014,5,3,0.6,,,,,,
,,2017 - 2018,10,10,1,,,,,,
,,2018 - 2019,13,12,0.92,,,,,,
,,2019 - 2020,13,17,1.31,,,,,,
,,2020 - 2021,7,6,0.86,,,,,,
,,2021 - 2022,8,7,0.88,,,,,,
,,2022 - 2023,4,3,0.75,,,,,,
,32. Neemuch,2000 - 2001,501,286,0.57,,,,,,
,,2001 - 2002,481,291,0.6,,,,,,
,,2002 - 2003,118,58,0.49,,,,,,
,,2003 - 2004,367,281,0.77,,,,,,
,,2004 - 2005,398,338,0.85,,,,,,
,,2005 - 2006,273,219,0.8,,,,,,
,,2006 - 2007,171,142,0.83,,,,,,
,,2007 - 2008,141,96,0.68,,,,,,
,,2008 - 2009,194,160,0.82,,,,,,
,,2009 - 2010,,,,,,,132,113,0.86
,,2010 - 2011,212,168,0.79,,,,,,
,,2011 - 2012,179,197,1.1,,,,,,
,,2012 - 2013,149,129,0.87,,,,,,
,,2013 - 2014,428,336,0.79,,,,,,
,,2017 - 2018,"2,400.00","1,630.00",0.68,,,,,,
,,2018 - 2019,"2,215.00","1,555.00",0.7,,,,,,
,,2019 - 2020,"2,748.00","3,462.00",1.26,,,,,,
,,2020 - 2021,"2,999.00","2,400.00",0.8,,,,,,
,,2021 - 2022,"6,128.00","5,270.00",0.86,,,,,,
,,2022 - 2023,"9,281.00","7,193.00",0.78,,,,,,
,33. Niwari,2019 - 2020,3,3,1,,,,,,
,34. Panna,2000 - 2001,"6,031.00","1,893.00",0.31,,,,,,
,,2001 - 2002,"4,379.00","1,830.00",0.42,,,,,,
,,2002 - 2003,"2,923.00","1,201.00",0.41,,,,,,
,,2003 - 2004,"2,776.00","1,261.00",0.45,,,,,,
,,2004 - 2005,"2,460.00","1,218.00",0.5,,,,,,
,,2005 - 2006,"2,436.00",828,0.34,,,,,,
,,2006 - 2007,"1,533.00",666,0.43,,,,,,
,,2007 - 2008,989,430,0.43,,,,,,
,,2008 - 2009,"1,141.00",701,0.61,,,,,,
,,2009 - 2010,,,,,,,997,650,0.65
,,2010 - 2011,811,349,0.43,,,,,,
,,2011 - 2012,"1,188.00",756,0.64,,,,,,
,,2012 - 2013,516,268,0.52,,,,,,
,,2013 - 2014,452,236,0.52,,,,,,
,,2014 - 2015,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,"2,000.00",250,0.13,,,,,,
,,2017 - 2018,210,130,0.62,,,,,,
,,2018 - 2019,34,24,0.71,,,,,,
,,2019 - 2020,97,71,0.73,,,,,,
,,2020 - 2021,64,55,0.86,,,,,,
,,2021 - 2022,23,12,0.52,,,,,,
,,2022 - 2023,59,41,0.69,,,,,,
,35. Raisen,2000 - 2001,"8,407.00","5,771.00",0.69,,,,,,
,,2001 - 2002,"6,732.00","4,826.00",0.72,,,,,,
,,2002 - 2003,"4,730.00","3,537.00",0.75,,,,,,
,,2003 - 2004,"4,820.00","4,097.00",0.85,,,,,,
,,2004 - 2005,"4,589.00","4,013.00",0.87,,,,,,
,,2005 - 2006,"4,385.00","3,554.00",0.81,,,,,,
,,2006 - 2007,"3,378.00","2,798.00",0.83,,,,,,
,,2007 - 2008,"2,135.00","1,608.00",0.75,,,,,,
,,2008 - 2009,"1,727.00","1,444.00",0.84,,,,,,
,,2009 - 2010,,,,,,,"1,535.00","1,364.00",0.89
,,2010 - 2011,"1,239.00",885,0.71,,,,,,
,,2011 - 2012,635,670,1.06,,,,,,
,,2012 - 2013,235,162,0.69,,,,,,
,,2013 - 2014,294,221,0.75,,,,,,
,,2014 - 2015,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,"1,000.00",859,0.86,,,,,,
,,2018 - 2019,54,39,0.72,,,,,,
,,2019 - 2020,141,156,1.11,,,,,,
,,2020 - 2021,14,17,1.21,,,,,,
,,2021 - 2022,14,10,0.71,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,36. Rajgarh,2000 - 2001,73,27,0.37,,,,,,
,,2001 - 2002,68,30,0.44,,,,,,
,,2002 - 2003,34,14,0.41,,,,,,
,,2003 - 2004,30,21,0.7,,,,,,
,,2004 - 2005,36,21,0.58,,,,,,
,,2005 - 2006,26,14,0.54,,,,,,
,,2006 - 2007,14,9,0.64,,,,,,
,,2007 - 2008,21,13,0.62,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2009 - 2010,,,,,,,19,16,0.84
,,2010 - 2011,3,1,0.33,,,,,,
,,2011 - 2012,6,7,1.17,,,,,,
,,2017 - 2018,40,30,0.75,,,,,,
,,2018 - 2019,4,4,1,,,,,,
,,2019 - 2020,13,14,1.08,,,,,,
,,2020 - 2021,15,14,0.93,,,,,,
,,2021 - 2022,34,29,0.85,,,,,,
,,2022 - 2023,68,58,0.85,,,,,,
,37. Ratlam,2000 - 2001,190,152,0.8,,,,,,
,,2001 - 2002,928,640,0.69,,,,,,
,,2002 - 2003,51,29,0.57,,,,,,
,,2003 - 2004,911,"1,100.00",1.21,,,,,,
,,2004 - 2005,"1,606.00","1,995.00",1.24,,,,,,
,,2005 - 2006,"1,228.00","1,412.00",1.15,,,,,,
,,2006 - 2007,"1,604.00","1,886.00",1.18,,,,,,
,,2007 - 2008,"1,477.00","1,579.00",1.07,,,,,,
,,2008 - 2009,987,"1,171.00",1.19,,,,,,
,,2009 - 2010,,,,,,,"1,059.00","1,253.00",1.18
,,2010 - 2011,767,957,1.25,,,,,,
,,2011 - 2012,"1,022.00","1,883.00",1.84,,,,,,
,,2012 - 2013,"1,378.00","2,254.00",1.64,,,,,,
,,2013 - 2014,"1,998.00","2,398.00",1.2,,,,,,
,,2014 - 2015,"2,000.00","2,000.00",1,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,"2,000.00","2,000.00",1,,,,,,
,,2017 - 2018,"2,930.00","3,530.00",1.2,,,,,,
,,2018 - 2019,"2,125.00","3,598.00",1.69,,,,,,
,,2019 - 2020,"2,403.00","3,682.00",1.53,,,,,,
,,2020 - 2021,"1,868.00","3,027.00",1.62,,,,,,
,,2021 - 2022,"4,447.00","3,913.00",0.88,,,,,,
,,2022 - 2023,"6,968.00","5,853.00",0.84,,,,,,
,38. Rewa,2000 - 2001,"17,483.00","4,393.00",0.25,,,,,,
,,2001 - 2002,"17,422.00","4,219.00",0.24,,,,,,
,,2002 - 2003,"17,232.00","4,081.00",0.24,,,,,,
,,2003 - 2004,"16,471.00","4,065.00",0.25,,,,,,
,,2004 - 2005,"15,647.00","3,974.00",0.25,,,,,,
,,2005 - 2006,"15,271.00","3,326.00",0.22,,,,,,
,,2006 - 2007,"13,836.00","3,081.00",0.22,,,,,,
,,2007 - 2008,"13,100.00","2,651.00",0.2,,,,,,
,,2008 - 2009,"13,097.00","4,120.00",0.31,,,,,,
,,2009 - 2010,,,,,,,"14,151.00","4,478.00",0.32
,,2010 - 2011,"11,534.00","2,925.00",0.25,,,,,,
,,2011 - 2012,"11,288.00","3,605.00",0.32,,,,,,
,,2012 - 2013,"10,904.00","3,021.00",0.28,,,,,,
,,2013 - 2014,"9,933.00","3,339.00",0.34,,,,,,
,,2014 - 2015,"7,000.00","3,000.00",0.43,,,,,,
,,2015 - 2016,"14,000.00","7,000.00",0.5,,,,,,
,,2016 - 2017,"10,000.00","6,000.00",0.6,,,,,,
,,2017 - 2018,"17,380.00","6,270.00",0.36,,,,,,
,,2018 - 2019,"2,003.00","1,122.00",0.56,,,,,,
,,2019 - 2020,"3,286.00","3,292.00",1,,,,,,
,,2020 - 2021,"2,077.00","1,416.00",0.68,,,,,,
,,2021 - 2022,"2,407.00","1,425.00",0.59,,,,,,
,,2022 - 2023,"3,271.00","2,191.00",0.67,,,,,,
,39. Sagar,2000 - 2001,"11,285.00","3,616.00",0.32,,,,,,
,,2001 - 2002,"9,120.00","3,901.00",0.43,,,,,,
,,2002 - 2003,"8,631.00","3,153.00",0.37,,,,,,
,,2003 - 2004,"7,081.00","3,412.00",0.48,,,,,,
,,2004 - 2005,"6,628.00","3,172.00",0.48,,,,,,
,,2005 - 2006,"6,336.00","3,187.00",0.5,,,,,,
,,2006 - 2007,"5,281.00","2,717.00",0.51,,,,,,
,,2007 - 2008,"2,824.00","1,320.00",0.47,,,,,,
,,2008 - 2009,"2,914.00","1,651.00",0.57,,,,,,
,,2009 - 2010,,,,,,,"2,592.00","1,560.00",0.6
,,2010 - 2011,"2,193.00","1,274.00",0.58,,,,,,
,,2011 - 2012,"1,695.00","1,164.00",0.69,,,,,,
,,2012 - 2013,"1,207.00",700,0.58,,,,,,
,,2013 - 2014,823,251,0.3,,,,,,
,,2014 - 2015,"2,000.00","1,000.00",0.5,,,,,,
,,2015 - 2016,"5,000.00","2,000.00",0.4,,,,,,
,,2016 - 2017,"4,000.00","2,000.00",0.5,,,,,,
,,2017 - 2018,"1,820.00",780,0.43,,,,,,
,,2018 - 2019,286,250,0.87,,,,,,
,,2019 - 2020,181,194,1.07,,,,,,
,,2020 - 2021,136,95,0.7,,,,,,
,,2021 - 2022,361,312,0.86,,,,,,
,,2022 - 2023,323,246,0.76,,,,,,
,40. Satna,2000 - 2001,"8,562.00","1,586.00",0.19,,,,,,
,,2001 - 2002,"7,593.00","2,277.00",0.3,,,,,,
,,2002 - 2003,"6,923.00","1,642.00",0.24,,,,,,
,,2003 - 2004,"6,799.00","2,251.00",0.33,,,,,,
,,2004 - 2005,"6,463.00","2,202.00",0.34,,,,,,
,,2005 - 2006,"5,418.00","2,012.00",0.37,,,,,,
,,2006 - 2007,"4,599.00","1,207.00",0.26,,,,,,
,,2007 - 2008,"4,271.00",991,0.23,,,,,,
,,2008 - 2009,"4,166.00","1,336.00",0.32,,,,,,
,,2009 - 2010,,,,,,,"4,192.00","2,018.00",0.48
,,2010 - 2011,"3,015.00",780,0.26,,,,,,
,,2011 - 2012,"2,752.00","1,308.00",0.48,,,,,,
,,2012 - 2013,"2,473.00",770,0.31,,,,,,
,,2013 - 2014,"2,104.00",511,0.24,,,,,,
,,2014 - 2015,"2,000.00","1,000.00",0.5,,,,,,
,,2015 - 2016,"4,000.00","3,000.00",0.75,,,,,,
,,2016 - 2017,"7,000.00","7,000.00",1,,,,,,
,,2017 - 2018,"7,210.00","6,970.00",0.97,,,,,,
,,2018 - 2019,409,142,0.35,,,,,,
,,2019 - 2020,433,208,0.48,,,,,,
,,2020 - 2021,246,249,1.01,,,,,,
,,2021 - 2022,239,101,0.42,,,,,,
,,2022 - 2023,285,173,0.61,,,,,,
,41. Sehore,2000 - 2001,"2,197.00","1,133.00",0.52,,,,,,
,,2001 - 2002,"2,183.00","1,614.00",0.74,,,,,,
,,2002 - 2003,"1,365.00","1,150.00",0.84,,,,,,
,,2003 - 2004,"1,240.00","1,089.00",0.88,,,,,,
,,2004 - 2005,267,133,0.5,,,,,,
,,2005 - 2006,821,687,0.84,,,,,,
,,2006 - 2007,850,726,0.85,,,,,,
,,2007 - 2008,561,481,0.86,,,,,,
,,2008 - 2009,279,261,0.94,,,,,,
,,2009 - 2010,,,,,,,276,337,1.22
,,2010 - 2011,382,292,0.76,,,,,,
,,2011 - 2012,198,380,1.92,,,,,,
,,2012 - 2013,173,174,1.01,,,,,,
,,2013 - 2014,103,93,0.9,,,,,,
,,2017 - 2018,10,10,1,,,,,,
,,2018 - 2019,14,18,1.29,,,,,,
,,2019 - 2020,7,12,1.71,,,,,,
,,2020 - 2021,11,12,1.09,,,,,,
,,2021 - 2022,18,19,1.06,,,,,,
,,2022 - 2023,12,12,1,,,,,,
,42. Seoni,2000 - 2001,"10,368.00","2,689.00",0.26,,,,,,
,,2001 - 2002,"11,814.00","4,521.00",0.38,,,,,,
,,2002 - 2003,"11,213.00","3,442.00",0.31,,,,,,
,,2003 - 2004,"11,725.00","4,877.00",0.42,,,,,,
,,2004 - 2005,"7,777.00","3,072.00",0.4,,,,,,
,,2005 - 2006,"11,593.00","4,384.00",0.38,,,,,,
,,2006 - 2007,"11,234.00","4,203.00",0.37,,,,,,
,,2007 - 2008,"10,767.00","3,660.00",0.34,,,,,,
,,2008 - 2009,"10,032.00","3,786.00",0.38,,,,,,
,,2009 - 2010,,,,,,,"10,054.00","4,034.00",0.4
,,2010 - 2011,"8,605.00","2,814.00",0.33,,,,,,
,,2011 - 2012,"8,517.00","4,113.00",0.48,,,,,,
,,2012 - 2013,"8,531.00","3,595.00",0.42,,,,,,
,,2013 - 2014,"7,613.00","3,081.00",0.4,,,,,,
,,2014 - 2015,"6,000.00","2,000.00",0.33,,,,,,
,,2015 - 2016,"7,000.00","2,000.00",0.29,,,,,,
,,2016 - 2017,"7,000.00","2,000.00",0.29,,,,,,
,,2017 - 2018,"6,500.00","3,180.00",0.49,,,,,,
,,2018 - 2019,"3,141.00","1,297.00",0.41,,,,,,
,,2019 - 2020,"2,379.00","1,423.00",0.6,,,,,,
,,2020 - 2021,"2,191.00","1,008.00",0.46,,,,,,
,,2021 - 2022,"25,589.00","1,243.00",0.05,,,,,,
,,2022 - 2023,"2,559.00","1,663.00",0.65,,,,,,
,43. Shahdol,2000 - 2001,"6,725.00","1,300.00",0.19,,,,,,
,,2001 - 2002,"7,438.00","1,689.00",0.23,,,,,,
,,2002 - 2003,"5,919.00","1,402.00",0.24,,,,,,
,,2003 - 2004,"2,927.00",835,0.29,,,,,,
,,2004 - 2005,"3,113.00",790,0.25,,,,,,
,,2005 - 2006,"3,302.00",864,0.26,,,,,,
,,2006 - 2007,"3,038.00",811,0.27,,,,,,
,,2007 - 2008,"2,714.00",724,0.27,,,,,,
,,2008 - 2009,"2,760.00",819,0.3,,,,,,
,,2009 - 2010,,,,,,,"2,993.00",858,0.29
,,2010 - 2011,"2,919.00",644,0.22,,,,,,
,,2011 - 2012,"2,586.00",921,0.36,,,,,,
,,2012 - 2013,"2,846.00",994,0.35,,,,,,
,,2013 - 2014,"4,664.00","1,810.00",0.39,,,,,,
,,2014 - 2015,"4,000.00","2,000.00",0.5,,,,,,
,,2015 - 2016,"3,000.00","2,000.00",0.67,,,,,,
,,2016 - 2017,"6,000.00","2,000.00",0.33,,,,,,
,,2017 - 2018,"7,200.00","2,880.00",0.4,,,,,,
,,2018 - 2019,490,172,0.35,,,,,,
,,2019 - 2020,"2,596.00","1,449.00",0.56,,,,,,
,,2020 - 2021,"2,751.00","2,270.00",0.83,,,,,,
,,2021 - 2022,"2,221.00",884,0.4,,,,,,
,,2022 - 2023,"2,745.00","1,620.00",0.59,,,,,,
,44. Shajapur,2000 - 2001,39,25,0.64,,,,,,
,,2001 - 2002,51,30,0.59,,,,,,
,,2002 - 2003,26,15,0.58,,,,,,
,,2003 - 2004,26,21,0.81,,,,,,
,,2004 - 2005,92,78,0.85,,,,,,
,,2005 - 2006,15,9,0.6,,,,,,
,,2006 - 2007,62,59,0.95,,,,,,
,,2007 - 2008,18,12,0.67,,,,,,
,,2008 - 2009,20,13,0.65,,,,,,
,,2009 - 2010,,,,,,,20,20,1
,,2010 - 2011,59,34,0.58,,,,,,
,,2011 - 2012,46,46,1,,,,,,
,,2012 - 2013,50,41,0.82,,,,,,
,,2013 - 2014,2,2,1,,,,,,
,,2017 - 2018,50,40,0.8,,,,,,
,,2018 - 2019,27,26,0.96,,,,,,
,,2019 - 2020,31,45,1.45,,,,,,
,,2020 - 2021,19,0,0,,,,,,
,,2021 - 2022,9,8,0.89,,,,,,
,,2022 - 2023,32,24,0.75,,,,,,
,45. Sheopur,2000 - 2001,"2,436.00",947,0.39,,,,,,
,,2001 - 2002,929,377,0.41,,,,,,
,,2002 - 2003,139,35,0.25,,,,,,
,,2003 - 2004,620,415,0.67,,,,,,
,,2004 - 2005,833,753,0.9,,,,,,
,,2005 - 2006,218,103,0.47,,,,,,
,,2006 - 2007,112,61,0.54,,,,,,
,,2007 - 2008,66,35,0.53,,,,,,
,,2008 - 2009,86,52,0.6,,,,,,
,,2009 - 2010,,,,,,,46,28,0.61
,,2010 - 2011,88,39,0.44,,,,,,
,,2011 - 2012,189,125,0.66,,,,,,
,,2012 - 2013,47,61,1.3,,,,,,
,,2013 - 2014,14,16,1.14,,,,,,
,,2017 - 2018,"3,330.00","3,830.00",1.15,,,,,,
,,2018 - 2019,4,7,1.75,,,,,,
,,2019 - 2020,4,8,2,,,,,,
,,2021 - 2022,2,2,1,,,,,,
,,2022 - 2023,5,0,0,,,,,,
,46. Shivpuri,2000 - 2001,"1,839.00",944,0.51,,,,,,
,,2001 - 2002,"1,811.00","1,122.00",0.62,,,,,,
,,2002 - 2003,295,91,0.31,,,,,,
,,2003 - 2004,335,216,0.64,,,,,,
,,2004 - 2005,244,152,0.62,,,,,,
,,2005 - 2006,219,163,0.74,,,,,,
,,2006 - 2007,273,177,0.65,,,,,,
,,2007 - 2008,265,118,0.45,,,,,,
,,2008 - 2009,295,222,0.75,,,,,,
,,2009 - 2010,,,,,,,113,91,0.81
,,2010 - 2011,80,131,1.64,,,,,,
,,2011 - 2012,52,130,2.5,,,,,,
,,2012 - 2013,65,126,1.94,,,,,,
,,2013 - 2014,39,60,1.54,,,,,,
,,2018 - 2019,4,10,2.5,,,,,,
,,2019 - 2020,4,11,2.75,,,,,,
,,2020 - 2021,14,20,1.43,,,,,,
,,2021 - 2022,2,2,1,,,,,,
,,2022 - 2023,23,15,0.65,,,,,,
,47. Sidhi,2000 - 2001,"14,929.00","3,360.00",0.23,,,,,,
,,2001 - 2002,"15,213.00","3,908.00",0.26,,,,,,
,,2002 - 2003,"14,715.00","3,775.00",0.26,,,,,,
,,2003 - 2004,"15,284.00","4,903.00",0.32,,,,,,
,,2004 - 2005,"14,565.00","4,809.00",0.33,,,,,,
,,2005 - 2006,"14,014.00","3,729.00",0.27,,,,,,
,,2006 - 2007,"13,609.00","3,547.00",0.26,,,,,,
,,2007 - 2008,"13,202.00","2,989.00",0.23,,,,,,
,,2008 - 2009,"5,683.00","1,727.00",0.3,,,,,,
,,2009 - 2010,,,,,,,"6,668.00","2,111.00",0.32
,,2010 - 2011,"5,457.00","1,162.00",0.21,,,,,,
,,2011 - 2012,"5,508.00","2,549.00",0.46,,,,,,
,,2012 - 2013,"5,030.00","1,961.00",0.39,,,,,,
,,2013 - 2014,"4,651.00","1,466.00",0.32,,,,,,
,,2014 - 2015,"5,000.00","1,000.00",0.2,,,,,,
,,2015 - 2016,"9,000.00","4,000.00",0.44,,,,,,
,,2016 - 2017,"8,000.00","3,000.00",0.38,,,,,,
