State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,20,10,0.5,,,,,,
,,2008 - 2009,10,4,0.4,,,,,,
,,2009 - 2010,10,5,0.5,,,,,,
,,2010 - 2011,36,18,0.5,,,,,,
,,2011 - 2012,20,12,0.6,,,,,,
,,2012 - 2013,19,12,0.63,,,,,,
,,2013 - 2014,9,6,0.67,,,,,,
,,2014 - 2015,9,7,0.78,,,,,,
,,2015 - 2016,9,7,0.78,,,,,,
,,2016 - 2017,9,7,0.78,,,,,,
,,2017 - 2018,11,8,0.73,,,,,,
,,2018 - 2019,47,36,0.77,,,,,,
,,2019 - 2020,46,30,0.65,,,,,,
,,2020 - 2021,41,27,0.66,,,,,,
,,2021 - 2022,20,12,0.6,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,9. Dhubri,2000 - 2001,"1,138.00",626,0.55,,,,,,
,,2001 - 2002,868,477,0.55,,,,,,
,,2002 - 2003,959,528,0.55,,,,,,
,,2003 - 2004,897,494,0.55,,,,,,
,,2004 - 2005,883,486,0.55,,,,,,
,,2005 - 2006,667,367,0.55,,,,,,
,,2006 - 2007,646,355,0.55,,,,,,
,,2007 - 2008,420,230,0.55,,,,,,
,,2008 - 2009,381,209,0.55,,,,,,
,,2009 - 2010,459,252,0.55,,,,,,
,,2010 - 2011,305,167,0.55,,,,,,
,,2011 - 2012,290,186,0.64,,,,,,
,,2012 - 2013,285,197,0.69,,,,,,
,,2013 - 2014,280,191,0.68,,,,,,
,,2014 - 2015,286,232,0.81,,,,,,
,,2015 - 2016,303,156,0.51,,,,,,
,,2016 - 2017,154,96,0.62,,,,,,
,,2017 - 2018,247,153,0.62,,,,,,
,,2018 - 2019,242,141,0.58,,,,,,
,,2019 - 2020,250,162,0.65,,,,,,
,,2020 - 2021,202,125,0.62,,,,,,
,,2021 - 2022,202,125,0.62,,,,,,
,,2022 - 2023,118,74,0.63,,,,,,
,10. Dibrugarh,2000 - 2001,2,1,0.5,,,,,,
,,2001 - 2002,2,1,0.5,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,
,,2004 - 2005,1,1,1,,,,,,
,,2005 - 2006,8,3,0.38,,,,,,
,,2006 - 2007,4,2,0.5,,,,,,
,,2007 - 2008,4,2,0.5,,,,,,
,,2008 - 2009,4,1,0.25,,,,,,
,,2009 - 2010,6,2,0.33,,,,,,
,,2010 - 2011,8,3,0.38,,,,,,
,,2011 - 2012,8,3,0.38,,,,,,
,,2012 - 2013,8,3,0.38,,,,,,
,,2020 - 2021,2,2,1,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,11. Dima hasao,2000 - 2001,4,2,0.5,,,,,,
,,2001 - 2002,4,2,0.5,,,,,,
,,2002 - 2003,4,2,0.5,,,,,,
,,2003 - 2004,4,2,0.5,,,,,,
,,2004 - 2005,4,2,0.5,,,,,,
,,2005 - 2006,4,2,0.5,,,,,,
,,2006 - 2007,4,2,0.5,,,,,,
