State,District,Year,Sunflower,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,84,71,0.85,295,322,1.09,,,,,,
,,2021 - 2022,126,86,0.68,380,413,1.09,,,,,,
,,2022 - 2023,365,366,1,411,428,1.04,,,,,,
,19. Sri sathya sai,2022 - 2023,735,856,1.16,"2,443.00","1,918.00",0.79,,,,,,
,20. Srikakulam,2000 - 2001,,,,92,136,1.48,,,,,,
,,2001 - 2002,,,,71,80,1.13,,,,,,
,,2002 - 2003,,,,56,61,1.09,,,,,,
,,2003 - 2004,,,,753,885,1.18,,,,,,
,,2004 - 2005,"1,000.00",895,0.9,"1,000.00",895,0.9,,,,,,
,,2005 - 2006,,,,,,,"2,042.00","2,318.00",1.14,,,
,,2006 - 2007,,,,,,,"3,498.00","2,844.00",0.81,,,
,,2007 - 2008,"5,000.00","7,000.00",1.4,,,,,,,,,
,,2008 - 2009,,,,,,,"2,784.00","2,817.00",1.01,,,
,,2009 - 2010,,,,,,,"2,466.00","2,404.00",0.97,,,
,,2010 - 2011,,,,,,,"3,599.00","4,474.00",1.24,,,
,,2011 - 2012,,,,,,,"2,691.00","2,852.00",1.06,,,
,,2012 - 2013,"2,000.00","2,000.00",1,,,,,,,,,
,,2013 - 2014,"1,591.00","1,777.00",1.12,,,,,,,,,
,,2014 - 2015,"1,170.00","1,127.00",0.96,,,,,,,,,
,,2015 - 2016,684,737,1.08,,,,,,,,,
,,2016 - 2017,488,373,0.76,,,,,,,,,
,,2017 - 2018,639,600,0.94,,,,,,,,,
,,2018 - 2019,639,197,0.31,,,,,,,,,
,,2019 - 2020,304,313,1.03,7,11,1.57,,,,,,
,,2020 - 2021,303,382,1.26,,,,,,,,,
,,2021 - 2022,429,322,0.75,,,,,,,,,
,,2022 - 2023,140,263,1.88,,,,,,,,,
,21. Tirupati,2022 - 2023,196,218,1.11,21,14,0.67,,,,,,
,22. Visakhapatanam,2003 - 2004,,,,7,8,1.14,,,,,,
,,2004 - 2005,43,38,0.88,53,44,0.83,,,,,,
,,2005 - 2006,,,,,,,77,87,1.13,,,
,,2006 - 2007,,,,,,,213,171,0.8,,,
,,2007 - 2008,"1,000.00","2,000.00",2,,,,,,,,,
,,2008 - 2009,,,,,,,350,354,1.01,,,
,,2009 - 2010,,,,,,,282,274,0.97,,,
,,2010 - 2011,,,,,,,408,507,1.24,,,
,,2011 - 2012,,,,,,,547,568,1.04,,,
,,2012 - 2013,"1,000.00","1,000.00",1,,,,,,,,,
,,2013 - 2014,246,275,1.12,4,3,0.75,,,,,,
,,2014 - 2015,186,179,0.96,10,12,1.2,,,,,,
,,2015 - 2016,132,142,1.08,,,,,,,,,
,,2016 - 2017,115,88,0.77,,,,,,,,,
,,2017 - 2018,98,92,0.94,1,1,1,,,,,,
,,2018 - 2019,73,22,0.3,4,6,1.5,,,,,,
,,2019 - 2020,74,76,1.03,,,,,,,,,
,,2020 - 2021,108,130,1.2,,,,,,,,,
,,2021 - 2022,243,264,1.09,,,,,,,,,
,23. Vizianagaram,2004 - 2005,2,2,1,2,2,1,,,,,,
,,2005 - 2006,,,,,,,2,2,1,,,
,,2006 - 2007,,,,,,,39,32,0.82,,,
,,2008 - 2009,,,,,,,54,55,1.02,,,
,,2009 - 2010,,,,,,,41,40,0.98,,,
,,2010 - 2011,,,,,,,123,153,1.24,,,
,,2011 - 2012,,,,,,,63,65,1.03,,,
,,2013 - 2014,56,63,1.13,,,,,,,,,
,,2014 - 2015,6,6,1,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2018 - 2019,11,3,0.27,,,,,,,,,
,,2019 - 2020,9,9,1,3,5,1.67,,,,,,
