State,District,Year,Sunflower,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,14. Jalgaon,2000 - 2001,300,100,0.33,"1,300.00",700,0.54,,,,200,100,0.5
,,2001 - 2002,200,100,0.5,900,300,0.33,,,,100,100,1
,,2002 - 2003,300,100,0.33,500,200,0.4,,,,100,100,1
,,2003 - 2004,300,100,0.33,300,100,0.33,,,,200,200,1
,,2004 - 2005,300,200,0.67,400,200,0.5,,,,400,200,0.5
,,2005 - 2006,600,300,0.5,500,300,0.6,,,,400,500,1.25
,,2006 - 2007,"1,000.00",500,0.5,"1,200.00",600,0.5,,,,700,700,1
,,2007 - 2008,"1,300.00",900,0.69,"1,400.00","1,000.00",0.71,,,,400,500,1.25
,,2008 - 2009,"1,600.00","1,000.00",0.63,"9,500.00","5,200.00",0.55,,,,400,400,1
,,2009 - 2010,"1,600.00",800,0.5,"7,500.00","3,100.00",0.41,,,,500,700,1.4
,,2010 - 2011,"1,200.00",700,0.58,"3,400.00","1,400.00",0.41,,,,100,100,1
,,2011 - 2012,600,300,0.5,900,400,0.44,,,,100,100,1
,,2012 - 2013,,,,400,100,0.25,,,,,,
,,2013 - 2014,,,,400,200,0.5,,,,,,
,,2015 - 2016,50,10,0.2,,,,,,,,,
,,2016 - 2017,,,,9,3,0.33,,,,,,
,,2017 - 2018,,,,9,5,0.56,,,,,,
,,2019 - 2020,58,27,0.47,,,,,,,,,
,,2020 - 2021,58,22.64,0.39,,,,,,,212,62.19,0.29
,,2021 - 2022,837.29,"1,104.13",1.32,,,,,,,297.68,274.74,0.92
,,2022 - 2023,"1,257.98","1,472.03",1.17,,,,,,,"2,745.00","2,349.00",0.86
,15. Jalna,2000 - 2001,"5,200.00","2,500.00",0.48,"5,500.00","2,600.00",0.47,,,,100,200,2
,,2001 - 2002,"6,700.00","2,900.00",0.43,"2,400.00",800,0.33,,,,100,100,1
,,2002 - 2003,"6,700.00","2,800.00",0.42,"4,800.00","2,300.00",0.48,,,,,,
,,2003 - 2004,"4,100.00","1,300.00",0.32,"4,200.00","1,500.00",0.36,,,,,,
,,2004 - 2005,"5,900.00","2,800.00",0.47,"4,400.00","2,300.00",0.52,,,,100,100,1
,,2005 - 2006,"6,300.00","3,000.00",0.48,"5,400.00","2,000.00",0.37,,,,100,100,1
,,2006 - 2007,"8,200.00","3,800.00",0.46,"5,200.00","2,800.00",0.54,,,,100,100,1
,,2007 - 2008,"5,700.00","3,500.00",0.61,"4,200.00","2,100.00",0.5,,,,100,100,1
,,2008 - 2009,"3,600.00","2,000.00",0.56,"1,500.00",700,0.47,,,,100,100,1
,,2009 - 2010,"3,000.00","1,800.00",0.6,"3,500.00","1,900.00",0.54,,,,100,100,1
,,2010 - 2011,"2,400.00","1,100.00",0.46,"1,700.00","1,000.00",0.59,,,,100,100,1
,,2011 - 2012,800,400,0.5,800,500,0.63,,,,,,
,,2012 - 2013,100,40,0.4,200,100,0.5,,,,,,
,,2013 - 2014,100,40,0.4,100,100,1,,,,,,
,,2014 - 2015,,,,100,,0,,,,,,
,,2015 - 2016,,,,100,3,0.03,,,,,,
,,2016 - 2017,,,,52,3,0.06,,,,,,
,,2018 - 2019,,,,120,,0,,,,,,
,,2019 - 2020,155,88,0.57,11,3,0.27,,,,,,
,,2020 - 2021,155.29,92.99,0.6,7.35,3.01,0.41,,,,,,
,,2021 - 2022,159.29,128.44,0.81,7.35,2.8,0.38,,,,282,222.02,0.79
,,2022 - 2023,155.29,63.48,0.41,,,,,,,323,276,0.85
,16. Kolhapur,2000 - 2001,100,100,1,,,,,,,200,100,0.5
,,2001 - 2002,100,100,1,,,,,,,200,300,1.5
,,2002 - 2003,200,100,0.5,,,,,,,200,200,1
,,2003 - 2004,300,100,0.33,,,,,,,300,400,1.33
,,2004 - 2005,200,100,0.5,100,100,1,,,,500,800,1.6
,,2005 - 2006,100,100,1,200,100,0.5,,,,700,"1,000.00",1.43
,,2006 - 2007,200,100,0.5,200,100,0.5,,,,700,"1,000.00",1.43
,,2007 - 2008,200,100,0.5,200,100,0.5,,,,800,"1,000.00",1.25
,,2008 - 2009,600,400,0.67,100,100,1,,,,900,"1,100.00",1.22
,,2009 - 2010,500,300,0.6,100,42,0.42,,,,"1,000.00","1,600.00",1.6
,,2010 - 2011,500,300,0.6,100,,0,,,,800,"1,600.00",2
,,2011 - 2012,500,200,0.4,200,100,0.5,,,,"1,000.00","1,900.00",1.9
,,2012 - 2013,,,,100,30,0.3,,,,"1,100.00","1,800.00",1.64
,,2013 - 2014,,,,,,,,,,"1,100.00","1,200.00",1.09
,,2014 - 2015,100,,0,,,,,,,"1,100.00","1,600.00",1.45
,,2015 - 2016,50,10,0.2,20,2,0.1,,,,800,"1,200.00",1.5
,,2016 - 2017,500,400,0.8,"1,763.00",616,0.35,,,,300,600,2
,,2017 - 2018,200,100,0.5,241,138,0.57,,,,235,400,1.7
,,2018 - 2019,,,,220,,0,,,,178,350,1.97
,,2019 - 2020,180,102,0.57,3,,0,,,,117,164,1.4
,,2020 - 2021,163.11,63.67,0.39,,,,,,,140.4,41.18,0.29
,,2021 - 2022,15,19.78,1.32,,,,,,,181.69,241.08,1.33
,,2022 - 2023,24,28.08,1.17,,,,,,,267,228,0.85
,17. Latur,2000 - 2001,"42,800.00","23,900.00",0.56,"18,000.00","9,600.00",0.53,,,,900,600,0.67
,,2001 - 2002,"44,100.00","23,100.00",0.52,"13,300.00","5,500.00",0.41,,,,200,100,0.5
,,2002 - 2003,"41,200.00","18,300.00",0.44,"14,500.00","7,400.00",0.51,,,,100,100,1
,,2003 - 2004,"48,100.00","21,100.00",0.44,"15,100.00","7,400.00",0.49,,,,100,0,0
,,2004 - 2005,"51,600.00","29,600.00",0.57,"17,000.00","7,700.00",0.45,,,,400,300,0.75
,,2005 - 2006,"59,500.00","39,100.00",0.66,"16,000.00","8,700.00",0.54,,,,700,400,0.57
,,2006 - 2007,"59,400.00","31,500.00",0.53,"12,700.00","5,200.00",0.41,,,,700,400,0.57
,,2007 - 2008,"44,400.00","31,100.00",0.7,"9,900.00","6,200.00",0.63,,,,700,500,0.71
,,2008 - 2009,"29,300.00","16,800.00",0.57,"13,100.00","6,900.00",0.53,,,,700,400,0.57
,,2009 - 2010,"27,300.00","14,800.00",0.54,"6,600.00","2,000.00",0.3,,,,300,100,0.33
,,2010 - 2011,"27,400.00","18,600.00",0.68,"6,500.00","4,700.00",0.72,,,,500,400,0.8
,,2011 - 2012,"7,500.00","4,300.00",0.57,"5,300.00","3,500.00",0.66,,,,500,300,0.6
,,2012 - 2013,"6,800.00","4,800.00",0.71,"5,300.00","3,400.00",0.64,,,,300,200,0.67
,,2013 - 2014,"6,000.00","4,500.00",0.75,"4,200.00","2,900.00",0.69,,,,200,200,1
,,2014 - 2015,"4,000.00","1,300.00",0.33,"3,400.00",700,0.21,,,,,,
,,2015 - 2016,"4,900.00","1,500.00",0.31,"3,700.00",500,0.14,,,,,,
,,2016 - 2017,420,380,0.9,"2,166.00",687,0.32,,,,100,43,0.43
,,2017 - 2018,500,300,0.6,"1,587.00",531,0.33,,,,19,10,0.53
,,2018 - 2019,,,,410,50,0.12,,,,,,
,,2019 - 2020,605,431,0.71,"5,407.00","2,224.00",0.41,,,,10,5,0.5
,,2020 - 2021,711,425.71,0.6,"5,479.94","2,244.04",0.41,,,,16,9.58,0.6
,,2021 - 2022,407.02,304.25,0.75,305.68,116.37,0.38,,,,19.33,15.22,0.79
,,2022 - 2023,491.67,228.14,0.46,258,96,0.37,,,,20,17,0.85
,18. Nagpur,2000 - 2001,900,500,0.56,100,100,1,,,,200,100,0.5
,,2001 - 2002,200,100,0.5,100,100,1,,,,,,
,,2002 - 2003,200,100,0.5,,,,,,,,,
,,2003 - 2004,600,200,0.33,,,,,,,200,100,0.5
,,2004 - 2005,800,500,0.63,,,,,,,100,100,1
,,2005 - 2006,"6,700.00","4,300.00",0.64,,,,,,,"1,600.00","1,800.00",1.13
,,2006 - 2007,"4,400.00","2,500.00",0.57,,,,,,,"1,000.00","1,000.00",1
,,2007 - 2008,"2,900.00","2,200.00",0.76,,,,,,,600,600,1
,,2008 - 2009,300,200,0.67,,,,,,,100,100,1
,,2009 - 2010,400,200,0.5,,,,,,,,,
,,2010 - 2011,600,400,0.67,,,,,,,,,
,,2011 - 2012,700,500,0.71,,,,,,,,,
,,2012 - 2013,900,400,0.44,,,,,,,,,
,,2013 - 2014,"15,200.00","6,800.00",0.45,,,,,,,,,
,,2014 - 2015,"8,200.00","2,600.00",0.32,,,,,,,,,
,,2015 - 2016,400,100,0.25,,,,,,,,,
,,2016 - 2017,,,,120,29,0.24,,,,,,
,,2017 - 2018,11,6,0.55,120,50,0.42,,,,1,1,1
,,2018 - 2019,,,,10,,0,,,,,,
,19. Nanded,2000 - 2001,"7,800.00","3,100.00",0.4,"6,000.00","2,900.00",0.48,,,,,,
,,2001 - 2002,"9,100.00","4,800.00",0.53,"3,600.00","1,300.00",0.36,,,,"1,600.00","1,100.00",0.69
,,2002 - 2003,"10,400.00","8,700.00",0.84,"4,700.00","2,500.00",0.53,,,,"1,600.00","1,000.00",0.63
,,2003 - 2004,"11,700.00","10,300.00",0.88,"4,400.00","1,700.00",0.39,,,,"1,300.00","1,100.00",0.85
,,2004 - 2005,"14,300.00","6,200.00",0.43,"6,100.00","2,600.00",0.43,,,,"1,400.00","1,000.00",0.71
,,2005 - 2006,"17,500.00","8,300.00",0.47,"6,400.00","3,500.00",0.55,,,,"2,200.00","1,400.00",0.64
,,2006 - 2007,"17,300.00","10,500.00",0.61,"6,700.00","3,600.00",0.54,,,,"2,200.00","1,700.00",0.77
,,2007 - 2008,"10,200.00","10,100.00",0.99,"3,100.00","1,700.00",0.55,,,,"1,500.00","1,000.00",0.67
,,2008 - 2009,"7,800.00","4,900.00",0.63,"3,100.00","1,600.00",0.52,,,,700,500,0.71
,,2009 - 2010,"6,100.00","3,800.00",0.62,"2,900.00","1,200.00",0.41,,,,300,200,0.67
,,2010 - 2011,"4,400.00","3,000.00",0.68,"2,000.00","1,100.00",0.55,,,,800,600,0.75
,,2011 - 2012,"2,500.00","1,700.00",0.68,"1,500.00",900,0.6,,,,900,400,0.44
,,2012 - 2013,200,100,0.5,600,300,0.5,,,,600,500,0.83
,,2013 - 2014,200,100,0.5,700,400,0.57,,,,800,800,1
,,2014 - 2015,,,,"1,300.00",300,0.23,,,,,,
,,2015 - 2016,60,20,0.33,"1,200.00",200,0.17,,,,,,
,,2016 - 2017,"7,900.00","4,400.00",0.56,"1,550.00",380,0.25,,,,30,33,1.1
,,2017 - 2018,60,30,0.5,,,,,,,,,
,,2018 - 2019,,,,70,9,0.13,,,,31,40,1.29
,,2019 - 2020,98,67,0.68,73,21,0.29,,,,52,55,1.06
,,2020 - 2021,178.96,107.15,0.6,72.5,29.69,0.41,,,,68.89,41.25,0.6
,,2021 - 2022,197.57,147.68,0.75,72.5,27.6,0.38,,,,4,3.15,0.79
,,2022 - 2023,,,,10,4,0.4,,,,69,59,0.86
,20. Nandurbar,2000 - 2001,200,100,0.5,600,300,0.5,,,,,,
,,2001 - 2002,100,100,1,900,300,0.33,,,,,,
,,2002 - 2003,100,100,1,400,200,0.5,,,,,,
,,2003 - 2004,100,100,1,400,100,0.25,,,,,,
,,2004 - 2005,200,100,0.5,900,500,0.56,,,,100,100,1
,,2005 - 2006,400,200,0.5,800,500,0.63,,,,100,100,1
,,2006 - 2007,400,200,0.5,400,200,0.5,,,,100,100,1
,,2007 - 2008,200,100,0.5,500,400,0.8,,,,200,200,1
,,2008 - 2009,300,200,0.67,700,400,0.57,,,,200,200,1
,,2009 - 2010,400,200,0.5,300,100,0.33,,,,500,700,1.4
,,2010 - 2011,600,300,0.5,300,100,0.33,,,,700,"1,000.00",1.43
,,2011 - 2012,,,,,,,,,,400,500,1.25
,,2013 - 2014,,,,,,,,,,100,100,1
,,2014 - 2015,,,,,,,,,,100,100,1
,,2015 - 2016,300,100,0.33,100,8,0.08,,,,100,100,1
,,2016 - 2017,200,100,0.5,59,21,0.36,,,,70,50,0.71
,,2017 - 2018,100,100,1,127,69,0.54,,,,71,5,0.07
,,2018 - 2019,,,,83,14,0.17,,,,70,40,0.57
,,2019 - 2020,53,21,0.4,66,52,0.79,,,,"1,443.00","1,323.00",0.92
,,2020 - 2021,88.5,34.54,0.39,61.05,41.66,0.68,,,,721.33,211.59,0.29
,,2021 - 2022,142.19,187.51,1.32,83.83,48.06,0.57,,,,721.33,665.73,0.92
,,2022 - 2023,89.35,104.55,1.17,116,54,0.47,,,,144,123,0.85
,21. Nashik,2000 - 2001,100,100,1,"1,200.00",600,0.5,,,,100,100,1
,,2001 - 2002,200,100,0.5,"1,200.00",400,0.33,,,,,,
,,2002 - 2003,200,100,0.5,900,300,0.33,,,,,,
,,2003 - 2004,100,100,1,800,200,0.25,,,,,,
,,2004 - 2005,100,100,1,600,300,0.5,,,,,,
,,2005 - 2006,200,100,0.5,300,200,0.67,,,,,,
,,2006 - 2007,200,100,0.5,300,200,0.67,,,,,,
,,2007 - 2008,200,100,0.5,400,300,0.75,,,,,,
,,2008 - 2009,100,100,1,200,100,0.5,,,,,,
,,2009 - 2010,100,100,1,200,100,0.5,,,,,,
,,2010 - 2011,,,,200,100,0.5,,,,,,
,,2011 - 2012,,,,100,50,0.5,,,,,,
,,2012 - 2013,,,,100,40,0.4,,,,,,
,,2013 - 2014,,,,100,100,1,,,,,,
,,2014 - 2015,,,,100,,0,,,,,,
,,2015 - 2016,11,3,0.27,100,9,0.09,,,,,,
,,2016 - 2017,10,7,0.7,44,15,0.34,,,,,,
,,2017 - 2018,16,8,0.5,27,15,0.56,,,,,,
,,2019 - 2020,,,,13,2,0.15,,,,,,
,,2020 - 2021,,,,26,17.75,0.68,,,,,,
,,2021 - 2022,,,,,,,,,,3,2.77,0.92
,,2022 - 2023,,,,,,,,,,15,13,0.87
,22. Palghar,2014 - 2015,"1,200.00",800,0.67,,,,,,,,,
,,2015 - 2016,300,100,0.33,,,,,,,,,
,,2016 - 2017,142,93,0.65,,,,,,,,,
,,2017 - 2018,70,36,0.51,,,,,,,,,
,,2018 - 2019,,,,70,12,0.17,,,,,,
,,2020 - 2021,3,1.17,0.39,,,,,,,,,
,,2021 - 2022,38.4,50.64,1.32,,,,,,,,,
,23. Parbhani,2000 - 2001,"13,500.00","10,600.00",0.79,"4,500.00","1,900.00",0.42,,,,200,100,0.5
,,2001 - 2002,"8,100.00","4,500.00",0.56,"4,600.00","3,400.00",0.74,,,,200,100,0.5
,,2002 - 2003,"9,000.00","6,200.00",0.69,"4,800.00","2,700.00",0.56,,,,200,200,1
,,2003 - 2004,"9,500.00","6,200.00",0.65,"4,400.00","2,900.00",0.66,,,,200,100,0.5
,,2004 - 2005,"9,500.00","4,300.00",0.45,"4,700.00","1,900.00",0.4,,,,500,200,0.4
,,2005 - 2006,"11,600.00","6,500.00",0.56,"1,400.00",800,0.57,,,,"1,500.00",900,0.6
,,2006 - 2007,"12,700.00","7,100.00",0.56,"4,300.00","2,400.00",0.56,,,,400,300,0.75
,,2007 - 2008,"11,900.00","10,200.00",0.86,"4,300.00","2,900.00",0.67,,,,400,200,0.5
,,2008 - 2009,"6,600.00","4,000.00",0.61,"4,700.00","2,600.00",0.55,,,,200,100,0.5
,,2009 - 2010,"7,100.00","4,100.00",0.58,"3,600.00","1,400.00",0.39,,,,100,,0
,,2010 - 2011,"7,100.00","4,900.00",0.69,"3,400.00","2,400.00",0.71,,,,500,400,0.8
,,2011 - 2012,"3,100.00","2,100.00",0.68,"2,800.00","1,600.00",0.57,,,,400,300,0.75
,,2012 - 2013,900,400,0.44,"2,600.00","1,300.00",0.5,,,,400,300,0.75
,,2013 - 2014,500,200,0.4,"2,800.00","1,400.00",0.5,,,,300,300,1
,,2014 - 2015,,,,"1,200.00",200,0.17,,,,200,100,0.5
,,2015 - 2016,10,0,0,500,40,0.08,,,,10,0.1,0.01
,,2016 - 2017,100,100,1,19,5,0.26,,,,10,9,0.9
,,2017 - 2018,,,,6,2,0.33,,,,,,
,,2018 - 2019,,,,20,2,0.1,,,,,,
,,2019 - 2020,50,24,0.48,9,1,0.11,,,,,,
,,2020 - 2021,50,29.94,0.6,9,3.69,0.41,,,,,,
,,2022 - 2023,9,4.18,0.46,,,,,,,,,
,24. Pune,2000 - 2001,"2,600.00","1,300.00",0.5,"1,700.00",900,0.53,,,,400,200,0.5
,,2001 - 2002,"2,200.00","1,400.00",0.64,"1,300.00",400,0.31,,,,400,700,1.75
,,2002 - 2003,"1,600.00",700,0.44,"1,100.00",400,0.36,,,,500,200,0.4
,,2003 - 2004,"1,300.00",200,0.15,800,200,0.25,,,,400,300,0.75
,,2004 - 2005,"1,800.00","1,000.00",0.56,"1,200.00",600,0.5,,,,300,300,1
,,2005 - 2006,"2,300.00","1,100.00",0.48,"1,500.00",900,0.6,,,,300,200,0.67
,,2006 - 2007,"2,400.00","1,200.00",0.5,"1,700.00",900,0.53,,,,300,300,1
,,2007 - 2008,"2,100.00","1,500.00",0.71,"1,100.00",800,0.73,,,,400,400,1
,,2008 - 2009,"1,800.00","1,100.00",0.61,500,300,0.6,,,,400,400,1
,,2009 - 2010,"1,600.00",800,0.5,600,200,0.33,,,,400,500,1.25
,,2010 - 2011,"1,800.00","1,000.00",0.56,800,300,0.38,,,,500,500,1
,,2011 - 2012,700,300,0.43,700,300,0.43,,,,600,500,0.83
,,2012 - 2013,500,200,0.4,800,300,0.38,,,,800,400,0.5
,,2013 - 2014,200,,0,600,400,0.67,,,,800,500,0.63
,,2014 - 2015,300,200,0.67,600,300,0.5,,,,,,
,,2015 - 2016,200,40,0.2,30,4,0.13,,,,,,
,,2016 - 2017,100,100,1,25,9,0.36,,,,,,
,,2017 - 2018,170,90,0.53,59,34,0.58,,,,,,
,,2019 - 2020,99,42,0.42,52,13,0.25,,,,,,
,,2020 - 2021,90.3,35.24,0.39,133.38,91.04,0.68,,,,2,0.59,0.3
,,2021 - 2022,116.68,153.87,1.32,137.02,78.55,0.57,,,,13,11.05,0.85
,,2022 - 2023,96.63,113.07,1.17,152,71,0.47,,,,16,14,0.88
,25. Ratnagiri,2015 - 2016,1,0.3,0.3,,,,,,,,,
,,2019 - 2020,7,2,0.29,,,,,,,,,
,,2020 - 2021,6.53,2.55,0.39,,,,,,,,,
,26. Sangli,2000 - 2001,"4,600.00","2,300.00",0.5,"4,600.00","2,300.00",0.5,,,,200,100,0.5
,,2001 - 2002,"5,800.00","3,800.00",0.66,"2,800.00",900,0.32,,,,100,200,2
,,2002 - 2003,"5,600.00","2,600.00",0.46,"3,100.00","1,200.00",0.39,,,,100,100,1
,,2003 - 2004,"3,700.00",500,0.14,"1,100.00",300,0.27,,,,100,100,1
,,2004 - 2005,"7,300.00","4,100.00",0.56,"3,500.00","1,800.00",0.51,,,,200,200,1
,,2005 - 2006,"5,100.00","2,500.00",0.49,"3,900.00","2,300.00",0.59,,,,200,200,1
,,2006 - 2007,"5,300.00","2,600.00",0.49,"3,900.00","2,000.00",0.51,,,,200,100,0.5
,,2007 - 2008,"5,900.00","4,200.00",0.71,"3,600.00","2,600.00",0.72,,,,200,200,1
,,2008 - 2009,"6,300.00","3,900.00",0.62,"1,300.00",700,0.54,,,,100,100,1
,,2009 - 2010,"8,600.00","4,400.00",0.51,"1,600.00",700,0.44,,,,100,100,1
,,2010 - 2011,"5,900.00","3,400.00",0.58,"1,500.00",600,0.4,,,,300,200,0.67
,,2011 - 2012,"1,800.00",900,0.5,"1,600.00",800,0.5,,,,,,
,,2012 - 2013,"1,300.00",600,0.46,"1,300.00",400,0.31,,,,,,
,,2013 - 2014,"1,500.00",690,0.46,"1,400.00",800,0.57,,,,,,
,,2014 - 2015,"1,300.00",800,0.62,"2,900.00","1,400.00",0.48,,,,,,
,,2015 - 2016,100,30,0.3,400,40,0.1,,,,,,
,,2016 - 2017,220,150,0.68,570,199,0.35,,,,,,
,,2017 - 2018,500,300,0.6,758,435,0.57,,,,,,
,,2018 - 2019,,,,82,,0,,,,,,
,,2019 - 2020,488,366,0.75,416,83,0.2,,,,,,
,,2020 - 2021,135,52.69,0.39,274,187.01,0.68,,,,27,7.92,0.29
,,2021 - 2022,26,34.29,1.32,278.41,159.61,0.57,,,,27,35.83,1.33
,,2022 - 2023,22,25.74,1.17,"1,096.00",629,0.57,,,,,,
,27. Satara,2000 - 2001,900,400,0.44,"1,900.00","1,000.00",0.53,,,,100,100,1
,,2001 - 2002,800,500,0.63,"1,700.00",600,0.35,,,,100,200,2
,,2002 - 2003,900,400,0.44,"1,800.00",700,0.39,,,,,,
,,2003 - 2004,500,100,0.2,"1,300.00",300,0.23,,,,,,
,,2004 - 2005,"1,400.00",800,0.57,"2,700.00","1,400.00",0.52,,,,100,100,1
,,2005 - 2006,"1,500.00",700,0.47,"1,700.00","1,000.00",0.59,,,,100,100,1
,,2006 - 2007,"1,200.00",600,0.5,"1,600.00",800,0.5,,,,,,
,,2007 - 2008,500,400,0.8,"1,400.00","1,000.00",0.71,,,,100,200,2
,,2008 - 2009,300,200,0.67,700,400,0.57,,,,100,200,2
,,2009 - 2010,400,200,0.5,600,200,0.33,,,,,,
,,2010 - 2011,300,200,0.67,700,300,0.43,,,,,,
,,2011 - 2012,200,100,0.5,500,200,0.4,,,,,,
,,2012 - 2013,200,100,0.5,400,100,0.25,,,,,,
,,2013 - 2014,200,100,0.5,"1,000.00",600,0.6,,,,,,
,,2014 - 2015,200,100,0.5,"1,100.00",500,0.45,,,,,,
,,2015 - 2016,200,100,0.5,200,20,0.1,,,,,,
,,2016 - 2017,"19,700.00","12,930.00",0.66,218,76,0.35,,,,,,
,,2017 - 2018,440,220,0.5,197,113,0.57,,,,,,
,,2018 - 2019,,,,40,10,0.25,,,,,,
,,2019 - 2020,17,8,0.47,138,66,0.48,,,,,,
,,2020 - 2021,12,4.68,0.39,68.07,46.46,0.68,,,,,,
,,2021 - 2022,34,44.84,1.32,129.41,74.19,0.57,,,,,,
,,2022 - 2023,55,64.36,1.17,76,44,0.58,,,,61,52,0.85
,28. Sindhudurg,2015 - 2016,5,1,0.2,,,,,,,,,
,,2016 - 2017,5,3,0.6,,,,,,,,,
,29. Solapur,2000 - 2001,"27,500.00","13,300.00",0.48,"20,800.00","10,600.00",0.51,,,,700,300,0.43
,,2001 - 2002,"24,100.00","12,300.00",0.51,"5,700.00","1,900.00",0.33,,,,200,200,1
,,2002 - 2003,"24,700.00","11,600.00",0.47,"9,800.00","3,700.00",0.38,,,,200,100,0.5
,,2003 - 2004,"19,000.00","2,000.00",0.11,"2,500.00",700,0.28,,,,100,100,1
,,2004 - 2005,"25,200.00","14,000.00",0.56,"12,700.00","6,700.00",0.53,,,,400,300,0.75
,,2005 - 2006,"24,900.00","12,400.00",0.5,"12,100.00","7,100.00",0.59,,,,500,400,0.8
,,2006 - 2007,"21,800.00","11,100.00",0.51,"13,900.00","7,100.00",0.51,,,,400,200,0.5
,,2007 - 2008,"15,600.00","9,900.00",0.63,"10,700.00","7,800.00",0.73,,,,"1,000.00",900,0.9
,,2008 - 2009,"17,400.00","10,700.00",0.61,"6,100.00","3,300.00",0.54,,,,400,300,0.75
,,2009 - 2010,"17,400.00","9,000.00",0.52,"6,600.00","2,200.00",0.33,,,,400,300,0.75
,,2010 - 2011,"18,200.00","10,400.00",0.57,"8,500.00","3,500.00",0.41,,,,500,400,0.8
,,2011 - 2012,"12,300.00","6,100.00",0.5,"4,600.00","2,100.00",0.46,,,,500,300,0.6
,,2012 - 2013,"10,800.00","5,000.00",0.46,"3,600.00","1,200.00",0.33,,,,400,200,0.5
,,2013 - 2014,"13,000.00","10,000.00",0.77,"3,600.00","2,200.00",0.61,,,,400,300,0.75
,,2014 - 2015,"16,000.00","9,900.00",0.62,"4,500.00","2,100.00",0.47,,,,,,
,,2015 - 2016,"15,100.00","3,700.00",0.25,"2,300.00",300,0.13,,,,,,
,,2016 - 2017,180,120,0.67,"3,051.00","1,016.00",0.33,,,,20,10,0.5
,,2017 - 2018,"18,300.00","9,330.00",0.51,"2,778.00","1,567.00",0.56,,,,14,10,0.71
,,2018 - 2019,,,,"13,610.00","2,300.00",0.17,,,,,,
,,2019 - 2020,498,273,0.55,"2,062.00",732,0.35,,,,52,29,0.56
,,2020 - 2021,693.87,270.82,0.39,"2,265.50","1,360.42",0.6,,,,59.1,17.33,0.29
,,2021 - 2022,479.37,632.19,1.32,"2,333.82","1,311.61",0.56,,,,57.28,44.28,0.77
,,2022 - 2023,466.08,565.36,1.21,"2,237.00","1,044.00",0.47,,,,67,57,0.85
,30. Thane,2015 - 2016,400,100,0.25,,,,,,,,,
,,2016 - 2017,200,115,0.58,,,,,,,,,
,31. Wardha,2000 - 2001,200,100,0.5,,,,,,,,,
,,2001 - 2002,100,100,1,,,,,,,,,
,,2004 - 2005,200,100,0.5,,,,,,,,,
,,2005 - 2006,"1,000.00",600,0.6,,,,,,,,,
,,2006 - 2007,"1,200.00",700,0.58,,,,,,,,,
,,2007 - 2008,"1,000.00",800,0.8,,,,,,,,,
,,2008 - 2009,200,100,0.5,,,,,,,,,
,,2010 - 2011,100,100,1,,,,,,,,,
,,2016 - 2017,10,7,0.7,,,,,,,,,
,32. Washim,2000 - 2001,"5,400.00","3,000.00",0.56,400,200,0.5,,,,100,100,1
,,2001 - 2002,"3,700.00","1,900.00",0.51,400,100,0.25,,,,100,200,2
,,2002 - 2003,"1,800.00",900,0.5,200,100,0.5,,,,,,
,,2003 - 2004,"1,000.00",400,0.4,200,100,0.5,,,,,,
,,2004 - 2005,500,300,0.6,100,100,1,,,,,,
,,2005 - 2006,700,400,0.57,100,100,1,,,,,,
,,2006 - 2007,600,300,0.5,100,100,1,,,,,,
,,2007 - 2008,300,200,0.67,100,100,1,,,,,,
,,2008 - 2009,100,100,1,,,,,,,,,
,,2010 - 2011,,,,,,,,,,100,100,1
,,2011 - 2012,,,,,,,,,,100,100,1
,,2016 - 2017,50,43,0.86,,,,,,,,,
,,2019 - 2020,,,,1,,0,,,,10,22,2.2
,33. Yavatmal,2000 - 2001,400,200,0.5,600,300,0.5,,,,100,100,1
,,2001 - 2002,400,200,0.5,500,200,0.4,,,,,,
,,2002 - 2003,300,200,0.67,300,200,0.67,,,,,,
,,2003 - 2004,200,100,0.5,300,100,0.33,,,,,,
,,2004 - 2005,,,,200,100,0.5,,,,,,
,,2005 - 2006,,,,200,100,0.5,,,,,,
,,2006 - 2007,100,100,1,100,100,1,,,,100,100,1
,,2007 - 2008,,,,100,100,1,,,,100,100,1
,,2017 - 2018,2,1,0.5,,,,,,,,,
13. Mizoram,1. Lawngtlai,2004 - 2005,,,,11,5,0.45,,,,,,
,2. Saiha,2004 - 2005,,,,32,19,0.59,,,,,,
14. Nagaland,1. Chumoukedima,2022 - 2023,,,,23,21,0.91,,,,,,
,2. Dimapur,2000 - 2001,200,230,1.15,780,580,0.74,,,,,,
,,2001 - 2002,450,600,1.33,230,260,1.13,,,,,,
,,2002 - 2003,230,630,2.74,990,"2,260.00",2.28,,,,,,
,,2003 - 2004,140,140,1,410,430,1.05,,,,,,
,,2004 - 2005,100,200,2,300,200,0.67,,,,,,
,,2005 - 2006,200,200,1,320,200,0.63,,,,,,
,,2006 - 2007,430,390,0.91,260,220,0.85,,,,,,
,,2007 - 2008,470,490,1.04,,,,,,,,,
,,2008 - 2009,,,,40,30,0.75,,,,,,
,,2009 - 2010,"1,000.00",920,0.92,,,,,,,,,
