State,District,Year,Black pepper,,,,,,,,
,,2008 - 2009,18,33,1.83,,,,,,
,,2009 - 2010,27,47,1.74,,,,,,
,,2010 - 2011,27,50,1.85,,,,,,
,,2011 - 2012,30,55,1.83,,,,,,
,,2012 - 2013,27,50,1.85,,,,,,
,,2013 - 2014,29,54,1.86,,,,,,
,,2014 - 2015,26,49,1.88,,,,,,
,,2015 - 2016,33,62,1.88,,,,,,
,,2016 - 2017,35,72,2.06,,,,,,
,,2017 - 2018,34,75,2.21,,,,,,
,,2018 - 2019,37,83,2.24,,,,,,
,,2019 - 2020,32,75,2.34,,,,,,
,,2020 - 2021,35,82,2.34,,,,,,
,,2021 - 2022,50,118,2.36,,,,,,
,,2022 - 2023,52,141,2.71,,,,,,
,5. Cachar,2007 - 2008,39,76,1.95,,,,,,
,,2008 - 2009,45,87,1.93,,,,,,
,,2009 - 2010,26,50,1.92,,,,,,
,,2010 - 2011,38,74,1.95,,,,,,
,,2011 - 2012,43,102,2.37,,,,,,
,,2012 - 2013,44,88,2,,,,,,
,,2013 - 2014,45,90,2,,,,,,
,,2014 - 2015,47,94,2,,,,,,
,,2015 - 2016,43,86,2,,,,,,
,,2016 - 2017,42,90,2.14,,,,,,
,,2017 - 2018,40,88,2.2,,,,,,
,,2018 - 2019,38,86,2.26,,,,,,
,,2019 - 2020,38,89,2.34,,,,,,
,,2020 - 2021,44,102,2.32,,,,,,
,,2021 - 2022,49,114,2.33,,,,,,
,,2022 - 2023,49,126,2.57,,,,,,
,6. Charaideo,2020 - 2021,31,48,1.55,,,,,,
,,2021 - 2022,39,60,1.54,,,,,,
,,2022 - 2023,41,78,1.9,,,,,,
,7. Chirang,2007 - 2008,15,22,1.47,,,,,,
,,2008 - 2009,14,27,1.93,,,,,,
,,2009 - 2010,15,25,1.67,,,,,,
,,2010 - 2011,12,20,1.67,,,,,,
,,2011 - 2012,14,24,1.71,,,,,,
,,2012 - 2013,17,29,1.71,,,,,,
,,2013 - 2014,16,28,1.75,,,,,,
,,2014 - 2015,14,24,1.71,,,,,,
,,2015 - 2016,4,8,2,,,,,,
,,2016 - 2017,7,14,2,,,,,,
,,2017 - 2018,35,60,1.71,,,,,,
,,2018 - 2019,15,27,1.8,,,,,,
,,2019 - 2020,21,107,5.1,,,,,,
,,2020 - 2021,35,178,5.09,,,,,,
,,2021 - 2022,27,137,5.07,,,,,,
,,2022 - 2023,27,139,5.15,,,,,,
,8. Darrang,2007 - 2008,34,52,1.53,,,,,,
,,2008 - 2009,45,69,1.53,,,,,,
,,2009 - 2010,45,69,1.53,,,,,,
,,2010 - 2011,38,59,1.55,,,,,,
,,2011 - 2012,33,51,1.55,,,,,,
,,2012 - 2013,34,57,1.68,,,,,,
,,2013 - 2014,38,63,1.66,,,,,,
,,2014 - 2015,33,55,1.67,,,,,,
,,2015 - 2016,35,59,1.69,,,,,,
,,2016 - 2017,37,68,1.84,,,,,,
,,2017 - 2018,35,70,2,,,,,,
,,2018 - 2019,35,72,2.06,,,,,,
,,2019 - 2020,36,78,2.17,,,,,,
,,2020 - 2021,33,71,2.15,,,,,,
,,2021 - 2022,33,71,2.15,,,,,,
,,2022 - 2023,33,82,2.48,,,,,,
,9. Dhemaji,2007 - 2008,68,87,1.28,,,,,,
,,2008 - 2009,28,36,1.29,,,,,,
,,2009 - 2010,28,36,1.29,,,,,,
,,2010 - 2011,32,41,1.28,,,,,,
,,2011 - 2012,29,36,1.24,,,,,,
,,2012 - 2013,25,35,1.4,,,,,,
,,2013 - 2014,25,35,1.4,,,,,,
,,2014 - 2015,25,36,1.44,,,,,,
,,2015 - 2016,25,36,1.44,,,,,,
,,2016 - 2017,24,50,2.08,,,,,,
,,2017 - 2018,22,48,2.18,,,,,,
,,2018 - 2019,24,40,1.67,,,,,,
,,2019 - 2020,42,73,1.74,,,,,,
,,2020 - 2021,40,70,1.75,,,,,,
,,2021 - 2022,69,121,1.75,,,,,,
,,2022 - 2023,80,162,2.03,,,,,,
,10. Dhubri,2007 - 2008,3,6,2,,,,,,
,,2009 - 2010,3,4,1.33,,,,,,
,,2010 - 2011,2,4,2,,,,,,
,,2011 - 2012,2,4,2,,,,,,
,,2012 - 2013,2,4,2,,,,,,
,,2013 - 2014,2,4,2,,,,,,
,,2014 - 2015,2,4,2,,,,,,
,,2015 - 2016,6,12,2,,,,,,
,,2016 - 2017,7,18,2.57,,,,,,
,,2017 - 2018,5,14,2.8,,,,,,
,,2018 - 2019,3,9,3,,,,,,
,,2019 - 2020,5,15,3,,,,,,
,,2020 - 2021,3,9,3,,,,,,
,,2021 - 2022,3,9,3,,,,,,
,,2022 - 2023,18,56,3.11,,,,,,
,11. Dibrugarh,2007 - 2008,61,103,1.69,,,,,,
,,2008 - 2009,44,87,1.98,,,,,,
,,2009 - 2010,47,87,1.85,,,,,,
,,2010 - 2011,64,117,1.83,,,,,,
,,2011 - 2012,65,119,1.83,,,,,,
,,2012 - 2013,81,150,1.85,,,,,,
,,2013 - 2014,103,191,1.85,,,,,,
,,2014 - 2015,95,177,1.86,,,,,,
,,2015 - 2016,81,151,1.86,,,,,,
,,2016 - 2017,84,225,2.68,,,,,,
,,2017 - 2018,87,237,2.72,,,,,,
,,2018 - 2019,91,250,2.75,,,,,,
,,2019 - 2020,93,259,2.78,,,,,,
,,2020 - 2021,93,259,2.78,,,,,,
,,2021 - 2022,89,248,2.79,,,,,,
,,2022 - 2023,85,246,2.89,,,,,,
,12. Dima hasao,2007 - 2008,44,50,1.14,,,,,,
,,2008 - 2009,44,73,1.66,,,,,,
,,2009 - 2010,46,64,1.39,,,,,,
,,2010 - 2011,46,64,1.39,,,,,,
,,2011 - 2012,48,68,1.42,,,,,,
,,2012 - 2013,48,73,1.52,,,,,,
,,2013 - 2014,48,73,1.52,,,,,,
,,2014 - 2015,44,68,1.55,,,,,,
,,2015 - 2016,52,85,1.63,,,,,,
,,2016 - 2017,48,72,1.5,,,,,,
,,2017 - 2018,52,80,1.54,,,,,,
,,2018 - 2019,51,80,1.57,,,,,,
,,2019 - 2020,50,99,1.98,,,,,,
,,2020 - 2021,50,100,2,,,,,,
,,2021 - 2022,55,125,2.27,,,,,,
,,2022 - 2023,55,138,2.51,,,,,,
,13. Goalpara,2007 - 2008,30,37,1.23,,,,,,
,,2008 - 2009,32,73,2.28,,,,,,
,,2009 - 2010,82,144,1.76,,,,,,
,,2010 - 2011,90,159,1.77,,,,,,
,,2011 - 2012,100,177,1.77,,,,,,
,,2012 - 2013,105,194,1.85,,,,,,
,,2013 - 2014,110,204,1.85,,,,,,
,,2014 - 2015,115,214,1.86,,,,,,
,,2015 - 2016,90,169,1.88,,,,,,
,,2016 - 2017,131,250,1.91,,,,,,
,,2017 - 2018,153,296,1.93,,,,,,
,,2018 - 2019,161,314,1.95,,,,,,
,,2019 - 2020,171,418,2.44,,,,,,
,,2020 - 2021,178,435,2.44,,,,,,
,,2021 - 2022,183,447,2.44,,,,,,
,,2022 - 2023,176,441,2.51,,,,,,
,14. Golaghat,2007 - 2008,200,227,1.14,,,,,,
,,2008 - 2009,218,248,1.14,,,,,,
,,2009 - 2010,330,363,1.1,,,,,,
,,2010 - 2011,359,414,1.15,,,,,,
,,2011 - 2012,370,495,1.34,,,,,,
,,2012 - 2013,366,528,1.44,,,,,,
,,2013 - 2014,295,426,1.44,,,,,,
,,2014 - 2015,335,806,2.41,,,,,,
,,2015 - 2016,336,810,2.41,,,,,,
,,2016 - 2017,335,958,2.86,,,,,,
,,2017 - 2018,334,814,2.44,,,,,,
,,2018 - 2019,334,816,2.44,,,,,,
,,2019 - 2020,333,815,2.45,,,,,,
,,2020 - 2021,328,804,2.45,,,,,,
,,2021 - 2022,360,881,2.45,,,,,,
,,2022 - 2023,295,735,2.49,,,,,,
,15. Hailakandi,2007 - 2008,58,112,1.93,,,,,,
,,2008 - 2009,20,39,1.95,,,,,,
,,2009 - 2010,39,75,1.92,,,,,,
,,2010 - 2011,100,193,1.93,,,,,,
,,2011 - 2012,22,43,1.95,,,,,,
,,2012 - 2013,33,65,1.97,,,,,,
,,2013 - 2014,34,67,1.97,,,,,,
,,2014 - 2015,36,71,1.97,,,,,,
,,2015 - 2016,30,59,1.97,,,,,,
,,2016 - 2017,33,73,2.21,,,,,,
,,2017 - 2018,9,22,2.44,,,,,,
,,2018 - 2019,26,64,2.46,,,,,,
,,2019 - 2020,23,59,2.57,,,,,,
,,2020 - 2021,31,80,2.58,,,,,,
,,2021 - 2022,28,72,2.57,,,,,,
,,2022 - 2023,28,81,2.89,,,,,,
,16. Hojai,2020 - 2021,23,47,2.04,,,,,,
,,2021 - 2022,20,41,2.05,,,,,,
,,2022 - 2023,20,50,2.5,,,,,,
,17. Jorhat,2007 - 2008,419,522,1.25,,,,,,
,,2008 - 2009,647,807,1.25,,,,,,
,,2009 - 2010,107,133,1.24,,,,,,
,,2010 - 2011,119,148,1.24,,,,,,
,,2011 - 2012,95,117,1.23,,,,,,
,,2012 - 2013,122,178,1.46,,,,,,
,,2013 - 2014,103,151,1.47,,,,,,
,,2014 - 2015,108,158,1.46,,,,,,
,,2015 - 2016,120,176,1.47,,,,,,
,,2016 - 2017,103,157,1.52,,,,,,
,,2017 - 2018,107,168,1.57,,,,,,
,,2018 - 2019,153,247,1.61,,,,,,
,,2019 - 2020,127,210,1.65,,,,,,
,,2020 - 2021,96,159,1.66,,,,,,
,,2021 - 2022,97,161,1.66,,,,,,
,,2022 - 2023,94,167,1.78,,,,,,
,18. Kamrup,2007 - 2008,76,115,1.51,,,,,,
,,2008 - 2009,83,126,1.52,,,,,,
,,2009 - 2010,97,147,1.52,,,,,,
,,2010 - 2011,92,139,1.51,,,,,,
,,2011 - 2012,102,155,1.52,,,,,,
,,2012 - 2013,130,211,1.62,,,,,,
,,2013 - 2014,119,193,1.62,,,,,,
,,2014 - 2015,158,258,1.63,,,,,,
,,2015 - 2016,119,195,1.64,,,,,,
,,2016 - 2017,123,209,1.7,,,,,,
,,2017 - 2018,115,201,1.75,,,,,,
,,2018 - 2019,112,200,1.79,,,,,,
,,2019 - 2020,111,202,1.82,,,,,,
,,2020 - 2021,167,303,1.81,,,,,,
,,2021 - 2022,191,347,1.82,,,,,,
,,2022 - 2023,135,254,1.88,,,,,,
,19. Kamrup metro,2007 - 2008,34,50,1.47,,,,,,
,,2008 - 2009,37,74,2,,,,,,
,,2009 - 2010,33,57,1.73,,,,,,
,,2010 - 2011,47,81,1.72,,,,,,
,,2011 - 2012,48,84,1.75,,,,,,
,,2012 - 2013,53,98,1.85,,,,,,
,,2013 - 2014,53,98,1.85,,,,,,
,,2014 - 2015,50,93,1.86,,,,,,
,,2015 - 2016,58,108,1.86,,,,,,
,,2016 - 2017,58,115,1.98,,,,,,
,,2017 - 2018,49,101,2.06,,,,,,
,,2018 - 2019,16,34,2.13,,,,,,
,,2019 - 2020,16,35,2.19,,,,,,
,,2020 - 2021,29,63,2.17,,,,,,
,,2021 - 2022,35,77,2.2,,,,,,
,,2022 - 2023,104,263,2.53,,,,,,
,20. Karbi anglong,2007 - 2008,299,482,1.61,,,,,,
,,2008 - 2009,303,489,1.61,,,,,,
,,2009 - 2010,316,510,1.61,,,,,,
,,2010 - 2011,302,486,1.61,,,,,,
,,2011 - 2012,320,199,0.62,,,,,,
,,2012 - 2013,243,362,1.49,,,,,,
,,2013 - 2014,264,393,1.49,,,,,,
,,2014 - 2015,269,402,1.49,,,,,,
,,2015 - 2016,279,422,1.51,,,,,,
,,2016 - 2017,321,861,2.68,,,,,,
,,2017 - 2018,341,"1,255.00",3.68,,,,,,
,,2018 - 2019,347,"1,277.00",3.68,,,,,,
,,2019 - 2020,348,"1,282.00",3.68,,,,,,
,,2020 - 2021,321,"1,183.00",3.69,,,,,,
,,2021 - 2022,296,"1,091.00",3.69,,,,,,
,,2022 - 2023,315,"1,170.00",3.71,,,,,,
,21. Karimganj,2007 - 2008,75,86,1.15,,,,,,
,,2008 - 2009,222,408,1.84,,,,,,
,,2009 - 2010,230,343,1.49,,,,,,
,,2010 - 2011,253,402,1.59,,,,,,
,,2011 - 2012,275,439,1.6,,,,,,
,,2012 - 2013,279,465,1.67,,,,,,
,,2013 - 2014,279,465,1.67,,,,,,
,,2014 - 2015,283,473,1.67,,,,,,
,,2015 - 2016,255,426,1.67,,,,,,
,,2016 - 2017,250,424,1.7,,,,,,
,,2017 - 2018,240,412,1.72,,,,,,
,,2018 - 2019,246,425,1.73,,,,,,
,,2019 - 2020,255,445,1.75,,,,,,
,,2020 - 2021,260,454,1.75,,,,,,
,,2021 - 2022,245,428,1.75,,,,,,
,,2022 - 2023,240,509,2.12,,,,,,
,22. Kokrajhar,2007 - 2008,15,24,1.6,,,,,,
,,2008 - 2009,34,56,1.65,,,,,,
,,2009 - 2010,335,545,1.63,,,,,,
,,2010 - 2011,250,407,1.63,,,,,,
,,2011 - 2012,344,395,1.15,,,,,,
,,2012 - 2013,345,435,1.26,,,,,,
,,2013 - 2014,348,439,1.26,,,,,,
,,2014 - 2015,337,430,1.28,,,,,,
,,2015 - 2016,358,461,1.29,,,,,,
,,2016 - 2017,364,"1,015.00",2.79,,,,,,
,,2017 - 2018,305,855,2.8,,,,,,
,,2018 - 2019,300,842,2.81,,,,,,
,,2019 - 2020,301,848,2.82,,,,,,
,,2020 - 2021,280,789,2.82,,,,,,
,,2021 - 2022,289,814,2.82,,,,,,
,,2022 - 2023,161,460,2.86,,,,,,
,23. Lakhimpur,2007 - 2008,64,97,1.52,,,,,,
,,2008 - 2009,70,107,1.53,,,,,,
,,2009 - 2010,73,110,1.51,,,,,,
,,2010 - 2011,178,271,1.52,,,,,,
,,2011 - 2012,554,865,1.56,,,,,,
,,2012 - 2013,537,899,1.67,,,,,,
,,2013 - 2014,534,"1,428.00",2.67,,,,,,
,,2014 - 2015,485,817,1.68,,,,,,
,,2015 - 2016,475,"1,277.00",2.69,,,,,,
,,2016 - 2017,471,885,1.88,,,,,,
,,2017 - 2018,510,965,1.89,,,,,,
,,2018 - 2019,494,937,1.9,,,,,,
,,2019 - 2020,492,938,1.91,,,,,,
,,2020 - 2021,492,938,1.91,,,,,,
,,2021 - 2022,317,605,1.91,,,,,,
,,2022 - 2023,328,633,1.93,,,,,,
,24. Majuli,2020 - 2021,35,58,1.66,,,,,,
,,2021 - 2022,70,116,1.66,,,,,,
,,2022 - 2023,70,138,1.97,,,,,,
,25. Marigaon,2007 - 2008,131,224,1.71,,,,,,
,,2008 - 2009,81,138,1.7,,,,,,
,,2009 - 2010,106,181,1.71,,,,,,
,,2010 - 2011,107,183,1.71,,,,,,
,,2011 - 2012,83,143,1.72,,,,,,
,,2012 - 2013,85,157,1.85,,,,,,
,,2013 - 2014,90,166,1.84,,,,,,
,,2014 - 2015,66,123,1.86,,,,,,
,,2015 - 2016,76,143,1.88,,,,,,
,,2016 - 2017,92,180,1.96,,,,,,
,,2017 - 2018,78,155,1.99,,,,,,
,,2018 - 2019,73,148,2.03,,,,,,
,,2019 - 2020,74,153,2.07,,,,,,
,,2020 - 2021,75,125,1.67,,,,,,
,,2021 - 2022,51,85,1.67,,,,,,
,,2022 - 2023,52,94,1.81,,,,,,
,26. Nagaon,2007 - 2008,141,201,1.43,,,,,,
,,2008 - 2009,268,383,1.43,,,,,,
,,2009 - 2010,249,356,1.43,,,,,,
,,2010 - 2011,77,111,1.44,,,,,,
,,2011 - 2012,276,479,1.74,,,,,,
,,2012 - 2013,275,436,1.59,,,,,,
,,2013 - 2014,280,443,1.58,,,,,,
,,2014 - 2015,282,450,1.6,,,,,,
,,2015 - 2016,148,237,1.6,,,,,,
,,2016 - 2017,154,251,1.63,,,,,,
,,2017 - 2018,194,471,2.43,,,,,,
,,2018 - 2019,128,212,1.66,,,,,,
,,2019 - 2020,129,215,1.67,,,,,,
,,2020 - 2021,101,169,1.67,,,,,,
,,2021 - 2022,114,191,1.68,,,,,,
,,2022 - 2023,121,216,1.79,,,,,,
,27. Nalbari,2007 - 2008,10,19,1.9,,,,,,
,,2008 - 2009,25,48,1.92,,,,,,
,,2009 - 2010,10,19,1.9,,,,,,
,,2010 - 2011,26,50,1.92,,,,,,
,,2011 - 2012,28,54,1.93,,,,,,
,,2012 - 2013,28,55,1.96,,,,,,
,,2013 - 2014,28,55,1.96,,,,,,
,,2014 - 2015,22,44,2,,,,,,
,,2015 - 2016,15,30,2,,,,,,
,,2016 - 2017,16,35,2.19,,,,,,
,,2017 - 2018,18,42,2.33,,,,,,
,,2018 - 2019,16,38,2.38,,,,,,
,,2019 - 2020,19,47,2.47,,,,,,
,,2020 - 2021,13,32,2.46,,,,,,
,,2021 - 2022,24,60,2.5,,,,,,
,,2022 - 2023,24,77,3.21,,,,,,
,28. Sivasagar,2007 - 2008,292,532,1.82,,,,,,
,,2008 - 2009,296,539,1.82,,,,,,
,,2009 - 2010,42,76,1.81,,,,,,
,,2010 - 2011,55,99,1.8,,,,,,
,,2011 - 2012,69,125,1.81,,,,,,
,,2012 - 2013,78,144,1.85,,,,,,
,,2013 - 2014,72,134,1.86,,,,,,
,,2014 - 2015,78,145,1.86,,,,,,
,,2015 - 2016,86,161,1.87,,,,,,
,,2016 - 2017,81,110,1.36,,,,,,
,,2017 - 2018,99,136,1.37,,,,,,
,,2018 - 2019,112,278,2.48,,,,,,
,,2019 - 2020,98,150,1.53,,,,,,
,,2020 - 2021,45,69,1.53,,,,,,
,,2021 - 2022,50,76,1.52,,,,,,
,,2022 - 2023,37,65,1.76,,,,,,
,29. Sonitpur,2007 - 2008,369,579,1.57,,,,,,
,,2008 - 2009,376,590,1.57,,,,,,
,,2009 - 2010,255,400,1.57,,,,,,
,,2010 - 2011,255,399,1.56,,,,,,
,,2011 - 2012,229,358,1.56,,,,,,
,,2012 - 2013,99,166,1.68,,,,,,
,,2013 - 2014,111,187,1.68,,,,,,
,,2014 - 2015,125,211,1.69,,,,,,
,,2015 - 2016,115,194,1.69,,,,,,
,,2016 - 2017,120,207,1.73,,,,,,
,,2017 - 2018,122,254,2.08,,,,,,
,,2018 - 2019,108,191,1.77,,,,,,
,,2019 - 2020,142,253,1.78,,,,,,
,,2020 - 2021,75,134,1.79,,,,,,
,,2021 - 2022,115,217,1.89,,,,,,
,,2022 - 2023,135,261,1.93,,,,,,
,30. South salmara mancachar,2020 - 2021,2,6,3,,,,,,
,,2021 - 2022,2,6,3,,,,,,
,31. Tinsukia,2007 - 2008,58,62,1.07,,,,,,
,,2008 - 2009,268,287,1.07,,,,,,
,,2009 - 2010,255,273,1.07,,,,,,
,,2010 - 2011,270,289,1.07,,,,,,
,,2011 - 2012,285,310,1.09,,,,,,
,,2012 - 2013,288,344,1.19,,,,,,
,,2013 - 2014,287,343,1.2,,,,,,
,,2014 - 2015,288,345,1.2,,,,,,
,,2015 - 2016,289,353,1.22,,,,,,
,,2016 - 2017,239,362,1.51,,,,,,
,,2017 - 2018,272,418,1.54,,,,,,
,,2018 - 2019,267,413,1.55,,,,,,
,,2019 - 2020,255,399,1.56,,,,,,
,,2020 - 2021,257,433,1.68,,,,,,
,,2021 - 2022,258,434,1.68,,,,,,
,,2022 - 2023,246,447,1.82,,,,,,
,32. Udalguri,2007 - 2008,172,273,1.59,,,,,,
,,2008 - 2009,54,107,1.98,,,,,,
,,2009 - 2010,63,113,1.79,,,,,,
,,2010 - 2011,59,101,1.71,,,,,,
,,2011 - 2012,55,95,1.73,,,,,,
,,2012 - 2013,56,97,1.73,,,,,,
,,2013 - 2014,70,121,1.73,,,,,,
,,2014 - 2015,70,121,1.73,,,,,,
,,2015 - 2016,60,105,1.75,,,,,,
,,2016 - 2017,63,117,1.86,,,,,,
,,2017 - 2018,64,124,1.94,,,,,,
,,2018 - 2019,62,123,1.98,,,,,,
,,2019 - 2020,62,127,2.05,,,,,,
,,2020 - 2021,65,133,2.05,,,,,,
,,2021 - 2022,223,456,2.04,,,,,,
,,2022 - 2023,217,480,2.21,,,,,,
,33. West karbi anglong,2020 - 2021,34,125,3.68,,,,,,
,,2021 - 2022,40,140,3.5,,,,,,
,,2022 - 2023,43,151,3.51,,,,,,
4. Goa,1. North goa,2004 - 2005,334,55,0.16,,,,,,
,,2005 - 2006,355,77,0.22,,,,,,
,,2006 - 2007,370,96,0.26,,,,,,
,,2007 - 2008,383,119,0.31,,,,,,
,,2013 - 2014,421,135,0.32,,,,,,
,,2014 - 2015,443,146,0.33,,,,,,
,,2015 - 2016,284,91,0.32,,,,,,
,,2016 - 2017,251,92,0.37,,,,,,
,,2017 - 2018,259,106,0.41,,,,,,
,,2018 - 2019,288,116,0.4,,,,,,
,,2019 - 2020,292,106,0.36,,,,,,
,,2020 - 2021,298,101,0.34,,,,,,
,,2021 - 2022,298,106,0.36,,,,,,
,,2022 - 2023,300,114,0.38,,,,,,
,2. South goa,2004 - 2005,255,43,0.17,,,,,,
,,2005 - 2006,271,60,0.22,,,,,,
,,2006 - 2007,278,73,0.26,,,,,,
,,2007 - 2008,283,89,0.31,,,,,,
,,2013 - 2014,316,99,0.31,,,,,,
,,2014 - 2015,321,98,0.31,,,,,,
,,2015 - 2016,499,167,0.33,,,,,,
,,2016 - 2017,526,190,0.36,,,,,,
,,2017 - 2018,535,218,0.41,,,,,,
,,2018 - 2019,561,230,0.41,,,,,,
,,2019 - 2020,551,209,0.38,,,,,,
,,2020 - 2021,550,279,0.51,,,,,,
,,2021 - 2022,560,298,0.53,,,,,,
,,2022 - 2023,561,304,0.54,,,,,,
5. Karnataka,1. Bagalkot,2013 - 2014,6,15,2.5,,,,,,
,,2021 - 2022,62,33.8,0.55,,,,,,
,,2022 - 2023,7,2.67,0.38,,,,,,
,2. Bangalore rural,2000 - 2001,8,19,2.38,,,,,,
,,2001 - 2002,5,12,2.4,,,,,,
,,2002 - 2003,2,5,2.5,,,,,,
,,2003 - 2004,3,7,2.33,,,,,,
,,2004 - 2005,26,63,2.42,,,,,,
,,2005 - 2006,1,2,2,,,,,,
,,2007 - 2008,1,3,3,,,,,,
,,2008 - 2009,1,4,4,,,,,,
,,2009 - 2010,1,4,4,,,,,,
,,2010 - 2011,1,0.6,0.6,,,,,,
,,2012 - 2013,1,3,3,,,,,,
,,2013 - 2014,1,2,2,,,,,,
,,2014 - 2015,1,0.6,0.6,,,,,,
,,2015 - 2016,2,1.5,0.75,,,,,,
,,2020 - 2021,12,5.7,0.48,,,,,,
,,2021 - 2022,11,5.9,0.54,,,,,,
