State,District,Year,Safflower,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2008 - 2009,22,8,0.36,,,,,,
,,2010 - 2011,1,,0,,,,,,
,,2016 - 2017,"1,340.00",880,0.66,,,,,,
,,2018 - 2019,1,,0,,,,,,
,33. Rewa,2009 - 2010,,,,,,,5,1,0.2
,,2016 - 2017,170,180,1.06,,,,,,
,34. Sagar,2000 - 2001,18,3,0.17,,,,,,
,,2001 - 2002,30,6,0.2,,,,,,
,,2002 - 2003,21,3,0.14,,,,,,
,,2003 - 2004,12,3,0.25,,,,,,
,,2004 - 2005,11,3,0.27,,,,,,
,,2006 - 2007,3,1,0.33,,,,,,
,,2015 - 2016,"1,000.00",550,0.55,,,,,,
,,2016 - 2017,"1,520.00",160,0.11,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,35. Satna,2016 - 2017,"1,200.00",140,0.12,,,,,,
,36. Sehore,2016 - 2017,90,30,0.33,,,,,,
,37. Seoni,2000 - 2001,6,1,0.17,,,,,,
,,2001 - 2002,7,2,0.29,,,,,,
,,2002 - 2003,4,1,0.25,,,,,,
,,2003 - 2004,3,1,0.33,,,,,,
,,2004 - 2005,5,1,0.2,,,,,,
,,2006 - 2007,4,1,0.25,,,,,,
,,2009 - 2010,,,,,,,16,4,0.25
,,2016 - 2017,60,50,0.83,,,,,,
,38. Shahdol,2011 - 2012,4,1,0.25,,,,,,
,,2012 - 2013,4,1,0.25,,,,,,
,,2015 - 2016,"1,000.00",565,0.57,,,,,,
,,2016 - 2017,"2,820.00","1,260.00",0.45,,,,,,
,39. Shajapur,2003 - 2004,2,1,0.5,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,,2019 - 2020,7,2,0.29,,,,,,
,40. Sheopur,2016 - 2017,10,3,0.3,,,,,,
,41. Shivpuri,2000 - 2001,3,1,0.33,,,,,,
,,2001 - 2002,1,0.01,0.01,,,,,,
,,2003 - 2004,53,13,0.25,,,,,,
,,2004 - 2005,75,13,0.17,,,,,,
,,2009 - 2010,,,,,,,13,3,0.23
,,2012 - 2013,2,,0,,,,,,
,,2016 - 2017,40,10,0.25,,,,,,
,42. Sidhi,2000 - 2001,1,0.1,0.1,,,,,,
,,2016 - 2017,170,200,1.18,,,,,,
,43. Singrauli,2016 - 2017,100,90,0.9,,,,,,
,44. Tikamgarh,2000 - 2001,1,0.1,0.1,,,,,,
,,2003 - 2004,3,0,0,,,,,,
,,2016 - 2017,30,10,0.33,,,,,,
,45. Ujjain,2001 - 2002,2,1,0.5,,,,,,
,,2002 - 2003,2,0.01,0.01,,,,,,
,,2003 - 2004,38,9,0.24,,,,,,
,,2004 - 2005,70,18,0.26,,,,,,
,,2006 - 2007,32,8,0.25,,,,,,
,,2016 - 2017,10,10,1,,,,,,
,46. Umaria,2016 - 2017,310,350,1.13,,,,,,
,47. Vidisha,2000 - 2001,1,0.1,0.1,,,,,,
,,2001 - 2002,1,0.01,0.01,,,,,,
,,2002 - 2003,2,0.01,0.01,,,,,,
,,2016 - 2017,40,10,0.25,,,,,,
7. Maharashtra,1. Ahilyanagar,2000 - 2001,"30,400.00","14,500.00",0.48,,,,,,
,,2001 - 2002,"27,400.00","11,700.00",0.43,,,,,,
,,2002 - 2003,"24,700.00","7,800.00",0.32,,,,,,
,,2003 - 2004,"20,300.00","3,400.00",0.17,,,,,,
,,2004 - 2005,"20,800.00","12,400.00",0.6,,,,,,
,,2005 - 2006,"21,000.00","7,200.00",0.34,,,,,,
,,2006 - 2007,"17,100.00","9,300.00",0.54,,,,,,
,,2007 - 2008,"14,600.00","8,700.00",0.6,,,,,,
,,2008 - 2009,"11,100.00","7,000.00",0.63,,,,,,
,,2009 - 2010,"11,100.00","8,500.00",0.77,,,,,,
,,2010 - 2011,"8,800.00","5,300.00",0.6,,,,,,
,,2011 - 2012,"6,700.00","1,800.00",0.27,,,,,,
,,2012 - 2013,"1,000.00",50,0.05,,,,,,
,,2013 - 2014,"1,600.00",200,0.13,,,,,,
,,2014 - 2015,700,,0,,,,,,
,,2015 - 2016,600,100,0.17,,,,,,
,,2016 - 2017,400,30,0.08,,,,,,
,,2017 - 2018,100,40,0.4,,,,,,
,,2020 - 2021,59,13.59,0.23,,,,,,
,,2021 - 2022,62.67,41.27,0.66,,,,,,
,,2022 - 2023,74,33.18,0.45,,,,,,
,2. Akola,2000 - 2001,"4,900.00","1,900.00",0.39,,,,,,
,,2001 - 2002,"3,400.00","2,200.00",0.65,,,,,,
,,2002 - 2003,"2,200.00","1,200.00",0.55,,,,,,
,,2003 - 2004,"2,000.00","1,100.00",0.55,,,,,,
,,2004 - 2005,"1,900.00",700,0.37,,,,,,
,,2005 - 2006,"2,800.00","2,200.00",0.79,,,,,,
,,2006 - 2007,"6,800.00","5,700.00",0.84,,,,,,
,,2007 - 2008,"4,500.00","4,200.00",0.93,,,,,,
,,2008 - 2009,"2,500.00",900,0.36,,,,,,
,,2009 - 2010,"1,900.00","1,500.00",0.79,,,,,,
,,2010 - 2011,"2,000.00",500,0.25,,,,,,
,,2011 - 2012,500,200,0.4,,,,,,
,,2012 - 2013,500,300,0.6,,,,,,
,,2013 - 2014,500,300,0.6,,,,,,
,,2014 - 2015,500,300,0.6,,,,,,
,,2015 - 2016,300,200,0.67,,,,,,
,,2016 - 2017,400,200,0.5,,,,,,
,,2017 - 2018,100,35,0.35,,,,,,
,,2019 - 2020,25,9,0.36,,,,,,
,,2020 - 2021,11,7.61,0.69,,,,,,
,,2021 - 2022,144,78.38,0.54,,,,,,
,,2022 - 2023,96.9,42.4,0.44,,,,,,
,3. Amravati,2000 - 2001,"3,800.00","1,300.00",0.34,,,,,,
,,2001 - 2002,"2,600.00","1,300.00",0.5,,,,,,
,,2002 - 2003,"1,900.00","1,000.00",0.53,,,,,,
,,2003 - 2004,"2,200.00","1,200.00",0.55,,,,,,
,,2004 - 2005,"3,400.00","1,200.00",0.35,,,,,,
,,2005 - 2006,"5,800.00","3,700.00",0.64,,,,,,
,,2006 - 2007,"5,200.00","3,700.00",0.71,,,,,,
,,2007 - 2008,"3,200.00","2,500.00",0.78,,,,,,
,,2008 - 2009,"2,200.00",900,0.41,,,,,,
,,2009 - 2010,"2,300.00","2,000.00",0.87,,,,,,
,,2010 - 2011,700,300,0.43,,,,,,
,,2011 - 2012,100,100,1,,,,,,
,,2012 - 2013,100,100,1,,,,,,
,,2013 - 2014,100,100,1,,,,,,
,,2014 - 2015,100,100,1,,,,,,
,,2017 - 2018,400,200,0.5,,,,,,
,,2019 - 2020,36,24,0.67,,,,,,
,,2020 - 2021,36,24.91,0.69,,,,,,
,,2021 - 2022,37.14,30.52,0.82,,,,,,
,4. Beed,2000 - 2001,"29,400.00","9,900.00",0.34,,,,,,
,,2001 - 2002,"30,500.00","13,700.00",0.45,,,,,,
,,2002 - 2003,"27,500.00","12,700.00",0.46,,,,,,
,,2003 - 2004,"23,300.00","4,500.00",0.19,,,,,,
,,2004 - 2005,"24,400.00","12,400.00",0.51,,,,,,
,,2005 - 2006,"23,300.00","14,400.00",0.62,,,,,,
,,2006 - 2007,"23,600.00","13,500.00",0.57,,,,,,
,,2007 - 2008,"20,500.00","7,600.00",0.37,,,,,,
,,2008 - 2009,"10,500.00","5,900.00",0.56,,,,,,
,,2009 - 2010,"7,600.00","3,900.00",0.51,,,,,,
,,2010 - 2011,"6,100.00","2,500.00",0.41,,,,,,
,,2011 - 2012,"3,800.00","1,200.00",0.32,,,,,,
,,2012 - 2013,"2,600.00",900,0.35,,,,,,
,,2013 - 2014,"3,500.00","5,140.00",1.47,,,,,,
,,2014 - 2015,"1,900.00",300,0.16,,,,,,
,,2015 - 2016,"2,100.00",390,0.19,,,,,,
,,2016 - 2017,"3,800.00","2,580.00",0.68,,,,,,
,,2017 - 2018,"2,960.00","1,280.00",0.43,,,,,,
,,2018 - 2019,24,2,0.08,,,,,,
,,2019 - 2020,357,193,0.54,,,,,,
,,2020 - 2021,356.83,121.63,0.34,,,,,,
,,2021 - 2022,356.83,111.12,0.31,,,,,,
,,2022 - 2023,675,479.52,0.71,,,,,,
,5. Bhandara,2021 - 2022,134.2,110.29,0.82,,,,,,
,,2022 - 2023,133,116.5,0.88,,,,,,
,6. Buldhana,2000 - 2001,"5,500.00","1,900.00",0.35,,,,,,
,,2001 - 2002,"3,300.00","1,600.00",0.48,,,,,,
,,2002 - 2003,"1,900.00",900,0.47,,,,,,
,,2003 - 2004,"1,800.00",900,0.5,,,,,,
,,2004 - 2005,"1,900.00",600,0.32,,,,,,
,,2005 - 2006,"2,900.00","1,400.00",0.48,,,,,,
,,2006 - 2007,"5,300.00","3,400.00",0.64,,,,,,
,,2007 - 2008,"4,200.00","2,900.00",0.69,,,,,,
,,2008 - 2009,"1,700.00",800,0.47,,,,,,
,,2009 - 2010,"2,500.00","2,400.00",0.96,,,,,,
,,2010 - 2011,"2,200.00","1,300.00",0.59,,,,,,
,,2011 - 2012,700,500,0.71,,,,,,
,,2012 - 2013,800,"1,300.00",1.63,,,,,,
,,2014 - 2015,400,200,0.5,,,,,,
,,2015 - 2016,200,80,0.4,,,,,,
,,2016 - 2017,200,100,0.5,,,,,,
,,2017 - 2018,100,100,1,,,,,,
,,2018 - 2019,185,146,0.79,,,,,,
,,2019 - 2020,83,87,1.05,,,,,,
,,2020 - 2021,49.23,34.06,0.69,,,,,,
,,2021 - 2022,82.24,69.89,0.85,,,,,,
,,2022 - 2023,538,466.93,0.87,,,,,,
,7. Chandrapur,2020 - 2021,384,265.69,0.69,,,,,,
,,2021 - 2022,"2,286.20","1,878.80",0.82,,,,,,
,,2022 - 2023,911.5,798.42,0.88,,,,,,
,8. Chhatrapati Sambhajinagar,2000 - 2001,"22,600.00","4,700.00",0.21,,,,,,
,,2001 - 2002,"25,100.00","12,900.00",0.51,,,,,,
,,2002 - 2003,"14,100.00","4,100.00",0.29,,,,,,
,,2003 - 2004,"17,800.00","5,500.00",0.31,,,,,,
,,2004 - 2005,"17,100.00","9,100.00",0.53,,,,,,
,,2005 - 2006,"14,300.00","10,500.00",0.73,,,,,,
,,2006 - 2007,"15,300.00","13,100.00",0.86,,,,,,
,,2007 - 2008,"9,400.00","7,700.00",0.82,,,,,,
,,2008 - 2009,"10,200.00","7,400.00",0.73,,,,,,
,,2009 - 2010,"9,400.00","4,900.00",0.52,,,,,,
,,2010 - 2011,"2,000.00","1,600.00",0.8,,,,,,
,,2011 - 2012,"1,300.00",800,0.62,,,,,,
,,2012 - 2013,"1,000.00",300,0.3,,,,,,
,,2013 - 2014,"1,100.00","2,100.00",1.91,,,,,,
,,2014 - 2015,600,200,0.33,,,,,,
,,2015 - 2016,500,100,0.2,,,,,,
,,2016 - 2017,700,300,0.43,,,,,,
,,2017 - 2018,640,600,0.94,,,,,,
,,2019 - 2020,187,79,0.42,,,,,,
,,2020 - 2021,76.43,26.05,0.34,,,,,,
,,2021 - 2022,76.43,40.45,0.53,,,,,,
,,2022 - 2023,85.72,42.74,0.5,,,,,,
,9. Dharashiv,2000 - 2001,"35,300.00","15,000.00",0.42,,,,,,
,,2001 - 2002,"35,000.00","10,600.00",0.3,,,,,,
,,2002 - 2003,"32,600.00","13,000.00",0.4,,,,,,
,,2003 - 2004,"36,900.00","7,100.00",0.19,,,,,,
,,2004 - 2005,"36,200.00","18,200.00",0.5,,,,,,
,,2005 - 2006,"37,700.00","26,000.00",0.69,,,,,,
,,2006 - 2007,"35,500.00","19,700.00",0.55,,,,,,
,,2007 - 2008,"32,900.00","21,600.00",0.66,,,,,,
,,2008 - 2009,"28,300.00","14,200.00",0.5,,,,,,
,,2009 - 2010,"30,600.00","16,500.00",0.54,,,,,,
,,2010 - 2011,"28,500.00","17,200.00",0.6,,,,,,
,,2011 - 2012,"25,800.00","13,200.00",0.51,,,,,,
,,2012 - 2013,"25,100.00","8,200.00",0.33,,,,,,
,,2013 - 2014,"26,300.00","15,200.00",0.58,,,,,,
,,2014 - 2015,"28,300.00","8,000.00",0.28,,,,,,
,,2015 - 2016,"14,400.00","3,000.00",0.21,,,,,,
,,2016 - 2017,"17,100.00","10,900.00",0.64,,,,,,
,,2017 - 2018,"10,300.00","6,500.00",0.63,,,,,,
,,2018 - 2019,"7,828.00","4,400.00",0.56,,,,,,
,,2019 - 2020,"5,539.00","3,210.00",0.58,,,,,,
,,2020 - 2021,"5,924.58","3,270.39",0.55,,,,,,
,,2021 - 2022,"6,873.16","5,664.17",0.82,,,,,,
,,2022 - 2023,"6,504.89","5,673.57",0.87,,,,,,
,10. Dhule,2015 - 2016,2,0.4,0.2,,,,,,
,11. Gadchiroli,2021 - 2022,"1,236.50","1,016.16",0.82,,,,,,
,,2022 - 2023,461.5,404.25,0.88,,,,,,
,12. Gondia,2021 - 2022,323.5,265.85,0.82,,,,,,
,,2022 - 2023,565.8,495.61,0.88,,,,,,
,13. Hingoli,2000 - 2001,"21,300.00","6,600.00",0.31,,,,,,
,,2001 - 2002,"22,000.00","8,400.00",0.38,,,,,,
,,2002 - 2003,"26,100.00","9,400.00",0.36,,,,,,
,,2003 - 2004,"27,300.00","12,600.00",0.46,,,,,,
,,2004 - 2005,"28,800.00","9,900.00",0.34,,,,,,
,,2005 - 2006,"32,500.00","14,200.00",0.44,,,,,,
,,2006 - 2007,"38,100.00","20,900.00",0.55,,,,,,
,,2007 - 2008,"32,100.00","23,600.00",0.74,,,,,,
,,2008 - 2009,"22,700.00","11,600.00",0.51,,,,,,
,,2009 - 2010,"20,500.00","13,800.00",0.67,,,,,,
,,2010 - 2011,"26,400.00","15,400.00",0.58,,,,,,
,,2011 - 2012,"22,200.00","13,900.00",0.63,,,,,,
,,2012 - 2013,"22,100.00","16,300.00",0.74,,,,,,
,,2013 - 2014,"33,800.00","23,800.00",0.7,,,,,,
,,2014 - 2015,"14,500.00","5,100.00",0.35,,,,,,
,,2015 - 2016,"10,800.00","2,800.00",0.26,,,,,,
,,2016 - 2017,"9,700.00","7,000.00",0.72,,,,,,
,,2017 - 2018,"5,500.00","2,400.00",0.44,,,,,,
,,2018 - 2019,"5,442.00","3,530.00",0.65,,,,,,
,,2019 - 2020,"2,743.00","1,659.00",0.6,,,,,,
,,2020 - 2021,"1,675.67",870.2,0.52,,,,,,
,,2021 - 2022,"1,433.27",572.45,0.4,,,,,,
,,2022 - 2023,"1,463.47",907.35,0.62,,,,,,
,14. Jalgaon,2007 - 2008,300,200,0.67,,,,,,
,,2008 - 2009,"1,300.00",700,0.54,,,,,,
,,2009 - 2010,"1,600.00","1,200.00",0.75,,,,,,
,,2010 - 2011,500,500,1,,,,,,
,,2011 - 2012,200,100,0.5,,,,,,
,,2012 - 2013,300,100,0.33,,,,,,
,,2013 - 2014,300,100,0.33,,,,,,
,,2016 - 2017,110,50,0.45,,,,,,
,15. Jalna,2000 - 2001,"20,700.00","9,700.00",0.47,,,,,,
,,2001 - 2002,"24,300.00","15,200.00",0.63,,,,,,
,,2002 - 2003,"22,300.00","14,300.00",0.64,,,,,,
,,2003 - 2004,"20,000.00","10,700.00",0.54,,,,,,
,,2004 - 2005,"19,400.00","17,100.00",0.88,,,,,,
,,2005 - 2006,"18,100.00","21,100.00",1.17,,,,,,
,,2006 - 2007,"21,100.00","17,300.00",0.82,,,,,,
,,2007 - 2008,"12,900.00","10,800.00",0.84,,,,,,
,,2008 - 2009,"13,000.00","9,600.00",0.74,,,,,,
,,2009 - 2010,"11,800.00","7,000.00",0.59,,,,,,
,,2010 - 2011,"9,500.00","6,500.00",0.68,,,,,,
,,2011 - 2012,"2,500.00","1,600.00",0.64,,,,,,
,,2012 - 2013,"1,100.00",200,0.18,,,,,,
,,2013 - 2014,"1,100.00","2,370.00",2.15,,,,,,
,,2015 - 2016,900,250,0.28,,,,,,
,,2016 - 2017,100,100,1,,,,,,
,,2018 - 2019,634,200,0.32,,,,,,
,,2019 - 2020,937,281,0.3,,,,,,
,,2020 - 2021,937.39,319.52,0.34,,,,,,
,,2021 - 2022,897.58,"1,097.29",1.22,,,,,,
,,2022 - 2023,345.82,112.39,0.33,,,,,,
,16. Latur,2000 - 2001,"19,300.00","9,300.00",0.48,,,,,,
,,2001 - 2002,"20,600.00","6,600.00",0.32,,,,,,
,,2002 - 2003,"19,300.00","6,600.00",0.34,,,,,,
,,2003 - 2004,"21,100.00","7,500.00",0.36,,,,,,
,,2004 - 2005,"21,800.00","9,400.00",0.43,,,,,,
,,2005 - 2006,"24,100.00","12,900.00",0.54,,,,,,
,,2006 - 2007,"25,200.00","14,500.00",0.58,,,,,,
,,2007 - 2008,"24,400.00","17,800.00",0.73,,,,,,
,,2008 - 2009,"22,600.00","11,600.00",0.51,,,,,,
,,2009 - 2010,"22,300.00","8,800.00",0.39,,,,,,
,,2010 - 2011,"18,600.00","12,200.00",0.66,,,,,,
,,2011 - 2012,"18,300.00","11,200.00",0.61,,,,,,
,,2012 - 2013,"19,100.00","13,300.00",0.7,,,,,,
,,2013 - 2014,"21,700.00","15,500.00",0.71,,,,,,
,,2014 - 2015,"12,900.00","3,800.00",0.29,,,,,,
,,2015 - 2016,"14,800.00","3,300.00",0.22,,,,,,
,,2016 - 2017,"25,000.00","18,200.00",0.73,,,,,,
,,2017 - 2018,"9,200.00","4,300.00",0.47,,,,,,
,,2018 - 2019,"5,770.00","1,700.00",0.29,,,,,,
,,2019 - 2020,"6,498.00","7,077.00",1.09,,,,,,
,,2020 - 2021,"6,913.97","3,298.25",0.48,,,,,,
,,2021 - 2022,"7,749.16","4,496.84",0.58,,,,,,
,,2022 - 2023,"11,844.04","8,797.75",0.74,,,,,,
,17. Nagpur,2021 - 2022,123.4,101.41,0.82,,,,,,
,18. Nanded,2000 - 2001,"7,500.00","2,600.00",0.35,,,,,,
,,2001 - 2002,"7,500.00","5,500.00",0.73,,,,,,
,,2002 - 2003,"8,300.00","5,600.00",0.67,,,,,,
,,2003 - 2004,"8,400.00","6,500.00",0.77,,,,,,
,,2004 - 2005,"9,400.00","4,400.00",0.47,,,,,,
,,2005 - 2006,"10,900.00","7,400.00",0.68,,,,,,
,,2006 - 2007,"10,200.00","5,500.00",0.54,,,,,,
,,2007 - 2008,"7,800.00","6,100.00",0.78,,,,,,
,,2008 - 2009,"7,100.00","3,800.00",0.54,,,,,,
,,2009 - 2010,"7,500.00","3,700.00",0.49,,,,,,
,,2010 - 2011,"5,600.00","3,000.00",0.54,,,,,,
,,2011 - 2012,"4,200.00","2,400.00",0.57,,,,,,
,,2012 - 2013,"6,700.00","5,000.00",0.75,,,,,,
,,2013 - 2014,"7,400.00","4,600.00",0.62,,,,,,
,,2014 - 2015,"3,100.00",900,0.29,,,,,,
,,2015 - 2016,"2,400.00",300,0.13,,,,,,
,,2016 - 2017,"4,300.00","4,100.00",0.95,,,,,,
,,2017 - 2018,"4,900.00","3,700.00",0.76,,,,,,
,,2018 - 2019,656,200,0.3,,,,,,
,,2019 - 2020,"1,090.00",436,0.4,,,,,,
,,2020 - 2021,"1,338.75",791.34,0.59,,,,,,
,,2021 - 2022,"1,322.40",797.94,0.6,,,,,,
,,2022 - 2023,"4,103.06","3,214.34",0.78,,,,,,
,19. Nandurbar,2000 - 2001,100,100,1,,,,,,
,,2004 - 2005,400,200,0.5,,,,,,
,,2005 - 2006,300,100,0.33,,,,,,
,,2006 - 2007,300,100,0.33,,,,,,
,,2007 - 2008,300,200,0.67,,,,,,
,,2008 - 2009,600,300,0.5,,,,,,
,,2009 - 2010,500,400,0.8,,,,,,
,,2010 - 2011,600,600,1,,,,,,
,,2014 - 2015,200,100,0.5,,,,,,
,,2015 - 2016,500,100,0.2,,,,,,
,,2016 - 2017,160,70,0.44,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,
,,2019 - 2020,267,101,0.38,,,,,,
,,2020 - 2021,3,1.52,0.51,,,,,,
,,2022 - 2023,35,22.26,0.64,,,,,,
,20. Nashik,2000 - 2001,700,300,0.43,,,,,,
,,2001 - 2002,700,300,0.43,,,,,,
,,2002 - 2003,400,100,0.25,,,,,,
,,2003 - 2004,200,100,0.5,,,,,,
,,2004 - 2005,100,100,1,,,,,,
,,2005 - 2006,200,100,0.5,,,,,,
,,2006 - 2007,200,100,0.5,,,,,,
,,2007 - 2008,100,100,1,,,,,,
,,2013 - 2014,100,,0,,,,,,
,,2014 - 2015,100,100,1,,,,,,
,,2015 - 2016,12,3,0.25,,,,,,
,21. Parbhani,2000 - 2001,"31,500.00","16,000.00",0.51,,,,,,
,,2001 - 2002,"34,200.00","26,300.00",0.77,,,,,,
,,2002 - 2003,"39,300.00","25,000.00",0.64,,,,,,
,,2003 - 2004,"39,400.00","23,000.00",0.58,,,,,,
,,2004 - 2005,"38,500.00","11,800.00",0.31,,,,,,
,,2005 - 2006,"41,300.00","24,600.00",0.6,,,,,,
,,2006 - 2007,"42,800.00","27,400.00",0.64,,,,,,
,,2007 - 2008,"40,000.00","27,300.00",0.68,,,,,,
,,2008 - 2009,"36,600.00","22,000.00",0.6,,,,,,
,,2009 - 2010,"37,000.00","22,900.00",0.62,,,,,,
,,2010 - 2011,"38,600.00","15,600.00",0.4,,,,,,
,,2011 - 2012,"36,900.00","21,300.00",0.58,,,,,,
,,2012 - 2013,"19,300.00","10,500.00",0.54,,,,,,
,,2013 - 2014,"22,000.00","10,000.00",0.45,,,,,,
,,2014 - 2015,"6,000.00","2,500.00",0.42,,,,,,
,,2015 - 2016,"5,000.00",900,0.18,,,,,,
,,2016 - 2017,"9,700.00","6,300.00",0.65,,,,,,
,,2017 - 2018,"2,500.00","1,200.00",0.48,,,,,,
,,2018 - 2019,"2,743.00","1,200.00",0.44,,,,,,
,,2019 - 2020,"2,258.00","1,043.00",0.46,,,,,,
,,2020 - 2021,"2,258.00","2,474.70",1.1,,,,,,
,,2021 - 2022,"2,372.01","2,708.36",1.14,,,,,,
,,2022 - 2023,"1,506.20",927.82,0.62,,,,,,
,22. Pune,2000 - 2001,"17,900.00","11,000.00",0.61,,,,,,
,,2001 - 2002,"16,700.00","9,800.00",0.59,,,,,,
,,2002 - 2003,"16,600.00","7,100.00",0.43,,,,,,
,,2003 - 2004,"4,600.00",200,0.04,,,,,,
,,2004 - 2005,"6,200.00","1,200.00",0.19,,,,,,
,,2005 - 2006,"7,100.00","5,200.00",0.73,,,,,,
,,2006 - 2007,"11,400.00","4,900.00",0.43,,,,,,
,,2007 - 2008,"8,700.00","5,200.00",0.6,,,,,,
,,2008 - 2009,"2,300.00",800,0.35,,,,,,
,,2009 - 2010,"3,300.00",900,0.27,,,,,,
,,2010 - 2011,"5,000.00","1,900.00",0.38,,,,,,
,,2011 - 2012,600,100,0.17,,,,,,
,,2012 - 2013,600,30,0.05,,,,,,
,,2013 - 2014,600,,0,,,,,,
,,2014 - 2015,400,300,0.75,,,,,,
,,2019 - 2020,30,24,0.8,,,,,,
,,2020 - 2021,2.29,1.11,0.48,,,,,,
,,2021 - 2022,2.29,2.23,0.97,,,,,,
,,2022 - 2023,2.82,1.55,0.55,,,,,,
,23. Ratnagiri,2015 - 2016,1,0.1,0.1,,,,,,
,24. Sangli,2000 - 2001,"12,500.00","5,700.00",0.46,,,,,,
,,2001 - 2002,"6,200.00","2,400.00",0.39,,,,,,
,,2002 - 2003,"2,400.00",500,0.21,,,,,,
,,2003 - 2004,"1,700.00",200,0.12,,,,,,
,,2004 - 2005,"2,100.00","1,300.00",0.62,,,,,,
,,2005 - 2006,"2,200.00",400,0.18,,,,,,
,,2006 - 2007,"2,300.00","1,100.00",0.48,,,,,,
,,2007 - 2008,"2,100.00",500,0.24,,,,,,
,,2008 - 2009,"3,300.00","1,600.00",0.48,,,,,,
,,2009 - 2010,"7,000.00","3,300.00",0.47,,,,,,
,,2010 - 2011,"7,200.00","3,200.00",0.44,,,,,,
,,2011 - 2012,"2,700.00","1,100.00",0.41,,,,,,
,,2012 - 2013,"3,100.00",300,0.1,,,,,,
,,2013 - 2014,"4,100.00","2,190.00",0.53,,,,,,
,,2014 - 2015,"1,700.00","2,200.00",1.29,,,,,,
,,2015 - 2016,"1,900.00",640,0.34,,,,,,
,,2016 - 2017,400,300,0.75,,,,,,
,,2017 - 2018,500,300,0.6,,,,,,
,,2018 - 2019,394,100,0.25,,,,,,
,,2019 - 2020,331,89,0.27,,,,,,
,,2020 - 2021,151.33,13.62,0.09,,,,,,
,,2021 - 2022,49,11.7,0.24,,,,,,
,25. Satara,2000 - 2001,"5,900.00","3,100.00",0.53,,,,,,
,,2001 - 2002,"5,900.00","2,300.00",0.39,,,,,,
,,2002 - 2003,"4,400.00",900,0.2,,,,,,
,,2003 - 2004,"1,700.00",200,0.12,,,,,,
,,2004 - 2005,"2,100.00","1,300.00",0.62,,,,,,
,,2005 - 2006,"2,400.00",400,0.17,,,,,,
,,2006 - 2007,"2,200.00","1,100.00",0.5,,,,,,
,,2007 - 2008,"1,500.00",400,0.27,,,,,,
,,2008 - 2009,"1,100.00",500,0.45,,,,,,
,,2009 - 2010,"1,300.00",600,0.46,,,,,,
,,2010 - 2011,"2,200.00","1,000.00",0.45,,,,,,
,,2011 - 2012,"1,100.00",400,0.36,,,,,,
,,2012 - 2013,100,40,0.4,,,,,,
,,2013 - 2014,100,100,1,,,,,,
,,2014 - 2015,100,200,2,,,,,,
,,2015 - 2016,100,40,0.4,,,,,,
,,2016 - 2017,100,100,1,,,,,,
,,2017 - 2018,100,100,1,,,,,,
,,2018 - 2019,90,17,0.19,,,,,,
,,2019 - 2020,60,28,0.47,,,,,,
,,2020 - 2021,12.29,13.8,1.12,,,,,,
,,2022 - 2023,25,3.01,0.12,,,,,,
,26. Solapur,2000 - 2001,"18,900.00","6,000.00",0.32,,,,,,
,,2001 - 2002,"15,900.00","5,500.00",0.35,,,,,,
,,2002 - 2003,"15,700.00","4,300.00",0.27,,,,,,
,,2003 - 2004,"13,300.00","1,100.00",0.08,,,,,,
,,2004 - 2005,"15,000.00","7,800.00",0.52,,,,,,
,,2005 - 2006,"12,500.00","4,800.00",0.38,,,,,,
,,2006 - 2007,"11,700.00","5,000.00",0.43,,,,,,
,,2007 - 2008,"7,500.00","3,500.00",0.47,,,,,,
,,2008 - 2009,"7,600.00","5,100.00",0.67,,,,,,
,,2009 - 2010,"8,600.00","5,500.00",0.64,,,,,,
,,2010 - 2011,"7,400.00","4,700.00",0.64,,,,,,
,,2011 - 2012,"2,400.00",700,0.29,,,,,,
,,2012 - 2013,900,400,0.44,,,,,,
,,2013 - 2014,"1,500.00",700,0.47,,,,,,
,,2014 - 2015,"2,100.00","1,900.00",0.9,,,,,,
,,2015 - 2016,"2,000.00",500,0.25,,,,,,
,,2016 - 2017,"3,300.00","1,900.00",0.58,,,,,,
,,2017 - 2018,800,400,0.5,,,,,,
,,2018 - 2019,"1,139.00",300,0.26,,,,,,
,,2019 - 2020,"1,062.00",531,0.5,,,,,,
,,2020 - 2021,"1,195.51",621.67,0.52,,,,,,
,,2021 - 2022,"1,043.59",731.24,0.7,,,,,,
,,2022 - 2023,"1,224.27",792.96,0.65,,,,,,
,27. Wardha,2000 - 2001,100,100,1,,,,,,
,,2014 - 2015,100,,0,,,,,,
,,2021 - 2022,340,279.41,0.82,,,,,,
,,2022 - 2023,29.8,26.1,0.88,,,,,,
,28. Washim,2000 - 2001,"7,300.00","2,100.00",0.29,,,,,,
,,2001 - 2002,"5,200.00","2,400.00",0.46,,,,,,
,,2002 - 2003,"3,000.00","1,800.00",0.6,,,,,,
,,2003 - 2004,"2,600.00","1,400.00",0.54,,,,,,
,,2004 - 2005,"2,300.00",900,0.39,,,,,,
