State,District,Year,Safflower,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,50,23,0.46,,,,,,
,,2020 - 2021,130,59,0.45,,,,,,
,,2021 - 2022,75,34,0.45,,,,,,
,,2022 - 2023,5,2,0.4,,,,,,
,6. Giridih,2017 - 2018,13,5,0.38,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,,2019 - 2020,10,4,0.4,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,,2021 - 2022,3,1,0.33,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,
,7. Godda,2017 - 2018,498,339,0.68,,,,,,
,,2018 - 2019,276,174,0.63,,,,,,
,8. Gumla,2019 - 2020,10,4,0.4,,,,,,
,,2020 - 2021,30,11,0.37,,,,,,
,,2021 - 2022,30,9,0.3,,,,,,
,,2022 - 2023,35,14,0.4,,,,,,
,9. Hazaribagh,2017 - 2018,58,28,0.48,,,,,,
,,2021 - 2022,11,4,0.36,,,,,,
,,2022 - 2023,6,0,0,,,,,,
,10. Khunti,2017 - 2018,368,184,0.5,,,,,,
,,2018 - 2019,44,18,0.41,,,,,,
,,2019 - 2020,10,5,0.5,,,,,,
,,2020 - 2021,501,351,0.7,,,,,,
,11. Koderma,2017 - 2018,112,78,0.7,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,,2022 - 2023,1,0,0,,,,,,
,12. Pakur,2017 - 2018,2,1,0.5,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,13. Palamu,2017 - 2018,305,,0,,,,,,
,,2019 - 2020,10,5,0.5,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,,2021 - 2022,16,20,1.25,,,,,,
,,2022 - 2023,11,0,0,,,,,,
,14. Ramgarh,2017 - 2018,41,19,0.46,,,,,,
,15. Ranchi,2017 - 2018,263,132,0.5,,,,,,
,,2021 - 2022,255,78,0.31,,,,,,
,16. Saraikela kharsawan,2018 - 2019,378,219,0.58,,,,,,
,,2021 - 2022,42,13,0.31,,,,,,
,17. Simdega,2017 - 2018,225,259,1.15,,,,,,
,,2018 - 2019,5,6,1.2,,,,,,
,,2019 - 2020,19,12,0.63,,,,,,
,,2021 - 2022,15,4,0.27,,,,,,
5. Karnataka,1. Bagalkot,2000 - 2001,"3,296.00","3,023.00",0.92,,,,,,
,,2001 - 2002,"4,793.00","2,817.00",0.59,,,,,,
,,2002 - 2003,"3,916.00","2,703.00",0.69,,,,,,
,,2003 - 2004,"2,767.00",343,0.12,,,,,,
,,2004 - 2005,"2,857.00",943,0.33,,,,,,
,,2005 - 2006,"2,901.00","1,293.00",0.45,,,,,,
,,2006 - 2007,"3,865.00","1,345.00",0.35,,,,,,
,,2007 - 2008,"3,098.00","2,688.00",0.87,,,,,,
,,2008 - 2009,"3,580.00","2,258.00",0.63,,,,,,
,,2009 - 2010,"2,570.00","1,734.00",0.67,,,,,,
,,2010 - 2011,"2,708.00","1,945.00",0.72,,,,,,
,,2011 - 2012,"2,500.00","2,225.00",0.89,,,,,,
,,2012 - 2013,"1,338.00",824,0.62,,,,,,
,,2013 - 2014,910,272,0.3,,,,,,
,,2014 - 2015,890,348,0.39,,,,,,
,,2015 - 2016,"1,109.00",262,0.24,,,,,,
,,2016 - 2017,"1,133.00",83,0.07,,,,,,
,,2017 - 2018,"1,312.00",707,0.54,,,,,,
,,2018 - 2019,260,70,0.27,,,,,,
,,2019 - 2020,583,426,0.73,,,,,,
,,2020 - 2021,535,315,0.59,,,,,,
,,2021 - 2022,437,309,0.71,,,,,,
,,2022 - 2023,594,325,0.55,,,,,,
,2. Bangalore rural,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,,2020 - 2021,8,5,0.63,,,,,,
,,2021 - 2022,2,2,1,,,,,,
,,2022 - 2023,3,3,1,,,,,,
,3. Belgaum,2000 - 2001,"7,250.00","3,810.00",0.53,,,,,,
,,2001 - 2002,"4,700.00","2,694.00",0.57,,,,,,
,,2002 - 2003,"6,401.00","3,492.00",0.55,,,,,,
,,2003 - 2004,"10,361.00","2,699.00",0.26,,,,,,
,,2004 - 2005,"11,490.00","5,472.00",0.48,,,,,,
,,2005 - 2006,"9,662.00","6,991.00",0.72,,,,,,
,,2006 - 2007,"8,131.00","4,665.00",0.57,,,,,,
,,2007 - 2008,"7,829.00","4,305.00",0.55,,,,,,
,,2008 - 2009,"6,937.00","5,183.00",0.75,,,,,,
,,2009 - 2010,"6,084.00","3,140.00",0.52,,,,,,
,,2010 - 2011,"5,901.00","7,796.00",1.32,,,,,,
,,2011 - 2012,"6,059.00","2,595.00",0.43,,,,,,
,,2012 - 2013,"4,847.00","1,552.00",0.32,,,,,,
,,2013 - 2014,"2,388.00","1,348.00",0.56,,,,,,
,,2014 - 2015,"2,807.00","2,155.00",0.77,,,,,,
,,2015 - 2016,"2,135.00",578,0.27,,,,,,
,,2016 - 2017,"1,679.00",957,0.57,,,,,,
