State,District,Year,Bajra,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2004 - 2005,200,82,0.41,,,,,,,,,
,,2019 - 2020,60,30,0.5,,,,,,,,,
,9. Mayurbhanj,2000 - 2001,60,30,0.5,,,,,,,,,
,,2001 - 2002,30,10,0.33,,,,,,,,,
,,2002 - 2003,50,20,0.4,,,,,,,,,
,,2003 - 2004,60,30,0.5,,,,,,,,,
,,2004 - 2005,58,26,0.45,,,,,,,,,
,10. Nabarangpur,2000 - 2001,190,170,0.89,,,,,,,,,
,,2001 - 2002,200,150,0.75,,,,,,,,,
,,2002 - 2003,140,80,0.57,,,,,,,,,
,,2003 - 2004,70,40,0.57,,,,,,,,,
,,2004 - 2005,42,23,0.55,,,,,,,,,
,11. Nayagarh,2002 - 2003,150,100,0.67,,,,,,,,,
,,2004 - 2005,48,18,0.38,,,,,,,,,
,12. Nuapada,2003 - 2004,20,10,0.5,,,,,,,,,
,,2019 - 2020,110,60,0.55,,,,,,,,,
,13. Rayagada,2000 - 2001,550,290,0.53,,,,,,,,,
,,2001 - 2002,600,360,0.6,,,,,,,,,
,,2002 - 2003,660,260,0.39,,,,,,,,,
,,2003 - 2004,620,370,0.6,,,,,,,,,
,,2004 - 2005,617,370,0.6,,,,,,,,,
,,2019 - 2020,250,140,0.56,,,,,,,,,
,14. Sundargarh,2000 - 2001,150,60,0.4,,,,,,,,,
,,2002 - 2003,40,30,0.75,,,,,,,,,
,,2003 - 2004,40,20,0.5,,,,,,,,,
,,2004 - 2005,43,23,0.53,,,,,,,,,
,,2019 - 2020,10,10,1,,,,,,,,,
17. Puducherry,1. Pondicherry,2000 - 2001,186,513,2.76,,,,,,,,,
,,2001 - 2002,162,345,2.13,,,,,,,,,
,,2002 - 2003,207,397,1.92,,,,,,,,,
,,2003 - 2004,197,383,1.94,,,,,,,,,
,,2007 - 2008,64,133,2.08,,,,,,,,,
,,2008 - 2009,34,58,1.71,,,,,,,21,42,2
,,2009 - 2010,29,49,1.69,,,,,,,31,62,2
,,2010 - 2011,29,68,2.34,,,,,,,5,11,2.2
,,2011 - 2012,11,29,2.64,,,,,,,20,51,2.55
,,2012 - 2013,9,27,3,,,,,,,12,36,3
,,2013 - 2014,12,31,2.58,,,,,,,,,
,,2014 - 2015,6,11,1.83,,,,,,,,,
,,2015 - 2016,6,15,2.5,,,,,,,1,2,2
,,2016 - 2017,12,16,1.33,,,,,,,4,5,1.25
,,2017 - 2018,9,25,2.78,2,6,3,,,,3,8,2.67
,,2018 - 2019,7,17,2.43,1,3,3,,,,3,8,2.67
,,2019 - 2020,14,36,2.57,1,3,3,,,,7,18,2.57
,,2020 - 2021,6,16,2.67,1,3,3,,,,2,5,2.5
,,2021 - 2022,6,16,2.67,1,3,3,,,,7,18,2.57
,,2022 - 2023,27,70,2.59,,,,,,,3,8,2.67
18. Punjab,1. Amritsar,2008 - 2009,"1,000.00","1,000.00",1,,,,,,,,,
,,2011 - 2012,"1,000.00","1,000.00",1,,,,,,,,,
,2. Bathinda,2000 - 2001,"1,000.00","1,000.00",1,,,,,,,,,
,,2002 - 2003,"1,000.00","1,000.00",1,,,,,,,,,
,,2003 - 2004,"1,000.00","1,000.00",1,,,,,,,,,
,,2004 - 2005,"1,000.00","1,000.00",1,,,,,,,,,
,,2005 - 2006,"1,000.00","1,000.00",1,,,,,,,,,
,,2006 - 2007,"1,000.00","1,000.00",1,,,,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,
,,2013 - 2014,100,100,1,,,,,,,,,
,,2016 - 2017,200,100,0.5,,,,,,,,,
,,2017 - 2018,100,100,1,,,,,,,,,
,,2018 - 2019,100,100,1,,,,,,,,,
,,2021 - 2022,200,100,0.5,,,,,,,,,
,,2022 - 2023,300,200,0.67,,,,,,,,,
,3. Faridkot,2008 - 2009,"1,000.00","1,000.00",1,,,,,,,,,
,4. Fatehgarh sahib,2008 - 2009,"2,000.00","2,000.00",1,,,,,,,,,
,,2009 - 2010,"1,000.00","1,000.00",1,,,,,,,,,
,5. Fazilka,2012 - 2013,"1,000.00","1,000.00",1,,,,,,,,,
,,2017 - 2018,200,100,0.5,,,,,,,,,
,,2018 - 2019,100,100,1,,,,,,,,,
,6. Firozepur,2010 - 2011,"1,000.00","1,000.00",1,,,,,,,,,
,7. Gurdaspur,2005 - 2006,"1,000.00","1,000.00",1,,,,,,,,,
,8. Kapurthala,2011 - 2012,"1,000.00","1,000.00",1,,,,,,,,,
,,2021 - 2022,800,500,0.63,,,,,,,,,
,9. Ludhiana,2013 - 2014,300,300,1,,,,,,,,,
,10. Mansa,2000 - 2001,"1,000.00","1,000.00",1,,,,,,,,,
,,2002 - 2003,"2,000.00","2,000.00",1,,,,,,,,,
,,2003 - 2004,"3,000.00","3,000.00",1,,,,,,,,,
,,2004 - 2005,"2,000.00","2,000.00",1,,,,,,,,,
,,2005 - 2006,"1,000.00","1,000.00",1,,,,,,,,,
,,2006 - 2007,"1,000.00","1,000.00",1,,,,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,
,,2009 - 2010,"1,000.00","1,000.00",1,,,,,,,,,
,,2010 - 2011,"1,000.00","1,000.00",1,,,,,,,,,
,,2011 - 2012,"1,000.00","1,000.00",1,,,,,,,,,
,,2012 - 2013,"1,000.00","1,000.00",1,,,,,,,,,
,,2013 - 2014,200,200,1,,,,,,,,,
,,2016 - 2017,"1,000.00",600,0.6,,,,,,,,,
,,2017 - 2018,500,300,0.6,,,,,,,,,
,,2018 - 2019,400,200,0.5,,,,,,,,,
,,2019 - 2020,300,200,0.67,,,,,,,,,
,,2020 - 2021,400,300,0.75,,,,,,,,,
,,2021 - 2022,300,200,0.67,,,,,,,,,
,,2022 - 2023,300,200,0.67,,,,,,,,,
,11. Moga,2000 - 2001,"2,000.00","1,000.00",0.5,,,,,,,,,
,,2019 - 2020,200,100,0.5,,,,,,,,,
,12. Muktsar,2002 - 2003,"1,000.00","1,000.00",1,,,,,,,,,
,,2004 - 2005,"1,000.00","1,000.00",1,,,,,,,,,
,,2013 - 2014,100,100,1,,,,,,,,,
,13. Rupnagar,2002 - 2003,"1,000.00","1,000.00",1,,,,,,,,,
,,2003 - 2004,"1,000.00","1,000.00",1,,,,,,,,,
,,2004 - 2005,"1,000.00","1,000.00",1,,,,,,,,,
,,2018 - 2019,400,200,0.5,,,,,,,,,
,14. S.a.s nagar,2006 - 2007,"1,000.00","1,000.00",1,,,,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,
,,2012 - 2013,"1,000.00","1,000.00",1,,,,,,,,,
,,2021 - 2022,"1,000.00",700,0.7,,,,,,,,,
,15. Sangrur,2000 - 2001,"2,000.00","2,000.00",1,,,,,,,,,
,,2002 - 2003,"2,000.00","1,000.00",0.5,,,,,,,,,
,,2003 - 2004,"3,000.00","3,000.00",1,,,,,,,,,
,,2004 - 2005,"2,000.00","2,000.00",1,,,,,,,,,
,,2005 - 2006,"2,000.00","2,000.00",1,,,,,,,,,
,,2006 - 2007,"2,000.00","2,000.00",1,,,,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,
,,2008 - 2009,"1,000.00","1,000.00",1,,,,,,,,,
,,2009 - 2010,"1,000.00","2,000.00",2,,,,,,,,,
,,2010 - 2011,"1,000.00","1,000.00",1,,,,,,,,,
,,2013 - 2014,100,100,1,,,,,,,,,
,,2017 - 2018,200,100,0.5,,,,,,,,,
,,2018 - 2019,100,100,1,,,,,,,,,
,16. Tarn taran,2006 - 2007,"1,000.00","1,000.00",1,,,,,,,,,
19. Rajasthan,1. Ajmer,2000 - 2001,"64,826.00","9,494.00",0.15,,,,,,,,,
,,2001 - 2002,"69,903.00","74,461.00",1.07,,,,,,,,,
,,2002 - 2003,"59,416.00",532,0.01,,,,,,,,,
,,2003 - 2004,"98,497.00","1,37,310.00",1.39,,,,,,,,,
,,2004 - 2005,"82,174.00","41,736.00",0.51,,,,,,,,,
,,2005 - 2006,"84,447.00","5,792.00",0.07,,,,,,,,,
,,2006 - 2007,"86,479.00","70,023.00",0.81,,,,,,,,,
,,2007 - 2008,"83,559.00","82,062.00",0.98,,,,,,,,,
,,2008 - 2009,"83,304.00","81,596.00",0.98,,,,,,,,,
,,2009 - 2010,"85,338.00","6,464.00",0.08,,,,,,,,,
,,2010 - 2011,"94,322.00","1,28,399.00",1.36,,,,,,,,,
,,2011 - 2012,"74,554.00","95,330.00",1.28,,,,,,,,,
,,2012 - 2013,"70,488.00","76,018.00",1.08,,,,,,,,,
,,2013 - 2014,"67,906.00","83,569.00",1.23,,,,,,,,,
,,2014 - 2015,"69,443.00","93,126.00",1.34,,,,,,,,,
,,2015 - 2016,"61,248.00","47,211.00",0.77,,,,,,,,,
,,2016 - 2017,"61,714.00","60,528.00",0.98,,,,,,,,,
,,2017 - 2018,"58,497.00","69,633.00",1.19,,,,,,,,,
,,2018 - 2019,"61,482.00","1,02,438.00",1.67,,,,,,,,,
,,2019 - 2020,"61,796.00","94,123.00",1.52,,,,,,,,,
,,2020 - 2021,"63,163.00","1,20,955.00",1.91,,,,,,,,,
,,2021 - 2022,"63,433.00","95,933.00",1.51,,,,,,,,,
,,2022 - 2023,"61,647.00","85,869.00",1.39,,,,,,,,,
,2. Alwar,2000 - 2001,"1,99,617.00","2,57,768.00",1.29,,,,,,,,,
,,2001 - 2002,"1,88,597.00","3,49,521.00",1.85,,,,,,,,,
,,2002 - 2003,"1,49,753.00","1,10,440.00",0.74,,,,,,,,,
,,2003 - 2004,"2,32,924.00","4,02,602.00",1.73,,,,,,,,,
,,2004 - 2005,"1,91,980.00","3,02,168.00",1.57,,,,,,,,,
,,2005 - 2006,"2,19,533.00","2,73,938.00",1.25,,,,,,,,,
,,2006 - 2007,"2,32,214.00","4,17,342.00",1.8,,,,,,,,,
,,2007 - 2008,"2,46,411.00","4,29,718.00",1.74,,,,,,,,,
,,2008 - 2009,"2,26,349.00","3,80,460.00",1.68,,,,,,,,,
,,2009 - 2010,"2,76,962.00","3,12,113.00",1.13,,,,,,,,,
,,2010 - 2011,"2,73,147.00","5,08,361.00",1.86,,,,,,,,,
,,2011 - 2012,"2,67,792.00","5,52,935.00",2.06,,,,,,,,,
,,2012 - 2013,"2,40,770.00","4,77,223.00",1.98,,,,,,,,,
,,2013 - 2014,"2,43,194.00","4,54,929.00",1.87,,,,,,,,,
,,2014 - 2015,"2,49,996.00","5,05,037.00",2.02,,,,,,,,,
,,2015 - 2016,"2,62,025.00","4,67,385.00",1.78,,,,,,,,,
,,2016 - 2017,"2,73,586.00","5,88,048.00",2.15,,,,,,,,,
,,2017 - 2018,"2,75,812.00","5,40,061.00",1.96,,,,,,,,,
,,2018 - 2019,"2,73,830.00","5,69,708.00",2.08,,,,,,,,,
,,2019 - 2020,"2,84,580.00","5,98,865.00",2.1,,,,,,,,,
,,2020 - 2021,"3,17,221.00","7,98,737.00",2.52,,,,,,,,,
,,2021 - 2022,"2,89,394.00","7,00,199.00",2.42,,,,,,,,,
,,2022 - 2023,"3,25,150.00","6,77,096.00",2.08,,,,,,,,,
,3. Banswara,2000 - 2001,83,37,0.45,,,,,,,,,
,,2001 - 2002,107,80,0.75,,,,,,,,,
,,2002 - 2003,51,11,0.22,,,,,,,,,
,,2003 - 2004,58,66,1.14,,,,,,,,,
,,2004 - 2005,50,32,0.64,,,,,,,,,
,,2005 - 2006,101,44,0.44,,,,,,,,,
,,2006 - 2007,91,64,0.7,,,,,,,,,
,,2007 - 2008,124,103,0.83,,,,,,,,,
,,2008 - 2009,94,78,0.83,,,,,,,,,
,,2009 - 2010,169,67,0.4,,,,,,,,,
,,2010 - 2011,171,190,1.11,,,,,,,,,
,,2011 - 2012,101,127,1.26,,,,,,,,,
,,2012 - 2013,98,95,0.97,,,,,,,,,
,,2013 - 2014,49,46,0.94,,,,,,,,,
,,2014 - 2015,119,129,1.08,,,,,,,,,
,,2015 - 2016,86,68,0.79,,,,,,,,,
,,2016 - 2017,66,66,1,,,,,,,,,
,,2017 - 2018,125,110,0.88,,,,,,,,,
,,2018 - 2019,148,132,0.89,,,,,,,,,
,,2019 - 2020,163,193,1.18,,,,,,,,,
,,2020 - 2021,92,123,1.34,,,,,,,,,
,,2021 - 2022,22,22,1,,,,,,,,,
,,2022 - 2023,12,16,1.33,,,,,,,,,
,4. Baran,2000 - 2001,"1,848.00",816,0.44,,,,,,,,,
,,2001 - 2002,"2,110.00","1,571.00",0.74,,,,,,,,,
,,2002 - 2003,"3,349.00",748,0.22,,,,,,,,,
,,2003 - 2004,"5,008.00","5,692.00",1.14,,,,,,,,,
,,2004 - 2005,"2,428.00","1,593.00",0.66,,,,,,,,,
,,2005 - 2006,"2,423.00","1,052.00",0.43,,,,,,,,,
,,2006 - 2007,"2,821.00","2,268.00",0.8,,,,,,,,,
,,2007 - 2008,"3,148.00","4,185.00",1.33,,,,,,,,,
,,2008 - 2009,"3,206.00","3,933.00",1.23,,,,,,,,,
,,2009 - 2010,"3,593.00","2,943.00",0.82,,,,,,,,,
,,2010 - 2011,"3,472.00","3,848.00",1.11,,,,,,,,,
,,2011 - 2012,"2,849.00","3,737.00",1.31,,,,,,,,,
,,2012 - 2013,"2,221.00","2,509.00",1.13,,,,,,,,,
,,2013 - 2014,559,279,0.5,,,,,,,,,
,,2014 - 2015,"1,094.00",721,0.66,,,,,,,,,
,,2015 - 2016,"1,095.00",865,0.79,,,,,,,,,
,,2016 - 2017,"1,124.00","1,343.00",1.19,,,,,,,,,
,,2017 - 2018,553,487,0.88,,,,,,,,,
,,2018 - 2019,971,866,0.89,,,,,,,,,
,,2019 - 2020,"1,235.00","1,465.00",1.19,,,,,,,,,
,,2020 - 2021,"1,135.00","2,616.00",2.3,,,,,,,,,
,,2021 - 2022,723,"1,425.00",1.97,,,,,,,,,
,,2022 - 2023,924,"1,421.00",1.54,,,,,,,,,
,5. Barmer,2000 - 2001,"9,11,351.00","1,79,484.00",0.2,,,,,,,,,
,,2001 - 2002,"9,57,673.00","2,49,075.00",0.26,,,,,,,,,
,,2002 - 2003,"7,77,384.00","5,805.00",0.01,,,,,,,,,
,,2003 - 2004,"10,20,181.00","5,63,591.00",0.55,,,,,,,,,
,,2004 - 2005,"8,11,997.00","1,82,935.00",0.23,,,,,,,,,
,,2005 - 2006,"9,21,718.00","68,955.00",0.07,,,,,,,,,
,,2006 - 2007,"9,33,271.00","1,40,926.00",0.15,,,,,,,,,
,,2007 - 2008,"9,60,403.00","1,66,442.00",0.17,,,,,,,,,
,,2008 - 2009,"10,11,401.00","1,31,202.00",0.13,,,,,,,,,
,,2009 - 2010,"9,67,622.00","18,402.00",0.02,,,,,,,,,
,,2010 - 2011,"9,55,029.00","5,34,595.00",0.56,,,,,,,,,
,,2011 - 2012,"8,78,742.00","5,76,877.00",0.66,,,,,,,,,
,,2012 - 2013,"7,13,773.00","3,00,598.00",0.42,,,,,,,,,
,,2013 - 2014,"8,63,185.00","3,74,413.00",0.43,,,,,,,,,
,,2014 - 2015,"7,52,047.00","2,06,823.00",0.28,,,,,,,,,
,,2015 - 2016,"7,79,204.00","1,12,701.00",0.14,,,,,,,,,
,,2016 - 2017,"7,95,056.00","1,18,862.00",0.15,,,,,,,,,
,,2017 - 2018,"9,01,100.00","2,09,342.00",0.23,,,,,,,,,
,,2018 - 2019,"9,00,424.00","1,26,747.00",0.14,,,,,,,,,
,,2019 - 2020,"9,52,457.00","5,93,697.00",0.62,,,,,,,,,
,,2020 - 2021,"9,22,850.00","6,80,595.00",0.74,,,,,,,,,
,,2021 - 2022,"9,89,880.00","1,60,498.00",0.16,,,,,,,,,
,,2022 - 2023,"9,97,356.00","12,15,234.00",1.22,,,,,,,,,
,6. Bharatpur,2000 - 2001,"1,24,550.00","1,66,932.00",1.34,,,,,,,,,
,,2001 - 2002,"99,195.00","1,35,787.00",1.37,,,,,,,,,
,,2002 - 2003,"93,424.00","33,825.00",0.36,,,,,,,,,
,,2003 - 2004,"1,09,183.00","1,82,630.00",1.67,,,,,,,,,
,,2004 - 2005,"92,231.00","1,18,264.00",1.28,,,,,,,,,
,,2005 - 2006,"1,03,465.00","1,25,452.00",1.21,,,,,,,,,
,,2006 - 2007,"1,03,728.00","1,60,499.00",1.55,,,,,,,,,
,,2007 - 2008,"1,11,933.00","1,73,324.00",1.55,,,,,,,,,
,,2008 - 2009,"1,00,146.00","1,57,434.00",1.57,,,,,,,,,
,,2009 - 2010,"1,21,235.00","1,93,505.00",1.6,,,,,,,,,
,,2010 - 2011,"1,22,028.00","2,35,022.00",1.93,,,,,,,,,
,,2011 - 2012,"1,18,162.00","2,31,978.00",1.96,,,,,,,,,
,,2012 - 2013,"1,07,072.00","1,76,910.00",1.65,,,,,,,,,
,,2013 - 2014,"1,02,485.00","1,94,121.00",1.89,,,,,,,,,
,,2014 - 2015,"1,06,988.00","1,90,513.00",1.78,,,,,,,,,
,,2015 - 2016,"1,06,355.00","1,73,660.00",1.63,,,,,,,,,
,,2016 - 2017,"1,14,226.00","2,13,995.00",1.87,,,,,,,,,
,,2017 - 2018,"1,26,925.00","1,85,980.00",1.47,,,,,,,,,
,,2018 - 2019,"1,28,924.00","2,26,214.00",1.75,,,,,,,,,
,,2019 - 2020,"1,35,334.00","2,92,656.00",2.16,,,,,,,,,
,,2020 - 2021,"1,49,247.00","3,41,117.00",2.29,,,,,,,,,
,,2021 - 2022,"1,38,719.00","2,91,502.00",2.1,,,,,,,,,
,,2022 - 2023,"1,84,840.00","3,52,462.00",1.91,,,,,,,,,
,7. Bhilwara,2000 - 2001,860,379,0.44,,,,,,,,,
,,2001 - 2002,"1,292.00",962,0.74,,,,,,,,,
,,2002 - 2003,"2,326.00",519,0.22,,,,,,,,,
,,2003 - 2004,"3,578.00","4,067.00",1.14,,,,,,,,,
,,2004 - 2005,"2,265.00","1,486.00",0.66,,,,,,,,,
,,2005 - 2006,"2,249.00",976,0.43,,,,,,,,,
,,2006 - 2007,"2,628.00","4,527.00",1.72,,,,,,,,,
,,2007 - 2008,"2,914.00","2,862.00",0.98,,,,,,,,,
,,2008 - 2009,"2,720.00","2,944.00",1.08,,,,,,,,,
,,2009 - 2010,"3,167.00",599,0.19,,,,,,,,,
,,2010 - 2011,"5,105.00","5,658.00",1.11,,,,,,,,,
,,2011 - 2012,"2,882.00","2,380.00",0.83,,,,,,,,,
,,2012 - 2013,"2,100.00","3,916.00",1.86,,,,,,,,,
,,2013 - 2014,"2,025.00","2,492.00",1.23,,,,,,,,,
,,2014 - 2015,"2,102.00","2,631.00",1.25,,,,,,,,,
,,2015 - 2016,"2,170.00","1,715.00",0.79,,,,,,,,,
,,2016 - 2017,"2,220.00","3,093.00",1.39,,,,,,,,,
,,2017 - 2018,"2,305.00","2,489.00",1.08,,,,,,,,,
,,2018 - 2019,"2,248.00","3,543.00",1.58,,,,,,,,,
,,2019 - 2020,"2,954.00","1,191.00",0.4,,,,,,,,,
,,2020 - 2021,"2,549.00","4,881.00",1.91,,,,,,,,,
,,2021 - 2022,"2,925.00","4,424.00",1.51,,,,,,,,,
,,2022 - 2023,"3,292.00","4,778.00",1.45,,,,,,,,,
,8. Bikaner,2000 - 2001,"1,99,277.00","38,143.00",0.19,,,,,,,,,
,,2001 - 2002,"2,74,451.00","1,07,237.00",0.39,,,,,,,,,
,,2002 - 2003,"14,645.00","2,221.00",0.15,,,,,,,,,
,,2003 - 2004,"3,02,073.00","2,97,970.00",0.99,,,,,,,,,
,,2004 - 2005,"1,46,219.00","35,188.00",0.24,,,,,,,,,
,,2005 - 2006,"2,17,361.00","38,421.00",0.18,,,,,,,,,
,,2006 - 2007,"1,71,921.00","26,093.00",0.15,,,,,,,,,
,,2007 - 2008,"2,02,291.00","96,368.00",0.48,,,,,,,,,
,,2008 - 2009,"2,56,896.00","1,55,778.00",0.61,,,,,,,,,
,,2009 - 2010,"2,47,147.00","18,875.00",0.08,,,,,,,,,
,,2010 - 2011,"2,52,548.00","1,37,653.00",0.55,,,,,,,,,
,,2011 - 2012,"2,06,510.00","2,00,220.00",0.97,,,,,,,,,
,,2012 - 2013,"63,435.00","13,121.00",0.21,,,,,,,,,
,,2013 - 2014,"1,18,842.00","60,099.00",0.51,,,,,,,,,
,,2014 - 2015,"90,178.00","50,527.00",0.56,,,,,,,,,
,,2015 - 2016,"84,852.00","27,073.00",0.32,,,,,,,,,
,,2016 - 2017,"1,17,985.00","80,353.00",0.68,,,,,,,,,
,,2017 - 2018,"1,24,373.00","60,140.00",0.48,,,,,,,,,
,,2018 - 2019,"1,24,132.00","43,645.00",0.35,,,,,,,,,
,,2019 - 2020,"92,123.00","27,453.00",0.3,,,,,,,,,
,,2020 - 2021,"1,06,639.00","38,669.00",0.36,,,,,,,,,
,,2021 - 2022,"1,15,912.00","39,685.00",0.34,,,,,,,,,
,,2022 - 2023,"1,20,047.00","68,457.00",0.57,,,,,,,,,
,9. Bundi,2000 - 2001,"1,003.00",443,0.44,,,,,,,,,
,,2001 - 2002,"1,763.00","1,313.00",0.74,,,,,,,,,
,,2002 - 2003,"2,521.00",562,0.22,,,,,,,,,
,,2003 - 2004,"9,100.00","10,342.00",1.14,,,,,,,,,
,,2004 - 2005,"2,081.00","1,365.00",0.66,,,,,,,,,
,,2005 - 2006,"2,376.00","1,032.00",0.43,,,,,,,,,
,,2006 - 2007,"2,198.00","2,045.00",0.93,,,,,,,,,
,,2007 - 2008,"4,096.00","5,446.00",1.33,,,,,,,,,
,,2008 - 2009,"2,558.00","3,138.00",1.23,,,,,,,,,
,,2009 - 2010,"3,182.00","2,607.00",0.82,,,,,,,,,
,,2010 - 2011,"4,881.00","5,410.00",1.11,,,,,,,,,
,,2011 - 2012,"2,426.00","3,182.00",1.31,,,,,,,,,
,,2012 - 2013,"1,933.00","2,930.00",1.52,,,,,,,,,
,,2013 - 2014,"1,370.00","1,237.00",0.9,,,,,,,,,
,,2014 - 2015,"1,604.00","1,477.00",0.92,,,,,,,,,
,,2015 - 2016,"1,357.00","1,483.00",1.09,,,,,,,,,
,,2016 - 2017,"1,132.00","1,353.00",1.2,,,,,,,,,
,,2017 - 2018,922,"1,573.00",1.71,,,,,,,,,
,,2018 - 2019,"1,116.00",995,0.89,,,,,,,,,
,,2019 - 2020,"1,614.00","1,915.00",1.19,,,,,,,,,
,,2020 - 2021,"1,381.00","1,964.00",1.42,,,,,,,,,
,,2021 - 2022,809,"1,595.00",1.97,,,,,,,,,
,,2022 - 2023,"1,748.00","2,688.00",1.54,,,,,,,,,
,10. Chittorgarh,2000 - 2001,34,15,0.44,,,,,,,,,
,,2001 - 2002,53,40,0.75,,,,,,,,,
,,2002 - 2003,40,9,0.23,,,,,,,,,
,,2003 - 2004,41,47,1.15,,,,,,,,,
,,2004 - 2005,26,17,0.65,,,,,,,,,
,,2005 - 2006,29,13,0.45,,,,,,,,,
,,2006 - 2007,15,11,0.73,,,,,,,,,
,,2007 - 2008,28,23,0.82,,,,,,,,,
,,2008 - 2009,33,27,0.82,,,,,,,,,
,,2009 - 2010,12,5,0.42,,,,,,,,,
,,2010 - 2011,15,17,1.13,,,,,,,,,
,,2011 - 2012,27,34,1.26,,,,,,,,,
,,2012 - 2013,21,20,0.95,,,,,,,,,
,,2013 - 2014,10,9,0.9,,,,,,,,,
,,2014 - 2015,26,28,1.08,,,,,,,,,
,,2015 - 2016,58,46,0.79,,,,,,,,,
,,2016 - 2017,226,225,1,,,,,,,,,
,,2017 - 2018,31,27,0.87,,,,,,,,,
,,2018 - 2019,66,59,0.89,,,,,,,,,
,,2019 - 2020,102,121,1.19,,,,,,,,,
,,2020 - 2021,99,132,1.33,,,,,,,,,
,,2021 - 2022,125,125,1,,,,,,,,,
,,2022 - 2023,65,84,1.29,,,,,,,,,
,11. Churu,2000 - 2001,"4,22,521.00","52,277.00",0.12,,,,,,,,,
,,2001 - 2002,"4,83,246.00","3,51,589.00",0.73,,,,,,,,,
,,2002 - 2003,"2,94,215.00","5,229.00",0.02,,,,,,,,,
,,2003 - 2004,"4,55,570.00","3,94,429.00",0.87,,,,,,,,,
,,2004 - 2005,"4,04,434.00","78,282.00",0.19,,,,,,,,,
,,2005 - 2006,"4,27,926.00","54,952.00",0.13,,,,,,,,,
,,2006 - 2007,"4,30,403.00","1,54,859.00",0.36,,,,,,,,,
,,2007 - 2008,"4,18,315.00","2,52,836.00",0.6,,,,,,,,,
,,2008 - 2009,"4,27,985.00","3,35,074.00",0.78,,,,,,,,,
,,2009 - 2010,"4,07,615.00","8,580.00",0.02,,,,,,,,,
,,2010 - 2011,"4,02,905.00","2,49,732.00",0.62,,,,,,,,,
,,2011 - 2012,"4,04,192.00","2,93,961.00",0.73,,,,,,,,,
,,2012 - 2013,"2,75,603.00","1,49,713.00",0.54,,,,,,,,,
,,2013 - 2014,"3,26,230.00","1,85,271.00",0.57,,,,,,,,,
,,2014 - 2015,"2,99,565.00","1,96,018.00",0.65,,,,,,,,,
,,2015 - 2016,"2,89,767.00","1,41,626.00",0.49,,,,,,,,,
,,2016 - 2017,"2,58,878.00","1,27,426.00",0.49,,,,,,,,,
,,2017 - 2018,"2,66,146.00","1,06,075.00",0.4,,,,,,,,,
,,2018 - 2019,"2,65,899.00","1,17,853.00",0.44,,,,,,,,,
,,2019 - 2020,"2,57,130.00","1,42,604.00",0.55,,,,,,,,,
,,2020 - 2021,"2,32,638.00","1,67,557.00",0.72,,,,,,,,,
,,2021 - 2022,"1,81,083.00","1,21,863.00",0.67,,,,,,,,,
,,2022 - 2023,"1,98,118.00","1,45,747.00",0.74,,,,,,,,,
,12. Dausa,2000 - 2001,"87,425.00","1,00,466.00",1.15,,,,,,,,,
,,2001 - 2002,"91,192.00","1,42,561.00",1.56,,,,,,,,,
,,2002 - 2003,"95,843.00","47,166.00",0.49,,,,,,,,,
,,2003 - 2004,"1,20,009.00","2,22,794.00",1.86,,,,,,,,,
,,2004 - 2005,"1,03,657.00","1,17,821.00",1.14,,,,,,,,,
,,2005 - 2006,"1,07,951.00","89,922.00",0.83,,,,,,,,,
,,2006 - 2007,"1,11,351.00","2,05,268.00",1.84,,,,,,,,,
,,2007 - 2008,"1,24,261.00","2,18,092.00",1.76,,,,,,,,,
,,2008 - 2009,"1,19,575.00","2,11,087.00",1.77,,,,,,,,,
,,2009 - 2010,"1,38,516.00","1,84,637.00",1.33,,,,,,,,,
,,2010 - 2011,"1,40,584.00","2,00,853.00",1.43,,,,,,,,,
,,2011 - 2012,"1,38,706.00","2,28,025.00",1.64,,,,,,,,,
,,2012 - 2013,"1,34,491.00","2,50,333.00",1.86,,,,,,,,,
,,2013 - 2014,"1,31,559.00","2,28,248.00",1.73,,,,,,,,,
,,2014 - 2015,"1,36,266.00","2,47,739.00",1.82,,,,,,,,,
,,2015 - 2016,"1,46,601.00","1,68,362.00",1.15,,,,,,,,,
,,2016 - 2017,"1,49,547.00","2,42,831.00",1.62,,,,,,,,,
,,2017 - 2018,"1,50,637.00","2,07,987.00",1.38,,,,,,,,,
,,2018 - 2019,"1,53,930.00","2,67,110.00",1.74,,,,,,,,,
,,2019 - 2020,"1,55,052.00","3,05,932.00",1.97,,,,,,,,,
,,2020 - 2021,"1,61,160.00","3,21,204.00",1.99,,,,,,,,,
,,2021 - 2022,"1,61,087.00","3,38,905.00",2.1,,,,,,,,,
,,2022 - 2023,"1,64,556.00","3,28,268.00",1.99,,,,,,,,,
