State,District,Year,Bajra,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,"3,269.00","9,029.00",2.76,8,22,2.75,,,,,,
,,2021 - 2022,"3,770.00","9,233.00",2.45,,,,,,,,,
,,2022 - 2023,542,"1,415.00",2.61,,,,,,,,,
,7. East godavari,2000 - 2001,"3,034.00","2,005.00",0.66,2,1,0.5,,,,,,
,,2001 - 2002,"2,219.00","2,048.00",0.92,,,,,,,,,
,,2002 - 2003,"1,196.00","1,051.00",0.88,,,,,,,,,
,,2003 - 2004,"2,698.00","2,301.00",0.85,,,,,,,,,
,,2004 - 2005,"1,840.00","1,404.00",0.76,,,,,,,,,
,,2005 - 2006,"1,500.00","1,037.00",0.69,9,6,0.67,,,,,,
,,2006 - 2007,"1,516.00",713,0.47,24,11,0.46,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,
,,2008 - 2009,823,546,0.66,,,,,,,,,
,,2009 - 2010,375,287,0.77,,,,,,,,,
,,2010 - 2011,159,83,0.52,,,,,,,,,
,,2011 - 2012,94,78,0.83,6,5,0.83,,,,,,
,,2013 - 2014,66,78,1.18,,,,,,,,,
,,2014 - 2015,58,75,1.29,,,,,,,,,
,,2015 - 2016,65,62,0.95,,,,,,,,,
,,2016 - 2017,78,86,1.1,4,4,1,,,,,,
,,2017 - 2018,61,68,1.11,,,,,,,,,
,,2018 - 2019,90,93,1.03,,,,,,,,,
,,2019 - 2020,5,6,1.2,,,,,,,,,
,,2020 - 2021,6,5,0.83,,,,,,,,,
,,2021 - 2022,7,5,0.71,,,,,,,,,
,8. Guntur,2000 - 2001,406,550,1.35,31,42,1.35,,,,,,
,,2001 - 2002,77,76,0.99,43,43,1,,,,,,
,,2002 - 2003,419,356,0.85,6,5,0.83,,,,,,
,,2003 - 2004,"16,082.00","21,839.00",1.36,197,268,1.36,,,,,,
,,2004 - 2005,"5,824.00","1,584.00",0.27,10,3,0.3,,,,,,
,,2005 - 2006,796,464,0.58,,,,,,,,,
,,2006 - 2007,,,,40,38,0.95,,,,,,
,,2009 - 2010,315,557,1.77,,,,,,,,,
,,2010 - 2011,"1,065.00","1,984.00",1.86,118,220,1.86,,,,,,
,,2011 - 2012,12,21,1.75,,,,,,,,,
,,2012 - 2013,"2,000.00","4,000.00",2,,,,,,,,,
,,2013 - 2014,"3,323.00","5,812.00",1.75,,,,,,,,,
,,2014 - 2015,689,758,1.1,62,68,1.1,,,,,,
,,2015 - 2016,"1,556.00","3,179.00",2.04,4,8,2,,,,,,
,,2016 - 2017,"2,219.00","1,267.00",0.57,,,,,,,,,
,,2017 - 2018,"1,273.00","1,192.00",0.94,63,59,0.94,,,,,,
,,2018 - 2019,67,95,1.42,,,,,,,,,
,,2019 - 2020,18,36,2,25,50,2,,,,,,
,,2020 - 2021,870,995,1.14,23,26,1.13,,,,,,
,,2021 - 2022,986,"1,187.00",1.2,6,7,1.17,,,,,,
,9. Kadapa,2000 - 2001,"7,329.00","10,385.00",1.42,"2,350.00","3,330.00",1.42,,,,,,
,,2001 - 2002,"1,395.00","2,514.00",1.8,"1,524.00","2,746.00",1.8,,,,,,
,,2002 - 2003,"2,866.00","2,814.00",0.98,674,661,0.98,,,,,,
,,2003 - 2004,"4,332.00","3,829.00",0.88,992,877,0.88,,,,,,
,,2004 - 2005,"3,709.00","5,512.00",1.49,"2,451.00","3,642.00",1.49,,,,,,
,,2005 - 2006,"3,327.00","3,553.00",1.07,"2,466.00","2,634.00",1.07,,,,,,
,,2006 - 2007,"2,010.00","2,945.00",1.47,"1,800.00","2,637.00",1.47,,,,,,
,,2007 - 2008,"2,000.00","5,000.00",2.5,"2,000.00","3,000.00",1.5,,,,,,
,,2008 - 2009,"1,170.00","3,170.00",2.71,"1,305.00","3,535.00",2.71,,,,,,
,,2009 - 2010,"2,182.00","5,678.00",2.6,"1,409.00","3,666.00",2.6,,,,,,
,,2010 - 2011,"2,870.00","7,178.00",2.5,"2,070.00","5,177.00",2.5,,,,,,
,,2011 - 2012,"2,209.00","5,728.00",2.59,"1,926.00","4,994.00",2.59,,,,,,
,,2012 - 2013,"2,000.00","3,000.00",1.5,"1,000.00","2,000.00",2,,,,,,
,,2013 - 2014,"2,833.00","5,476.00",1.93,"1,354.00","2,617.00",1.93,,,,,,
,,2014 - 2015,"1,173.00","3,010.00",2.57,"1,945.00","4,991.00",2.57,,,,,,
,,2015 - 2016,"2,340.00","3,749.00",1.6,"2,301.00","3,686.00",1.6,,,,,,
,,2016 - 2017,"3,610.00","4,220.00",1.17,"2,280.00","2,665.00",1.17,,,,,,
,,2017 - 2018,"5,842.00","12,181.00",2.09,"3,979.00","8,296.00",2.08,,,,,,
,,2018 - 2019,845,"1,208.00",1.43,"1,011.00","1,445.00",1.43,,,,,,
,,2019 - 2020,"1,081.00","2,733.00",2.53,"3,400.00","8,595.00",2.53,,,,,,
,,2020 - 2021,"2,841.00","7,117.00",2.51,"2,413.00","6,045.00",2.51,,,,,,
,,2021 - 2022,"2,164.00","3,910.00",1.81,"1,881.00","3,399.00",1.81,,,,,,
,,2022 - 2023,859,"2,056.00",2.39,"1,838.00","3,239.00",1.76,,,,,,
,10. Krishna,2000 - 2001,1,1,1,,,,,,,,,
,,2003 - 2004,10,14,1.4,,,,,,,,,
,,2005 - 2006,,,,2,2,1,,,,,,
,,2009 - 2010,1,2,2,,,,,,,,,
,11. Kurnool,2000 - 2001,"18,718.00","15,199.00",0.81,504,409,0.81,,,,,,
,,2001 - 2002,"13,932.00","11,062.00",0.79,184,146,0.79,,,,,,
,,2002 - 2003,"10,352.00","6,863.00",0.66,362,240,0.66,,,,,,
,,2003 - 2004,"14,793.00","17,707.00",1.2,236,282,1.19,,,,,,
,,2004 - 2005,"10,376.00","9,598.00",0.93,760,703,0.93,,,,,,
,,2005 - 2006,"10,949.00","13,391.00",1.22,"1,241.00","1,518.00",1.22,,,,,,
,,2006 - 2007,"8,784.00","7,993.00",0.91,681,620,0.91,,,,,,
,,2007 - 2008,"10,000.00","11,000.00",1.1,,,,,,,,,
,,2008 - 2009,"7,864.00","8,540.00",1.09,368,400,1.09,,,,,,
,,2009 - 2010,"6,259.00","4,519.00",0.72,488,352,0.72,,,,,,
,,2010 - 2011,"7,195.00","10,692.00",1.49,416,618,1.49,,,,,,
,,2011 - 2012,"5,174.00","2,427.00",0.47,619,290,0.47,,,,,,
,,2012 - 2013,"12,000.00","15,000.00",1.25,"1,000.00","1,000.00",1,,,,,,
,,2013 - 2014,"7,614.00","8,642.00",1.14,219,249,1.14,,,,,,
,,2014 - 2015,"5,056.00","7,083.00",1.4,184,258,1.4,,,,,,
,,2015 - 2016,"9,765.00","13,251.00",1.36,99,134,1.35,,,,,,
,,2016 - 2017,"8,413.00","14,479.00",1.72,219,377,1.72,,,,,,
,,2017 - 2018,"7,885.00","15,305.00",1.94,310,602,1.94,,,,,,
,,2018 - 2019,"6,612.00","4,827.00",0.73,112,82,0.73,,,,,,
,,2019 - 2020,"6,529.00","14,886.00",2.28,820,"1,870.00",2.28,,,,,,
,,2020 - 2021,"4,278.00","5,878.00",1.37,"1,521.00","2,090.00",1.37,,,,,,
,,2021 - 2022,"7,634.00","13,711.00",1.8,"1,203.00","2,161.00",1.8,,,,,,
,,2022 - 2023,"1,891.00","3,222.00",1.7,"1,087.00","1,915.00",1.76,,,,,,
,12. Nandyal,2022 - 2023,"2,596.00","3,712.00",1.43,494,870,1.76,,,,,,
,13. Palnadu,2022 - 2023,75,173,2.31,1,2,2,,,,,,
,14. Parvathipuram manyam,2022 - 2023,18,41,2.28,,,,,,,,,
,15. Prakasam,2000 - 2001,"28,546.00","42,876.00",1.5,"1,807.00","2,714.00",1.5,,,,,,
,,2001 - 2002,"7,969.00","9,786.00",1.23,717,880,1.23,,,,,,
,,2002 - 2003,"10,062.00","9,378.00",0.93,198,185,0.93,,,,,,
,,2003 - 2004,"26,565.00","37,324.00",1.41,66,93,1.41,,,,,,
,,2004 - 2005,"17,641.00","20,958.00",1.19,148,176,1.19,,,,,,
,,2005 - 2006,"16,523.00","27,015.00",1.63,159,260,1.64,,,,,,
,,2006 - 2007,"9,212.00","10,760.00",1.17,266,311,1.17,,,,,,
