State,District,Year,Moong(Green Gram),,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Autumn,,,Winter,,
,,2016 - 2017,492,114,0.23,"2,260.00",555,0.25,,,,,,,,,,,,
,,2017 - 2018,420,98,0.23,"2,219.00",545,0.25,,,,,,,,,,,,
,,2018 - 2019,358,83,0.23,"1,765.00",506,0.29,,,,,,,,,,,,
,,2019 - 2020,395,76,0.19,"1,450.00",356,0.25,,,,,,,,,,,,
,,2020 - 2021,258,60,0.23,"1,056.00",259,0.25,,,,,,,,,,,,
,,2021 - 2022,389,90,0.23,"1,127.00",277,0.25,,,,,,,,,,,,
,,2022 - 2023,401,93,0.23,958,235,0.25,,,,,,,,,,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,,,,5,3,0.6,,,,,,,,,,,,
,23. Mohla manpur ambagarh chouki,2022 - 2023,60,15,0.25,2,2,1,,,,,,,,,,,,
,24. Mungeli,2011 - 2012,6,1,0.17,25,6,0.24,,,,,,,,,,,,
,,2012 - 2013,2,1,0.5,19,5,0.26,,,,,,,,,,,,
,,2013 - 2014,2,1,0.5,19,5,0.26,,,,,,,,,,,,
,,2014 - 2015,2,1,0.5,17,4,0.24,,,,,,,,,,,,
,,2015 - 2016,2,2,1,8,3,0.38,,,,,,,,,,,,
,,2016 - 2017,2,1,0.5,17,11,0.65,,,,,,,,,,,,
,,2017 - 2018,2,1,0.5,4,2,0.5,,,,,,,,,,,,
,,2018 - 2019,6,4,0.67,7,4,0.57,,,,,,,,,,,,
,,2019 - 2020,18,7,0.39,6,3,0.5,37,,0,,,,,,,,,
,,2020 - 2021,10,6,0.6,8,4,0.5,86,0,0,,,,,,,,,
,,2021 - 2022,8,8,1,2,1,0.5,,,,,,,,,,,,
,,2022 - 2023,8,8,1,4,2,0.5,,,,,,,,,,,,
,25. Narayanpur,2006 - 2007,,,,21,,0,,,,,,,,,,,,
,,2007 - 2008,,,,7,3,0.43,,,,,,,,,,,,
,,2008 - 2009,,,,7,3,0.43,,,,,,,,,,,,
,,2009 - 2010,,,,7,2,0.29,,,,,,,,,,,,
,,2010 - 2011,,,,1,,0,,,,,,,,,,,,
,,2011 - 2012,,,,8,2,0.25,,,,,,,,,,,,
,,2012 - 2013,,,,11,4,0.36,,,,,,,,,,,,
,,2013 - 2014,,,,11,4,0.36,,,,,,,,,,,,
,,2014 - 2015,,,,7,2,0.29,,,,,,,,,,,,
,,2015 - 2016,,,,4,1,0.25,,,,,,,,,,,,
,,2016 - 2017,1,,0,5,2,0.4,,,,,,,,,,,,
,,2017 - 2018,,,,4,2,0.5,,,,,,,,,,,,
,,2018 - 2019,,,,4,1,0.25,,,,,,,,,,,,
,,2019 - 2020,12,5,0.42,,,,,,,,,,,,,,,
,,2020 - 2021,2,1,0.5,1,1,1,,,,,,,,,,,,
,,2021 - 2022,3,1,0.33,1,1,1,,,,,,,,,,,,
,,2022 - 2023,3,1,0.33,1,1,1,,,,,,,,,,,,
,26. Raigarh,2000 - 2001,759,157,0.21,"2,084.00",462,0.22,,,,,,,,,,,,
,,2001 - 2002,"1,533.00",413,0.27,"2,096.00",556,0.27,,,,,,,,,,,,
,,2002 - 2003,"2,505.00",712,0.28,"2,120.00",510,0.24,,,,,,,,,,,,
,,2003 - 2004,"3,706.00","1,071.00",0.29,"2,115.00",540,0.26,,,,,,,,,,,,
,,2004 - 2005,"2,305.00",599,0.26,"2,106.00",487,0.23,,,,,,,,,,,,
,,2005 - 2006,"2,420.00",653,0.27,"2,065.00",548,0.27,,,,,,,,,,,,
,,2006 - 2007,"2,324.00",705,0.3,"1,970.00",589,0.3,,,,,,,,,,,,
,,2007 - 2008,"2,298.00",664,0.29,"1,994.00",586,0.29,,,,,,,,,,,,
,,2008 - 2009,"2,071.00",599,0.29,"2,006.00",551,0.27,,,,,,,,,,,,
,,2009 - 2010,"2,127.00",564,0.27,"1,837.00",522,0.28,,,,,,,,,,,,
,,2010 - 2011,"2,122.00",614,0.29,"1,870.00",541,0.29,,,,,,,,,,,,
,,2011 - 2012,"1,993.00",596,0.3,"1,766.00",510,0.29,,,,,,,,,,,,
,,2012 - 2013,"1,931.00",586,0.3,"1,813.00",542,0.3,,,,,,,,,,,,
,,2013 - 2014,"1,754.00",525,0.3,"1,806.00",522,0.29,,,,,,,,,,,,
,,2014 - 2015,"1,702.00",533,0.31,"1,723.00",540,0.31,,,,,,,,,,,,
,,2015 - 2016,"1,657.00","1,246.00",0.75,"1,755.00","1,246.00",0.71,,,,,,,,,,,,
,,2016 - 2017,"1,714.00","1,289.00",0.75,"1,702.00","1,208.00",0.71,,,,,,,,,,,,
,,2017 - 2018,635,92,0.14,"1,551.00","1,101.00",0.71,,,,,,,,,,,,
,,2018 - 2019,383,275,0.72,"1,428.00",981,0.69,,,,,,,,,,,,
,,2019 - 2020,368,269,0.73,949,630,0.66,,,,,,,,,,,,
,,2020 - 2021,453,346,0.76,"1,045.00",778,0.74,,,,,,,,,,,,
,,2021 - 2022,464,333,0.72,939,688,0.73,,,,,,,,,,,,
,,2022 - 2023,366,262,0.72,201,147,0.73,,,,,,,,,,,,
,27. Raipur,2000 - 2001,"1,600.00",281,0.18,450,66,0.15,,,,,,,,,,,,
,,2001 - 2002,"1,525.00",341,0.22,486,107,0.22,,,,,,,,,,,,
,,2002 - 2003,"1,425.00",302,0.21,460,89,0.19,,,,,,,,,,,,
,,2003 - 2004,"1,657.00",286,0.17,453,96,0.21,,,,,,,,,,,,
,,2004 - 2005,"1,719.00",237,0.14,503,101,0.2,,,,,,,,,,,,
,,2005 - 2006,"1,899.00",291,0.15,513,103,0.2,,,,,,,,,,,,
,,2006 - 2007,"2,032.00",311,0.15,547,109,0.2,,,,,,,,,,,,
,,2007 - 2008,"2,005.00",339,0.17,580,118,0.2,,,,,,,,,,,,
,,2008 - 2009,"2,394.00",382,0.16,494,103,0.21,,,,,,,,,,,,
,,2009 - 2010,"2,491.00",429,0.17,498,100,0.2,,,,,,,,,,,,
,,2010 - 2011,"2,928.00",523,0.18,479,101,0.21,,,,,,,,,,,,
,,2011 - 2012,146,25,0.17,68,15,0.22,,,,,,,,,,,,
,,2012 - 2013,78,16,0.21,72,19,0.26,,,,,,,,,,,,
,,2013 - 2014,91,19,0.21,73,20,0.27,,,,,,,,,,,,
,,2014 - 2015,125,28,0.22,134,36,0.27,,,,,,,,,,,,
,,2015 - 2016,64,17,0.27,139,27,0.19,,,,,,,,,,,,
,,2016 - 2017,102,29,0.28,103,31,0.3,,,,,,,,,,,,
,,2017 - 2018,66,17,0.26,85,19,0.22,,,,,,,,,,,,
,,2018 - 2019,40,10,0.25,125,38,0.3,,,,,,,,,,,,
,,2019 - 2020,35,9,0.26,11,4,0.36,,,,,,,,,,,,
,,2020 - 2021,36,16,0.44,31,15,0.48,,,,,,,,,,,,
,,2021 - 2022,56,26,0.46,5,2,0.4,,,,,,,,,,,,
,,2022 - 2023,26,12,0.46,10,5,0.5,,,,,,,,,,,,
,28. Rajnandgaon,2000 - 2001,82,14,0.17,721,126,0.17,,,,,,,,,,,,
,,2001 - 2002,70,15,0.21,449,92,0.2,,,,,,,,,,,,
,,2002 - 2003,190,35,0.18,470,86,0.18,,,,,,,,,,,,
,,2003 - 2004,86,18,0.21,577,131,0.23,,,,,,,,,,,,
,,2004 - 2005,74,13,0.18,788,176,0.22,,,,,,,,,,,,
,,2005 - 2006,197,35,0.18,496,103,0.21,,,,,,,,,,,,
,,2006 - 2007,288,58,0.2,474,97,0.2,,,,,,,,,,,,
,,2007 - 2008,107,22,0.21,409,90,0.22,,,,,,,,,,,,
,,2008 - 2009,105,21,0.2,422,77,0.18,,,,,,,,,,,,
,,2009 - 2010,111,20,0.18,422,69,0.16,,,,,,,,,,,,
,,2010 - 2011,130,27,0.21,368,73,0.2,,,,,,,,,,,,
,,2011 - 2012,116,24,0.21,304,68,0.22,,,,,,,,,,,,
,,2012 - 2013,93,18,0.19,252,53,0.21,,,,,,,,,,,,
,,2013 - 2014,90,17,0.19,216,41,0.19,,,,,,,,,,,,
,,2014 - 2015,293,61,0.21,255,61,0.24,,,,,,,,,,,,
,,2015 - 2016,826,173,0.21,"1,753.00","1,299.00",0.74,,,,,,,,,,,,
,,2016 - 2017,"1,525.00",346,0.23,"1,383.00",765,0.55,,,,,,,,,,,,
,,2017 - 2018,984,241,0.24,"1,373.00","1,096.00",0.8,,,,,,,,,,,,
,,2018 - 2019,941,213,0.23,"1,344.00","1,156.00",0.86,,,,,,,,,,,,
,,2019 - 2020,152,35,0.23,3,2,0.67,,,,,,,,,,,,
,,2020 - 2021,38,9,0.24,27,20,0.74,,,,,,,,,,,,
,,2021 - 2022,105,24,0.23,17,13,0.76,,,,,,,,,,,,
,,2022 - 2023,52,13,0.25,4,3,0.75,,,,,,,,,,,,
,29. Sakti,2022 - 2023,36,22,0.61,48,16,0.33,,,,,,,,,,,,
,30. Sarangarh bilaigarh,2022 - 2023,38,13,0.34,147,65,0.44,,,,,,,,,,,,
,31. Sukma,2011 - 2012,234,79,0.34,793,211,0.27,,,,,,,,,,,,
,,2012 - 2013,206,75,0.36,778,405,0.52,,,,,,,,,,,,
,,2013 - 2014,227,65,0.29,813,344,0.42,,,,,,,,,,,,
,,2014 - 2015,223,61,0.27,782,316,0.4,,,,,,,,,,,,
,,2015 - 2016,187,54,0.29,750,293,0.39,,,,,,,,,,,,
,,2016 - 2017,178,54,0.3,740,265,0.36,,,,,,,,,,,,
,,2017 - 2018,132,41,0.31,827,313,0.38,,,,,,,,,,,,
,,2018 - 2019,129,40,0.31,814,291,0.36,,,,,,,,,,,,
,,2019 - 2020,295,86,0.29,152,54,0.36,109,,0,,,,,,,,,
,,2020 - 2021,245,105,0.43,58,20,0.34,,,,,,,,,,,,
,,2021 - 2022,187,80,0.43,81,29,0.36,,,,,,,,,,,,
,,2022 - 2023,183,79,0.43,81,30,0.37,,,,,,,,,,,,
,32. Surajpur,2011 - 2012,30,2,0.07,67,13,0.19,,,,,,,,,,,,
,,2012 - 2013,44,7,0.16,46,9,0.2,,,,,,,,,,,,
,,2013 - 2014,25,5,0.2,52,10,0.19,,,,,,,,,,,,
,,2014 - 2015,14,2,0.14,57,11,0.19,,,,,,,,,,,,
,,2015 - 2016,35,8,0.23,78,18,0.23,,,,,,,,,,,,
,,2016 - 2017,29,5,0.17,82,16,0.2,,,,,,,,,,,,
,,2017 - 2018,9,2,0.22,92,18,0.2,,,,,,,,,,,,
,,2018 - 2019,,,,102,22,0.22,,,,,,,,,,,,
,,2019 - 2020,6,2,0.33,91,22,0.24,,,,,,,,,,,,
,,2020 - 2021,,,,96,22,0.23,,,,,,,,,,,,
,,2021 - 2022,,,,32,8,0.25,,,,,,,,,,,,
,,2022 - 2023,,,,30,7,0.23,,,,,,,,,,,,
,33. Surguja,2000 - 2001,10,1,0.1,73,13,0.18,,,,,,,,,,,,
,,2001 - 2002,13,2,0.15,93,18,0.19,,,,,,,,,,,,
,,2002 - 2003,10,2,0.2,93,17,0.18,,,,,,,,,,,,
,,2003 - 2004,12,3,0.25,78,15,0.19,,,,,,,,,,,,
,,2004 - 2005,16,3,0.19,72,13,0.18,,,,,,,,,,,,
,,2005 - 2006,,,,112,21,0.19,,,,,,,,,,,,
,,2006 - 2007,,,,107,22,0.21,,,,,,,,,,,,
,,2007 - 2008,37,7,0.19,86,17,0.2,,,,,,,,,,,,
,,2008 - 2009,25,5,0.2,97,19,0.2,,,,,,,,,,,,
,,2009 - 2010,16,3,0.19,111,18,0.16,,,,,,,,,,,,
,,2010 - 2011,27,5,0.19,200,22,0.11,,,,,,,,,,,,
,,2011 - 2012,,,,9,2,0.22,,,,,,,,,,,,
,,2012 - 2013,,,,11,2,0.18,,,,,,,,,,,,
,,2013 - 2014,,,,9,2,0.22,,,,,,,,,,,,
,,2014 - 2015,,,,10,2,0.2,,,,,,,,,,,,
,,2015 - 2016,,,,9,2,0.22,,,,,,,,,,,,
,,2016 - 2017,,,,9,2,0.22,,,,,,,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,,,,,,,,,,
,,2018 - 2019,,,,2,1,0.5,,,,,,,,,,,,
,,2019 - 2020,,,,2,,0,,,,,,,,,,,,
,,2020 - 2021,,,,4,1,0.25,,,,,,,,,,,,
,,2021 - 2022,1,1,1,1,0,0,,,,,,,,,,,,
,,2022 - 2023,1,1,1,5,1,0.2,,,,,,,,,,,,
8. Gujarat,1. Ahmadabad,2000 - 2001,,,,"2,300.00","1,200.00",0.52,,,,,,,,,,,,
,,2001 - 2002,,,,"2,500.00","1,200.00",0.48,,,,,,,,,,,,
,,2002 - 2003,,,,"2,100.00",600,0.29,,,,,,,,,,,,
,,2003 - 2004,,,,"2,300.00","1,400.00",0.61,,,,,,,,,,,,
,,2004 - 2005,,,,"1,100.00",500,0.45,,,,,,,,,,,,
,,2005 - 2006,,,,"4,500.00","2,700.00",0.6,,,,,,,,,,,,
,,2006 - 2007,,,,"1,800.00",600,0.33,,,,,,,,,,,,
,,2007 - 2008,,,,"1,800.00","1,000.00",0.56,,,,,,,,,,,,
,,2008 - 2009,,,,"2,300.00","1,000.00",0.43,,,,,,,,,,,,
,,2009 - 2010,,,,"2,000.00",800,0.4,,,,,,,,,,,,
,,2010 - 2011,,,,"2,000.00",900,0.45,"1,000.00",500,0.5,,,,,,,,,
,,2011 - 2012,,,,"1,900.00",900,0.47,400,300,0.75,,,,,,,,,
,,2012 - 2013,,,,800,400,0.5,500,300,0.6,,,,,,,,,
,,2013 - 2014,,,,633,336,0.53,117,63,0.54,,,,,,,,,
,,2014 - 2015,,,,430,213,0.5,267,155,0.58,,,,,,,,,
,,2015 - 2016,,,,"1,589.00",803,0.51,715,377,0.53,,,,,,,,,
,,2016 - 2017,,,,"6,470.00","2,937.00",0.45,683,619,0.91,,,,,,,,,
,,2017 - 2018,,,,"3,910.00","2,221.00",0.57,615,349,0.57,,,,,,,,,
,,2018 - 2019,,,,"2,895.00",402,0.14,383,452,1.18,,,,,,,,,
,,2019 - 2020,,,,737,490,0.66,328,343,1.05,,,,,,,,,
,,2020 - 2021,,,,"2,120.00","1,401.00",0.66,237,272,1.15,,,,,,,,,
,,2021 - 2022,,,,"3,633.00","1,956.00",0.54,215,285,1.33,,,,,,,,,
,,2022 - 2023,,,,"2,219.00","1,454.00",0.66,217,254,1.17,,,,,,,,,
,2. Amreli,2000 - 2001,,,,"2,900.00",800,0.28,,,,,,,,,,,,
,,2001 - 2002,,,,"3,400.00","2,200.00",0.65,,,,,,,,,,,,
,,2002 - 2003,,,,"3,000.00",900,0.3,,,,,,,,,,,,
,,2003 - 2004,,,,"4,500.00","2,600.00",0.58,,,,,,,,,,,,
,,2004 - 2005,,,,"4,400.00","1,800.00",0.41,,,,,,,,,,,,
,,2005 - 2006,,,,"3,500.00","2,100.00",0.6,,,,,,,,,,,,
,,2006 - 2007,,,,"3,800.00","1,300.00",0.34,,,,,,,,,,,,
,,2007 - 2008,,,,"3,800.00","2,100.00",0.55,,,,,,,,,,,,
,,2008 - 2009,,,,"3,800.00","1,600.00",0.42,,,,,,,,,,,,
,,2009 - 2010,,,,"3,600.00","1,400.00",0.39,,,,,,,,,,,,
,,2010 - 2011,,,,"3,100.00","1,400.00",0.45,"2,300.00","1,200.00",0.52,,,,,,,,,
,,2011 - 2012,,,,"2,200.00","1,000.00",0.45,"2,200.00","1,200.00",0.55,,,,,,,,,
,,2012 - 2013,,,,"2,200.00","1,000.00",0.45,100,100,1,,,,,,,,,
,,2013 - 2014,,,,"2,592.00","1,376.00",0.53,"1,052.00",560,0.53,,,,,,,,,
,,2014 - 2015,,,,"2,919.00","1,443.00",0.49,565,305,0.54,,,,,,,,,
,,2015 - 2016,,,,"2,380.00","1,203.00",0.51,322,169,0.52,,,,,,,,,
,,2016 - 2017,,,,"2,988.00","1,356.00",0.45,516,279,0.54,,,,,,,,,
,,2017 - 2018,,,,"2,801.00","1,591.00",0.57,348,383,1.1,,,,,,,,,
,,2018 - 2019,,,,"2,627.00","1,109.00",0.42,178,210,1.18,,,,,,,,,
,,2019 - 2020,,,,"1,887.00","1,212.00",0.64,"1,355.00","1,416.00",1.05,,,,,,,,,
,,2020 - 2021,,,,"2,160.00",890,0.41,"4,965.00","5,699.00",1.15,,,,,,,,,
,,2021 - 2022,,,,"2,701.00","1,449.00",0.54,"4,449.00","5,894.00",1.32,,,,,,,,,
,,2022 - 2023,,,,"2,930.00","1,716.00",0.59,"2,786.00","2,842.00",1.02,,,,,,,,,
,3. Anand,2003 - 2004,,,,300,200,0.67,,,,,,,,,,,,
,,2004 - 2005,,,,300,100,0.33,,,,,,,,,,,,
,,2005 - 2006,,,,200,100,0.5,,,,,,,,,,,,
,,2006 - 2007,,,,300,100,0.33,,,,,,,,,,,,
,,2007 - 2008,,,,400,200,0.5,,,,,,,,,,,,
,,2008 - 2009,,,,600,300,0.5,,,,,,,,,,,,
,,2009 - 2010,,,,600,200,0.33,,,,,,,,,,,,
,,2010 - 2011,,,,"1,000.00",400,0.4,"1,600.00",900,0.56,,,,,,,,,
,,2011 - 2012,,,,400,200,0.5,"1,400.00",700,0.5,,,,,,,,,
,,2012 - 2013,,,,700,300,0.43,100,100,1,,,,,,,,,
,,2013 - 2014,,,,236,125,0.53,59,32,0.54,,,,,,,,,
,,2014 - 2015,,,,331,164,0.5,295,153,0.52,,,,,,,,,
,,2015 - 2016,,,,51,26,0.51,526,354,0.67,,,,,,,,,
,,2016 - 2017,,,,66,30,0.45,821,424,0.52,,,,,,,,,
,,2017 - 2018,,,,39,22,0.56,756,382,0.51,,,,,,,,,
,,2018 - 2019,,,,,,,721,707,0.98,,,,,,,,,
,,2019 - 2020,,,,,,,653,682,1.04,,,,,,,,,
,,2020 - 2021,,,,,,,"1,552.00","1,781.00",1.15,,,,,,,,,
,,2021 - 2022,,,,,,,"1,170.00","1,245.00",1.06,,,,,,,,,
,,2022 - 2023,,,,,,,598,602,1.01,,,,,,,,,
,4. Aravalli,2014 - 2015,,,,"1,140.00",563,0.49,"1,165.00",659,0.57,,,,,,,,,
,,2015 - 2016,,,,796,402,0.51,455,246,0.54,,,,,,,,,
,,2016 - 2017,,,,999,453,0.45,830,556,0.67,,,,,,,,,
,,2017 - 2018,,,,"1,203.00",683,0.57,819,573,0.7,,,,,,,,,
,,2018 - 2019,,,,"1,025.00",342,0.33,682,805,1.18,,,,,,,,,
,,2019 - 2020,,,,471,302,0.64,"1,616.00","1,689.00",1.05,,,,,,,,,
,,2020 - 2021,,,,467,192,0.41,"1,318.00","1,513.00",1.15,,,,,,,,,
,,2021 - 2022,,,,454,201,0.44,"1,420.00","1,881.00",1.32,,,,,,,,,
,,2022 - 2023,,,,"1,011.00",592,0.59,"1,180.00",841,0.71,,,,,,,,,
,5. Banas kantha,2000 - 2001,,,,"23,700.00","4,000.00",0.17,,,,,,,,,,,,
,,2001 - 2002,,,,"28,700.00","12,800.00",0.45,,,,,,,,,,,,
,,2002 - 2003,,,,"33,400.00","4,600.00",0.14,,,,,,,,,,,,
,,2003 - 2004,,,,"36,200.00","26,700.00",0.74,,,,,,,,,,,,
,,2004 - 2005,,,,"34,700.00","13,700.00",0.39,,,,,,,,,,,,
,,2005 - 2006,,,,"30,300.00","23,200.00",0.77,,,,,,,,,,,,
,,2006 - 2007,,,,"32,300.00","5,000.00",0.15,,,,,,,,,,,,
,,2007 - 2008,,,,"40,700.00","27,000.00",0.66,,,,,,,,,,,,
,,2008 - 2009,,,,"20,000.00","8,800.00",0.44,,,,,,,,,,,,
,,2009 - 2010,,,,"17,100.00","3,200.00",0.19,,,,,,,,,,,,
,,2010 - 2011,,,,"20,100.00","15,000.00",0.75,"3,900.00","2,300.00",0.59,,,,,,,,,
,,2011 - 2012,,,,"31,000.00","18,500.00",0.6,"2,600.00","1,800.00",0.69,,,,,,,,,
,,2012 - 2013,,,,"18,200.00","8,600.00",0.47,"2,900.00","1,400.00",0.48,,,,,,,,,
,,2013 - 2014,,,,"19,029.00","13,311.00",0.7,"1,063.00",623,0.59,,,,,,,,,
,,2014 - 2015,,,,"9,142.00","5,738.00",0.63,"1,255.00",734,0.58,,,,,,,,,
,,2015 - 2016,,,,"4,184.00","1,426.00",0.34,"1,149.00",635,0.55,,,,,,,,,
,,2016 - 2017,,,,"13,910.00","6,365.00",0.46,852,458,0.54,,,,,,,,,
,,2017 - 2018,,,,"6,165.00","4,223.00",0.68,"1,179.00","1,297.00",1.1,,,,,,,,,
,,2018 - 2019,,,,"10,688.00","3,174.00",0.3,176,102,0.58,,,,,,,,,
,,2019 - 2020,,,,"5,744.00","4,700.00",0.82,561,461,0.82,,,,,,,,,
,,2020 - 2021,,,,"6,497.00","4,895.00",0.75,413,354,0.86,,,,,,,,,
,,2021 - 2022,,,,"8,246.00","5,512.00",0.67,159,211,1.33,,,,,,,,,
,,2022 - 2023,,,,"5,465.00","3,813.00",0.7,236,276,1.17,,,,,,,,,
,6. Bharuch,2000 - 2001,,,,"2,000.00",600,0.3,,,,,,,,,,,,
,,2001 - 2002,,,,"1,900.00",900,0.47,,,,,,,,,,,,
,,2002 - 2003,,,,"3,500.00","1,100.00",0.31,,,,,,,,,,,,
,,2003 - 2004,,,,"2,200.00","1,300.00",0.59,,,,,,,,,,,,
,,2004 - 2005,,,,"2,500.00","1,000.00",0.4,,,,,,,,,,,,
,,2005 - 2006,,,,"1,100.00",600,0.55,,,,,,,,,,,,
,,2006 - 2007,,,,"2,100.00",700,0.33,,,,,,,,,,,,
,,2007 - 2008,,,,"3,800.00","2,100.00",0.55,,,,,,,,,,,,
,,2008 - 2009,,,,"2,800.00","1,200.00",0.43,,,,,,,,,,,,
,,2009 - 2010,,,,"2,200.00",900,0.41,,,,,,,,,,,,
,,2010 - 2011,,,,"1,500.00",700,0.47,"2,000.00","1,100.00",0.55,,,,,,,,,
,,2011 - 2012,,,,900,400,0.44,"2,700.00","1,400.00",0.52,,,,,,,,,
,,2012 - 2013,,,,"1,600.00",700,0.44,"1,200.00",600,0.5,,,,,,,,,
,,2013 - 2014,,,,"1,375.00",730,0.53,575,305,0.53,,,,,,,,,
,,2014 - 2015,,,,"1,310.00","1,591.00",1.21,800,418,0.52,,,,,,,,,
,,2015 - 2016,,,,"4,210.00","3,368.00",0.8,300,158,0.53,,,,,,,,,
,,2016 - 2017,,,,"14,136.00","10,133.00",0.72,220,114,0.52,,,,,,,,,
,,2017 - 2018,,,,"1,223.00",695,0.57,130,68,0.52,,,,,,,,,
,,2018 - 2019,,,,"2,330.00",778,0.33,350,413,1.18,,,,,,,,,
,,2019 - 2020,,,,,,,265,277,1.05,,,,,,,,,
,,2020 - 2021,,,,10,4,0.4,730,838,1.15,,,,,,,,,
,,2021 - 2022,,,,"1,065.00",473,0.44,650,861,1.32,,,,,,,,,
,,2022 - 2023,,,,310,182,0.59,935,"1,094.00",1.17,,,,,,,,,
,7. Bhavnagar,2000 - 2001,,,,"5,600.00","1,600.00",0.29,,,,,,,,,,,,
,,2001 - 2002,,,,"4,900.00","2,900.00",0.59,,,,,,,,,,,,
,,2002 - 2003,,,,"5,400.00","1,600.00",0.3,,,,,,,,,,,,
,,2003 - 2004,,,,"2,000.00","1,100.00",0.55,,,,,,,,,,,,
,,2004 - 2005,,,,"2,000.00",800,0.4,,,,,,,,,,,,
,,2005 - 2006,,,,"1,500.00",900,0.6,,,,,,,,,,,,
,,2006 - 2007,,,,"2,200.00",800,0.36,,,,,,,,,,,,
,,2007 - 2008,,,,"2,100.00","1,200.00",0.57,,,,,,,,,,,,
,,2008 - 2009,,,,"3,100.00","1,300.00",0.42,,,,,,,,,,,,
,,2009 - 2010,,,,"2,700.00","1,000.00",0.37,,,,,,,,,,,,
,,2010 - 2011,,,,"3,000.00","1,400.00",0.47,"2,500.00","1,400.00",0.56,,,,,,,,,
,,2011 - 2012,,,,"3,200.00","1,500.00",0.47,"1,600.00",900,0.56,,,,,,,,,
,,2012 - 2013,,,,"1,500.00",400,0.27,100,100,1,,,,,,,,,
,,2013 - 2014,,,,"1,147.00",789,0.69,196,110,0.56,,,,,,,,,
,,2014 - 2015,,,,"2,950.00","1,458.00",0.49,"1,936.00","1,087.00",0.56,,,,,,,,,
,,2015 - 2016,,,,"2,056.00","1,039.00",0.51,"1,008.00",561,0.56,,,,,,,,,
,,2016 - 2017,,,,"3,007.00","1,558.00",0.52,619,448,0.72,,,,,,,,,
,,2017 - 2018,,,,"4,138.00","2,350.00",0.57,846,580,0.69,,,,,,,,,
,,2018 - 2019,,,,"3,814.00","1,274.00",0.33,"1,243.00","1,229.00",0.99,,,,,,,,,
,,2019 - 2020,,,,"2,089.00","1,412.00",0.68,"1,408.00",910,0.65,,,,,,,,,
,,2020 - 2021,,,,"1,354.00",479,0.35,"2,603.00","2,020.00",0.78,,,,,,,,,
,,2021 - 2022,,,,"2,117.00",939,0.44,"3,573.00","3,373.00",0.94,,,,,,,,,
,,2022 - 2023,,,,"3,052.00","1,788.00",0.59,"1,178.00",775,0.66,,,,,,,,,
,8. Botad,2014 - 2015,,,,878,434,0.49,92,52,0.57,,,,,,,,,
,,2015 - 2016,,,,647,327,0.51,390,231,0.59,,,,,,,,,
,,2016 - 2017,,,,"1,825.00",828,0.45,10,11,1.1,,,,,,,,,
,,2017 - 2018,,,,669,760,1.14,20,30,1.5,,,,,,,,,
,,2018 - 2019,,,,677,367,0.54,10,12,1.2,,,,,,,,,
,,2019 - 2020,,,,964,619,0.64,155,162,1.05,,,,,,,,,
,,2020 - 2021,,,,219,90,0.41,379,435,1.15,,,,,,,,,
,,2021 - 2022,,,,322,143,0.44,86,114,1.33,,,,,,,,,
,,2022 - 2023,,,,420,246,0.59,52,61,1.17,,,,,,,,,
,9. Chhotaudepur,2014 - 2015,,,,207,102,0.49,105,67,0.64,,,,,,,,,
,,2015 - 2016,,,,300,152,0.51,222,152,0.68,,,,,,,,,
,,2016 - 2017,,,,125,57,0.46,117,80,0.68,,,,,,,,,
,,2017 - 2018,,,,464,264,0.57,150,104,0.69,,,,,,,,,
,,2018 - 2019,,,,245,82,0.33,423,500,1.18,,,,,,,,,
,,2019 - 2020,,,,124,80,0.65,499,521,1.04,,,,,,,,,
,,2020 - 2021,,,,15,6,0.4,"1,643.00","1,886.00",1.15,,,,,,,,,
,,2021 - 2022,,,,5,2,0.4,900,"1,192.00",1.32,,,,,,,,,
,,2022 - 2023,,,,280,164,0.59,770,"1,102.00",1.43,,,,,,,,,
,10. Dang,2000 - 2001,,,,100,,0,,,,,,,,,,,,
,,2010 - 2011,,,,,,,800,400,0.5,,,,,,,,,
,,2011 - 2012,,,,,,,500,200,0.4,,,,,,,,,
,,2012 - 2013,,,,,,,400,200,0.5,,,,,,,,,
,,2014 - 2015,,,,,,,98,48,0.49,,,,,,,,,
,,2015 - 2016,,,,,,,48,25,0.52,,,,,,,,,
,,2016 - 2017,,,,,,,604,332,0.55,,,,,,,,,
,,2017 - 2018,,,,,,,750,375,0.5,,,,,,,,,
,,2018 - 2019,,,,,,,187,221,1.18,,,,,,,,,
,,2019 - 2020,,,,,,,703,735,1.05,,,,,,,,,
,,2020 - 2021,,,,10,4,0.4,694,797,1.15,,,,,,,,,
,,2021 - 2022,,,,,,,798,"1,057.00",1.32,,,,,,,,,
,,2022 - 2023,,,,,,,583,682,1.17,,,,,,,,,
,11. Devbhumi dwarka,2014 - 2015,,,,"1,932.00","1,323.00",0.68,322,170,0.53,,,,,,,,,
,,2015 - 2016,,,,385,178,0.46,140,63,0.45,,,,,,,,,
,,2016 - 2017,,,,"1,337.00",607,0.45,157,105,0.67,,,,,,,,,
,,2017 - 2018,,,,"1,999.00","1,525.00",0.76,192,152,0.79,,,,,,,,,
