State,District,Year,Mesta,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2010 - 2011,204,"1,376.00",6.75,,,,,,
,,2011 - 2012,228,"1,119.00",4.91,,,,,,
,,2012 - 2013,253,"1,773.00",7.01,,,,,,
,,2013 - 2014,246,"2,660.00",10.81,,,,,,
,,2014 - 2015,152,"1,105.00",7.27,,,,,,
,,2015 - 2016,209,"2,258.00",10.8,,,,,,
,,2016 - 2017,111,"1,068.00",9.62,,,,,,
,,2017 - 2018,119,"1,146.00",9.63,,,,,,
,,2018 - 2019,187,"1,766.00",9.44,,,,,,
,,2019 - 2020,140,"1,390.00",9.93,,,,,,
,,2020 - 2021,91,905,9.95,,,,,,
,,2021 - 2022,110,899,8.17,,,,,,
,,2022 - 2023,112,823,7.35,,,,,,
,8. Darrang,2000 - 2001,"1,121.00","4,870.00",4.34,,,,,,
,,2001 - 2002,899,"3,952.00",4.4,,,,,,
,,2002 - 2003,712,"3,098.00",4.35,,,,,,
,,2003 - 2004,796,"3,454.00",4.34,,,,,,
,,2004 - 2005,740,"3,210.00",4.34,,,,,,
,,2005 - 2006,205,958,4.67,,,,,,
,,2006 - 2007,154,720,4.68,,,,,,
,,2007 - 2008,171,799,4.67,,,,,,
,,2008 - 2009,283,"1,322.00",4.67,,,,,,
,,2009 - 2010,433,"2,023.00",4.67,,,,,,
,,2010 - 2011,434,"2,028.00",4.67,,,,,,
,,2011 - 2012,343,"1,105.00",3.22,,,,,,
,,2012 - 2013,335,"1,636.00",4.88,,,,,,
,,2013 - 2014,289,"3,613.00",12.5,,,,,,
,,2014 - 2015,250,"1,263.00",5.05,,,,,,
,,2015 - 2016,247,"1,247.00",5.05,,,,,,
,,2016 - 2017,154,"1,035.00",6.72,,,,,,
,,2017 - 2018,111,639,5.76,,,,,,
,,2018 - 2019,111,640,5.77,,,,,,
,,2019 - 2020,110,799,7.26,,,,,,
,,2020 - 2021,110,565,5.14,,,,,,
,,2021 - 2022,110,590,5.36,,,,,,
,,2022 - 2023,109,745,6.83,,,,,,
,9. Dhemaji,2000 - 2001,8,25,3.13,,,,,,
,,2001 - 2002,12,38,3.17,,,,,,
,,2002 - 2003,12,39,3.25,,,,,,
,,2003 - 2004,12,39,3.25,,,,,,
,,2004 - 2005,13,42,3.23,,,,,,
,,2005 - 2006,6,19,3.17,,,,,,
,,2006 - 2007,5,16,3.2,,,,,,
,,2007 - 2008,7,22,3.14,,,,,,
,,2008 - 2009,7,22,3.14,,,,,,
,,2009 - 2010,7,22,3.14,,,,,,
,,2010 - 2011,7,22,3.14,,,,,,
,,2011 - 2012,7,34,4.86,,,,,,
,,2012 - 2013,7,24,3.43,,,,,,
,,2013 - 2014,7,24,3.43,,,,,,
,,2014 - 2015,9,31,3.44,,,,,,
,,2015 - 2016,6,24,4,,,,,,
,,2016 - 2017,6,22,3.67,,,,,,
,,2017 - 2018,3,11,3.67,,,,,,
,,2018 - 2019,2,10,5,,,,,,
,,2019 - 2020,2,12,6,,,,,,
,,2020 - 2021,2,12,6,,,,,,
,,2021 - 2022,2,12,6,,,,,,
,,2022 - 2023,16,116,7.25,,,,,,
,10. Dhubri,2000 - 2001,"1,043.00","4,812.00",4.61,,,,,,
,,2001 - 2002,975,"4,482.00",4.6,,,,,,
,,2002 - 2003,"1,215.00","5,679.00",4.67,,,,,,
,,2003 - 2004,"1,165.00","5,429.00",4.66,,,,,,
,,2004 - 2005,"1,050.00","4,873.00",4.64,,,,,,
,,2005 - 2006,865,"3,991.00",4.61,,,,,,
,,2006 - 2007,792,"3,661.00",4.62,,,,,,
,,2007 - 2008,855,"3,962.00",4.63,,,,,,
,,2008 - 2009,874,"4,041.00",4.62,,,,,,
,,2009 - 2010,817,"3,749.00",4.59,,,,,,
,,2010 - 2011,703,"3,217.00",4.58,,,,,,
,,2011 - 2012,670,"3,595.00",5.37,,,,,,
,,2012 - 2013,685,"1,415.00",2.07,,,,,,
,,2013 - 2014,600,"2,899.00",4.83,,,,,,
,,2014 - 2015,600,"2,975.00",4.96,,,,,,
,,2015 - 2016,593,"2,769.00",4.67,,,,,,
,,2016 - 2017,595,"2,868.00",4.82,,,,,,
,,2017 - 2018,595,"2,928.00",4.92,,,,,,
,,2018 - 2019,632,"3,153.00",4.99,,,,,,
,,2019 - 2020,642,"3,213.00",5,,,,,,
,,2020 - 2021,460,"2,287.00",4.97,,,,,,
,,2021 - 2022,474,"2,357.00",4.97,,,,,,
,,2022 - 2023,403,"3,163.00",7.85,,,,,,
