State,District,Year,Mesta,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,32. Siwan,2000 - 2001,48,370,7.71,,,,,,
,,2001 - 2002,25,162,6.48,,,,,,
,,2002 - 2003,23,138,6,,,,,,
,,2003 - 2004,22,153,6.95,,,,,,
,,2004 - 2005,10,80,8,,,,,,
,,2005 - 2006,453,"4,460.00",9.85,,,,,,
,,2006 - 2007,16,134,8.38,,,,,,
,,2007 - 2008,18,167,9.28,,,,,,
,,2008 - 2009,15,130,8.67,,,,,,
,,2009 - 2010,15,108,7.2,,,,,,
,,2010 - 2011,18,152,8.44,,,,,,
,,2012 - 2013,18,42,2.33,,,,,,
,,2013 - 2014,17,259,15.24,,,,,,
,,2014 - 2015,16,214,13.38,,,,,,
,,2016 - 2017,15,36,2.4,,,,,,
,,2017 - 2018,14,21,1.5,,,,,,
,,2018 - 2019,14,27,1.93,,,,,,
,,2019 - 2020,14,29,2.07,,,,,,
,,2020 - 2021,14,183.33,13.1,,,,,,
,,2021 - 2022,14,155.56,11.11,,,,,,
,,2022 - 2023,14,166.67,11.91,,,,,,
,33. Supaul,2000 - 2001,"6,255.00","50,978.00",8.15,,,,,,
,,2001 - 2002,"2,401.00","15,607.00",6.5,,,,,,
,,2002 - 2003,"3,374.00","22,662.00",6.72,,,,,,
,,2003 - 2004,"3,276.00","22,331.00",6.82,,,,,,
,,2004 - 2005,"1,989.00","15,868.00",7.98,,,,,,
,,2005 - 2006,"1,646.00","13,598.00",8.26,,,,,,
,,2006 - 2007,"3,142.00","40,706.00",12.96,,,,,,
,,2007 - 2008,"8,811.00","95,453.00",10.83,,,,,,
,,2008 - 2009,"4,663.00","48,133.00",10.32,,,,,,
,,2009 - 2010,"2,846.00","27,211.00",9.56,,,,,,
,,2010 - 2011,"2,707.00","41,237.00",15.23,,,,,,
,,2011 - 2012,"7,491.00","1,09,993.00",14.68,,,,,,
,,2012 - 2013,"7,491.00","22,443.00",3,,,,,,
,,2013 - 2014,"4,103.00","60,884.00",14.84,,,,,,
,,2014 - 2015,"3,434.00","47,675.00",13.88,,,,,,
,,2015 - 2016,"4,041.00","91,955.00",22.76,,,,,,
,,2016 - 2017,"3,860.00","8,589.00",2.23,,,,,,
,,2017 - 2018,"9,379.00","8,591.00",0.92,,,,,,
,,2018 - 2019,"8,702.00","12,096.00",1.39,,,,,,
,,2019 - 2020,"8,302.00","13,159.00",1.59,,,,,,
,,2020 - 2021,"7,390.00","88,311.11",11.95,,,,,,
,,2021 - 2022,"7,515.00","81,955.56",10.91,,,,,,
,,2022 - 2023,"6,914.00","85,772.22",12.41,,,,,,
,34. Vaishali,2000 - 2001,590,"3,124.00",5.29,,,,,,
,,2001 - 2002,589,"1,924.00",3.27,,,,,,
,,2002 - 2003,595,"2,787.00",4.68,,,,,,
,,2003 - 2004,291,"1,300.00",4.47,,,,,,
,,2004 - 2005,428,"3,414.00",7.98,,,,,,
,,2006 - 2007,437,"2,729.00",6.24,,,,,,
,,2007 - 2008,536,"3,442.00",6.42,,,,,,
,,2008 - 2009,507,"3,357.00",6.62,,,,,,
,,2009 - 2010,518,"3,663.00",7.07,,,,,,
,,2010 - 2011,426,"7,322.00",17.19,,,,,,
,,2011 - 2012,547,"6,765.00",12.37,,,,,,
,,2012 - 2013,349,"1,178.00",3.38,,,,,,
,,2013 - 2014,222,"1,465.00",6.6,,,,,,
,,2014 - 2015,263,"3,396.00",12.91,,,,,,
,,2016 - 2017,244,578,2.37,,,,,,
,,2017 - 2018,670,991,1.48,,,,,,
,,2018 - 2019,662,"1,281.00",1.94,,,,,,
,,2019 - 2020,603,"1,428.00",2.37,,,,,,
,,2020 - 2021,442,"5,522.22",12.49,,,,,,
,,2021 - 2022,283,"2,666.67",9.42,,,,,,
4. Chhattisgarh,1. Balod,2011 - 2012,8,15,1.88,,,,,,
,,2012 - 2013,14,28,2,,,,,,
,,2013 - 2014,16,35,2.19,,,,,,
,,2014 - 2015,13,22,1.69,,,,,,
,,2016 - 2017,27,54,2,,,,,,
,,2017 - 2018,1,2,2,,,,,,
,,2018 - 2019,6,10,1.67,,,,,,
,2. Baloda bazar,2011 - 2012,17,,0,,,,,,
,,2012 - 2013,29,72,2.48,,,,,,
,,2013 - 2014,28,70,2.5,,,,,,
,,2014 - 2015,17,40,2.35,,,,,,
,,2015 - 2016,12,31,2.58,,,,,,
,3. Balrampur,2011 - 2012,120,227,1.89,,,,,,
,,2012 - 2013,152,253,1.66,,,,,,
,,2013 - 2014,66,110,1.67,,,,,,
,,2014 - 2015,59,101,1.71,,,,,,
,,2015 - 2016,154,266,1.73,,,,,,
,,2016 - 2017,88,158,1.8,,,,,,
,,2017 - 2018,145,265,1.83,,,,,,
,,2018 - 2019,88,149,1.69,,,,,,
,,2019 - 2020,43,77,1.79,,,,,,
,,2020 - 2021,58,111,1.91,,,,,,
,,2021 - 2022,37,328,8.86,,,,,,
,,2022 - 2023,4,8,2,,,,,,
,4. Bastar,2000 - 2001,116,234,2.02,,,,,,
,,2001 - 2002,109,264,2.42,,,,,,
,,2002 - 2003,118,256,2.17,,,,,,
,,2003 - 2004,110,247,2.25,,,,,,
,,2004 - 2005,171,384,2.25,,,,,,
,,2005 - 2006,119,267,2.24,,,,,,
,,2006 - 2007,99,225,2.27,,,,,,
,,2007 - 2008,80,197,2.46,,,,,,
,,2008 - 2009,80,130,1.63,,,,,,
,,2009 - 2010,63,141,2.24,,,,,,
,,2010 - 2011,83,211,2.54,,,,,,
,,2011 - 2012,58,139,2.4,,,,,,
,,2012 - 2013,57,142,2.49,,,,,,
,,2013 - 2014,59,111,1.88,,,,,,
,,2014 - 2015,75,185,2.47,,,,,,
,,2015 - 2016,30,71,2.37,,,,,,
,,2016 - 2017,35,84,2.4,,,,,,
,,2017 - 2018,31,69,2.23,,,,,,
,,2018 - 2019,21,45,2.14,,,,,,
,,2019 - 2020,8,16,2,,,,,,
,,2020 - 2021,8,15,1.88,,,,,,
,,2021 - 2022,5,9,1.8,,,,,,
,,2022 - 2023,4,8,2,,,,,,
,5. Bijapur,2006 - 2007,6,,0,,,,,,
,,2007 - 2008,5,13,2.6,,,,,,
,,2008 - 2009,5,9,1.8,,,,,,
,,2009 - 2010,42,64,1.52,,,,,,
,,2010 - 2011,20,43,2.15,,,,,,
,,2011 - 2012,9,21,2.33,,,,,,
,,2012 - 2013,8,17,2.13,,,,,,
,,2013 - 2014,3,7,2.33,,,,,,
,,2014 - 2015,3,1,0.33,,,,,,
,,2015 - 2016,25,58,2.32,,,,,,
,,2016 - 2017,4,9,2.25,,,,,,
,,2017 - 2018,3,4,1.33,,,,,,
,,2018 - 2019,1,2,2,,,,,,
,,2019 - 2020,1,2,2,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,6. Bilaspur,2000 - 2001,51,94,1.84,,,,,,
,,2001 - 2002,22,45,2.05,,,,,,
,,2002 - 2003,1,2,2,,,,,,
,,2003 - 2004,23,49,2.13,,,,,,
,,2004 - 2005,170,302,1.78,,,,,,
,,2005 - 2006,22,47,2.14,,,,,,
,,2007 - 2008,8,16,2,,,,,,
,,2008 - 2009,8,16,2,,,,,,
,,2009 - 2010,8,20,2.5,,,,,,
,,2010 - 2011,7,17,2.43,,,,,,
,,2019 - 2020,1,4,4,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,7. Dantewada,2000 - 2001,70,146,2.09,,,,,,
,,2001 - 2002,64,137,2.14,,,,,,
,,2002 - 2003,70,115,1.64,,,,,,
,,2003 - 2004,64,127,1.98,,,,,,
,,2004 - 2005,53,78,1.47,,,,,,
,,2005 - 2006,52,98,1.88,,,,,,
,,2006 - 2007,34,77,2.26,,,,,,
,,2007 - 2008,37,88,2.38,,,,,,
,,2008 - 2009,37,69,1.86,,,,,,
,,2009 - 2010,37,56,1.51,,,,,,
,,2010 - 2011,32,81,2.53,,,,,,
,,2011 - 2012,20,48,2.4,,,,,,
,,2012 - 2013,30,64,2.13,,,,,,
,,2013 - 2014,32,70,2.19,,,,,,
,,2014 - 2015,27,62,2.3,,,,,,
,,2015 - 2016,32,54,1.69,,,,,,
,,2016 - 2017,32,78,2.44,,,,,,
,,2017 - 2018,18,23,1.28,,,,,,
,,2018 - 2019,19,45,2.37,,,,,,
,,2019 - 2020,8,16,2,,,,,,
,,2020 - 2021,4,8,2,,,,,,
,,2021 - 2022,7,19,2.71,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,
,8. Dhamtari,2000 - 2001,71,221,3.11,,,,,,
,,2001 - 2002,58,157,2.71,,,,,,
,,2002 - 2003,57,118,2.07,,,,,,
,,2003 - 2004,56,140,2.5,,,,,,
,,2004 - 2005,43,107,2.49,,,,,,
,,2005 - 2006,46,115,2.5,,,,,,
,,2006 - 2007,41,102,2.49,,,,,,
,,2007 - 2008,44,110,2.5,,,,,,
,,2008 - 2009,45,112,2.49,,,,,,
,,2009 - 2010,48,120,2.5,,,,,,
,,2010 - 2011,39,98,2.51,,,,,,
,,2011 - 2012,140,348,2.49,,,,,,
,,2012 - 2013,133,331,2.49,,,,,,
,,2013 - 2014,32,80,2.5,,,,,,
,,2014 - 2015,40,99,2.48,,,,,,
,,2015 - 2016,45,112,2.49,,,,,,
,,2016 - 2017,24,60,2.5,,,,,,
,,2017 - 2018,23,57,2.48,,,,,,
,,2018 - 2019,9,22,2.44,,,,,,
,,2019 - 2020,5,13,2.6,,,,,,
,,2020 - 2021,5,14,2.8,,,,,,
,9. Durg,2000 - 2001,8,16,2,,,,,,
,,2001 - 2002,7,14,2,,,,,,
,,2002 - 2003,29,55,1.9,,,,,,
,,2003 - 2004,17,36,2.12,,,,,,
,,2004 - 2005,19,34,1.79,,,,,,
,,2005 - 2006,68,148,2.18,,,,,,
,,2006 - 2007,82,156,1.9,,,,,,
,,2007 - 2008,57,115,2.02,,,,,,
,,2008 - 2009,45,90,2,,,,,,
,,2009 - 2010,18,36,2,,,,,,
,,2010 - 2011,33,77,2.33,,,,,,
,10. Gariyaband,2011 - 2012,1,,0,,,,,,
,,2012 - 2013,1,3,3,,,,,,
,,2013 - 2014,10,25,2.5,,,,,,
,,2014 - 2015,16,38,2.38,,,,,,
,,2015 - 2016,4,8,2,,,,,,
,,2016 - 2017,2,6,3,,,,,,
,11. Janjgir-champa,2000 - 2001,17,31,1.82,,,,,,
,,2001 - 2002,7,12,1.71,,,,,,
,,2002 - 2003,10,17,1.7,,,,,,
,,2003 - 2004,12,30,2.5,,,,,,
,,2004 - 2005,23,40,1.74,,,,,,
,,2005 - 2006,24,50,2.08,,,,,,
,,2006 - 2007,28,60,2.14,,,,,,
,,2007 - 2008,21,45,2.14,,,,,,
,,2009 - 2010,9,24,2.67,,,,,,
,12. Jashpur,2000 - 2001,22,35,1.59,,,,,,
,,2001 - 2002,31,59,1.9,,,,,,
,,2004 - 2005,40,73,1.83,,,,,,
,,2005 - 2006,38,69,1.82,,,,,,
,,2006 - 2007,33,58,1.76,,,,,,
,,2007 - 2008,34,56,1.65,,,,,,
,,2008 - 2009,22,39,1.77,,,,,,
,,2009 - 2010,10,16,1.6,,,,,,
,,2010 - 2011,15,25,1.67,,,,,,
,,2011 - 2012,11,22,2,,,,,,
,,2012 - 2013,10,18,1.8,,,,,,
,,2013 - 2014,10,19,1.9,,,,,,
,,2014 - 2015,9,17,1.89,,,,,,
,,2015 - 2016,11,21,1.91,,,,,,
,,2016 - 2017,22,41,1.86,,,,,,
,,2017 - 2018,17,33,1.94,,,,,,
,,2018 - 2019,14,25,1.79,,,,,,
,,2019 - 2020,8,14,1.75,,,,,,
,,2020 - 2021,11,22,2,,,,,,
,,2021 - 2022,11,5,0.45,,,,,,
,,2022 - 2023,10,21,2.1,,,,,,
,13. Kabirdham,2000 - 2001,7,7,1,,,,,,
,,2001 - 2002,2,4,2,,,,,,
,,2012 - 2013,1,2,2,,,,,,
,14. Kanker,2000 - 2001,294,679,2.31,,,,,,
,,2001 - 2002,77,209,2.71,,,,,,
,,2002 - 2003,44,64,1.45,,,,,,
,,2003 - 2004,84,228,2.71,,,,,,
,,2004 - 2005,68,138,2.03,,,,,,
,,2007 - 2008,13,33,2.54,,,,,,
,,2008 - 2009,14,33,2.36,,,,,,
,,2009 - 2010,13,28,2.15,,,,,,
,,2010 - 2011,1,3,3,,,,,,
,,2011 - 2012,17,40,2.35,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,15. Kondagaon,2011 - 2012,11,26,2.36,,,,,,
,,2012 - 2013,10,20,2,,,,,,
,,2014 - 2015,6,3,0.5,,,,,,
,,2015 - 2016,4,9,2.25,,,,,,
,,2016 - 2017,4,9,2.25,,,,,,
,,2017 - 2018,3,6,2,,,,,,
,,2018 - 2019,1,2,2,,,,,,
,,2019 - 2020,2,5,2.5,,,,,,
,,2020 - 2021,3,7,2.33,,,,,,
,,2021 - 2022,2,5,2.5,,,,,,
,,2022 - 2023,2,5,2.5,,,,,,
,16. Korba,2000 - 2001,23,49,2.13,,,,,,
,,2001 - 2002,23,50,2.17,,,,,,
,,2002 - 2003,17,30,1.76,,,,,,
,,2003 - 2004,26,46,1.77,,,,,,
,,2004 - 2005,39,61,1.56,,,,,,
,,2005 - 2006,36,71,1.97,,,,,,
,,2006 - 2007,36,63,1.75,,,,,,
,,2007 - 2008,36,66,1.83,,,,,,
,,2008 - 2009,37,79,2.14,,,,,,
,,2009 - 2010,34,65,1.91,,,,,,
,,2010 - 2011,43,99,2.3,,,,,,
,,2011 - 2012,34,86,2.53,,,,,,
,,2012 - 2013,43,91,2.12,,,,,,
,,2013 - 2014,43,91,2.12,,,,,,
,,2014 - 2015,38,96,2.53,,,,,,
,,2015 - 2016,44,93,2.11,,,,,,
,,2016 - 2017,50,126,2.52,,,,,,
,,2017 - 2018,50,127,2.54,,,,,,
,,2018 - 2019,11,26,2.36,,,,,,
,,2019 - 2020,3,7,2.33,,,,,,
,,2020 - 2021,1,2,2,,,,,,
,17. Korea,2000 - 2001,131,242,1.85,,,,,,
,,2001 - 2002,95,183,1.93,,,,,,
,,2002 - 2003,95,167,1.76,,,,,,
,,2003 - 2004,143,252,1.76,,,,,,
,,2004 - 2005,141,222,1.57,,,,,,
,,2005 - 2006,146,248,1.7,,,,,,
,,2006 - 2007,132,212,1.61,,,,,,
,,2007 - 2008,158,239,1.51,,,,,,
,,2008 - 2009,174,328,1.89,,,,,,
,,2009 - 2010,231,356,1.54,,,,,,
,,2010 - 2011,192,320,1.67,,,,,,
,,2011 - 2012,167,331,1.98,,,,,,
,,2012 - 2013,175,303,1.73,,,,,,
,,2013 - 2014,198,361,1.82,,,,,,
,,2014 - 2015,229,375,1.64,,,,,,
,,2015 - 2016,199,282,1.42,,,,,,
,,2016 - 2017,214,249,1.16,,,,,,
,,2017 - 2018,223,421,1.89,,,,,,
,,2018 - 2019,219,406,1.85,,,,,,
,,2019 - 2020,115,192,1.67,,,,,,
,,2020 - 2021,64,87,1.36,,,,,,
,,2021 - 2022,44,33,0.75,,,,,,
,,2022 - 2023,24,38,1.58,,,,,,
,18. Mahasamund,2000 - 2001,17,35,2.06,,,,,,
,,2001 - 2002,83,210,2.53,,,,,,
,,2002 - 2003,35,73,2.09,,,,,,
,,2003 - 2004,73,153,2.1,,,,,,
,,2004 - 2005,2,4,2,,,,,,
,,2005 - 2006,31,64,2.06,,,,,,
,,2007 - 2008,112,276,2.46,,,,,,
,,2008 - 2009,108,270,2.5,,,,,,
,,2009 - 2010,58,145,2.5,,,,,,
,,2010 - 2011,33,82,2.48,,,,,,
,,2011 - 2012,4,9,2.25,,,,,,
,,2012 - 2013,7,18,2.57,,,,,,
,,2013 - 2014,35,88,2.51,,,,,,
,,2014 - 2015,7,18,2.57,,,,,,
,,2015 - 2016,33,83,2.52,,,,,,
,,2016 - 2017,1,3,3,,,,,,
,,2017 - 2018,1,2,2,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,19. Manendragarh chirimiri bharatpur,2022 - 2023,7,11,1.57,,,,,,
,20. Narayanpur,2005 - 2006,18,52,2.89,,,,,,
,21. Raigarh,2000 - 2001,167,278,1.66,,,,,,
,,2001 - 2002,270,502,1.86,,,,,,
,,2002 - 2003,114,190,1.67,,,,,,
,,2003 - 2004,120,218,1.82,,,,,,
,,2004 - 2005,87,148,1.7,,,,,,
,,2005 - 2006,95,173,1.82,,,,,,
,,2006 - 2007,176,305,1.73,,,,,,
,,2007 - 2008,164,314,1.91,,,,,,
,,2008 - 2009,147,277,1.88,,,,,,
,,2009 - 2010,46,87,1.89,,,,,,
,,2010 - 2011,71,134,1.89,,,,,,
,,2011 - 2012,43,85,1.98,,,,,,
,,2012 - 2013,43,84,1.95,,,,,,
,,2013 - 2014,39,74,1.9,,,,,,
,,2014 - 2015,43,88,2.05,,,,,,
,,2015 - 2016,34,69,2.03,,,,,,
,,2016 - 2017,20,41,2.05,,,,,,
,,2017 - 2018,38,75,1.97,,,,,,
,,2018 - 2019,20,39,1.95,,,,,,
,,2019 - 2020,12,24,2,,,,,,
,,2020 - 2021,5,10,2,,,,,,
,22. Raipur,2001 - 2002,12,30,2.5,,,,,,
,,2002 - 2003,16,35,2.19,,,,,,
,,2003 - 2004,16,34,2.13,,,,,,
,,2004 - 2005,1,2,2,,,,,,
,,2005 - 2006,3,6,2,,,,,,
,,2006 - 2007,2,4,2,,,,,,
,,2007 - 2008,6,13,2.17,,,,,,
,,2008 - 2009,8,17,2.13,,,,,,
,,2009 - 2010,2,4,2,,,,,,
,,2010 - 2011,18,45,2.5,,,,,,
,,2013 - 2014,2,5,2.5,,,,,,
,,2014 - 2015,1,3,3,,,,,,
,,2017 - 2018,4,,0,,,,,,
,,2018 - 2019,3,,0,,,,,,
,,2019 - 2020,1,3,3,,,,,,
,23. Rajnandgaon,2000 - 2001,42,75,1.79,,,,,,
,,2001 - 2002,58,108,1.86,,,,,,
,,2002 - 2003,47,93,1.98,,,,,,
,,2003 - 2004,53,101,1.91,,,,,,
,,2004 - 2005,50,94,1.88,,,,,,
,,2005 - 2006,52,101,1.94,,,,,,
,,2006 - 2007,52,102,1.96,,,,,,
,,2007 - 2008,52,96,1.85,,,,,,
,,2008 - 2009,66,130,1.97,,,,,,
,,2009 - 2010,51,100,1.96,,,,,,
,,2010 - 2011,57,122,2.14,,,,,,
,,2011 - 2012,49,88,1.8,,,,,,
,,2012 - 2013,43,70,1.63,,,,,,
,,2013 - 2014,45,81,1.8,,,,,,
,,2014 - 2015,41,81,1.98,,,,,,
,,2015 - 2016,36,74,2.06,,,,,,
,,2016 - 2017,33,76,2.3,,,,,,
,,2017 - 2018,3,7,2.33,,,,,,
,,2018 - 2019,587,"1,117.00",1.9,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,
,24. Sukma,2011 - 2012,12,28,2.33,,,,,,
,,2012 - 2013,14,29,2.07,,,,,,
,,2013 - 2014,23,49,2.13,,,,,,
,,2014 - 2015,22,52,2.36,,,,,,
,,2015 - 2016,11,26,2.36,,,,,,
,,2016 - 2017,21,40,1.9,,,,,,
,,2017 - 2018,13,28,2.15,,,,,,
,,2018 - 2019,8,18,2.25,,,,,,
,,2020 - 2021,3,7,2.33,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,1,2,2,,,,,,
,25. Surajpur,2011 - 2012,311,587,1.89,,,,,,
,,2012 - 2013,272,428,1.57,,,,,,
,,2013 - 2014,292,459,1.57,,,,,,
,,2014 - 2015,301,474,1.57,,,,,,
,,2015 - 2016,296,512,1.73,,,,,,
,,2016 - 2017,292,340,1.16,,,,,,
,,2017 - 2018,292,532,1.82,,,,,,
,,2018 - 2019,277,566,2.04,,,,,,
,,2019 - 2020,184,405,2.2,,,,,,
,,2020 - 2021,137,308,2.25,,,,,,
,,2021 - 2022,104,55,0.53,,,,,,
,,2022 - 2023,95,165,1.74,,,,,,
,26. Surguja,2000 - 2001,357,661,1.85,,,,,,
,,2001 - 2002,407,794,1.95,,,,,,
,,2002 - 2003,399,703,1.76,,,,,,
,,2003 - 2004,422,771,1.83,,,,,,
,,2004 - 2005,453,769,1.7,,,,,,
,,2005 - 2006,464,876,1.89,,,,,,
,,2006 - 2007,535,"1,060.00",1.98,,,,,,
,,2007 - 2008,545,"1,046.00",1.92,,,,,,
,,2008 - 2009,594,"1,121.00",1.89,,,,,,
,,2009 - 2010,590,910,1.54,,,,,,
,,2010 - 2011,574,957,1.67,,,,,,
,,2011 - 2012,183,345,1.89,,,,,,
,,2012 - 2013,180,300,1.67,,,,,,
,,2013 - 2014,165,270,1.64,,,,,,
,,2014 - 2015,186,304,1.63,,,,,,
,,2015 - 2016,193,346,1.79,,,,,,
,,2016 - 2017,188,343,1.82,,,,,,
,,2017 - 2018,197,372,1.89,,,,,,
,,2018 - 2019,189,393,2.08,,,,,,
,,2019 - 2020,165,338,2.05,,,,,,
,,2020 - 2021,92,196,2.13,,,,,,
,,2021 - 2022,89,87,0.98,,,,,,
,,2022 - 2023,78,151,1.94,,,,,,
5. Karnataka,1. Bagalkot,2000 - 2001,9,17,1.89,,,,,,
,,2001 - 2002,5,10,2,,,,,,
,,2002 - 2003,7,13,1.86,,,,,,
,,2003 - 2004,150,286,1.91,,,,,,
,,2004 - 2005,120,229,1.91,,,,,,
,,2005 - 2006,,,,,,,82,156,1.9
,,2006 - 2007,,,,,,,35,67,1.91
,,2007 - 2008,,,,,,,9,17,1.89
,,2008 - 2009,,,,,,,3,6,2
,,2009 - 2010,,,,,,,4,6,1.5
,,2010 - 2011,,,,,,,4,5,1.25
,,2011 - 2012,,,,,,,4,5,1.25
,2. Bangalore rural,2018 - 2019,,,,,,,1,1,1
,,2019 - 2020,,,,,,,1,,0
,3. Belgaum,2000 - 2001,21,45,2.14,,,,,,
,,2001 - 2002,22,47,2.14,,,,,,
,,2002 - 2003,6,13,2.17,,,,,,
,,2003 - 2004,7,15,2.14,,,,,,
,,2004 - 2005,9,19,2.11,,,,,,
,,2005 - 2006,,,,,,,9,19,2.11
,,2006 - 2007,,,,,,,12,25,2.08
,,2007 - 2008,,,,,,,2,4,2
,,2008 - 2009,,,,,,,2,4,2
,,2009 - 2010,,,,,,,36,52,1.44
,,2010 - 2011,,,,,,,4,5,1.25
,,2011 - 2012,,,,,,,1,1,1
,,2012 - 2013,,,,,,,163,199,1.22
,,2013 - 2014,,,,,,,21,28,1.33
,,2014 - 2015,,,,,,,171,192,1.12
,,2018 - 2019,,,,,,,20,29,1.45
,,2019 - 2020,,,,,,,5,,0
,,2020 - 2021,,,,,,,7,0,0
,4. Bellary,2008 - 2009,,,,,,,3,4,1.33
,,2010 - 2011,,,,,,,58,73,1.26
,,2011 - 2012,,,,,,,102,127,1.25
,,2012 - 2013,,,,,,,55,67,1.22
,,2013 - 2014,,,,,,,42,56,1.33
,,2018 - 2019,,,,,,,1,1,1
,,2019 - 2020,,,,,,,1,,0
,,2020 - 2021,,,,,,,2,0,0
,,2022 - 2023,,,,,,,1,0,0
,5. Bidar,2000 - 2001,"1,151.00",838,0.73,,,,,,
,,2001 - 2002,"1,427.00","1,039.00",0.73,,,,,,
,,2002 - 2003,"1,386.00",999,0.72,,,,,,
,,2003 - 2004,"1,255.00",904,0.72,,,,,,
,,2004 - 2005,"1,058.00",762,0.72,,,,,,
,,2005 - 2006,,,,,,,"1,048.00",755,0.72
,,2006 - 2007,,,,,,,869,626,0.72
,,2007 - 2008,,,,,,,897,646,0.72
,,2008 - 2009,,,,,,,596,610,1.02
,,2009 - 2010,,,,,,,973,"1,504.00",1.55
,,2010 - 2011,,,,,,,"1,464.00","1,916.00",1.31
,,2011 - 2012,,,,,,,396,449,1.13
,,2012 - 2013,,,,,,,323,366,1.13
,,2013 - 2014,,,,,,,146,226,1.55
,,2014 - 2015,,,,,,,42,47,1.12
,,2015 - 2016,,,,,,,45,60,1.33
,,2016 - 2017,,,,,,,2,2,1
,,2018 - 2019,,,,,,,6,9,1.5
,,2019 - 2020,,,,,,,10,,0
,,2020 - 2021,,,,,,,19,0,0
,,2022 - 2023,,,,,,,105,0,0
,6. Bijapur,2016 - 2017,,,,,,,32,37,1.16
,,2018 - 2019,,,,,,,5,7,1.4
,,2019 - 2020,,,,,,,3,,0
,7. Chikmagalur,2020 - 2021,,,,,,,1,0,0
,8. Chitradurga,2020 - 2021,,,,,,,1,0,0
,9. Davangere,2001 - 2002,1,1,1,,,,,,
,,2018 - 2019,,,,,,,13,19,1.46
,10. Dharwad,2000 - 2001,21,57,2.71,,,,,,
,,2001 - 2002,2,5,2.5,,,,,,
,,2002 - 2003,6,16,2.67,,,,,,
,,2006 - 2007,,,,,,,59,79,1.34
,,2007 - 2008,,,,,,,51,68,1.33
,,2009 - 2010,,,,,,,1,1,1
,,2010 - 2011,,,,,,,1,1,1
,,2011 - 2012,,,,,,,5,6,1.2
,,2020 - 2021,,,,,,,1,0,0
,11. Gadag,2018 - 2019,,,,,,,2,3,1.5
,,2020 - 2021,,,,,,,1,0,0
,12. Gulbarga,2000 - 2001,"3,081.00","5,700.00",1.85,,,,,,
,,2001 - 2002,"2,207.00","4,083.00",1.85,,,,,,
,,2002 - 2003,"1,712.00","3,136.00",1.83,,,,,,
,,2003 - 2004,"2,647.00","4,848.00",1.83,,,,,,
,,2004 - 2005,"1,622.00","2,971.00",1.83,,,,,,
,,2005 - 2006,,,,,,,918,"1,681.00",1.83
,,2006 - 2007,,,,,,,"1,015.00","1,859.00",1.83
,,2007 - 2008,,,,,,,902,"1,652.00",1.83
,,2008 - 2009,,,,,,,542,993,1.83
,,2009 - 2010,,,,,,,286,322,1.13
,,2010 - 2011,,,,,,,370,397,1.07
,,2011 - 2012,,,,,,,312,434,1.39
,,2012 - 2013,,,,,,,168,234,1.39
,,2013 - 2014,,,,,,,140,156,1.11
,,2015 - 2016,,,,,,,721,964,1.34
,,2016 - 2017,,,,,,,71,68,0.96
,,2017 - 2018,,,,,,,9,,0
,,2018 - 2019,,,,,,,21,30,1.43
,,2019 - 2020,,,,,,,12,,0
,,2020 - 2021,,,,,,,14,0,0
,,2022 - 2023,,,,,,,20,0,0
,13. Hassan,2019 - 2020,,,,,,,2,,0
,,2022 - 2023,,,,,,,1,0,0
,14. Haveri,2001 - 2002,1,3,3,,,,,,
,,2002 - 2003,1,3,3,,,,,,
,,2006 - 2007,,,,,,,8,11,1.38
,15. Koppal,2005 - 2006,,,,,,,40,51,1.28
,,2018 - 2019,,,,,,,9,13,1.44
,,2019 - 2020,,,,,,,3,,0
,,2020 - 2021,,,,,,,10,0,0
,,2022 - 2023,,,,,,,7,0,0
,16. Mandya,2018 - 2019,,,,,,,2,3,1.5
,,2019 - 2020,,,,,,,15,,0
,,2020 - 2021,,,,,,,8,0,0
,17. Mysore,2014 - 2015,,,,,,,48,54,1.13
,18. Raichur,2018 - 2019,,,,,,,1,1,1
,,2019 - 2020,,,,,,,3,,0
,,2020 - 2021,,,,,,,2,0,0
,19. Shimoga,2000 - 2001,2,2,1,,,,,,
,20. Uttar kannad,2000 - 2001,3,7,2.33,,,,,,
,,2001 - 2002,3,7,2.33,,,,,,
,,2002 - 2003,1,2,2,,,,,,
,,2003 - 2004,1,2,2,,,,,,
,,2004 - 2005,1,2,2,,,,,,
,21. Yadgir,2010 - 2011,,,,,,,6,8,1.33
,,2011 - 2012,,,,,,,5,6,1.2
,,2012 - 2013,,,,,,,4,5,1.25
,,2022 - 2023,,,,,,,2,0,0
6. Madhya Pradesh,1. Alirajpur,2009 - 2010,,,,,,,38,13,0.34
,,2010 - 2011,,,,,,,19,37,1.95
,,2011 - 2012,27,33,1.22,,,,,,
