State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,,,,,,,285,719,2.52,,,
,,2015 - 2016,,,,,,,302,859,2.84,,,
,,2016 - 2017,,,,,,,230,653,2.84,,,
,,2017 - 2018,,,,,,,350,273,0.78,,,
,,2018 - 2019,,,,,,,242,446,1.84,,,
,,2019 - 2020,,,,,,,229,523,2.28,,,
,,2020 - 2021,,,,,,,406,773,1.9,,,
,,2021 - 2022,,,,,,,"1,094.00","3,028.00",2.77,,,
,17. Vizianagaram,2002 - 2003,8,13,1.63,,,,,,,,,
,,2003 - 2004,8,23,2.88,,,,,,,,,
,,2004 - 2005,16,44,2.75,,,,,,,,,
,,2005 - 2006,14,39,2.79,,,,,,,,,
,,2006 - 2007,34,96,2.82,,,,,,,,,
,,2008 - 2009,33,79,2.39,,,,,,,,,
,,2009 - 2010,16,31,1.94,,,,,,,,,
,,2010 - 2011,28,261,9.32,,,,,,,,,
,,2011 - 2012,5,46,9.2,,,,,,,,,
,,2014 - 2015,,,,,,,16,46,2.88,,,
,,2015 - 2016,,,,,,,4,11,2.75,,,
,,2016 - 2017,,,,,,,12,32,2.67,,,
,,2017 - 2018,,,,,,,1,1,1,,,
,,2018 - 2019,,,,,,,1,9,9,,,
,,2019 - 2020,,,,,,,3,6,2,,,
,,2020 - 2021,,,,,,,3,6,2,,,
,,2021 - 2022,,,,,,,3,8,2.67,,,
,18. West godavari,2005 - 2006,1,3,3,,,,,,,,,
,,2006 - 2007,8,22,2.75,,,,,,,,,
,,2010 - 2011,2,19,9.5,,,,,,,,,
,,2011 - 2012,12,111,9.25,,,,,,,,,
,,2017 - 2018,,,,,,,2,2,1,,,
,,2018 - 2019,,,,,,,5,9,1.8,,,
,,2019 - 2020,,,,,,,31,67,2.16,,,
,,2021 - 2022,,,,,,,1,3,3,,,
3. Arunachal Pradesh,1. Anjaw,2004 - 2005,60,420,7,,,,,,,,,
,,2005 - 2006,65,455,7,,,,,,,,,
,,2006 - 2007,158,"1,199.00",7.59,,,,,,,,,
,,2007 - 2008,160,"1,179.00",7.37,,,,,,,,,
,,2008 - 2009,168,"1,267.00",7.54,,,,,,,,,
