State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,327.42,855,2.61,,,,,,,,,
,,2019 - 2020,305,797,2.61,,,,,,,,,
,,2020 - 2021,253.63,739.33,2.91,,,,,,,,,
,,2021 - 2022,258,711,2.76,,,,,,,,,
,,2022 - 2023,180.44,487.28,2.7,,,,,,,,,
,7. Kottayam,2000 - 2001,245,574,2.34,,,,,,,,,
,,2001 - 2002,256,746,2.91,,,,,,,,,
,,2002 - 2003,211,619,2.93,,,,,,,,,
,,2003 - 2004,172,524,3.05,,,,,,,,,
,,2004 - 2005,198,595,3.01,,,,,,,,,
,,2005 - 2006,225,772,3.43,,,,,,,,,
,,2006 - 2007,230,645,2.8,,,,,,,,,
,,2007 - 2008,161,463,2.88,,,,,,,,,
,,2008 - 2009,193,528,2.74,,,,,,,,,
,,2009 - 2010,88,268,3.05,,,,,,,,,
,,2010 - 2011,107.41,294.46,2.74,,,,,,,,,
,,2011 - 2012,109.77,286.35,2.61,,,,,,,,,
,,2012 - 2013,107,311,2.91,,,,,,,,,
,,2013 - 2014,96,285,2.97,,,,,,,,,
,,2014 - 2015,153,511,3.34,,,,,,,,,
,,2015 - 2016,110.53,359.17,3.25,,,,,,,,,
,,2016 - 2017,122,382,3.13,,,,,,,,,
,,2017 - 2018,120,391,3.26,,,,,,,,,
,,2018 - 2019,115.71,380,3.28,,,,,,,,,
,,2019 - 2020,113,367,3.25,,,,,,,,,
,,2020 - 2021,111.5,456.93,4.1,,,,,,,,,
,,2021 - 2022,110,489,4.45,,,,,,,,,
,,2022 - 2023,116.75,495.05,4.24,,,,,,,,,
,8. Kozhikode,2000 - 2001,367,"1,098.00",2.99,,,,,,,,,
,,2001 - 2002,297,"1,028.00",3.46,,,,,,,,,
,,2002 - 2003,217,598,2.76,,,,,,,,,
,,2003 - 2004,135,410,3.04,,,,,,,,,
,,2004 - 2005,122,362,2.97,,,,,,,,,
,,2005 - 2006,165,504,3.05,,,,,,,,,
,,2006 - 2007,160,536,3.35,,,,,,,,,
,,2007 - 2008,105,310,2.95,,,,,,,,,
,,2008 - 2009,85,255,3,,,,,,,,,
,,2009 - 2010,104,401,3.86,,,,,,,,,
,,2010 - 2011,78.35,255.56,3.26,,,,,,,,,
,,2011 - 2012,78.3,245.55,3.14,,,,,,,,,
,,2012 - 2013,62,181,2.92,,,,,,,,,
,,2013 - 2014,46,154,3.35,,,,,,,,,
,,2014 - 2015,43,153,3.56,,,,,,,,,
,,2015 - 2016,41.71,135.11,3.24,,,,,,,,,
,,2016 - 2017,62,143,2.31,,,,,,,,,
,,2017 - 2018,78,292,3.74,,,,,,,,,
,,2018 - 2019,59.21,193,3.26,,,,,,,,,
,,2019 - 2020,37,120,3.24,,,,,,,,,
,,2020 - 2021,41.29,214.17,5.19,,,,,,,,,
,,2021 - 2022,38,147,3.87,,,,,,,,,
,,2022 - 2023,30.84,95.23,3.09,,,,,,,,,
,9. Malappuram,2000 - 2001,184,394,2.14,,,,,,,,,
,,2001 - 2002,212,426,2.01,,,,,,,,,
,,2002 - 2003,181,424,2.34,,,,,,,,,
,,2003 - 2004,146,365,2.5,,,,,,,,,
,,2004 - 2005,133,282,2.12,,,,,,,,,
,,2005 - 2006,175,336,1.92,,,,,,,,,
,,2006 - 2007,151,288,1.91,,,,,,,,,
,,2007 - 2008,75,149,1.99,,,,,,,,,
,,2008 - 2009,77,161,2.09,,,,,,,,,
,,2009 - 2010,62,141,2.27,,,,,,,,,
,,2010 - 2011,61.15,124.69,2.04,,,,,,,,,
,,2011 - 2012,47.41,96.82,2.04,,,,,,,,,
,,2012 - 2013,42,77,1.83,,,,,,,,,
,,2013 - 2014,28,61,2.18,,,,,,,,,
,,2014 - 2015,44,98,2.23,,,,,,,,,
,,2015 - 2016,53.09,116.92,2.2,,,,,,,,,
,,2016 - 2017,50,115,2.3,,,,,,,,,
,,2017 - 2018,41,115,2.8,,,,,,,,,
,,2018 - 2019,31.9,73,2.29,,,,,,,,,
,,2019 - 2020,26,66,2.54,,,,,,,,,
,,2020 - 2021,30.36,79.15,2.61,,,,,,,,,
,,2021 - 2022,22,96,4.36,,,,,,,,,
,,2022 - 2023,24.29,72.2,2.97,,,,,,,,,
,10. Palakkad,2000 - 2001,"1,460.00","5,699.00",3.9,,,,,,,,,
,,2001 - 2002,"1,452.00","6,478.00",4.46,,,,,,,,,
,,2002 - 2003,"1,133.00","4,196.00",3.7,,,,,,,,,
,,2003 - 2004,902,"1,932.00",2.14,,,,,,,,,
,,2004 - 2005,969,"3,316.00",3.42,,,,,,,,,
,,2005 - 2006,"1,362.00","6,350.00",4.66,,,,,,,,,
,,2006 - 2007,"1,762.00","8,651.00",4.91,,,,,,,,,
,,2007 - 2008,"1,240.00","5,744.00",4.63,,,,,,,,,
,,2008 - 2009,"1,044.00","4,492.00",4.3,,,,,,,,,
,,2009 - 2010,812,"3,779.00",4.65,,,,,,,,,
,,2010 - 2011,"1,256.20","6,880.52",5.48,,,,,,,,,
,,2011 - 2012,"1,840.43","9,543.97",5.19,,,,,,,,,
,,2012 - 2013,738,"3,310.00",4.49,,,,,,,,,
,,2013 - 2014,836,"4,080.00",4.88,,,,,,,,,
,,2014 - 2015,"1,140.00","5,154.00",4.52,,,,,,,,,
,,2015 - 2016,"1,106.16","5,525.69",5,,,,,,,,,
,,2016 - 2017,"1,158.00","4,926.00",4.25,,,,,,,,,
,,2017 - 2018,429,"1,884.00",4.39,,,,,,,,,
,,2018 - 2019,193.12,742,3.84,,,,,,,,,
,,2019 - 2020,160,708,4.43,,,,,,,,,
,,2020 - 2021,144.51,678.04,4.69,,,,,,,,,
,,2021 - 2022,159,776,4.88,,,,,,,,,
,,2022 - 2023,112.36,440.72,3.92,,,,,,,,,
,11. Pathanamthitta,2000 - 2001,490,"1,480.00",3.02,,,,,,,,,
,,2001 - 2002,482,"1,351.00",2.8,,,,,,,,,
,,2002 - 2003,619,"1,536.00",2.48,,,,,,,,,
,,2003 - 2004,470,"1,150.00",2.45,,,,,,,,,
,,2004 - 2005,526,"1,358.00",2.58,,,,,,,,,
,,2005 - 2006,632,"1,908.00",3.02,,,,,,,,,
,,2006 - 2007,604,"1,797.00",2.98,,,,,,,,,
,,2007 - 2008,545,"1,777.00",3.26,,,,,,,,,
,,2008 - 2009,166,463,2.79,,,,,,,,,
,,2009 - 2010,305,860,2.82,,,,,,,,,
,,2010 - 2011,323.56,985.4,3.05,,,,,,,,,
,,2011 - 2012,313.77,"1,009.04",3.22,,,,,,,,,
,,2012 - 2013,294,814,2.77,,,,,,,,,
,,2013 - 2014,276,834,3.02,,,,,,,,,
,,2014 - 2015,289,"1,044.00",3.61,,,,,,,,,
,,2015 - 2016,295.03,927.57,3.14,,,,,,,,,
,,2016 - 2017,317,993,3.13,,,,,,,,,
,,2017 - 2018,301,"1,368.00",4.54,,,,,,,,,
,,2018 - 2019,280.72,"1,155.00",4.11,,,,,,,,,
,,2019 - 2020,271,"1,333.00",4.92,,,,,,,,,
,,2020 - 2021,297.64,"1,342.36",4.51,,,,,,,,,
,,2021 - 2022,314,"1,462.00",4.66,,,,,,,,,
,,2022 - 2023,328.86,"1,369.37",4.16,,,,,,,,,
,12. Thiruvananthapuram,2000 - 2001,103,312,3.03,,,,,,,,,
,,2001 - 2002,121,441,3.64,,,,,,,,,
,,2002 - 2003,106,282,2.66,,,,,,,,,
,,2003 - 2004,91,284,3.12,,,,,,,,,
,,2004 - 2005,103,306,2.97,,,,,,,,,
,,2005 - 2006,127,298,2.35,,,,,,,,,
,,2006 - 2007,89,247,2.78,,,,,,,,,
,,2007 - 2008,94,248,2.64,,,,,,,,,
,,2008 - 2009,95,291,3.06,,,,,,,,,
,,2009 - 2010,61,152,2.49,,,,,,,,,
,,2010 - 2011,69.73,180.25,2.58,,,,,,,,,
,,2011 - 2012,73.58,177.97,2.42,,,,,,,,,
,,2012 - 2013,67,154,2.3,,,,,,,,,
,,2013 - 2014,65,138,2.12,,,,,,,,,
,,2014 - 2015,75,203,2.71,,,,,,,,,
,,2015 - 2016,95.18,346.37,3.64,,,,,,,,,
,,2016 - 2017,89,261,2.93,,,,,,,,,
,,2017 - 2018,73,224,3.07,,,,,,,,,
,,2018 - 2019,72.12,214,2.97,,,,,,,,,
,,2019 - 2020,62,178,2.87,,,,,,,,,
,,2020 - 2021,94.38,353.55,3.75,,,,,,,,,
,,2021 - 2022,82,263,3.21,,,,,,,,,
,,2022 - 2023,83.89,297.21,3.54,,,,,,,,,
,13. Thrissur,2000 - 2001,87,133,1.53,,,,,,,,,
,,2001 - 2002,123,353,2.87,,,,,,,,,
,,2002 - 2003,136,285,2.1,,,,,,,,,
,,2003 - 2004,124,150,1.21,,,,,,,,,
,,2004 - 2005,136,260,1.91,,,,,,,,,
,,2005 - 2006,157,467,2.97,,,,,,,,,
,,2006 - 2007,111,221,1.99,,,,,,,,,
,,2007 - 2008,75,158,2.11,,,,,,,,,
,,2008 - 2009,59,124,2.1,,,,,,,,,
,,2009 - 2010,80,164,2.05,,,,,,,,,
,,2010 - 2011,52.63,136.42,2.59,,,,,,,,,
,,2011 - 2012,48.99,124.34,2.54,,,,,,,,,
,,2012 - 2013,46,113,2.46,,,,,,,,,
,,2013 - 2014,39,104,2.67,,,,,,,,,
,,2014 - 2015,41,100,2.44,,,,,,,,,
,,2015 - 2016,50.18,130.21,2.59,,,,,,,,,
,,2016 - 2017,48,127,2.65,,,,,,,,,
,,2017 - 2018,55,166,3.02,,,,,,,,,
,,2018 - 2019,43.01,119,2.77,,,,,,,,,
,,2019 - 2020,36,93,2.58,,,,,,,,,
,,2020 - 2021,43.51,120.61,2.77,,,,,,,,,
,,2021 - 2022,44,120,2.73,,,,,,,,,
,,2022 - 2023,38.93,106.21,2.73,,,,,,,,,
,14. Wayanad,2000 - 2001,"5,244.00","20,984.00",4,,,,,,,,,
,,2001 - 2002,"4,192.00","18,084.00",4.31,,,,,,,,,
,,2002 - 2003,"3,450.00","15,164.00",4.4,,,,,,,,,
,,2003 - 2004,"4,392.00","21,257.00",4.84,,,,,,,,,
,,2004 - 2005,"5,731.00","32,376.00",5.65,,,,,,,,,
,,2005 - 2006,"7,269.00","38,823.00",5.34,,,,,,,,,
,,2006 - 2007,"5,901.00","23,385.00",3.96,,,,,,,,,
,,2007 - 2008,"4,604.00","17,054.00",3.7,,,,,,,,,
,,2008 - 2009,"4,166.00","19,713.00",4.73,,,,,,,,,
,,2009 - 2010,"2,446.00","18,439.00",7.54,,,,,,,,,
,,2010 - 2011,"2,673.44","19,414.00",7.26,,,,,,,,,
,,2011 - 2012,"2,953.16","20,028.32",6.78,,,,,,,,,
,,2012 - 2013,"1,893.00","11,846.00",6.26,,,,,,,,,
,,2013 - 2014,"1,992.00","11,006.00",5.53,,,,,,,,,
,,2014 - 2015,"1,925.00","10,992.00",5.71,,,,,,,,,
,,2015 - 2016,"2,124.99","9,959.27",4.69,,,,,,,,,
,,2016 - 2017,"2,156.00","9,353.00",4.34,,,,,,,,,
,,2017 - 2018,"2,109.00","9,781.00",4.64,,,,,,,,,
,,2018 - 2019,"1,456.17","8,400.00",5.77,,,,,,,,,
,,2019 - 2020,"1,111.00","4,794.00",4.32,,,,,,,,,
,,2020 - 2021,988.32,"4,506.74",4.56,,,,,,,,,
,,2021 - 2022,"1,232.00","5,747.00",4.66,,,,,,,,,
,,2022 - 2023,"1,024.94","4,692.25",4.58,,,,,,,,,
12. Madhya Pradesh,1. Agar malwa,2013 - 2014,2,2,1,,,,,,,,,
,,2015 - 2016,48.5,958.3,19.76,,,,,,,,,
,,2016 - 2017,64.3,"1,270.57",19.76,,,,,,,,,
,,2017 - 2018,64.3,"1,270.57",19.76,,,,,,,,,
,,2018 - 2019,67.25,"1,328.79",19.76,,,,,,,,,
,,2019 - 2020,72.5,"1,432.51",19.76,,,,,,,,,
,2. Alirajpur,2009 - 2010,9,11,1.22,,,,,,,,,
,,2010 - 2011,8,11,1.38,,,,,,,,,
,,2011 - 2012,19,19,1,,,,,,,,,
,,2012 - 2013,24,33,1.38,,,,,,,,,
,,2013 - 2014,27,62,2.3,,,,,,,,,
,,2015 - 2016,368,"9,200.00",25,,,,,,,,,
,,2016 - 2017,390,"10,335.00",26.5,,,,,,,,,
,,2017 - 2018,394,"10,441.00",26.5,,,,,,,,,
,,2018 - 2019,398,"10,547.00",26.5,,,,,,,,,
,,2019 - 2020,438,"8,549.76",19.52,,,,,,,,,
,3. Anuppur,2003 - 2004,,,,,,,112,148,1.32,,,
,,2004 - 2005,,,,,,,129,176,1.36,,,
,,2006 - 2007,,,,,,,161,223,1.39,,,
,,2009 - 2010,169,138,0.82,,,,,,,,,
,,2010 - 2011,191,127,0.66,,,,,,,,,
,,2011 - 2012,220,237,1.08,,,,,,,,,
,,2012 - 2013,256,449,1.75,,,,,,,,,
,,2013 - 2014,257,451,1.75,,,,,,,,,
,,2015 - 2016,645,"10,320.00",16,,,,,,,,,
,,2016 - 2017,680,"11,560.00",17,,,,,,,,,
,,2017 - 2018,757,"12,869.00",17,,,,,,,,,
,,2018 - 2019,831,"14,293.20",17.2,,,,,,,,,
,,2019 - 2020,"1,239.62","22,313.25",18,,,,,,,,,
,4. Ashoknagar,2003 - 2004,,,,,,,33,28,0.85,,,
,,2006 - 2007,,,,,,,9,9,1,,,
,,2009 - 2010,19,20,1.05,,,,,,,,,
,,2010 - 2011,18,14,0.78,,,,,,,,,
,,2011 - 2012,7,6,0.86,,,,,,,,,
,,2012 - 2013,3,5,1.67,,,,,,,,,
,,2013 - 2014,6,9,1.5,,,,,,,,,
,,2015 - 2016,145,"2,175.00",15,,,,,,,,,
,,2016 - 2017,147,"2,205.00",15,,,,,,,,,
,,2017 - 2018,147,"2,205.00",15,,,,,,,,,
,,2018 - 2019,147,"2,220.00",15.1,,,,,,,,,
,,2019 - 2020,147,"2,220.00",15.1,,,,,,,,,
,5. Balaghat,2000 - 2001,,,,,,,104,181,1.74,,,
,,2001 - 2002,,,,,,,118,239,2.03,,,
,,2002 - 2003,,,,,,,115,199,1.73,,,
,,2003 - 2004,,,,,,,126,219,1.74,,,
,,2004 - 2005,,,,,,,116,202,1.74,,,
,,2006 - 2007,,,,,,,112,243,2.17,,,
,,2009 - 2010,133,269,2.02,,,,,,,,,
,,2010 - 2011,155,313,2.02,,,,,,,,,
,,2011 - 2012,144,254,1.76,,,,,,,,,
,,2012 - 2013,181,319,1.76,,,,,,,,,
,,2013 - 2014,182,344,1.89,,,,,,,,,
,,2015 - 2016,250,"3,953.00",15.81,,,,,,,,,
,,2016 - 2017,262,"3,972.00",15.16,,,,,,,,,
,,2017 - 2018,271,"4,644.00",17.14,,,,,,,,,
,,2018 - 2019,275.5,"4,741.00",17.21,,,,,,,,,
,,2019 - 2020,287,"4,962.00",17.29,,,,,,,,,
,6. Barwani,2000 - 2001,,,,,,,351,211,0.6,,,
,,2001 - 2002,,,,,,,401,301,0.75,,,
,,2002 - 2003,,,,,,,411,301,0.73,,,
,,2003 - 2004,,,,,,,423,335,0.79,,,
,,2004 - 2005,,,,,,,389,314,0.81,,,
,,2006 - 2007,,,,,,,355,194,0.55,,,
,,2009 - 2010,494,298,0.6,,,,,,,,,
,,2010 - 2011,497,323,0.65,,,,,,,,,
,,2011 - 2012,508,243,0.48,,,,,,,,,
,,2012 - 2013,458,842,1.84,,,,,,,,,
,,2013 - 2014,461,820,1.78,,,,,,,,,
,,2015 - 2016,324,"3,240.00",10,,,,,,,,,
,,2016 - 2017,299,"4,485.00",15,,,,,,,,,
,,2017 - 2018,345.8,"5,187.00",15,,,,,,,,,
,,2018 - 2019,347,"5,205.00",15,,,,,,,,,
,,2019 - 2020,423,"6,345.00",15,,,,,,,,,
,7. Betul,2000 - 2001,,,,,,,7,12,1.71,,,
,,2001 - 2002,,,,,,,6,10,1.67,,,
,,2010 - 2011,10,16,1.6,,,,,,,,,
,,2011 - 2012,14,15,1.07,,,,,,,,,
,,2012 - 2013,110,147,1.34,,,,,,,,,
,,2013 - 2014,44,85,1.93,,,,,,,,,
,,2015 - 2016,84,798,9.5,,,,,,,,,
,,2016 - 2017,85,807.5,9.5,,,,,,,,,
,,2017 - 2018,85,808,9.51,,,,,,,,,
,,2018 - 2019,84,796,9.48,,,,,,,,,
,,2019 - 2020,85,796,9.36,,,,,,,,,
,8. Bhind,2002 - 2003,,,,,,,2,0.1,0.05,,,
,,2003 - 2004,,,,,,,2,2,1,,,
,9. Bhopal,2000 - 2001,,,,,,,11,8,0.73,,,
,,2001 - 2002,,,,,,,3,3,1,,,
,,2002 - 2003,,,,,,,6,5,0.83,,,
,,2003 - 2004,,,,,,,6,5,0.83,,,
,,2004 - 2005,,,,,,,9,8,0.89,,,
,,2006 - 2007,,,,,,,10,9,0.9,,,
,,2009 - 2010,4,4,1,,,,,,,,,
,,2010 - 2011,16,18,1.13,,,,,,,,,
,,2011 - 2012,10,10,1,,,,,,,,,
,,2012 - 2013,7,10,1.43,,,,,,,,,
,,2013 - 2014,5,7,1.4,,,,,,,,,
,,2015 - 2016,185,978,5.29,,,,,,,,,
,,2016 - 2017,232,"1,260.00",5.43,,,,,,,,,
,,2017 - 2018,262,"5,240.00",20,,,,,,,,,
,,2018 - 2019,129,"2,580.00",20,,,,,,,,,
,,2019 - 2020,130,"2,560.00",19.69,,,,,,,,,
,10. Burhanpur,2003 - 2004,,,,,,,7,8,1.14,,,
,,2004 - 2005,,,,,,,12,11,0.92,,,
,,2006 - 2007,,,,,,,14,18,1.29,,,
,,2009 - 2010,10,13,1.3,,,,,,,,,
,,2010 - 2011,14,13,0.93,,,,,,,,,
,,2011 - 2012,15,15,1,,,,,,,,,
,,2012 - 2013,23,25,1.09,,,,,,,,,
,,2013 - 2014,27,28,1.04,,,,,,,,,
,,2015 - 2016,193,"4,501.00",23.32,,,,,,,,,
,,2016 - 2017,200,"4,670.00",23.35,,,,,,,,,
,,2017 - 2018,200,"4,670.00",23.35,,,,,,,,,
,,2018 - 2019,204,"4,764.00",23.35,,,,,,,,,
,,2019 - 2020,212,"4,183.93",19.74,,,,,,,,,
,11. Chhatarpur,2000 - 2001,,,,,,,202,137,0.68,,,
,,2001 - 2002,,,,,,,369,269,0.73,,,
,,2002 - 2003,,,,,,,501,259,0.52,,,
,,2003 - 2004,,,,,,,465,290,0.62,,,
,,2004 - 2005,,,,,,,561,380,0.68,,,
,,2006 - 2007,,,,,,,495,315,0.64,,,
,,2009 - 2010,666,406,0.61,,,,,,,,,
,,2010 - 2011,765,446,0.58,,,,,,,,,
,,2011 - 2012,880,327,0.37,,,,,,,,,
,,2012 - 2013,845,571,0.68,,,,,,,,,
,,2013 - 2014,910,760,0.84,,,,,,,,,
,,2015 - 2016,"1,640.00","22,960.00",14,,,,,,,,,
,,2016 - 2017,"1,780.00","24,920.00",14,,,,,,,,,
,,2017 - 2018,"1,262.00","17,116.00",13.56,,,,,,,,,
,,2018 - 2019,"1,254.00","16,827.00",13.42,,,,,,,,,
,,2019 - 2020,"1,255.00","16,834.00",13.41,,,,,,,,,
,12. Chhindwara,2000 - 2001,,,,,,,538,836,1.55,,,
,,2001 - 2002,,,,,,,585,"1,061.00",1.81,,,
,,2002 - 2003,,,,,,,623,"1,065.00",1.71,,,
,,2003 - 2004,,,,,,,606,"1,052.00",1.74,,,
,,2004 - 2005,,,,,,,636,989,1.56,,,
,,2006 - 2007,,,,,,,919,"1,583.00",1.72,,,
,,2009 - 2010,"1,616.00","2,784.00",1.72,,,,,,,,,
,,2010 - 2011,"1,598.00","2,753.00",1.72,,,,,,,,,
,,2011 - 2012,"2,396.00","4,241.00",1.77,,,,,,,,,
,,2012 - 2013,"3,369.00","8,930.00",2.65,,,,,,,,,
,,2013 - 2014,"3,723.00","9,868.00",2.65,,,,,,,,,
,,2015 - 2016,"2,999.00","59,980.00",20,,,,,,,,,
,,2016 - 2017,"3,010.00","60,200.00",20,,,,,,,,,
,,2017 - 2018,"3,010.00","60,200.00",20,,,,,,,,,
,,2018 - 2019,"3,010.00","60,200.00",20,,,,,,,,,
,,2019 - 2020,"3,010.00","59,406.00",19.74,,,,,,,,,
,13. Damoh,2000 - 2001,,,,,,,69,74,1.07,,,
,,2001 - 2002,,,,,,,87,107,1.23,,,
,,2002 - 2003,,,,,,,66,81,1.23,,,
,,2003 - 2004,,,,,,,58,70,1.21,,,
,,2004 - 2005,,,,,,,81,101,1.25,,,
,,2006 - 2007,,,,,,,141,122,0.87,,,
,,2009 - 2010,173,250,1.45,,,,,,,,,
,,2010 - 2011,173,260,1.5,,,,,,,,,
,,2011 - 2012,201,236,1.17,,,,,,,,,
,,2012 - 2013,230,371,1.61,,,,,,,,,
,,2013 - 2014,184,357,1.94,,,,,,,,,
,,2015 - 2016,130,"1,950.00",15,,,,,,,,,
,,2016 - 2017,140,"2,100.00",15,,,,,,,,,
,,2017 - 2018,150,"2,250.00",15,,,,,,,,,
,,2018 - 2019,182,"2,775.00",15.25,,,,,,,,,
,,2019 - 2020,198,"2,970.00",15,,,,,,,,,
,14. Datia,2000 - 2001,,,,,,,17,14,0.82,,,
,,2001 - 2002,,,,,,,8,7,0.88,,,
,,2002 - 2003,,,,,,,21,6,0.29,,,
,,2003 - 2004,,,,,,,10,10,1,,,
,,2004 - 2005,,,,,,,15,11,0.73,,,
,,2006 - 2007,,,,,,,8,6,0.75,,,
,,2009 - 2010,15,11,0.73,,,,,,,,,
,,2010 - 2011,9,5,0.56,,,,,,,,,
,,2011 - 2012,9,5,0.56,,,,,,,,,
,,2013 - 2014,25,22,0.88,,,,,,,,,
,,2015 - 2016,42,630,15,,,,,,,,,
,,2016 - 2017,185,"2,775.00",15,,,,,,,,,
,,2017 - 2018,192,"2,880.00",15,,,,,,,,,
,,2018 - 2019,193,"2,895.00",15,,,,,,,,,
,,2019 - 2020,194,"2,910.00",15,,,,,,,,,
,15. Dewas,2000 - 2001,,,,,,,130,108,0.83,,,
,,2001 - 2002,,,,,,,121,101,0.83,,,
,,2002 - 2003,,,,,,,100,83,0.83,,,
,,2003 - 2004,,,,,,,194,188,0.97,,,
,,2004 - 2005,,,,,,,70,60,0.86,,,
,,2006 - 2007,,,,,,,59,61,1.03,,,
,,2009 - 2010,43,41,0.95,,,,,,,,,
,,2010 - 2011,34,37,1.09,,,,,,,,,
,,2011 - 2012,100,87,0.87,,,,,,,,,
,,2012 - 2013,123,112,0.91,,,,,,,,,
,,2013 - 2014,55,47,0.85,,,,,,,,,
,,2015 - 2016,115,"2,427.00",21.1,,,,,,,,,
,,2016 - 2017,115,"2,427.00",21.1,,,,,,,,,
,,2017 - 2018,122,"2,582.00",21.16,,,,,,,,,
,,2018 - 2019,127,"2,689.35",21.18,,,,,,,,,
,,2019 - 2020,145,"3,070.51",21.18,,,,,,,,,
,16. Dhar,2000 - 2001,,,,,,,63,47,0.75,,,
,,2001 - 2002,,,,,,,106,113,1.07,,,
,,2002 - 2003,,,,,,,109,143,1.31,,,
,,2003 - 2004,,,,,,,68,90,1.32,,,
,,2004 - 2005,,,,,,,92,116,1.26,,,
,,2006 - 2007,,,,,,,112,149,1.33,,,
,,2009 - 2010,151,220,1.46,,,,,,,,,
,,2010 - 2011,231,337,1.46,,,,,,,,,
,,2011 - 2012,308,375,1.22,,,,,,,,,
,,2012 - 2013,443,680,1.53,,,,,,,,,
,,2013 - 2014,275,"1,014.00",3.69,,,,,,,,,
,,2015 - 2016,776.3,"9,315.00",12,,,,,,,,,
,,2016 - 2017,"1,026.50","19,530.00",19.03,,,,,,,,,
,,2017 - 2018,"1,095.00","25,732.00",23.5,,,,,,,,,
,,2018 - 2019,"1,115.00","25,984.00",23.3,,,,,,,,,
,,2019 - 2020,"1,125.00","21,273.75",18.91,,,,,,,,,
,17. Dindori,2015 - 2016,100,10,0.1,,,,,,,,,
,,2016 - 2017,105,"1,260.00",12,,,,,,,,,
,,2017 - 2018,109,"1,308.00",12,,,,,,,,,
,,2018 - 2019,112,"1,344.00",12,,,,,,,,,
,,2019 - 2020,124,"1,488.00",12,,,,,,,,,
,18. Guna,2000 - 2001,,,,,,,36,35,0.97,,,
,,2001 - 2002,,,,,,,7,7,1,,,
,,2002 - 2003,,,,,,,37,19,0.51,,,
,,2003 - 2004,,,,,,,16,16,1,,,
,,2004 - 2005,,,,,,,12,11,0.92,,,
,,2006 - 2007,,,,,,,28,28,1,,,
,,2009 - 2010,33,35,1.06,,,,,,,,,
,,2010 - 2011,29,29,1,,,,,,,,,
,,2011 - 2012,28,23,0.82,,,,,,,,,
,,2012 - 2013,54,56,1.04,,,,,,,,,
,,2013 - 2014,21,25,1.19,,,,,,,,,
,,2015 - 2016,18,270,15,,,,,,,,,
,,2016 - 2017,32,480,15,,,,,,,,,
,,2017 - 2018,48,720,15,,,,,,,,,
,,2018 - 2019,62,930,15,,,,,,,,,
,,2019 - 2020,78,"1,170.00",15,,,,,,,,,
,19. Gwalior,2002 - 2003,,,,,,,3,1,0.33,,,
,,2015 - 2016,127,"3,175.00",25,,,,,,,,,
,,2016 - 2017,146,"3,650.00",25,,,,,,,,,
,,2017 - 2018,146,"3,650.00",25,,,,,,,,,
,,2018 - 2019,149,"3,725.00",25,,,,,,,,,
,,2019 - 2020,175,"4,375.00",25,,,,,,,,,
,20. Harda,2000 - 2001,,,,,,,9,12,1.33,,,
,,2001 - 2002,,,,,,,10,12,1.2,,,
,,2002 - 2003,,,,,,,9,11,1.22,,,
,,2003 - 2004,,,,,,,17,21,1.24,,,
,,2004 - 2005,,,,,,,11,12,1.09,,,
,,2006 - 2007,,,,,,,20,22,1.1,,,
,,2009 - 2010,34,49,1.44,,,,,,,,,
,,2010 - 2011,16,17,1.06,,,,,,,,,
,,2011 - 2012,10,11,1.1,,,,,,,,,
,,2012 - 2013,19,26,1.37,,,,,,,,,
,,2013 - 2014,14,23,1.64,,,,,,,,,
,,2015 - 2016,98,"1,147.00",11.7,,,,,,,,,
,,2016 - 2017,100,"1,180.00",11.8,,,,,,,,,
,,2017 - 2018,105,"1,240.00",11.81,,,,,,,,,
,,2018 - 2019,160,"1,890.00",11.81,,,,,,,,,
,,2019 - 2020,160,"1,890.00",11.81,,,,,,,,,
,21. Hoshangabad,2000 - 2001,,,,,,,71,92,1.3,,,
,,2001 - 2002,,,,,,,87,108,1.24,,,
,,2002 - 2003,,,,,,,126,155,1.23,,,
,,2003 - 2004,,,,,,,133,166,1.25,,,
,,2004 - 2005,,,,,,,137,174,1.27,,,
,,2006 - 2007,,,,,,,146,188,1.29,,,
,,2009 - 2010,171,221,1.29,,,,,,,,,
,,2010 - 2011,103,141,1.37,,,,,,,,,
,,2011 - 2012,153,170,1.11,,,,,,,,,
,,2012 - 2013,114,159,1.39,,,,,,,,,
,,2013 - 2014,76,124,1.63,,,,,,,,,
,,2015 - 2016,128,"2,048.00",16,,,,,,,,,
,,2016 - 2017,130,"2,015.00",15.5,,,,,,,,,
,,2017 - 2018,132,"2,046.00",15.5,,,,,,,,,
,,2018 - 2019,131,"1,953.15",14.91,,,,,,,,,
,,2019 - 2020,131,"1,953.15",14.91,,,,,,,,,
,22. Indore,2000 - 2001,,,,,,,10,17,1.7,,,
,,2001 - 2002,,,,,,,14,20,1.43,,,
,,2002 - 2003,,,,,,,2,3,1.5,,,
,,2003 - 2004,,,,,,,17,27,1.59,,,
,,2004 - 2005,,,,,,,16,26,1.63,,,
,,2006 - 2007,,,,,,,11,19,1.73,,,
