State,District,Year,Tapioca,,,,,,,,
,,2012 - 2013,240,"2,156.00",8.98,,,,,,
,,2013 - 2014,320,"2,875.00",8.98,,,,,,
,,2014 - 2015,320,"2,875.00",8.98,,,,,,
,,2015 - 2016,325,"2,921.00",8.99,,,,,,
,,2016 - 2017,365,"3,286.00",9,,,,,,
,,2017 - 2018,365,"3,821.00",10.47,,,,,,
,,2018 - 2019,355,"4,521.00",12.74,,,,,,
,,2019 - 2020,380,"4,856.00",12.78,,,,,,
,,2020 - 2021,395,"5,048.00",12.78,,,,,,
,,2021 - 2022,385,"4,920.00",12.78,,,,,,
,,2022 - 2023,352,"4,511.00",12.82,,,,,,
,2. Barpeta,2000 - 2001,41,205,5,,,,,,
,,2001 - 2002,46,230,5,,,,,,
,,2002 - 2003,86,430,5,,,,,,
,,2003 - 2004,56,280,5,,,,,,
,,2005 - 2006,33,165,5,,,,,,
,,2006 - 2007,28,140,5,,,,,,
,,2007 - 2008,21,105,5,,,,,,
,,2008 - 2009,81,405,5,,,,,,
,,2009 - 2010,13,65,5,,,,,,
,,2010 - 2011,406,"2,030.00",5,,,,,,
,,2011 - 2012,28,230,8.21,,,,,,
,,2012 - 2013,22,183,8.32,,,,,,
,,2013 - 2014,19,158,8.32,,,,,,
,,2014 - 2015,20,169,8.45,,,,,,
,,2015 - 2016,18,151,8.39,,,,,,
,,2016 - 2017,16,135,8.44,,,,,,
,,2017 - 2018,14,120,8.57,,,,,,
,,2018 - 2019,14,127,9.07,,,,,,
,,2019 - 2020,14,132,9.43,,,,,,
,,2020 - 2021,11,103,9.36,,,,,,
,,2021 - 2022,11,103,9.36,,,,,,
,,2022 - 2023,10,106,10.6,,,,,,
,3. Biswanath,2020 - 2021,103,"1,202.00",11.67,,,,,,
,,2021 - 2022,140,"1,634.00",11.67,,,,,,
,,2022 - 2023,121,"2,016.00",16.66,,,,,,
,4. Bongaigaon,2000 - 2001,126,536,4.25,,,,,,
,,2001 - 2002,140,596,4.26,,,,,,
,,2002 - 2003,155,660,4.26,,,,,,
,,2003 - 2004,217,926,4.27,,,,,,
,,2005 - 2006,163,696,4.27,,,,,,
,,2006 - 2007,101,429,4.25,,,,,,
,,2007 - 2008,87,369,4.24,,,,,,
,,2008 - 2009,153,653,4.27,,,,,,
,,2009 - 2010,59,249,4.22,,,,,,
,,2010 - 2011,74,313,4.23,,,,,,
,,2011 - 2012,78,731,9.37,,,,,,
,,2012 - 2013,78,755,9.68,,,,,,
,,2013 - 2014,73,706,9.67,,,,,,
,,2014 - 2015,73,699,9.58,,,,,,
,,2015 - 2016,75,718,9.57,,,,,,
,,2016 - 2017,72,693,9.63,,,,,,
,,2017 - 2018,76,732,9.63,,,,,,
,,2018 - 2019,75,709,9.45,,,,,,
,,2019 - 2020,76,485,6.38,,,,,,
,,2020 - 2021,76,732,9.63,,,,,,
,,2021 - 2022,81,779,9.62,,,,,,
,,2022 - 2023,90,882,9.8,,,,,,
,5. Cachar,2000 - 2001,32,138,4.31,,,,,,
,,2001 - 2002,32,138,4.31,,,,,,
,,2002 - 2003,32,138,4.31,,,,,,
,,2003 - 2004,32,138,4.31,,,,,,
,,2005 - 2006,30,129,4.3,,,,,,
,,2006 - 2007,30,129,4.3,,,,,,
,,2007 - 2008,31,133,4.29,,,,,,
,,2008 - 2009,31,133,4.29,,,,,,
,,2009 - 2010,30,129,4.3,,,,,,
,,2010 - 2011,13,56,4.31,,,,,,
,,2011 - 2012,20,167,8.35,,,,,,
,,2012 - 2013,22,203,9.23,,,,,,
,,2013 - 2014,23,212,9.22,,,,,,
,,2014 - 2015,25,231,9.24,,,,,,
,,2015 - 2016,23,213,9.26,,,,,,
,,2016 - 2017,21,196,9.33,,,,,,
,,2017 - 2018,21,196,9.33,,,,,,
,,2018 - 2019,19,176,9.26,,,,,,
,,2019 - 2020,20,191,9.55,,,,,,
,,2020 - 2021,20,191,9.55,,,,,,
,,2021 - 2022,21,201,9.57,,,,,,
,,2022 - 2023,21,215,10.24,,,,,,
,6. Charaideo,2020 - 2021,8,72,9,,,,,,
,,2021 - 2022,8,72,9,,,,,,
,,2022 - 2023,8,72,9,,,,,,
,7. Chirang,2005 - 2006,130,556,4.28,,,,,,
,,2006 - 2007,310,"1,313.00",4.24,,,,,,
,,2007 - 2008,310,"1,315.00",4.24,,,,,,
,,2008 - 2009,333,"1,490.00",4.47,,,,,,
,,2009 - 2010,331,"1,429.00",4.32,,,,,,
,,2010 - 2011,773,"3,361.00",4.35,,,,,,
,,2011 - 2012,741,"3,594.00",4.85,,,,,,
,,2012 - 2013,705,"3,560.00",5.05,,,,,,
,,2013 - 2014,187,944,5.05,,,,,,
,,2014 - 2015,208,"1,050.00",5.05,,,,,,
,,2015 - 2016,212,"1,074.00",5.07,,,,,,
,,2016 - 2017,208,"1,060.00",5.1,,,,,,
,,2017 - 2018,149,764,5.13,,,,,,
,,2018 - 2019,322,"2,006.00",6.23,,,,,,
,,2019 - 2020,245,"1,637.00",6.68,,,,,,
,,2020 - 2021,305,"2,038.00",6.68,,,,,,
,,2021 - 2022,250,"1,671.00",6.68,,,,,,
,,2022 - 2023,179,"1,497.00",8.36,,,,,,
,8. Darrang,2000 - 2001,398,"1,618.00",4.07,,,,,,
,,2001 - 2002,456,"1,847.00",4.05,,,,,,
,,2002 - 2003,331,"1,363.00",4.12,,,,,,
,,2003 - 2004,315,"1,297.00",4.12,,,,,,
,,2005 - 2006,50,194,3.88,,,,,,
,,2006 - 2007,34,132,3.88,,,,,,
,,2007 - 2008,14,54,3.86,,,,,,
,,2008 - 2009,13,50,3.85,,,,,,
,,2012 - 2013,2,28,14,,,,,,
,,2013 - 2014,2,17,8.5,,,,,,
,,2014 - 2015,2,9,4.5,,,,,,
,,2015 - 2016,2,7,3.5,,,,,,
,,2016 - 2017,1,5,5,,,,,,
,,2017 - 2018,1,5,5,,,,,,
,,2018 - 2019,2,18,9,,,,,,
,,2019 - 2020,1,10,10,,,,,,
,,2020 - 2021,1,10,10,,,,,,
,,2021 - 2022,1,10,10,,,,,,
,,2022 - 2023,1,12,12,,,,,,
,9. Dhemaji,2000 - 2001,34,126,3.71,,,,,,
,,2001 - 2002,33,80,2.42,,,,,,
,,2002 - 2003,29,95,3.28,,,,,,
,,2003 - 2004,28,87,3.11,,,,,,
,,2005 - 2006,37,120,3.24,,,,,,
,,2006 - 2007,29,88,3.03,,,,,,
,,2007 - 2008,28,84,3,,,,,,
,,2008 - 2009,27,81,3,,,,,,
,,2009 - 2010,27,80,2.96,,,,,,
,,2010 - 2011,28,85,3.04,,,,,,
,,2011 - 2012,30,166,5.53,,,,,,
,,2012 - 2013,31,175,5.65,,,,,,
,,2013 - 2014,31,175,5.65,,,,,,
,,2014 - 2015,31,175,5.65,,,,,,
,,2015 - 2016,31,175,5.65,,,,,,
,,2016 - 2017,32,184,5.75,,,,,,
,,2017 - 2018,29,167,5.76,,,,,,
,,2018 - 2019,28,224,8,,,,,,
,,2019 - 2020,26,216,8.31,,,,,,
,,2020 - 2021,26,168,6.46,,,,,,
,,2021 - 2022,26,168,6.46,,,,,,
,,2022 - 2023,27,189,7,,,,,,
,10. Dhubri,2000 - 2001,131,428,3.27,,,,,,
,,2001 - 2002,114,378,3.32,,,,,,
,,2002 - 2003,122,403,3.3,,,,,,
,,2003 - 2004,102,342,3.35,,,,,,
,,2005 - 2006,110,350,3.18,,,,,,
,,2006 - 2007,83,263,3.17,,,,,,
,,2007 - 2008,80,256,3.2,,,,,,
,,2008 - 2009,80,251,3.14,,,,,,
,,2009 - 2010,52,166,3.19,,,,,,
,,2010 - 2011,25,84,3.36,,,,,,
,,2011 - 2012,25,106,4.24,,,,,,
,,2012 - 2013,22,116,5.27,,,,,,
,,2013 - 2014,27,142,5.26,,,,,,
,,2014 - 2015,27,142,5.26,,,,,,
,,2015 - 2016,25,131,5.24,,,,,,
,,2016 - 2017,26,140,5.38,,,,,,
,,2017 - 2018,26,140,5.38,,,,,,
,,2018 - 2019,29,232,8,,,,,,
,,2019 - 2020,31,256,8.26,,,,,,
,,2020 - 2021,30,248,8.27,,,,,,
,,2021 - 2022,27,223,8.26,,,,,,
,,2022 - 2023,40,338,8.45,,,,,,
,11. Dibrugarh,2000 - 2001,22,90,4.09,,,,,,
,,2001 - 2002,22,90,4.09,,,,,,
,,2002 - 2003,22,90,4.09,,,,,,
,,2003 - 2004,12,49,4.08,,,,,,
,,2005 - 2006,14,57,4.07,,,,,,
,,2006 - 2007,17,70,4.12,,,,,,
,,2007 - 2008,5,20,4,,,,,,
,,2008 - 2009,12,49,4.08,,,,,,
,,2009 - 2010,12,49,4.08,,,,,,
,,2010 - 2011,5,20,4,,,,,,
,,2011 - 2012,5,50,10,,,,,,
,,2012 - 2013,8,81,10.13,,,,,,
,,2013 - 2014,9,91,10.11,,,,,,
,,2014 - 2015,9,91,10.11,,,,,,
,,2015 - 2016,9,91,10.11,,,,,,
,,2016 - 2017,21,215,10.24,,,,,,
,,2017 - 2018,22,226,10.27,,,,,,
,,2018 - 2019,17,162,9.53,,,,,,
,,2019 - 2020,12,118,9.83,,,,,,
,,2020 - 2021,12,118,9.83,,,,,,
,,2021 - 2022,15,147,9.8,,,,,,
,,2022 - 2023,10,105,10.5,,,,,,
,12. Dima hasao,2000 - 2001,65,325,5,,,,,,
,,2001 - 2002,64,320,5,,,,,,
,,2002 - 2003,70,350,5,,,,,,
,,2003 - 2004,66,330,5,,,,,,
,,2005 - 2006,65,325,5,,,,,,
,,2006 - 2007,70,350,5,,,,,,
,,2007 - 2008,86,430,5,,,,,,
,,2008 - 2009,84,420,5,,,,,,
,,2009 - 2010,534,"2,670.00",5,,,,,,
,,2010 - 2011,570,"2,850.00",5,,,,,,
,,2011 - 2012,650,"1,793.00",2.76,,,,,,
,,2012 - 2013,585,"3,729.00",6.37,,,,,,
,,2013 - 2014,313,"1,996.00",6.38,,,,,,
,,2014 - 2015,305,"1,945.00",6.38,,,,,,
,,2015 - 2016,305,"1,946.00",6.38,,,,,,
,,2016 - 2017,305,"1,952.00",6.4,,,,,,
,,2017 - 2018,305,"1,963.00",6.44,,,,,,
,,2018 - 2019,361,"2,477.00",6.86,,,,,,
,,2019 - 2020,360,"2,494.00",6.93,,,,,,
,,2020 - 2021,360,"2,494.00",6.93,,,,,,
,,2021 - 2022,380,"2,633.00",6.93,,,,,,
,,2022 - 2023,380,"2,679.00",7.05,,,,,,
,13. Goalpara,2000 - 2001,158,664,4.2,,,,,,
,,2001 - 2002,150,683,4.55,,,,,,
,,2002 - 2003,150,676,4.51,,,,,,
,,2003 - 2004,150,663,4.42,,,,,,
,,2005 - 2006,145,649,4.48,,,,,,
,,2006 - 2007,150,669,4.46,,,,,,
,,2007 - 2008,185,828,4.48,,,,,,
,,2008 - 2009,190,929,4.89,,,,,,
,,2009 - 2010,190,876,4.61,,,,,,
,,2010 - 2011,200,932,4.66,,,,,,
,,2011 - 2012,220,"1,531.00",6.96,,,,,,
,,2012 - 2013,220,"1,595.00",7.25,,,,,,
,,2013 - 2014,250,"1,813.00",7.25,,,,,,
,,2014 - 2015,242,"1,757.00",7.26,,,,,,
,,2015 - 2016,205,"1,490.00",7.27,,,,,,
,,2016 - 2017,215,"1,568.00",7.29,,,,,,
,,2017 - 2018,261,"1,908.00",7.31,,,,,,
,,2018 - 2019,260,"1,901.00",7.31,,,,,,
,,2019 - 2020,262,"1,493.00",5.7,,,,,,
,,2020 - 2021,254,"1,448.00",5.7,,,,,,
,,2021 - 2022,249,"1,420.00",5.7,,,,,,
,,2022 - 2023,248,"2,111.00",8.51,,,,,,
,14. Golaghat,2000 - 2001,8,32,4,,,,,,
,,2001 - 2002,8,31,3.88,,,,,,
,,2002 - 2003,9,36,4,,,,,,
,,2003 - 2004,9,36,4,,,,,,
,,2005 - 2006,10,40,4,,,,,,
,,2006 - 2007,9,36,4,,,,,,
,,2007 - 2008,9,36,4,,,,,,
,,2008 - 2009,10,40,4,,,,,,
,,2009 - 2010,11,43,3.91,,,,,,
,,2010 - 2011,41,161,3.93,,,,,,
,,2011 - 2012,30,238,7.93,,,,,,
,,2012 - 2013,25,218,8.72,,,,,,
,,2013 - 2014,25,218,8.72,,,,,,
,,2014 - 2015,17,148,8.71,,,,,,
,,2015 - 2016,15,131,8.73,,,,,,
,,2016 - 2017,14,125,8.93,,,,,,
,,2017 - 2018,14,126,9,,,,,,
,,2018 - 2019,13,119,9.15,,,,,,
,,2019 - 2020,13,97,7.46,,,,,,
,,2020 - 2021,12,90,7.5,,,,,,
,,2021 - 2022,19,142,7.47,,,,,,
,,2022 - 2023,6,52,8.67,,,,,,
,15. Hailakandi,2000 - 2001,5,22,4.4,,,,,,
,,2001 - 2002,5,22,4.4,,,,,,
,,2002 - 2003,7,31,4.43,,,,,,
,,2003 - 2004,7,31,4.43,,,,,,
,,2005 - 2006,3,13,4.33,,,,,,
,,2006 - 2007,3,13,4.33,,,,,,
,,2007 - 2008,2,9,4.5,,,,,,
,,2008 - 2009,3,14,4.67,,,,,,
,,2009 - 2010,4,18,4.5,,,,,,
,,2010 - 2011,4,18,4.5,,,,,,
,,2011 - 2012,4,32,8,,,,,,
,,2012 - 2013,2,18,9,,,,,,
,,2014 - 2015,1,9,9,,,,,,
,,2015 - 2016,1,12,12,,,,,,
,,2017 - 2018,1,13,13,,,,,,
,,2018 - 2019,1,9,9,,,,,,
,,2019 - 2020,1,10,10,,,,,,
,,2020 - 2021,1,10,10,,,,,,
,16. Hojai,2020 - 2021,35,324,9.26,,,,,,
,,2021 - 2022,35,324,9.26,,,,,,
,,2022 - 2023,40,386,9.65,,,,,,
,17. Jorhat,2000 - 2001,5,25,5,,,,,,
,,2001 - 2002,5,25,5,,,,,,
,,2002 - 2003,7,35,5,,,,,,
,,2003 - 2004,7,35,5,,,,,,
,,2005 - 2006,9,45,5,,,,,,
,,2006 - 2007,6,30,5,,,,,,
,,2007 - 2008,6,30,5,,,,,,
,,2008 - 2009,11,54,4.91,,,,,,
,,2009 - 2010,4,20,5,,,,,,
,,2010 - 2011,3,15,5,,,,,,
,,2011 - 2012,4,40,10,,,,,,
,,2012 - 2013,5,52,10.4,,,,,,
,,2013 - 2014,7,72,10.29,,,,,,
,,2014 - 2015,6,63,10.5,,,,,,
,,2015 - 2016,6,62,10.33,,,,,,
,,2016 - 2017,5,52,10.4,,,,,,
,,2017 - 2018,6,62,10.33,,,,,,
,,2018 - 2019,7,66,9.43,,,,,,
,,2019 - 2020,5,48,9.6,,,,,,
,,2020 - 2021,5,48,9.6,,,,,,
,,2021 - 2022,5,48,9.6,,,,,,
,,2022 - 2023,4,42,10.5,,,,,,
,18. Kamrup,2000 - 2001,152,547,3.6,,,,,,
,,2001 - 2002,114,417,3.66,,,,,,
,,2002 - 2003,110,396,3.6,,,,,,
,,2003 - 2004,101,366,3.62,,,,,,
,,2005 - 2006,50,181,3.62,,,,,,
,,2006 - 2007,33,118,3.58,,,,,,
,,2007 - 2008,49,177,3.61,,,,,,
,,2008 - 2009,51,184,3.61,,,,,,
,,2009 - 2010,81,292,3.6,,,,,,
,,2010 - 2011,40,144,3.6,,,,,,
,,2011 - 2012,41,318,7.76,,,,,,
,,2012 - 2013,39,178,4.56,,,,,,
,,2013 - 2014,43,196,4.56,,,,,,
,,2014 - 2015,44,201,4.57,,,,,,
,,2015 - 2016,42,193,4.6,,,,,,
,,2016 - 2017,41,197,4.8,,,,,,
,,2017 - 2018,39,188,4.82,,,,,,
,,2018 - 2019,40,296,7.4,,,,,,
,,2019 - 2020,38,290,7.63,,,,,,
,,2020 - 2021,40,305,7.63,,,,,,
,,2021 - 2022,23,206,8.96,,,,,,
,,2022 - 2023,10,91,9.1,,,,,,
,19. Kamrup metro,2005 - 2006,8,29,3.63,,,,,,
,,2006 - 2007,10,37,3.7,,,,,,
,,2007 - 2008,12,43,3.58,,,,,,
,,2008 - 2009,12,46,3.83,,,,,,
,,2009 - 2010,15,55,3.67,,,,,,
,,2010 - 2011,15,56,3.73,,,,,,
,,2011 - 2012,14,131,9.36,,,,,,
,,2012 - 2013,15,143,9.53,,,,,,
,,2013 - 2014,13,124,9.54,,,,,,
,,2014 - 2015,12,115,9.58,,,,,,
,,2015 - 2016,14,133,9.5,,,,,,
,,2021 - 2022,3,27,9,,,,,,
,,2022 - 2023,3,27,9,,,,,,
,20. Karbi anglong,2000 - 2001,293,"1,546.00",5.28,,,,,,
,,2001 - 2002,299,"1,503.00",5.03,,,,,,
,,2002 - 2003,306,"1,542.00",5.04,,,,,,
,,2003 - 2004,315,"1,588.00",5.04,,,,,,
,,2005 - 2006,339,"1,709.00",5.04,,,,,,
,,2006 - 2007,354,"1,807.00",5.1,,,,,,
,,2007 - 2008,359,"1,817.00",5.06,,,,,,
,,2008 - 2009,359,"1,820.00",5.07,,,,,,
,,2009 - 2010,388,"1,971.00",5.08,,,,,,
,,2010 - 2011,387,"1,963.00",5.07,,,,,,
,,2011 - 2012,350,"3,999.00",11.43,,,,,,
,,2012 - 2013,294,"3,390.00",11.53,,,,,,
,,2013 - 2014,321,"3,702.00",11.53,,,,,,
,,2014 - 2015,354,"4,083.00",11.53,,,,,,
