State,District,Year,Sweet potato,,,,,,,,
,,2003 - 2004,53,383,7.23,,,,,,
,,2004 - 2005,60,549,9.15,,,,,,
,,2005 - 2006,53,514,9.7,,,,,,
,,2006 - 2007,48,517,10.77,,,,,,
,,2008 - 2009,83,"1,129.00",13.6,,,,,,
,,2009 - 2010,60,771,12.85,,,,,,
,,2010 - 2011,49,627,12.8,,,,,,
,,2011 - 2012,35,450,12.86,,,,,,
,,2012 - 2013,,,,,,,9,87,9.67
,,2013 - 2014,,,,12,105,8.75,22,193,8.77
,,2014 - 2015,,,,33,364,11.03,10,110,11
,,2015 - 2016,,,,16,195,12.19,5,61,12.2
,,2016 - 2017,,,,9,138,15.33,13,200,15.38
,,2017 - 2018,,,,43,504,11.72,3,35,11.67
,,2018 - 2019,,,,17,345,20.29,3,61,20.33
,,2019 - 2020,,,,15,261,17.4,2,35,17.5
,,2020 - 2021,,,,8,104,13,9,117,13
,,2021 - 2022,,,,6,154,25.67,,,
,8. Guntur,2000 - 2001,90,"2,543.00",28.26,,,,,,
,,2001 - 2002,55,"1,544.00",28.07,,,,,,
,,2002 - 2003,58,"1,635.00",28.19,,,,,,
,,2003 - 2004,33,239,7.24,,,,,,
,,2004 - 2005,48,439,9.15,,,,,,
,,2005 - 2006,60,582,9.7,,,,,,
,,2006 - 2007,11,118,10.73,,,,,,
,,2008 - 2009,21,286,13.62,,,,,,
,,2009 - 2010,15,193,12.87,,,,,,
,,2010 - 2011,14,179,12.79,,,,,,
,,2011 - 2012,21,270,12.86,,,,,,
,,2012 - 2013,,,,9,87,9.67,,,
,,2014 - 2015,,,,9,99,11,,,
,,2015 - 2016,,,,10,122,12.2,,,
,,2016 - 2017,,,,4,61,15.25,,,
,,2017 - 2018,,,,4,47,11.75,,,
,,2019 - 2020,,,,2,35,17.5,,,
,,2020 - 2021,,,,20,260,13,,,
,,2021 - 2022,,,,22,565,25.68,,,
,9. Kadapa,2000 - 2001,46,622,13.52,,,,,,
,,2001 - 2002,62,823,13.27,,,,,,
,,2002 - 2003,40,432,10.8,,,,,,
,,2003 - 2004,77,557,7.23,,,,,,
,,2004 - 2005,88,181,2.06,,,,,,
,,2005 - 2006,37,428,11.57,,,,,,
,,2006 - 2007,25,137,5.48,,,,,,
,,2008 - 2009,31,177,5.71,,,,,,
,,2009 - 2010,59,348,5.9,,,,,,
,,2010 - 2011,72,922,12.81,,,,,,
,,2011 - 2012,49,630,12.86,,,,,,
,,2012 - 2013,,,,67,645,9.63,,,
,,2013 - 2014,,,,67,588,8.78,21,184,8.76
,,2014 - 2015,,,,51,523,10.25,1,10,10
,,2015 - 2016,,,,24,294,12.25,19,233,12.26
,,2016 - 2017,,,,67,"1,515.00",22.61,19,430,22.63
,,2017 - 2018,,,,80,968,12.1,52,629,12.1
,,2018 - 2019,,,,23,334,14.52,5,73,14.6
,,2019 - 2020,,,,32,512,16,1,16,16
,,2020 - 2021,,,,28,297,10.61,1,11,11
,,2021 - 2022,,,,9,75,8.33,4,33,8.25
,,2022 - 2023,,,,,,,9,169,18.78
,10. Kakinada,2022 - 2023,,,,5,94,18.8,,,
,11. Krishna,2000 - 2001,35,474,13.54,,,,,,
,,2001 - 2002,12,160,13.33,,,,,,
,,2002 - 2003,12,130,10.83,,,,,,
,,2003 - 2004,22,159,7.23,,,,,,
,,2004 - 2005,16,146,9.13,,,,,,
,,2009 - 2010,3,39,13,,,,,,
,,2010 - 2011,1,13,13,,,,,,
,,2011 - 2012,10,128,12.8,,,,,,
,,2012 - 2013,,,,8,77,9.63,,,
,,2013 - 2014,,,,9,79,8.78,,,
,,2014 - 2015,,,,7,77,11,1,11,11
,,2015 - 2016,,,,6,73,12.17,7,85,12.14
,,2016 - 2017,,,,8,123,15.38,7,107,15.29
,,2017 - 2018,,,,5,59,11.8,7,82,11.71
,,2018 - 2019,,,,4,81,20.25,7,142,20.29
,,2019 - 2020,,,,5,87,17.4,,,
,,2020 - 2021,,,,,,,7,91,13
,,2021 - 2022,,,,2,51,25.5,3,77,25.67
,,2022 - 2023,,,,,,,10,188,18.8
,12. Kurnool,2000 - 2001,5,68,13.6,,,,,,
,,2001 - 2002,16,212,13.25,,,,,,
,,2002 - 2003,17,184,10.82,,,,,,
,,2003 - 2004,15,108,7.2,,,,,,
,,2004 - 2005,26,53,2.04,,,,,,
,,2005 - 2006,8,42,5.25,,,,,,
,,2006 - 2007,6,33,5.5,,,,,,
,,2008 - 2009,7,40,5.71,,,,,,
,,2009 - 2010,74,436,5.89,,,,,,
,,2010 - 2011,6,77,12.83,,,,,,
,,2011 - 2012,41,527,12.85,,,,,,
,,2015 - 2016,,,,17,207,12.18,,,
,,2019 - 2020,,,,,,,4,64,16
,13. Nandyal,2022 - 2023,,,,,,,1,19,19
,14. Prakasam,2000 - 2001,542,"10,129.00",18.69,,,,,,
,,2001 - 2002,605,"9,829.00",16.25,,,,,,
,,2002 - 2003,425,"4,655.00",10.95,,,,,,
,,2003 - 2004,317,"2,100.00",6.62,,,,,,
,,2004 - 2005,215,"2,187.00",10.17,,,,,,
,,2005 - 2006,245,"3,164.00",12.91,,,,,,
,,2006 - 2007,159,"2,487.00",15.64,,,,,,
,,2008 - 2009,204,"4,280.00",20.98,,,,,,
,,2009 - 2010,129,"2,484.00",19.26,,,,,,
,,2010 - 2011,137,"1,918.00",14,,,,,,
,,2011 - 2012,99,"1,571.00",15.87,,,,,,
,,2012 - 2013,,,,58,558,9.62,,,
,,2013 - 2014,,,,81,711,8.78,,,
,,2014 - 2015,,,,170,"2,434.00",14.32,,,
,,2015 - 2016,,,,74,"1,281.00",17.31,,,
,,2016 - 2017,,,,58,"1,303.00",22.47,,,
,,2017 - 2018,,,,150,"1,485.00",9.9,,,
,,2018 - 2019,,,,191,"4,722.00",24.72,,,
,,2019 - 2020,,,,149,"1,742.00",11.69,,,
,,2020 - 2021,,,,123,"1,490.00",12.11,,,
,,2021 - 2022,,,,210,"5,804.00",27.64,2,55,27.5
,,2022 - 2023,,,,4,147,36.75,,,
,15. Spsr nellore,2000 - 2001,234,"2,341.00",10,,,,,,
,,2001 - 2002,260,"4,442.00",17.08,,,,,,
,,2002 - 2003,112,"1,174.00",10.48,,,,,,
,,2003 - 2004,85,806,9.48,,,,,,
,,2004 - 2005,138,"1,771.00",12.83,,,,,,
,,2005 - 2006,27,348,12.89,,,,,,
,,2006 - 2007,135,"1,454.00",10.77,,,,,,
,,2008 - 2009,41,558,13.61,,,,,,
,,2009 - 2010,61,359,5.89,,,,,,
,,2010 - 2011,40,512,12.8,,,,,,
,,2011 - 2012,175,"2,250.00",12.86,,,,,,
,,2012 - 2013,,,,183,"1,425.00",7.79,,,
,,2013 - 2014,,,,127,"1,114.00",8.77,12,105,8.75
,,2014 - 2015,,,,112,660,5.89,,,
,,2015 - 2016,,,,24,173,7.21,19,137,7.21
,,2016 - 2017,,,,36,553,15.36,,,
,,2017 - 2018,,,,33,387,11.73,,,
,,2018 - 2019,,,,13,264,20.31,,,
,,2019 - 2020,,,,18,314,17.44,,,
,,2020 - 2021,,,,7,115,16.43,,,
,,2021 - 2022,,,,34,873,25.68,,,
,,2022 - 2023,,,,9,136,15.11,,,
,16. Sri sathya sai,2022 - 2023,,,,1,19,19,,,
,17. Srikakulam,2000 - 2001,52,703,13.52,,,,,,
,,2001 - 2002,42,558,13.29,,,,,,
,,2002 - 2003,47,508,10.81,,,,,,
,,2003 - 2004,36,260,7.22,,,,,,
,,2004 - 2005,24,220,9.17,,,,,,
,,2005 - 2006,43,418,9.72,,,,,,
,,2006 - 2007,26,280,10.77,,,,,,
,,2008 - 2009,106,"1,442.00",13.6,,,,,,
,,2009 - 2010,40,305,7.63,,,,,,
,,2010 - 2011,50,641,12.82,,,,,,
,,2011 - 2012,60,771,12.85,,,,,,
,,2012 - 2013,,,,6,58,9.67,23,221,9.61
,,2013 - 2014,,,,,,,13,114,8.77
,,2014 - 2015,,,,,,,9,99,11
,,2015 - 2016,,,,1,12,12,1,12,12
,,2016 - 2017,,,,1,15,15,,,
,,2020 - 2021,,,,10,130,13,,,
,,2021 - 2022,,,,9,231,25.67,,,
,,2022 - 2023,,,,6,113,18.83,,,
,18. Tirupati,2022 - 2023,,,,,,,1,19,19
,19. Visakhapatanam,2000 - 2001,445,"1,977.00",4.44,,,,,,
,,2001 - 2002,428,"2,069.00",4.83,,,,,,
,,2002 - 2003,177,353,1.99,,,,,,
,,2003 - 2004,196,"1,417.00",7.23,,,,,,
,,2004 - 2005,149,369,2.48,,,,,,
,,2005 - 2006,157,404,2.57,,,,,,
,,2006 - 2007,128,334,2.61,,,,,,
,,2008 - 2009,152,394,2.59,,,,,,
,,2009 - 2010,68,167,2.46,,,,,,
,,2010 - 2011,121,"1,549.00",12.8,,,,,,
,,2011 - 2012,95,"1,222.00",12.86,,,,,,
,,2012 - 2013,,,,61,587,9.62,52,501,9.63
,,2013 - 2014,,,,52,456,8.77,45,395,8.78
,,2014 - 2015,,,,48,529,11.02,35,386,11.03
,,2015 - 2016,,,,62,507,8.18,60,491,8.18
,,2016 - 2017,,,,62,952,15.35,64,983,15.36
,,2017 - 2018,,,,64,532,8.31,49,407,8.31
,,2018 - 2019,,,,67,831,12.4,42,521,12.4
,,2019 - 2020,,,,32,392,12.25,35,444,12.69
,,2020 - 2021,,,,35,489,13.97,68,950,13.97
,,2021 - 2022,,,,17,222,13.06,37,482,13.03
,,2022 - 2023,,,,9,169,18.78,3,56,18.67
,20. Vizianagaram,2000 - 2001,53,716,13.51,,,,,,
,,2001 - 2002,54,717,13.28,,,,,,
,,2002 - 2003,44,475,10.8,,,,,,
,,2003 - 2004,38,275,7.24,,,,,,
,,2004 - 2005,32,293,9.16,,,,,,
,,2005 - 2006,38,368,9.68,,,,,,
,,2006 - 2007,38,410,10.79,,,,,,
,,2008 - 2009,20,272,13.6,,,,,,
,,2009 - 2010,15,,0,,,,,,
,,2010 - 2011,35,448,12.8,,,,,,
,,2011 - 2012,26,334,12.85,,,,,,
,,2012 - 2013,,,,63,607,9.63,3,29,9.67
,,2013 - 2014,,,,50,439,8.78,,,
,,2014 - 2015,,,,40,441,11.03,,,
,,2015 - 2016,,,,73,891,12.21,5,61,12.2
,,2016 - 2017,,,,43,359,8.35,6,50,8.33
,,2017 - 2018,,,,37,507,13.7,2,27,13.5
,,2018 - 2019,,,,34,503,14.79,2,30,15
,,2019 - 2020,,,,4,51,12.75,,,
,,2020 - 2021,,,,7,91,13,23,299,13
,,2021 - 2022,,,,10,257,25.7,8,205,25.63
,,2022 - 2023,,,,9,169,18.78,6,113,18.83
,21. West godavari,2000 - 2001,28,379,13.54,,,,,,
,,2001 - 2002,13,173,13.31,,,,,,
,,2002 - 2003,11,119,10.82,,,,,,
,,2003 - 2004,24,173,7.21,,,,,,
,,2004 - 2005,20,183,9.15,,,,,,
,,2005 - 2006,12,116,9.67,,,,,,
,,2006 - 2007,1,11,11,,,,,,
,,2008 - 2009,42,571,13.6,,,,,,
,,2009 - 2010,2,26,13,,,,,,
,,2012 - 2013,,,,2,19,9.5,,,
3. Assam,1. Baksa,2005 - 2006,137,771,5.63,,,,,,
,,2006 - 2007,299,"1,683.00",5.63,,,,,,
,,2007 - 2008,295,"1,661.00",5.63,,,,,,
,,2008 - 2009,181,"1,019.00",5.63,,,,,,
,,2009 - 2010,258,"1,453.00",5.63,,,,,,
,,2010 - 2011,116,653,5.63,,,,,,
,,2011 - 2012,185,"1,068.00",5.77,,,,,,
,,2012 - 2013,110,745,6.77,,,,,,
,,2013 - 2014,84,569,6.77,,,,,,
,,2014 - 2015,70,475,6.79,,,,,,
,,2015 - 2016,60,407,6.78,,,,,,
,,2016 - 2017,55,380,6.91,,,,,,
,,2017 - 2018,45,312,6.93,,,,,,
,,2018 - 2019,45,241,5.36,,,,,,
,,2019 - 2020,48,265,5.52,,,,,,
,,2020 - 2021,51,281,5.51,,,,,,
,,2021 - 2022,44,243,5.52,,,,,,
,,2022 - 2023,40,225,5.63,,,,,,
,2. Barpeta,2000 - 2001,645,"1,613.00",2.5,,,,,,
,,2001 - 2002,650,"1,625.00",2.5,,,,,,
,,2002 - 2003,650,"1,625.00",2.5,,,,,,
,,2003 - 2004,670,"1,675.00",2.5,,,,,,
,,2004 - 2005,590,"1,475.00",2.5,,,,,,
,,2005 - 2006,335,838,2.5,,,,,,
,,2006 - 2007,626,"1,565.00",2.5,,,,,,
,,2007 - 2008,630,"1,575.00",2.5,,,,,,
,,2008 - 2009,436,"1,090.00",2.5,,,,,,
,,2009 - 2010,656,"1,640.00",2.5,,,,,,
,,2010 - 2011,644,"1,611.00",2.5,,,,,,
,,2011 - 2012,653,"1,681.00",2.57,,,,,,
,,2012 - 2013,626,"2,235.00",3.57,,,,,,
,,2013 - 2014,579,"2,067.00",3.57,,,,,,
,,2014 - 2015,570,"2,040.00",3.58,,,,,,
,,2015 - 2016,563,"2,015.00",3.58,,,,,,
,,2016 - 2017,563,"2,239.00",3.98,,,,,,
,,2017 - 2018,560,"2,235.00",3.99,,,,,,
,,2018 - 2019,554,"1,790.00",3.23,,,,,,
,,2019 - 2020,545,"1,962.00",3.6,,,,,,
,,2020 - 2021,515,"2,139.00",4.15,,,,,,
,,2021 - 2022,438,"1,820.00",4.16,,,,,,
,,2022 - 2023,438,"1,826.00",4.17,,,,,,
,3. Biswanath,2020 - 2021,100,734,7.34,,,,,,
,,2021 - 2022,81,595,7.35,,,,,,
,,2022 - 2023,115,847,7.37,,,,,,
,4. Bongaigaon,2000 - 2001,375,"1,125.00",3,,,,,,
,,2001 - 2002,346,"1,038.00",3,,,,,,
,,2002 - 2003,327,981,3,,,,,,
,,2003 - 2004,249,747,3,,,,,,
,,2004 - 2005,308,924,3,,,,,,
,,2005 - 2006,229,687,3,,,,,,
,,2006 - 2007,222,666,3,,,,,,
,,2007 - 2008,228,684,3,,,,,,
,,2008 - 2009,204,612,3,,,,,,
,,2009 - 2010,202,606,3,,,,,,
,,2010 - 2011,189,567,3,,,,,,
,,2011 - 2012,176,535,3.04,,,,,,
,,2012 - 2013,174,564,3.24,,,,,,
,,2013 - 2014,187,605,3.24,,,,,,
,,2014 - 2015,161,524,3.25,,,,,,
,,2015 - 2016,150,488,3.25,,,,,,
,,2016 - 2017,161,542,3.37,,,,,,
,,2017 - 2018,157,530,3.38,,,,,,
,,2018 - 2019,157,669,4.26,,,,,,
,,2019 - 2020,177,774,4.37,,,,,,
,,2020 - 2021,161,705,4.38,,,,,,
,,2021 - 2022,172,752,4.37,,,,,,
,,2022 - 2023,175,775,4.43,,,,,,
,5. Cachar,2000 - 2001,155,814,5.25,,,,,,
,,2001 - 2002,155,814,5.25,,,,,,
,,2002 - 2003,160,840,5.25,,,,,,
,,2003 - 2004,176,924,5.25,,,,,,
,,2004 - 2005,182,956,5.25,,,,,,
,,2005 - 2006,187,982,5.25,,,,,,
,,2006 - 2007,195,"1,024.00",5.25,,,,,,
,,2007 - 2008,178,935,5.25,,,,,,
,,2008 - 2009,174,914,5.25,,,,,,
,,2009 - 2010,161,846,5.25,,,,,,
,,2010 - 2011,151,793,5.25,,,,,,
,,2011 - 2012,160,"1,549.00",9.68,,,,,,
,,2012 - 2013,160,"1,578.00",9.86,,,,,,
,,2013 - 2014,163,"1,608.00",9.87,,,,,,
,,2014 - 2015,164,"1,585.00",9.66,,,,,,
,,2015 - 2016,149,"1,472.00",9.88,,,,,,
,,2016 - 2017,135,"1,350.00",10,,,,,,
,,2017 - 2018,143,"1,431.00",10.01,,,,,,
,,2018 - 2019,156,"1,533.00",9.83,,,,,,
,,2019 - 2020,159,"1,081.00",6.8,,,,,,
,,2020 - 2021,166,684,4.12,,,,,,
,,2021 - 2022,166,684,4.12,,,,,,
,,2022 - 2023,182,763,4.19,,,,,,
,6. Charaideo,2020 - 2021,50,230,4.6,,,,,,
,,2021 - 2022,34,157,4.62,,,,,,
,,2022 - 2023,30,149,4.97,,,,,,
,7. Chirang,2005 - 2006,136,408,3,,,,,,
,,2006 - 2007,139,417,3,,,,,,
,,2007 - 2008,130,390,3,,,,,,
,,2008 - 2009,118,354,3,,,,,,
,,2009 - 2010,129,387,3,,,,,,
,,2010 - 2011,130,390,3,,,,,,
,,2011 - 2012,126,429,3.4,,,,,,
,,2012 - 2013,127,449,3.54,,,,,,
,,2013 - 2014,125,442,3.54,,,,,,
,,2014 - 2015,239,846,3.54,,,,,,
,,2015 - 2016,230,816,3.55,,,,,,
,,2016 - 2017,138,555,4.02,,,,,,
,,2017 - 2018,142,572,4.03,,,,,,
,,2018 - 2019,138,633,4.59,,,,,,
,,2019 - 2020,144,676,4.69,,,,,,
,,2020 - 2021,142,668,4.7,,,,,,
,,2021 - 2022,156,733,4.7,,,,,,
,,2022 - 2023,150,714,4.76,,,,,,
,8. Darrang,2000 - 2001,430,"1,075.00",2.5,,,,,,
,,2001 - 2002,440,"1,101.00",2.5,,,,,,
,,2002 - 2003,460,"1,150.00",2.5,,,,,,
,,2003 - 2004,460,"1,150.00",2.5,,,,,,
,,2004 - 2005,500,"1,250.00",2.5,,,,,,
,,2005 - 2006,235,588,2.5,,,,,,
,,2006 - 2007,206,515,2.5,,,,,,
,,2007 - 2008,125,312,2.5,,,,,,
,,2008 - 2009,185,463,2.5,,,,,,
,,2009 - 2010,183,458,2.5,,,,,,
,,2010 - 2011,200,500,2.5,,,,,,
,,2011 - 2012,256,655,2.56,,,,,,
,,2012 - 2013,160,425,2.66,,,,,,
,,2013 - 2014,154,409,2.66,,,,,,
,,2014 - 2015,133,355,2.67,,,,,,
,,2015 - 2016,132,353,2.67,,,,,,
,,2016 - 2017,115,323,2.81,,,,,,
,,2017 - 2018,127,360,2.83,,,,,,
,,2018 - 2019,102,421,4.13,,,,,,
,,2019 - 2020,106,451,4.25,,,,,,
,,2020 - 2021,107,456,4.26,,,,,,
,,2021 - 2022,104,443,4.26,,,,,,
,,2022 - 2023,105,447,4.26,,,,,,
,9. Dhemaji,2000 - 2001,155,503,3.25,,,,,,
,,2001 - 2002,153,503,3.29,,,,,,
,,2002 - 2003,143,468,3.27,,,,,,
,,2003 - 2004,146,475,3.25,,,,,,
,,2004 - 2005,107,332,3.1,,,,,,
,,2005 - 2006,139,447,3.22,,,,,,
,,2006 - 2007,106,326,3.08,,,,,,
,,2007 - 2008,116,363,3.13,,,,,,
,,2008 - 2009,117,365,3.12,,,,,,
,,2009 - 2010,105,324,3.09,,,,,,
,,2010 - 2011,108,331,3.06,,,,,,
,,2011 - 2012,91,637,7,,,,,,
,,2012 - 2013,92,656,7.13,,,,,,
,,2013 - 2014,185,"1,318.00",7.12,,,,,,
,,2014 - 2015,57,407,7.14,,,,,,
,,2015 - 2016,53,379,7.15,,,,,,
,,2016 - 2017,55,398,7.24,,,,,,
,,2017 - 2018,26,189,7.27,,,,,,
,,2018 - 2019,27,142,5.26,,,,,,
,,2019 - 2020,31,169,5.45,,,,,,
,,2020 - 2021,28,152,5.43,,,,,,
,,2021 - 2022,64,348,5.44,,,,,,
,,2022 - 2023,70,396,5.66,,,,,,
,10. Dhubri,2000 - 2001,"2,735.00","11,487.00",4.2,,,,,,
,,2001 - 2002,"2,513.00","10,554.00",4.2,,,,,,
,,2002 - 2003,"2,460.00","10,332.00",4.2,,,,,,
,,2003 - 2004,"2,474.00","10,391.00",4.2,,,,,,
,,2004 - 2005,"2,435.00","10,227.00",4.2,,,,,,
,,2005 - 2006,"2,167.00","9,101.00",4.2,,,,,,
,,2006 - 2007,"2,043.00","8,581.00",4.2,,,,,,
,,2007 - 2008,"1,397.00","5,867.00",4.2,,,,,,
,,2008 - 2009,"1,491.00","6,262.00",4.2,,,,,,
,,2009 - 2010,"1,590.00","6,677.00",4.2,,,,,,
,,2010 - 2011,"1,230.00","5,166.00",4.2,,,,,,
,,2011 - 2012,"1,195.00","3,689.00",3.09,,,,,,
,,2012 - 2013,"1,190.00","3,073.00",2.58,,,,,,
,,2013 - 2014,"1,182.00","3,052.00",2.58,,,,,,
,,2014 - 2015,"1,189.00","3,085.00",2.59,,,,,,
,,2015 - 2016,943,"2,450.00",2.6,,,,,,
,,2016 - 2017,"1,003.00","2,813.00",2.8,,,,,,
,,2017 - 2018,"1,045.00","2,946.00",2.82,,,,,,
,,2018 - 2019,"1,048.00","3,307.00",3.16,,,,,,
,,2019 - 2020,945,"3,013.00",3.19,,,,,,
,,2020 - 2021,220,"1,102.00",5.01,,,,,,
,,2021 - 2022,220,"1,102.00",5.01,,,,,,
,,2022 - 2023,229,"1,178.00",5.14,,,,,,
,11. Dibrugarh,2000 - 2001,165,361,2.19,,,,,,
,,2001 - 2002,100,29,0.29,,,,,,
,,2002 - 2003,105,230,2.19,,,,,,
,,2003 - 2004,110,241,2.19,,,,,,
,,2004 - 2005,55,120,2.18,,,,,,
,,2005 - 2006,113,247,2.19,,,,,,
,,2006 - 2007,71,155,2.18,,,,,,
,,2007 - 2008,103,226,2.19,,,,,,
,,2008 - 2009,97,212,2.19,,,,,,
,,2009 - 2010,111,243,2.19,,,,,,
,,2010 - 2011,120,263,2.19,,,,,,
,,2011 - 2012,121,392,3.24,,,,,,
,,2012 - 2013,118,404,3.42,,,,,,
,,2013 - 2014,122,417,3.42,,,,,,
,,2014 - 2015,119,408,3.43,,,,,,
,,2015 - 2016,75,257,3.43,,,,,,
,,2016 - 2017,94,343,3.65,,,,,,
,,2017 - 2018,96,351,3.66,,,,,,
,,2018 - 2019,88,405,4.6,,,,,,
,,2019 - 2020,90,426,4.73,,,,,,
,,2020 - 2021,90,426,4.73,,,,,,
,,2021 - 2022,86,407,4.73,,,,,,
,,2022 - 2023,83,399,4.81,,,,,,
,12. Dima hasao,2000 - 2001,39,191,4.9,,,,,,
,,2001 - 2002,41,201,4.9,,,,,,
,,2002 - 2003,44,216,4.91,,,,,,
,,2003 - 2004,45,216,4.8,,,,,,
,,2004 - 2005,45,221,4.91,,,,,,
,,2005 - 2006,46,221,4.8,,,,,,
,,2006 - 2007,49,240,4.9,,,,,,
,,2007 - 2008,57,279,4.89,,,,,,
,,2008 - 2009,55,270,4.91,,,,,,
,,2009 - 2010,60,294,4.9,,,,,,
,,2010 - 2011,73,358,4.9,,,,,,
,,2011 - 2012,76,380,5,,,,,,
,,2012 - 2013,97,489,5.04,,,,,,
,,2013 - 2014,107,539,5.04,,,,,,
,,2014 - 2015,107,541,5.06,,,,,,
