state,district,year,potato_whole_year_yield_tonne_per_hectare
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raipur,2000 - 2001,8.35
,,2001 - 2002,8.04
,,2002 - 2003,7.74
,,2003 - 2004,5.74
,,2004 - 2005,6.64
,,2005 - 2006,5.19
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,6.0
,,2010 - 2011,5.9
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajnandgaon,2000 - 2001,6.43
,,2001 - 2002,6.33
,,2002 - 2003,6.25
,,2003 - 2004,4.73
,,2004 - 2005,5.56
,,2005 - 2006,5.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,4.0
,,2010 - 2011,4.35
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sakti,2022 - 2023,
,Sarangarh bilaigarh,2022 - 2023,
,Sukma,2017 - 2018,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Surajpur,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Surguja,2000 - 2001,7.29
,,2001 - 2002,6.99
,,2002 - 2003,6.31
,,2003 - 2004,4.67
,,2004 - 2005,5.48
,,2005 - 2006,4.69
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,3.26
,,2010 - 2011,3.96
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Delhi,Delhi_total,2008 - 2009,16.77
,,2009 - 2010,249.99
,,2010 - 2011,311.02
,,2011 - 2012,311.0
,,2012 - 2013,21.27
,,2013 - 2014,21.27
,,2014 - 2015,21.27
Gujarat,Ahmadabad,2000 - 2001,20.6
,,2001 - 2002,21.76
,,2002 - 2003,22.78
,,2007 - 2008,23.93
,,2014 - 2015,25.67
,,2016 - 2017,25.65
,,2017 - 2018,27.67
,,2019 - 2020,30.24
,,2020 - 2021,31.21
,,2021 - 2022,30.9
,Amreli,2013 - 2014,26.56
,Anand,2003 - 2004,22.77
,,2004 - 2005,20.61
,,2005 - 2006,20.76
,,2006 - 2007,20.62
,,2007 - 2008,20.63
,,2008 - 2009,17.18
,,2009 - 2010,16.43
,,2010 - 2011,16.9
,,2011 - 2012,21.83
,,2012 - 2013,20.34
,,2013 - 2014,22.11
,,2014 - 2015,20.16
,,2015 - 2016,16.82
,,2016 - 2017,21.05
,,2017 - 2018,20.61
,,2018 - 2019,20.3
,,2019 - 2020,20.35
,,2020 - 2021,19.8
,,2021 - 2022,19.34
,,2022 - 2023,26.46
,Aravalli,2014 - 2015,29.58
,,2015 - 2016,24.64
,,2016 - 2017,28.34
,,2017 - 2018,26.55
,,2018 - 2019,33.68
,,2019 - 2020,27.49
,,2020 - 2021,35.63
,,2021 - 2022,36.52
,,2022 - 2023,29.77
,Banas kantha,2000 - 2001,25.91
,,2001 - 2002,30.67
,,2002 - 2003,26.25
,,2003 - 2004,28.07
,,2004 - 2005,30.17
,,2005 - 2006,30.99
,,2006 - 2007,21.22
,,2007 - 2008,27.2
,,2008 - 2009,23.88
,,2009 - 2010,24.4
,,2010 - 2011,25.9
,,2011 - 2012,23.63
,,2012 - 2013,25.93
,,2013 - 2014,27.69
,,2014 - 2015,25.42
,,2015 - 2016,27.65
,,2016 - 2017,26.06
,,2017 - 2018,30.6
,,2018 - 2019,29.74
,,2019 - 2020,30.65
,,2020 - 2021,30.75
,,2021 - 2022,30.53
,,2022 - 2023,25.35
,Devbhumi dwarka,2014 - 2015,25.68
,,2015 - 2016,25.4
,,2016 - 2017,25.66
,,2017 - 2018,28.78
,,2018 - 2019,30.13
,,2019 - 2020,30.23
,,2020 - 2021,31.21
,,2021 - 2022,30.9
,,2022 - 2023,31.77
,Dohad,2014 - 2015,25.67
,,2018 - 2019,30.0
,Gandhinagar,2000 - 2001,19.17
,,2001 - 2002,23.0
,,2002 - 2003,23.17
,,2003 - 2004,20.36
,,2004 - 2005,23.91
,,2005 - 2006,22.77
,,2006 - 2007,24.63
,,2007 - 2008,25.73
,,2008 - 2009,20.82
,,2009 - 2010,22.61
,,2010 - 2011,24.38
,,2011 - 2012,26.03
,,2012 - 2013,25.0
,,2013 - 2014,24.7
,,2014 - 2015,28.98
,,2015 - 2016,25.91
,,2016 - 2017,23.84
,,2017 - 2018,27.6
,,2018 - 2019,29.47
,,2019 - 2020,31.96
,,2020 - 2021,30.63
,,2021 - 2022,29.52
,,2022 - 2023,31.77
,Gir somnath,2021 - 2022,31.0
,Jamnagar,2000 - 2001,28.0
,,2002 - 2003,16.0
,,2003 - 2004,22.75
,,2004 - 2005,26.14
,,2005 - 2006,28.4
,,2006 - 2007,20.5
,,2007 - 2008,23.83
,,2008 - 2009,20.91
,,2009 - 2010,20.89
,,2010 - 2011,23.27
,,2011 - 2012,21.8
,,2012 - 2013,31.0
,,2013 - 2014,26.56
,,2014 - 2015,25.7
,,2016 - 2017,25.67
,,2017 - 2018,28.78
,,2020 - 2021,31.0
,,2021 - 2022,31.0
,Kachchh,2000 - 2001,24.0
,,2001 - 2002,27.0
,,2002 - 2003,21.0
,,2003 - 2004,19.0
,,2005 - 2006,33.33
,,2006 - 2007,19.0
,,2007 - 2008,23.5
,,2008 - 2009,27.5
,,2009 - 2010,10.0
,,2010 - 2011,21.67
,,2011 - 2012,19.0
,,2012 - 2013,21.0
,,2013 - 2014,26.56
,,2014 - 2015,25.67
,,2015 - 2016,25.4
,,2016 - 2017,25.66
,,2017 - 2018,28.8
,,2018 - 2019,30.1
,,2019 - 2020,30.25
,,2022 - 2023,32.43
,Kheda,2000 - 2001,16.97
,,2001 - 2002,19.42
,,2002 - 2003,17.75
,,2003 - 2004,19.73
,,2004 - 2005,28.05
,,2005 - 2006,27.33
,,2006 - 2007,18.64
,,2007 - 2008,22.82
,,2008 - 2009,16.67
,,2009 - 2010,16.45
,,2010 - 2011,19.57
,,2011 - 2012,23.05
,,2012 - 2013,19.98
,,2013 - 2014,23.94
,,2014 - 2015,25.87
,,2015 - 2016,19.73
,,2016 - 2017,20.91
,,2017 - 2018,20.43
,,2018 - 2019,22.86
,,2019 - 2020,27.81
,,2020 - 2021,25.34
,,2021 - 2022,26.14
,,2022 - 2023,28.52
,Mahesana,2000 - 2001,18.36
,,2001 - 2002,18.36
,,2002 - 2003,16.42
,,2003 - 2004,21.82
,,2004 - 2005,23.26
,,2005 - 2006,26.37
,,2006 - 2007,22.49
,,2007 - 2008,26.46
,,2008 - 2009,19.81
,,2009 - 2010,21.28
,,2010 - 2011,23.98
,,2011 - 2012,25.53
,,2012 - 2013,25.76
,,2013 - 2014,27.18
,,2014 - 2015,24.18
,,2015 - 2016,23.94
,,2016 - 2017,24.49
,,2017 - 2018,25.89
,,2018 - 2019,30.7
,,2019 - 2020,30.34
,,2020 - 2021,29.8
,,2021 - 2022,28.6
,,2022 - 2023,32.52
,Mahisagar,2014 - 2015,25.67
,,2015 - 2016,25.4
,,2016 - 2017,25.66
,,2017 - 2018,28.79
,,2018 - 2019,30.1
,,2019 - 2020,30.23
,,2020 - 2021,31.21
,,2021 - 2022,30.91
,,2022 - 2023,31.77
,Panch mahals,2005 - 2006,17.0
,,2006 - 2007,19.0
,,2007 - 2008,31.0
,,2008 - 2009,25.0
,,2009 - 2010,22.17
,,2010 - 2011,18.5
,,2011 - 2012,24.33
,,2012 - 2013,11.0
,,2013 - 2014,26.55
,,2015 - 2016,25.4
,,2016 - 2017,25.66
,,2017 - 2018,28.77
,,2019 - 2020,30.2
,,2020 - 2021,31.0
,,2022 - 2023,31.8
,Patan,2003 - 2004,26.0
,,2004 - 2005,30.0
,,2005 - 2006,33.0
,,2006 - 2007,21.0
,,2007 - 2008,21.0
,,2008 - 2009,20.33
,,2009 - 2010,21.8
,,2010 - 2011,22.43
,,2011 - 2012,22.71
,,2012 - 2013,22.8
,,2013 - 2014,26.56
,,2014 - 2015,25.67
,,2015 - 2016,25.4
,,2016 - 2017,25.66
,,2017 - 2018,27.21
,,2018 - 2019,24.79
,,2019 - 2020,26.31
,,2020 - 2021,27.14
,,2021 - 2022,26.79
,,2022 - 2023,28.43
,Rajkot,2011 - 2012,13.0
,,2021 - 2022,31.0
,Sabar kantha,2000 - 2001,17.81
,,2001 - 2002,22.08
,,2002 - 2003,17.82
,,2003 - 2004,18.53
,,2004 - 2005,23.13
,,2005 - 2006,25.46
,,2006 - 2007,19.18
,,2007 - 2008,20.73
,,2008 - 2009,17.93
,,2009 - 2010,13.07
,,2010 - 2011,19.11
,,2011 - 2012,19.87
,,2012 - 2013,25.75
,,2013 - 2014,26.64
,,2014 - 2015,22.7
,,2015 - 2016,22.44
,,2016 - 2017,23.18
,,2017 - 2018,28.47
,,2018 - 2019,31.83
,,2019 - 2020,33.18
,,2020 - 2021,31.63
,,2021 - 2022,31.06
,,2022 - 2023,34.01
,Surat,2011 - 2012,14.0
,,2018 - 2019,30.0
,Surendranagar,2009 - 2010,16.0
,,2012 - 2013,20.0
,,2013 - 2014,26.56
,,2014 - 2015,25.67
,,2015 - 2016,25.4
,,2016 - 2017,25.67
,,2017 - 2018,28.8
,Vadodara,2000 - 2001,21.2
,,2001 - 2002,21.67
,,2002 - 2003,21.0
,,2003 - 2004,22.43
,,2004 - 2005,29.6
,,2005 - 2006,25.67
,,2006 - 2007,18.75
,,2007 - 2008,26.25
,,2008 - 2009,19.5
,,2009 - 2010,21.67
,,2010 - 2011,21.67
,,2011 - 2012,22.67
,,2012 - 2013,24.0
,,2013 - 2014,26.56
,,2014 - 2015,25.67
,,2015 - 2016,25.4
,,2016 - 2017,25.66
,,2017 - 2018,28.78
,,2018 - 2019,30.1
,,2019 - 2020,30.24
,,2020 - 2021,31.21
,,2021 - 2022,30.9
,,2022 - 2023,31.78
Haryana,Ambala,2000 - 2001,15.73
,,2001 - 2002,22.08
,,2002 - 2003,27.13
,,2003 - 2004,27.03
,,2004 - 2005,26.99
,,2005 - 2006,26.98
,,2006 - 2007,26.99
,,2007 - 2008,12.38
,,2008 - 2009,10.7
,,2009 - 2010,15.67
,,2010 - 2011,20.1
,,2011 - 2012,22.04
,,2012 - 2013,24.05
,,2013 - 2014,24.26
,,2014 - 2015,23.5
,,2015 - 2016,23.32
,,2016 - 2017,23.56
,,2017 - 2018,26.47
,,2018 - 2019,28.57
,,2019 - 2020,23.51
,,2021 - 2022,23.5
,Bhiwani,2000 - 2001,18.18
,,2001 - 2002,19.35
,,2007 - 2008,0.0
,,2013 - 2014,23.24
,,2014 - 2015,23.98
,,2015 - 2016,24.91
,,2016 - 2017,23.98
,,2017 - 2018,25.85
,,2018 - 2019,25.85
,,2019 - 2020,25.36
,Charki dadri,2018 - 2019,25.85
,,2019 - 2020,26.53
,Faridabad,2000 - 2001,15.15
,,2001 - 2002,20.56
,,2002 - 2003,19.02
,,2003 - 2004,19.52
,,2004 - 2005,18.82
,,2005 - 2006,18.88
,,2006 - 2007,19.13
,,2008 - 2009,22.35
,,2009 - 2010,21.62
,,2013 - 2014,20.04
,,2014 - 2015,23.98
,,2015 - 2016,24.91
,,2016 - 2017,19.45
,,2017 - 2018,25.86
,,2018 - 2019,19.5
,,2019 - 2020,19.9
,Fatehabad,2000 - 2001,15.69
,,2001 - 2002,22.58
,,2002 - 2003,25.49
,,2003 - 2004,25.51
,,2004 - 2005,25.79
,,2005 - 2006,25.62
,,2006 - 2007,25.5
,,2007 - 2008,15.83
,,2008 - 2009,28.68
,,2009 - 2010,23.53
,,2010 - 2011,29.38
,,2011 - 2012,19.8
,,2012 - 2013,20.89
,,2013 - 2014,25.13
,,2014 - 2015,23.05
,,2015 - 2016,26.27
,,2016 - 2017,27.0
,,2017 - 2018,25.8
,,2018 - 2019,27.0
,,2019 - 2020,26.55
,,2021 - 2022,14.5
,Gurgaon,2000 - 2001,18.52
,,2001 - 2002,25.0
,,2002 - 2003,25.0
,,2006 - 2007,0.0
,,2010 - 2011,33.33
,,2011 - 2012,25.0
,,2013 - 2014,23.24
,,2014 - 2015,23.98
,,2015 - 2016,24.91
,,2016 - 2017,23.88
,,2017 - 2018,25.85
,,2018 - 2019,25.84
,,2019 - 2020,24.88
,Hisar,2000 - 2001,15.81
,,2001 - 2002,18.6
,,2002 - 2003,17.24
,,2003 - 2004,17.72
,,2004 - 2005,17.5
,,2005 - 2006,17.2
,,2006 - 2007,17.59
,,2007 - 2008,16.8
,,2008 - 2009,14.47
,,2009 - 2010,18.5
,,2010 - 2011,16.56
,,2011 - 2012,13.97
,,2012 - 2013,23.45
,,2013 - 2014,24.0
,,2014 - 2015,23.98
,,2015 - 2016,24.7
,,2016 - 2017,25.05
,,2017 - 2018,25.85
,,2018 - 2019,25.4
,,2019 - 2020,25.37
,Jhajjar,2001 - 2002,20.0
,,2002 - 2003,19.05
,,2003 - 2004,15.79
,,2004 - 2005,20.0
,,2005 - 2006,16.67
,,2006 - 2007,25.0
,,2013 - 2014,23.24
,,2014 - 2015,23.98
,,2015 - 2016,24.91
,,2016 - 2017,19.6
,,2017 - 2018,28.0
,,2018 - 2019,25.86
,,2019 - 2020,23.48
,,2021 - 2022,0.0
,Jind,2005 - 2006,26.67
,,2010 - 2011,25.81
,,2011 - 2012,22.22
,,2012 - 2013,22.44
,,2013 - 2014,22.68
,,2014 - 2015,23.78
,,2015 - 2016,26.1
,,2016 - 2017,23.54
,,2017 - 2018,30.77
,,2018 - 2019,27.0
,,2019 - 2020,27.07
,,2021 - 2022,15.5
,Kaithal,2000 - 2001,15.74
,,2001 - 2002,17.82
,,2002 - 2003,23.79
,,2003 - 2004,23.86
,,2004 - 2005,23.62
,,2005 - 2006,24.27
,,2006 - 2007,23.89
,,2007 - 2008,16.35
,,2008 - 2009,15.97
,,2009 - 2010,20.18
,,2010 - 2011,21.63
,,2011 - 2012,33.33
,,2012 - 2013,25.57
,,2013 - 2014,24.43
,,2014 - 2015,23.98
,,2015 - 2016,24.91
,,2016 - 2017,24.99
,,2017 - 2018,25.85
,,2018 - 2019,22.1
,,2019 - 2020,24.22
,,2021 - 2022,16.5
,Karnal,2000 - 2001,18.31
,,2001 - 2002,26.62
,,2002 - 2003,23.23
,,2003 - 2004,23.22
,,2004 - 2005,23.29
,,2005 - 2006,23.23
,,2006 - 2007,23.24
,,2007 - 2008,17.14
,,2008 - 2009,20.92
,,2009 - 2010,16.47
,,2010 - 2011,21.23
,,2011 - 2012,20.06
,,2012 - 2013,24.56
,,2013 - 2014,24.18
,,2014 - 2015,24.48
,,2015 - 2016,25.95
,,2016 - 2017,27.68
,,2017 - 2018,26.24
,,2018 - 2019,24.63
,,2019 - 2020,26.55
,,2021 - 2022,18.0
,Kurukshetra,2000 - 2001,13.46
,,2001 - 2002,19.39
,,2002 - 2003,25.76
,,2003 - 2004,25.75
,,2004 - 2005,25.75
,,2005 - 2006,25.51
,,2006 - 2007,25.74
,,2007 - 2008,20.27
,,2008 - 2009,26.64
,,2009 - 2010,2.69
,,2010 - 2011,22.86
,,2011 - 2012,23.06
,,2012 - 2013,23.07
,,2013 - 2014,23.39
,,2014 - 2015,24.28
,,2015 - 2016,25.07
,,2016 - 2017,26.65
,,2017 - 2018,26.05
,,2018 - 2019,27.42
,,2019 - 2020,26.77
,,2021 - 2022,19.5
,Mahendragarh,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,16.67
,,2013 - 2014,23.29
,,2014 - 2015,24.0
,,2015 - 2016,24.9
,,2016 - 2017,23.17
,,2017 - 2018,25.85
,,2018 - 2019,25.85
,,2019 - 2020,25.06
,Mewat,2013 - 2014,23.24
,,2015 - 2016,24.91
,,2016 - 2017,25.98
,,2017 - 2018,25.85
,,2018 - 2019,25.83
,,2019 - 2020,25.91
,,2021 - 2022,12.5
,Palwal,2008 - 2009,24.0
,,2009 - 2010,20.59
,,2013 - 2014,23.24
,,2014 - 2015,23.98
,,2015 - 2016,24.91
,,2016 - 2017,28.7
,,2017 - 2018,25.85
,,2018 - 2019,25.85
,,2019 - 2020,27.56
,,2021 - 2022,0.0
,Panchkula,2000 - 2001,18.18
,,2001 - 2002,22.44
,,2002 - 2003,24.09
,,2003 - 2004,23.99
,,2004 - 2005,24.11
,,2005 - 2006,24.03
,,2006 - 2007,24.18
,,2007 - 2008,19.51
,,2008 - 2009,21.14
,,2009 - 2010,25.56
,,2010 - 2011,25.0
,,2011 - 2012,18.96
,,2012 - 2013,19.49
,,2013 - 2014,20.65
,,2014 - 2015,21.73
,,2015 - 2016,20.62
,,2016 - 2017,21.73
,,2017 - 2018,24.01
,,2018 - 2019,32.22
,,2019 - 2020,25.92
,,2021 - 2022,14.0
,Panipat,2000 - 2001,21.05
,,2001 - 2002,28.21
,,2002 - 2003,213.85
,,2003 - 2004,23.91
,,2004 - 2005,23.79
,,2005 - 2006,24.04
,,2006 - 2007,23.91
,,2007 - 2008,18.18
,,2008 - 2009,2.7
,,2009 - 2010,17.54
,,2010 - 2011,18.9
,,2011 - 2012,25.17
,,2012 - 2013,20.22
,,2013 - 2014,20.83
,,2014 - 2015,22.03
,,2015 - 2016,23.83
,,2016 - 2017,19.22
,,2017 - 2018,25.69
,,2018 - 2019,25.06
,,2019 - 2020,22.94
,,2020 - 2021,0.0
,,2021 - 2022,16.0
,Rewari,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,33.33
,,2005 - 2006,0.0
,,2011 - 2012,7.14
,,2013 - 2014,23.25
,,2014 - 2015,23.96
,,2015 - 2016,24.93
,,2016 - 2017,22.57
,,2017 - 2018,25.85
,,2018 - 2019,25.83
,,2019 - 2020,24.83
,,2021 - 2022,0.0
,Rohtak,2000 - 2001,16.06
,,2001 - 2002,18.12
,,2002 - 2003,15.72
,,2003 - 2004,15.79
,,2012 - 2013,22.92
,,2013 - 2014,23.24
,,2014 - 2015,24.02
,,2015 - 2016,24.91
,,2016 - 2017,26.49
,,2017 - 2018,24.75
,,2018 - 2019,30.9
,,2019 - 2020,25.98
,Sirsa,2000 - 2001,16.67
,,2001 - 2002,15.0
,,2003 - 2004,26.67
,,2005 - 2006,26.32
,,2006 - 2007,26.25
,,2007 - 2008,10.75
,,2008 - 2009,18.52
,,2009 - 2010,15.09
,,2010 - 2011,18.33
,,2011 - 2012,27.69
,,2012 - 2013,22.37
,,2013 - 2014,22.38
,,2014 - 2015,23.98
,,2015 - 2016,24.49
,,2016 - 2017,44.32
,,2017 - 2018,25.85
,,2018 - 2019,24.59
,,2019 - 2020,29.97
,,2021 - 2022,13.0
,Sonipat,2000 - 2001,15.52
,,2001 - 2002,26.44
,,2002 - 2003,26.39
,,2003 - 2004,26.42
,,2004 - 2005,26.36
,,2005 - 2006,26.37
,,2006 - 2007,24.0
,,2007 - 2008,18.86
,,2008 - 2009,22.72
,,2009 - 2010,20.14
,,2010 - 2011,27.15
,,2011 - 2012,19.0
,,2012 - 2013,25.66
,,2013 - 2014,25.29
,,2014 - 2015,23.05
,,2015 - 2016,26.05
,,2016 - 2017,23.32
,,2017 - 2018,26.31
,,2018 - 2019,26.3
,,2019 - 2020,25.49
,,2021 - 2022,13.0
,Yamunanagar,2000 - 2001,15.65
,,2001 - 2002,21.24
,,2002 - 2003,21.31
,,2003 - 2004,21.3
,,2004 - 2005,21.27
,,2005 - 2006,21.22
,,2006 - 2007,21.28
,,2007 - 2008,20.31
,,2008 - 2009,19.33
,,2009 - 2010,24.67
,,2010 - 2011,23.58
,,2011 - 2012,15.0
,,2012 - 2013,22.41
,,2013 - 2014,22.71
,,2014 - 2015,25.32
,,2015 - 2016,25.52
,,2016 - 2017,20.88
,,2017 - 2018,24.69
,,2018 - 2019,21.41
,,2019 - 2020,24.84
,,2021 - 2022,19.0
Himachal Pradesh,Bilaspur,2001 - 2002,7.78
,,2002 - 2003,10.0
,,2003 - 2004,11.54
,,2004 - 2005,9.95
,,2005 - 2006,2.88
,,2006 - 2007,4.31
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Chamba,2001 - 2002,10.39
,,2002 - 2003,9.67
,,2003 - 2004,11.3
,,2004 - 2005,11.6
,,2005 - 2006,7.11
,,2006 - 2007,9.13
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Hamirpur,2001 - 2002,7.82
,,2002 - 2003,10.0
,,2003 - 2004,11.57
,,2004 - 2005,10.0
,,2005 - 2006,2.22
,,2006 - 2007,10.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kangra,2001 - 2002,7.78
,,2002 - 2003,9.67
,,2003 - 2004,13.22
,,2004 - 2005,12.72
,,2005 - 2006,2.6
,,2006 - 2007,7.69
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kinnaur,2001 - 2002,5.03
,,2002 - 2003,6.61
,,2003 - 2004,7.86
,,2004 - 2005,10.96
,,2005 - 2006,8.04
,,2006 - 2007,8.71
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kullu,2001 - 2002,7.93
,,2002 - 2003,8.25
,,2003 - 2004,8.67
,,2004 - 2005,5.68
,,2005 - 2006,5.03
,,2006 - 2007,5.66
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Lahul and spiti,2001 - 2002,14.44
,,2002 - 2003,13.7
,,2003 - 2004,15.79
,,2004 - 2005,13.68
,,2005 - 2006,17.89
,,2006 - 2007,29.2
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Mandi,2001 - 2002,8.73
,,2002 - 2003,14.05
,,2003 - 2004,13.28
,,2004 - 2005,14.51
,,2005 - 2006,7.52
,,2006 - 2007,8.38
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Shimla,2002 - 2003,6.61
,,2003 - 2004,10.76
,,2004 - 2005,8.56
,,2005 - 2006,6.47
,,2006 - 2007,9.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sirmaur,2001 - 2002,7.9
,,2002 - 2003,13.61
,,2003 - 2004,10.79
,,2004 - 2005,5.73
,,2005 - 2006,6.76
,,2006 - 2007,15.31
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Solan,2001 - 2002,7.81
,,2002 - 2003,9.98
,,2003 - 2004,11.53
,,2004 - 2005,9.96
,,2005 - 2006,5.23
,,2006 - 2007,5.82
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Una,2001 - 2002,9.84
,,2002 - 2003,8.57
,,2003 - 2004,11.53
,,2004 - 2005,9.91
,,2005 - 2006,7.88
,,2006 - 2007,7.44
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
Jammu and Kashmir,Anantnag,2001 - 2002,11.66
,,2002 - 2003,12.42
,,2003 - 2004,15.34
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Badgam,2001 - 2002,13.62
,,2002 - 2003,13.52
,,2003 - 2004,12.55
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bandipora,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
