state,district,year,potato_whole_year_yield_tonne_per_hectare
,,2010 - 2011,7.73
,,2011 - 2012,6.98
,,2012 - 2013,5.42
,,2013 - 2014,15.71
,,2014 - 2015,10.63
,,2015 - 2016,3.58
,,2016 - 2017,7.18
,,2017 - 2018,6.85
,,2018 - 2019,14.7
,,2019 - 2020,9.9
,,2020 - 2021,6.56
,,2021 - 2022,7.07
,,2022 - 2023,9.85
,Karbi anglong,2000 - 2001,8.04
,,2001 - 2002,8.79
,,2002 - 2003,9.65
,,2003 - 2004,5.82
,,2004 - 2005,10.53
,,2005 - 2006,7.37
,,2006 - 2007,9.47
,,2007 - 2008,8.44
,,2008 - 2009,8.54
,,2009 - 2010,10.53
,,2010 - 2011,11.85
,,2011 - 2012,9.35
,,2012 - 2013,7.43
,,2013 - 2014,9.66
,,2014 - 2015,9.09
,,2015 - 2016,8.67
,,2016 - 2017,9.07
,,2017 - 2018,8.42
,,2018 - 2019,7.5
,,2019 - 2020,7.22
,,2020 - 2021,7.35
,,2021 - 2022,12.45
,,2022 - 2023,12.77
,Karimganj,2000 - 2001,5.14
,,2001 - 2002,5.29
,,2002 - 2003,3.95
,,2003 - 2004,3.69
,,2004 - 2005,3.65
,,2005 - 2006,1.79
,,2006 - 2007,4.1
,,2007 - 2008,3.45
,,2008 - 2009,3.4
,,2009 - 2010,4.03
,,2010 - 2011,3.42
,,2011 - 2012,3.25
,,2012 - 2013,6.64
,,2013 - 2014,4.57
,,2014 - 2015,4.92
,,2015 - 2016,4.48
,,2016 - 2017,7.42
,,2017 - 2018,8.52
,,2018 - 2019,7.58
,,2019 - 2020,5.79
,,2020 - 2021,6.98
,,2021 - 2022,4.32
,,2022 - 2023,5.7
,Kokrajhar,2000 - 2001,9.11
,,2001 - 2002,12.08
,,2002 - 2003,12.52
,,2003 - 2004,10.6
,,2004 - 2005,11.08
,,2005 - 2006,5.55
,,2006 - 2007,8.57
,,2007 - 2008,8.05
,,2008 - 2009,9.83
,,2009 - 2010,9.62
,,2010 - 2011,9.63
,,2011 - 2012,8.2
,,2012 - 2013,14.46
,,2013 - 2014,12.1
,,2014 - 2015,10.42
,,2015 - 2016,10.57
,,2016 - 2017,11.66
,,2017 - 2018,9.89
,,2018 - 2019,11.44
,,2019 - 2020,8.7
,,2020 - 2021,10.26
,,2021 - 2022,9.7
,,2022 - 2023,12.67
,Lakhimpur,2000 - 2001,4.73
,,2001 - 2002,5.77
,,2002 - 2003,6.68
,,2003 - 2004,5.28
,,2004 - 2005,6.83
,,2005 - 2006,4.49
,,2006 - 2007,5.45
,,2007 - 2008,6.18
,,2008 - 2009,4.99
,,2009 - 2010,5.4
,,2010 - 2011,5.32
,,2011 - 2012,6.22
,,2012 - 2013,7.4
,,2013 - 2014,6.94
,,2014 - 2015,4.42
,,2015 - 2016,4.46
,,2016 - 2017,4.35
,,2017 - 2018,4.45
,,2018 - 2019,6.81
,,2019 - 2020,5.69
,,2020 - 2021,4.6
,,2021 - 2022,4.48
,,2022 - 2023,7.49
,Majuli,2020 - 2021,5.19
,,2021 - 2022,6.28
,,2022 - 2023,7.56
,Marigaon,2000 - 2001,4.98
,,2001 - 2002,6.31
,,2002 - 2003,4.36
,,2003 - 2004,5.64
,,2004 - 2005,5.52
,,2005 - 2006,5.33
,,2006 - 2007,4.89
,,2007 - 2008,6.04
,,2008 - 2009,5.46
,,2009 - 2010,6.66
,,2010 - 2011,4.64
,,2011 - 2012,7.76
,,2012 - 2013,7.06
,,2013 - 2014,5.2
,,2014 - 2015,5.05
,,2015 - 2016,4.89
,,2016 - 2017,6.14
,,2017 - 2018,8.85
,,2018 - 2019,5.51
