state,district,year,potato_rabi_yield_tonne_per_hectare
,,2015 - 2016,8.02
,,2016 - 2017,9.75
,,2020 - 2021,11.27
,Dhanbad,2006 - 2007,8.14
,,2007 - 2008,8.47
,,2008 - 2009,4.83
,,2009 - 2010,2.54
,,2010 - 2011,4.09
,,2011 - 2012,16.1
,,2012 - 2013,5.19
,,2013 - 2014,5.55
,,2014 - 2015,3.78
,,2015 - 2016,4.1
,,2016 - 2017,8.34
,,2020 - 2021,7.19
,Dumka,2004 - 2005,5.29
,,2005 - 2006,10.13
,,2006 - 2007,9.91
,,2007 - 2008,8.4
,,2008 - 2009,2.13
,,2009 - 2010,6.46
,,2010 - 2011,3.68
,,2011 - 2012,11.7
,,2012 - 2013,9.16
,,2013 - 2014,3.76
,,2014 - 2015,12.66
,,2015 - 2016,2.98
,,2016 - 2017,19.69
,,2020 - 2021,10.03
,East singhbum,2006 - 2007,8.11
,,2007 - 2008,3.32
,,2008 - 2009,1.4
,,2009 - 2010,5.35
,,2010 - 2011,1.74
,,2011 - 2012,3.83
,,2012 - 2013,1.72
,,2013 - 2014,1.89
,,2014 - 2015,2.14
,,2015 - 2016,3.82
,,2016 - 2017,15.36
,,2020 - 2021,4.76
,Garhwa,2005 - 2006,6.46
,,2006 - 2007,6.53
,,2007 - 2008,7.55
,,2008 - 2009,6.26
,,2009 - 2010,7.9
,,2010 - 2011,6.52
,,2011 - 2012,6.87
,,2012 - 2013,7.22
,,2013 - 2014,6.44
,,2014 - 2015,5.49
,,2015 - 2016,6.41
,,2016 - 2017,5.15
,,2020 - 2021,5.79
,Giridih,2002 - 2003,12.7
,,2003 - 2004,14.06
,,2004 - 2005,12.92
,,2005 - 2006,13.86
,,2006 - 2007,12.51
,,2007 - 2008,10.14
,,2008 - 2009,14.21
,,2009 - 2010,10.64
,,2010 - 2011,6.64
,,2011 - 2012,4.7
,,2012 - 2013,6.81
,,2013 - 2014,1.89
,,2014 - 2015,6.14
,,2015 - 2016,0.68
,,2016 - 2017,6.9
,,2020 - 2021,6.39
,Godda,2005 - 2006,8.04
,,2006 - 2007,7.86
,,2007 - 2008,6.59
,,2008 - 2009,8.04
,,2009 - 2010,9.26
,,2010 - 2011,6.75
,,2011 - 2012,5.38
,,2012 - 2013,5.26
,,2013 - 2014,5.5
,,2014 - 2015,4.67
,,2015 - 2016,11.85
,,2016 - 2017,13.56
,,2020 - 2021,7.52
,Gumla,2002 - 2003,3.32
,,2003 - 2004,4.01
,,2005 - 2006,3.39
,,2006 - 2007,4.1
,,2007 - 2008,6.1
,,2008 - 2009,4.86
,,2009 - 2010,6.0
,,2010 - 2011,3.77
,,2011 - 2012,8.41
,,2012 - 2013,7.87
,,2013 - 2014,7.94
,,2014 - 2015,7.42
,,2015 - 2016,6.64
,,2016 - 2017,7.63
,,2020 - 2021,8.18
,Hazaribagh,2002 - 2003,6.79
,,2003 - 2004,7.5
,,2004 - 2005,7.37
,,2005 - 2006,6.17
,,2006 - 2007,7.98
,,2007 - 2008,6.99
,,2008 - 2009,7.05
,,2009 - 2010,9.35
,,2010 - 2011,9.39
,,2011 - 2012,10.92
,,2012 - 2013,10.71
,,2013 - 2014,7.52
,,2014 - 2015,9.94
,,2015 - 2016,9.56
,,2016 - 2017,9.82
,,2020 - 2021,6.03
,Jamtara,2003 - 2004,3.23
,,2005 - 2006,6.44
,,2006 - 2007,9.47
,,2007 - 2008,8.03
,,2008 - 2009,1.99
,,2009 - 2010,6.99
,,2010 - 2011,6.52
,,2011 - 2012,11.2
,,2012 - 2013,11.58
,,2013 - 2014,12.18
,,2014 - 2015,12.72
,,2015 - 2016,11.7
,,2016 - 2017,14.15
,,2020 - 2021,9.43
,Khunti,2008 - 2009,4.0
,,2009 - 2010,3.18
,,2010 - 2011,6.09
,,2011 - 2012,5.76
,,2012 - 2013,6.24
,,2013 - 2014,6.97
,,2014 - 2015,7.02
,,2015 - 2016,4.59
,,2016 - 2017,7.09
,,2020 - 2021,6.55
,Koderma,2005 - 2006,8.37
,,2006 - 2007,8.51
,,2007 - 2008,6.44
,,2008 - 2009,8.47
,,2009 - 2010,7.26
,,2010 - 2011,7.47
,,2011 - 2012,7.83
,,2012 - 2013,7.23
,,2013 - 2014,6.59
,,2014 - 2015,6.09
,,2015 - 2016,3.99
,,2016 - 2017,6.93
,,2020 - 2021,6.79
,Latehar,2003 - 2004,7.66
,,2004 - 2005,7.99
,,2005 - 2006,6.68
,,2006 - 2007,6.87
,,2007 - 2008,8.14
,,2008 - 2009,7.44
,,2009 - 2010,5.44
,,2010 - 2011,5.06
,,2011 - 2012,8.16
,,2012 - 2013,6.92
,,2013 - 2014,6.25
,,2014 - 2015,7.37
,,2015 - 2016,5.44
,,2016 - 2017,8.79
,,2020 - 2021,5.36
,Lohardaga,2005 - 2006,3.73
,,2006 - 2007,4.14
,,2007 - 2008,2.59
,,2008 - 2009,2.75
,,2009 - 2010,2.61
,,2010 - 2011,3.41
,,2011 - 2012,7.04
,,2012 - 2013,4.63
,,2013 - 2014,5.28
,,2014 - 2015,5.82
,,2015 - 2016,4.63
,,2016 - 2017,9.78
,,2020 - 2021,4.51
,Pakur,2006 - 2007,8.92
,,2007 - 2008,8.11
,,2008 - 2009,9.88
,,2009 - 2010,10.15
,,2010 - 2011,9.96
,,2011 - 2012,10.46
,,2012 - 2013,10.03
,,2013 - 2014,18.01
,,2014 - 2015,11.93
,,2015 - 2016,10.29
,,2016 - 2017,14.76
,,2020 - 2021,10.1
,Palamu,2002 - 2003,7.55
,,2003 - 2004,8.19
,,2004 - 2005,8.12
,,2005 - 2006,5.18
,,2006 - 2007,7.12
,,2007 - 2008,7.09
,,2008 - 2009,6.28
,,2009 - 2010,6.64
,,2010 - 2011,7.0
,,2011 - 2012,6.81
,,2012 - 2013,7.4
,,2013 - 2014,7.23
,,2014 - 2015,6.79
,,2015 - 2016,11.17
,,2016 - 2017,10.79
,,2020 - 2021,14.3
,Ramgarh,2008 - 2009,6.87
,,2009 - 2010,9.42
,,2010 - 2011,4.62
,,2011 - 2012,7.14
,,2012 - 2013,3.34
,,2013 - 2014,5.15
,,2014 - 2015,4.32
,,2015 - 2016,9.23
,,2016 - 2017,12.95
,,2020 - 2021,4.75
,Ranchi,2002 - 2003,6.73
,,2003 - 2004,6.63
,,2004 - 2005,5.38
,,2005 - 2006,8.03
,,2006 - 2007,10.25
,,2007 - 2008,3.25
,,2008 - 2009,3.96
,,2009 - 2010,4.71
,,2010 - 2011,7.55
,,2011 - 2012,7.1
,,2012 - 2013,7.24
,,2013 - 2014,6.24
,,2014 - 2015,6.52
,,2015 - 2016,6.2
,,2016 - 2017,8.88
,,2020 - 2021,6.09
,Sahebganj,2006 - 2007,8.92
,,2007 - 2008,12.38
,,2008 - 2009,9.13
,,2009 - 2010,9.8
,,2010 - 2011,10.95
,,2011 - 2012,9.26
,,2012 - 2013,10.09
,,2013 - 2014,6.0
,,2014 - 2015,6.05
,,2015 - 2016,8.82
,,2016 - 2017,10.8
,,2020 - 2021,13.92
,Saraikela kharsawan,2006 - 2007,8.12
,,2007 - 2008,8.49
,,2008 - 2009,0.78
,,2009 - 2010,4.02
,,2010 - 2011,3.38
,,2011 - 2012,4.53
,,2012 - 2013,4.8
,,2013 - 2014,1.9
,,2014 - 2015,2.02
,,2015 - 2016,2.61
,,2016 - 2017,12.0
,,2020 - 2021,6.67
,Simdega,2003 - 2004,4.61
,,2006 - 2007,7.83
,,2007 - 2008,6.86
,,2008 - 2009,5.17
,,2009 - 2010,4.22
,,2010 - 2011,3.99
,,2011 - 2012,10.61
,,2012 - 2013,12.48
,,2013 - 2014,9.2
,,2014 - 2015,12.03
,,2015 - 2016,6.2
,,2016 - 2017,10.89
,,2020 - 2021,3.27
,West singhbhum,2006 - 2007,8.12
,,2007 - 2008,6.23
,,2008 - 2009,1.1
,,2009 - 2010,3.71
,,2010 - 2011,1.31
,,2011 - 2012,1.61
,,2012 - 2013,1.38
,,2013 - 2014,1.95
,,2014 - 2015,1.8
,,2016 - 2017,13.0
,,2020 - 2021,13.33
Karnataka,Bagalkot,2018 - 2019,
,,2019 - 2020,15.5
,,2020 - 2021,
,,2021 - 2022,14.33
,,2022 - 2023,17.47
,Bangalore rural,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,14.62
,,2006 - 2007,
,,2007 - 2008,12.3
,,2008 - 2009,18.32
,,2009 - 2010,15.04
,,2010 - 2011,29.28
,,2011 - 2012,19.89
,,2012 - 2013,14.82
,,2013 - 2014,16.05
,,2014 - 2015,18.62
,,2015 - 2016,15.06
,,2016 - 2017,13.83
,,2017 - 2018,18.71
,,2018 - 2019,15.16
,,2019 - 2020,15.49
,,2020 - 2021,18.79
,,2021 - 2022,14.55
,,2022 - 2023,17.8
,Belgaum,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,18.08
,,2006 - 2007,
,,2007 - 2008,12.31
,,2008 - 2009,14.37
,,2009 - 2010,14.77
,,2010 - 2011,11.64
,,2011 - 2012,12.15
,,2012 - 2013,16.98
,,2013 - 2014,13.81
,,2014 - 2015,11.05
,,2015 - 2016,5.04
,,2016 - 2017,8.74
,,2017 - 2018,10.84
,,2018 - 2019,9.88
,,2019 - 2020,10.44
,,2020 - 2021,5.61
,,2021 - 2022,2.46
,,2022 - 2023,6.31
,Bellary,2013 - 2014,
,,2014 - 2015,15.39
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,15.0
,,2020 - 2021,19.0
,,2021 - 2022,
,,2022 - 2023,17.0
,Bengaluru urban,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,18.07
,,2006 - 2007,
,,2007 - 2008,12.31
,,2008 - 2009,14.37
,,2009 - 2010,14.77
,,2010 - 2011,11.64
,,2011 - 2012,12.15
,,2012 - 2013,17.0
,,2013 - 2014,15.21
,,2014 - 2015,15.43
,,2015 - 2016,15.06
,,2016 - 2017,13.83
,,2017 - 2018,18.71
,,2018 - 2019,15.15
,,2019 - 2020,15.49
,,2020 - 2021,19.0
,,2021 - 2022,14.33
,,2022 - 2023,17.0
,Bidar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,18.08
,,2006 - 2007,
,,2007 - 2008,12.29
,,2008 - 2009,14.38
,,2009 - 2010,14.76
,,2010 - 2011,11.64
,,2011 - 2012,12.15
,,2012 - 2013,16.98
,,2013 - 2014,15.22
,,2014 - 2015,15.4
,,2015 - 2016,15.05
,,2016 - 2017,13.83
,,2017 - 2018,18.71
,,2018 - 2019,15.14
,,2019 - 2020,15.49
,,2020 - 2021,18.79
,,2021 - 2022,14.53
,,2022 - 2023,17.77
,Bijapur,2014 - 2015,15.5
,,2015 - 2016,15.0
,,2018 - 2019,
,,2019 - 2020,15.5
,,2020 - 2021,19.0
,,2021 - 2022,14.23
,,2022 - 2023,17.47
,Chamarajanagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,12.0
,,2012 - 2013,16.97
,,2013 - 2014,15.21
,,2014 - 2015,15.39
,,2015 - 2016,15.07
,,2016 - 2017,13.83
,,2017 - 2018,18.72
,,2018 - 2019,15.17
,,2019 - 2020,15.5
,,2020 - 2021,18.77
,,2021 - 2022,14.6
,,2022 - 2023,18.07
,Chikballapur,2007 - 2008,12.97
,,2008 - 2009,26.79
,,2009 - 2010,21.4
,,2010 - 2011,11.47
,,2011 - 2012,9.15
,,2012 - 2013,10.28
,,2013 - 2014,11.51
,,2014 - 2015,11.28
,,2015 - 2016,12.43
,,2016 - 2017,15.8
,,2017 - 2018,20.81
,,2018 - 2019,17.01
,,2019 - 2020,19.56
,,2020 - 2021,24.98
,,2021 - 2022,19.16
,,2022 - 2023,21.97
,Chikmagalur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,18.09
,,2006 - 2007,
,,2007 - 2008,12.31
,,2008 - 2009,14.39
,,2009 - 2010,14.75
,,2010 - 2011,11.62
,,2011 - 2012,12.18
,,2012 - 2013,17.0
,,2013 - 2014,15.22
,,2014 - 2015,15.33
,,2015 - 2016,15.0
,,2016 - 2017,14.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,15.49
,,2020 - 2021,18.78
,,2021 - 2022,14.49
,,2022 - 2023,17.8
,Chitradurga,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,15.33
,,2020 - 2021,18.8
,,2021 - 2022,14.24
,,2022 - 2023,17.5
,Dakshin kannad,2018 - 2019,
,Davangere,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,15.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,19.0
,,2021 - 2022,
,,2022 - 2023,17.0
,Dharwad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,12.31
,,2008 - 2009,14.37
,,2009 - 2010,14.77
,,2010 - 2011,11.64
,,2011 - 2012,12.15
,,2012 - 2013,17.0
,,2013 - 2014,15.22
,,2014 - 2015,15.4
,,2015 - 2016,15.06
,,2016 - 2017,13.82
,,2017 - 2018,18.7
,,2018 - 2019,15.13
,,2019 - 2020,15.5
,,2020 - 2021,18.79
,,2021 - 2022,14.33
,,2022 - 2023,17.0
,Gadag,2000 - 2001,
,,2018 - 2019,
,,2019 - 2020,15.43
,,2020 - 2021,18.8
,,2021 - 2022,14.33
,,2022 - 2023,17.44
,Gulbarga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,18.14
,,2006 - 2007,
,,2007 - 2008,12.4
,,2008 - 2009,14.25
,,2009 - 2010,14.75
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,15.06
,,2016 - 2017,
,,2017 - 2018,18.71
,,2018 - 2019,
,,2019 - 2020,15.5
,,2020 - 2021,18.79
,,2021 - 2022,14.24
,,2022 - 2023,17.74
,Hassan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,18.08
,,2006 - 2007,
,,2007 - 2008,12.31
,,2008 - 2009,14.4
,,2009 - 2010,14.73
,,2010 - 2011,11.65
,,2011 - 2012,12.16
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,15.4
,,2015 - 2016,15.07
,,2016 - 2017,13.83
,,2017 - 2018,18.71
,,2018 - 2019,15.16
,,2019 - 2020,15.49
,,2020 - 2021,18.79
,,2021 - 2022,14.55
,,2022 - 2023,17.82
,Haveri,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,18.5
,,2018 - 2019,
,,2019 - 2020,15.0
,,2020 - 2021,19.0
,,2021 - 2022,14.0
,,2022 - 2023,17.5
,Kodagu,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Kolar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,19.16
,,2006 - 2007,
,,2007 - 2008,11.8
,,2008 - 2009,11.74
,,2009 - 2010,13.55
,,2010 - 2011,6.41
,,2011 - 2012,11.95
,,2012 - 2013,22.93
,,2013 - 2014,18.36
,,2014 - 2015,19.86
,,2015 - 2016,17.46
,,2016 - 2017,12.77
,,2017 - 2018,17.48
,,2018 - 2019,14.39
,,2019 - 2020,12.98
,,2020 - 2021,16.56
,,2021 - 2022,13.64
,,2022 - 2023,14.08
,Koppal,2004 - 2005,
,,2018 - 2019,
,,2019 - 2020,15.4
,,2020 - 2021,18.75
,,2021 - 2022,14.5
,,2022 - 2023,17.5
,Mandya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,18.08
,,2006 - 2007,
,,2007 - 2008,12.31
,,2008 - 2009,14.37
,,2009 - 2010,14.77
,,2010 - 2011,11.64
,,2011 - 2012,12.15
,,2012 - 2013,17.0
,,2013 - 2014,15.23
,,2014 - 2015,15.4
,,2015 - 2016,15.06
,,2016 - 2017,13.67
,,2017 - 2018,18.71
,,2018 - 2019,15.11
,,2019 - 2020,15.48
,,2020 - 2021,18.79
,,2021 - 2022,14.78
,,2022 - 2023,17.47
,Mysore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,15.42
,,2015 - 2016,15.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,15.5
,,2020 - 2021,18.79
,,2021 - 2022,14.0
,,2022 - 2023,17.82
,Raichur,2018 - 2019,
,,2019 - 2020,15.48
,,2020 - 2021,18.81
,,2021 - 2022,14.25
,,2022 - 2023,18.0
,Ramanagara,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,15.5
,,2020 - 2021,19.0
,,2021 - 2022,14.5
,,2022 - 2023,17.0
,Shimoga,2008 - 2009,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tumkur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,18.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,14.43
,,2009 - 2010,14.75
,,2010 - 2011,11.67
,,2011 - 2012,12.0
,,2012 - 2013,17.0
,,2013 - 2014,15.25
,,2014 - 2015,15.41
,,2015 - 2016,15.06
,,2016 - 2017,13.75
,,2017 - 2018,19.0
,,2018 - 2019,
,,2019 - 2020,15.5
,,2020 - 2021,18.75
,,2021 - 2022,14.33
,,2022 - 2023,
,Udupi,2019 - 2020,15.0
,,2021 - 2022,
,Uttar kannad,2018 - 2019,
,,2019 - 2020,
,Vijayanagar,2022 - 2023,17.0
,Yadgir,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,18.67
,,2021 - 2022,14.0
,,2022 - 2023,
Kerala,Alappuzha,2011 - 2012,
,Ernakulam,2011 - 2012,
,Idukki,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kannur,2011 - 2012,
,Kasaragod,2011 - 2012,
,Kollam,2011 - 2012,
,Kottayam,2011 - 2012,
,Kozhikode,2011 - 2012,
,Malappuram,2011 - 2012,
,Palakkad,2011 - 2012,
,,2012 - 2013,
,,2015 - 2016,
,,2021 - 2022,
,,2022 - 2023,
,Pathanamthitta,2011 - 2012,
,Thiruvananthapuram,2011 - 2012,
,Thrissur,2011 - 2012,
,Wayanad,2011 - 2012,
Ladakh,Kargil,2022 - 2023,
,Leh ladakh,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Madhya Pradesh,Agar malwa,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Alirajpur,2009 - 2010,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Anuppur,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Ashoknagar,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Balaghat,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Barwani,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Betul,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Bhind,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Bhopal,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Burhanpur,2003 - 2004,
,,2004 - 2005,
,,2007 - 2008,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Chhatarpur,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Chhindwara,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Damoh,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Datia,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Dewas,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Dhar,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Dindori,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2019 - 2020,
,Guna,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Gwalior,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Harda,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Hoshangabad,2001 - 2002,
,,2002 - 2003,
