state,district,year,sannhamp_kharif_yield_tonne_per_hectare
,,2006 - 2007,0.25
,Allahabad,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.35
,,2006 - 2007,0.28
,,2007 - 2008,0.2
,,2008 - 2009,0.32
,,2009 - 2010,0.17
,,2010 - 2011,0.32
,,2011 - 2012,0.29
,,2012 - 2013,0.36
,,2013 - 2014,0.28
,,2014 - 2015,0.38
,,2015 - 2016,0.28
,,2017 - 2018,0.19
,,2018 - 2019,0.2
,,2019 - 2020,0.3
,,2020 - 2021,0.28
,,2021 - 2022,0.59
,,2022 - 2023,0.6
,Amroha,2003 - 2004,
,Auraiya,2007 - 2008,0.2
,,2008 - 2009,0.4
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.2
,Azamgarh,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.34
,,2006 - 2007,0.28
,,2007 - 2008,0.19
,,2008 - 2009,0.32
,,2009 - 2010,0.21
,,2010 - 2011,0.33
,,2011 - 2012,0.28
,,2012 - 2013,0.36
,,2013 - 2014,0.28
,,2014 - 2015,0.38
,,2015 - 2016,0.3
,,2016 - 2017,0.24
,,2017 - 2018,0.18
,,2018 - 2019,0.19
,,2019 - 2020,0.29
,,2020 - 2021,0.26
,,2021 - 2022,0.58
,,2022 - 2023,0.59
,Baghpat,2002 - 2003,
,Bahraich,2002 - 2003,
,,2006 - 2007,0.33
,,2007 - 2008,0.2
,,2008 - 2009,0.29
,,2009 - 2010,0.15
,,2010 - 2011,0.5
,,2011 - 2012,0.0
,,2014 - 2015,0.33
,Banda,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.35
,,2006 - 2007,0.28
,,2007 - 2008,0.19
,,2008 - 2009,0.32
,,2009 - 2010,0.19
,,2010 - 2011,0.33
,,2011 - 2012,0.28
,,2012 - 2013,0.37
,,2013 - 2014,0.28
,,2014 - 2015,0.38
,,2015 - 2016,0.29
,,2016 - 2017,0.23
,,2017 - 2018,0.19
,,2018 - 2019,0.19
,,2019 - 2020,0.28
,,2020 - 2021,0.27
,,2021 - 2022,0.59
,,2022 - 2023,0.58
,Barabanki,2002 - 2003,
,,2003 - 2004,
,Bareilly,2003 - 2004,
,,2004 - 2005,0.0
,,2005 - 2006,0.5
,,2007 - 2008,0.25
,,2009 - 2010,0.22
,Bijnor,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.25
,,2005 - 2006,0.5
,,2008 - 2009,1.0
,Budaun,2003 - 2004,
,,2004 - 2005,0.5
,,2006 - 2007,0.33
,,2007 - 2008,0.25
,,2010 - 2011,0.5
,,2012 - 2013,0.33
,,2014 - 2015,1.0
,Bulandshahr,2002 - 2003,
,,2003 - 2004,
,,2008 - 2009,0.33
,,2013 - 2014,0.25
,,2016 - 2017,0.5
,,2017 - 2018,0.25
,,2018 - 2019,0.25
,,2019 - 2020,0.2
,,2020 - 2021,0.0
,,2021 - 2022,0.5
,,2022 - 2023,0.6
,Chandauli,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.33
,,2007 - 2008,0.17
,,2009 - 2010,0.2
,,2011 - 2012,0.25
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2016 - 2017,0.33
,,2017 - 2018,0.33
,,2018 - 2019,0.0
,,2019 - 2020,0.33
,,2020 - 2021,0.5
,,2022 - 2023,0.67
,Chitrakoot,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.34
,,2006 - 2007,0.28
,,2007 - 2008,0.19
,,2008 - 2009,0.31
,,2009 - 2010,0.19
,,2010 - 2011,0.33
,,2011 - 2012,0.28
,,2012 - 2013,0.37
,,2013 - 2014,0.29
,,2014 - 2015,0.4
,,2015 - 2016,0.29
,,2016 - 2017,0.18
,,2017 - 2018,0.19
,,2018 - 2019,0.19
,,2019 - 2020,0.28
,,2021 - 2022,0.58
,,2022 - 2023,0.59
,Deoria,2002 - 2003,
,,2003 - 2004,
,Etah,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.4
,,2007 - 2008,0.19
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.25
,,2012 - 2013,0.38
,,2013 - 2014,0.31
,,2015 - 2016,0.0
,,2016 - 2017,0.22
,,2017 - 2018,0.2
,,2018 - 2019,0.2
,,2019 - 2020,0.25
,,2020 - 2021,0.28
,,2021 - 2022,0.59
,,2022 - 2023,0.59
,Etawah,2002 - 2003,
,,2004 - 2005,0.33
,,2007 - 2008,0.33
,,2009 - 2010,0.25
,,2010 - 2011,0.0
,,2012 - 2013,0.0
,Farrukhabad,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.31
,,2005 - 2006,0.4
,,2006 - 2007,0.27
,,2007 - 2008,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.5
,,2015 - 2016,0.33
,,2016 - 2017,0.18
,,2017 - 2018,0.25
,,2018 - 2019,0.25
,,2019 - 2020,0.25
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Fatehpur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.34
,,2006 - 2007,0.27
,,2007 - 2008,0.19
,,2008 - 2009,0.31
,,2009 - 2010,0.19
,,2010 - 2011,0.33
,,2011 - 2012,0.28
,,2012 - 2013,0.36
,,2013 - 2014,0.29
,,2014 - 2015,0.4
,,2015 - 2016,0.33
,,2016 - 2017,0.25
,,2017 - 2018,0.19
,,2019 - 2020,0.27
,,2020 - 2021,0.27
,,2022 - 2023,0.59
,Firozabad,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.2
,,2005 - 2006,0.29
,,2006 - 2007,0.2
,,2007 - 2008,0.0
,,2008 - 2009,0.25
,,2009 - 2010,0.2
,Ghaziabad,2002 - 2003,
,Ghazipur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.2
,,2005 - 2006,0.38
,,2006 - 2007,0.33
,,2007 - 2008,0.22
,,2008 - 2009,0.25
,,2009 - 2010,0.19
,,2010 - 2011,0.4
,,2011 - 2012,0.33
,,2012 - 2013,0.38
,,2013 - 2014,0.27
,,2014 - 2015,0.25
,,2016 - 2017,0.24
,,2017 - 2018,0.17
,,2018 - 2019,0.2
,,2019 - 2020,0.2
,,2020 - 2021,0.33
,,2022 - 2023,0.67
,Gonda,2002 - 2003,
,,2007 - 2008,0.0
,,2009 - 2010,0.5
,Gorakhpur,2004 - 2005,0.0
,,2006 - 2007,0.5
,Hamirpur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.35
,,2006 - 2007,0.28
,,2007 - 2008,0.19
,,2008 - 2009,0.32
,,2009 - 2010,0.17
,,2010 - 2011,0.33
,,2011 - 2012,0.27
,,2012 - 2013,0.37
,,2013 - 2014,0.28
,,2014 - 2015,0.38
,,2015 - 2016,0.28
,,2016 - 2017,0.23
,,2017 - 2018,0.19
,,2018 - 2019,0.19
,,2019 - 2020,0.29
,,2020 - 2021,0.27
,,2021 - 2022,0.59
,,2022 - 2023,0.59
,Hardoi,2003 - 2004,
,,2004 - 2005,0.25
,,2005 - 2006,0.25
,,2008 - 2009,0.29
,Hathras,2003 - 2004,
,,2005 - 2006,0.33
,,2015 - 2016,0.5
,Jalaun,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.35
,,2006 - 2007,0.28
,,2007 - 2008,0.19
,,2008 - 2009,0.38
,,2009 - 2010,0.19
,,2010 - 2011,0.33
,,2011 - 2012,0.27
,,2012 - 2013,0.38
,,2013 - 2014,0.29
,,2014 - 2015,0.38
,,2015 - 2016,0.28
,,2016 - 2017,0.23
,,2019 - 2020,0.27
,,2020 - 2021,0.27
,,2021 - 2022,1.0
,,2022 - 2023,0.58
,Jaunpur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.35
,,2006 - 2007,0.29
,,2007 - 2008,0.19
,,2008 - 2009,0.32
,,2009 - 2010,0.18
,,2010 - 2011,0.33
,,2011 - 2012,0.27
,,2012 - 2013,0.37
,,2013 - 2014,0.28
,,2014 - 2015,0.39
,,2015 - 2016,0.28
,,2016 - 2017,0.23
,,2017 - 2018,0.19
,,2018 - 2019,0.19
,,2019 - 2020,0.29
,,2020 - 2021,0.27
,,2021 - 2022,0.58
,,2022 - 2023,0.58
,Jhansi,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.29
,,2005 - 2006,0.33
,,2006 - 2007,0.24
,,2007 - 2008,0.33
,,2010 - 2011,0.5
,,2011 - 2012,0.25
,,2012 - 2013,0.0
,,2013 - 2014,0.25
,,2014 - 2015,1.0
,,2015 - 2016,0.33
,,2016 - 2017,0.5
,,2017 - 2018,0.21
,,2018 - 2019,0.0
,,2019 - 2020,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Kannauj,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.34
,,2006 - 2007,0.27
,,2008 - 2009,0.32
,,2009 - 2010,0.18
,,2010 - 2011,0.33
,,2011 - 2012,0.29
,,2012 - 2013,0.38
,,2013 - 2014,0.28
,,2014 - 2015,0.37
,,2015 - 2016,0.25
,,2016 - 2017,0.24
,,2017 - 2018,0.19
,,2018 - 2019,0.18
,,2019 - 2020,0.29
,,2020 - 2021,0.29
,,2021 - 2022,0.58
,,2022 - 2023,0.59
,Kanpur dehat,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.34
,,2006 - 2007,0.26
,,2007 - 2008,0.2
,,2008 - 2009,0.3
,,2009 - 2010,0.18
,,2010 - 2011,0.33
,,2011 - 2012,0.25
,,2012 - 2013,0.35
,,2013 - 2014,0.3
,,2014 - 2015,0.5
,,2015 - 2016,0.29
,,2016 - 2017,0.24
,,2018 - 2019,0.21
,,2019 - 2020,0.26
,,2020 - 2021,0.22
,,2022 - 2023,0.58
,Kanpur nagar,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.34
,,2006 - 2007,0.5
,,2007 - 2008,0.19
,,2008 - 2009,0.31
,,2009 - 2010,0.19
,,2010 - 2011,0.36
,,2011 - 2012,0.33
,,2012 - 2013,0.35
,,2013 - 2014,0.26
,,2014 - 2015,0.33
,,2015 - 2016,0.3
,,2016 - 2017,0.25
,,2017 - 2018,0.17
,,2018 - 2019,0.19
,,2019 - 2020,0.31
,,2020 - 2021,0.29
,,2021 - 2022,0.55
,,2022 - 2023,0.56
,Kasganj,2010 - 2011,0.17
,Kaushambi,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2006 - 2007,0.33
,,2007 - 2008,0.14
,,2009 - 2010,0.19
,,2010 - 2011,0.31
,,2011 - 2012,0.27
,,2012 - 2013,0.4
,,2013 - 2014,0.26
,,2014 - 2015,0.39
,,2016 - 2017,0.2
,,2017 - 2018,0.2
,,2018 - 2019,0.2
,,2019 - 2020,0.3
,,2020 - 2021,0.3
,,2021 - 2022,0.63
,,2022 - 2023,0.6
,Kheri,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.29
,,2006 - 2007,0.29
,,2007 - 2008,0.2
,,2014 - 2015,1.0
,Kushi nagar,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.35
,,2006 - 2007,0.28
,,2007 - 2008,0.19
,,2008 - 2009,0.32
,,2009 - 2010,0.18
,,2010 - 2011,0.32
,,2011 - 2012,0.28
,,2012 - 2013,0.37
,,2013 - 2014,0.28
,,2014 - 2015,0.39
,,2015 - 2016,0.28
,,2016 - 2017,0.23
,,2017 - 2018,0.19
,,2018 - 2019,0.19
,,2019 - 2020,0.29
,,2020 - 2021,0.27
,,2022 - 2023,0.58
,Lalitpur,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.29
,,2006 - 2007,0.3
,,2007 - 2008,0.18
,,2010 - 2011,0.33
,,2013 - 2014,0.29
,,2016 - 2017,0.21
,,2018 - 2019,0.21
,,2021 - 2022,0.57
,,2022 - 2023,0.57
,Lucknow,2003 - 2004,
,Maharajganj,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.33
,,2006 - 2007,0.27
,,2007 - 2008,0.2
,Mahoba,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.34
,,2006 - 2007,0.28
,,2007 - 2008,0.2
,,2008 - 2009,0.32
,,2009 - 2010,0.18
,,2010 - 2011,0.33
,,2011 - 2012,0.27
,,2012 - 2013,0.37
,,2013 - 2014,0.28
,,2014 - 2015,0.38
,,2015 - 2016,0.29
,,2016 - 2017,0.23
,,2017 - 2018,0.19
,,2018 - 2019,0.19
,,2019 - 2020,0.29
,,2020 - 2021,0.26
,,2021 - 2022,0.58
,,2022 - 2023,0.59
,Mainpuri,2012 - 2013,0.39
,,2013 - 2014,0.29
,,2016 - 2017,0.25
,,2017 - 2018,0.21
,,2018 - 2019,0.18
,,2019 - 2020,0.25
,,2020 - 2021,0.2
,,2021 - 2022,0.59
,,2022 - 2023,0.6
,Mathura,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.25
,,2005 - 2006,0.4
,,2006 - 2007,0.25
,,2010 - 2011,0.5
,Mau,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,0.5
,Meerut,2002 - 2003,
,,2004 - 2005,0.25
,,2007 - 2008,0.17
,Mirzapur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.35
,,2006 - 2007,0.28
,,2007 - 2008,0.19
,,2008 - 2009,0.32
,,2009 - 2010,0.18
,,2010 - 2011,0.33
,,2011 - 2012,0.28
,,2012 - 2013,0.37
,,2013 - 2014,0.29
,,2014 - 2015,0.38
,,2015 - 2016,0.29
,,2016 - 2017,0.24
,,2017 - 2018,0.21
,,2018 - 2019,0.19
,,2019 - 2020,0.29
,,2020 - 2021,0.27
,,2022 - 2023,0.58
,Moradabad,2003 - 2004,
,,2004 - 2005,0.29
,,2006 - 2007,0.28
,,2007 - 2008,0.0
,Muzaffarnagar,2003 - 2004,
,,2004 - 2005,0.0
,,2008 - 2009,0.5
,,2010 - 2011,0.0
,,2014 - 2015,1.0
,,2016 - 2017,0.33
,,2017 - 2018,0.25
,,2018 - 2019,0.17
,,2019 - 2020,0.33
,,2020 - 2021,0.33
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Pilibhit,2004 - 2005,0.28
,,2006 - 2007,0.28
,,2007 - 2008,0.0
,Pratapgarh,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.34
,,2006 - 2007,0.28
,,2008 - 2009,0.32
,,2009 - 2010,0.19
,,2010 - 2011,0.33
,,2011 - 2012,0.27
,,2012 - 2013,0.33
,,2013 - 2014,0.29
,,2014 - 2015,0.35
,,2015 - 2016,0.25
,,2016 - 2017,0.21
,,2017 - 2018,0.19
,,2018 - 2019,0.18
,,2019 - 2020,0.27
,,2020 - 2021,0.28
,,2021 - 2022,0.57
,,2022 - 2023,0.57
,Rae bareli,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.38
,,2006 - 2007,0.26
,,2007 - 2008,0.17
,,2008 - 2009,0.35
,,2009 - 2010,0.17
,,2010 - 2011,0.33
,,2011 - 2012,0.27
,,2012 - 2013,0.36
,,2013 - 2014,0.29
,,2014 - 2015,0.35
,,2015 - 2016,0.25
,,2016 - 2017,0.23
,,2017 - 2018,0.19
,,2018 - 2019,0.21
,,2019 - 2020,0.27
,,2020 - 2021,0.26
,,2021 - 2022,0.59
,,2022 - 2023,0.57
,Rampur,2004 - 2005,0.0
,,2006 - 2007,0.0
,Saharanpur,2002 - 2003,
,,2004 - 2005,0.29
,,2006 - 2007,0.29
,,2015 - 2016,0.25
,Sant kabeer nagar,2004 - 2005,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,0.15
,Sant ravidas nagar,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.35
,,2006 - 2007,0.29
,,2007 - 2008,0.2
,,2008 - 2009,0.31
,,2009 - 2010,0.18
,,2010 - 2011,0.32
,,2011 - 2012,0.26
,,2012 - 2013,0.37
,,2013 - 2014,0.26
,,2014 - 2015,0.38
,,2015 - 2016,0.27
,,2016 - 2017,0.24
,,2017 - 2018,0.19
,,2018 - 2019,0.19
,,2019 - 2020,0.29
,,2020 - 2021,0.27
,,2021 - 2022,0.58
,,2022 - 2023,0.59
,Shahjahanpur,2003 - 2004,
,,2004 - 2005,0.5
,,2005 - 2006,0.25
,,2006 - 2007,0.5
,,2007 - 2008,0.33
,,2008 - 2009,0.3
,Shamli,2016 - 2017,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2022 - 2023,1.0
,Sitapur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.26
,,2005 - 2006,0.0
,,2006 - 2007,0.33
,,2010 - 2011,0.33
,,2012 - 2013,0.4
,,2013 - 2014,0.0
,,2015 - 2016,0.28
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,1.0
,,2020 - 2021,0.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Sonbhadra,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.27
,,2005 - 2006,0.34
,,2006 - 2007,0.28
,,2007 - 2008,0.19
,,2009 - 2010,0.19
,,2010 - 2011,0.33
,,2011 - 2012,0.27
,,2012 - 2013,0.37
,,2013 - 2014,0.28
,,2014 - 2015,0.39
,,2015 - 2016,0.29
,,2016 - 2017,0.23
,,2017 - 2018,0.19
,,2018 - 2019,0.19
,,2019 - 2020,0.28
,,2020 - 2021,0.27
,,2021 - 2022,0.59
,,2022 - 2023,0.59
,Sultanpur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.25
,,2005 - 2006,0.29
,,2006 - 2007,0.25
,,2007 - 2008,0.2
,,2008 - 2009,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.27
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.33
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.5
,,2022 - 2023,0.5
,Unnao,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.31
,,2005 - 2006,0.38
,,2006 - 2007,0.22
,,2007 - 2008,0.33
,,2008 - 2009,0.32
,,2010 - 2011,0.25
,,2011 - 2012,0.0
,,2012 - 2013,0.5
,,2015 - 2016,0.0
,Varanasi,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.28
,,2005 - 2006,0.34
,,2006 - 2007,0.28
,,2007 - 2008,0.19
,,2008 - 2009,0.32
,,2009 - 2010,0.18
,,2010 - 2011,0.33
,,2011 - 2012,0.28
,,2012 - 2013,0.37
,,2013 - 2014,0.28
,,2014 - 2015,0.38
,,2015 - 2016,0.29
,,2016 - 2017,0.23
,,2017 - 2018,0.19
,,2018 - 2019,0.19
,,2019 - 2020,0.28
,,2020 - 2021,0.27
,,2021 - 2022,0.59
,,2022 - 2023,0.59
Uttarakhand,Udam singh nagar,2002 - 2003,
West Bengal,Bankura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,5.07
,,2008 - 2009,5.36
,,2009 - 2010,5.16
,,2010 - 2011,2.92
,,2011 - 2012,3.0
,,2012 - 2013,4.36
,,2013 - 2014,3.75
,,2014 - 2015,4.18
,,2015 - 2016,4.11
,,2016 - 2017,4.29
,,2017 - 2018,4.32
,,2018 - 2019,4.2
,,2019 - 2020,5.0
,,2020 - 2021,4.69
,,2021 - 2022,4.8
,,2022 - 2023,4.71
,Birbhum,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,4.7
,,2008 - 2009,4.8
,,2009 - 2010,5.5
,,2010 - 2011,3.5
,,2011 - 2012,3.4
,,2012 - 2013,4.7
,,2013 - 2014,4.04
,,2014 - 2015,4.4
,,2015 - 2016,4.38
,,2016 - 2017,4.5
,,2017 - 2018,7.0
,,2018 - 2019,2.0
,,2019 - 2020,3.0
,,2020 - 2021,3.0
,,2021 - 2022,3.21
,,2022 - 2023,3.5
,Coochbehar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,6.5
,,2008 - 2009,6.6
,,2009 - 2010,6.8
,,2010 - 2011,4.88
,,2011 - 2012,3.0
,,2012 - 2013,3.0
,,2013 - 2014,2.6
,,2014 - 2015,2.85
,,2015 - 2016,2.83
,,2016 - 2017,2.9
,,2017 - 2018,9.15
,,2018 - 2019,8.5
,,2019 - 2020,8.0
,,2020 - 2021,8.0
,,2021 - 2022,8.0
,,2022 - 2023,8.0
,Hooghly,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,3.8
,,2008 - 2009,3.86
,,2009 - 2010,3.71
,,2010 - 2011,6.33
,,2011 - 2012,4.5
,,2012 - 2013,5.0
,,2014 - 2015,4.0
,,2015 - 2016,4.4
,,2016 - 2017,4.17
,Jhargram,2018 - 2019,2.9
,,2019 - 2020,2.7
,,2020 - 2021,2.0
,,2021 - 2022,2.25
,,2022 - 2023,1.91
,Medinipur east,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,6.0
,,2008 - 2009,4.0
,,2009 - 2010,4.0
,,2010 - 2011,2.8
,,2011 - 2012,4.0
,,2012 - 2013,4.0
,,2013 - 2014,4.0
,,2014 - 2015,3.98
,,2015 - 2016,4.51
,,2016 - 2017,4.31
,Medinipur west,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,5.7
,,2008 - 2009,5.65
,,2009 - 2010,5.7
,,2010 - 2011,4.04
,,2011 - 2012,4.0
,,2012 - 2013,5.05
,,2013 - 2014,4.88
,,2014 - 2015,4.6
,,2015 - 2016,4.5
,,2016 - 2017,4.39
,,2017 - 2018,4.59
,Purba bardhaman,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,7.43
,,2008 - 2009,7.43
,,2009 - 2010,7.92
,,2010 - 2011,5.45
,,2011 - 2012,5.11
,,2012 - 2013,5.09
,,2013 - 2014,5.03
,,2014 - 2015,5.04
,,2015 - 2016,5.06
,,2016 - 2017,5.09
,Purulia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,4.3
,,2008 - 2009,5.4
,,2009 - 2010,4.28
,,2010 - 2011,4.0
,,2011 - 2012,4.0
,,2012 - 2013,4.25
,,2013 - 2014,6.03
,,2014 - 2015,4.25
,,2015 - 2016,4.97
,,2016 - 2017,4.59
,,2017 - 2018,4.08
,,2018 - 2019,4.08
,,2019 - 2020,4.5
,,2020 - 2021,4.6
,,2021 - 2022,4.65
,,2022 - 2023,4.72
