state,district,year,niger_seed_kharif_yield_tonne_per_hectare
,,2016 - 2017,0.46
,,2017 - 2018,0.47
,,2018 - 2019,0.5
,,2019 - 2020,0.42
,,2020 - 2021,0.43
,,2021 - 2022,0.42
,,2022 - 2023,0.54
,Nagaon,2000 - 2001,0.51
,,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.51
,,2004 - 2005,0.51
,,2005 - 2006,0.51
,,2006 - 2007,0.51
,,2007 - 2008,0.51
,,2008 - 2009,0.53
,,2009 - 2010,0.52
,,2010 - 2011,0.53
,,2011 - 2012,0.53
,,2012 - 2013,0.54
,,2013 - 2014,0.55
,,2014 - 2015,0.55
,,2015 - 2016,1.09
,,2016 - 2017,0.97
,,2017 - 2018,0.65
,,2018 - 2019,0.54
,,2019 - 2020,0.55
,,2020 - 2021,0.57
,,2021 - 2022,0.57
,,2022 - 2023,0.55
,Nalbari,2000 - 2001,0.52
,,2001 - 2002,0.52
,,2002 - 2003,0.52
,,2003 - 2004,0.52
,,2004 - 2005,0.52
,,2005 - 2006,0.52
,,2006 - 2007,0.52
,,2007 - 2008,0.52
,,2008 - 2009,0.52
,,2009 - 2010,0.52
,,2010 - 2011,0.52
,,2011 - 2012,0.53
,,2012 - 2013,0.53
,,2013 - 2014,0.55
,,2014 - 2015,0.55
,,2015 - 2016,0.54
,,2016 - 2017,0.4
,,2017 - 2018,0.49
,,2018 - 2019,0.4
,,2019 - 2020,0.4
,,2020 - 2021,0.39
,,2021 - 2022,0.38
,,2022 - 2023,0.38
,Sivasagar,2006 - 2007,0.5
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2013 - 2014,0.54
,Sonitpur,2000 - 2001,0.58
,,2001 - 2002,0.55
,,2002 - 2003,0.55
,,2003 - 2004,0.56
,,2004 - 2005,0.55
,,2005 - 2006,0.6
,,2006 - 2007,0.58
,,2007 - 2008,0.55
,,2008 - 2009,0.58
,,2009 - 2010,0.58
,,2010 - 2011,0.57
,,2011 - 2012,0.58
,,2012 - 2013,0.58
,,2013 - 2014,0.59
,,2014 - 2015,0.61
,,2015 - 2016,0.56
,,2016 - 2017,0.57
,,2017 - 2018,0.52
,,2018 - 2019,0.55
,,2019 - 2020,0.57
,,2020 - 2021,0.57
,,2021 - 2022,0.67
,,2022 - 2023,0.57
,South salmara mancachar,2020 - 2021,0.7
,,2021 - 2022,0.72
,,2022 - 2023,0.64
,Tinsukia,2000 - 2001,0.4
,,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.48
,,2007 - 2008,0.47
,,2008 - 2009,0.46
,,2009 - 2010,0.49
,,2010 - 2011,0.5
,,2011 - 2012,0.53
,,2012 - 2013,0.53
,,2013 - 2014,0.53
,,2014 - 2015,0.5
,,2015 - 2016,0.48
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.53
,,2020 - 2021,0.5
,,2021 - 2022,0.33
,,2022 - 2023,0.44
,Udalguri,2005 - 2006,0.51
,,2006 - 2007,0.52
,,2007 - 2008,0.52
,,2008 - 2009,0.51
,,2009 - 2010,0.52
,,2010 - 2011,0.52
,,2011 - 2012,0.52
,,2012 - 2013,0.53
,,2013 - 2014,0.55
,,2014 - 2015,0.55
,,2015 - 2016,0.41
,,2016 - 2017,0.61
,,2017 - 2018,0.65
,,2018 - 2019,0.54
,,2019 - 2020,0.71
,,2020 - 2021,0.7
,,2021 - 2022,0.71
,,2022 - 2023,0.55
,West karbi anglong,2020 - 2021,0.4
,,2021 - 2022,0.5
,,2022 - 2023,0.53
Chhattisgarh,Balod,2012 - 2013,0.2
,,2015 - 2016,0.25
,,2019 - 2020,0.25
,Baloda bazar,2015 - 2016,0.2
,Balrampur,2011 - 2012,0.16
,,2012 - 2013,0.17
,,2013 - 2014,0.18
,,2014 - 2015,0.16
,,2015 - 2016,0.16
,,2016 - 2017,0.18
,,2017 - 2018,0.17
,,2018 - 2019,0.17
,,2019 - 2020,0.17
,,2020 - 2021,0.2
,,2021 - 2022,0.2
,,2022 - 2023,0.17
,Bastar,2000 - 2001,0.2
,,2001 - 2002,0.23
,,2002 - 2003,0.18
,,2003 - 2004,0.21
,,2004 - 2005,0.21
,,2005 - 2006,0.21
,,2006 - 2007,0.22
,,2007 - 2008,0.23
,,2008 - 2009,0.21
,,2009 - 2010,0.19
,,2010 - 2011,0.21
,,2011 - 2012,0.2
,,2012 - 2013,0.22
,,2013 - 2014,0.06
,,2014 - 2015,0.21
,,2015 - 2016,0.11
,,2016 - 2017,0.22
,,2017 - 2018,0.21
,,2018 - 2019,0.21
,,2019 - 2020,0.21
,,2020 - 2021,0.19
,,2021 - 2022,0.18
,,2022 - 2023,0.19
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,0.22
,,2008 - 2009,0.11
,,2009 - 2010,0.11
,,2010 - 2011,0.22
,,2011 - 2012,0.2
,,2012 - 2013,0.23
,,2013 - 2014,6.58
,,2014 - 2015,0.27
,,2015 - 2016,0.2
,,2017 - 2018,0.3
,,2018 - 2019,0.0
,Bilaspur,2000 - 2001,0.25
,,2001 - 2002,0.24
,,2002 - 2003,0.15
,,2003 - 2004,0.25
,,2004 - 2005,0.17
,,2005 - 2006,0.24
,,2006 - 2007,0.25
,,2007 - 2008,0.25
,,2008 - 2009,0.25
,,2009 - 2010,0.22
,,2010 - 2011,0.24
,,2011 - 2012,0.24
,,2012 - 2013,0.27
,,2013 - 2014,0.0
,,2014 - 2015,0.27
,,2015 - 2016,0.2
,,2016 - 2017,0.27
,,2017 - 2018,0.18
,,2018 - 2019,0.29
,Dantewada,2000 - 2001,0.18
,,2001 - 2002,0.19
,,2002 - 2003,0.16
,,2003 - 2004,0.19
,,2004 - 2005,0.18
,,2005 - 2006,0.17
,,2006 - 2007,0.19
,,2007 - 2008,0.21
,,2008 - 2009,0.17
,,2009 - 2010,0.12
,,2010 - 2011,0.22
,,2011 - 2012,0.2
,,2012 - 2013,0.2
,,2013 - 2014,0.01
,,2014 - 2015,0.21
,,2015 - 2016,0.16
,,2016 - 2017,0.23
,,2017 - 2018,0.14
,,2018 - 2019,0.28
,,2019 - 2020,0.2
,,2020 - 2021,0.22
,,2021 - 2022,0.21
,,2022 - 2023,0.28
,Dhamtari,2001 - 2002,0.33
,,2002 - 2003,0.0
,,2003 - 2004,0.33
,,2010 - 2011,0.18
,,2011 - 2012,0.17
,,2017 - 2018,1.0
,,2018 - 2019,0.29
,,2019 - 2020,0.0
,Durg,2005 - 2006,0.0
,,2006 - 2007,0.2
,,2008 - 2009,0.18
,,2009 - 2010,0.0
,Gariyaband,2011 - 2012,0.14
,,2012 - 2013,0.18
,,2022 - 2023,0.0
,Gaurella-pendra-marwahi,2019 - 2020,0.29
,,2020 - 2021,0.23
,,2021 - 2022,0.28
,,2022 - 2023,0.25
,Janjgir-champa,2007 - 2008,0.24
,Jashpur,2000 - 2001,0.16
,,2001 - 2002,0.17
,,2002 - 2003,0.16
,,2003 - 2004,0.16
,,2004 - 2005,0.16
,,2005 - 2006,0.15
,,2006 - 2007,0.16
,,2007 - 2008,0.16
,,2008 - 2009,0.17
,,2009 - 2010,0.17
,,2010 - 2011,0.16
,,2011 - 2012,0.17
,,2012 - 2013,0.17
,,2013 - 2014,0.17
,,2014 - 2015,0.17
,,2015 - 2016,0.17
,,2016 - 2017,0.19
,,2017 - 2018,0.19
,,2018 - 2019,0.19
,,2019 - 2020,0.18
,,2020 - 2021,0.18
,,2021 - 2022,0.19
,,2022 - 2023,0.2
,Kabirdham,2000 - 2001,0.13
,,2001 - 2002,0.19
,,2002 - 2003,0.25
,,2003 - 2004,0.18
,,2004 - 2005,0.18
,,2005 - 2006,0.18
,,2006 - 2007,0.23
,,2007 - 2008,0.19
,,2008 - 2009,0.18
,,2009 - 2010,0.18
,,2010 - 2011,0.18
,,2011 - 2012,0.19
,,2012 - 2013,0.22
,,2013 - 2014,5.44
,,2014 - 2015,0.2
,,2015 - 2016,0.22
,,2016 - 2017,0.23
,,2017 - 2018,0.26
,,2018 - 2019,0.16
,,2019 - 2020,0.19
,,2020 - 2021,0.19
,,2021 - 2022,0.2
,,2022 - 2023,0.22
,Kanker,2000 - 2001,0.2
,,2001 - 2002,0.22
,,2002 - 2003,0.1
,,2003 - 2004,0.24
,,2004 - 2005,0.19
,,2005 - 2006,0.23
,,2006 - 2007,0.2
,,2007 - 2008,0.22
,,2008 - 2009,0.22
,,2009 - 2010,0.22
,,2010 - 2011,0.22
,,2011 - 2012,0.2
,,2012 - 2013,0.19
,,2013 - 2014,0.16
,,2014 - 2015,0.18
,,2015 - 2016,0.15
,,2016 - 2017,0.2
,,2017 - 2018,0.16
,,2018 - 2019,0.2
,,2019 - 2020,0.14
,,2020 - 2021,0.23
,,2021 - 2022,0.25
,,2022 - 2023,0.24
,Kondagaon,2011 - 2012,0.2
,,2012 - 2013,0.18
,,2013 - 2014,0.06
,,2014 - 2015,0.21
,,2015 - 2016,0.13
,,2016 - 2017,0.22
,,2017 - 2018,0.21
,,2018 - 2019,0.22
,,2019 - 2020,0.24
,,2020 - 2021,0.35
,,2021 - 2022,0.35
,,2022 - 2023,0.35
,Korba,2000 - 2001,0.26
,,2001 - 2002,0.26
,,2002 - 2003,0.22
,,2003 - 2004,0.22
,,2004 - 2005,0.2
,,2005 - 2006,0.25
,,2006 - 2007,0.2
,,2007 - 2008,0.24
,,2008 - 2009,0.27
,,2009 - 2010,0.22
,,2010 - 2011,0.24
,,2011 - 2012,0.24
,,2012 - 2013,0.22
,,2013 - 2014,0.25
,,2014 - 2015,0.27
,,2015 - 2016,0.2
,,2016 - 2017,0.27
,,2017 - 2018,0.27
,,2018 - 2019,0.25
,,2019 - 2020,0.24
,,2020 - 2021,0.24
,,2021 - 2022,0.28
,,2022 - 2023,0.25
,Korea,2000 - 2001,0.18
,,2001 - 2002,0.19
,,2002 - 2003,0.16
,,2003 - 2004,0.17
,,2004 - 2005,0.13
,,2005 - 2006,0.13
,,2006 - 2007,0.14
,,2007 - 2008,0.14
,,2008 - 2009,0.17
,,2009 - 2010,0.12
,,2010 - 2011,0.17
,,2011 - 2012,0.18
,,2012 - 2013,0.14
,,2013 - 2014,0.15
,,2014 - 2015,0.17
,,2015 - 2016,0.21
,,2016 - 2017,0.21
,,2017 - 2018,0.22
,,2018 - 2019,0.21
,,2019 - 2020,0.22
,,2020 - 2021,0.2
,,2021 - 2022,0.24
,,2022 - 2023,0.24
,Mahasamund,2000 - 2001,0.17
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,Manendragarh chirimiri bharatpur,2022 - 2023,0.22
,Narayanpur,2006 - 2007,0.0
,,2007 - 2008,0.23
,,2008 - 2009,0.21
,,2009 - 2010,0.17
,,2010 - 2011,0.24
,,2011 - 2012,0.2
,,2012 - 2013,0.22
,,2013 - 2014,0.14
,,2014 - 2015,0.21
,,2015 - 2016,0.11
,,2016 - 2017,0.16
,,2017 - 2018,0.19
,,2018 - 2019,0.18
,,2019 - 2020,0.19
,,2020 - 2021,0.2
,,2021 - 2022,0.17
,,2022 - 2023,0.21
,Raigarh,2000 - 2001,0.12
,,2001 - 2002,0.16
,,2002 - 2003,0.11
,,2003 - 2004,0.17
,,2004 - 2005,0.16
,,2005 - 2006,0.15
,,2006 - 2007,0.15
,,2007 - 2008,0.17
,,2008 - 2009,0.17
,,2009 - 2010,0.17
,,2010 - 2011,0.17
,,2011 - 2012,0.15
,,2012 - 2013,0.17
,,2013 - 2014,0.16
,,2014 - 2015,0.18
,,2015 - 2016,0.18
,,2016 - 2017,0.18
,,2017 - 2018,0.17
,,2018 - 2019,0.17
,,2019 - 2020,0.18
,,2020 - 2021,0.15
,,2021 - 2022,0.15
,,2022 - 2023,0.17
,Raipur,2000 - 2001,0.12
,,2001 - 2002,0.17
,,2002 - 2003,0.17
,,2003 - 2004,0.16
,,2004 - 2005,0.17
,,2005 - 2006,0.17
,,2006 - 2007,0.17
,,2007 - 2008,0.17
,,2008 - 2009,0.17
,,2009 - 2010,0.16
,,2010 - 2011,0.18
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,Rajnandgaon,2000 - 2001,0.0
,,2001 - 2002,0.33
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2004 - 2005,0.2
,,2005 - 2006,0.25
,,2006 - 2007,0.17
,,2007 - 2008,0.2
,,2008 - 2009,0.18
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2013 - 2014,71.0
,,2014 - 2015,0.26
,,2015 - 2016,0.21
,,2016 - 2017,0.24
,,2017 - 2018,0.33
,,2018 - 2019,0.2
,,2022 - 2023,1.0
,Sakti,2022 - 2023,0.0
,Sukma,2011 - 2012,0.2
,,2012 - 2013,0.19
,,2013 - 2014,0.07
,,2014 - 2015,0.17
,,2015 - 2016,0.18
,,2016 - 2017,0.19
,,2017 - 2018,0.2
,,2018 - 2019,0.2
,,2019 - 2020,0.2
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,,2022 - 2023,0.0
,Surajpur,2011 - 2012,0.16
,,2012 - 2013,0.16
,,2013 - 2014,0.18
,,2014 - 2015,0.18
,,2015 - 2016,0.16
,,2016 - 2017,0.14
,,2017 - 2018,0.17
,,2018 - 2019,0.19
,,2019 - 2020,0.19
,,2020 - 2021,0.2
,,2021 - 2022,0.2
,,2022 - 2023,0.17
,Surguja,2000 - 2001,0.18
,,2001 - 2002,0.19
,,2002 - 2003,0.16
,,2003 - 2004,0.17
,,2004 - 2005,0.15
,,2005 - 2006,0.16
,,2006 - 2007,0.17
,,2007 - 2008,0.16
,,2008 - 2009,0.17
,,2009 - 2010,0.14
,,2010 - 2011,0.16
,,2011 - 2012,0.16
,,2012 - 2013,0.17
,,2013 - 2014,0.18
,,2014 - 2015,0.18
,,2015 - 2016,0.17
,,2016 - 2017,0.17
,,2017 - 2018,0.17
,,2018 - 2019,0.19
,,2019 - 2020,0.19
,,2020 - 2021,0.29
,,2021 - 2022,0.29
,,2022 - 2023,0.27
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2000 - 2001,1.0
,,2001 - 2002,3.03
,,2002 - 2003,3.04
,,2003 - 2004,1.01
,,2004 - 2005,1.01
,,2005 - 2006,0.88
,,2006 - 2007,1.0
,,2010 - 2011,0.75
,,2011 - 2012,0.6
,,2012 - 2013,0.6
,,2015 - 2016,0.59
,,2016 - 2017,0.3
,,2017 - 2018,0.68
,,2018 - 2019,0.3
,,2019 - 2020,0.3
Jharkhand,Bokaro,2017 - 2018,0.52
