state,district,year,niger_seed_kharif_yield_tonne_per_hectare
,,2006 - 2007,0.18
,,2007 - 2008,0.14
,,2008 - 2009,0.19
,,2009 - 2010,
,,2011 - 2012,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.46
,,2018 - 2019,0.22
,,2019 - 2020,0.0
,Seoni,2000 - 2001,0.14
,,2001 - 2002,0.22
,,2002 - 2003,0.16
,,2003 - 2004,0.22
,,2004 - 2005,0.21
,,2005 - 2006,0.18
,,2006 - 2007,0.22
,,2007 - 2008,0.22
,,2008 - 2009,0.22
,,2009 - 2010,
,,2010 - 2011,0.22
,,2011 - 2012,0.15
,,2012 - 2013,0.11
,,2013 - 2014,0.22
,,2014 - 2015,0.25
,,2017 - 2018,0.35
,,2018 - 2019,0.48
,,2019 - 2020,0.22
,,2020 - 2021,0.51
,,2022 - 2023,0.33
,Shahdol,2000 - 2001,0.23
,,2001 - 2002,0.28
,,2002 - 2003,0.26
,,2003 - 2004,0.28
,,2004 - 2005,0.24
,,2005 - 2006,0.31
,,2006 - 2007,0.3
,,2007 - 2008,0.29
,,2008 - 2009,0.3
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,0.22
,,2012 - 2013,0.49
,,2013 - 2014,0.73
,,2014 - 2015,0.5
,,2015 - 2016,0.59
,,2016 - 2017,0.59
,,2017 - 2018,0.61
,,2018 - 2019,0.46
,,2019 - 2020,0.6
,,2020 - 2021,0.67
,,2022 - 2023,0.37
,Shajapur,2005 - 2006,0.0
,,2018 - 2019,0.25
,Sheopur,2002 - 2003,0.01
,,2017 - 2018,0.26
,,2019 - 2020,0.25
,Shivpuri,2000 - 2001,0.21
,,2001 - 2002,0.21
,,2002 - 2003,0.03
,,2003 - 2004,0.25
,,2004 - 2005,0.25
,,2005 - 2006,0.17
,,2006 - 2007,0.23
,,2007 - 2008,0.25
,,2008 - 2009,0.2
,,2009 - 2010,
,,2017 - 2018,0.3
,,2018 - 2019,0.23
,,2019 - 2020,0.25
,Sidhi,2000 - 2001,0.4
,,2001 - 2002,0.42
,,2002 - 2003,0.39
,,2003 - 2004,0.42
,,2004 - 2005,0.42
,,2005 - 2006,0.41
,,2006 - 2007,0.41
,,2007 - 2008,0.42
,,2008 - 2009,0.43
,,2009 - 2010,
,,2010 - 2011,0.41
,,2011 - 2012,0.27
,,2012 - 2013,0.31
,,2013 - 2014,0.39
,,2017 - 2018,0.57
,,2020 - 2021,0.5
,Singrauli,2008 - 2009,0.43
,,2009 - 2010,
,,2010 - 2011,0.42
,,2011 - 2012,0.32
,,2012 - 2013,0.59
,,2013 - 2014,0.67
,,2014 - 2015,0.5
,,2017 - 2018,0.43
,,2018 - 2019,0.44
,,2019 - 2020,0.56
,,2020 - 2021,0.48
,Tikamgarh,2018 - 2019,0.34
,,2019 - 2020,0.4
,Ujjain,2001 - 2002,0.01
,,2018 - 2019,0.2
,Umaria,2000 - 2001,0.23
,,2001 - 2002,0.26
,,2002 - 2003,0.25
,,2003 - 2004,0.26
,,2004 - 2005,0.26
,,2005 - 2006,0.28
,,2006 - 2007,0.26
,,2007 - 2008,0.22
,,2008 - 2009,0.26
,,2009 - 2010,
,,2010 - 2011,0.29
,,2011 - 2012,0.2
,,2012 - 2013,0.34
,,2013 - 2014,0.35
,,2014 - 2015,0.5
,,2015 - 2016,0.23
,,2016 - 2017,0.38
,,2017 - 2018,0.36
,,2018 - 2019,0.48
,,2019 - 2020,0.39
,,2020 - 2021,0.44
,,2022 - 2023,0.37
,Vidisha,2000 - 2001,0.19
,,2002 - 2003,0.15
,,2003 - 2004,0.17
,,2004 - 2005,0.17
,,2005 - 2006,0.21
,,2006 - 2007,0.18
,,2007 - 2008,0.2
,,2009 - 2010,
Maharashtra,Ahilyanagar,2000 - 2001,0.26
,,2001 - 2002,0.18
,,2002 - 2003,0.27
,,2003 - 2004,0.29
,,2004 - 2005,0.32
,,2005 - 2006,0.3
,,2006 - 2007,0.26
,,2007 - 2008,0.28
,,2008 - 2009,0.29
,,2009 - 2010,0.26
,,2010 - 2011,0.37
,,2011 - 2012,0.37
,,2012 - 2013,0.35
,,2013 - 2014,0.35
,,2014 - 2015,0.27
,,2015 - 2016,0.25
,,2016 - 2017,0.17
,,2017 - 2018,0.15
,,2018 - 2019,0.18
,,2019 - 2020,0.15
,,2020 - 2021,0.42
,,2021 - 2022,0.17
,,2022 - 2023,0.46
,Akola,2019 - 2020,0.15
,Beed,2000 - 2001,0.19
,,2001 - 2002,0.18
,,2002 - 2003,0.24
,,2003 - 2004,0.18
,,2004 - 2005,0.2
,,2005 - 2006,0.2
,,2006 - 2007,0.2
,,2007 - 2008,0.19
,,2008 - 2009,0.13
,,2009 - 2010,0.13
,,2010 - 2011,0.25
,,2011 - 2012,0.17
,,2012 - 2013,0.17
,,2013 - 2014,0.33
,,2014 - 2015,0.13
,,2015 - 2016,0.04
,,2016 - 2017,0.16
,,2017 - 2018,0.09
,,2018 - 2019,0.05
,,2019 - 2020,0.07
,,2020 - 2021,0.04
,,2021 - 2022,0.12
,,2022 - 2023,0.25
,Buldhana,2016 - 2017,0.12
,,2017 - 2018,0.13
,,2018 - 2019,0.06
,Chhatrapati Sambhajinagar,2000 - 2001,0.14
,,2001 - 2002,0.25
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2004 - 2005,0.25
,,2005 - 2006,0.25
,,2006 - 2007,0.25
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.2
,,2012 - 2013,0.2
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.05
,,2016 - 2017,0.16
,,2019 - 2020,0.0
,,2020 - 2021,0.04
,,2021 - 2022,0.12
,Dharashiv,2000 - 2001,0.33
,,2001 - 2002,0.2
,,2002 - 2003,0.31
,,2003 - 2004,0.37
,,2004 - 2005,0.33
,,2005 - 2006,0.23
,,2006 - 2007,0.21
,,2007 - 2008,0.31
,,2008 - 2009,0.24
,,2009 - 2010,0.25
,,2010 - 2011,0.26
,,2011 - 2012,0.26
,,2012 - 2013,0.17
,,2013 - 2014,0.31
,,2014 - 2015,0.15
,,2015 - 2016,0.09
,,2016 - 2017,0.13
,,2017 - 2018,0.14
,,2018 - 2019,0.06
,,2019 - 2020,0.14
,,2020 - 2021,0.04
,,2021 - 2022,0.12
,,2022 - 2023,0.25
,Dhule,2000 - 2001,1.0
,,2001 - 2002,0.4
,,2002 - 2003,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2015 - 2016,0.2
,,2017 - 2018,0.25
,,2018 - 2019,0.14
,,2019 - 2020,0.15
,Hingoli,2000 - 2001,0.1
,,2001 - 2002,1.0
,,2002 - 2003,0.17
,,2003 - 2004,0.33
,,2004 - 2005,0.17
,,2005 - 2006,0.33
,,2006 - 2007,0.2
,,2007 - 2008,0.2
,,2008 - 2009,0.2
,,2009 - 2010,0.33
,,2010 - 2011,0.33
,,2011 - 2012,0.25
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.2
,,2015 - 2016,0.08
,,2019 - 2020,0.14
,,2020 - 2021,0.04
,Jalna,2000 - 2001,0.22
,,2001 - 2002,0.2
,,2002 - 2003,0.27
,,2003 - 2004,0.17
,,2004 - 2005,0.18
,,2005 - 2006,0.2
,,2006 - 2007,0.18
,,2007 - 2008,0.18
,,2008 - 2009,0.5
,,2009 - 2010,0.25
,,2010 - 2011,0.5
,,2011 - 2012,0.2
,,2012 - 2013,0.2
,,2013 - 2014,0.0
,,2015 - 2016,0.05
,,2016 - 2017,0.17
,,2017 - 2018,0.1
,,2019 - 2020,0.1
,,2020 - 2021,0.04
,,2021 - 2022,0.12
,,2022 - 2023,0.25
,Kolhapur,2000 - 2001,0.28
,,2001 - 2002,0.18
,,2002 - 2003,0.26
,,2003 - 2004,0.31
,,2004 - 2005,0.3
,,2005 - 2006,0.29
,,2006 - 2007,0.27
,,2007 - 2008,0.27
,,2008 - 2009,0.27
,,2009 - 2010,0.25
,,2010 - 2011,0.38
,,2011 - 2012,0.33
,,2012 - 2013,0.4
,,2013 - 2014,0.32
,,2014 - 2015,0.33
,,2015 - 2016,0.3
,,2016 - 2017,0.17
,,2017 - 2018,0.15
,,2019 - 2020,0.4
,,2020 - 2021,0.42
,,2021 - 2022,0.17
,,2022 - 2023,0.46
,Latur,2000 - 2001,0.18
,,2001 - 2002,0.15
,,2002 - 2003,0.19
,,2003 - 2004,0.2
,,2004 - 2005,0.14
,,2005 - 2006,0.22
,,2006 - 2007,0.15
,,2007 - 2008,0.21
,,2008 - 2009,0.17
,,2009 - 2010,0.08
,,2010 - 2011,0.17
,,2011 - 2012,0.29
,,2012 - 2013,0.29
,,2013 - 2014,0.24
,,2014 - 2015,0.17
,,2015 - 2016,0.08
,,2016 - 2017,0.13
,,2017 - 2018,0.08
,,2018 - 2019,0.1
,,2019 - 2020,0.27
,,2020 - 2021,0.04
,,2021 - 2022,0.12
,,2022 - 2023,0.25
,Nanded,2000 - 2001,0.23
,,2001 - 2002,0.2
,,2002 - 2003,0.14
,,2003 - 2004,0.26
,,2004 - 2005,0.21
,,2005 - 2006,0.25
,,2006 - 2007,0.16
,,2007 - 2008,0.25
,,2008 - 2009,0.15
,,2009 - 2010,0.11
,,2010 - 2011,0.27
,,2011 - 2012,0.25
,,2012 - 2013,0.2
,,2013 - 2014,0.2
,,2014 - 2015,0.0
,,2015 - 2016,0.03
,,2016 - 2017,0.09
,,2017 - 2018,0.07
,,2018 - 2019,0.13
,,2019 - 2020,0.13
,,2020 - 2021,0.04
,,2021 - 2022,0.12
,,2022 - 2023,0.25
,Nandurbar,2000 - 2001,0.1
,,2001 - 2002,0.5
,,2002 - 2003,0.1
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2008 - 2009,1.0
,,2015 - 2016,0.2
,,2017 - 2018,0.25
,,2018 - 2019,0.2
,Nashik,2000 - 2001,0.19
,,2001 - 2002,0.35
,,2002 - 2003,0.29
,,2003 - 2004,0.4
,,2004 - 2005,0.4
,,2005 - 2006,0.26
,,2006 - 2007,0.24
,,2007 - 2008,0.28
,,2008 - 2009,0.3
,,2009 - 2010,0.22
,,2010 - 2011,0.15
,,2011 - 2012,0.32
,,2012 - 2013,0.33
,,2013 - 2014,0.35
,,2014 - 2015,0.13
,,2015 - 2016,0.17
,,2016 - 2017,0.24
,,2017 - 2018,0.24
,,2018 - 2019,0.14
,,2019 - 2020,0.15
,,2020 - 2021,0.11
,,2021 - 2022,0.15
,,2022 - 2023,0.32
,Palghar,2014 - 2015,0.11
,,2015 - 2016,0.15
,,2016 - 2017,0.24
,,2017 - 2018,0.24
,,2020 - 2021,0.11
,,2021 - 2022,0.17
,,2022 - 2023,0.46
,Parbhani,2000 - 2001,0.21
,,2001 - 2002,0.17
,,2002 - 2003,0.2
,,2003 - 2004,0.25
,,2004 - 2005,0.21
,,2005 - 2006,0.2
,,2006 - 2007,0.19
,,2007 - 2008,0.27
,,2008 - 2009,0.17
,,2009 - 2010,0.18
,,2010 - 2011,0.22
,,2011 - 2012,0.28
,,2012 - 2013,0.2
,,2013 - 2014,0.2
,,2014 - 2015,0.1
,,2015 - 2016,0.05
,,2016 - 2017,0.14
,,2017 - 2018,0.13
,,2018 - 2019,0.07
,,2019 - 2020,0.17
,,2020 - 2021,0.04
,,2021 - 2022,0.12
,,2022 - 2023,0.25
,Pune,2000 - 2001,0.29
,,2001 - 2002,0.19
,,2002 - 2003,0.24
,,2003 - 2004,0.3
,,2004 - 2005,0.32
,,2005 - 2006,0.33
,,2006 - 2007,0.27
,,2007 - 2008,0.29
,,2008 - 2009,0.28
,,2009 - 2010,0.27
,,2010 - 2011,0.35
,,2011 - 2012,0.35
,,2012 - 2013,0.35
,,2013 - 2014,0.27
,,2014 - 2015,0.26
,,2015 - 2016,0.25
,,2016 - 2017,0.17
,,2017 - 2018,0.16
,,2018 - 2019,0.18
,,2019 - 2020,0.14
,,2020 - 2021,0.42
,,2021 - 2022,0.17
,,2022 - 2023,0.46
,Raigad,2000 - 2001,0.33
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2009 - 2010,0.33
,,2010 - 2011,0.25
,,2011 - 2012,0.25
,,2014 - 2015,0.0
,,2015 - 2016,0.1
,,2016 - 2017,0.24
,,2019 - 2020,0.25
,,2020 - 2021,0.11
,,2021 - 2022,0.17
,Ratnagiri,2000 - 2001,0.17
,,2001 - 2002,0.35
,,2002 - 2003,0.3
,,2003 - 2004,0.4
,,2004 - 2005,0.38
,,2005 - 2006,0.29
,,2006 - 2007,0.22
,,2007 - 2008,0.26
,,2008 - 2009,0.3
,,2009 - 2010,0.2
,,2010 - 2011,0.14
,,2011 - 2012,0.32
,,2012 - 2013,0.32
,,2013 - 2014,0.36
,,2014 - 2015,0.0
,,2015 - 2016,0.17
,,2020 - 2021,0.11
,,2021 - 2022,0.17
,Sangli,2000 - 2001,0.2
,,2001 - 2002,0.2
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.25
,,2007 - 2008,0.33
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.3
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.5
,,2016 - 2017,0.17
,Satara,2000 - 2001,0.28
,,2001 - 2002,0.17
,,2002 - 2003,0.28
,,2003 - 2004,0.29
,,2004 - 2005,0.32
,,2005 - 2006,0.29
,,2006 - 2007,0.26
,,2007 - 2008,0.25
,,2008 - 2009,0.27
,,2009 - 2010,0.19
,,2010 - 2011,0.38
,,2011 - 2012,0.33
,,2012 - 2013,0.36
,,2013 - 2014,0.33
,,2014 - 2015,0.3
,,2015 - 2016,0.3
,,2016 - 2017,0.17
,,2017 - 2018,0.15
,,2018 - 2019,0.18
,,2019 - 2020,0.37
,,2020 - 2021,0.42
,,2021 - 2022,0.17
,,2022 - 2023,0.46
,Sindhudurg,2000 - 2001,0.1
,,2001 - 2002,1.0
,,2002 - 2003,0.1
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.3
,,2012 - 2013,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.33
,,2016 - 2017,0.25
,Solapur,2000 - 2001,0.33
,,2001 - 2002,1.0
,,2002 - 2003,0.1
,,2003 - 2004,1.0
,,2004 - 2005,0.5
,,2005 - 2006,1.0
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.2
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.2
,,2016 - 2017,0.18
,,2017 - 2018,0.14
,,2018 - 2019,0.11
,,2019 - 2020,0.11
,,2020 - 2021,0.42
,,2021 - 2022,0.17
,,2022 - 2023,0.46
,Thane,2000 - 2001,0.21
,,2001 - 2002,0.35
,,2002 - 2003,0.3
,,2003 - 2004,0.4
,,2004 - 2005,0.4
,,2005 - 2006,0.29
,,2006 - 2007,0.25
,,2007 - 2008,0.29
,,2008 - 2009,0.28
,,2009 - 2010,0.2
,,2010 - 2011,0.13
,,2011 - 2012,0.3
,,2012 - 2013,0.35
,,2013 - 2014,0.35
,,2014 - 2015,0.0
,,2015 - 2016,0.1
,,2016 - 2017,0.23
,,2020 - 2021,0.11
,,2021 - 2022,0.17
,,2022 - 2023,0.46
,Washim,2000 - 2001,1.0
,,2019 - 2020,0.17
,,2020 - 2021,0.04
,Yavatmal,2000 - 2001,0.1
Nagaland,Dimapur,2000 - 2001,0.6
,,2001 - 2002,0.5
,,2004 - 2005,1.13
,,2005 - 2006,0.97
,,2006 - 2007,0.81
,Kohima,2000 - 2001,0.4
,,2001 - 2002,1.0
,,2004 - 2005,1.17
,,2005 - 2006,1.14
,,2006 - 2007,0.67
,Mokokchung,2000 - 2001,0.53
,Mon,2000 - 2001,0.5
,,2001 - 2002,0.63
,,2004 - 2005,1.04
,,2005 - 2006,0.91
,,2006 - 2007,0.6
,Tuensang,2001 - 2002,0.36
,Wokha,2000 - 2001,0.53
,,2001 - 2002,2.39
,,2004 - 2005,1.1
,,2005 - 2006,1.08
,,2006 - 2007,0.61
Odisha,Anugul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,Balangir,2022 - 2023,
,Bargarh,2001 - 2002,
,Boudh,2000 - 2001,0.26
,,2001 - 2002,0.27
,Deogarh,2000 - 2001,0.5
,,2001 - 2002,0.4
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2011 - 2012,
,Gajapati,2000 - 2001,0.45
,,2001 - 2002,
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,
,,2011 - 2012,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.2
,,2022 - 2023,
,Ganjam,2000 - 2001,0.47
,,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2003 - 2004,
,,2004 - 2005,
,Jharsuguda,2000 - 2001,
,Kalahandi,2000 - 2001,0.31
,,2001 - 2002,0.38
,,2002 - 2003,0.34
,,2003 - 2004,0.4
,,2004 - 2005,
,,2011 - 2012,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.29
,,2022 - 2023,
,Kandhamal,2000 - 2001,0.24
,,2001 - 2002,0.19
,,2002 - 2003,0.16
,,2003 - 2004,0.21
,,2004 - 2005,
,,2011 - 2012,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.27
,,2022 - 2023,
,Kendujhar,2000 - 2001,0.15
,,2001 - 2002,0.19
,,2002 - 2003,0.08
,,2003 - 2004,0.25
,,2004 - 2005,
,,2011 - 2012,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.24
,,2022 - 2023,
,Koraput,2000 - 2001,0.24
,,2001 - 2002,0.21
,,2002 - 2003,0.16
,,2003 - 2004,0.2
,,2004 - 2005,
,,2011 - 2012,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.36
,,2022 - 2023,
,Malkangiri,2000 - 2001,0.6
,,2001 - 2002,0.12
,,2002 - 2003,0.25
,,2003 - 2004,0.19
,,2004 - 2005,
,,2011 - 2012,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.25
,,2022 - 2023,
,Mayurbhanj,2000 - 2001,0.24
,,2001 - 2002,0.25
,,2002 - 2003,0.25
,,2003 - 2004,0.24
,,2004 - 2005,
,,2011 - 2012,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.15
,,2022 - 2023,
,Nabarangpur,2000 - 2001,0.23
,,2001 - 2002,0.36
,,2002 - 2003,0.13
,,2003 - 2004,0.19
,,2004 - 2005,
,,2011 - 2012,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.35
,,2022 - 2023,
,Nuapada,2001 - 2002,0.2
,Rayagada,2000 - 2001,0.26
,,2001 - 2002,0.28
,,2002 - 2003,0.12
,,2003 - 2004,0.19
,,2004 - 2005,
,,2011 - 2012,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.31
,,2022 - 2023,
,Sambalpur,2000 - 2001,0.5
,,2001 - 2002,0.33
,,2002 - 2003,0.4
,,2003 - 2004,0.4
,,2004 - 2005,
,Sundargarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2011 - 2012,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.32
,,2022 - 2023,
Tamil Nadu,Krishnagiri,2004 - 2005,0.0
,,2005 - 2006,0.0
,Madurai,2004 - 2005,0.0
,Namakkal,2005 - 2006,0.0
,Sivaganga,2005 - 2006,0.0
,Tiruchirappalli,2004 - 2005,0.0
,,2005 - 2006,0.0
,Tiruvannamalai,2004 - 2005,0.0
,Vellore,2005 - 2006,0.0
Telangana,Medak,2001 - 2002,0.42
,,2002 - 2003,0.38
,,2003 - 2004,0.39
,,2004 - 2005,0.38
,Rangareddi,2000 - 2001,0.32
,,2001 - 2002,0.42
,,2002 - 2003,0.39
,,2003 - 2004,0.39
,,2004 - 2005,0.39
,,2005 - 2006,0.39
,,2006 - 2007,0.37
,,2008 - 2009,0.44
,,2010 - 2011,0.4
,,2011 - 2012,0.4
West Bengal,Alipurduar,2016 - 2017,0.65
,,2017 - 2018,0.61
,,2018 - 2019,0.5
,,2019 - 2020,0.55
,,2020 - 2021,0.56
,,2021 - 2022,0.57
,,2022 - 2023,0.58
,Bankura,2000 - 2001,0.23
,,2001 - 2002,0.35
,,2002 - 2003,0.25
,,2003 - 2004,0.28
,,2004 - 2005,0.25
,,2005 - 2006,0.32
,,2006 - 2007,0.3
,,2007 - 2008,0.4
,,2008 - 2009,0.75
,,2009 - 2010,0.5
,Coochbehar,2000 - 2001,0.6
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.7
,,2004 - 2005,0.71
,,2005 - 2006,0.75
,,2006 - 2007,0.75
,,2007 - 2008,0.73
,,2008 - 2009,0.74
,,2009 - 2010,0.76
,,2010 - 2011,0.79
,,2011 - 2012,0.8
,,2012 - 2013,0.85
,,2013 - 2014,0.85
,,2014 - 2015,0.83
,,2015 - 2016,0.84
,,2016 - 2017,0.84
,,2017 - 2018,0.65
,,2018 - 2019,0.59
,,2019 - 2020,0.59
,,2020 - 2021,0.59
,,2021 - 2022,0.59
,,2022 - 2023,0.59
,Darjeeling,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2002 - 2003,1.4
,,2003 - 2004,1.41
,,2004 - 2005,1.41
,,2005 - 2006,0.52
,,2006 - 2007,0.6
,,2007 - 2008,0.63
,,2008 - 2009,0.59
,,2009 - 2010,0.63
,,2010 - 2011,0.64
,,2011 - 2012,0.65
,,2012 - 2013,0.62
,,2014 - 2015,0.64
,,2015 - 2016,0.68
,,2016 - 2017,0.69
,,2017 - 2018,0.72
,Dinajpur dakshin,2000 - 2001,0.5
,,2001 - 2002,0.47
,Dinajpur uttar,2000 - 2001,0.38
,,2001 - 2002,0.38
,,2002 - 2003,0.31
,,2003 - 2004,0.44
,,2004 - 2005,0.38
,,2005 - 2006,0.43
,,2006 - 2007,0.41
,,2007 - 2008,0.4
,,2008 - 2009,0.39
,,2009 - 2010,0.4
,,2010 - 2011,0.4
,,2011 - 2012,0.4
,,2012 - 2013,0.45
,,2013 - 2014,0.4
,,2014 - 2015,0.42
,,2015 - 2016,0.45
,,2016 - 2017,0.45
,,2017 - 2018,0.79
,,2018 - 2019,0.51
,,2019 - 2020,0.8
,Jalpaiguri,2000 - 2001,0.63
,,2001 - 2002,0.5
,,2002 - 2003,0.58
,,2003 - 2004,0.59
,,2004 - 2005,0.61
,,2005 - 2006,0.6
,,2006 - 2007,0.59
,,2007 - 2008,0.61
,,2008 - 2009,0.6
,,2009 - 2010,0.61
,,2010 - 2011,0.62
,,2011 - 2012,0.56
,,2012 - 2013,0.6
,,2013 - 2014,0.57
,,2014 - 2015,0.58
,,2015 - 2016,0.58
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.56
,,2019 - 2020,0.59
,,2020 - 2021,0.6
,,2021 - 2022,0.58
,,2022 - 2023,0.59
,Jhargram,2018 - 2019,0.41
,Maldah,2000 - 2001,0.28
,,2001 - 2002,0.28
,,2002 - 2003,0.27
,,2003 - 2004,0.27
,,2004 - 2005,0.25
,,2005 - 2006,0.25
,,2016 - 2017,0.83
,,2017 - 2018,0.8
,Medinipur west,2000 - 2001,0.2
,,2001 - 2002,0.29
,,2002 - 2003,0.29
,,2003 - 2004,0.35
,,2004 - 2005,0.4
,,2005 - 2006,0.45
,,2006 - 2007,0.4
,,2008 - 2009,0.45
,,2009 - 2010,0.45
,,2010 - 2011,0.52
,,2011 - 2012,0.49
,,2012 - 2013,0.49
,,2013 - 2014,0.44
,,2014 - 2015,0.48
,,2015 - 2016,0.52
,,2016 - 2017,0.53
,Purulia,2000 - 2001,0.33
,,2001 - 2002,0.33
,,2002 - 2003,0.35
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,0.35
,,2006 - 2007,0.32
,,2007 - 2008,0.34
,,2008 - 2009,0.32
,,2009 - 2010,0.34
,,2010 - 2011,0.36
,,2011 - 2012,0.37
,,2012 - 2013,0.35
,,2014 - 2015,0.36
,,2015 - 2016,0.38
,,2016 - 2017,0.37
,,2017 - 2018,0.34
,,2018 - 2019,0.39
,,2019 - 2020,0.39
,,2020 - 2021,0.4
,,2021 - 2022,0.41
,,2022 - 2023,0.41
