state,district,year,cardamom_whole_year_yield_tonne_per_hectare
,,2018 - 2019,0.0
,,2019 - 2020,0.01
,,2020 - 2021,0.01
,,2021 - 2022,0.01
,,2022 - 2023,0.01
,Malappuram,2000 - 2001,0.0
,,2001 - 2002,0.01
,,2002 - 2003,0.04
,,2003 - 2004,0.04
,,2004 - 2005,0.04
,,2005 - 2006,0.04
,,2006 - 2007,0.04
,,2007 - 2008,0.03
,,2008 - 2009,0.01
,,2009 - 2010,0.0
,,2011 - 2012,0.01
,,2012 - 2013,0.03
,,2013 - 2014,0.03
,,2014 - 2015,0.03
,,2015 - 2016,0.03
,,2016 - 2017,0.01
,,2017 - 2018,0.01
,,2018 - 2019,0.01
,,2019 - 2020,0.02
,,2020 - 2021,0.02
,,2021 - 2022,0.02
,,2022 - 2023,0.02
,Palakkad,2000 - 2001,0.06
,,2001 - 2002,0.07
,,2002 - 2003,0.07
,,2003 - 2004,0.08
,,2004 - 2005,0.08
,,2005 - 2006,0.1
,,2006 - 2007,0.09
,,2007 - 2008,0.1
,,2008 - 2009,0.12
,,2009 - 2010,0.12
,,2011 - 2012,0.12
,,2012 - 2013,0.1
,,2013 - 2014,0.11
,,2014 - 2015,0.11
,,2015 - 2016,0.11
,,2016 - 2017,0.11
,,2017 - 2018,0.03
,,2018 - 2019,0.02
,,2019 - 2020,0.02
,,2020 - 2021,0.02
,,2021 - 2022,0.03
,,2022 - 2023,0.03
,Pathanamthitta,2000 - 2001,0.1
,,2001 - 2002,0.12
,,2002 - 2003,0.12
,,2003 - 2004,0.12
,,2004 - 2005,0.12
,,2005 - 2006,0.01
,,2006 - 2007,0.01
,,2007 - 2008,0.01
,,2008 - 2009,0.02
,,2009 - 2010,0.02
,,2011 - 2012,0.02
,,2012 - 2013,0.04
,,2013 - 2014,0.01
,,2014 - 2015,0.01
,,2015 - 2016,0.01
,,2016 - 2017,0.01
,,2017 - 2018,0.01
,,2018 - 2019,0.01
,,2019 - 2020,0.02
,,2020 - 2021,0.1
,,2021 - 2022,0.1
,,2022 - 2023,0.04
,Thiruvananthapuram,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2007 - 2008,0.0
,Wayanad,2000 - 2001,0.06
,,2001 - 2002,0.07
,,2002 - 2003,0.08
,,2003 - 2004,0.08
,,2004 - 2005,0.08
,,2005 - 2006,0.09
,,2006 - 2007,0.09
,,2007 - 2008,0.08
,,2008 - 2009,0.09
,,2009 - 2010,0.09
,,2011 - 2012,0.09
,,2012 - 2013,0.15
,,2013 - 2014,0.16
,,2014 - 2015,0.17
,,2015 - 2016,0.16
,,2016 - 2017,0.08
,,2017 - 2018,0.09
,,2018 - 2019,0.05
,,2019 - 2020,0.05
,,2020 - 2021,0.12
,,2021 - 2022,0.12
,,2022 - 2023,0.11
Nagaland,Dimapur,2006 - 2007,
,Kiphire,2008 - 2009,
,Kohima,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Mokokchung,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Mon,2008 - 2009,
,Phek,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Tuensang,2008 - 2009,
,Wokha,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,Zunheboto,2008 - 2009,
Tamil Nadu,Coimbatore,2000 - 2001,0.0
,,2003 - 2004,0.08
,,2004 - 2005,0.08
,,2005 - 2006,0.08
,,2006 - 2007,0.08
,,2007 - 2008,0.08
,,2008 - 2009,0.08
,,2009 - 2010,0.08
,,2011 - 2012,0.08
,,2013 - 2014,0.08
,,2014 - 2015,0.08
,,2015 - 2016,0.03
,,2016 - 2017,0.08
,,2017 - 2018,0.08
,,2018 - 2019,0.08
,,2019 - 2020,0.08
,,2020 - 2021,0.09
,,2021 - 2022,0.08
,,2022 - 2023,0.08
,Dharmapuri,2013 - 2014,0.0
,Dindigul,2000 - 2001,0.11
,,2003 - 2004,0.1
,,2004 - 2005,0.1
,,2005 - 2006,0.1
,,2006 - 2007,0.1
,,2007 - 2008,0.1
,,2008 - 2009,0.1
,,2009 - 2010,0.1
,,2011 - 2012,0.1
,,2013 - 2014,0.1
,,2014 - 2015,0.1
,,2015 - 2016,0.01
,,2016 - 2017,0.1
,,2017 - 2018,0.1
,,2018 - 2019,0.1
,,2019 - 2020,0.1
,,2020 - 2021,0.09
,,2021 - 2022,0.1
,,2022 - 2023,0.1
,Erode,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.13
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2016 - 2017,0.0
,,2020 - 2021,0.0
,,2022 - 2023,0.17
,Kanchipuram,2006 - 2007,0.0
,Kanniyakumari,2003 - 2004,0.09
,,2004 - 2005,0.09
,,2005 - 2006,0.1
,,2006 - 2007,0.1
,,2007 - 2008,0.1
,,2008 - 2009,0.1
,,2009 - 2010,0.08
,,2011 - 2012,0.08
,,2013 - 2014,0.08
,,2014 - 2015,0.08
,,2015 - 2016,0.0
,,2016 - 2017,0.06
,,2017 - 2018,0.06
,,2018 - 2019,0.06
,,2019 - 2020,0.1
,,2020 - 2021,0.1
,,2021 - 2022,0.11
,,2022 - 2023,0.08
,Krishnagiri,2009 - 2010,0.0
,Madurai,2015 - 2016,5.5
,Namakkal,2003 - 2004,0.07
,,2004 - 2005,0.07
,,2005 - 2006,0.07
,,2006 - 2007,0.07
,,2007 - 2008,0.05
,,2008 - 2009,0.09
,,2009 - 2010,0.07
,,2011 - 2012,0.09
,,2013 - 2014,0.07
,,2014 - 2015,0.08
,,2015 - 2016,0.3
,,2016 - 2017,0.0
,,2017 - 2018,0.11
,,2018 - 2019,0.11
,,2019 - 2020,0.1
,,2020 - 2021,0.1
,,2021 - 2022,0.09
