state,district,year,jute_kharif_yield_tonne_per_hectare
,,2005 - 2006,13.74
,,2006 - 2007,12.54
,,2007 - 2008,12.89
,,2008 - 2009,15.89
,,2009 - 2010,5.02
,,2010 - 2011,4.68
,,2011 - 2012,9.97
,,2012 - 2013,12.58
,,2013 - 2014,13.9
,,2014 - 2015,15.12
,,2015 - 2016,22.04
,,2016 - 2017,15.89
,,2017 - 2018,36.89
,,2018 - 2019,13.29
,,2019 - 2020,12.0
,,2020 - 2021,24.44
,,2021 - 2022,9.97
,,2022 - 2023,12.71
,Madhubani,2001 - 2002,6.6
,,2002 - 2003,6.5
,,2003 - 2004,7.43
,,2010 - 2011,9.2
,,2011 - 2012,11.5
,,2012 - 2013,11.0
,,2013 - 2014,14.33
,Munger,2007 - 2008,9.43
,,2008 - 2009,8.0
,Muzaffarpur,2001 - 2002,0.6
,,2007 - 2008,9.43
,Nawada,2013 - 2014,14.25
,Pashchim champaran,2000 - 2001,8.38
,,2001 - 2002,6.68
,,2009 - 2010,9.17
,,2010 - 2011,9.13
,Purbi champaran,2000 - 2001,8.38
,,2001 - 2002,6.68
,,2002 - 2003,6.59
,,2003 - 2004,7.4
,,2004 - 2005,7.88
,,2005 - 2006,10.12
,,2006 - 2007,10.2
,,2007 - 2008,9.43
,,2008 - 2009,8.0
,,2009 - 2010,9.14
,,2010 - 2011,9.14
,,2011 - 2012,11.55
,Purnia,2000 - 2001,8.14
,,2001 - 2002,6.64
,,2002 - 2003,6.67
,,2003 - 2004,7.12
,,2004 - 2005,8.14
,,2005 - 2006,7.74
,,2006 - 2007,8.38
,,2007 - 2008,9.56
,,2008 - 2009,1.64
,,2009 - 2010,11.34
,,2010 - 2011,11.48
,,2011 - 2012,12.23
,,2012 - 2013,17.8
,,2013 - 2014,13.38
,,2014 - 2015,19.15
,,2015 - 2016,11.93
,,2016 - 2017,18.89
,,2017 - 2018,19.46
,,2018 - 2019,17.69
,,2019 - 2020,20.98
,,2020 - 2021,21.19
,,2021 - 2022,16.21
,,2022 - 2023,14.04
,Rohtas,2000 - 2001,8.5
,Saharsa,2000 - 2001,8.5
,,2001 - 2002,6.7
,,2002 - 2003,5.76
,,2003 - 2004,10.28
,,2004 - 2005,7.85
,,2005 - 2006,19.1
,,2006 - 2007,15.32
,,2007 - 2008,12.85
,,2008 - 2009,10.67
,,2009 - 2010,11.44
,,2010 - 2011,12.61
,,2011 - 2012,15.0
,,2012 - 2013,16.33
,,2013 - 2014,13.9
,,2014 - 2015,13.5
,,2015 - 2016,22.0
,,2016 - 2017,22.0
,,2017 - 2018,25.0
,,2018 - 2019,11.0
,,2019 - 2020,11.0
,,2020 - 2021,14.0
,,2021 - 2022,11.11
,,2022 - 2023,13.33
,Samastipur,2000 - 2001,8.38
,,2001 - 2002,6.7
,,2009 - 2010,9.18
,,2010 - 2011,9.14
,,2013 - 2014,14.28
,,2014 - 2015,14.97
,,2015 - 2016,13.93
,,2016 - 2017,14.83
,,2018 - 2019,11.0
,,2020 - 2021,14.57
,,2021 - 2022,13.96
,,2022 - 2023,13.12
,Saran,2000 - 2001,8.39
,,2001 - 2002,6.67
,,2002 - 2003,6.61
,,2003 - 2004,7.44
,,2008 - 2009,8.0
,,2009 - 2010,9.15
,Sheohar,2006 - 2007,10.0
,Siwan,2001 - 2002,6.67
,,2005 - 2006,10.14
,Supaul,2000 - 2001,3.29
,,2001 - 2002,6.68
,,2002 - 2003,4.53
,,2003 - 2004,8.82
,,2004 - 2005,7.86
,,2005 - 2006,21.53
,,2006 - 2007,16.57
,,2007 - 2008,12.84
,,2008 - 2009,8.34
,,2009 - 2010,14.88
,,2010 - 2011,16.52
,,2011 - 2012,17.29
,,2012 - 2013,18.26
,,2013 - 2014,13.9
,,2014 - 2015,13.25
,,2015 - 2016,22.04
,,2016 - 2017,24.63
,,2017 - 2018,19.61
,,2018 - 2019,9.38
,,2019 - 2020,11.04
,,2020 - 2021,21.36
,,2021 - 2022,12.22
,,2022 - 2023,14.16
,Vaishali,2000 - 2001,8.38
,,2001 - 2002,6.68
,,2003 - 2004,7.42
,,2004 - 2005,8.0
,,2005 - 2006,10.14
,,2006 - 2007,10.21
,,2007 - 2008,9.46
,,2008 - 2009,8.0
,,2013 - 2014,14.29
,,2014 - 2015,14.94
Chhattisgarh,Balrampur,2011 - 2012,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,Bilaspur,2006 - 2007,
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2013 - 2014,0.0
