state,district,year,ginger_kharif_yield_tonne_per_hectare
,,2003 - 2004,1.65
,,2004 - 2005,1.67
,,2005 - 2006,1.5
,,2007 - 2008,2.0
,,2008 - 2009,11.88
,,2009 - 2010,11.98
,,2010 - 2011,11.41
,,2011 - 2012,11.6
,,2012 - 2013,11.8
,,2013 - 2014,12.0
,,2014 - 2015,12.01
,,2015 - 2016,12.06
,,2016 - 2017,12.06
,,2017 - 2018,11.94
,,2018 - 2019,11.93
,Ukhrul,2000 - 2001,2.0
,,2001 - 2002,1.64
,,2002 - 2003,1.67
,,2003 - 2004,1.67
,,2004 - 2005,1.64
,,2005 - 2006,1.63
,,2006 - 2007,1.57
,,2007 - 2008,1.64
,,2008 - 2009,11.89
,,2009 - 2010,12.08
,,2010 - 2011,11.31
,,2011 - 2012,11.6
,,2012 - 2013,11.8
,,2013 - 2014,12.0
,,2014 - 2015,12.0
,,2015 - 2016,12.09
,,2016 - 2017,11.58
,,2017 - 2018,10.85
,,2018 - 2019,11.22
Meghalaya,East garo hills,2000 - 2001,5.86
,,2001 - 2002,4.57
,,2002 - 2003,4.57
,,2003 - 2004,4.47
,,2004 - 2005,4.39
,,2005 - 2006,5.17
,,2006 - 2007,5.38
,,2008 - 2009,4.83
,,2009 - 2010,4.83
,,2010 - 2011,4.83
,,2011 - 2012,4.89
,,2012 - 2013,4.99
,,2013 - 2014,6.79
,,2014 - 2015,6.8
,,2015 - 2016,6.87
,,2016 - 2017,6.86
,,2017 - 2018,6.87
,,2018 - 2019,6.87
,,2019 - 2020,6.87
,,2020 - 2021,6.87
,,2021 - 2022,6.87
,,2022 - 2023,6.87
,East jaintia hills,2000 - 2001,5.5
,,2001 - 2002,9.78
,,2002 - 2003,9.78
,,2003 - 2004,9.79
,,2004 - 2005,8.6
,,2005 - 2006,9.76
,,2006 - 2007,10.04
,,2008 - 2009,9.0
,,2009 - 2010,10.74
,,2010 - 2011,10.14
,,2011 - 2012,10.27
,,2012 - 2013,10.47
,,2013 - 2014,10.45
,,2014 - 2015,10.33
,,2015 - 2016,10.71
,,2016 - 2017,10.71
,,2017 - 2018,10.71
,,2018 - 2019,10.71
,,2019 - 2020,10.71
,,2020 - 2021,10.71
,,2021 - 2022,10.71
,,2022 - 2023,10.75
,East khasi hills,2000 - 2001,8.33
,,2001 - 2002,8.4
,,2002 - 2003,8.29
,,2003 - 2004,8.13
,,2004 - 2005,7.53
,,2005 - 2006,7.46
,,2006 - 2007,7.62
,,2008 - 2009,7.61
,,2009 - 2010,7.59
,,2010 - 2011,7.58
,,2011 - 2012,8.17
,,2012 - 2013,8.37
,,2013 - 2014,8.67
,,2014 - 2015,8.67
,,2015 - 2016,8.81
,,2016 - 2017,8.8
,,2017 - 2018,8.8
,,2018 - 2019,8.8
,,2019 - 2020,8.8
,,2020 - 2021,8.8
,,2021 - 2022,8.81
,,2022 - 2023,8.81
,North garo hills,2013 - 2014,1.81
,,2014 - 2015,2.06
,,2015 - 2016,2.04
,,2016 - 2017,2.04
,,2017 - 2018,2.04
,,2018 - 2019,2.04
,,2019 - 2020,2.05
,,2020 - 2021,2.05
,,2021 - 2022,2.05
,,2022 - 2023,2.05
,Ri bhoi,2000 - 2001,7.82
,,2001 - 2002,7.72
,,2002 - 2003,7.75
,,2003 - 2004,7.75
,,2004 - 2005,7.65
,,2005 - 2006,7.47
,,2006 - 2007,7.8
,,2008 - 2009,7.86
,,2009 - 2010,7.86
,,2010 - 2011,9.84
,,2011 - 2012,9.91
,,2012 - 2013,10.14
,,2013 - 2014,10.5
,,2014 - 2015,10.56
,,2015 - 2016,10.67
,,2016 - 2017,10.66
,,2017 - 2018,10.66
,,2018 - 2019,10.66
,,2019 - 2020,10.66
,,2020 - 2021,10.66
,,2021 - 2022,10.66
,,2022 - 2023,10.66
,South garo hills,2000 - 2001,4.88
,,2001 - 2002,4.87
,,2002 - 2003,4.73
,,2003 - 2004,4.86
,,2004 - 2005,4.81
,,2005 - 2006,4.82
,,2006 - 2007,4.83
,,2008 - 2009,4.82
,,2009 - 2010,4.82
,,2010 - 2011,3.73
,,2011 - 2012,3.78
,,2012 - 2013,3.8
,,2013 - 2014,3.85
,,2014 - 2015,3.9
,,2015 - 2016,4.0
,,2016 - 2017,4.0
,,2017 - 2018,4.0
,,2018 - 2019,4.01
,,2019 - 2020,4.01
,,2020 - 2021,4.01
,,2021 - 2022,4.01
,,2022 - 2023,4.01
,South west garo hills,2013 - 2014,29.12
,,2014 - 2015,25.84
,,2015 - 2016,28.27
,,2016 - 2017,27.99
,,2017 - 2018,27.99
,,2018 - 2019,27.99
,,2019 - 2020,27.99
,,2020 - 2021,27.99
,,2021 - 2022,27.99
,,2022 - 2023,18.59
,South west khasi hills,2013 - 2014,9.36
,,2014 - 2015,9.36
,,2015 - 2016,9.66
,,2016 - 2017,9.66
,,2017 - 2018,9.66
,,2018 - 2019,9.66
,,2019 - 2020,9.67
,,2020 - 2021,9.67
,,2021 - 2022,9.68
,,2022 - 2023,9.68
,West garo hills,2000 - 2001,4.67
,,2001 - 2002,0.5
,,2002 - 2003,4.68
,,2003 - 2004,5.62
,,2004 - 2005,4.68
,,2005 - 2006,4.68
,,2006 - 2007,5.16
,,2008 - 2009,4.69
,,2009 - 2010,5.92
,,2010 - 2011,5.73
,,2011 - 2012,5.93
,,2012 - 2013,6.06
,,2013 - 2014,4.49
,,2014 - 2015,4.56
,,2015 - 2016,4.7
,,2016 - 2017,4.71
,,2017 - 2018,4.71
,,2018 - 2019,4.71
,,2019 - 2020,4.71
,,2020 - 2021,4.71
,,2021 - 2022,4.71
,,2022 - 2023,4.71
,West jaintia hills,2013 - 2014,10.84
,,2014 - 2015,10.84
,,2015 - 2016,11.15
,,2016 - 2017,11.15
,,2017 - 2018,11.15
,,2018 - 2019,11.15
,,2019 - 2020,11.15
,,2020 - 2021,11.15
,,2021 - 2022,11.15
,,2022 - 2023,11.15
,West khasi hills,2000 - 2001,4.22
,,2001 - 2002,5.02
,,2002 - 2003,5.62
,,2003 - 2004,6.86
,,2004 - 2005,5.2
,,2005 - 2006,6.55
,,2006 - 2007,8.79
,,2008 - 2009,6.09
,,2009 - 2010,6.08
,,2010 - 2011,8.29
,,2011 - 2012,8.83
,,2012 - 2013,8.99
,,2013 - 2014,9.27
,,2014 - 2015,9.27
,,2015 - 2016,9.72
,,2016 - 2017,9.71
,,2017 - 2018,9.73
,,2018 - 2019,9.73
,,2019 - 2020,9.73
,,2020 - 2021,9.73
,,2021 - 2022,9.74
,,2022 - 2023,9.74
Nagaland,Chumoukedima,2022 - 2023,10.65
,Dimapur,2006 - 2007,8.78
,,2007 - 2008,6.67
,,2008 - 2009,9.89
,,2011 - 2012,9.15
,,2012 - 2013,9.14
,,2013 - 2014,9.12
,,2014 - 2015,9.11
,,2015 - 2016,9.12
,,2016 - 2017,9.08
,,2017 - 2018,9.08
,,2018 - 2019,9.1
,,2019 - 2020,9.12
,,2020 - 2021,9.42
,,2021 - 2022,8.0
,,2022 - 2023,10.67
,Kiphire,2008 - 2009,9.25
,,2011 - 2012,9.12
,,2012 - 2013,9.11
,,2013 - 2014,9.11
,,2014 - 2015,9.11
,,2015 - 2016,9.11
,,2016 - 2017,9.15
,,2017 - 2018,9.14
,,2018 - 2019,9.14
,,2019 - 2020,9.15
,,2020 - 2021,9.46
,,2021 - 2022,5.21
,,2022 - 2023,9.9
,Kohima,2006 - 2007,8.89
,,2007 - 2008,7.34
,,2008 - 2009,9.39
,,2011 - 2012,9.12
,,2012 - 2013,9.12
,,2013 - 2014,9.12
,,2014 - 2015,9.11
,,2015 - 2016,9.11
,,2016 - 2017,9.15
,,2017 - 2018,9.15
,,2018 - 2019,9.15
,,2019 - 2020,9.15
,,2020 - 2021,9.44
,,2021 - 2022,8.0
,,2022 - 2023,10.43
,Longleng,2008 - 2009,9.77
,,2011 - 2012,9.11
,,2012 - 2013,9.1
,,2013 - 2014,9.1
,,2014 - 2015,9.14
,,2015 - 2016,9.14
,,2016 - 2017,9.14
,,2017 - 2018,9.17
,,2018 - 2019,9.17
,,2019 - 2020,9.19
,,2020 - 2021,9.46
,,2021 - 2022,6.53
,,2022 - 2023,9.76
,Mokokchung,2006 - 2007,8.8
,,2007 - 2008,7.18
,,2008 - 2009,9.61
,,2011 - 2012,9.13
,,2012 - 2013,9.12
,,2013 - 2014,9.15
,,2014 - 2015,9.11
,,2015 - 2016,9.1
,,2016 - 2017,9.06
,,2017 - 2018,9.19
,,2018 - 2019,9.19
,,2019 - 2020,9.15
,,2020 - 2021,9.44
,,2021 - 2022,7.0
,,2022 - 2023,10.1
,Mon,2006 - 2007,8.86
,,2007 - 2008,6.02
,,2008 - 2009,9.61
,,2011 - 2012,9.1
,,2012 - 2013,9.13
,,2013 - 2014,9.12
,,2014 - 2015,9.14
,,2015 - 2016,9.14
,,2016 - 2017,9.16
,,2017 - 2018,9.16
,,2018 - 2019,9.16
,,2019 - 2020,9.15
,,2020 - 2021,9.43
,,2021 - 2022,5.35
,,2022 - 2023,9.18
,Noklak,2021 - 2022,5.51
,,2022 - 2023,10.02
,Nuiland,2022 - 2023,10.7
,Peren,2008 - 2009,9.64
,,2011 - 2012,9.09
,,2012 - 2013,9.12
,,2013 - 2014,9.12
,,2014 - 2015,9.11
,,2015 - 2016,9.14
,,2016 - 2017,9.14
,,2017 - 2018,9.14
,,2018 - 2019,9.17
,,2019 - 2020,9.15
,,2020 - 2021,9.43
,,2021 - 2022,9.44
,,2022 - 2023,10.05
,Phek,2006 - 2007,8.93
,,2007 - 2008,7.29
,,2008 - 2009,9.06
,,2011 - 2012,9.12
,,2012 - 2013,9.11
,,2013 - 2014,9.11
,,2014 - 2015,9.11
,,2015 - 2016,9.11
,,2016 - 2017,9.13
,,2017 - 2018,9.18
,,2018 - 2019,9.15
,,2019 - 2020,9.15
,,2020 - 2021,9.44
,,2021 - 2022,8.0
,,2022 - 2023,10.45
,Shamator,2022 - 2023,10.66
,Tseminyu,2022 - 2023,10.22
,Tuensang,2006 - 2007,8.79
,,2007 - 2008,6.1
,,2008 - 2009,9.45
,,2011 - 2012,9.12
,,2012 - 2013,9.1
,,2013 - 2014,9.13
,,2014 - 2015,9.13
,,2015 - 2016,9.13
,,2016 - 2017,9.12
,,2017 - 2018,9.15
,,2018 - 2019,9.15
,,2019 - 2020,9.15
,,2020 - 2021,9.44
,,2021 - 2022,9.0
,,2022 - 2023,10.7
,Wokha,2006 - 2007,9.12
,,2007 - 2008,8.78
,,2008 - 2009,9.42
,,2011 - 2012,9.11
,,2012 - 2013,9.1
,,2013 - 2014,9.13
,,2014 - 2015,9.13
,,2015 - 2016,9.12
,,2016 - 2017,9.09
,,2017 - 2018,9.17
,,2018 - 2019,9.16
,,2019 - 2020,9.18
,,2020 - 2021,9.46
,,2021 - 2022,7.59
,,2022 - 2023,10.52
,Zunheboto,2006 - 2007,8.46
,,2007 - 2008,7.06
,,2008 - 2009,9.31
,,2011 - 2012,9.11
,,2012 - 2013,9.13
,,2013 - 2014,9.12
,,2014 - 2015,9.15
,,2015 - 2016,9.11
,,2016 - 2017,9.17
,,2017 - 2018,9.13
,,2018 - 2019,9.13
,,2019 - 2020,9.12
,,2020 - 2021,9.43
,,2021 - 2022,9.21
,,2022 - 2023,10.5
Odisha,Anugul,2000 - 2001,2.09
,,2001 - 2002,2.0
,,2002 - 2003,1.26
,,2003 - 2004,1.29
,,2004 - 2005,1.28
,,2019 - 2020,13.39
,Balangir,2000 - 2001,1.21
,,2001 - 2002,1.23
,,2002 - 2003,1.23
,,2003 - 2004,1.25
,,2004 - 2005,1.23
,,2019 - 2020,14.0
,Baleshwar,2000 - 2001,2.07
,,2001 - 2002,2.07
,,2002 - 2003,2.06
,,2003 - 2004,2.06
,,2004 - 2005,2.06
,,2019 - 2020,13.41
,Bargarh,2000 - 2001,2.06
,,2001 - 2002,2.05
,,2002 - 2003,2.03
,,2003 - 2004,2.05
,,2004 - 2005,2.04
,,2019 - 2020,14.58
,Bhadrak,2000 - 2001,1.77
,,2001 - 2002,1.81
,,2002 - 2003,2.0
,,2003 - 2004,2.1
,,2004 - 2005,2.06
,,2019 - 2020,14.0
,Boudh,2001 - 2002,0.13
,,2002 - 2003,2.05
,,2003 - 2004,2.0
,,2004 - 2005,2.04
,,2019 - 2020,13.21
,Cuttack,2000 - 2001,1.85
,,2001 - 2002,1.85
,,2002 - 2003,1.86
,,2003 - 2004,1.85
,,2004 - 2005,1.85
,,2019 - 2020,11.9
,Deogarh,2000 - 2001,1.9
,,2001 - 2002,1.38
,,2002 - 2003,1.43
,,2003 - 2004,1.4
,,2004 - 2005,1.41
,,2019 - 2020,14.0
,Dhenkanal,2000 - 2001,1.75
,,2001 - 2002,1.81
,,2002 - 2003,1.81
,,2003 - 2004,1.79
,,2004 - 2005,1.8
,,2019 - 2020,13.56
,Gajapati,2000 - 2001,2.05
,,2001 - 2002,2.05
,,2002 - 2003,2.02
,,2003 - 2004,2.02
,,2004 - 2005,2.01
,,2019 - 2020,13.63
,Ganjam,2000 - 2001,2.05
,,2001 - 2002,2.05
,,2002 - 2003,2.11
,,2003 - 2004,2.08
,,2004 - 2005,2.06
,,2019 - 2020,12.5
,Jagatsinghapur,2000 - 2001,1.76
,,2001 - 2002,1.79
,,2002 - 2003,1.85
,,2003 - 2004,1.87
,,2004 - 2005,1.86
,,2019 - 2020,13.04
,Jajapur,2000 - 2001,1.79
,,2001 - 2002,1.79
,,2002 - 2003,1.88
,,2003 - 2004,1.88
,,2004 - 2005,1.87
,Jharsuguda,2000 - 2001,1.85
,,2001 - 2002,1.84
,,2002 - 2003,1.85
,,2003 - 2004,1.85
,,2004 - 2005,1.85
,,2019 - 2020,14.22
,Kalahandi,2000 - 2001,1.78
,,2001 - 2002,1.73
,,2002 - 2003,1.8
,,2003 - 2004,1.88
,,2004 - 2005,1.83
,,2019 - 2020,15.7
,Kandhamal,2000 - 2001,2.07
,,2001 - 2002,2.05
,,2002 - 2003,2.06
,,2003 - 2004,2.06
,,2004 - 2005,2.06
,,2019 - 2020,13.97
,Kendrapara,2000 - 2001,1.79
,,2001 - 2002,1.75
,,2002 - 2003,1.87
,,2003 - 2004,1.85
,,2004 - 2005,1.86
,,2019 - 2020,13.33
,Kendujhar,2000 - 2001,2.04
,,2001 - 2002,2.04
,,2002 - 2003,2.04
,,2003 - 2004,2.04
,,2004 - 2005,2.04
,,2019 - 2020,12.08
,Khordha,2000 - 2001,2.0
,,2001 - 2002,2.0
,,2002 - 2003,1.82
,,2003 - 2004,1.83
,,2004 - 2005,1.82
,,2019 - 2020,10.86
,Koraput,2000 - 2001,2.07
,,2001 - 2002,2.06
,,2002 - 2003,2.02
,,2003 - 2004,2.01
,,2004 - 2005,2.01
,,2019 - 2020,12.99
,Malkangiri,2000 - 2001,1.77
,,2001 - 2002,1.8
,,2002 - 2003,1.88
,,2003 - 2004,1.89
,,2004 - 2005,1.89
,,2019 - 2020,10.24
,Mayurbhanj,2000 - 2001,2.06
,,2001 - 2002,2.07
,,2002 - 2003,1.78
,,2003 - 2004,1.78
,,2004 - 2005,1.78
,,2019 - 2020,12.26
,Nabarangpur,2000 - 2001,1.9
,,2001 - 2002,1.86
,,2002 - 2003,1.86
,,2003 - 2004,1.86
,,2004 - 2005,1.85
,,2019 - 2020,13.93
,Nayagarh,2000 - 2001,1.77
,,2001 - 2002,1.8
,,2002 - 2003,1.83
,,2003 - 2004,1.83
,,2004 - 2005,1.83
,,2019 - 2020,13.38
,Nuapada,2000 - 2001,1.75
,,2001 - 2002,1.63
,,2002 - 2003,1.75
,,2003 - 2004,1.81
,,2004 - 2005,1.8
,,2019 - 2020,13.54
,Puri,2000 - 2001,4.0
,,2001 - 2002,2.0
,,2002 - 2003,2.0
,,2003 - 2004,1.33
,,2004 - 2005,1.73
,,2019 - 2020,14.0
,Rayagada,2000 - 2001,1.81
,,2001 - 2002,1.79
,,2002 - 2003,1.9
,,2003 - 2004,1.88
,,2004 - 2005,1.89
,,2019 - 2020,14.21
,Sambalpur,2000 - 2001,1.93
,,2001 - 2002,1.93
,,2002 - 2003,1.9
,,2003 - 2004,1.88
,,2004 - 2005,1.89
,,2019 - 2020,15.0
,Sonepur,2001 - 2002,1.88
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.18
,,2019 - 2020,15.2
,Sundargarh,2000 - 2001,2.0
,,2001 - 2002,2.02
,,2002 - 2003,1.89
,,2003 - 2004,1.89
,,2004 - 2005,1.89
,,2019 - 2020,14.0
Puducherry,Karaikal,2000 - 2001,0.5
,,2001 - 2002,0.11
,,2003 - 2004,0.11
,Mahe,2000 - 2001,0.62
,Pondicherry,2000 - 2001,0.5
,,2001 - 2002,0.64
,,2003 - 2004,1.02
Rajasthan,Ajmer,2021 - 2022,
,Alwar,2003 - 2004,1.0
,,2020 - 2021,
,Banswara,2001 - 2002,0.5
,,2007 - 2008,0.0
,,2008 - 2009,0.31
,,2016 - 2017,
,,2018 - 2019,
,Baran,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,0.5
,,2003 - 2004,2.0
,,2004 - 2005,4.0
,,2005 - 2006,3.3
,,2006 - 2007,2.63
,,2007 - 2008,2.18
,,2008 - 2009,2.78
,,2009 - 2010,3.33
,,2010 - 2011,1.22
,,2011 - 2012,1.67
,,2012 - 2013,0.8
,,2013 - 2014,1.33
,,2014 - 2015,0.0
,,2021 - 2022,
,,2022 - 2023,
,Bhilwara,2013 - 2014,0.0
,Chittorgarh,2006 - 2007,0.0
,,2014 - 2015,1.0
,,2015 - 2016,
,,2016 - 2017,
,Dungarpur,2000 - 2001,0.64
,,2001 - 2002,6.0
,,2002 - 2003,6.0
,,2003 - 2004,6.0
,,2004 - 2005,6.0
,,2006 - 2007,6.0
,,2008 - 2009,5.04
,,2009 - 2010,5.04
,,2010 - 2011,6.0
,,2011 - 2012,4.67
,,2012 - 2013,6.0
,,2013 - 2014,5.54
,,2014 - 2015,6.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jhalawar,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2015 - 2016,
,,2021 - 2022,
,Kota,2003 - 2004,1.67
,,2014 - 2015,3.0
,,2021 - 2022,
,Pratapgarh,2008 - 2009,0.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajsamand,2012 - 2013,1.0
,Sawai madhopur,2007 - 2008,0.0
,Udaipur,2000 - 2001,2.81
,,2001 - 2002,4.31
,,2002 - 2003,3.55
,,2003 - 2004,4.42
,,2004 - 2005,1.77
,,2005 - 2006,1.86
,,2006 - 2007,0.88
,,2007 - 2008,2.0
,,2008 - 2009,1.82
,,2009 - 2010,2.38
,,2010 - 2011,1.77
,,2011 - 2012,0.0
,,2012 - 2013,1.7
,,2013 - 2014,1.6
,,2014 - 2015,1.5
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tamil Nadu,Chengalpattu,2021 - 2022,
,Coimbatore,2004 - 2005,19.0
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dharmapuri,2002 - 2003,
,,2015 - 2016,
,Dindigul,2000 - 2001,26.48
,,2002 - 2003,
,,2003 - 2004,14.2
,,2004 - 2005,19.33
,,2005 - 2006,19.5
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Erode,2000 - 2001,26.5
,,2005 - 2006,19.33
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanniyakumari,2000 - 2001,26.5
,,2002 - 2003,
,,2003 - 2004,14.15
,,2004 - 2005,19.4
,,2005 - 2006,19.27
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Krishnagiri,2002 - 2003,
,,2004 - 2005,19.5
,,2005 - 2006,19.5
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mayiladuthurai,2021 - 2022,
,Namakkal,2002 - 2003,
,,2003 - 2004,14.18
,,2006 - 2007,
,,2011 - 2012,
,,2015 - 2016,
,Pudukkottai,2021 - 2022,
,Salem,2002 - 2003,
,,2008 - 2009,
,,2011 - 2012,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thanjavur,2002 - 2003,
,,2003 - 2004,14.0
,,2004 - 2005,19.0
,,2005 - 2006,19.33
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,The nilgiris,2000 - 2001,26.46
,,2002 - 2003,
,,2003 - 2004,14.18
,,2004 - 2005,19.3
,,2005 - 2006,19.29
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Theni,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2022 - 2023,
,Thenkasi,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Thiruvallur,2021 - 2022,
,Tirunelveli,2000 - 2001,26.49
,,2002 - 2003,
,,2003 - 2004,14.0
,,2005 - 2006,19.0
,,2006 - 2007,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2019 - 2020,
,,2021 - 2022,
,Tiruppur,2015 - 2016,
,,2022 - 2023,
,Tiruvannamalai,2021 - 2022,
,Vellore,2007 - 2008,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2022 - 2023,
,Virudhunagar,2000 - 2001,26.0
Telangana,Adilabad,2014 - 2015,8.0
,,2016 - 2017,7.0
,,2017 - 2018,7.0
,,2018 - 2019,7.0
,,2019 - 2020,6.67
,,2020 - 2021,9.0
,,2021 - 2022,9.0
,,2022 - 2023,9.0
,Bhadradri,2022 - 2023,9.0
,Jagitial,2021 - 2022,9.5
,Jangoan,2019 - 2020,6.6
,,2020 - 2021,8.92
,,2021 - 2022,4.13
,Kamareddy,2020 - 2021,9.0
,,2021 - 2022,9.4
,,2022 - 2023,9.0
,Karimnagar,2000 - 2001,
,,2001 - 2002,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,6.5
,,2015 - 2016,
,,2020 - 2021,9.0
,,2021 - 2022,9.0
,Khammam,2016 - 2017,
,,2017 - 2018,0.0
,,2020 - 2021,8.89
,,2021 - 2022,9.5
,,2022 - 2023,9.0
,Mahabubabad,2020 - 2021,9.0
,,2021 - 2022,9.0
,Mahbubnagar,2014 - 2015,8.0
,Medak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,7.21
,,2014 - 2015,7.57
,,2015 - 2016,6.52
,,2016 - 2017,7.0
,,2020 - 2021,9.0
,,2021 - 2022,9.5
,Medchal,2021 - 2022,
,Mulugu,2021 - 2022,9.0
,Nalgonda,2015 - 2016,6.57
,,2016 - 2017,7.0
,Nirmal,2020 - 2021,9.0
,,2021 - 2022,9.0
,,2022 - 2023,9.0
,Nizamabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2015 - 2016,6.5
,,2021 - 2022,9.0
,Peddapalli,2020 - 2021,9.0
,,2021 - 2022,9.33
,Rajanna,2020 - 2021,9.0
,,2021 - 2022,9.0
,Rangareddi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,6.62
,,2014 - 2015,7.55
,,2015 - 2016,2.5
,,2020 - 2021,8.93
,,2021 - 2022,19.8
,Sangareddy,2016 - 2017,6.99
,,2017 - 2018,7.06
,,2018 - 2019,6.91
,,2019 - 2020,6.6
,,2020 - 2021,9.47
,,2021 - 2022,9.44
,,2022 - 2023,8.9
,Siddipet,2016 - 2017,7.0
,,2017 - 2018,7.08
,,2018 - 2019,6.86
,,2020 - 2021,9.0
,,2021 - 2022,9.43
,,2022 - 2023,9.0
,Suryapet,2020 - 2021,9.0
,,2021 - 2022,9.0
,Vikarabad,2018 - 2019,7.0
,,2019 - 2020,6.61
,,2020 - 2021,3.5
,,2021 - 2022,9.7
,,2022 - 2023,9.51
,Warangal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2017 - 2018,7.0
,,2018 - 2019,7.0
,,2019 - 2020,7.0
,,2020 - 2021,8.9
,,2021 - 2022,9.0
,Warangal urban,2021 - 2022,9.0
,Yadadri,2020 - 2021,9.0
,,2021 - 2022,9.0
,,2022 - 2023,9.0
Uttar Pradesh,Agra,2006 - 2007,3.0
,Aligarh,2006 - 2007,3.0
,,2007 - 2008,2.0
,Ambedkar nagar,2007 - 2008,2.2
,,2010 - 2011,3.0
,Amroha,2006 - 2007,3.0
,Azamgarh,2006 - 2007,3.13
,,2010 - 2011,2.5
,,2011 - 2012,3.0
,Baghpat,2007 - 2008,2.33
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,Bahraich,2006 - 2007,3.07
,,2007 - 2008,2.27
,,2009 - 2010,3.0
,,2010 - 2011,2.85
,,2011 - 2012,2.84
,,2012 - 2013,4.89
,,2013 - 2014,5.13
,,2014 - 2015,4.61
,,2015 - 2016,0.45
,,2016 - 2017,4.1
,,2017 - 2018,4.76
,,2018 - 2019,4.75
,,2019 - 2020,5.25
,,2020 - 2021,4.71
,,2021 - 2022,4.49
,,2022 - 2023,4.55
,Ballia,2006 - 2007,3.0
,Bareilly,2006 - 2007,3.0
