state,district,year,tapioca_whole_year_yield_tonne_per_hectare
,,2019 - 2020,6.38
,,2020 - 2021,9.63
,,2021 - 2022,9.62
,,2022 - 2023,9.8
,Cachar,2000 - 2001,4.31
,,2001 - 2002,4.31
,,2002 - 2003,4.31
,,2003 - 2004,4.31
,,2005 - 2006,4.3
,,2006 - 2007,4.3
,,2007 - 2008,4.29
,,2008 - 2009,4.29
,,2009 - 2010,4.3
,,2010 - 2011,4.31
,,2011 - 2012,8.35
,,2012 - 2013,9.23
,,2013 - 2014,9.22
,,2014 - 2015,9.24
,,2015 - 2016,9.26
,,2016 - 2017,9.33
,,2017 - 2018,9.33
,,2018 - 2019,9.26
,,2019 - 2020,9.55
,,2020 - 2021,9.55
,,2021 - 2022,9.57
,,2022 - 2023,10.24
,Charaideo,2020 - 2021,9.0
,,2021 - 2022,9.0
,,2022 - 2023,9.0
,Chirang,2005 - 2006,4.28
,,2006 - 2007,4.24
,,2007 - 2008,4.24
,,2008 - 2009,4.47
,,2009 - 2010,4.32
,,2010 - 2011,4.35
,,2011 - 2012,4.85
,,2012 - 2013,5.05
,,2013 - 2014,5.05
,,2014 - 2015,5.05
,,2015 - 2016,5.07
,,2016 - 2017,5.1
,,2017 - 2018,5.13
,,2018 - 2019,6.23
,,2019 - 2020,6.68
,,2020 - 2021,6.68
,,2021 - 2022,6.68
,,2022 - 2023,8.36
,Darrang,2000 - 2001,4.07
,,2001 - 2002,4.05
,,2002 - 2003,4.12
,,2003 - 2004,4.12
,,2005 - 2006,3.88
,,2006 - 2007,3.88
,,2007 - 2008,3.86
,,2008 - 2009,3.85
,,2012 - 2013,14.0
,,2013 - 2014,8.5
,,2014 - 2015,4.5
,,2015 - 2016,3.5
,,2016 - 2017,5.0
,,2017 - 2018,5.0
,,2018 - 2019,9.0
,,2019 - 2020,10.0
,,2020 - 2021,10.0
,,2021 - 2022,10.0
,,2022 - 2023,12.0
,Dhemaji,2000 - 2001,3.71
,,2001 - 2002,2.42
,,2002 - 2003,3.28
,,2003 - 2004,3.11
,,2005 - 2006,3.24
,,2006 - 2007,3.03
,,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,2.96
,,2010 - 2011,3.04
,,2011 - 2012,5.53
,,2012 - 2013,5.65
,,2013 - 2014,5.65
,,2014 - 2015,5.65
,,2015 - 2016,5.65
,,2016 - 2017,5.75
,,2017 - 2018,5.76
,,2018 - 2019,8.0
,,2019 - 2020,8.31
,,2020 - 2021,6.46
,,2021 - 2022,6.46
,,2022 - 2023,7.0
,Dhubri,2000 - 2001,3.27
,,2001 - 2002,3.32
,,2002 - 2003,3.3
,,2003 - 2004,3.35
,,2005 - 2006,3.18
,,2006 - 2007,3.17
,,2007 - 2008,3.2
,,2008 - 2009,3.14
,,2009 - 2010,3.19
,,2010 - 2011,3.36
,,2011 - 2012,4.24
,,2012 - 2013,5.27
,,2013 - 2014,5.26
,,2014 - 2015,5.26
,,2015 - 2016,5.24
,,2016 - 2017,5.38
,,2017 - 2018,5.38
,,2018 - 2019,8.0
,,2019 - 2020,8.26
,,2020 - 2021,8.27
,,2021 - 2022,8.26
,,2022 - 2023,8.45
,Dibrugarh,2000 - 2001,4.09
,,2001 - 2002,4.09
,,2002 - 2003,4.09
,,2003 - 2004,4.08
,,2005 - 2006,4.07
,,2006 - 2007,4.12
,,2007 - 2008,4.0
,,2008 - 2009,4.08
,,2009 - 2010,4.08
,,2010 - 2011,4.0
,,2011 - 2012,10.0
,,2012 - 2013,10.13
,,2013 - 2014,10.11
,,2014 - 2015,10.11
,,2015 - 2016,10.11
,,2016 - 2017,10.24
,,2017 - 2018,10.27
,,2018 - 2019,9.53
,,2019 - 2020,9.83
,,2020 - 2021,9.83
,,2021 - 2022,9.8
,,2022 - 2023,10.5
,Dima hasao,2000 - 2001,5.0
,,2001 - 2002,5.0
,,2002 - 2003,5.0
,,2003 - 2004,5.0
,,2005 - 2006,5.0
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2008 - 2009,5.0
,,2009 - 2010,5.0
,,2010 - 2011,5.0
,,2011 - 2012,2.76
,,2012 - 2013,6.37
,,2013 - 2014,6.38
,,2014 - 2015,6.38
,,2015 - 2016,6.38
,,2016 - 2017,6.4
,,2017 - 2018,6.44
,,2018 - 2019,6.86
,,2019 - 2020,6.93
,,2020 - 2021,6.93
,,2021 - 2022,6.93
,,2022 - 2023,7.05
,Goalpara,2000 - 2001,4.2
,,2001 - 2002,4.55
,,2002 - 2003,4.51
,,2003 - 2004,4.42
,,2005 - 2006,4.48
,,2006 - 2007,4.46
,,2007 - 2008,4.48
,,2008 - 2009,4.89
,,2009 - 2010,4.61
,,2010 - 2011,4.66
,,2011 - 2012,6.96
,,2012 - 2013,7.25
,,2013 - 2014,7.25
,,2014 - 2015,7.26
,,2015 - 2016,7.27
,,2016 - 2017,7.29
,,2017 - 2018,7.31
,,2018 - 2019,7.31
,,2019 - 2020,5.7
,,2020 - 2021,5.7
,,2021 - 2022,5.7
,,2022 - 2023,8.51
,Golaghat,2000 - 2001,4.0
,,2001 - 2002,3.88
,,2002 - 2003,4.0
,,2003 - 2004,4.0
,,2005 - 2006,4.0
,,2006 - 2007,4.0
,,2007 - 2008,4.0
,,2008 - 2009,4.0
,,2009 - 2010,3.91
,,2010 - 2011,3.93
,,2011 - 2012,7.93
,,2012 - 2013,8.72
,,2013 - 2014,8.72
,,2014 - 2015,8.71
,,2015 - 2016,8.73
,,2016 - 2017,8.93
,,2017 - 2018,9.0
,,2018 - 2019,9.15
,,2019 - 2020,7.46
,,2020 - 2021,7.5
,,2021 - 2022,7.47
,,2022 - 2023,8.67
,Hailakandi,2000 - 2001,4.4
,,2001 - 2002,4.4
,,2002 - 2003,4.43
,,2003 - 2004,4.43
,,2005 - 2006,4.33
,,2006 - 2007,4.33
,,2007 - 2008,4.5
,,2008 - 2009,4.67
,,2009 - 2010,4.5
,,2010 - 2011,4.5
,,2011 - 2012,8.0
,,2012 - 2013,9.0
,,2014 - 2015,9.0
,,2015 - 2016,12.0
,,2017 - 2018,13.0
,,2018 - 2019,9.0
,,2019 - 2020,10.0
,,2020 - 2021,10.0
,Hojai,2020 - 2021,9.26
,,2021 - 2022,9.26
,,2022 - 2023,9.65
,Jorhat,2000 - 2001,5.0
,,2001 - 2002,5.0
,,2002 - 2003,5.0
,,2003 - 2004,5.0
,,2005 - 2006,5.0
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2008 - 2009,4.91
,,2009 - 2010,5.0
,,2010 - 2011,5.0
,,2011 - 2012,10.0
,,2012 - 2013,10.4
,,2013 - 2014,10.29
,,2014 - 2015,10.5
,,2015 - 2016,10.33
,,2016 - 2017,10.4
,,2017 - 2018,10.33
,,2018 - 2019,9.43
,,2019 - 2020,9.6
,,2020 - 2021,9.6
,,2021 - 2022,9.6
,,2022 - 2023,10.5
,Kamrup,2000 - 2001,3.6
,,2001 - 2002,3.66
,,2002 - 2003,3.6
,,2003 - 2004,3.62
,,2005 - 2006,3.62
,,2006 - 2007,3.58
,,2007 - 2008,3.61
,,2008 - 2009,3.61
,,2009 - 2010,3.6
,,2010 - 2011,3.6
,,2011 - 2012,7.76
,,2012 - 2013,4.56
,,2013 - 2014,4.56
,,2014 - 2015,4.57
,,2015 - 2016,4.6
,,2016 - 2017,4.8
,,2017 - 2018,4.82
,,2018 - 2019,7.4
,,2019 - 2020,7.63
,,2020 - 2021,7.63
,,2021 - 2022,8.96
,,2022 - 2023,9.1
,Kamrup metro,2005 - 2006,3.63
,,2006 - 2007,3.7
,,2007 - 2008,3.58
,,2008 - 2009,3.83
,,2009 - 2010,3.67
,,2010 - 2011,3.73
,,2011 - 2012,9.36
,,2012 - 2013,9.53
,,2013 - 2014,9.54
,,2014 - 2015,9.58
,,2015 - 2016,9.5
,,2021 - 2022,9.0
,,2022 - 2023,9.0
,Karbi anglong,2000 - 2001,5.28
,,2001 - 2002,5.03
,,2002 - 2003,5.04
,,2003 - 2004,5.04
,,2005 - 2006,5.04
,,2006 - 2007,5.1
,,2007 - 2008,5.06
,,2008 - 2009,5.07
,,2009 - 2010,5.08
,,2010 - 2011,5.07
,,2011 - 2012,11.43
,,2012 - 2013,11.53
,,2013 - 2014,11.53
,,2014 - 2015,11.53
,,2015 - 2016,11.54
,,2016 - 2017,11.55
,,2017 - 2018,11.56
,,2018 - 2019,11.26
,,2019 - 2020,9.3
,,2020 - 2021,11.3
,,2021 - 2022,11.3
,,2022 - 2023,11.39
,Karimganj,2000 - 2001,4.33
,,2001 - 2002,4.33
,,2005 - 2006,4.4
,,2009 - 2010,4.0
,,2011 - 2012,10.0
,,2012 - 2013,9.0
,Kokrajhar,2000 - 2001,4.79
,,2001 - 2002,4.79
,,2002 - 2003,4.78
,,2003 - 2004,4.79
,,2005 - 2006,4.78
,,2006 - 2007,4.79
,,2007 - 2008,4.79
,,2008 - 2009,4.79
,,2009 - 2010,4.79
,,2010 - 2011,4.79
,,2011 - 2012,10.0
,,2012 - 2013,10.25
,,2013 - 2014,10.25
,,2014 - 2015,11.18
,,2015 - 2016,11.19
,,2016 - 2017,11.19
,,2017 - 2018,11.23
,,2018 - 2019,11.08
,,2019 - 2020,13.2
,,2020 - 2021,11.1
,,2021 - 2022,11.1
,,2022 - 2023,11.13
,Lakhimpur,2000 - 2001,4.27
,,2001 - 2002,4.25
,,2002 - 2003,4.25
,,2003 - 2004,4.28
,,2005 - 2006,4.23
,,2006 - 2007,4.26
,,2007 - 2008,4.26
,,2008 - 2009,4.25
,,2009 - 2010,4.27
,,2010 - 2011,4.25
,,2011 - 2012,8.58
,,2012 - 2013,8.69
,,2013 - 2014,8.69
,,2014 - 2015,8.68
