state,district,year,tapioca_whole_year_yield_tonne_per_hectare
,,2022 - 2023,37.35
,Madurai,2000 - 2001,35.48
,,2002 - 2003,31.59
,,2003 - 2004,33.69
,,2004 - 2005,41.26
,,2005 - 2006,38.21
,,2006 - 2007,40.36
,,2007 - 2008,42.21
,,2008 - 2009,36.47
,,2009 - 2010,34.47
,,2011 - 2012,37.67
,,2013 - 2014,29.92
,,2014 - 2015,32.44
,,2015 - 2016,27.44
,,2016 - 2017,26.34
,,2017 - 2018,34.2
,,2018 - 2019,34.6
,,2019 - 2020,37.1
,,2020 - 2021,43.09
,,2021 - 2022,32.36
,,2022 - 2023,37.55
,Mayiladuthurai,2020 - 2021,42.49
,,2021 - 2022,32.02
,,2022 - 2023,37.55
,Nagapattinam,2000 - 2001,35.48
,,2002 - 2003,31.59
,,2003 - 2004,33.69
,,2004 - 2005,41.27
,,2005 - 2006,38.21
,,2006 - 2007,40.36
,,2007 - 2008,42.2
,,2008 - 2009,36.47
,,2009 - 2010,34.47
,,2011 - 2012,37.66
,,2013 - 2014,29.93
,,2014 - 2015,32.44
,,2015 - 2016,27.44
,,2016 - 2017,26.21
,,2017 - 2018,34.77
,,2018 - 2019,34.95
,,2019 - 2020,37.65
,Namakkal,2000 - 2001,39.74
,,2002 - 2003,45.75
,,2003 - 2004,45.62
,,2004 - 2005,45.78
,,2005 - 2006,48.22
,,2006 - 2007,48.45
,,2007 - 2008,42.54
,,2008 - 2009,43.71
,,2009 - 2010,37.5
,,2011 - 2012,36.31
,,2013 - 2014,34.74
,,2014 - 2015,27.5
,,2015 - 2016,28.86
,,2016 - 2017,25.21
,,2017 - 2018,30.09
,,2018 - 2019,35.52
,,2019 - 2020,32.12
,,2020 - 2021,46.23
,,2021 - 2022,28.08
,,2022 - 2023,37.0
,Perambalur,2000 - 2001,38.72
,,2002 - 2003,46.93
,,2003 - 2004,33.69
,,2004 - 2005,54.43
,,2005 - 2006,39.28
,,2006 - 2007,41.93
,,2007 - 2008,63.63
,,2008 - 2009,53.78
,,2009 - 2010,52.62
,,2011 - 2012,37.66
,,2013 - 2014,65.71
,,2014 - 2015,60.05
,,2015 - 2016,26.98
,,2016 - 2017,26.17
,,2017 - 2018,48.04
,,2018 - 2019,26.67
,,2019 - 2020,28.85
,,2020 - 2021,28.88
,,2021 - 2022,24.31
,,2022 - 2023,38.13
,Pudukkottai,2000 - 2001,35.5
,,2002 - 2003,31.56
,,2003 - 2004,33.71
,,2004 - 2005,41.29
,,2005 - 2006,38.19
,,2006 - 2007,40.36
,,2007 - 2008,42.21
,,2008 - 2009,36.47
,,2009 - 2010,34.48
,,2011 - 2012,37.66
,,2013 - 2014,29.93
,,2014 - 2015,32.44
,,2015 - 2016,27.45
,,2016 - 2017,26.33
,,2017 - 2018,34.22
,,2018 - 2019,34.78
,,2019 - 2020,37.79
,,2020 - 2021,42.54
,,2021 - 2022,32.14
,,2022 - 2023,37.55
,Ramanathapuram,2013 - 2014,29.95
,,2015 - 2016,27.44
,,2016 - 2017,25.29
,,2017 - 2018,34.0
,Ranipet,2020 - 2021,34.0
,,2021 - 2022,43.0
,,2022 - 2023,37.5
,Salem,2000 - 2001,35.49
,,2002 - 2003,27.59
,,2003 - 2004,33.74
,,2004 - 2005,38.1
,,2005 - 2006,33.65
,,2006 - 2007,37.14
,,2007 - 2008,38.81
,,2008 - 2009,32.44
,,2009 - 2010,32.49
,,2011 - 2012,50.64
,,2013 - 2014,22.04
,,2014 - 2015,28.24
,,2015 - 2016,33.03
,,2016 - 2017,24.28
,,2017 - 2018,34.28
,,2018 - 2019,29.96
,,2019 - 2020,45.53
,,2020 - 2021,44.2
,,2021 - 2022,35.25
,,2022 - 2023,41.09
,Sivaganga,2003 - 2004,33.71
,,2004 - 2005,41.27
,,2005 - 2006,38.2
,,2006 - 2007,40.33
,,2007 - 2008,42.33
,,2008 - 2009,36.33
,,2013 - 2014,30.0
,,2014 - 2015,32.5
,,2015 - 2016,27.43
,,2016 - 2017,26.35
,,2017 - 2018,34.22
,,2018 - 2019,34.75
,,2019 - 2020,37.96
,,2020 - 2021,42.87
,,2021 - 2022,32.11
,,2022 - 2023,37.56
,Thanjavur,2000 - 2001,35.49
,,2002 - 2003,31.6
,,2003 - 2004,33.68
,,2004 - 2005,41.27
,,2005 - 2006,38.21
,,2006 - 2007,40.36
,,2007 - 2008,42.2
,,2008 - 2009,36.47
,,2009 - 2010,34.47
,,2011 - 2012,37.66
,,2013 - 2014,29.92
,,2014 - 2015,32.44
,,2015 - 2016,27.45
,,2016 - 2017,26.35
,,2017 - 2018,34.29
,,2018 - 2019,24.71
,,2019 - 2020,49.28
,,2020 - 2021,42.57
,,2021 - 2022,32.11
,,2022 - 2023,37.55
,The nilgiris,2000 - 2001,35.48
,,2002 - 2003,31.59
,,2003 - 2004,33.69
,,2004 - 2005,41.26
,,2005 - 2006,38.21
,,2006 - 2007,40.36
,,2007 - 2008,42.23
,,2008 - 2009,36.46
,,2009 - 2010,34.47
,,2011 - 2012,37.73
,,2013 - 2014,29.93
,,2014 - 2015,32.43
,,2015 - 2016,27.45
,,2016 - 2017,26.54
,,2017 - 2018,34.22
,,2018 - 2019,34.4
,,2019 - 2020,38.33
,,2020 - 2021,42.79
,,2021 - 2022,32.39
,,2022 - 2023,37.56
,Theni,2000 - 2001,35.48
,,2002 - 2003,31.61
,,2003 - 2004,33.75
,,2004 - 2005,41.22
,,2005 - 2006,38.24
,,2006 - 2007,40.36
,,2007 - 2008,42.2
,,2008 - 2009,36.47
,,2009 - 2010,34.47
,,2011 - 2012,37.66
,,2013 - 2014,60.2
,,2014 - 2015,42.88
,,2015 - 2016,34.17
,,2016 - 2017,34.54
,,2017 - 2018,37.01
,,2018 - 2019,29.21
,,2019 - 2020,42.29
,,2020 - 2021,42.68
,,2021 - 2022,32.02
,,2022 - 2023,37.55
,Thenkasi,2020 - 2021,42.47
,,2021 - 2022,32.17
,,2022 - 2023,37.55
,Thiruvallur,2000 - 2001,35.49
,,2002 - 2003,31.59
,,2003 - 2004,33.68
,,2004 - 2005,41.27
,,2005 - 2006,38.21
,,2006 - 2007,40.36
,,2007 - 2008,42.2
,,2008 - 2009,36.48
,,2009 - 2010,34.47
,,2011 - 2012,37.66
,,2013 - 2014,29.92
,,2014 - 2015,32.43
,,2015 - 2016,27.44
,,2016 - 2017,26.27
,,2017 - 2018,34.17
,,2018 - 2019,34.78
,,2019 - 2020,37.71
,,2020 - 2021,42.46
,,2021 - 2022,32.11
,,2022 - 2023,37.56
,Thiruvarur,2000 - 2001,35.49
,,2002 - 2003,31.58
,,2003 - 2004,33.69
,,2004 - 2005,41.27
,,2005 - 2006,38.21
,,2006 - 2007,40.36
,,2007 - 2008,42.2
,,2008 - 2009,36.47
,,2009 - 2010,34.47
,,2011 - 2012,37.66
,,2013 - 2014,29.92
,,2014 - 2015,32.44
,,2015 - 2016,27.44
,,2016 - 2017,26.33
,,2017 - 2018,34.21
,,2018 - 2019,34.76
,,2019 - 2020,37.78
,,2020 - 2021,42.55
,,2021 - 2022,32.14
,,2022 - 2023,37.55
,Thoothukudi,2000 - 2001,35.46
,,2002 - 2003,31.5
,,2003 - 2004,33.6
,,2004 - 2005,41.5
,,2005 - 2006,38.2
,,2006 - 2007,40.4
,,2007 - 2008,42.18
,,2008 - 2009,36.5
,,2009 - 2010,34.5
,,2011 - 2012,37.65
,,2013 - 2014,29.94
,,2014 - 2015,32.5
,,2015 - 2016,27.5
,,2016 - 2017,27.5
,,2017 - 2018,34.24
,,2018 - 2019,35.0
,,2019 - 2020,37.5
,,2020 - 2021,38.67
,,2021 - 2022,34.33
,Tiruchirappalli,2000 - 2001,42.48
,,2002 - 2003,47.38
,,2003 - 2004,42.08
,,2004 - 2005,47.68
,,2005 - 2006,40.13
,,2006 - 2007,48.04
,,2007 - 2008,52.66
,,2008 - 2009,58.35
,,2009 - 2010,54.63
,,2011 - 2012,53.94
,,2013 - 2014,39.32
,,2014 - 2015,42.84
,,2015 - 2016,38.05
,,2016 - 2017,42.14
,,2017 - 2018,40.93
,,2018 - 2019,47.91
,,2019 - 2020,53.68
,,2020 - 2021,41.43
,,2021 - 2022,36.63
,,2022 - 2023,40.24
,Tirunelveli,2000 - 2001,35.48
,,2002 - 2003,31.59
,,2003 - 2004,33.69
,,2004 - 2005,41.27
,,2005 - 2006,38.21
,,2006 - 2007,40.36
,,2007 - 2008,42.21
,,2008 - 2009,36.47
,,2009 - 2010,34.47
,,2011 - 2012,37.66
,,2013 - 2014,29.92
,,2014 - 2015,32.44
,,2015 - 2016,27.44
,,2016 - 2017,26.33
,,2017 - 2018,34.22
,,2018 - 2019,34.87
,,2019 - 2020,37.77
,,2020 - 2021,42.72
,,2021 - 2022,32.19
,,2022 - 2023,37.53
,Tirupathur,2020 - 2021,42.53
,,2021 - 2022,32.33
,,2022 - 2023,37.56
,Tiruppur,2008 - 2009,0.0
,,2009 - 2010,30.05
,,2011 - 2012,29.41
,,2013 - 2014,28.49
,,2014 - 2015,25.49
,,2015 - 2016,33.15
,,2016 - 2017,14.89
,,2017 - 2018,34.66
,,2018 - 2019,46.98
,,2019 - 2020,46.35
,,2020 - 2021,47.4
,,2021 - 2022,49.16
,,2022 - 2023,37.55
,Tiruvannamalai,2000 - 2001,35.49
,,2002 - 2003,31.59
,,2003 - 2004,33.69
,,2004 - 2005,41.27
,,2005 - 2006,40.37
,,2006 - 2007,42.15
,,2007 - 2008,42.2
,,2008 - 2009,34.47
,,2009 - 2010,46.93
,,2011 - 2012,37.66
,,2013 - 2014,37.15
,,2014 - 2015,73.39
,,2015 - 2016,32.81
,,2016 - 2017,31.55
,,2017 - 2018,37.11
,,2018 - 2019,28.75
,,2019 - 2020,67.13
,,2020 - 2021,62.73
,,2021 - 2022,34.1
,,2022 - 2023,36.53
,Vellore,2000 - 2001,35.44
,,2002 - 2003,31.59
,,2003 - 2004,33.69
,,2004 - 2005,41.28
,,2005 - 2006,38.21
,,2006 - 2007,40.36
,,2007 - 2008,42.2
,,2008 - 2009,36.47
,,2009 - 2010,34.47
,,2011 - 2012,37.66
,,2013 - 2014,29.92
,,2014 - 2015,31.3
,,2015 - 2016,34.95
,,2016 - 2017,27.47
,,2017 - 2018,34.22
,,2018 - 2019,34.68
,,2019 - 2020,37.68
,,2020 - 2021,42.5
,,2021 - 2022,32.0
,,2022 - 2023,37.56
,Villupuram,2000 - 2001,31.05
,,2002 - 2003,31.32
,,2003 - 2004,43.21
,,2004 - 2005,28.28
,,2005 - 2006,28.12
,,2006 - 2007,31.67
,,2007 - 2008,36.88
,,2008 - 2009,29.55
,,2009 - 2010,31.21
,,2011 - 2012,21.55
,,2013 - 2014,25.84
,,2014 - 2015,33.49
,,2015 - 2016,20.15
,,2016 - 2017,15.93
,,2017 - 2018,35.41
,,2018 - 2019,40.4
,,2019 - 2020,39.44
,,2020 - 2021,32.47
,,2021 - 2022,38.38
,,2022 - 2023,24.22
,Virudhunagar,2002 - 2003,31.61
,,2003 - 2004,33.7
,,2004 - 2005,41.22
,,2005 - 2006,38.14
,,2006 - 2007,40.38
,,2007 - 2008,42.2
,,2008 - 2009,36.47
,,2009 - 2010,34.44
,,2011 - 2012,37.71
,,2013 - 2014,30.0
,,2014 - 2015,32.5
,,2015 - 2016,27.44
,,2016 - 2017,26.73
,,2017 - 2018,34.2
,,2018 - 2019,34.42
,,2019 - 2020,37.17
,,2020 - 2021,42.66
,,2021 - 2022,32.52
,,2022 - 2023,37.56
Telangana,Khammam,2010 - 2011,6.5
,Mahbubnagar,2000 - 2001,8.0
,Rangareddi,2000 - 2001,7.65
,,2002 - 2003,0.0
,,2003 - 2004,6.33
