state,district,year,onion_rabi_yield_tonne_per_hectare
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jaipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jaisalmer,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jalore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jhalawar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jhunjhunu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jodhpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karauli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kota,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nagaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pali,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pratapgarh,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajsamand,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sawai madhopur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sikar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sirohi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tonk,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udaipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Tamil Nadu,Ariyalur,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.43
,,2014 - 2015,8.6
,,2015 - 2016,6.5
,,2016 - 2017,5.13
,,2017 - 2018,9.29
,,2018 - 2019,5.56
,,2019 - 2020,10.0
,,2020 - 2021,5.5
,,2021 - 2022,6.14
,,2022 - 2023,7.62
,Chengalpattu,2020 - 2021,5.0
,,2021 - 2022,6.5
,,2022 - 2023,7.5
,Coimbatore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.47
,,2014 - 2015,8.62
,,2015 - 2016,6.48
,,2016 - 2017,5.04
,,2017 - 2018,12.32
,,2018 - 2019,5.68
,,2019 - 2020,7.06
,,2020 - 2021,5.56
,,2021 - 2022,6.03
,,2022 - 2023,7.62
,Cuddalore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.4
,,2014 - 2015,8.63
,,2015 - 2016,6.48
,,2016 - 2017,5.0
,,2017 - 2018,9.32
,,2018 - 2019,5.83
,,2019 - 2020,7.5
,,2020 - 2021,5.64
,,2021 - 2022,6.0
,,2022 - 2023,7.67
,Dharmapuri,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.46
,,2014 - 2015,8.62
,,2015 - 2016,6.5
,,2016 - 2017,5.02
,,2017 - 2018,9.31
,,2018 - 2019,5.72
,,2019 - 2020,7.07
,,2020 - 2021,5.56
,,2021 - 2022,6.03
,,2022 - 2023,7.62
,Dindigul,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,6.51
,,2014 - 2015,8.34
,,2015 - 2016,11.27
,,2016 - 2017,4.28
,,2017 - 2018,9.64
,,2018 - 2019,4.87
,,2019 - 2020,4.18
,,2020 - 2021,8.05
,,2021 - 2022,8.62
,,2022 - 2023,9.26
,Erode,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.47
,,2014 - 2015,8.61
,,2015 - 2016,6.48
,,2016 - 2017,5.05
,,2017 - 2018,12.94
,,2018 - 2019,5.69
,,2019 - 2020,8.36
,,2020 - 2021,6.35
,,2021 - 2022,9.25
,,2022 - 2023,9.56
,Kallakurichi,2020 - 2021,5.55
,,2021 - 2022,3.93
,,2022 - 2023,7.19
,Kanchipuram,2003 - 2004,
,,2004 - 2005,
,,2011 - 2012,
,,2014 - 2015,9.0
,,2015 - 2016,6.5
,,2016 - 2017,
,,2017 - 2018,9.5
,,2018 - 2019,5.6
,,2019 - 2020,6.0
,Kanniyakumari,2004 - 2005,
,Karur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.47
,,2014 - 2015,8.62
,,2015 - 2016,6.49
,,2016 - 2017,5.06
,,2017 - 2018,14.18
,,2018 - 2019,5.68
,,2019 - 2020,7.05
,,2020 - 2021,5.55
,,2021 - 2022,6.03
,,2022 - 2023,7.62
,Krishnagiri,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.47
,,2014 - 2015,8.61
,,2015 - 2016,6.0
,,2016 - 2017,3.0
,,2017 - 2018,9.2
,,2018 - 2019,5.71
,,2019 - 2020,6.63
,,2020 - 2021,5.55
,,2021 - 2022,6.0
,,2022 - 2023,7.64
,Madurai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.23
,,2014 - 2015,8.61
,,2015 - 2016,4.0
,,2016 - 2017,8.14
,,2017 - 2018,8.34
,,2018 - 2019,5.71
,,2019 - 2020,7.06
,,2020 - 2021,5.55
,,2021 - 2022,6.04
,,2022 - 2023,7.62
,Nagapattinam,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2013 - 2014,
,,2015 - 2016,6.4
,,2016 - 2017,4.6
,,2017 - 2018,9.2
,Namakkal,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,10.58
,,2014 - 2015,7.35
,,2015 - 2016,8.76
,,2016 - 2017,5.16
,,2017 - 2018,14.59
,,2018 - 2019,7.95
,,2019 - 2020,7.75
,,2020 - 2021,9.59
,,2021 - 2022,10.84
,,2022 - 2023,12.21
,Perambalur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,9.45
,,2014 - 2015,8.21
,,2015 - 2016,4.12
,,2016 - 2017,6.19
,,2017 - 2018,9.43
,,2018 - 2019,6.57
,,2019 - 2020,7.61
,,2020 - 2021,5.16
,,2021 - 2022,5.69
,,2022 - 2023,9.95
,Pudukkottai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2011 - 2012,
,,2013 - 2014,8.0
,,2014 - 2015,8.5
,,2015 - 2016,6.5
,,2016 - 2017,6.0
,,2017 - 2018,9.25
,,2018 - 2019,5.83
,,2019 - 2020,7.24
,,2020 - 2021,5.52
,,2021 - 2022,5.97
,,2022 - 2023,7.58
,Ramanathapuram,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.47
,,2014 - 2015,8.61
,,2015 - 2016,6.48
,,2016 - 2017,5.05
,,2017 - 2018,9.3
,,2018 - 2019,5.69
,,2019 - 2020,7.05
,,2020 - 2021,5.55
,,2021 - 2022,6.05
,,2022 - 2023,7.65
,Ranipet,2020 - 2021,5.33
,,2021 - 2022,5.57
,,2022 - 2023,7.5
,Salem,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,7.93
,,2014 - 2015,8.61
,,2015 - 2016,11.36
,,2016 - 2017,0.89
,,2017 - 2018,10.43
,,2018 - 2019,5.69
,,2019 - 2020,7.06
,,2020 - 2021,11.19
,,2021 - 2022,5.79
,,2022 - 2023,8.04
,Sivaganga,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.47
,,2014 - 2015,8.61
,,2015 - 2016,6.48
,,2016 - 2017,5.03
,,2017 - 2018,9.31
,,2018 - 2019,5.7
,,2019 - 2020,7.03
,,2020 - 2021,5.54
,,2021 - 2022,6.01
,,2022 - 2023,7.62
,Thanjavur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.43
,,2014 - 2015,8.67
,,2015 - 2016,6.33
,,2016 - 2017,5.0
,,2017 - 2018,9.31
,,2018 - 2019,5.68
,,2019 - 2020,7.08
,,2020 - 2021,6.0
,,2021 - 2022,7.0
,,2022 - 2023,8.0
,The nilgiris,2004 - 2005,
,,2008 - 2009,
,,2009 - 2010,
,,2014 - 2015,
,,2020 - 2021,7.0
,,2021 - 2022,
,,2022 - 2023,
,Theni,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.47
,,2014 - 2015,8.61
,,2015 - 2016,10.89
,,2016 - 2017,12.58
,,2017 - 2018,11.31
,,2018 - 2019,5.68
,,2019 - 2020,7.05
,,2020 - 2021,5.55
,,2021 - 2022,6.03
,,2022 - 2023,7.62
,Thenkasi,2020 - 2021,5.53
,,2021 - 2022,6.02
,,2022 - 2023,7.62
,Thiruvallur,2002 - 2003,
,,2007 - 2008,
,,2013 - 2014,8.33
,,2014 - 2015,9.0
,,2015 - 2016,6.0
,,2016 - 2017,5.0
,,2018 - 2019,5.43
,,2019 - 2020,7.4
,,2020 - 2021,5.67
,,2021 - 2022,5.0
,,2022 - 2023,7.6
,Thiruvarur,2003 - 2004,
,,2004 - 2005,
,,2011 - 2012,
,,2019 - 2020,
,,2020 - 2021,5.5
,,2022 - 2023,7.5
,Thoothukudi,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,1.94
,,2014 - 2015,9.24
,,2015 - 2016,0.9
,,2016 - 2017,0.61
,,2017 - 2018,2.82
,,2018 - 2019,0.44
,,2019 - 2020,4.54
,,2020 - 2021,0.43
,,2021 - 2022,0.94
,,2022 - 2023,1.38
,Tiruchirappalli,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.64
,,2014 - 2015,9.24
,,2015 - 2016,7.68
,,2016 - 2017,7.69
,,2017 - 2018,11.63
,,2018 - 2019,6.73
,,2019 - 2020,8.02
,,2020 - 2021,10.11
,,2021 - 2022,7.72
,,2022 - 2023,6.66
,Tirunelveli,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.47
,,2014 - 2015,8.61
,,2015 - 2016,6.49
,,2016 - 2017,5.06
,,2017 - 2018,9.3
,,2018 - 2019,5.68
,,2019 - 2020,6.98
,,2020 - 2021,6.0
,,2021 - 2022,6.13
,,2022 - 2023,7.63
,Tirupathur,2020 - 2021,5.46
,,2021 - 2022,5.98
,,2022 - 2023,7.67
,Tiruppur,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,11.25
,,2014 - 2015,11.89
,,2015 - 2016,10.55
,,2016 - 2017,12.05
,,2017 - 2018,11.35
,,2018 - 2019,13.5
,,2019 - 2020,14.79
,,2020 - 2021,1.14
,,2021 - 2022,11.88
,,2022 - 2023,13.27
,Tiruvannamalai,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.47
,,2014 - 2015,8.61
,,2015 - 2016,6.48
,,2016 - 2017,5.14
,,2017 - 2018,9.27
,,2018 - 2019,5.71
,,2019 - 2020,7.07
,,2020 - 2021,5.56
,,2021 - 2022,6.02
,,2022 - 2023,7.62
,Vellore,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.46
,,2014 - 2015,8.64
,,2015 - 2016,6.48
,,2016 - 2017,5.19
,,2017 - 2018,9.29
,,2018 - 2019,5.81
,,2019 - 2020,7.05
,,2020 - 2021,5.75
,,2021 - 2022,6.6
,,2022 - 2023,8.0
,Villupuram,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.47
,,2014 - 2015,8.62
,,2015 - 2016,6.49
,,2016 - 2017,5.06
,,2017 - 2018,9.3
,,2018 - 2019,5.7
,,2019 - 2020,7.06
,,2020 - 2021,5.55
,,2021 - 2022,6.04
,,2022 - 2023,7.6
,Virudhunagar,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,8.18
,,2014 - 2015,3.6
,,2015 - 2016,2.82
,,2016 - 2017,0.2
,,2017 - 2018,2.34
,,2018 - 2019,4.88
,,2019 - 2020,3.72
,,2020 - 2021,0.27
,,2021 - 2022,2.3
,,2022 - 2023,3.1
Telangana,Adilabad,2000 - 2001,25.14
,,2001 - 2002,26.13
,,2002 - 2003,24.99
,,2003 - 2004,27.72
,,2004 - 2005,22.34
,,2005 - 2006,19.9
,,2006 - 2007,24.85
,,2008 - 2009,22.55
,,2009 - 2010,24.27
,,2010 - 2011,19.18
,,2011 - 2012,27.31
,,2013 - 2014,33.34
,,2014 - 2015,27.31
,,2015 - 2016,30.14
,,2016 - 2017,32.85
,,2017 - 2018,36.36
,,2018 - 2019,29.15
,,2019 - 2020,34.29
,,2020 - 2021,32.52
,,2021 - 2022,23.44
,,2022 - 2023,26.0
,Bhadradri,2016 - 2017,32.75
,,2017 - 2018,36.5
,,2020 - 2021,32.67
,,2021 - 2022,23.43
,Jagitial,2016 - 2017,32.84
,,2017 - 2018,36.37
,,2018 - 2019,29.15
,,2019 - 2020,34.25
,,2020 - 2021,32.51
,,2021 - 2022,23.44
,,2022 - 2023,25.55
,Jangoan,2016 - 2017,32.84
,,2017 - 2018,36.36
,,2018 - 2019,29.15
,,2019 - 2020,34.25
,,2020 - 2021,32.56
,,2021 - 2022,23.44
,,2022 - 2023,
,Jayashankar,2016 - 2017,32.86
,,2017 - 2018,36.36
,,2018 - 2019,29.14
,,2019 - 2020,34.27
,,2020 - 2021,32.5
,,2021 - 2022,23.43
,,2022 - 2023,25.6
,Jogulamba,2016 - 2017,32.84
,,2017 - 2018,36.37
,,2018 - 2019,29.15
,,2019 - 2020,34.25
,,2020 - 2021,19.76
,,2021 - 2022,24.79
,,2022 - 2023,18.91
,Kamareddy,2016 - 2017,14.33
,,2017 - 2018,18.47
,,2018 - 2019,17.47
,,2019 - 2020,19.67
,,2020 - 2021,30.81
,,2021 - 2022,34.88
,,2022 - 2023,19.27
,Karimnagar,2000 - 2001,25.14
,,2001 - 2002,26.13
,,2002 - 2003,24.99
,,2003 - 2004,27.72
,,2004 - 2005,22.33
,,2005 - 2006,19.9
,,2006 - 2007,24.85
,,2007 - 2008,13.0
,,2008 - 2009,22.55
,,2009 - 2010,24.27
,,2010 - 2011,19.18
,,2011 - 2012,27.3
,,2012 - 2013,35.0
,,2013 - 2014,26.57
,,2014 - 2015,27.32
,,2015 - 2016,30.14
,,2016 - 2017,32.84
,,2017 - 2018,36.4
,,2018 - 2019,29.18
,,2019 - 2020,34.24
,,2020 - 2021,32.5
,,2021 - 2022,23.44
,Khammam,2000 - 2001,25.2
,,2001 - 2002,26.25
,,2002 - 2003,25.0
,,2003 - 2004,27.67
,,2004 - 2005,22.33
,,2005 - 2006,19.8
,,2008 - 2009,22.5
,,2009 - 2010,24.25
,,2010 - 2011,19.0
,,2013 - 2014,
,,2014 - 2015,27.33
,,2015 - 2016,30.14
,,2016 - 2017,32.75
,,2017 - 2018,36.25
,,2018 - 2019,29.0
,,2019 - 2020,34.5
,,2020 - 2021,32.55
,,2021 - 2022,23.5
,,2022 - 2023,
,Komaram bheem asifabad,2016 - 2017,32.84
,,2017 - 2018,36.38
,,2018 - 2019,29.16
,,2019 - 2020,34.26
,,2020 - 2021,32.51
,,2021 - 2022,23.43
,,2022 - 2023,25.56
,Mahabubabad,2016 - 2017,32.84
,,2017 - 2018,36.37
,,2018 - 2019,29.15
,,2019 - 2020,34.25
,,2020 - 2021,32.51
,,2021 - 2022,23.44
,,2022 - 2023,25.5
,Mahbubnagar,2000 - 2001,25.14
,,2001 - 2002,26.13
,,2002 - 2003,24.99
,,2003 - 2004,27.72
,,2004 - 2005,22.33
,,2005 - 2006,19.9
,,2006 - 2007,24.85
,,2007 - 2008,19.0
,,2008 - 2009,22.55
,,2009 - 2010,24.27
,,2010 - 2011,19.18
,,2011 - 2012,27.31
,,2012 - 2013,32.0
,,2013 - 2014,33.34
,,2014 - 2015,20.82
,,2015 - 2016,23.39
,,2016 - 2017,24.11
,,2017 - 2018,29.32
,,2018 - 2019,31.98
,,2019 - 2020,43.96
,,2020 - 2021,29.0
,,2021 - 2022,25.48
,,2022 - 2023,22.27
,Mancherial,2016 - 2017,32.84
,,2017 - 2018,36.37
,,2018 - 2019,29.15
,,2019 - 2020,34.26
,,2020 - 2021,32.5
,,2021 - 2022,23.44
,,2022 - 2023,25.5
,Medak,2000 - 2001,27.87
,,2001 - 2002,24.56
,,2002 - 2003,28.4
,,2003 - 2004,29.35
,,2004 - 2005,20.08
,,2005 - 2006,19.96
,,2006 - 2007,23.89
,,2007 - 2008,24.5
,,2008 - 2009,20.57
,,2009 - 2010,20.04
,,2010 - 2011,16.12
,,2011 - 2012,30.38
,,2012 - 2013,36.75
,,2013 - 2014,44.53
,,2014 - 2015,26.95
,,2015 - 2016,36.73
,,2016 - 2017,29.57
,,2017 - 2018,41.72
,,2018 - 2019,24.03
,,2019 - 2020,26.0
,,2020 - 2021,25.88
,,2021 - 2022,17.8
,,2022 - 2023,28.99
,Medchal,2016 - 2017,32.83
,,2017 - 2018,36.38
,,2019 - 2020,34.5
,,2021 - 2022,23.4
,Mulugu,2018 - 2019,29.0
,,2019 - 2020,34.25
,,2020 - 2021,33.0
