state,district,year,onion_rabi_yield_tonne_per_hectare
,,2019 - 2020,9.99
,,2020 - 2021,15.05
,,2021 - 2022,18.46
,,2022 - 2023,15.25
,Jamui,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2008 - 2009,
,,2016 - 2017,11.12
,,2017 - 2018,12.27
,,2018 - 2019,12.03
,,2019 - 2020,5.97
,,2020 - 2021,11.32
,,2021 - 2022,14.98
,,2022 - 2023,14.49
,Jehanabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,7.42
,,2017 - 2018,12.32
,,2018 - 2019,6.34
,,2019 - 2020,10.62
,,2020 - 2021,10.62
,,2021 - 2022,15.11
,,2022 - 2023,15.32
,Kaimur (bhabua),2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,16.47
,,2019 - 2020,16.96
,,2020 - 2021,14.07
,,2021 - 2022,12.98
,,2022 - 2023,17.58
,Katihar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,11.86
,,2017 - 2018,14.15
,,2018 - 2019,13.13
,,2019 - 2020,13.35
,,2020 - 2021,14.95
,,2021 - 2022,9.93
,,2022 - 2023,5.94
,Khagaria,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,11.12
,,2017 - 2018,12.27
,,2018 - 2019,11.38
,,2019 - 2020,5.97
,,2020 - 2021,13.62
,,2021 - 2022,14.98
,,2022 - 2023,14.59
,Kishanganj,2000 - 2001,
