state,district,year,sugarcane_whole_year_yield_tonne_per_hectare
,Sidhi,2000 - 2001,21.36
,,2001 - 2002,21.18
,,2002 - 2003,21.07
,,2003 - 2004,24.57
,,2004 - 2005,24.55
,,2005 - 2006,24.0
,,2006 - 2007,24.76
,,2007 - 2008,22.73
,,2008 - 2009,24.0
,,2009 - 2010,25.0
,,2010 - 2011,25.56
,,2012 - 2013,31.67
,,2013 - 2014,48.18
,,2018 - 2019,4.0
,Singrauli,2008 - 2009,25.0
,,2009 - 2010,33.85
,,2010 - 2011,33.33
,,2011 - 2012,24.0
,,2012 - 2013,36.67
,,2013 - 2014,37.0
,,2018 - 2019,3.29
,,2019 - 2020,3.71
,,2020 - 2021,0.0
,,2021 - 2022,32.92
,,2022 - 2023,3.29
,Tikamgarh,2000 - 2001,26.2
,,2001 - 2002,60.55
,,2002 - 2003,47.28
,,2003 - 2004,47.29
,,2004 - 2005,37.84
,,2005 - 2006,47.25
,,2006 - 2007,37.84
,,2007 - 2008,37.8
,,2008 - 2009,48.28
,,2009 - 2010,47.29
,,2010 - 2011,47.27
,,2011 - 2012,34.22
,,2012 - 2013,36.84
,,2013 - 2014,36.83
,,2014 - 2015,30.0
,,2015 - 2016,40.0
,,2016 - 2017,6.8
,,2018 - 2019,3.25
,,2019 - 2020,3.93
,,2020 - 2021,0.0
,,2021 - 2022,55.0
,,2022 - 2023,4.75
,Ujjain,2000 - 2001,11.4
,,2001 - 2002,17.88
,,2002 - 2003,16.3
,,2003 - 2004,21.76
,,2004 - 2005,21.77
,,2005 - 2006,22.43
,,2006 - 2007,24.22
,,2007 - 2008,24.53
,,2008 - 2009,23.95
,,2009 - 2010,24.21
,,2010 - 2011,24.0
,,2011 - 2012,21.54
,,2012 - 2013,21.25
,,2013 - 2014,32.67
,,2014 - 2015,20.0
,,2017 - 2018,3.0
,,2018 - 2019,5.96
,,2019 - 2020,5.0
,,2020 - 2021,3.22
,,2021 - 2022,30.0
,,2022 - 2023,3.18
,Umaria,2000 - 2001,20.0
,,2001 - 2002,25.0
,,2003 - 2004,25.0
,,2006 - 2007,20.0
,,2010 - 2011,20.0
,,2012 - 2013,20.0
,,2013 - 2014,22.5
,,2018 - 2019,2.0
,,2019 - 2020,3.0
,,2020 - 2021,0.0
,,2021 - 2022,30.0
,,2022 - 2023,2.0
,Vidisha,2000 - 2001,12.26
,,2001 - 2002,18.39
,,2002 - 2003,18.11
,,2003 - 2004,18.39
,,2004 - 2005,19.26
,,2005 - 2006,18.4
,,2006 - 2007,20.66
,,2007 - 2008,18.14
,,2008 - 2009,19.23
,,2009 - 2010,19.83
,,2010 - 2011,18.4
,,2011 - 2012,16.21
,,2012 - 2013,20.23
,,2013 - 2014,20.21
,,2017 - 2018,3.83
,,2018 - 2019,2.02
,,2019 - 2020,2.02
,,2020 - 2021,3.79
,,2021 - 2022,45.45
,,2022 - 2023,3.24
Maharashtra,Ahilyanagar,2000 - 2001,76.96
,,2001 - 2002,69.16
,,2002 - 2003,66.86
,,2003 - 2004,47.65
,,2004 - 2005,58.93
,,2005 - 2006,77.66
,,2006 - 2007,65.64
,,2007 - 2008,78.26
,,2008 - 2009,71.8
,,2009 - 2010,83.85
,,2010 - 2011,91.4
,,2011 - 2012,91.73
,,2012 - 2013,71.3
,,2013 - 2014,87.04
,,2014 - 2015,96.4
,,2015 - 2016,58.78
,,2016 - 2017,68.58
,,2017 - 2018,108.32
,,2018 - 2019,95.0
,,2019 - 2020,71.95
,,2020 - 2021,108.61
,,2021 - 2022,99.5
,,2022 - 2023,110.0
,Akola,2000 - 2001,81.33
,,2001 - 2002,73.5
,,2002 - 2003,70.0
,,2003 - 2004,60.0
,,2004 - 2005,38.4
,,2005 - 2006,69.67
,,2006 - 2007,75.67
,,2007 - 2008,53.67
,,2008 - 2009,45.0
,,2009 - 2010,78.5
,,2010 - 2011,66.67
,,2011 - 2012,63.0
,,2015 - 2016,69.0
,,2016 - 2017,56.92
,,2017 - 2018,51.11
,,2018 - 2019,50.0
,,2019 - 2020,64.0
,,2022 - 2023,55.38
,Amravati,2000 - 2001,81.97
,,2001 - 2002,68.03
,,2002 - 2003,53.91
,,2003 - 2004,62.12
,,2004 - 2005,41.93
,,2005 - 2006,65.91
,,2006 - 2007,56.71
,,2007 - 2008,79.92
,,2008 - 2009,54.88
,,2009 - 2010,70.0
,,2010 - 2011,69.0
,,2011 - 2012,71.75
,,2012 - 2013,55.67
,,2013 - 2014,72.33
,,2014 - 2015,40.25
,,2015 - 2016,53.0
,,2016 - 2017,27.44
,,2017 - 2018,39.67
,,2018 - 2019,57.0
,,2019 - 2020,34.53
,,2022 - 2023,39.75
,Beed,2000 - 2001,75.06
,,2001 - 2002,66.46
,,2002 - 2003,65.15
,,2003 - 2004,39.31
,,2004 - 2005,66.83
,,2005 - 2006,68.93
,,2006 - 2007,66.84
,,2007 - 2008,87.81
,,2008 - 2009,91.56
,,2009 - 2010,73.97
,,2010 - 2011,65.9
,,2011 - 2012,65.07
,,2012 - 2013,54.81
,,2013 - 2014,55.81
,,2014 - 2015,45.84
,,2015 - 2016,22.09
,,2016 - 2017,40.34
,,2017 - 2018,57.5
,,2018 - 2019,35.52
,,2019 - 2020,54.63
,,2020 - 2021,75.51
,,2021 - 2022,58.88
,,2022 - 2023,80.0
,Bhandara,2000 - 2001,72.53
,,2001 - 2002,37.0
,,2002 - 2003,47.86
,,2003 - 2004,47.33
,,2004 - 2005,58.5
,,2005 - 2006,38.0
,,2006 - 2007,56.31
,,2007 - 2008,47.0
,,2008 - 2009,45.96
,,2009 - 2010,45.75
,,2010 - 2011,54.18
,,2011 - 2012,77.23
,,2012 - 2013,65.97
,,2013 - 2014,60.17
,,2014 - 2015,73.25
,,2015 - 2016,66.93
,,2016 - 2017,67.77
,,2017 - 2018,65.0
,,2018 - 2019,67.04
,,2019 - 2020,68.84
,,2020 - 2021,55.88
,,2021 - 2022,67.78
,,2022 - 2023,31.0
,Buldhana,2000 - 2001,86.33
,,2001 - 2002,81.27
,,2002 - 2003,64.62
,,2003 - 2004,69.2
,,2004 - 2005,81.57
,,2005 - 2006,38.67
,,2006 - 2007,68.0
,,2007 - 2008,59.04
,,2008 - 2009,55.86
,,2009 - 2010,69.57
,,2010 - 2011,61.0
,,2011 - 2012,58.33
,,2012 - 2013,44.0
,,2013 - 2014,81.0
,,2014 - 2015,62.33
,,2015 - 2016,50.0
,,2016 - 2017,66.73
,,2017 - 2018,50.19
,,2018 - 2019,45.0
,,2019 - 2020,69.85
,,2022 - 2023,57.91
,Chandrapur,2014 - 2015,90.0
,,2015 - 2016,69.0
,,2016 - 2017,40.0
,,2017 - 2018,50.0
,,2018 - 2019,60.0
,,2022 - 2023,60.0
,Chhatrapati Sambhajinagar,2000 - 2001,69.61
,,2001 - 2002,50.63
,,2002 - 2003,62.29
,,2003 - 2004,44.92
,,2004 - 2005,79.61
,,2005 - 2006,61.0
,,2006 - 2007,95.76
,,2007 - 2008,79.05
,,2008 - 2009,75.18
,,2009 - 2010,84.89
,,2010 - 2011,84.1
,,2011 - 2012,84.84
,,2012 - 2013,42.63
,,2013 - 2014,80.18
,,2014 - 2015,67.06
,,2015 - 2016,43.84
,,2016 - 2017,59.62
,,2017 - 2018,55.0
,,2018 - 2019,50.41
,,2019 - 2020,55.72
,,2020 - 2021,77.52
,,2021 - 2022,57.16
,,2022 - 2023,80.24
,Dharashiv,2000 - 2001,72.11
,,2001 - 2002,61.36
,,2002 - 2003,51.91
,,2003 - 2004,27.7
,,2004 - 2005,53.48
,,2005 - 2006,66.37
,,2006 - 2007,78.81
,,2007 - 2008,66.66
,,2008 - 2009,65.95
,,2009 - 2010,83.57
,,2010 - 2011,73.5
,,2011 - 2012,67.21
,,2012 - 2013,42.79
,,2013 - 2014,46.08
,,2014 - 2015,40.01
,,2015 - 2016,27.04
,,2016 - 2017,35.66
,,2017 - 2018,45.0
,,2018 - 2019,49.64
,,2019 - 2020,54.05
,,2020 - 2021,77.13
,,2021 - 2022,67.75
,,2022 - 2023,54.49
,Dhule,2000 - 2001,72.0
,,2001 - 2002,64.07
,,2002 - 2003,60.83
,,2003 - 2004,62.32
,,2004 - 2005,58.77
,,2005 - 2006,62.28
,,2006 - 2007,64.71
,,2007 - 2008,64.07
,,2008 - 2009,56.05
,,2009 - 2010,76.17
,,2010 - 2011,83.51
,,2011 - 2012,69.15
,,2012 - 2013,81.91
,,2013 - 2014,82.6
,,2014 - 2015,62.63
,,2015 - 2016,73.33
,,2016 - 2017,115.88
,,2017 - 2018,79.65
,,2018 - 2019,70.0
,,2021 - 2022,93.36
,,2022 - 2023,90.0
,Gadchiroli,2014 - 2015,99.0
,,2015 - 2016,46.0
,,2018 - 2019,67.27
,,2019 - 2020,67.79
,Gondia,2000 - 2001,67.57
,,2001 - 2002,48.4
,,2002 - 2003,46.0
,,2003 - 2004,57.6
,,2004 - 2005,67.25
,,2005 - 2006,27.0
,,2006 - 2007,65.0
,,2007 - 2008,67.25
,,2008 - 2009,44.5
,,2009 - 2010,79.33
,,2010 - 2011,54.0
,,2011 - 2012,63.5
,,2012 - 2013,83.0
,,2013 - 2014,71.67
,,2014 - 2015,64.67
,,2015 - 2016,57.7
,,2016 - 2017,42.43
,,2017 - 2018,40.04
,,2018 - 2019,67.29
,,2019 - 2020,74.6
,,2022 - 2023,61.13
,Hingoli,2000 - 2001,67.04
,,2001 - 2002,77.71
,,2002 - 2003,75.46
,,2003 - 2004,58.52
,,2004 - 2005,61.54
,,2005 - 2006,71.34
,,2006 - 2007,66.55
,,2007 - 2008,65.5
,,2008 - 2009,37.41
,,2009 - 2010,59.43
,,2010 - 2011,66.0
,,2011 - 2012,66.29
,,2012 - 2013,75.39
,,2013 - 2014,71.74
,,2014 - 2015,56.3
,,2015 - 2016,30.45
,,2016 - 2017,62.54
,,2017 - 2018,7.0
,,2018 - 2019,70.0
,,2019 - 2020,65.53
,,2020 - 2021,75.37
,,2021 - 2022,82.66
,,2022 - 2023,68.69
,Jalgaon,2000 - 2001,82.99
,,2001 - 2002,74.62
,,2002 - 2003,71.25
,,2003 - 2004,33.84
,,2004 - 2005,61.92
,,2005 - 2006,64.65
,,2006 - 2007,65.87
,,2007 - 2008,66.45
,,2008 - 2009,65.37
,,2009 - 2010,70.35
,,2010 - 2011,78.3
,,2011 - 2012,73.21
,,2012 - 2013,69.01
,,2013 - 2014,75.49
,,2014 - 2015,70.08
,,2015 - 2016,77.66
,,2016 - 2017,92.32
,,2017 - 2018,85.01
,,2018 - 2019,68.9
,,2019 - 2020,69.16
,,2020 - 2021,110.1
,,2021 - 2022,60.81
,,2022 - 2023,70.0
,Jalna,2000 - 2001,77.61
,,2001 - 2002,62.77
,,2002 - 2003,69.26
,,2003 - 2004,46.53
,,2004 - 2005,77.39
,,2005 - 2006,69.6
,,2006 - 2007,82.75
,,2007 - 2008,75.75
,,2008 - 2009,71.2
,,2009 - 2010,93.06
,,2010 - 2011,61.8
,,2011 - 2012,69.86
,,2012 - 2013,62.7
,,2013 - 2014,72.02
,,2014 - 2015,47.75
,,2015 - 2016,51.11
,,2016 - 2017,37.22
,,2017 - 2018,59.57
,,2018 - 2019,53.0
,,2019 - 2020,56.29
,,2020 - 2021,76.99
,,2021 - 2022,58.13
,,2022 - 2023,80.0
,Kolhapur,2000 - 2001,90.95
,,2001 - 2002,90.25
,,2002 - 2003,85.58
,,2003 - 2004,56.6
,,2004 - 2005,85.58
,,2005 - 2006,76.5
,,2006 - 2007,80.65
,,2007 - 2008,85.54
,,2008 - 2009,82.55
,,2009 - 2010,87.05
,,2010 - 2011,90.0
,,2011 - 2012,87.93
,,2012 - 2013,96.75
,,2013 - 2014,100.45
,,2014 - 2015,102.75
,,2015 - 2016,90.14
,,2016 - 2017,94.24
,,2017 - 2018,102.7
,,2018 - 2019,83.68
,,2019 - 2020,81.03
,,2020 - 2021,93.18
,,2021 - 2022,96.28
,,2022 - 2023,90.1
,Latur,2000 - 2001,69.45
,,2001 - 2002,58.37
,,2002 - 2003,49.2
,,2003 - 2004,52.78
,,2004 - 2005,53.83
,,2005 - 2006,77.33
,,2006 - 2007,70.38
,,2007 - 2008,62.88
,,2008 - 2009,54.03
,,2009 - 2010,75.97
,,2010 - 2011,68.6
,,2011 - 2012,72.57
,,2012 - 2013,65.76
,,2013 - 2014,69.95
,,2014 - 2015,50.75
,,2015 - 2016,30.07
,,2016 - 2017,56.59
,,2017 - 2018,61.0
,,2018 - 2019,60.58
,,2019 - 2020,68.3
,,2020 - 2021,75.6
,,2021 - 2022,88.53
,,2022 - 2023,88.44
,Nagpur,2000 - 2001,79.11
,,2001 - 2002,58.22
,,2002 - 2003,37.69
,,2003 - 2004,58.78
,,2004 - 2005,74.0
,,2006 - 2007,36.0
,,2007 - 2008,76.33
,,2008 - 2009,57.5
,,2009 - 2010,70.5
,,2010 - 2011,20.67
,,2011 - 2012,68.57
,,2012 - 2013,73.67
,,2013 - 2014,66.67
,,2014 - 2015,68.03
,,2015 - 2016,67.39
,,2016 - 2017,43.12
,,2017 - 2018,51.99
,,2018 - 2019,55.58
,,2019 - 2020,56.78
,,2020 - 2021,56.57
,,2021 - 2022,98.95
,,2022 - 2023,52.81
,Nanded,2000 - 2001,64.87
,,2001 - 2002,62.59
,,2002 - 2003,73.1
,,2003 - 2004,70.94
,,2004 - 2005,49.14
,,2005 - 2006,66.79
,,2006 - 2007,62.54
,,2007 - 2008,68.0
,,2008 - 2009,58.02
,,2009 - 2010,48.16
,,2010 - 2011,60.4
,,2011 - 2012,73.31
,,2012 - 2013,81.87
,,2013 - 2014,83.66
,,2014 - 2015,59.21
,,2015 - 2016,28.16
,,2016 - 2017,59.33
,,2017 - 2018,65.0
,,2018 - 2019,32.0
,,2019 - 2020,65.54
,,2020 - 2021,83.85
,,2021 - 2022,84.67
,,2022 - 2023,50.0
,Nandurbar,2000 - 2001,69.84
,,2001 - 2002,60.36
,,2002 - 2003,69.67
,,2003 - 2004,62.03
,,2004 - 2005,61.1
,,2005 - 2006,63.57
,,2006 - 2007,66.36
,,2007 - 2008,73.84
,,2008 - 2009,73.72
,,2009 - 2010,69.63
,,2010 - 2011,72.4
,,2011 - 2012,93.82
,,2012 - 2013,73.52
,,2013 - 2014,77.09
,,2014 - 2015,79.23
,,2015 - 2016,74.1
,,2016 - 2017,79.65
,,2017 - 2018,85.1
,,2018 - 2019,87.54
,,2019 - 2020,77.4
,,2020 - 2021,74.6
,,2021 - 2022,41.46
,,2022 - 2023,85.52
,Nashik,2000 - 2001,91.02
,,2001 - 2002,78.26
,,2002 - 2003,70.94
,,2003 - 2004,56.83
,,2004 - 2005,55.61
,,2005 - 2006,51.01
,,2006 - 2007,68.77
,,2007 - 2008,85.78
,,2008 - 2009,69.83
,,2009 - 2010,72.93
,,2010 - 2011,77.4
,,2011 - 2012,75.66
,,2012 - 2013,75.77
,,2013 - 2014,85.07
,,2014 - 2015,82.39
,,2015 - 2016,80.59
,,2016 - 2017,86.14
,,2017 - 2018,83.32
,,2018 - 2019,95.23
,,2019 - 2020,80.22
,,2020 - 2021,113.03
,,2021 - 2022,76.61
,,2022 - 2023,91.59
,Parbhani,2000 - 2001,65.86
,,2001 - 2002,88.54
,,2002 - 2003,57.09
,,2003 - 2004,63.77
,,2004 - 2005,55.8
,,2005 - 2006,67.27
,,2006 - 2007,84.13
,,2007 - 2008,76.5
,,2008 - 2009,76.37
,,2009 - 2010,77.87
,,2010 - 2011,91.3
,,2011 - 2012,67.8
,,2012 - 2013,71.32
,,2013 - 2014,71.02
,,2014 - 2015,59.29
,,2015 - 2016,26.79
,,2016 - 2017,64.29
,,2017 - 2018,55.0
,,2018 - 2019,42.0
,,2019 - 2020,65.53
,,2020 - 2021,73.57
,,2021 - 2022,85.38
,,2022 - 2023,90.0
,Pune,2000 - 2001,93.6
,,2001 - 2002,85.44
,,2002 - 2003,87.66
,,2003 - 2004,69.6
,,2004 - 2005,83.76
,,2005 - 2006,93.61
,,2006 - 2007,87.88
,,2007 - 2008,97.48
,,2008 - 2009,97.35
,,2009 - 2010,95.31
,,2010 - 2011,99.4
,,2011 - 2012,101.29
,,2012 - 2013,100.86
,,2013 - 2014,117.88
,,2014 - 2015,108.25
,,2015 - 2016,103.76
,,2016 - 2017,94.58
,,2017 - 2018,117.29
,,2018 - 2019,93.37
,,2019 - 2020,103.26
,,2020 - 2021,113.38
,,2021 - 2022,110.38
,,2022 - 2023,107.0
,Ratnagiri,2016 - 2017,101.05
,,2017 - 2018,59.09
,,2022 - 2023,80.2
,Sangli,2000 - 2001,96.12
,,2001 - 2002,99.61
,,2002 - 2003,88.73
,,2003 - 2004,79.64
,,2004 - 2005,83.91
,,2005 - 2006,81.42
,,2006 - 2007,93.13
,,2007 - 2008,101.24
,,2008 - 2009,90.92
,,2009 - 2010,85.75
,,2010 - 2011,102.9
,,2011 - 2012,101.61
,,2012 - 2013,116.41
,,2013 - 2014,119.28
,,2014 - 2015,108.82
,,2015 - 2016,96.28
,,2016 - 2017,107.93
,,2017 - 2018,106.6
,,2018 - 2019,102.08
,,2019 - 2020,100.05
,,2020 - 2021,110.72
,,2021 - 2022,106.43
,,2022 - 2023,103.4
,Satara,2000 - 2001,91.49
,,2001 - 2002,94.62
,,2002 - 2003,93.05
,,2003 - 2004,67.29
,,2004 - 2005,80.83
,,2005 - 2006,88.79
,,2006 - 2007,83.68
,,2007 - 2008,84.47
,,2008 - 2009,83.93
,,2009 - 2010,89.45
,,2010 - 2011,94.1
,,2011 - 2012,98.62
,,2012 - 2013,93.27
,,2013 - 2014,100.59
,,2014 - 2015,98.96
,,2015 - 2016,96.64
,,2016 - 2017,124.38
,,2017 - 2018,99.0
,,2018 - 2019,97.45
,,2019 - 2020,106.87
,,2020 - 2021,110.26
,,2021 - 2022,112.55
,,2022 - 2023,109.3
,Sindhudurg,2013 - 2014,87.91
,,2015 - 2016,77.36
,,2016 - 2017,100.41
,,2017 - 2018,60.02
,,2022 - 2023,80.2
,Solapur,2000 - 2001,92.0
,,2001 - 2002,75.81
,,2002 - 2003,71.84
,,2003 - 2004,58.26
,,2004 - 2005,72.33
,,2005 - 2006,82.88
,,2006 - 2007,85.12
,,2007 - 2008,79.27
,,2008 - 2009,84.72
,,2009 - 2010,92.57
,,2010 - 2011,98.1
,,2011 - 2012,91.9
,,2012 - 2013,67.38
,,2013 - 2014,85.55
,,2014 - 2015,97.57
,,2015 - 2016,59.88
,,2016 - 2017,73.55
,,2017 - 2018,104.16
,,2018 - 2019,74.17
,,2019 - 2020,91.53
,,2020 - 2021,105.16
,,2021 - 2022,102.66
,,2022 - 2023,87.19
,Thane,2022 - 2023,80.2
,Wardha,2000 - 2001,66.83
,,2001 - 2002,59.81
,,2002 - 2003,59.49
,,2003 - 2004,59.21
,,2004 - 2005,45.0
,,2005 - 2006,55.31
,,2006 - 2007,67.44
,,2007 - 2008,58.04
,,2008 - 2009,38.05
,,2009 - 2010,82.56
,,2010 - 2011,68.4
,,2011 - 2012,66.03
,,2012 - 2013,85.81
,,2013 - 2014,58.59
,,2014 - 2015,65.1
,,2015 - 2016,69.26
,,2016 - 2017,59.73
,,2017 - 2018,60.01
,,2018 - 2019,67.66
,,2019 - 2020,64.63
,,2020 - 2021,68.41
,,2021 - 2022,63.11
,,2022 - 2023,50.0
,Washim,2000 - 2001,66.75
,,2001 - 2002,59.38
,,2002 - 2003,50.0
,,2003 - 2004,54.5
,,2004 - 2005,68.23
,,2005 - 2006,67.0
,,2006 - 2007,50.0
,,2007 - 2008,81.0
,,2008 - 2009,65.0
,,2009 - 2010,71.0
,,2011 - 2012,76.0
,,2014 - 2015,29.0
,,2015 - 2016,36.0
,,2016 - 2017,52.73
,,2017 - 2018,44.81
,,2018 - 2019,48.0
,,2019 - 2020,42.2
,,2022 - 2023,50.0
,Yavatmal,2000 - 2001,75.66
,,2001 - 2002,72.35
,,2002 - 2003,62.22
,,2003 - 2004,62.5
,,2004 - 2005,66.53
,,2005 - 2006,71.22
,,2006 - 2007,63.51
,,2007 - 2008,83.65
,,2008 - 2009,56.71
,,2009 - 2010,72.7
,,2010 - 2011,66.8
,,2011 - 2012,70.32
,,2012 - 2013,84.55
,,2013 - 2014,75.49
,,2014 - 2015,68.36
,,2015 - 2016,66.79
,,2016 - 2017,71.1
,,2017 - 2018,42.0
,,2018 - 2019,60.0
,,2019 - 2020,69.5
,,2020 - 2021,75.52
,,2021 - 2022,98.62
,,2022 - 2023,63.63
Manipur,Bishnupur,2000 - 2001,32.67
,,2002 - 2003,32.6
,,2003 - 2004,32.67
,,2005 - 2006,32.5
,,2006 - 2007,32.69
,,2008 - 2009,58.31
,,2009 - 2010,56.23
,,2010 - 2011,58.61
,,2011 - 2012,58.38
,,2012 - 2013,58.79
,,2013 - 2014,58.52
,,2014 - 2015,58.52
,,2015 - 2016,60.0
,,2016 - 2017,60.0
,,2017 - 2018,60.0
,,2018 - 2019,60.83
,,2021 - 2022,60.25
,,2022 - 2023,60.25
,Chandel,2000 - 2001,32.67
,,2002 - 2003,32.67
,,2003 - 2004,32.67
,,2006 - 2007,32.64
,,2007 - 2008,32.67
,,2008 - 2009,47.65
,,2009 - 2010,52.94
,,2010 - 2011,47.71
,,2011 - 2012,54.17
,,2012 - 2013,52.36
,,2013 - 2014,56.27
,,2014 - 2015,56.27
,,2015 - 2016,46.97
,,2016 - 2017,46.97
,,2017 - 2018,46.97
,,2018 - 2019,46.97
,,2021 - 2022,46.97
,,2022 - 2023,49.46
,Churachandpur,2000 - 2001,32.67
,,2002 - 2003,32.7
,,2003 - 2004,32.5
,,2004 - 2005,32.65
,,2006 - 2007,32.67
,,2007 - 2008,32.68
,,2008 - 2009,52.78
,,2009 - 2010,50.0
,,2010 - 2011,53.26
,,2011 - 2012,56.82
,,2012 - 2013,46.83
,,2013 - 2014,56.67
,,2014 - 2015,56.67
,,2015 - 2016,46.68
,,2016 - 2017,46.68
,,2017 - 2018,46.68
,,2018 - 2019,46.68
,,2021 - 2022,44.11
,,2022 - 2023,42.39
,Imphal east,2000 - 2001,32.0
,,2005 - 2006,33.0
,,2008 - 2009,59.75
,,2009 - 2010,73.55
,,2010 - 2011,59.85
,,2011 - 2012,58.26
,,2012 - 2013,54.38
,,2013 - 2014,58.73
,,2014 - 2015,58.73
,,2015 - 2016,63.6
,,2016 - 2017,63.6
,,2017 - 2018,63.6
,,2018 - 2019,62.1
,,2021 - 2022,63.6
,,2022 - 2023,57.1
,Imphal west,2000 - 2001,32.68
,,2004 - 2005,32.69
,,2005 - 2006,32.5
,,2008 - 2009,54.92
,,2009 - 2010,63.84
,,2010 - 2011,55.06
,,2011 - 2012,56.47
,,2012 - 2013,59.54
,,2013 - 2014,57.3
,,2014 - 2015,57.3
,,2015 - 2016,60.1
,,2016 - 2017,60.1
,,2017 - 2018,60.1
,,2018 - 2019,60.1
,,2021 - 2022,54.28
,,2022 - 2023,58.49
,Senapati,2008 - 2009,55.29
,,2009 - 2010,58.75
,,2010 - 2011,55.56
,,2011 - 2012,59.52
,,2012 - 2013,46.57
,,2013 - 2014,57.0
,,2014 - 2015,57.0
,,2015 - 2016,47.59
,,2016 - 2017,47.59
,,2017 - 2018,47.59
,,2018 - 2019,47.59
,,2021 - 2022,44.17
,,2022 - 2023,44.17
,Tamenglong,2000 - 2001,32.67
,,2003 - 2004,33.0
,,2008 - 2009,69.93
,,2009 - 2010,51.2
,,2010 - 2011,64.06
,,2011 - 2012,60.53
,,2012 - 2013,49.1
,,2013 - 2014,56.71
,,2014 - 2015,56.71
,,2015 - 2016,52.4
,,2016 - 2017,52.4
,,2017 - 2018,52.4
,,2018 - 2019,52.4
,,2021 - 2022,52.4
,,2022 - 2023,52.16
,Thoubal,2000 - 2001,32.67
,,2005 - 2006,33.0
,,2006 - 2007,
,,2007 - 2008,32.5
,,2008 - 2009,57.93
,,2009 - 2010,58.02
,,2010 - 2011,58.03
,,2011 - 2012,58.44
,,2012 - 2013,58.89
,,2013 - 2014,58.91
,,2014 - 2015,58.91
,,2015 - 2016,60.19
,,2016 - 2017,60.19
,,2017 - 2018,60.19
,,2018 - 2019,60.19
,,2021 - 2022,60.19
,,2022 - 2023,64.23
,Ukhrul,2008 - 2009,76.82
,,2009 - 2010,45.11
,,2010 - 2011,79.17
,,2011 - 2012,56.47
,,2012 - 2013,52.47
,,2013 - 2014,53.24
,,2014 - 2015,53.24
,,2015 - 2016,51.9
,,2016 - 2017,51.9
,,2017 - 2018,51.9
,,2018 - 2019,51.9
,,2021 - 2022,51.9
,,2022 - 2023,51.9
Meghalaya,East garo hills,2000 - 2001,2.76
,,2001 - 2002,2.78
,,2002 - 2003,2.75
,,2003 - 2004,2.75
,,2004 - 2005,2.52
,,2005 - 2006,2.71
,,2006 - 2007,2.74
,,2007 - 2008,2.72
,,2008 - 2009,2.74
,,2009 - 2010,2.73
,,2010 - 2011,2.75
,,2011 - 2012,2.76
,,2012 - 2013,2.97
,,2013 - 2014,2.95
,,2014 - 2015,2.91
,,2015 - 2016,2.96
,,2016 - 2017,2.96
,,2017 - 2018,2.96
,,2018 - 2019,2.96
,,2019 - 2020,2.96
,,2020 - 2021,2.96
,,2022 - 2023,2.96
,East jaintia hills,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,1.0
,,2003 - 2004,0.86
,,2004 - 2005,0.71
,,2005 - 2006,0.71
,,2006 - 2007,0.71
,,2007 - 2008,0.71
,,2008 - 2009,0.71
,,2009 - 2010,0.86
,,2010 - 2011,0.71
,,2011 - 2012,0.88
,,2012 - 2013,1.0
,,2013 - 2014,0.8
,,2014 - 2015,0.8
,,2015 - 2016,0.83
,,2016 - 2017,0.83
,,2017 - 2018,0.83
,,2018 - 2019,0.83
,,2019 - 2020,0.83
,,2020 - 2021,0.83
,,2022 - 2023,0.83
,North garo hills,2013 - 2014,3.06
,,2014 - 2015,3.11
,,2015 - 2016,3.0
,,2016 - 2017,2.9
,,2017 - 2018,2.9
,,2018 - 2019,2.9
,,2019 - 2020,2.91
,,2020 - 2021,2.91
,,2022 - 2023,2.92
,South garo hills,2000 - 2001,3.0
,,2001 - 2002,3.0
,,2002 - 2003,3.0
,,2003 - 2004,3.0
,,2004 - 2005,3.0
,,2005 - 2006,3.17
,,2006 - 2007,3.17
,,2007 - 2008,3.17
,,2008 - 2009,3.0
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,,2011 - 2012,3.14
,,2012 - 2013,3.5
,,2013 - 2014,3.56
,,2014 - 2015,3.7
,,2015 - 2016,3.8
,,2016 - 2017,3.55
,,2017 - 2018,3.55
,,2018 - 2019,3.55
,,2019 - 2020,3.55
,,2020 - 2021,3.55
,,2022 - 2023,3.55
,South west garo hills,2013 - 2014,3.64
,,2014 - 2015,3.58
,,2015 - 2016,3.67
,,2016 - 2017,3.46
,,2017 - 2018,3.46
,,2018 - 2019,3.47
,,2019 - 2020,3.47
,,2020 - 2021,3.47
,,2022 - 2023,3.47
,West garo hills,2000 - 2001,3.18
,,2001 - 2002,3.11
,,2002 - 2003,3.1
,,2003 - 2004,3.12
,,2004 - 2005,3.09
,,2005 - 2006,3.12
,,2006 - 2007,3.12
,,2007 - 2008,3.12
,,2008 - 2009,3.13
,,2009 - 2010,3.11
,,2010 - 2011,3.12
,,2011 - 2012,3.15
,,2012 - 2013,3.5
,,2013 - 2014,3.58
,,2014 - 2015,3.54
,,2015 - 2016,3.61
,,2016 - 2017,3.55
,,2017 - 2018,3.55
,,2018 - 2019,3.55
,,2019 - 2020,3.57
,,2020 - 2021,3.57
,,2022 - 2023,3.57
,West jaintia hills,2013 - 2014,1.14
,,2014 - 2015,1.17
,,2015 - 2016,1.29
,,2016 - 2017,1.29
,,2017 - 2018,1.29
