state,district,year,sugarcane_whole_year_yield_tonne_per_hectare
,,2019 - 2020,19.24
,,2020 - 2021,19.31
,,2021 - 2022,19.31
,,2022 - 2023,19.31
,Lower siang,2018 - 2019,36.39
,,2019 - 2020,36.42
,,2020 - 2021,36.5
,,2021 - 2022,36.5
,,2022 - 2023,36.5
,Lower subansiri,2000 - 2001,10.0
,,2001 - 2002,10.0
,,2002 - 2003,13.38
,,2003 - 2004,13.49
,,2004 - 2005,7.1
,,2005 - 2006,14.52
,,2006 - 2007,14.5
,,2007 - 2008,14.5
,,2008 - 2009,14.5
,,2009 - 2010,14.55
,,2010 - 2011,30.1
,,2011 - 2012,30.56
,,2012 - 2013,30.56
,,2013 - 2014,30.56
,,2014 - 2015,28.41
,,2015 - 2016,28.37
,,2016 - 2017,28.56
,,2017 - 2018,28.56
,,2018 - 2019,29.1
,,2019 - 2020,29.0
,,2020 - 2021,29.12
,,2021 - 2022,29.12
,,2022 - 2023,29.13
,Namsai,2015 - 2016,22.58
,,2016 - 2017,24.5
,,2017 - 2018,24.5
,,2018 - 2019,25.55
,,2019 - 2020,25.44
,,2020 - 2021,25.68
,,2021 - 2022,25.68
,,2022 - 2023,25.69
,Papum pare,2000 - 2001,14.78
,,2001 - 2002,15.58
,,2002 - 2003,14.54
,,2003 - 2004,15.36
,,2004 - 2005,39.59
,,2005 - 2006,16.7
,,2007 - 2008,16.5
,,2008 - 2009,16.0
,,2009 - 2010,17.0
,,2010 - 2011,16.8
,,2011 - 2012,17.0
,,2012 - 2013,18.9
,,2013 - 2014,19.2
,,2014 - 2015,18.57
,,2015 - 2016,20.3
,,2016 - 2017,20.71
,,2017 - 2018,20.95
,,2018 - 2019,21.12
,,2019 - 2020,21.12
,,2020 - 2021,21.16
,,2021 - 2022,21.16
,,2022 - 2023,21.17
,Shi yomi,2019 - 2020,22.29
,,2020 - 2021,22.29
,,2021 - 2022,22.29
,,2022 - 2023,22.29
,Siang,2015 - 2016,16.38
,,2016 - 2017,17.39
,,2017 - 2018,17.84
,,2018 - 2019,18.16
,,2019 - 2020,18.18
,,2020 - 2021,18.26
,,2021 - 2022,18.26
,,2022 - 2023,18.26
,Tirap,2000 - 2001,10.5
,,2001 - 2002,17.35
,,2002 - 2003,12.56
,,2004 - 2005,12.9
,,2006 - 2007,25.05
,,2012 - 2013,12.65
,Upper siang,2005 - 2006,4.71
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2008 - 2009,8.0
,,2009 - 2010,8.5
,,2010 - 2011,8.5
,,2011 - 2012,8.7
,,2012 - 2013,37.54
,,2013 - 2014,9.63
,,2014 - 2015,11.08
,,2015 - 2016,16.53
,,2016 - 2017,17.19
,,2017 - 2018,17.72
,,2018 - 2019,17.93
,,2019 - 2020,17.95
,,2020 - 2021,18.0
,,2021 - 2022,18.0
,,2022 - 2023,18.0
,Upper subansiri,2001 - 2002,13.5
,,2002 - 2003,9.53
,,2003 - 2004,7.4
,,2004 - 2005,28.49
,,2006 - 2007,25.05
,,2007 - 2008,25.2
,,2008 - 2009,24.96
,,2009 - 2010,25.11
,,2010 - 2011,32.43
,,2011 - 2012,24.84
,,2012 - 2013,26.51
,,2013 - 2014,27.16
,,2014 - 2015,24.59
,,2015 - 2016,28.57
,,2016 - 2017,28.89
,,2017 - 2018,28.89
,,2018 - 2019,29.33
,,2019 - 2020,29.19
,,2020 - 2021,29.35
,,2021 - 2022,29.35
,,2022 - 2023,29.35
,West siang,2000 - 2001,29.24
,,2001 - 2002,29.47
,,2002 - 2003,28.43
,,2003 - 2004,28.43
,,2004 - 2005,5.0
,,2005 - 2006,28.49
,,2006 - 2007,28.65
,,2007 - 2008,28.95
,,2008 - 2009,28.97
,,2009 - 2010,28.99
,,2010 - 2011,29.01
,,2011 - 2012,29.22
,,2012 - 2013,9.5
,,2013 - 2014,29.57
,,2014 - 2015,27.76
,,2015 - 2016,32.05
,,2016 - 2017,31.97
,,2017 - 2018,31.97
,,2018 - 2019,22.03
,,2019 - 2020,22.06
,,2020 - 2021,22.36
,,2021 - 2022,22.36
,,2022 - 2023,22.36
Assam,Baksa,2005 - 2006,37.03
,,2006 - 2007,39.64
,,2007 - 2008,38.07
,,2008 - 2009,38.39
,,2009 - 2010,39.11
,,2010 - 2011,23.5
,,2011 - 2012,29.65
,,2012 - 2013,20.98
,,2013 - 2014,18.79
,,2014 - 2015,24.41
,,2015 - 2016,29.51
,,2016 - 2017,29.77
,,2017 - 2018,28.9
,,2018 - 2019,21.68
,,2019 - 2020,25.24
,,2020 - 2021,21.3
