state,district,year,urad_kharif_yield_tonne_per_hectare
,,2015 - 2016,0.27
,,2016 - 2017,0.54
,,2017 - 2018,0.09
,,2018 - 2019,0.61
,,2019 - 2020,0.18
,,2020 - 2021,0.12
,,2021 - 2022,0.09
,,2022 - 2023,0.03
,Beed,2000 - 2001,0.31
,,2001 - 2002,0.35
,,2002 - 2003,0.55
,,2003 - 2004,0.61
,,2004 - 2005,0.64
,,2005 - 2006,0.81
,,2006 - 2007,0.65
,,2007 - 2008,0.66
,,2008 - 2009,0.41
,,2009 - 2010,0.56
,,2010 - 2011,0.88
,,2011 - 2012,0.85
,,2012 - 2013,0.2
,,2013 - 2014,0.61
,,2014 - 2015,0.26
,,2015 - 2016,0.03
,,2016 - 2017,0.5
,,2017 - 2018,0.43
,,2018 - 2019,0.3
,,2019 - 2020,0.22
,,2020 - 2021,0.97
,,2021 - 2022,0.35
,,2022 - 2023,0.84
,Bhandara,2000 - 2001,0.4
,,2001 - 2002,1.0
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.33
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,0.3
,,2012 - 2013,1.0
,,2013 - 2014,0.4
,,2014 - 2015,0.0
,,2015 - 2016,0.2
,,2016 - 2017,0.43
,,2017 - 2018,0.23
,,2019 - 2020,0.28
,,2020 - 2021,0.29
,,2021 - 2022,0.4
,,2022 - 2023,0.46
,Buldhana,2000 - 2001,0.25
,,2001 - 2002,0.54
,,2002 - 2003,0.44
,,2003 - 2004,0.63
,,2004 - 2005,0.42
,,2005 - 2006,0.15
,,2006 - 2007,0.49
,,2007 - 2008,0.64
,,2008 - 2009,0.15
,,2009 - 2010,0.41
,,2010 - 2011,0.69
,,2011 - 2012,0.77
,,2012 - 2013,0.64
,,2013 - 2014,0.54
,,2014 - 2015,0.35
,,2015 - 2016,0.24
,,2016 - 2017,0.81
,,2017 - 2018,0.57
,,2018 - 2019,0.59
,,2019 - 2020,0.67
,,2020 - 2021,0.63
,,2021 - 2022,0.77
,,2022 - 2023,0.66
,Chandrapur,2000 - 2001,0.43
,,2001 - 2002,0.63
,,2002 - 2003,0.29
,,2003 - 2004,0.43
,,2004 - 2005,0.4
,,2005 - 2006,0.33
,,2006 - 2007,0.67
,,2007 - 2008,0.25
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.67
,,2011 - 2012,0.33
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.0
,,2016 - 2017,0.43
,,2017 - 2018,0.25
,,2019 - 2020,0.34
,,2020 - 2021,0.29
,,2021 - 2022,0.4
,,2022 - 2023,0.46
,Chhatrapati Sambhajinagar,2000 - 2001,0.3
,,2001 - 2002,0.57
,,2002 - 2003,0.8
,,2003 - 2004,1.1
,,2004 - 2005,0.41
,,2005 - 2006,0.73
,,2006 - 2007,0.7
,,2007 - 2008,0.76
,,2008 - 2009,0.54
,,2009 - 2010,0.49
,,2010 - 2011,0.68
,,2011 - 2012,0.79
,,2012 - 2013,0.36
,,2013 - 2014,1.16
,,2014 - 2015,0.31
,,2015 - 2016,0.17
,,2016 - 2017,0.66
,,2017 - 2018,0.62
,,2018 - 2019,0.17
,,2019 - 2020,0.56
,,2020 - 2021,0.48
,,2021 - 2022,0.26
,,2022 - 2023,0.43
,Dharashiv,2000 - 2001,0.42
,,2001 - 2002,0.08
,,2002 - 2003,0.48
,,2003 - 2004,0.22
,,2004 - 2005,0.49
,,2005 - 2006,0.58
,,2006 - 2007,0.12
,,2007 - 2008,0.5
,,2008 - 2009,0.17
,,2009 - 2010,0.21
,,2010 - 2011,0.49
,,2011 - 2012,0.64
,,2012 - 2013,0.29
,,2013 - 2014,0.66
,,2014 - 2015,0.27
,,2015 - 2016,0.11
,,2016 - 2017,0.42
,,2017 - 2018,0.25
,,2018 - 2019,0.37
,,2019 - 2020,0.32
,,2020 - 2021,0.8
,,2021 - 2022,0.75
,,2022 - 2023,0.63
,Dhule,2000 - 2001,0.31
,,2001 - 2002,1.05
,,2002 - 2003,0.63
,,2003 - 2004,0.7
,,2004 - 2005,0.45
,,2005 - 2006,0.54
,,2006 - 2007,0.48
,,2007 - 2008,0.63
,,2008 - 2009,0.13
,,2009 - 2010,0.38
,,2010 - 2011,0.95
,,2011 - 2012,0.51
,,2012 - 2013,0.49
,,2013 - 2014,0.57
,,2014 - 2015,0.35
,,2015 - 2016,0.46
,,2016 - 2017,0.36
,,2017 - 2018,0.48
,,2018 - 2019,0.29
,,2019 - 2020,0.39
,,2020 - 2021,0.35
,,2021 - 2022,0.1
,,2022 - 2023,0.42
,Gadchiroli,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,0.0
,,2016 - 2017,0.43
,,2017 - 2018,0.33
,,2018 - 2019,0.2
,,2019 - 2020,0.25
,,2020 - 2021,0.29
,,2021 - 2022,0.4
,,2022 - 2023,0.46
,Gondia,2000 - 2001,0.5
,,2001 - 2002,0.67
,,2002 - 2003,0.5
,,2003 - 2004,0.33
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.67
,,2007 - 2008,0.33
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,0.3
,,2012 - 2013,1.0
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.43
,,2017 - 2018,0.25
,,2019 - 2020,0.5
,,2020 - 2021,0.29
,,2021 - 2022,0.4
,,2022 - 2023,0.46
,Hingoli,2000 - 2001,0.35
,,2001 - 2002,0.61
,,2002 - 2003,0.6
,,2003 - 2004,0.61
,,2004 - 2005,0.36
,,2005 - 2006,0.53
,,2006 - 2007,0.41
,,2007 - 2008,0.77
,,2008 - 2009,0.18
,,2009 - 2010,0.28
,,2010 - 2011,0.6
,,2011 - 2012,0.55
,,2012 - 2013,0.7
,,2013 - 2014,0.56
,,2014 - 2015,0.13
,,2015 - 2016,0.14
,,2016 - 2017,0.48
,,2017 - 2018,0.46
,,2018 - 2019,0.66
,,2019 - 2020,0.67
,,2020 - 2021,0.33
,,2021 - 2022,0.37
,,2022 - 2023,0.6
,Jalgaon,2000 - 2001,0.24
,,2001 - 2002,0.61
,,2002 - 2003,0.69
,,2003 - 2004,0.6
,,2004 - 2005,0.41
,,2005 - 2006,0.41
,,2006 - 2007,0.53
,,2007 - 2008,0.59
,,2008 - 2009,0.44
,,2009 - 2010,0.49
,,2010 - 2011,0.7
,,2011 - 2012,0.75
,,2012 - 2013,0.51
,,2013 - 2014,0.76
,,2014 - 2015,0.61
,,2015 - 2016,0.32
,,2016 - 2017,0.74
,,2017 - 2018,0.53
,,2018 - 2019,0.34
,,2019 - 2020,0.62
,,2020 - 2021,0.35
,,2021 - 2022,0.21
,,2022 - 2023,0.55
,Jalna,2000 - 2001,0.42
,,2001 - 2002,0.44
,,2002 - 2003,0.88
,,2003 - 2004,0.63
,,2004 - 2005,0.35
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.63
,,2008 - 2009,0.13
,,2009 - 2010,0.3
,,2010 - 2011,0.66
,,2011 - 2012,0.51
,,2012 - 2013,0.14
,,2013 - 2014,0.61
,,2014 - 2015,0.18
,,2015 - 2016,0.15
,,2016 - 2017,0.83
,,2017 - 2018,0.23
,,2018 - 2019,0.29
,,2019 - 2020,0.8
,,2020 - 2021,0.77
,,2021 - 2022,0.44
,,2022 - 2023,0.61
,Kolhapur,2000 - 2001,0.3
,,2001 - 2002,0.45
,,2002 - 2003,0.44
,,2003 - 2004,0.38
,,2004 - 2005,0.6
,,2005 - 2006,0.5
,,2006 - 2007,0.63
,,2007 - 2008,0.83
,,2008 - 2009,0.48
,,2009 - 2010,0.54
,,2010 - 2011,0.68
,,2011 - 2012,0.33
,,2012 - 2013,0.21
,,2013 - 2014,0.5
,,2014 - 2015,0.8
,,2015 - 2016,0.91
,,2017 - 2018,0.17
,,2018 - 2019,0.45
,,2019 - 2020,0.84
,,2020 - 2021,0.61
,,2021 - 2022,0.38
,,2022 - 2023,0.89
,Latur,2000 - 2001,0.22
,,2001 - 2002,0.1
,,2002 - 2003,0.45
,,2003 - 2004,0.48
,,2004 - 2005,0.12
,,2005 - 2006,0.36
,,2006 - 2007,0.13
,,2007 - 2008,0.31
,,2008 - 2009,0.11
,,2009 - 2010,0.09
,,2010 - 2011,0.73
,,2011 - 2012,0.63
,,2012 - 2013,0.78
,,2013 - 2014,0.93
,,2014 - 2015,0.41
,,2015 - 2016,0.16
,,2016 - 2017,0.52
,,2017 - 2018,0.32
,,2018 - 2019,0.5
,,2019 - 2020,0.57
,,2020 - 2021,0.92
,,2021 - 2022,0.68
,,2022 - 2023,0.65
,Nagpur,2000 - 2001,0.5
,,2001 - 2002,0.17
,,2002 - 2003,0.32
,,2003 - 2004,0.46
,,2004 - 2005,0.35
,,2005 - 2006,0.24
,,2006 - 2007,0.6
,,2007 - 2008,0.56
,,2008 - 2009,0.45
,,2009 - 2010,0.63
,,2010 - 2011,0.75
,,2011 - 2012,0.55
,,2012 - 2013,0.44
,,2013 - 2014,0.39
,,2014 - 2015,0.0
,,2015 - 2016,0.25
,,2016 - 2017,0.43
,,2017 - 2018,0.24
,,2018 - 2019,0.21
,,2019 - 2020,0.45
,,2020 - 2021,0.29
,,2021 - 2022,0.4
,,2022 - 2023,0.46
,Nanded,2000 - 2001,0.43
,,2001 - 2002,0.28
,,2002 - 2003,0.74
,,2003 - 2004,0.75
,,2004 - 2005,0.52
,,2005 - 2006,0.39
,,2006 - 2007,0.27
,,2007 - 2008,0.35
,,2008 - 2009,0.35
,,2009 - 2010,0.14
,,2010 - 2011,0.77
,,2011 - 2012,0.6
,,2012 - 2013,0.81
,,2013 - 2014,0.66
,,2014 - 2015,0.18
,,2015 - 2016,0.19
,,2016 - 2017,0.19
,,2017 - 2018,0.33
,,2018 - 2019,0.54
,,2019 - 2020,0.67
,,2020 - 2021,0.73
,,2021 - 2022,0.44
,,2022 - 2023,0.57
,Nandurbar,2000 - 2001,0.38
,,2001 - 2002,0.71
,,2002 - 2003,0.61
,,2003 - 2004,0.97
,,2004 - 2005,0.36
,,2005 - 2006,0.47
,,2006 - 2007,0.4
,,2007 - 2008,0.64
,,2008 - 2009,0.56
,,2009 - 2010,0.45
,,2010 - 2011,0.7
,,2011 - 2012,0.85
,,2012 - 2013,0.97
,,2013 - 2014,0.37
,,2014 - 2015,0.37
,,2015 - 2016,0.28
,,2016 - 2017,0.52
,,2017 - 2018,0.59
,,2018 - 2019,0.53
,,2019 - 2020,0.5
,,2020 - 2021,0.32
,,2021 - 2022,0.38
,,2022 - 2023,0.39
,Nashik,2000 - 2001,0.49
,,2001 - 2002,0.8
,,2002 - 2003,0.73
,,2003 - 2004,0.83
,,2004 - 2005,0.92
,,2005 - 2006,0.93
,,2006 - 2007,0.83
,,2007 - 2008,0.8
,,2008 - 2009,0.82
,,2009 - 2010,0.51
,,2010 - 2011,0.77
,,2011 - 2012,0.97
,,2012 - 2013,0.98
,,2013 - 2014,1.04
,,2014 - 2015,0.5
,,2015 - 2016,0.49
,,2016 - 2017,0.68
,,2017 - 2018,0.61
,,2018 - 2019,0.41
,,2019 - 2020,0.5
,,2020 - 2021,0.61
,,2021 - 2022,0.71
,,2022 - 2023,0.91
,Palghar,2014 - 2015,0.51
,,2015 - 2016,0.64
,,2016 - 2017,0.79
,,2017 - 2018,0.47
,,2018 - 2019,0.26
,,2019 - 2020,0.37
,,2020 - 2021,0.32
,,2021 - 2022,0.49
,,2022 - 2023,0.44
,Parbhani,2000 - 2001,0.27
,,2001 - 2002,0.27
,,2002 - 2003,0.52
,,2003 - 2004,0.62
,,2004 - 2005,0.25
,,2005 - 2006,0.31
,,2006 - 2007,0.18
,,2007 - 2008,0.63
,,2008 - 2009,0.35
,,2009 - 2010,0.17
,,2010 - 2011,0.59
,,2011 - 2012,0.46
,,2012 - 2013,0.51
,,2013 - 2014,0.41
,,2014 - 2015,0.14
,,2015 - 2016,0.06
,,2016 - 2017,0.45
,,2017 - 2018,0.3
,,2018 - 2019,0.53
,,2019 - 2020,0.36
,,2020 - 2021,0.63
,,2021 - 2022,0.54
,,2022 - 2023,0.86
,Pune,2000 - 2001,0.84
,,2001 - 2002,0.56
,,2002 - 2003,0.9
,,2003 - 2004,0.79
,,2004 - 2005,0.7
,,2005 - 2006,0.86
,,2006 - 2007,0.67
,,2007 - 2008,0.91
,,2008 - 2009,0.94
,,2009 - 2010,0.84
,,2010 - 2011,0.95
,,2011 - 2012,1.0
,,2012 - 2013,0.63
,,2013 - 2014,0.92
,,2014 - 2015,0.74
,,2015 - 2016,0.57
,,2016 - 2017,0.42
,,2017 - 2018,0.66
,,2018 - 2019,0.66
,,2019 - 2020,0.65
,,2020 - 2021,0.53
,,2021 - 2022,0.96
,,2022 - 2023,0.77
,Raigad,2000 - 2001,0.67
,,2001 - 2002,0.83
,,2002 - 2003,0.83
,,2003 - 2004,0.67
,,2004 - 2005,1.0
,,2005 - 2006,0.86
,,2006 - 2007,0.86
,,2007 - 2008,0.57
,,2008 - 2009,0.71
,,2009 - 2010,0.67
,,2010 - 2011,0.5
,,2011 - 2012,0.83
,,2012 - 2013,0.71
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.79
,,2020 - 2021,0.34
,,2021 - 2022,0.54
,Ratnagiri,2000 - 2001,0.5
,,2001 - 2002,0.75
,,2002 - 2003,0.75
,,2003 - 2004,0.75
,,2004 - 2005,1.0
,,2005 - 2006,0.75
,,2006 - 2007,1.0
,,2007 - 2008,0.5
,,2008 - 2009,0.75
,,2009 - 2010,0.5
,,2010 - 2011,0.6
,,2011 - 2012,0.75
,,2012 - 2013,0.67
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,0.81
,,2020 - 2021,0.34
,,2021 - 2022,0.54
,,2022 - 2023,
,Sangli,2000 - 2001,0.29
,,2001 - 2002,0.3
,,2002 - 2003,0.18
,,2003 - 2004,0.04
,,2004 - 2005,0.59
,,2005 - 2006,0.57
,,2006 - 2007,0.78
,,2007 - 2008,0.89
,,2008 - 2009,0.26
,,2009 - 2010,0.3
,,2010 - 2011,0.72
,,2011 - 2012,0.21
,,2012 - 2013,0.18
,,2013 - 2014,0.53
,,2014 - 2015,0.79
,,2015 - 2016,0.22
,,2016 - 2017,0.73
,,2017 - 2018,0.1
,,2018 - 2019,0.21
,,2019 - 2020,0.32
,,2020 - 2021,0.75
,,2021 - 2022,0.8
,,2022 - 2023,0.61
,Satara,2000 - 2001,0.83
,,2001 - 2002,0.67
,,2002 - 2003,0.78
,,2003 - 2004,0.59
,,2004 - 2005,0.63
,,2005 - 2006,0.38
,,2006 - 2007,0.35
,,2007 - 2008,0.71
,,2008 - 2009,0.69
,,2009 - 2010,0.79
,,2010 - 2011,0.57
,,2011 - 2012,0.68
,,2012 - 2013,0.53
,,2013 - 2014,0.55
,,2014 - 2015,0.65
,,2015 - 2016,0.55
,,2016 - 2017,0.51
,,2017 - 2018,0.52
,,2018 - 2019,0.56
,,2019 - 2020,0.36
,,2020 - 2021,0.68
,,2021 - 2022,0.77
,,2022 - 2023,1.09
,Sindhudurg,2000 - 2001,0.67
,,2001 - 2002,0.67
,,2002 - 2003,0.67
,,2003 - 2004,0.75
,,2004 - 2005,1.0
,,2005 - 2006,0.75
,,2006 - 2007,1.0
,,2007 - 2008,0.67
,,2008 - 2009,1.0
,,2009 - 2010,0.67
,,2010 - 2011,0.5
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,0.8
,,2017 - 2018,0.47
,,2018 - 2019,0.28
,,2019 - 2020,0.5
,,2020 - 2021,0.34
,,2021 - 2022,0.54
,,2022 - 2023,0.54
,Solapur,2000 - 2001,0.5
,,2001 - 2002,0.05
,,2002 - 2003,0.69
,,2003 - 2004,0.57
,,2004 - 2005,0.88
,,2005 - 2006,0.66
,,2006 - 2007,0.3
,,2007 - 2008,0.83
,,2008 - 2009,0.56
,,2009 - 2010,0.28
,,2010 - 2011,0.63
,,2011 - 2012,0.73
,,2012 - 2013,0.58
,,2013 - 2014,0.76
,,2014 - 2015,0.68
,,2015 - 2016,0.19
,,2016 - 2017,0.57
,,2017 - 2018,0.18
,,2018 - 2019,0.27
,,2019 - 2020,0.36
,,2020 - 2021,0.65
,,2021 - 2022,0.59
,,2022 - 2023,0.48
,Thane,2000 - 2001,0.61
,,2001 - 2002,0.76
,,2002 - 2003,0.74
,,2003 - 2004,0.74
,,2004 - 2005,0.98
,,2005 - 2006,0.85
,,2006 - 2007,0.92
,,2007 - 2008,0.57
,,2008 - 2009,0.76
,,2009 - 2010,0.6
,,2010 - 2011,0.59
,,2011 - 2012,0.81
,,2012 - 2013,0.69
,,2013 - 2014,0.66
,,2014 - 2015,0.5
,,2015 - 2016,0.57
,,2016 - 2017,0.86
,,2017 - 2018,0.52
,,2018 - 2019,0.6
,,2019 - 2020,0.83
,,2020 - 2021,0.46
,,2021 - 2022,0.77
,,2022 - 2023,1.03
,Wardha,2000 - 2001,0.4
,,2001 - 2002,0.6
,,2002 - 2003,0.25
,,2003 - 2004,0.5
,,2004 - 2005,0.33
,,2005 - 2006,1.0
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.5
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,0.5
,,2012 - 2013,0.75
,,2013 - 2014,0.33
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.37
,,2017 - 2018,0.8
,,2018 - 2019,0.48
,,2019 - 2020,0.11
,,2020 - 2021,0.29
,,2021 - 2022,0.4
,,2022 - 2023,0.46
,Washim,2000 - 2001,0.44
,,2001 - 2002,0.79
,,2002 - 2003,0.63
,,2003 - 2004,0.68
,,2004 - 2005,0.47
,,2005 - 2006,0.44
,,2006 - 2007,0.7
,,2007 - 2008,0.73
,,2008 - 2009,0.14
,,2009 - 2010,0.24
,,2010 - 2011,0.72
,,2011 - 2012,0.73
,,2012 - 2013,0.8
,,2013 - 2014,0.36
,,2014 - 2015,0.3
,,2015 - 2016,0.43
,,2016 - 2017,0.72
,,2017 - 2018,0.49
,,2018 - 2019,0.59
,,2019 - 2020,0.47
,,2020 - 2021,0.86
,,2021 - 2022,0.75
,,2022 - 2023,0.55
,Yavatmal,2000 - 2001,0.5
,,2001 - 2002,0.32
,,2002 - 2003,0.41
,,2003 - 2004,0.54
,,2004 - 2005,0.28
,,2005 - 2006,0.43
,,2006 - 2007,0.39
,,2007 - 2008,0.7
,,2008 - 2009,0.14
,,2009 - 2010,0.26
,,2010 - 2011,0.61
,,2011 - 2012,0.52
,,2012 - 2013,0.67
,,2013 - 2014,0.28
,,2014 - 2015,0.23
,,2015 - 2016,0.25
,,2016 - 2017,0.52
,,2017 - 2018,0.01
,,2018 - 2019,0.36
,,2019 - 2020,0.36
,,2020 - 2021,0.39
,,2021 - 2022,0.36
,,2022 - 2023,0.31
Manipur,Bishnupur,2008 - 2009,1.24
,,2009 - 2010,0.91
,,2010 - 2011,1.36
,,2011 - 2012,1.25
,,2012 - 2013,0.99
,,2013 - 2014,1.14
,,2014 - 2015,1.24
,,2015 - 2016,1.25
,,2016 - 2017,1.22
,,2017 - 2018,1.14
,,2018 - 2019,1.09
,Chandel,2008 - 2009,0.86
,,2009 - 2010,0.5
,,2010 - 2011,0.88
,,2011 - 2012,0.95
,,2012 - 2013,1.08
,,2013 - 2014,1.12
,,2014 - 2015,1.11
,,2015 - 2016,1.07
,,2016 - 2017,1.13
,,2017 - 2018,0.98
,,2018 - 2019,1.13
,Churachandpur,2008 - 2009,1.09
,,2009 - 2010,0.57
,,2010 - 2011,1.16
,,2011 - 2012,1.13
,,2012 - 2013,1.16
,,2013 - 2014,1.16
,,2014 - 2015,1.23
,,2015 - 2016,1.12
,,2016 - 2017,1.13
,,2017 - 2018,1.13
,,2018 - 2019,0.8
,Imphal east,2008 - 2009,1.29
,,2009 - 2010,0.9
,,2010 - 2011,1.55
,,2011 - 2012,1.28
,,2012 - 2013,1.19
,,2013 - 2014,1.2
,,2014 - 2015,1.3
,,2015 - 2016,1.3
,,2016 - 2017,1.23
,,2017 - 2018,1.24
,,2018 - 2019,1.13
,Imphal west,2008 - 2009,1.3
,,2009 - 2010,0.86
,,2010 - 2011,1.35
,,2011 - 2012,1.25
,,2012 - 2013,1.1
,,2013 - 2014,1.13
,,2014 - 2015,1.4
,,2015 - 2016,1.15
,,2016 - 2017,1.16
,,2017 - 2018,1.15
,,2018 - 2019,1.0
,Senapati,2008 - 2009,1.1
,,2009 - 2010,0.53
,,2010 - 2011,1.1
,,2011 - 2012,1.04
,,2012 - 2013,1.06
,,2013 - 2014,1.06
,,2014 - 2015,1.09
,,2015 - 2016,1.09
,,2016 - 2017,1.1
,,2017 - 2018,1.15
,,2018 - 2019,1.15
,Tamenglong,2008 - 2009,1.03
,,2009 - 2010,0.5
,,2010 - 2011,1.1
,,2011 - 2012,1.05
,,2012 - 2013,1.05
,,2013 - 2014,1.11
,,2014 - 2015,1.1
,,2015 - 2016,1.05
,,2016 - 2017,1.09
,,2017 - 2018,1.0
,,2018 - 2019,1.01
,Thoubal,2008 - 2009,1.13
,,2009 - 2010,0.94
,,2010 - 2011,1.22
,,2011 - 2012,1.12
,,2012 - 2013,1.08
,,2013 - 2014,1.11
,,2014 - 2015,1.2
,,2015 - 2016,1.07
,,2016 - 2017,1.11
,,2017 - 2018,1.05
,,2018 - 2019,1.01
,Ukhrul,2008 - 2009,1.18
,,2009 - 2010,0.65
,,2010 - 2011,1.17
,,2011 - 2012,1.16
,,2012 - 2013,1.1
,,2013 - 2014,1.07
,,2014 - 2015,1.1
,,2015 - 2016,1.12
,,2016 - 2017,1.13
,,2017 - 2018,1.27
,,2018 - 2019,1.0
Mizoram,Aizawl,2001 - 2002,1.0
,,2002 - 2003,0.67
,Kolasib,2001 - 2002,1.04
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,Lunglei,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,Mamit,2004 - 2005,1.13
,,2005 - 2006,1.31
Nagaland,Chumoukedima,2022 - 2023,
,Dimapur,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,0.82
,,2010 - 2011,
,,2011 - 2012,0.9
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,0.8
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kiphire,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,0.75
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Kohima,2006 - 2007,
,,2009 - 2010,0.5
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,0.8
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Longleng,2014 - 2015,1.0
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Mokokchung,2006 - 2007,
,,2009 - 2010,0.67
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,0.75
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mon,2006 - 2007,
,,2009 - 2010,0.67
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,0.83
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Noklak,2022 - 2023,
,Nuiland,2022 - 2023,
,Peren,2008 - 2009,
,,2009 - 2010,0.5
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,0.78
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Phek,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,0.5
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,0.88
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Shamator,2022 - 2023,
,Tseminyu,2022 - 2023,
,Tuensang,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,0.86
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Wokha,2006 - 2007,
,,2009 - 2010,0.67
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,0.75
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Zunheboto,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,0.5
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,
,,2014 - 2015,0.83
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Odisha,Anugul,2000 - 2001,0.17
,,2001 - 2002,0.17
,,2002 - 2003,0.12
,,2003 - 2004,0.17
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balangir,2000 - 2001,0.12
,,2001 - 2002,0.18
,,2002 - 2003,0.11
,,2003 - 2004,0.16
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baleshwar,2000 - 2001,0.56
,,2001 - 2002,0.33
,,2002 - 2003,0.33
,,2003 - 2004,0.46
,,2004 - 2005,
