state,district,year,sweet_potato_rabi_yield_tonne_per_hectare
,,2018 - 2019,24.72
,,2019 - 2020,11.69
,,2020 - 2021,12.11
,,2021 - 2022,27.64
,,2022 - 2023,36.75
,Spsr nellore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,7.79
,,2013 - 2014,8.77
,,2014 - 2015,5.89
,,2015 - 2016,7.21
,,2016 - 2017,15.36
,,2017 - 2018,11.73
,,2018 - 2019,20.31
,,2019 - 2020,17.44
,,2020 - 2021,16.43
,,2021 - 2022,25.68
,,2022 - 2023,15.11
,Sri sathya sai,2022 - 2023,19.0
,Srikakulam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,9.67
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,12.0
,,2016 - 2017,15.0
,,2020 - 2021,13.0
,,2021 - 2022,25.67
,,2022 - 2023,18.83
,Tirupati,2022 - 2023,
,Visakhapatanam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,9.62
,,2013 - 2014,8.77
,,2014 - 2015,11.02
,,2015 - 2016,8.18
,,2016 - 2017,15.35
,,2017 - 2018,8.31
,,2018 - 2019,12.4
,,2019 - 2020,12.25
,,2020 - 2021,13.97
,,2021 - 2022,13.06
,,2022 - 2023,18.78
,Vizianagaram,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,9.63
,,2013 - 2014,8.78
,,2014 - 2015,11.03
,,2015 - 2016,12.21
,,2016 - 2017,8.35
,,2017 - 2018,13.7
,,2018 - 2019,14.79
,,2019 - 2020,12.75
,,2020 - 2021,13.0
,,2021 - 2022,25.7
,,2022 - 2023,18.78
,West godavari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
