state,district,year,jowar_rabi_yield_tonne_per_hectare
,,2006 - 2007,0.77
,,2007 - 2008,0.92
,,2008 - 2009,0.81
,,2009 - 2010,0.72
,,2010 - 2011,1.08
,,2011 - 2012,0.6
,,2012 - 2013,0.6
,,2013 - 2014,0.92
,,2014 - 2015,1.07
,,2015 - 2016,0.69
,,2016 - 2017,0.26
,,2017 - 2018,0.71
,,2018 - 2019,0.72
,,2019 - 2020,0.68
,,2020 - 2021,0.89
,,2021 - 2022,0.81
,,2022 - 2023,0.83
,Kodagu,2012 - 2013,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Kolar,2018 - 2019,
,,2019 - 2020,1.1
,,2020 - 2021,1.08
,,2021 - 2022,1.13
,,2022 - 2023,1.2
,Koppal,2000 - 2001,0.52
,,2001 - 2002,0.45
,,2002 - 2003,0.15
,,2003 - 2004,0.15
,,2004 - 2005,0.37
,,2005 - 2006,0.56
,,2006 - 2007,0.1
,,2007 - 2008,1.15
,,2008 - 2009,0.59
,,2009 - 2010,0.5
,,2010 - 2011,0.67
,,2011 - 2012,0.24
,,2012 - 2013,0.97
,,2013 - 2014,0.82
,,2014 - 2015,1.29
,,2015 - 2016,0.48
,,2016 - 2017,0.24
,,2017 - 2018,0.59
,,2018 - 2019,0.42
,,2019 - 2020,0.55
,,2020 - 2021,0.79
,,2021 - 2022,0.73
,,2022 - 2023,0.69
,Mandya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.42
,,2003 - 2004,0.12
,,2004 - 2005,0.56
,,2005 - 2006,0.6
,,2006 - 2007,
,,2007 - 2008,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,1.0
,,2015 - 2016,0.65
,,2018 - 2019,
,,2019 - 2020,1.1
,,2020 - 2021,1.13
,,2021 - 2022,1.0
,,2022 - 2023,1.17
,Mysore,2000 - 2001,0.77
,,2001 - 2002,0.75
,,2002 - 2003,0.72
,,2003 - 2004,0.38
,,2004 - 2005,0.5
,,2005 - 2006,0.58
,,2006 - 2007,0.51
,,2007 - 2008,0.46
,,2008 - 2009,0.54
,,2009 - 2010,0.7
,,2010 - 2011,0.95
,,2011 - 2012,
,,2012 - 2013,0.19
,,2013 - 2014,0.59
,,2014 - 2015,0.51
,,2015 - 2016,0.81
,,2016 - 2017,0.86
,,2017 - 2018,1.12
,,2018 - 2019,0.15
,,2019 - 2020,1.1
,,2020 - 2021,1.08
,,2021 - 2022,1.13
,,2022 - 2023,1.21
,Raichur,2000 - 2001,0.83
,,2001 - 2002,0.62
,,2002 - 2003,0.65
,,2003 - 2004,0.63
,,2004 - 2005,0.63
,,2005 - 2006,0.89
,,2006 - 2007,0.74
,,2007 - 2008,1.3
,,2008 - 2009,1.38
,,2009 - 2010,1.3
,,2010 - 2011,1.45
,,2011 - 2012,0.72
,,2012 - 2013,1.3
,,2013 - 2014,1.41
,,2014 - 2015,1.4
,,2015 - 2016,0.99
,,2016 - 2017,0.79
,,2017 - 2018,1.52
,,2018 - 2019,1.39
,,2019 - 2020,1.95
,,2020 - 2021,1.27
,,2021 - 2022,1.8
,,2022 - 2023,1.78
,Ramanagara,2015 - 2016,0.67
,,2018 - 2019,
,,2019 - 2020,1.1
,,2020 - 2021,1.08
,,2021 - 2022,1.14
,,2022 - 2023,1.2
,Shimoga,2000 - 2001,0.6
,,2001 - 2002,0.56
,,2002 - 2003,0.42
,,2003 - 2004,0.31
,,2004 - 2005,0.75
,,2005 - 2006,0.65
,,2006 - 2007,0.5
,,2007 - 2008,0.78
,,2008 - 2009,0.97
,,2009 - 2010,0.89
,,2010 - 2011,1.0
,,2011 - 2012,0.72
,,2012 - 2013,1.0
,,2013 - 2014,1.12
,,2014 - 2015,1.1
,,2015 - 2016,0.67
,,2016 - 2017,0.86
,,2017 - 2018,1.12
,,2018 - 2019,0.88
,,2019 - 2020,1.1
,,2020 - 2021,1.08
,,2021 - 2022,1.13
,,2022 - 2023,1.2
,Tumkur,2000 - 2001,0.6
,,2001 - 2002,0.61
,,2002 - 2003,0.56
,,2003 - 2004,0.17
,,2004 - 2005,1.15
,,2005 - 2006,0.77
,,2006 - 2007,0.6
,,2007 - 2008,1.66
,,2008 - 2009,1.07
,,2009 - 2010,1.07
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,1.01
,,2013 - 2014,
,,2014 - 2015,1.08
,,2015 - 2016,
,,2016 - 2017,0.84
,,2018 - 2019,0.04
,,2019 - 2020,1.1
,,2020 - 2021,0.18
,,2021 - 2022,1.13
,,2022 - 2023,1.2
,Udupi,2018 - 2019,
,,2019 - 2020,1.08
,,2020 - 2021,
,,2022 - 2023,1.0
,Uttar kannad,2000 - 2001,0.6
,,2001 - 2002,0.67
,,2002 - 2003,0.33
,,2003 - 2004,0.11
,,2004 - 2005,0.5
,,2005 - 2006,0.67
,,2006 - 2007,0.67
,,2007 - 2008,0.86
,,2008 - 2009,1.0
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2017 - 2018,1.0
,,2018 - 2019,
,,2019 - 2020,1.1
,,2020 - 2021,1.08
,,2021 - 2022,1.13
,,2022 - 2023,1.21
,Vijayanagar,2022 - 2023,1.82
,Yadgir,2010 - 2011,1.06
,,2011 - 2012,0.68
,,2012 - 2013,1.04
,,2013 - 2014,1.34
,,2014 - 2015,1.17
,,2015 - 2016,0.75
,,2016 - 2017,1.23
,,2017 - 2018,1.56
,,2018 - 2019,1.05
,,2019 - 2020,1.56
,,2020 - 2021,1.13
,,2021 - 2022,0.93
,,2022 - 2023,0.99
Kerala,Idukki,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,Kannur,2003 - 2004,
,,2005 - 2006,
,,2022 - 2023,1.0
,Kasaragod,2001 - 2002,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,Kollam,2002 - 2003,
,,2003 - 2004,
,Kozhikode,2001 - 2002,
,Malappuram,2001 - 2002,
,,2003 - 2004,
,,2006 - 2007,
,Palakkad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.89
,,2021 - 2022,1.46
,Thiruvananthapuram,2006 - 2007,
,Wayanad,2002 - 2003,
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
Madhya Pradesh,Agar malwa,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Alirajpur,2008 - 2009,1.19
,,2009 - 2010,1.29
,,2010 - 2011,1.2
,,2011 - 2012,1.31
,,2012 - 2013,1.9
,,2013 - 2014,1.61
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Anuppur,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ashoknagar,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balaghat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,1.8
,,2004 - 2005,1.49
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2018 - 2019,
,,2020 - 2021,
,,2022 - 2023,
,Barwani,2000 - 2001,0.55
,,2001 - 2002,0.96
,,2002 - 2003,0.93
,,2003 - 2004,1.29
,,2004 - 2005,0.98
,,2005 - 2006,0.82
,,2006 - 2007,0.92
,,2007 - 2008,0.86
,,2008 - 2009,1.14
,,2009 - 2010,1.1
,,2010 - 2011,1.52
,,2011 - 2012,1.67
,,2012 - 2013,1.99
,,2013 - 2014,1.42
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Betul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhind,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,2.0
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhopal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Burhanpur,2003 - 2004,1.14
,,2004 - 2005,0.86
,,2005 - 2006,1.04
,,2006 - 2007,1.29
,,2007 - 2008,1.26
,,2008 - 2009,1.48
,,2009 - 2010,1.4
,,2010 - 2011,1.84
,,2011 - 2012,2.08
,,2012 - 2013,3.62
,,2013 - 2014,3.15
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chhatarpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,1.4
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.29
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Chhindwara,2000 - 2001,0.81
,,2001 - 2002,1.74
,,2002 - 2003,1.11
,,2003 - 2004,1.9
,,2004 - 2005,2.0
,,2005 - 2006,1.77
,,2006 - 2007,2.0
,,2007 - 2008,2.03
,,2008 - 2009,2.18
,,2009 - 2010,2.5
,,2010 - 2011,2.67
,,2011 - 2012,2.6
,,2012 - 2013,5.57
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Damoh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.0
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Datia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,0.95
,,2010 - 2011,0.55
,,2011 - 2012,1.19
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dewas,2000 - 2001,1.96
,,2001 - 2002,1.6
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,2.54
,,2007 - 2008,2.43
,,2008 - 2009,2.69
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhar,2000 - 2001,0.42
,,2001 - 2002,0.67
,,2002 - 2003,0.58
,,2003 - 2004,0.91
,,2004 - 2005,0.78
,,2005 - 2006,0.85
,,2006 - 2007,0.84
,,2007 - 2008,1.06
,,2008 - 2009,1.02
,,2009 - 2010,1.11
,,2010 - 2011,1.23
,,2011 - 2012,1.15
,,2012 - 2013,1.81
,,2013 - 2014,1.04
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dindori,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Guna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gwalior,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Harda,2000 - 2001,1.6
,,2001 - 2002,1.23
,,2002 - 2003,1.21
,,2003 - 2004,1.47
,,2004 - 2005,1.2
,,2005 - 2006,2.61
,,2006 - 2007,2.81
,,2007 - 2008,1.91
,,2008 - 2009,
,,2009 - 2010,2.87
,,2010 - 2011,2.5
,,2011 - 2012,2.83
,,2012 - 2013,3.83
,,2013 - 2014,2.36
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Hoshangabad,2000 - 2001,1.55
,,2001 - 2002,1.23
,,2002 - 2003,1.23
,,2003 - 2004,1.48
,,2004 - 2005,1.2
,,2005 - 2006,2.55
,,2006 - 2007,2.22
,,2007 - 2008,2.05
,,2008 - 2009,2.5
,,2009 - 2010,2.35
,,2010 - 2011,2.75
,,2011 - 2012,3.0
,,2012 - 2013,4.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Indore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jabalpur,2000 - 2001,
,,2001 - 2002,2.0
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jhabua,2000 - 2001,0.4
,,2001 - 2002,0.7
,,2002 - 2003,0.67
,,2003 - 2004,0.93
,,2004 - 2005,0.8
,,2005 - 2006,0.98
,,2006 - 2007,0.96
,,2007 - 2008,1.21
,,2008 - 2009,
,,2009 - 2010,0.0
,,2010 - 2011,
,,2011 - 2012,0.0
,,2012 - 2013,
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Katni,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Khandwa,2000 - 2001,0.5
,,2001 - 2002,0.84
,,2002 - 2003,1.59
,,2003 - 2004,1.13
,,2004 - 2005,0.89
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,1.33
,,2009 - 2010,1.4
,,2010 - 2011,2.0
,,2011 - 2012,1.5
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khargone,2000 - 2001,
,,2001 - 2002,0.95
,,2002 - 2003,1.11
,,2003 - 2004,1.2
,,2004 - 2005,1.0
,,2005 - 2006,1.25
,,2006 - 2007,
,,2007 - 2008,1.0
,,2008 - 2009,
,,2009 - 2010,2.0
,,2010 - 2011,1.0
,,2011 - 2012,
,,2012 - 2013,1.75
,,2013 - 2014,1.0
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mandla,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.17
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Mandsaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Morena,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narsinghpur,2000 - 2001,
,,2001 - 2002,1.0
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Neemuch,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Niwari,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Panna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,2.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raisen,2000 - 2001,2.0
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,2.4
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ratlam,2000 - 2001,0.71
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.56
,,2005 - 2006,1.0
,,2006 - 2007,
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,
,,2010 - 2011,2.0
,,2013 - 2014,2.33
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Rewa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,2.0
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Satna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sehore,2000 - 2001,1.7
,,2001 - 2002,1.37
,,2002 - 2003,1.34
,,2003 - 2004,2.18
,,2004 - 2005,1.94
,,2005 - 2006,2.25
,,2006 - 2007,2.3
,,2007 - 2008,1.85
,,2008 - 2009,2.21
,,2009 - 2010,2.76
,,2010 - 2011,2.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Seoni,2000 - 2001,0.45
,,2001 - 2002,0.96
,,2002 - 2003,0.7
,,2003 - 2004,1.1
,,2004 - 2005,1.0
,,2005 - 2006,1.09
,,2006 - 2007,1.07
,,2007 - 2008,1.11
,,2008 - 2009,
,,2009 - 2010,2.45
,,2010 - 2011,1.33
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shahdol,2000 - 2001,
,,2001 - 2002,2.0
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,2.0
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
