state,district,year,jowar_kharif_yield_tonne_per_hectare
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.32
,,2020 - 2021,2.0
,,2021 - 2022,
,,2022 - 2023,1.59
,Chamarajanagar,2000 - 2001,0.68
,,2001 - 2002,0.49
,,2002 - 2003,0.21
,,2003 - 2004,0.13
,,2004 - 2005,1.21
,,2005 - 2006,0.53
,,2006 - 2007,0.67
,,2007 - 2008,0.75
,,2008 - 2009,0.54
,,2009 - 2010,0.51
,,2010 - 2011,0.82
,,2011 - 2012,0.61
,,2012 - 2013,0.41
,,2013 - 2014,0.81
,,2014 - 2015,0.43
,,2015 - 2016,0.63
,,2016 - 2017,0.72
,,2017 - 2018,0.8
,,2018 - 2019,1.01
,,2019 - 2020,0.97
,,2020 - 2021,1.35
,,2021 - 2022,1.15
,,2022 - 2023,1.0
,Chikballapur,2010 - 2011,1.62
,,2012 - 2013,1.22
,,2013 - 2014,1.42
,,2014 - 2015,1.38
,,2015 - 2016,1.14
,,2016 - 2017,1.16
,,2018 - 2019,1.37
,,2019 - 2020,1.32
,,2020 - 2021,2.01
,,2021 - 2022,1.62
,,2022 - 2023,1.6
,Chikmagalur,2000 - 2001,1.08
,,2001 - 2002,0.69
,,2002 - 2003,0.67
,,2003 - 2004,0.41
,,2004 - 2005,0.98
,,2005 - 2006,1.16
,,2006 - 2007,0.67
,,2007 - 2008,1.24
,,2008 - 2009,0.84
,,2009 - 2010,0.92
,,2010 - 2011,1.25
,,2011 - 2012,0.63
,,2012 - 2013,0.56
,,2013 - 2014,0.81
,,2014 - 2015,0.87
,,2015 - 2016,0.7
,,2016 - 2017,0.2
,,2017 - 2018,0.83
,,2018 - 2019,1.02
,,2019 - 2020,0.82
,,2020 - 2021,1.14
,,2021 - 2022,0.49
,,2022 - 2023,0.52
,Chitradurga,2000 - 2001,1.72
,,2001 - 2002,1.44
,,2002 - 2003,1.12
,,2003 - 2004,1.41
,,2004 - 2005,1.35
,,2005 - 2006,1.65
,,2006 - 2007,0.87
,,2007 - 2008,1.26
,,2008 - 2009,0.94
,,2009 - 2010,1.11
,,2010 - 2011,1.51
,,2011 - 2012,1.17
,,2012 - 2013,1.28
,,2013 - 2014,1.27
,,2014 - 2015,1.39
,,2015 - 2016,1.25
,,2016 - 2017,0.75
,,2017 - 2018,1.25
,,2018 - 2019,0.88
,,2019 - 2020,1.02
,,2020 - 2021,1.94
,,2021 - 2022,1.83
,,2022 - 2023,1.75
,Dakshin kannad,2019 - 2020,
,Davangere,2000 - 2001,1.97
,,2001 - 2002,1.6
,,2002 - 2003,1.61
,,2003 - 2004,0.96
,,2004 - 2005,1.76
,,2005 - 2006,2.27
,,2006 - 2007,1.53
,,2007 - 2008,2.48
,,2008 - 2009,1.89
,,2009 - 2010,2.09
,,2010 - 2011,2.42
,,2011 - 2012,1.98
,,2012 - 2013,1.73
,,2013 - 2014,2.28
,,2014 - 2015,2.49
,,2015 - 2016,2.03
,,2016 - 2017,1.79
,,2017 - 2018,1.88
,,2018 - 2019,2.06
,,2019 - 2020,2.23
,,2020 - 2021,3.12
,,2021 - 2022,2.36
,,2022 - 2023,1.79
,Dharwad,2000 - 2001,1.11
,,2001 - 2002,0.57
,,2002 - 2003,0.8
,,2003 - 2004,0.39
,,2004 - 2005,0.7
,,2005 - 2006,0.83
,,2006 - 2007,0.67
,,2007 - 2008,1.08
,,2008 - 2009,0.82
,,2009 - 2010,0.79
,,2010 - 2011,0.93
,,2011 - 2012,0.66
,,2012 - 2013,0.59
,,2013 - 2014,0.84
,,2014 - 2015,0.8
,,2015 - 2016,0.29
,,2016 - 2017,0.2
,,2017 - 2018,0.64
,,2018 - 2019,0.25
,,2019 - 2020,0.57
,,2020 - 2021,0.64
,,2021 - 2022,0.32
,,2022 - 2023,1.6
,Gadag,2000 - 2001,1.24
,,2001 - 2002,1.16
,,2002 - 2003,0.63
,,2003 - 2004,0.63
,,2004 - 2005,1.08
,,2005 - 2006,1.64
,,2006 - 2007,0.66
,,2007 - 2008,1.55
,,2008 - 2009,1.04
,,2009 - 2010,0.72
,,2010 - 2011,1.38
,,2011 - 2012,1.52
,,2012 - 2013,1.08
,,2013 - 2014,1.32
,,2014 - 2015,1.57
,,2015 - 2016,0.9
,,2016 - 2017,1.18
,,2017 - 2018,1.81
,,2018 - 2019,0.81
,,2019 - 2020,1.28
,,2020 - 2021,1.37
,,2021 - 2022,1.57
,,2022 - 2023,1.75
,Gulbarga,2000 - 2001,0.98
,,2001 - 2002,0.92
,,2002 - 2003,0.95
,,2003 - 2004,1.02
,,2004 - 2005,0.93
,,2005 - 2006,1.07
,,2006 - 2007,0.91
,,2007 - 2008,1.16
,,2008 - 2009,1.53
,,2009 - 2010,0.77
,,2010 - 2011,0.84
,,2011 - 2012,1.28
,,2012 - 2013,1.36
,,2013 - 2014,1.23
,,2014 - 2015,1.1
,,2015 - 2016,0.9
,,2016 - 2017,1.25
,,2017 - 2018,2.83
,,2018 - 2019,
,,2019 - 2020,1.19
,,2020 - 2021,1.4
,,2021 - 2022,1.98
,,2022 - 2023,1.6
,Hassan,2000 - 2001,1.58
,,2001 - 2002,1.62
,,2002 - 2003,0.71
,,2003 - 2004,0.6
,,2004 - 2005,1.13
,,2005 - 2006,1.47
,,2006 - 2007,0.73
,,2007 - 2008,1.11
,,2008 - 2009,1.12
,,2009 - 2010,1.24
,,2010 - 2011,1.99
,,2011 - 2012,0.79
,,2012 - 2013,0.48
,,2013 - 2014,0.67
,,2014 - 2015,0.85
,,2015 - 2016,0.6
,,2016 - 2017,0.16
,,2017 - 2018,1.66
,,2018 - 2019,0.4
,,2019 - 2020,0.99
,,2020 - 2021,1.56
,,2021 - 2022,1.01
,,2022 - 2023,1.09
,Haveri,2000 - 2001,2.18
,,2001 - 2002,1.42
,,2002 - 2003,1.26
,,2003 - 2004,0.55
,,2004 - 2005,1.69
,,2005 - 2006,1.73
,,2006 - 2007,1.6
,,2007 - 2008,1.74
,,2008 - 2009,1.47
,,2009 - 2010,0.89
,,2010 - 2011,1.93
,,2011 - 2012,1.75
,,2012 - 2013,1.03
,,2013 - 2014,1.99
,,2014 - 2015,1.46
,,2015 - 2016,0.89
,,2016 - 2017,0.83
,,2017 - 2018,1.38
,,2018 - 2019,1.05
,,2019 - 2020,0.95
,,2020 - 2021,1.65
,,2021 - 2022,0.99
,,2022 - 2023,0.7
,Kodagu,2012 - 2013,1.0
,,2019 - 2020,1.32
,,2021 - 2022,2.0
,,2022 - 2023,1.61
,Kolar,2018 - 2019,1.37
,,2019 - 2020,1.32
,,2020 - 2021,2.01
,,2021 - 2022,1.62
,,2022 - 2023,1.6
,Koppal,2000 - 2001,1.09
,,2001 - 2002,1.59
,,2002 - 2003,0.62
,,2003 - 2004,0.67
,,2004 - 2005,0.74
,,2005 - 2006,1.42
,,2006 - 2007,0.65
,,2007 - 2008,1.12
,,2008 - 2009,0.97
,,2009 - 2010,0.71
,,2010 - 2011,1.66
,,2011 - 2012,1.25
,,2012 - 2013,1.45
,,2013 - 2014,2.3
,,2014 - 2015,1.85
,,2015 - 2016,1.04
,,2016 - 2017,0.95
,,2017 - 2018,2.31
,,2018 - 2019,1.62
,,2019 - 2020,1.86
,,2020 - 2021,2.18
,,2021 - 2022,1.75
,,2022 - 2023,1.85
,Mandya,2000 - 2001,0.95
,,2001 - 2002,0.67
,,2002 - 2003,0.58
,,2003 - 2004,0.53
,,2004 - 2005,0.76
,,2005 - 2006,0.5
,,2006 - 2007,1.76
,,2007 - 2008,0.84
,,2010 - 2011,1.6
,,2011 - 2012,1.47
,,2012 - 2013,1.23
,,2013 - 2014,1.42
,,2014 - 2015,1.38
,,2015 - 2016,1.14
,,2018 - 2019,1.37
,,2019 - 2020,1.32
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mysore,2000 - 2001,0.88
,,2001 - 2002,0.67
,,2002 - 2003,0.43
,,2003 - 2004,0.45
,,2004 - 2005,1.7
,,2005 - 2006,1.29
,,2006 - 2007,1.47
,,2007 - 2008,1.14
,,2008 - 2009,0.92
,,2009 - 2010,0.77
,,2010 - 2011,1.22
,,2011 - 2012,1.96
,,2012 - 2013,0.14
,,2013 - 2014,1.29
,,2014 - 2015,1.47
,,2015 - 2016,1.29
,,2016 - 2017,0.93
,,2017 - 2018,0.81
,,2018 - 2019,1.24
,,2019 - 2020,0.52
,,2020 - 2021,1.41
,,2021 - 2022,0.92
,,2022 - 2023,0.45
,Raichur,2000 - 2001,1.1
,,2001 - 2002,0.97
,,2002 - 2003,0.98
,,2003 - 2004,0.64
,,2004 - 2005,0.54
,,2005 - 2006,0.77
,,2006 - 2007,0.63
,,2007 - 2008,1.02
,,2008 - 2009,0.48
,,2009 - 2010,0.83
,,2010 - 2011,1.19
,,2011 - 2012,1.25
,,2012 - 2013,1.42
,,2013 - 2014,0.96
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.16
,,2017 - 2018,
,,2018 - 2019,1.37
,,2019 - 2020,1.32
,,2020 - 2021,2.01
,,2021 - 2022,1.62
,,2022 - 2023,1.6
,Ramanagara,2015 - 2016,
,,2018 - 2019,1.37
,,2019 - 2020,1.32
,,2020 - 2021,2.01
,,2021 - 2022,1.62
,,2022 - 2023,1.6
,Shimoga,2000 - 2001,1.12
,,2001 - 2002,1.93
,,2002 - 2003,0.93
,,2003 - 2004,1.06
,,2004 - 2005,1.55
,,2005 - 2006,1.93
,,2006 - 2007,1.67
,,2007 - 2008,2.01
,,2008 - 2009,1.96
,,2009 - 2010,1.84
,,2010 - 2011,1.51
,,2011 - 2012,2.03
,,2012 - 2013,2.09
,,2013 - 2014,1.84
,,2014 - 2015,2.14
,,2015 - 2016,3.03
,,2016 - 2017,2.44
,,2017 - 2018,3.32
,,2018 - 2019,3.04
,,2019 - 2020,1.98
,,2020 - 2021,2.71
,,2021 - 2022,1.6
,,2022 - 2023,2.0
,Tumkur,2000 - 2001,1.46
,,2001 - 2002,1.53
,,2002 - 2003,1.16
,,2003 - 2004,0.63
,,2004 - 2005,1.3
,,2005 - 2006,1.2
,,2006 - 2007,0.7
,,2007 - 2008,1.14
,,2008 - 2009,1.39
,,2009 - 2010,0.78
,,2010 - 2011,0.76
,,2011 - 2012,0.82
,,2012 - 2013,
,,2013 - 2014,0.58
,,2014 - 2015,0.48
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,1.37
,,2019 - 2020,1.32
,,2020 - 2021,2.01
,,2021 - 2022,1.62
,,2022 - 2023,1.6
,Udupi,2018 - 2019,1.25
,,2019 - 2020,1.29
,,2020 - 2021,2.0
,,2022 - 2023,
,Uttar kannad,2000 - 2001,1.09
,,2001 - 2002,0.85
,,2002 - 2003,0.43
,,2003 - 2004,0.57
,,2004 - 2005,1.4
,,2005 - 2006,1.44
,,2006 - 2007,1.01
,,2007 - 2008,1.74
,,2008 - 2009,1.33
,,2009 - 2010,1.0
,,2010 - 2011,1.58
,,2011 - 2012,1.33
,,2012 - 2013,1.2
,,2013 - 2014,
,,2017 - 2018,
,,2018 - 2019,1.37
,,2019 - 2020,1.32
,,2020 - 2021,2.0
,,2021 - 2022,1.62
,,2022 - 2023,1.61
,Vijayanagar,2022 - 2023,2.72
,Yadgir,2010 - 2011,1.54
,,2011 - 2012,1.32
,,2012 - 2013,0.9
,,2013 - 2014,0.88
,,2014 - 2015,0.9
,,2015 - 2016,1.02
,,2016 - 2017,0.99
,,2017 - 2018,2.32
,,2018 - 2019,2.53
,,2019 - 2020,1.85
,,2020 - 2021,1.48
,,2021 - 2022,1.61
,,2022 - 2023,1.6
Kerala,Idukki,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2006 - 2007,0.55
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,Kannur,2003 - 2004,1.0
,,2005 - 2006,0.0
,,2022 - 2023,
,Kasaragod,2001 - 2002,0.5
,,2003 - 2004,0.33
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2012 - 2013,
,,2013 - 2014,
,Kollam,2002 - 2003,0.5
,,2003 - 2004,1.0
,Kozhikode,2001 - 2002,0.0
,Malappuram,2001 - 2002,0.6
,,2003 - 2004,0.56
,,2006 - 2007,1.0
,Palakkad,2000 - 2001,0.51
,,2001 - 2002,0.51
,,2002 - 2003,0.51
,,2003 - 2004,0.51
,,2004 - 2005,0.51
,,2005 - 2006,0.51
,,2006 - 2007,0.51
,,2007 - 2008,0.51
,,2008 - 2009,0.51
,,2009 - 2010,0.51
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.83
,,2021 - 2022,1.39
,Thiruvananthapuram,2006 - 2007,1.0
,Wayanad,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.56
,,2008 - 2009,0.5
,,2009 - 2010,0.56
,,2012 - 2013,
,,2013 - 2014,
Madhya Pradesh,Agar malwa,2013 - 2014,1.22
,,2014 - 2015,0.0
,,2015 - 2016,1.2
,,2016 - 2017,1.75
,,2017 - 2018,1.86
,,2018 - 2019,1.17
,,2019 - 2020,0.98
,,2020 - 2021,1.3
,,2021 - 2022,1.51
,,2022 - 2023,1.61
,Alirajpur,2008 - 2009,1.03
,,2009 - 2010,1.16
,,2010 - 2011,1.27
,,2011 - 2012,1.09
,,2012 - 2013,1.28
,,2013 - 2014,1.63
,,2014 - 2015,1.0
,,2015 - 2016,2.0
,,2016 - 2017,1.42
,,2017 - 2018,2.36
,,2018 - 2019,1.77
,,2019 - 2020,0.77
,,2020 - 2021,1.33
,,2021 - 2022,1.41
,,2022 - 2023,1.41
,Anuppur,2003 - 2004,0.92
,,2004 - 2005,0.87
,,2005 - 2006,0.8
,,2006 - 2007,0.83
,,2007 - 2008,0.74
,,2008 - 2009,0.96
,,2009 - 2010,0.79
,,2010 - 2011,1.05
,,2011 - 2012,0.86
,,2012 - 2013,1.3
,,2013 - 2014,0.68
,,2017 - 2018,2.1
,,2018 - 2019,0.83
,,2019 - 2020,0.98
,,2020 - 2021,1.04
,,2021 - 2022,1.17
,,2022 - 2023,1.25
,Ashoknagar,2003 - 2004,0.91
,,2004 - 2005,0.95
,,2005 - 2006,1.01
,,2006 - 2007,0.97
,,2007 - 2008,1.04
,,2008 - 2009,1.1
,,2009 - 2010,1.24
,,2010 - 2011,1.21
,,2011 - 2012,1.26
,,2012 - 2013,1.57
,,2013 - 2014,1.0
,,2017 - 2018,1.8
,,2018 - 2019,1.17
,,2019 - 2020,1.28
,,2020 - 2021,1.33
,,2021 - 2022,1.35
,,2022 - 2023,1.2
,Balaghat,2000 - 2001,1.61
,,2001 - 2002,1.4
,,2002 - 2003,1.16
,,2003 - 2004,1.34
,,2004 - 2005,1.27
,,2005 - 2006,1.36
,,2006 - 2007,1.4
,,2007 - 2008,1.41
,,2008 - 2009,1.51
,,2009 - 2010,1.7
,,2010 - 2011,1.87
,,2011 - 2012,2.0
,,2012 - 2013,2.1
,,2013 - 2014,1.41
,,2014 - 2015,2.0
,,2018 - 2019,2.22
,,2020 - 2021,2.33
,,2022 - 2023,2.0
,Barwani,2000 - 2001,0.68
,,2001 - 2002,0.92
,,2002 - 2003,0.8
,,2003 - 2004,1.28
,,2004 - 2005,0.88
,,2005 - 2006,0.88
,,2006 - 2007,1.1
,,2007 - 2008,1.09
,,2008 - 2009,1.38
,,2009 - 2010,1.4
,,2010 - 2011,1.61
,,2011 - 2012,3.59
,,2012 - 2013,5.29
,,2013 - 2014,2.14
,,2014 - 2015,3.3
,,2015 - 2016,2.88
,,2016 - 2017,2.97
,,2017 - 2018,2.84
,,2018 - 2019,3.17
,,2019 - 2020,1.69
,,2020 - 2021,1.63
,,2021 - 2022,1.87
,,2022 - 2023,2.53
,Betul,2000 - 2001,0.64
,,2001 - 2002,0.85
,,2002 - 2003,0.97
,,2003 - 2004,1.39
,,2004 - 2005,0.65
,,2005 - 2006,1.39
,,2006 - 2007,0.92
,,2007 - 2008,0.94
,,2008 - 2009,1.08
,,2009 - 2010,0.99
,,2010 - 2011,1.34
,,2011 - 2012,1.03
,,2012 - 2013,1.46
,,2013 - 2014,1.28
,,2014 - 2015,1.4
,,2015 - 2016,1.64
,,2016 - 2017,1.65
,,2017 - 2018,2.31
,,2018 - 2019,1.09
,,2019 - 2020,1.13
,,2020 - 2021,1.55
,,2021 - 2022,1.31
,,2022 - 2023,1.31
,Bhind,2000 - 2001,0.24
,,2001 - 2002,1.26
,,2002 - 2003,1.27
,,2003 - 2004,1.46
,,2004 - 2005,1.37
,,2005 - 2006,1.31
,,2006 - 2007,1.03
,,2007 - 2008,1.29
,,2008 - 2009,1.07
,,2009 - 2010,1.27
,,2010 - 2011,1.67
,,2011 - 2012,1.52
,,2012 - 2013,1.35
,,2013 - 2014,2.47
,,2014 - 2015,2.29
,,2015 - 2016,3.67
,,2016 - 2017,2.0
,,2017 - 2018,2.54
,,2018 - 2019,2.53
,,2019 - 2020,2.07
,,2020 - 2021,2.84
,,2021 - 2022,2.14
,,2022 - 2023,2.14
,Bhopal,2000 - 2001,1.15
,,2001 - 2002,1.01
,,2002 - 2003,1.02
,,2003 - 2004,1.17
,,2004 - 2005,1.23
,,2005 - 2006,1.19
,,2006 - 2007,1.27
,,2007 - 2008,1.32
,,2008 - 2009,1.46
,,2009 - 2010,1.55
,,2010 - 2011,2.0
,,2011 - 2012,1.47
,,2012 - 2013,2.22
,,2013 - 2014,0.96
,,2016 - 2017,1.0
,,2017 - 2018,2.13
,,2018 - 2019,1.74
,,2019 - 2020,1.47
,,2020 - 2021,1.71
,,2021 - 2022,1.71
,,2022 - 2023,1.69
,Burhanpur,2003 - 2004,1.3
,,2004 - 2005,1.24
,,2005 - 2006,1.3
,,2006 - 2007,1.18
,,2007 - 2008,1.23
,,2008 - 2009,1.39
,,2009 - 2010,1.35
,,2010 - 2011,2.04
,,2011 - 2012,1.89
,,2012 - 2013,2.91
,,2013 - 2014,4.8
,,2014 - 2015,1.75
,,2015 - 2016,3.5
,,2016 - 2017,3.73
,,2017 - 2018,3.51
,,2018 - 2019,3.73
,,2019 - 2020,2.38
,,2020 - 2021,3.78
,,2021 - 2022,3.47
,,2022 - 2023,3.34
,Chhatarpur,2000 - 2001,0.67
,,2001 - 2002,0.81
,,2002 - 2003,0.57
,,2003 - 2004,0.95
,,2004 - 2005,0.89
,,2005 - 2006,0.87
,,2006 - 2007,0.7
,,2007 - 2008,0.8
,,2008 - 2009,0.94
,,2009 - 2010,1.06
,,2010 - 2011,1.16
,,2011 - 2012,0.73
,,2012 - 2013,1.35
,,2013 - 2014,0.53
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.5
,,2017 - 2018,2.34
,,2018 - 2019,1.17
,,2019 - 2020,1.06
,,2020 - 2021,1.5
,,2021 - 2022,1.36
,,2022 - 2023,1.35
,Chhindwara,2000 - 2001,0.92
,,2001 - 2002,0.83
,,2002 - 2003,1.11
,,2003 - 2004,0.99
,,2004 - 2005,1.13
,,2005 - 2006,1.26
,,2006 - 2007,1.17
,,2007 - 2008,1.32
,,2008 - 2009,1.11
,,2009 - 2010,1.52
,,2010 - 2011,1.38
,,2011 - 2012,1.78
,,2012 - 2013,1.03
,,2013 - 2014,1.59
,,2014 - 2015,1.7
,,2015 - 2016,2.1
,,2016 - 2017,2.0
,,2017 - 2018,2.35
,,2018 - 2019,1.37
,,2019 - 2020,1.53
,,2020 - 2021,2.03
,,2021 - 2022,1.95
,,2022 - 2023,2.12
,Damoh,2000 - 2001,0.97
,,2001 - 2002,1.0
,,2002 - 2003,0.74
,,2003 - 2004,1.26
,,2004 - 2005,1.28
,,2005 - 2006,1.24
,,2006 - 2007,1.04
,,2007 - 2008,1.15
,,2008 - 2009,1.63
,,2009 - 2010,1.96
,,2010 - 2011,2.32
,,2011 - 2012,2.12
,,2012 - 2013,2.41
,,2013 - 2014,0.77
,,2014 - 2015,2.0
,,2015 - 2016,3.0
,,2016 - 2017,2.0
,,2017 - 2018,2.35
,,2018 - 2019,2.44
,,2019 - 2020,0.67
,,2020 - 2021,1.34
,,2021 - 2022,1.61
,,2022 - 2023,1.89
,Datia,2000 - 2001,1.18
,,2001 - 2002,1.11
,,2002 - 2003,0.49
,,2003 - 2004,0.94
,,2004 - 2005,0.64
,,2005 - 2006,1.11
,,2006 - 2007,1.06
,,2007 - 2008,0.89
,,2008 - 2009,0.87
,,2009 - 2010,1.11
,,2010 - 2011,1.21
,,2011 - 2012,1.19
,,2012 - 2013,1.34
,,2013 - 2014,1.01
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,2.32
,,2018 - 2019,1.55
,,2019 - 2020,1.31
,,2020 - 2021,1.32
,,2021 - 2022,1.32
,,2022 - 2023,1.31
,Dewas,2000 - 2001,1.07
,,2001 - 2002,1.25
,,2002 - 2003,1.36
,,2003 - 2004,1.65
,,2004 - 2005,0.96
,,2005 - 2006,1.42
,,2006 - 2007,1.32
,,2007 - 2008,1.45
,,2008 - 2009,1.52
,,2009 - 2010,1.01
,,2010 - 2011,1.26
,,2011 - 2012,1.05
,,2012 - 2013,1.45
,,2013 - 2014,0.84
,,2014 - 2015,2.0
,,2015 - 2016,0.54
,,2016 - 2017,2.5
,,2017 - 2018,2.31
,,2018 - 2019,1.84
,,2019 - 2020,1.52
,,2020 - 2021,1.51
,,2021 - 2022,1.9
,,2022 - 2023,1.9
,Dhar,2000 - 2001,0.24
,,2001 - 2002,0.55
,,2002 - 2003,0.58
,,2003 - 2004,0.72
,,2004 - 2005,0.63
,,2005 - 2006,0.68
,,2006 - 2007,0.83
,,2007 - 2008,1.0
,,2008 - 2009,0.96
,,2009 - 2010,1.25
,,2010 - 2011,1.11
,,2011 - 2012,1.25
,,2012 - 2013,1.76
,,2013 - 2014,1.17
,,2014 - 2015,1.67
,,2015 - 2016,1.8
,,2016 - 2017,1.2
,,2017 - 2018,2.13
,,2018 - 2019,1.79
,,2019 - 2020,1.49
,,2020 - 2021,1.59
,,2021 - 2022,1.52
,,2022 - 2023,1.52
,Dindori,2000 - 2001,0.62
,,2001 - 2002,1.01
,,2002 - 2003,0.61
,,2003 - 2004,1.08
,,2004 - 2005,0.84
,,2005 - 2006,0.88
,,2006 - 2007,0.73
,,2007 - 2008,0.86
,,2008 - 2009,1.02
,,2009 - 2010,0.95
,,2010 - 2011,1.19
,,2011 - 2012,0.88
,,2012 - 2013,1.34
,,2013 - 2014,1.05
,,2014 - 2015,2.0
,,2017 - 2018,1.9
,,2018 - 2019,1.11
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2022 - 2023,1.17
,Guna,2000 - 2001,0.93
,,2001 - 2002,0.76
,,2002 - 2003,0.35
,,2003 - 2004,1.08
,,2004 - 2005,0.95
,,2005 - 2006,0.81
,,2006 - 2007,0.85
,,2007 - 2008,0.9
,,2008 - 2009,0.79
,,2009 - 2010,0.84
,,2010 - 2011,0.95
,,2011 - 2012,1.06
,,2012 - 2013,0.9
,,2013 - 2014,0.81
,,2014 - 2015,1.0
,,2015 - 2016,0.5
,,2016 - 2017,1.0
,,2017 - 2018,2.17
,,2018 - 2019,1.17
,,2019 - 2020,1.06
,,2020 - 2021,1.14
,,2021 - 2022,1.17
,,2022 - 2023,1.04
,Gwalior,2000 - 2001,1.63
,,2001 - 2002,1.83
,,2002 - 2003,0.65
,,2003 - 2004,2.28
,,2004 - 2005,2.08
,,2005 - 2006,2.22
,,2006 - 2007,2.01
,,2007 - 2008,1.25
,,2008 - 2009,2.11
,,2009 - 2010,2.51
,,2010 - 2011,2.94
,,2011 - 2012,2.3
,,2012 - 2013,2.74
,,2013 - 2014,1.68
,,2014 - 2015,2.0
,,2015 - 2016,2.57
,,2016 - 2017,2.09
,,2017 - 2018,2.51
,,2018 - 2019,2.26
,,2019 - 2020,2.04
,,2020 - 2021,2.14
,,2021 - 2022,2.24
,,2022 - 2023,2.22
,Harda,2000 - 2001,1.03
,,2001 - 2002,1.08
,,2002 - 2003,0.91
,,2003 - 2004,1.57
,,2004 - 2005,1.47
,,2005 - 2006,1.45
,,2006 - 2007,1.2
,,2007 - 2008,1.78
,,2008 - 2009,1.62
,,2009 - 2010,1.78
,,2010 - 2011,2.28
,,2011 - 2012,1.7
,,2012 - 2013,2.43
,,2013 - 2014,1.26
,,2017 - 2018,1.97
,,2018 - 2019,2.18
,,2019 - 2020,1.14
,,2020 - 2021,1.09
,,2021 - 2022,1.34
,,2022 - 2023,1.34
,Hoshangabad,2000 - 2001,1.18
,,2001 - 2002,1.08
,,2002 - 2003,1.07
,,2003 - 2004,1.23
,,2004 - 2005,1.21
,,2005 - 2006,1.15
,,2006 - 2007,1.21
,,2007 - 2008,1.22
,,2008 - 2009,1.29
,,2009 - 2010,1.39
,,2010 - 2011,1.91
,,2011 - 2012,1.62
,,2012 - 2013,2.46
,,2013 - 2014,1.17
,,2014 - 2015,1.0
,,2015 - 2016,2.0
,,2016 - 2017,2.0
,,2017 - 2018,2.3
,,2018 - 2019,2.16
,,2019 - 2020,1.41
,,2020 - 2021,1.0
,,2021 - 2022,2.28
,,2022 - 2023,2.15
,Indore,2000 - 2001,1.41
,,2001 - 2002,0.94
,,2002 - 2003,1.13
,,2003 - 2004,1.3
,,2004 - 2005,1.22
,,2005 - 2006,1.32
,,2006 - 2007,1.33
,,2007 - 2008,1.58
,,2008 - 2009,1.47
,,2009 - 2010,1.67
,,2010 - 2011,2.06
,,2011 - 2012,1.75
,,2012 - 2013,1.88
,,2013 - 2014,1.17
,,2017 - 2018,2.3
,,2018 - 2019,1.5
,,2019 - 2020,1.82
,,2020 - 2021,1.4
,,2021 - 2022,1.92
,,2022 - 2023,1.92
,Jabalpur,2000 - 2001,0.84
,,2001 - 2002,1.23
,,2002 - 2003,1.08
,,2003 - 2004,1.25
,,2004 - 2005,1.72
,,2005 - 2006,1.36
,,2006 - 2007,1.54
,,2007 - 2008,1.0
,,2008 - 2009,1.67
,,2009 - 2010,1.47
,,2010 - 2011,2.6
,,2011 - 2012,1.63
,,2012 - 2013,2.13
,,2013 - 2014,1.64
,,2014 - 2015,2.0
,,2017 - 2018,2.5
,,2018 - 2019,2.2
,,2019 - 2020,1.91
,,2020 - 2021,2.04
,,2021 - 2022,2.18
,,2022 - 2023,2.33
,Jhabua,2000 - 2001,0.37
,,2001 - 2002,0.58
,,2002 - 2003,0.65
,,2003 - 2004,0.89
,,2004 - 2005,0.77
,,2005 - 2006,0.8
,,2006 - 2007,0.82
,,2007 - 2008,1.09
,,2008 - 2009,1.03
,,2009 - 2010,0.95
,,2010 - 2011,1.19
,,2011 - 2012,0.99
,,2012 - 2013,1.2
,,2013 - 2014,1.22
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2016 - 2017,2.0
,,2017 - 2018,2.25
,,2018 - 2019,1.11
,,2019 - 2020,0.81
,,2020 - 2021,1.02
,,2021 - 2022,1.18
,,2022 - 2023,1.18
,Katni,2000 - 2001,0.58
,,2001 - 2002,0.81
,,2002 - 2003,0.52
,,2003 - 2004,0.96
,,2004 - 2005,0.9
,,2005 - 2006,0.86
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.89
,,2009 - 2010,0.72
,,2010 - 2011,1.0
,,2011 - 2012,0.74
,,2012 - 2013,1.01
,,2013 - 2014,1.11
,,2014 - 2015,1.0
,,2015 - 2016,1.33
,,2017 - 2018,2.42
