state,district,year,jowar_kharif_yield_tonne_per_hectare
,,2017 - 2018,1.0
,,2018 - 2019,
,,2020 - 2021,1.38
,,2021 - 2022,1.06
Bihar,Araria,2001 - 2002,0.74
,,2002 - 2003,1.01
,,2003 - 2004,1.0
,,2004 - 2005,1.01
,,2006 - 2007,1.04
,Begusarai,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.04
,,2006 - 2007,1.04
,,2007 - 2008,1.09
,,2009 - 2010,1.03
,,2010 - 2011,1.06
,,2011 - 2012,1.06
,,2012 - 2013,1.07
,,2013 - 2014,1.07
,,2014 - 2015,1.07
,,2015 - 2016,1.06
,,2016 - 2017,1.06
,,2017 - 2018,1.07
,,2018 - 2019,1.06
,,2021 - 2022,1.07
,,2022 - 2023,1.07
,Bhagalpur,2001 - 2002,0.84
,,2003 - 2004,1.01
,,2004 - 2005,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.13
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.11
,,2013 - 2014,1.13
,,2014 - 2015,1.11
,,2015 - 2016,1.1
,,2016 - 2017,1.1
,,2017 - 2018,1.13
,,2018 - 2019,1.11
,,2020 - 2021,1.08
,,2021 - 2022,1.08
,,2022 - 2023,1.08
,Bhojpur,2000 - 2001,0.91
,,2001 - 2002,1.05
,,2002 - 2003,0.99
,,2003 - 2004,1.01
,,2004 - 2005,0.99
,,2005 - 2006,1.02
,,2006 - 2007,1.02
,,2007 - 2008,1.11
,,2008 - 2009,1.02
,,2009 - 2010,1.04
,,2010 - 2011,1.06
,,2011 - 2012,1.07
,,2012 - 2013,1.07
,,2013 - 2014,1.06
,,2014 - 2015,1.07
,,2015 - 2016,1.06
,,2016 - 2017,1.07
,,2017 - 2018,1.07
,,2018 - 2019,1.06
,,2019 - 2020,1.05
,,2020 - 2021,1.07
,,2021 - 2022,1.07
,,2022 - 2023,1.07
,Buxar,2000 - 2001,0.91
,,2001 - 2002,1.05
,,2002 - 2003,1.04
,,2003 - 2004,1.01
,,2004 - 2005,1.02
,,2005 - 2006,1.02
,,2006 - 2007,1.02
,,2007 - 2008,1.11
,,2008 - 2009,1.02
,,2009 - 2010,1.04
,,2010 - 2011,1.06
,,2011 - 2012,1.07
,,2012 - 2013,1.07
,,2013 - 2014,1.06
,,2014 - 2015,1.07
,,2015 - 2016,1.06
,,2016 - 2017,1.06
,,2017 - 2018,1.07
,,2018 - 2019,1.06
,,2019 - 2020,1.07
,,2020 - 2021,1.07
,,2021 - 2022,1.07
,,2022 - 2023,1.07
,Darbhanga,2007 - 2008,1.1
,,2008 - 2009,1.11
,,2009 - 2010,1.04
,Gaya,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.1
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.07
,Gopalganj,2001 - 2002,0.85
,,2004 - 2005,1.01
,,2006 - 2007,1.04
,Jamui,2000 - 2001,0.89
,Jehanabad,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2005 - 2006,1.0
,,2007 - 2008,1.14
,Kaimur (bhabua),2000 - 2001,0.92
,,2001 - 2002,1.05
,,2002 - 2003,1.01
,,2003 - 2004,1.01
,,2004 - 2005,1.01
,,2005 - 2006,1.01
,Khagaria,2008 - 2009,1.12
,,2010 - 2011,1.0
,,2011 - 2012,1.06
,,2013 - 2014,1.06
,,2014 - 2015,1.06
,,2019 - 2020,1.1
,,2021 - 2022,1.09
,Madhepura,2002 - 2003,1.01
,Madhubani,2007 - 2008,1.1
,,2008 - 2009,1.11
,,2009 - 2010,1.05
,Muzaffarpur,2002 - 2003,1.01
,,2005 - 2006,1.0
,Nawada,2007 - 2008,1.0
,,2010 - 2011,1.06
,,2013 - 2014,1.06
,Pashchim champaran,2001 - 2002,0.85
,,2002 - 2003,1.01
,,2003 - 2004,1.01
,,2004 - 2005,1.11
,,2005 - 2006,1.11
,,2006 - 2007,1.11
,,2007 - 2008,1.06
,,2008 - 2009,1.11
,,2013 - 2014,1.0
,Patna,2005 - 2006,1.02
,,2006 - 2007,1.02
,,2007 - 2008,1.11
,,2012 - 2013,1.13
,,2013 - 2014,1.13
,,2014 - 2015,1.07
,,2015 - 2016,1.06
,,2016 - 2017,1.06
,,2017 - 2018,1.11
,,2018 - 2019,1.11
,,2019 - 2020,1.11
,,2020 - 2021,1.07
,,2021 - 2022,1.07
,,2022 - 2023,1.0
,Purbi champaran,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.2
,Purnia,2004 - 2005,1.02
,Rohtas,2001 - 2002,1.0
,,2002 - 2003,1.13
,,2003 - 2004,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,Saharsa,2008 - 2009,1.06
,,2011 - 2012,1.06
,Samastipur,2001 - 2002,0.57
,,2008 - 2009,1.11
,,2015 - 2016,1.06
,Saran,2003 - 2004,1.0
,,2006 - 2007,1.04
,,2007 - 2008,1.1
,,2008 - 2009,1.07
,,2012 - 2013,1.07
,Sheikhpura,2009 - 2010,1.04
,Sitamarhi,2000 - 2001,1.0
,,2007 - 2008,1.06
,,2008 - 2009,1.1
,Siwan,2004 - 2005,1.0
,,2010 - 2011,1.07
,Supaul,2013 - 2014,1.05
,,2016 - 2017,1.0
,Vaishali,2005 - 2006,1.11
,,2006 - 2007,1.11
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,1.04
Chhattisgarh,Balod,2011 - 2012,0.73
,,2012 - 2013,0.58
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Baloda bazar,2011 - 2012,0.75
,,2012 - 2013,0.53
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balrampur,2011 - 2012,0.65
,,2012 - 2013,0.33
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bastar,2000 - 2001,0.94
,,2001 - 2002,1.11
,,2002 - 2003,1.0
,,2003 - 2004,1.21
,,2004 - 2005,0.87
,,2005 - 2006,1.02
,,2006 - 2007,1.03
,,2007 - 2008,1.2
,,2008 - 2009,1.5
,,2009 - 2010,1.38
,,2010 - 2011,1.65
,,2011 - 2012,1.01
,,2012 - 2013,0.87
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bemetara,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2014 - 2015,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,0.17
,,2008 - 2009,0.15
,,2009 - 2010,0.9
,,2010 - 2011,1.41
,,2011 - 2012,0.62
,,2012 - 2013,0.86
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bilaspur,2000 - 2001,0.71
,,2001 - 2002,0.99
,,2002 - 2003,0.92
,,2003 - 2004,0.93
,,2004 - 2005,0.61
,,2005 - 2006,0.82
,,2006 - 2007,0.86
,,2007 - 2008,0.89
,,2008 - 2009,1.24
,,2009 - 2010,1.37
,,2010 - 2011,1.33
,,2011 - 2012,0.63
,,2012 - 2013,0.7
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dantewada,2000 - 2001,0.58
,,2001 - 2002,0.94
,,2002 - 2003,0.5
,,2003 - 2004,1.03
,,2004 - 2005,0.43
,,2005 - 2006,0.46
,,2006 - 2007,2.38
,,2007 - 2008,1.08
,,2008 - 2009,0.14
,,2009 - 2010,0.89
,,2010 - 2011,1.63
,,2011 - 2012,1.0
,,2012 - 2013,0.86
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dhamtari,2000 - 2001,0.68
,,2001 - 2002,0.94
,,2002 - 2003,0.83
,,2003 - 2004,1.13
,,2004 - 2005,0.65
,,2005 - 2006,0.9
,,2006 - 2007,0.91
,,2007 - 2008,1.02
,,2008 - 2009,1.51
,,2009 - 2010,2.65
,,2010 - 2011,1.6
,,2011 - 2012,0.87
,,2012 - 2013,0.77
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2019 - 2020,
,,2020 - 2021,
,Durg,2000 - 2001,0.53
,,2001 - 2002,0.91
