state,district,year,tobacco_whole_year_yield_tonne_per_hectare
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.59
,,2020 - 2021,0.59
,,2021 - 2022,0.47
,,2022 - 2023,0.78
,Darrang,2000 - 2001,0.61
,,2001 - 2002,0.6
,,2002 - 2003,0.62
,,2003 - 2004,0.57
,,2004 - 2005,0.71
,,2005 - 2006,0.6
,,2007 - 2008,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.6
,Dhemaji,2000 - 2001,0.65
,,2001 - 2002,0.62
,,2002 - 2003,0.6
,,2003 - 2004,0.57
,,2004 - 2005,0.57
,,2005 - 2006,0.62
,,2006 - 2007,0.62
,,2007 - 2008,0.57
,,2008 - 2009,0.63
,,2009 - 2010,0.57
,,2010 - 2011,0.57
,,2011 - 2012,0.57
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.67
,,2015 - 2016,0.67
,,2016 - 2017,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,Dhubri,2000 - 2001,0.82
,,2001 - 2002,0.83
,,2002 - 2003,0.83
,,2003 - 2004,0.86
,,2004 - 2005,1.0
,,2005 - 2006,0.8
,,2006 - 2007,0.83
,,2007 - 2008,0.83
,,2008 - 2009,0.8
,,2009 - 2010,1.0
,Dibrugarh,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.67
,Dima hasao,2000 - 2001,0.78
,,2001 - 2002,0.79
,,2002 - 2003,0.79
,,2003 - 2004,0.79
,,2004 - 2005,0.79
,,2005 - 2006,0.79
,,2006 - 2007,0.79
,,2007 - 2008,0.79
,,2008 - 2009,0.78
,,2009 - 2010,0.79
,,2010 - 2011,0.75
,,2011 - 2012,0.79
,,2012 - 2013,0.76
,,2013 - 2014,0.79
,,2014 - 2015,0.79
,,2015 - 2016,0.78
,,2016 - 2017,0.76
,,2017 - 2018,0.06
,,2018 - 2019,0.41
,,2019 - 2020,0.42
,,2020 - 2021,0.42
,,2021 - 2022,0.42
,,2022 - 2023,0.42
,Goalpara,2000 - 2001,0.47
,,2001 - 2002,0.47
,,2002 - 2003,0.47
,,2003 - 2004,0.47
,,2004 - 2005,0.48
,,2005 - 2006,0.46
,,2006 - 2007,0.46
,,2007 - 2008,0.45
,,2008 - 2009,0.55
,,2009 - 2010,0.47
,,2010 - 2011,0.5
,,2011 - 2012,0.4
,,2012 - 2013,0.5
,,2013 - 2014,0.44
,,2014 - 2015,0.4
,,2015 - 2016,0.4
,,2016 - 2017,0.47
,Golaghat,2000 - 2001,0.72
,,2001 - 2002,0.68
,,2002 - 2003,0.68
,,2003 - 2004,0.7
,,2004 - 2005,0.65
,,2005 - 2006,0.69
,,2006 - 2007,0.71
,,2007 - 2008,0.69
,,2008 - 2009,0.64
,,2009 - 2010,0.69
,,2010 - 2011,0.7
,,2011 - 2012,0.6
,,2012 - 2013,0.8
,,2013 - 2014,0.83
,,2014 - 2015,1.0
,,2015 - 2016,0.67
,Hailakandi,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
