state,district,year,tobacco_whole_year_yield_tonne_per_hectare
,,2007 - 2008,1.0
,,2013 - 2014,0.5
,Saitual,2021 - 2022,
,,2022 - 2023,
Odisha,Anugul,2000 - 2001,0.71
,,2002 - 2003,0.55
,,2003 - 2004,0.59
,,2004 - 2005,0.61
,Balangir,2000 - 2001,0.29
,,2001 - 2002,0.3
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.35
,Boudh,2000 - 2001,0.5
,Gajapati,2000 - 2001,0.8
,,2001 - 2002,0.73
,,2002 - 2003,0.8
,,2003 - 2004,0.9
,,2004 - 2005,0.86
,Kalahandi,2000 - 2001,0.26
,,2001 - 2002,0.24
,,2002 - 2003,0.33
,,2003 - 2004,0.3
,,2004 - 2005,0.32
,Kandhamal,2000 - 2001,0.33
,,2001 - 2002,0.29
,,2002 - 2003,0.33
,,2003 - 2004,0.38
,,2004 - 2005,0.34
,Kendujhar,2000 - 2001,0.67
,,2001 - 2002,1.0
,Koraput,2000 - 2001,0.61
,,2001 - 2002,0.89
,,2002 - 2003,0.55
,,2003 - 2004,0.66
,,2004 - 2005,0.66
,Malkangiri,2000 - 2001,0.48
,,2001 - 2002,0.54
,,2002 - 2003,0.5
,,2003 - 2004,0.52
,,2004 - 2005,0.52
,Nabarangpur,2000 - 2001,0.44
,,2001 - 2002,0.41
,,2002 - 2003,0.41
,,2003 - 2004,0.44
,,2004 - 2005,0.45
,Nuapada,2000 - 2001,0.15
,,2001 - 2002,0.14
,,2003 - 2004,0.25
,,2004 - 2005,0.5
,Rayagada,2000 - 2001,0.21
,,2001 - 2002,0.7
,,2002 - 2003,0.9
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2019 - 2020,
Puducherry,Mahe,2015 - 2016,
,Pondicherry,2015 - 2016,
Rajasthan,Alwar,2000 - 2001,3.12
,,2001 - 2002,2.74
,,2002 - 2003,2.77
,,2003 - 2004,0.0
,,2004 - 2005,1.55
,,2005 - 2006,1.73
,,2006 - 2007,1.09
,,2007 - 2008,0.56
,,2008 - 2009,1.2
,,2009 - 2010,1.27
,,2010 - 2011,1.39
,,2011 - 2012,1.17
,,2012 - 2013,1.82
,,2013 - 2014,1.18
,,2014 - 2015,1.2
,,2015 - 2016,1.41
,,2016 - 2017,0.55
,,2017 - 2018,1.0
,,2018 - 2019,7.47
,,2019 - 2020,7.7
,,2020 - 2021,1.45
,,2021 - 2022,1.12
,,2022 - 2023,1.0
,Banswara,2006 - 2007,0.0
,Bharatpur,2000 - 2001,2.0
,,2001 - 2002,1.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2008 - 2009,0.0
,,2012 - 2013,0.0
,,2013 - 2014,1.11
,,2017 - 2018,1.0
,,2020 - 2021,2.0
,Bhilwara,2000 - 2001,0.25
,,2001 - 2002,0.42
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.07
,,2005 - 2006,0.2
,,2006 - 2007,1.0
,,2007 - 2008,0.25
,,2008 - 2009,0.29
,,2009 - 2010,0.0
,,2010 - 2011,0.85
,,2011 - 2012,1.0
,,2013 - 2014,0.5
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2019 - 2020,1.0
,,2020 - 2021,0.0
,,2021 - 2022,1.0
,Bundi,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2003 - 2004,0.0
,Chittorgarh,2000 - 2001,0.31
,,2001 - 2002,0.23
,,2002 - 2003,0.17
,,2003 - 2004,0.0
,,2004 - 2005,0.55
,,2005 - 2006,0.86
,,2006 - 2007,0.33
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.32
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2020 - 2021,0.67
,,2021 - 2022,1.0
,Churu,2000 - 2001,4.0
,,2001 - 2002,4.0
,,2002 - 2003,4.0
,,2003 - 2004,0.0
,,2004 - 2005,1.2
,,2005 - 2006,4.0
,Dausa,2000 - 2001,0.39
,,2001 - 2002,0.56
,,2002 - 2003,0.38
,,2003 - 2004,0.0
,,2004 - 2005,1.0
,,2005 - 2006,1.03
,,2006 - 2007,1.06
,,2007 - 2008,0.99
,,2008 - 2009,1.06
,,2009 - 2010,0.54
,,2010 - 2011,1.0
,,2011 - 2012,0.86
,,2012 - 2013,2.54
,,2013 - 2014,1.0
,,2014 - 2015,0.77
,,2015 - 2016,0.82
,,2016 - 2017,1.0
,,2017 - 2018,0.14
,,2018 - 2019,1.0
,,2019 - 2020,0.45
,,2020 - 2021,0.44
,,2021 - 2022,0.47
,,2022 - 2023,4.0
,Dholpur,2001 - 2002,0.0
,,2003 - 2004,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.0
,Jaipur,2000 - 2001,1.68
,,2001 - 2002,2.08
,,2002 - 2003,1.75
,,2003 - 2004,0.0
,,2004 - 2005,0.33
,,2005 - 2006,1.2
,,2006 - 2007,1.0
,,2007 - 2008,2.17
,,2008 - 2009,1.75
,,2009 - 2010,1.43
,,2010 - 2011,1.5
,,2013 - 2014,8.0
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2017 - 2018,1.0
,Jaisalmer,2008 - 2009,0.25
,Jalore,2000 - 2001,0.59
,,2001 - 2002,0.4
,,2002 - 2003,0.7
,,2003 - 2004,0.0
,,2004 - 2005,0.68
,,2005 - 2006,0.79
,,2006 - 2007,0.8
,,2007 - 2008,0.79
,,2008 - 2009,0.9
,,2009 - 2010,0.9
,,2010 - 2011,1.0
,,2011 - 2012,1.29
,,2012 - 2013,1.3
,,2013 - 2014,1.3
,,2014 - 2015,1.5
,,2015 - 2016,1.5
,,2016 - 2017,2.5
,,2017 - 2018,1.3
,,2018 - 2019,1.31
,,2019 - 2020,1.31
,,2020 - 2021,1.1
,,2021 - 2022,1.4
,,2022 - 2023,1.03
,Jhalawar,2001 - 2002,1.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2016 - 2017,0.33
,Jhunjhunu,2000 - 2001,5.28
,,2001 - 2002,5.0
,,2002 - 2003,5.0
,,2003 - 2004,0.0
,,2004 - 2005,3.83
,,2005 - 2006,5.0
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2008 - 2009,5.0
,,2009 - 2010,5.0
,,2010 - 2011,4.94
,,2011 - 2012,5.0
,,2012 - 2013,5.0
,,2013 - 2014,5.0
,,2014 - 2015,5.0
,,2015 - 2016,5.0
,,2017 - 2018,5.0
,,2018 - 2019,5.0
,,2019 - 2020,5.0
,,2020 - 2021,4.88
,,2021 - 2022,3.75
,,2022 - 2023,5.0
,Jodhpur,2002 - 2003,1.0
,,2008 - 2009,2.5
,,2009 - 2010,1.75
,,2010 - 2011,2.0
,Karauli,2000 - 2001,0.55
,,2001 - 2002,0.78
,,2002 - 2003,0.18
,,2003 - 2004,0.0
,,2004 - 2005,0.24
,,2005 - 2006,0.26
,,2006 - 2007,0.47
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.09
,,2010 - 2011,0.62
,,2011 - 2012,0.64
,,2012 - 2013,0.63
,,2013 - 2014,0.64
,,2014 - 2015,0.65
,,2015 - 2016,0.71
,,2016 - 2017,0.67
,,2017 - 2018,1.0
,,2018 - 2019,0.33
,,2019 - 2020,0.48
,,2020 - 2021,0.23
,,2021 - 2022,0.54
,,2022 - 2023,0.8
,Kota,2021 - 2022,0.0
,Nagaur,2000 - 2001,2.0
,,2001 - 2002,2.0
,Rajsamand,2000 - 2001,0.05
,,2001 - 2002,0.41
,,2002 - 2003,0.21
,,2003 - 2004,0.0
,,2004 - 2005,0.51
,,2005 - 2006,0.61
,,2006 - 2007,0.29
,,2007 - 2008,2.43
,,2008 - 2009,0.29
,,2009 - 2010,0.21
,,2010 - 2011,1.05
,,2011 - 2012,0.42
,,2012 - 2013,1.0
,,2013 - 2014,1.6
,,2014 - 2015,2.0
,,2015 - 2016,1.78
,,2017 - 2018,0.96
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,Sawai madhopur,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,0.0
,,2004 - 2005,0.14
,,2005 - 2006,0.5
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,1.0
,,2019 - 2020,0.0
,,2021 - 2022,0.0
,Sikar,2000 - 2001,1.0
,,2001 - 2002,1.63
,,2002 - 2003,1.0
,,2003 - 2004,0.0
,,2004 - 2005,0.87
,,2005 - 2006,1.0
,,2006 - 2007,2.0
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2012 - 2013,4.0
,,2013 - 2014,4.0
,,2014 - 2015,4.0
,,2015 - 2016,4.0
,,2018 - 2019,4.0
,Sirohi,2000 - 2001,3.0
,,2001 - 2002,3.0
,,2002 - 2003,3.0
,,2003 - 2004,0.0
,,2004 - 2005,0.58
,,2005 - 2006,3.0
,,2006 - 2007,3.0
,,2007 - 2008,3.0
,,2008 - 2009,2.52
,,2009 - 2010,2.5
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2014 - 2015,0.8
,,2015 - 2016,1.11
,,2016 - 2017,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,0.56
,Tonk,2016 - 2017,0.0
,,2017 - 2018,7.5
,,2019 - 2020,0.0
,Udaipur,2000 - 2001,0.17
,,2001 - 2002,0.63
,,2002 - 2003,0.2
,,2003 - 2004,0.0
,,2004 - 2005,2.5
,,2005 - 2006,0.71
,,2006 - 2007,0.0
,,2017 - 2018,0.0
Tamil Nadu,Ariyalur,2017 - 2018,1.53
,Coimbatore,2000 - 2001,1.73
,,2005 - 2006,1.5
,,2006 - 2007,1.49
,,2007 - 2008,1.5
,,2008 - 2009,5.12
,,2009 - 2010,1.49
,,2011 - 2012,2.7
,,2013 - 2014,1.59
,,2014 - 2015,1.61
,,2015 - 2016,1.63
,,2016 - 2017,1.48
,,2018 - 2019,1.58
,,2019 - 2020,1.57
,,2020 - 2021,1.53
,,2021 - 2022,1.53
,,2022 - 2023,1.5
,Cuddalore,2007 - 2008,1.4
,,2008 - 2009,1.5
,,2009 - 2010,1.5
,,2017 - 2018,1.4
,,2022 - 2023,1.52
,Dharmapuri,2000 - 2001,1.34
,,2002 - 2003,1.49
,,2005 - 2006,1.08
,,2006 - 2007,1.08
,,2007 - 2008,1.1
,,2008 - 2009,1.09
,,2009 - 2010,1.0
,,2011 - 2012,0.86
,,2013 - 2014,1.17
,,2014 - 2015,1.2
,,2015 - 2016,1.2
,,2017 - 2018,1.53
,,2018 - 2019,1.5
,,2020 - 2021,1.54
,,2021 - 2022,1.45
,,2022 - 2023,1.53
,Dindigul,2000 - 2001,1.39
,,2002 - 2003,1.46
,,2005 - 2006,1.44
,,2006 - 2007,1.45
,,2007 - 2008,1.45
,,2008 - 2009,1.45
,,2009 - 2010,1.45
,,2011 - 2012,2.28
,,2013 - 2014,1.52
,,2014 - 2015,1.48
,,2015 - 2016,1.48
,,2016 - 2017,1.49
,,2017 - 2018,1.5
,,2018 - 2019,1.5
,,2019 - 2020,1.5
,,2020 - 2021,1.53
,,2021 - 2022,1.51
,,2022 - 2023,1.53
,Erode,2000 - 2001,1.58
,,2002 - 2003,1.33
,,2005 - 2006,1.59
,,2006 - 2007,1.59
,,2007 - 2008,1.59
,,2008 - 2009,1.59
,,2009 - 2010,1.59
,,2011 - 2012,3.52
,,2013 - 2014,1.57
,,2014 - 2015,1.57
,,2015 - 2016,1.57
,,2016 - 2017,1.55
,,2017 - 2018,1.57
,,2018 - 2019,1.56
,,2019 - 2020,1.56
,,2020 - 2021,1.52
,,2021 - 2022,1.55
,,2022 - 2023,1.53
,Kanchipuram,2011 - 2012,1.67
,Karur,2000 - 2001,2.0
,,2005 - 2006,1.5
,,2007 - 2008,1.0
,,2009 - 2010,1.0
,,2013 - 2014,0.0
,,2018 - 2019,0.29
,,2019 - 2020,0.5
,,2020 - 2021,1.67
,,2021 - 2022,1.0
,Krishnagiri,2002 - 2003,1.58
,,2011 - 2012,8.0
,Madurai,2011 - 2012,0.0
,,2017 - 2018,1.52
,Nagapattinam,2000 - 2001,1.79
,,2002 - 2003,1.66
,,2005 - 2006,1.66
,,2006 - 2007,1.66
,,2007 - 2008,1.66
,,2008 - 2009,1.66
,,2009 - 2010,1.84
,,2011 - 2012,2.46
,,2013 - 2014,1.85
,,2014 - 2015,1.9
,,2015 - 2016,1.91
,,2016 - 2017,1.78
,,2018 - 2019,1.86
,,2019 - 2020,1.86
,,2020 - 2021,1.52
,,2021 - 2022,1.76
,,2022 - 2023,1.53
,Namakkal,2002 - 2003,1.14
,,2009 - 2010,1.0
,,2018 - 2019,1.0
,,2021 - 2022,1.0
,,2022 - 2023,2.0
,Perambalur,2021 - 2022,1.0
,Ramanathapuram,2017 - 2018,1.53
,Salem,2000 - 2001,1.15
,,2005 - 2006,1.05
,,2006 - 2007,1.05
,,2007 - 2008,1.05
,,2008 - 2009,1.05
,,2009 - 2010,1.05
,,2011 - 2012,1.04
,,2013 - 2014,1.05
,,2014 - 2015,1.05
,,2015 - 2016,1.05
,,2016 - 2017,0.98
,,2018 - 2019,1.04
,,2019 - 2020,1.03
,,2020 - 2021,1.53
,,2021 - 2022,1.14
,,2022 - 2023,1.53
,Sivaganga,2017 - 2018,1.5
,The nilgiris,2000 - 2001,1.55
,,2017 - 2018,1.5
,Theni,2000 - 2001,1.57
,,2002 - 2003,2.21
,,2005 - 2006,2.21
,,2006 - 2007,2.19
,,2007 - 2008,2.19
,,2008 - 2009,2.23
,,2009 - 2010,2.2
,,2011 - 2012,3.0
,,2013 - 2014,2.2
,,2014 - 2015,2.19
,,2015 - 2016,2.25
,,2016 - 2017,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,1.5
,,2021 - 2022,1.67
,Thiruvallur,2002 - 2003,1.39
,Thoothukudi,2017 - 2018,2.0
,Tiruchirappalli,2020 - 2021,2.0
,Tirunelveli,2002 - 2003,1.2
,,2005 - 2006,1.2
,,2006 - 2007,1.2
,,2007 - 2008,1.33
,,2008 - 2009,1.0
,,2009 - 2010,1.25
,,2017 - 2018,1.96
,Tiruppur,2008 - 2009,0.0
,,2009 - 2010,1.52
,,2011 - 2012,3.4
,,2013 - 2014,1.57
,,2014 - 2015,1.57
,,2015 - 2016,1.58
,,2016 - 2017,1.55
,,2018 - 2019,1.57
,,2019 - 2020,1.56
,,2020 - 2021,1.52
,,2021 - 2022,1.55
,,2022 - 2023,1.52
,Tiruvannamalai,2000 - 2001,1.17
,,2002 - 2003,1.07
,,2005 - 2006,1.28
,,2006 - 2007,1.28
,,2007 - 2008,1.28
,,2008 - 2009,1.43
,,2009 - 2010,1.32
,,2011 - 2012,2.85
,,2013 - 2014,1.39
,,2014 - 2015,1.4
,,2015 - 2016,1.38
,Vellore,2002 - 2003,1.26
,,2007 - 2008,2.0
,,2009 - 2010,1.5
,,2013 - 2014,0.5
,,2019 - 2020,1.0
,,2020 - 2021,2.0
,Villupuram,2008 - 2009,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2018 - 2019,1.0
Telangana,Adilabad,2000 - 2001,0.54
,,2001 - 2002,2.45
,,2002 - 2003,3.43
,,2003 - 2004,2.15
,,2004 - 2005,1.5
,,2005 - 2006,1.88
,,2006 - 2007,3.11
,,2009 - 2010,2.33
,,2010 - 2011,3.5
,,2011 - 2012,4.0
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Bhadradri,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jangoan,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jayashankar,2016 - 2017,
,,2017 - 2018,
,,2021 - 2022,
,Jogulamba,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kamareddy,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Karimnagar,2000 - 2001,1.16
,,2001 - 2002,2.41
,,2002 - 2003,3.37
,,2003 - 2004,1.81
,,2004 - 2005,1.47
,,2005 - 2006,1.97
,,2006 - 2007,1.58
,,2008 - 2009,2.13
,,2009 - 2010,1.89
,,2010 - 2011,1.5
,,2011 - 2012,1.6
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khammam,2000 - 2001,1.94
,,2001 - 2002,3.06
,,2002 - 2003,2.78
,,2003 - 2004,2.41
,,2004 - 2005,1.57
,,2005 - 2006,2.34
,,2006 - 2007,2.39
,,2007 - 2008,3.0
,,2008 - 2009,2.84
,,2009 - 2010,2.53
,,2010 - 2011,2.53
,,2011 - 2012,2.94
,,2012 - 2013,3.5
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahabubabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahbubnagar,2000 - 2001,1.41
,,2001 - 2002,0.73
,,2002 - 2003,1.49
,,2003 - 2004,1.52
,,2004 - 2005,0.83
,,2005 - 2006,0.93
,,2006 - 2007,2.95
,,2007 - 2008,1.0
,,2008 - 2009,3.2
,,2009 - 2010,1.9
,,2010 - 2011,2.4
,,2011 - 2012,1.5
,,2012 - 2013,2.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,Medak,2002 - 2003,2.27
,,2003 - 2004,2.15
,,2004 - 2005,1.54
,,2005 - 2006,1.9
,,2006 - 2007,3.11
,,2008 - 2009,3.51
,,2009 - 2010,1.9
,,2010 - 2011,2.6
,,2011 - 2012,1.5
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,Mulugu,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Nalgonda,2000 - 2001,0.0
,,2001 - 2002,2.47
,,2002 - 2003,5.0
,,2003 - 2004,2.17
,,2004 - 2005,1.37
,,2005 - 2006,1.97
,,2006 - 2007,1.57
,,2008 - 2009,3.11
,,2009 - 2010,2.16
,,2010 - 2011,3.27
,,2011 - 2012,3.98
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2020 - 2021,
,Nirmal,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Nizamabad,2000 - 2001,0.62
,,2001 - 2002,1.89
,,2002 - 2003,3.26
,,2003 - 2004,2.16
,,2004 - 2005,1.57
,,2005 - 2006,1.86
,,2006 - 2007,3.12
,,2008 - 2009,3.52
,,2009 - 2010,2.9
,,2010 - 2011,2.56
,,2011 - 2012,3.98
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajanna,2021 - 2022,
,Sangareddy,2016 - 2017,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2021 - 2022,
,,2022 - 2023,
,Suryapet,2016 - 2017,
,,2021 - 2022,
,,2022 - 2023,
,Wanaparthy,2018 - 2019,
,,2019 - 2020,
,Warangal,2000 - 2001,1.64
,,2001 - 2002,2.46
,,2002 - 2003,5.25
,,2003 - 2004,1.18
,,2004 - 2005,1.27
,,2005 - 2006,1.97
,,2006 - 2007,2.63
,,2007 - 2008,0.0
,,2008 - 2009,3.34
,,2009 - 2010,1.89
,,2010 - 2011,1.5
,,2011 - 2012,3.48
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Warangal urban,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Yadadri,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttar Pradesh,Aligarh,2002 - 2003,6.33
,,2003 - 2004,4.0
,,2004 - 2005,5.0
,,2005 - 2006,4.67
,,2006 - 2007,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2022 - 2023,
,Allahabad,2003 - 2004,8.0
,,2004 - 2005,5.0
,,2006 - 2007,
,,2019 - 2020,
,Ambedkar nagar,2001 - 2002,6.35
,,2002 - 2003,5.95
,,2003 - 2004,7.29
,,2004 - 2005,4.91
,,2005 - 2006,5.8
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Amroha,2003 - 2004,4.25
,,2005 - 2006,4.58
,,2017 - 2018,
,Auraiya,2010 - 2011,
,Azamgarh,2001 - 2002,6.25
,,2002 - 2003,5.89
,,2003 - 2004,7.48
,,2004 - 2005,4.38
,,2005 - 2006,5.72
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baghpat,2002 - 2003,6.0
,,2003 - 2004,4.0
,,2004 - 2005,4.0
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Bahraich,2022 - 2023,
,Ballia,2001 - 2002,6.2
,,2002 - 2003,6.0
,,2003 - 2004,7.5
,,2004 - 2005,4.25
,,2006 - 2007,
,Balrampur,2005 - 2006,5.73
,Banda,2001 - 2002,6.0
,,2002 - 2003,6.0
,,2003 - 2004,7.5
,,2004 - 2005,4.0
,,2005 - 2006,5.67
,,2006 - 2007,
,Barabanki,2001 - 2002,6.55
,,2002 - 2003,5.94
,,2003 - 2004,7.13
,,2004 - 2005,5.11
,,2005 - 2006,6.09
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bareilly,2003 - 2004,7.5
,,2008 - 2009,
,Basti,2001 - 2002,6.43
,,2002 - 2003,5.96
,,2003 - 2004,7.21
,,2004 - 2005,4.74
,,2005 - 2006,5.81
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bijnor,2002 - 2003,3.25
,,2003 - 2004,4.2
,,2004 - 2005,4.75
,,2005 - 2006,4.56
,,2006 - 2007,
,,2009 - 2010,
,Budaun,2001 - 2002,6.31
,,2002 - 2003,5.94
,,2003 - 2004,7.5
,,2004 - 2005,4.36
,,2005 - 2006,5.68
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bulandshahr,2002 - 2003,3.0
,,2003 - 2004,5.0
,,2004 - 2005,4.33
,,2005 - 2006,4.0
,,2006 - 2007,
,,2018 - 2019,
,,2020 - 2021,
,,2022 - 2023,
,Deoria,2020 - 2021,
,Etah,2001 - 2002,6.86
,,2002 - 2003,6.11
,,2003 - 2004,6.57
,,2004 - 2005,5.67
,,2005 - 2006,6.09
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Etawah,2015 - 2016,
,Faizabad,2004 - 2005,5.25
,,2016 - 2017,
,,2020 - 2021,
,Farrukhabad,2001 - 2002,7.03
,,2002 - 2003,6.13
,,2003 - 2004,6.53
,,2004 - 2005,5.49
,,2005 - 2006,6.02
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Fatehpur,2001 - 2002,6.0
,,2004 - 2005,4.0
,,2006 - 2007,
,,2008 - 2009,
,,2011 - 2012,
,,2013 - 2014,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,Firozabad,2001 - 2002,6.33
,,2002 - 2003,5.88
,,2003 - 2004,7.38
,,2004 - 2005,4.38
,,2005 - 2006,5.75
,,2006 - 2007,
,,2011 - 2012,
,,2019 - 2020,
,Gautam buddha nagar,2013 - 2014,
,Ghaziabad,2015 - 2016,
,Ghazipur,2016 - 2017,
,,2018 - 2019,
,Gonda,2001 - 2002,6.28
,,2002 - 2003,6.0
,,2003 - 2004,7.43
,,2004 - 2005,4.48
,,2005 - 2006,5.82
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gorakhpur,2020 - 2021,
,Hamirpur,2001 - 2002,6.25
,,2002 - 2003,5.91
,,2003 - 2004,7.33
,,2004 - 2005,5.0
,,2005 - 2006,6.14
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Hapur,2021 - 2022,
,Hardoi,2001 - 2002,6.21
