state,district,year,moth_kharif_yield_tonne_per_hectare
,,2015 - 2016,0.48
,,2016 - 2017,0.47
,,2017 - 2018,0.65
,,2018 - 2019,0.08
,,2019 - 2020,0.46
,,2020 - 2021,0.52
,,2021 - 2022,0.43
,,2022 - 2023,0.54
,Sabar kantha,2000 - 2001,0.0
,,2001 - 2002,0.35
,,2002 - 2003,0.0
,,2003 - 2004,0.5
,,2004 - 2005,0.33
,,2005 - 2006,0.67
,,2006 - 2007,0.33
,,2007 - 2008,0.5
,,2008 - 2009,0.25
,,2009 - 2010,0.33
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,0.48
,,2014 - 2015,0.45
,,2015 - 2016,0.48
,,2016 - 2017,0.47
,,2017 - 2018,0.67
,,2018 - 2019,0.0
,,2019 - 2020,0.5
,Surat,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,1.0
,,2003 - 2004,0.5
,,2008 - 2009,0.14
,,2009 - 2010,0.25
,,2010 - 2011,0.5
,,2012 - 2013,1.0
,,2013 - 2014,0.48
,,2014 - 2015,0.4
,,2015 - 2016,0.48
,Surendranagar,2000 - 2001,0.13
,,2001 - 2002,0.57
,,2002 - 2003,0.28
,,2003 - 2004,0.5
,,2004 - 2005,0.44
,,2005 - 2006,0.37
,,2006 - 2007,0.46
,,2007 - 2008,0.61
,,2008 - 2009,0.62
,,2009 - 2010,0.27
,,2010 - 2011,0.38
,,2011 - 2012,0.59
,,2012 - 2013,0.29
,,2013 - 2014,0.48
,,2014 - 2015,0.45
,,2015 - 2016,0.48
,,2016 - 2017,0.47
,,2017 - 2018,0.65
,,2018 - 2019,0.09
,,2019 - 2020,0.5
,,2020 - 2021,0.52
,,2021 - 2022,0.44
,Tapi,2014 - 2015,0.4
,,2015 - 2016,0.48
,,2020 - 2021,1.0
,Vadodara,2000 - 2001,0.0
,,2001 - 2002,0.25
,,2002 - 2003,0.6
,,2003 - 2004,0.67
,,2004 - 2005,0.33
,,2005 - 2006,0.5
,,2006 - 2007,0.33
,,2008 - 2009,0.25
,,2009 - 2010,0.4
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.33
,,2013 - 2014,0.48
,,2014 - 2015,0.43
,,2015 - 2016,0.49
,,2016 - 2017,0.5
,,2017 - 2018,0.71
,,2019 - 2020,0.33
,,2022 - 2023,0.55
,Valsad,2007 - 2008,0.56
,,2010 - 2011,1.0
Haryana,Ambala,2001 - 2002,0.0
,,2004 - 2005,0.0
,,2021 - 2022,0.2
,Bhiwani,2000 - 2001,0.0
,,2001 - 2002,0.27
,,2002 - 2003,0.07
,,2003 - 2004,0.07
,,2004 - 2005,0.11
,,2005 - 2006,0.11
,,2007 - 2008,0.1
,,2008 - 2009,0.14
,,2009 - 2010,0.17
,,2010 - 2011,0.22
,,2011 - 2012,0.23
,,2012 - 2013,0.25
,,2013 - 2014,0.0
,,2014 - 2015,1.0
,,2015 - 2016,0.5
,,2016 - 2017,0.13
,,2017 - 2018,0.27
,,2019 - 2020,0.12
,,2021 - 2022,0.13
,Charki dadri,2017 - 2018,0.5
,,2018 - 2019,1.0
,,2021 - 2022,0.2
,Faridabad,2009 - 2010,0.5
,,2019 - 2020,0.2
,Fatehabad,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.11
,,2003 - 2004,0.0
,,2004 - 2005,0.38
,,2005 - 2006,0.0
,,2006 - 2007,0.53
,,2007 - 2008,0.75
,,2008 - 2009,0.56
,,2009 - 2010,0.49
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.48
,,2013 - 2014,1.0
,,2014 - 2015,0.0
,,2019 - 2020,0.25
,,2021 - 2022,0.2
,Gurgaon,2001 - 2002,0.0
,Hisar,2001 - 2002,0.0
,,2002 - 2003,0.07
,,2003 - 2004,0.05
,,2004 - 2005,0.12
,,2005 - 2006,0.13
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.15
,,2009 - 2010,0.19
,,2010 - 2011,0.26
,,2011 - 2012,0.36
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.2
,,2017 - 2018,0.24
,,2018 - 2019,0.56
,,2019 - 2020,0.2
,,2020 - 2021,0.21
,,2021 - 2022,0.2
,Jind,2008 - 2009,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.5
,Kaithal,2020 - 2021,0.17
,Karnal,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,Kurukshetra,2021 - 2022,0.2
,Mahendragarh,2002 - 2003,0.0
,,2005 - 2006,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.94
,,2011 - 2012,0.0
,,2019 - 2020,0.19
,Mewat,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.54
,Palwal,2008 - 2009,0.0
,,2021 - 2022,0.2
,Panchkula,2010 - 2011,0.0
,,2021 - 2022,0.2
,Panipat,2002 - 2003,0.0
,Rewari,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.0
,Rohtak,2002 - 2003,0.0
,,2007 - 2008,0.0
,Sirsa,2000 - 2001,0.0
,,2001 - 2002,0.1
,,2002 - 2003,0.17
,,2003 - 2004,0.1
,,2004 - 2005,0.16
,,2005 - 2006,0.22
,,2006 - 2007,0.18
,,2007 - 2008,0.2
,,2008 - 2009,0.23
,,2009 - 2010,0.0
,,2010 - 2011,0.25
,,2011 - 2012,0.27
,,2012 - 2013,0.41
,,2013 - 2014,0.0
,,2014 - 2015,1.0
,,2016 - 2017,0.3
,,2017 - 2018,0.44
,,2018 - 2019,0.58
,,2019 - 2020,0.29
,,2020 - 2021,0.31
,Sonipat,2002 - 2003,0.0
,,2006 - 2007,0.0
,Yamunanagar,2001 - 2002,0.0
,,2003 - 2004,0.0
,,2011 - 2012,0.0
,,2021 - 2022,0.2
Himachal Pradesh,Bilaspur,2020 - 2021,0.75
,Chamba,2005 - 2006,0.2
,,2006 - 2007,0.29
,,2008 - 2009,0.29
,,2010 - 2011,0.2
,,2011 - 2012,0.2
,,2012 - 2013,0.2
,,2013 - 2014,0.4
,,2014 - 2015,0.2
,,2015 - 2016,0.2
,,2016 - 2017,0.2
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.75
,,2020 - 2021,0.65
,,2021 - 2022,0.67
,,2022 - 2023,0.5
,Kangra,2007 - 2008,0.33
,,2019 - 2020,0.85
,Mandi,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2013 - 2014,0.33
,,2014 - 2015,0.25
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.67
,Shimla,2021 - 2022,0.62
,,2022 - 2023,0.64
,Solan,2006 - 2007,0.0
,,2021 - 2022,0.67
,,2022 - 2023,0.66
,Una,2005 - 2006,0.0
,,2006 - 2007,0.33
,,2007 - 2008,0.5
,,2008 - 2009,0.33
,,2010 - 2011,0.3
,,2011 - 2012,0.3
,,2012 - 2013,0.38
,,2013 - 2014,0.37
,,2014 - 2015,0.29
,,2015 - 2016,0.45
,,2016 - 2017,0.33
,,2017 - 2018,0.64
,,2018 - 2019,0.67
,,2019 - 2020,0.75
,,2020 - 2021,0.63
,,2021 - 2022,0.72
,,2022 - 2023,0.67
Jammu and Kashmir,Anantnag,2002 - 2003,0.52
,,2006 - 2007,0.52
,,2009 - 2010,0.52
,,2010 - 2011,0.52
,,2011 - 2012,0.52
,,2012 - 2013,0.52
,,2015 - 2016,0.52
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.52
,,2019 - 2020,0.52
,,2020 - 2021,0.52
,Badgam,2002 - 2003,0.8
,,2006 - 2007,0.8
,,2009 - 2010,0.8
,,2010 - 2011,0.8
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2015 - 2016,0.8
,,2016 - 2017,0.8
,,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,Bandipora,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,Baramulla,2002 - 2003,0.5
,,2006 - 2007,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2015 - 2016,1.75
,,2016 - 2017,1.75
,,2017 - 2018,1.75
,,2018 - 2019,1.75
,,2019 - 2020,1.75
,,2020 - 2021,1.75
,Doda,2011 - 2012,0.7
,,2016 - 2017,0.5
,Ganderbal,2010 - 2011,0.68
,,2011 - 2012,0.68
,,2012 - 2013,0.67
,,2020 - 2021,0.8
,Jammu,2002 - 2003,0.55
,,2006 - 2007,0.55
,,2009 - 2010,0.55
,,2010 - 2011,0.55
,,2011 - 2012,0.77
,,2012 - 2013,0.77
,,2020 - 2021,0.5
,Kathua,2002 - 2003,0.67
,,2006 - 2007,0.7
,,2009 - 2010,0.75
,,2010 - 2011,0.77
,,2011 - 2012,0.8
,Kulgam,2009 - 2010,0.52
,,2010 - 2011,0.53
,,2011 - 2012,0.53
,,2012 - 2013,0.53
,,2015 - 2016,0.53
,,2016 - 2017,0.53
,,2018 - 2019,0.52
,,2019 - 2020,0.52
,,2020 - 2021,0.52
,Kupwara,2011 - 2012,0.51
,,2012 - 2013,0.51
,Leh ladakh,2010 - 2011,
,,2011 - 2012,
,Poonch,2010 - 2011,0.7
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,Pulwama,2006 - 2007,0.82
,,2009 - 2010,0.82
,,2010 - 2011,0.82
,,2011 - 2012,0.82
,,2012 - 2013,0.82
,,2015 - 2016,0.82
,,2016 - 2017,0.82
,,2017 - 2018,0.83
,,2018 - 2019,0.82
,,2019 - 2020,0.82
,,2020 - 2021,0.82
,Rajauri,2006 - 2007,
,,2012 - 2013,0.8
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2019 - 2020,0.5
,Reasi,2009 - 2010,0.7
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,Shopian,2009 - 2010,0.82
,,2010 - 2011,0.82
,,2011 - 2012,0.82
,,2012 - 2013,0.82
,Srinagar,2002 - 2003,0.67
,,2006 - 2007,0.67
,,2009 - 2010,0.68
,,2010 - 2011,0.68
,,2011 - 2012,0.68
,,2012 - 2013,0.68
,Udhampur,2002 - 2003,0.67
,,2006 - 2007,0.68
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
Punjab,Bathinda,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,Firozepur,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,Gurdaspur,2004 - 2005,0.0
,Ludhiana,2005 - 2006,1.0
,Muktsar,2002 - 2003,1.0
,Sangrur,2000 - 2001,1.0
,,2001 - 2002,1.0
,,2003 - 2004,1.0
Rajasthan,Ajmer,2000 - 2001,0.04
,,2001 - 2002,0.13
,,2002 - 2003,0.01
,,2003 - 2004,0.44
,,2004 - 2005,0.09
,,2005 - 2006,0.14
,,2006 - 2007,0.11
,,2007 - 2008,0.21
,,2008 - 2009,0.39
,,2009 - 2010,0.0
,,2010 - 2011,0.55
,,2011 - 2012,0.31
,,2012 - 2013,0.17
,,2013 - 2014,0.17
,,2014 - 2015,0.19
,,2015 - 2016,0.31
,,2016 - 2017,0.31
,,2017 - 2018,0.31
,,2018 - 2019,0.22
,,2019 - 2020,0.35
,,2020 - 2021,0.34
,,2021 - 2022,0.18
,,2022 - 2023,0.5
,Alwar,2000 - 2001,0.0
,,2001 - 2002,0.25
,,2002 - 2003,0.0
,,2003 - 2004,0.57
,,2004 - 2005,0.12
,,2005 - 2006,0.15
,,2006 - 2007,0.15
,,2007 - 2008,0.33
,,2008 - 2009,0.27
,,2009 - 2010,0.0
,,2010 - 2011,0.48
,,2011 - 2012,0.4
,,2012 - 2013,0.25
,,2013 - 2014,0.28
,,2014 - 2015,0.4
,,2015 - 2016,0.0
,,2016 - 2017,0.5
,,2018 - 2019,0.0
,Banswara,2000 - 2001,0.15
,,2001 - 2002,0.24
,,2002 - 2003,0.0
,,2004 - 2005,0.2
,,2005 - 2006,0.13
,,2006 - 2007,0.25
,,2011 - 2012,0.5
,,2012 - 2013,0.2
,,2013 - 2014,0.3
,,2015 - 2016,0.0
,,2016 - 2017,0.3
,,2017 - 2018,0.31
,,2018 - 2019,0.22
,Baran,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2008 - 2009,0.5
,,2014 - 2015,0.0
,Barmer,2000 - 2001,0.4
,,2001 - 2002,0.31
,,2002 - 2003,0.0
,,2003 - 2004,0.88
,,2004 - 2005,0.1
,,2005 - 2006,0.05
,,2006 - 2007,0.16
,,2007 - 2008,0.19
,,2008 - 2009,0.13
,,2009 - 2010,0.02
,,2010 - 2011,0.53
,,2011 - 2012,0.37
,,2012 - 2013,0.44
,,2013 - 2014,0.34
,,2014 - 2015,0.27
,,2015 - 2016,0.16
,,2016 - 2017,0.09
,,2017 - 2018,0.17
,,2018 - 2019,0.04
,,2019 - 2020,0.54
,,2020 - 2021,0.6
,,2021 - 2022,0.1
,,2022 - 2023,0.86
,Bharatpur,2000 - 2001,0.15
,,2001 - 2002,0.23
,,2002 - 2003,0.0
,,2003 - 2004,0.53
,,2004 - 2005,0.14
,,2005 - 2006,0.12
,,2006 - 2007,0.17
,,2007 - 2008,0.31
,,2008 - 2009,0.27
,,2009 - 2010,0.03
,,2010 - 2011,0.49
,,2011 - 2012,0.3
,,2012 - 2013,0.29
,,2013 - 2014,0.33
,,2014 - 2015,0.4
,,2016 - 2017,0.0
,,2019 - 2020,0.33
,,2020 - 2021,0.5
,Bhilwara,2001 - 2002,0.33
,,2003 - 2004,0.56
,,2004 - 2005,0.0
,,2005 - 2006,0.13
,,2006 - 2007,0.19
,,2012 - 2013,0.33
,,2014 - 2015,0.5
,,2015 - 2016,0.2
,,2017 - 2018,0.0
,,2018 - 2019,0.33
,,2019 - 2020,0.3
,,2020 - 2021,0.0
,,2022 - 2023,0.5
,Bikaner,2000 - 2001,0.09
,,2001 - 2002,0.17
,,2002 - 2003,0.04
,,2003 - 2004,0.52
,,2004 - 2005,0.09
,,2005 - 2006,0.09
,,2006 - 2007,0.16
,,2007 - 2008,0.24
,,2008 - 2009,0.19
,,2009 - 2010,0.04
,,2010 - 2011,0.66
,,2011 - 2012,0.28
,,2012 - 2013,0.15
,,2013 - 2014,0.25
,,2014 - 2015,0.39
,,2015 - 2016,0.28
,,2016 - 2017,0.46
,,2017 - 2018,0.38
,,2018 - 2019,0.28
,,2019 - 2020,0.22
,,2020 - 2021,0.18
,,2021 - 2022,0.28
,,2022 - 2023,0.46
,Bundi,2000 - 2001,0.15
,,2005 - 2006,0.14
,,2006 - 2007,0.17
,,2016 - 2017,0.0
,Chittorgarh,2000 - 2001,0.0
,,2001 - 2002,0.29
,,2005 - 2006,0.0
,,2007 - 2008,0.3
,,2015 - 2016,0.5
,Churu,2000 - 2001,0.04
,,2001 - 2002,0.27
,,2002 - 2003,0.0
,,2003 - 2004,0.45
,,2004 - 2005,0.09
,,2005 - 2006,0.06
,,2006 - 2007,0.11
,,2007 - 2008,0.47
,,2008 - 2009,0.31
,,2009 - 2010,0.01
,,2010 - 2011,0.34
,,2011 - 2012,0.25
,,2012 - 2013,0.28
,,2013 - 2014,0.27
,,2014 - 2015,0.4
,,2015 - 2016,0.29
,,2016 - 2017,0.3
,,2017 - 2018,0.28
,,2018 - 2019,0.25
,,2019 - 2020,0.26
,,2020 - 2021,0.31
,,2021 - 2022,0.11
,,2022 - 2023,0.34
,Dausa,2000 - 2001,0.07
,,2001 - 2002,0.24
,,2002 - 2003,0.04
,,2003 - 2004,0.53
,,2004 - 2005,0.14
,,2005 - 2006,0.12
,,2006 - 2007,0.17
,,2007 - 2008,0.31
,,2008 - 2009,0.26
,,2009 - 2010,0.03
,,2010 - 2011,0.49
,,2011 - 2012,0.34
,,2012 - 2013,0.27
,,2013 - 2014,0.28
,,2014 - 2015,0.4
,,2015 - 2016,0.29
,,2016 - 2017,0.31
,,2017 - 2018,0.3
,,2018 - 2019,0.22
,,2019 - 2020,0.33
,,2020 - 2021,0.5
,Dholpur,2000 - 2001,0.13
,,2001 - 2002,0.25
,,2002 - 2003,0.09
,,2003 - 2004,0.56
,,2004 - 2005,0.0
,,2005 - 2006,0.1
,,2006 - 2007,0.2
,,2007 - 2008,0.31
,,2008 - 2009,0.25
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2011 - 2012,0.25
,,2012 - 2013,0.5
,,2013 - 2014,0.0
,,2016 - 2017,0.31
,,2018 - 2019,0.23
,,2020 - 2021,0.33
,Dungarpur,2003 - 2004,0.56
,,2012 - 2013,0.5
,,2014 - 2015,0.4
,,2016 - 2017,0.31
,,2017 - 2018,0.25
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2020 - 2021,0.33
,,2021 - 2022,0.22
,,2022 - 2023,1.0
,Ganganagar,2000 - 2001,0.15
,,2001 - 2002,0.24
,,2002 - 2003,0.04
,,2003 - 2004,0.46
,,2004 - 2005,0.24
,,2005 - 2006,0.18
,,2006 - 2007,0.39
,,2007 - 2008,0.45
,,2008 - 2009,0.48
,,2009 - 2010,0.31
,,2010 - 2011,0.49
