feature,month,tp,e,ro,t2m,stl1,d2m,stl2,swvl1,swvl2,cvh,cvl,slt
Tamil Nadu_Perambalur,6,0.07165581118897531,-0.06663430525804866,0.0018046452623820665,303.9148245833333,305.89268125,295.21546166666667,305.40543583333334,0.25236677958333337,0.21611894458333333,0.07252855,0.9086998999999999,3.0
Tamil Nadu_Perambalur,7,0.08391423123005852,-0.06663698339737793,0.003146376441539613,303.12273250000004,304.9628975,295.1580804166667,304.53238833333336,0.26159802125000003,0.2209045075,0.07252855,0.9086998999999999,3.0
Tamil Nadu_Perambalur,8,0.10208776361347793,-0.08073218383651688,0.003604427353062971,302.70314333333334,304.4611783333333,295.33917791666664,304.05230083333333,0.28205414833333337,0.24798243083333335,0.07252855,0.9086998999999999,3.0
Tamil Nadu_Perambalur,9,0.116222766082501,-0.09019831166369835,0.005397842455749871,302.4361195833333,304.30743041666665,295.54556291666665,303.8747495833333,0.30117858583333335,0.27518766375,0.07252855,0.9086998999999999,3.0
Tamil Nadu_Perambalur,10,0.17980081031176567,-0.09613662742776792,0.016280614462630134,301.02823374999997,302.79528999999997,295.91718166666664,302.4977975,0.34469849166666666,0.31919173666666667,0.07252855,0.9086998999999999,3.0
Tamil Nadu_Perambalur,11,0.19416518305661154,-0.0845736358314752,0.03390133374182364,299.0409,300.2566425,295.1595991666667,299.973995,0.3636705429166667,0.35586514249999995,0.07252855,0.9086998999999999,3.0
Tamil Nadu_Perambalur,12,0.08339356731509416,-0.07889470815037683,0.01334308041240694,297.97687333333334,299.11449250000004,293.57152583333334,298.7831320833333,0.3191396266666667,0.3251483725,0.07252855,0.9086998999999999,3.0
Tamil Nadu_Pudukkottai,1,0.02988007678140998,-0.0787484408986832,0.004815848896162296,298.59480708333336,300.103635,293.378895,299.60920166666665,0.21177696291666667,0.22983991666666667,0.03025709,0.9287274,2.3947368
Tamil Nadu_Pudukkottai,2,0.0200953606114732,-0.06220306752463021,0.0021076801017306797,299.90104083333335,302.10318875,293.41458083333333,301.3358866666667,0.16392560291666666,0.18093355291666668,0.03025709,0.9287274,2.3947368
Tamil Nadu_Pudukkottai,3,0.030568525197850197,-0.06266523017742046,0.00206245503363348,302.1419504166667,304.91808833333334,294.87453625,303.9579366666666,0.15681837041666666,0.16201370625,0.03025709,0.9287274,2.3947368
Tamil Nadu_Pudukkottai,4,0.054092517402750624,-0.06455733840994067,0.001925935874638139,303.9129483333333,306.81054750000004,296.85660958333335,305.94172041666667,0.17761458729166668,0.16678757041666667,0.03025709,0.9287274,2.3947368
Tamil Nadu_Pudukkottai,5,0.07329762515534331,-0.07709822612620575,0.002847535514888429,304.79811916666665,307.24898125,296.67718333333335,306.55424666666664,0.19780037583333332,0.17014706333333332,0.03025709,0.9287274,2.3947368
Tamil Nadu_Pudukkottai,6,0.07323615180212067,-0.07018587377388026,0.0012979068395679416,304.36505833333337,306.42333916666666,295.61285875,305.83564041666665,0.20963029874999997,0.16808577833333335,0.03025709,0.9287274,2.3947368
Tamil Nadu_Pudukkottai,7,0.06966216780710961,-0.0644245212412594,0.0011109155572530975,303.9480066666667,305.91757916666666,295.03044500000004,305.36355208333333,0.20573989166666665,0.1696397858333333,0.03025709,0.9287274,2.3947368
Tamil Nadu_Pudukkottai,8,0.0957497570076763,-0.07661904857862581,0.0017499756276985084,303.42315666666667,305.42598125,295.43439666666666,304.93053333333336,0.22655969958333333,0.1885220875,0.03025709,0.9287274,2.3947368
Tamil Nadu_Pudukkottai,9,0.11848808528156947,-0.08984973843325855,0.004046575052143396,302.86925291666665,304.9701845833333,296.07197375000004,304.49621541666664,0.25541186875,0.22411434833333332,0.03025709,0.9287274,2.3947368
Tamil Nadu_Pudukkottai,10,0.20015512727453214,-0.09732006865669969,0.013712351378330774,301.4516291666667,303.39274875,296.52142125,303.0595866666667,0.30190239333333335,0.2762297441666667,0.03025709,0.9287274,2.3947368
Tamil Nadu_Pudukkottai,11,0.23921481275465337,-0.08952528034569691,0.039530859162368814,299.64922375,300.93840458333335,295.91561041666665,300.61454625,0.33290266583333333,0.32465861958333336,0.03025709,0.9287274,2.3947368
Tamil Nadu_Pudukkottai,12,0.10766508486024878,-0.08751032139116428,0.017454681132193117,298.76375791666663,299.89031125,294.4717058333333,299.5086558333333,0.29327905291666667,0.29813654041666665,0.03025709,0.9287274,2.3947368
Tamil Nadu_Ramanathapuram,1,0.042714681740714334,-0.09789573504046223,0.003705804548215922,299.21006958333334,300.75419958333333,294.23230374999997,300.31917125,0.128761829375,0.14212663775,0.0008482091399999999,0.48241705,0.7941176
Tamil Nadu_Ramanathapuram,2,0.028043265405964687,-0.07601474785284756,0.0021857493535207867,300.18692208333334,302.3093025,294.53479250000004,301.6830391666667,0.100036640375,0.10712013420833333,0.0008482091399999999,0.48241705,0.7941176
Tamil Nadu_Ramanathapuram,3,0.03742846360849696,-0.07151285934378389,0.0016682411023202961,302.1370283333333,304.75241666666665,295.9526141666667,303.95069625,0.0954030215,0.09147293024999999,0.0008482091399999999,0.48241705,0.7941176
Tamil Nadu_Ramanathapuram,4,0.06778329679036683,-0.07545496177044693,0.001231309254308105,303.597905,306.37954833333333,297.63793166666665,305.65935666666667,0.11326344570833334,0.09908999254166667,0.0008482091399999999,0.48241705,0.7941176
Tamil Nadu_Ramanathapuram,5,0.0603663520814734,-0.08770482486579563,0.0012066311605470074,304.5263025,306.9045291666667,297.3679466666667,306.2168408333333,0.11433265791666668,0.09759412425000001,0.0008482091399999999,0.48241705,0.7941176
Tamil Nadu_Ramanathapuram,6,0.039842639380367424,-0.07767481118207793,0.0004617256288952008,304.34435333333334,306.45531708333334,296.08668666666665,305.8324775,0.10786908041666667,0.08347044687499999,0.0008482091399999999,0.48241705,0.7941176
Tamil Nadu_Ramanathapuram,7,0.044693080686556606,-0.07221879919719257,0.00039393177187933365,303.85565916666667,306.0040470833333,295.76413625000004,305.4376683333333,0.11137164720833333,0.08544268245833332,0.0008482091399999999,0.48241705,0.7941176
Tamil Nadu_Ramanathapuram,8,0.06099714839122796,-0.07998103951589043,0.0007199136728293378,303.37318,305.54177375,296.0404770833333,305.0183925,0.12643821583333334,0.09915596666666666,0.0008482091399999999,0.48241705,0.7941176
Tamil Nadu_Ramanathapuram,9,0.0727751740487292,-0.08208907092921432,0.0010373311681632507,303.0811425,305.37226208333334,296.3381166666667,304.87441916666666,0.13539606579166666,0.10636636145833334,0.0008482091399999999,0.48241705,0.7941176
Tamil Nadu_Ramanathapuram,10,0.21079255407676098,-0.09577602352752967,0.008739484770633934,301.71417375,303.81408541666667,296.90277541666666,303.50066291666667,0.18939657791666667,0.16507010833333333,0.0008482091399999999,0.48241705,0.7941176
Tamil Nadu_Ramanathapuram,11,0.25695039978018025,-0.10489165433682497,0.01242959328010325,300.06642,301.50368625,296.48620999999997,301.2245291666667,0.22614147041666666,0.22027512833333332,0.0008482091399999999,0.48241705,0.7941176
Tamil Nadu_Ramanathapuram,12,0.1352299602658604,-0.10917347565797775,0.009292802628986338,299.37942125,300.57628166666666,295.21087083333333,300.22314,0.18994585,0.196288516875,0.0008482091399999999,0.48241705,0.7941176
Tamil Nadu_Ranipet,1,0.01466888083268708,-0.0706332252399685,0.002039293457344815,297.21381333333335,298.90621708333333,292.1699970833333,298.40588958333336,0.23787499541666668,0.2648830075,0.03863224,0.9601512,2.857143
Tamil Nadu_Ranipet,2,0.008924179168123622,-0.059862243438449945,0.000838594074712836,298.77427625,300.99992416666663,292.06907416666667,300.18946416666665,0.18943132124999998,0.21763253208333333,0.03863224,0.9601512,2.857143
Tamil Nadu_Ranipet,3,0.016230803223038447,-0.06928492969988531,0.0010174030195507812,301.32502041666663,303.8847175,293.84994916666665,302.86005958333334,0.18698627583333335,0.21283997041666666,0.03863224,0.9601512,2.857143
Tamil Nadu_Ranipet,4,0.022498922662634823,-0.07296834170119833,0.0007158943612850132,303.7308083333333,306.46098083333334,296.07363208333334,305.46337166666666,0.19100452541666665,0.21409487416666664,0.03863224,0.9601512,2.857143
Tamil Nadu_Ranipet,5,0.05925968062668588,-0.09378367221991839,0.002128469089043916,305.16246625,307.26291791666665,295.7107295833333,306.5889016666667,0.22328754541666665,0.22394345333333332,0.03863224,0.9601512,2.857143
Tamil Nadu_Ranipet,6,0.0856569442839827,-0.09153201201115731,0.0015056984443617084,304.25629166666664,305.6185408333333,295.07539333333335,305.2097620833333,0.26948870708333333,0.2380000175,0.03863224,0.9601512,2.857143
Tamil Nadu_Ranipet,7,0.1029034746922358,-0.08785557915204356,0.002697178355257729,303.36988625,304.4151275,294.8161920833333,304.08267958333334,0.2848856591666667,0.256441425,0.03863224,0.9601512,2.857143
Tamil Nadu_Ranipet,8,0.1128093929122163,-0.0998288604993528,0.0036932443442575374,302.74305208333334,303.77430541666666,295.2039508333333,303.449165,0.30125371,0.27694448083333334,0.03863224,0.9601512,2.857143
Tamil Nadu_Ranipet,9,0.12957251034094946,-0.10683289990993212,0.004653845510347262,302.08276666666666,303.3777029166667,295.8611804166667,303.02466083333337,0.32284467666666666,0.30234341583333335,0.03863224,0.9601512,2.857143
Tamil Nadu_Ranipet,10,0.17834872676030497,-0.09992205488379109,0.020239571768475597,300.65864416666665,302.1963975,295.96151875000004,301.88303,0.34393464166666665,0.3270145395833333,0.03863224,0.9601512,2.857143
Tamil Nadu_Ranipet,11,0.17589313458302056,-0.08266533783171322,0.03348318610903784,298.621955,299.8381175,294.9140658333333,299.5773320833334,0.35832506625,0.35421860541666667,0.03863224,0.9601512,2.857143
Tamil Nadu_Ranipet,12,0.08177937311847923,-0.07894847993641933,0.014318102206175307,297.34197375,298.55223916666665,293.2361525,298.25673291666664,0.32152864124999997,0.3305090975,0.03863224,0.9601512,2.857143
Tamil Nadu_Salem,1,0.011491803120198507,-0.060695628014703545,0.0017176582527250542,297.06063458333335,298.34987541666663,290.24718083333335,297.82176458333333,0.17499727624999997,0.19951786000000002,0.34265967999999997,0.6416347,3.0
Tamil Nadu_Salem,2,0.010136830956203803,-0.05158934307110025,0.0007186424215887624,298.87069708333337,300.45686875,289.43563166666667,299.63940333333335,0.14606795250000001,0.16537652708333334,0.34265967999999997,0.6416347,3.0
Tamil Nadu_Salem,3,0.022020102421341354,-0.055512399148331754,0.0012648659413608686,301.4875825,303.44646083333333,290.48783166666664,302.43128041666665,0.14481312433333335,0.15655931708333334,0.34265967999999997,0.6416347,3.0
Tamil Nadu_Salem,4,0.05269613673590351,-0.06317419120023256,0.0038543153456771038,303.1992245833333,305.46603208333335,293.222865,304.56802583333337,0.17021086041666666,0.16779761541666668,0.34265967999999997,0.6416347,3.0
Tamil Nadu_Salem,5,0.10057765423941112,-0.08804310381431905,0.008026010232394234,302.8299133333333,304.80431833333336,294.8296525,304.28663375,0.22124658500000002,0.19474301333333333,0.34265967999999997,0.6416347,3.0
Tamil Nadu_Salem,6,0.09782039822312068,-0.08252094921772365,0.0060724958802893,301.25269625000004,302.7094504166667,294.93318625,302.3426191666667,0.2518858045833333,0.21151250166666666,0.34265967999999997,0.6416347,3.0
Tamil Nadu_Salem,7,0.10506678991077929,-0.07810397056164214,0.00643793325017815,300.60762458333335,301.86357541666666,294.5326654166667,301.4723075,0.25714720208333336,0.22010363541666667,0.34265967999999997,0.6416347,3.0
Tamil Nadu_Salem,8,0.11927060711119941,-0.08613748444865144,0.0100187037534548,300.3492708333333,301.5978470833333,294.64654916666666,301.18186,0.26698447333333336,0.23853404791666666,0.34265967999999997,0.6416347,3.0
Tamil Nadu_Salem,9,0.13665563572430978,-0.09333813592093061,0.01576095199652623,300.2101983333333,301.6135208333333,294.827535,301.15628291666667,0.28648857875,0.2651633104166667,0.34265967999999997,0.6416347,3.0
Tamil Nadu_Salem,10,0.18508435274513124,-0.09618700897650945,0.027837154280556758,299.48010708333334,300.8601433333333,294.76827291666666,300.44409125,0.31403426791666667,0.29271361041666666,0.34265967999999997,0.6416347,3.0
Tamil Nadu_Salem,11,0.1477116052046767,-0.08138192715705368,0.02961069333423433,298.0506491666667,299.0366975,293.60363875,298.63623291666664,0.313248995,0.30506581625,0.34265967999999997,0.6416347,3.0
Tamil Nadu_Salem,12,0.05646950131540501,-0.07318329268794813,0.009077880968826883,296.9640145833333,297.88255,291.7710575,297.48772333333335,0.2581139116666667,0.2640084458333333,0.34265967999999997,0.6416347,3.0
Tamil Nadu_Sivaganga,1,0.026377656276660316,-0.07256453317919896,0.0025384659021719836,298.9572058333333,300.55972,293.42591708333333,300.00958166666663,0.2038492133333333,0.22004548999999998,0.0015084402,0.96757126,2.3142858
Tamil Nadu_Sivaganga,2,0.02006260684811417,-0.05214544684956002,0.0010118867642398735,300.25002166666667,302.59801999999996,293.4931475,301.7889695833333,0.15938694791666666,0.17073650625,0.0015084402,0.96757126,2.3142858
Tamil Nadu_Sivaganga,3,0.032762981887268894,-0.04950362291371368,0.0011911789646170293,302.45894333333337,305.3604975,294.81734166666666,304.36142958333335,0.155221194,0.15215105083333333,0.0015084402,0.96757126,2.3142858
Tamil Nadu_Sivaganga,4,0.05759474180194952,-0.052513944465317715,0.001254354200597125,304.13426791666666,307.1616975,296.65846458333334,306.26119875,0.17911152541666667,0.1597179065,0.0015084402,0.96757126,2.3142858
Tamil Nadu_Sivaganga,5,0.07376752458609792,-0.06509688810668493,0.0017383575166907501,305.060775,307.74618541666666,296.39399875,306.95784958333337,0.19618940625,0.161631754375,0.0015084402,0.96757126,2.3142858
Tamil Nadu_Sivaganga,6,0.06412134214770045,-0.05402358205174091,0.0008374282322165041,304.7458966666667,307.1822458333333,295.29432625,306.4806908333333,0.19399055583333333,0.15214455875,0.0015084402,0.96757126,2.3142858
Tamil Nadu_Sivaganga,7,0.06742133696146384,-0.05398077892459691,0.0007607073976032114,304.19444833333336,306.613775,295.09938833333337,305.97656916666665,0.19888239666666666,0.15616864875,0.0015084402,0.96757126,2.3142858
Tamil Nadu_Sivaganga,8,0.0924659695641215,-0.06728992135807246,0.0014949656744438833,303.6739191666667,306.0789545833333,295.4843920833333,305.49457,0.22132779208333334,0.17854090708333334,0.0015084402,0.96757126,2.3142858
Tamil Nadu_Sivaganga,9,0.10355331178288901,-0.07393249790766274,0.002551436388102908,303.29649875,305.76793416666663,295.8481008333333,305.1946120833333,0.238125,0.19724980083333332,0.0015084402,0.96757126,2.3142858
Tamil Nadu_Sivaganga,10,0.20926278640884746,-0.08965629889765596,0.01880179785212017,301.69439708333334,303.799395,296.52742916666665,303.4404783333333,0.3008755766666667,0.26887974166666667,0.0015084402,0.96757126,2.3142858
Tamil Nadu_Sivaganga,11,0.21938072633929548,-0.08903749840101223,0.02832540394479105,299.87575375,301.13296958333336,296.0157804166667,300.7767395833333,0.3376425754166667,0.32718007083333334,0.0015084402,0.96757126,2.3142858
Tamil Nadu_Sivaganga,12,0.10773546002747021,-0.08742056791864643,0.014339742703090937,299.07069375,300.1930008333333,294.566835,299.75701458333333,0.2931710558333333,0.29675889958333335,0.0015084402,0.96757126,2.3142858
Tamil Nadu_Tenkasi,1,0.03025866082983456,-0.05718815340272456,0.005461812295531325,298.49885625,299.3967758333333,291.6681770833333,298.68428958333334,0.21163536041666667,0.21138508958333332,0.038159933,0.9618005,3.0
Tamil Nadu_Tenkasi,2,0.024945097412152437,-0.03746324331586944,0.002360663642245175,299.99534750000004,301.2624779166667,291.09202750000003,300.36358583333333,0.18136829541666666,0.17299478958333334,0.038159933,0.9618005,3.0
Tamil Nadu_Tenkasi,3,0.04637411874743213,-0.03780016624659759,0.0038430275653050625,301.9227054166667,303.4694775,292.3466925,302.44039291666667,0.18404567166666666,0.16560054666666665,0.038159933,0.9618005,3.0
Tamil Nadu_Tenkasi,4,0.08110729089821685,-0.048296460881829234,0.008349472841473417,302.7567433333333,304.44729083333334,294.69564125,303.55022375,0.21348757124999998,0.18718548708333335,0.038159933,0.9618005,3.0
