State,District,2000 - 2001,2001 - 2002,2002 - 2003,2003 - 2004,2004 - 2005,2005 - 2006,2006 - 2007,2007 - 2008,2008 - 2009,2009 - 2010,2010 - 2011,2011 - 2012,2012 - 2013,2013 - 2014,2014 - 2015,2015 - 2016,2016 - 2017,2017 - 2018,2018 - 2019,2019 - 2020,2020 - 2021,2021 - 2022,2022 - 2023
Karnataka,Haveri,0.56,0.54,0.44,0.29,0.9,0.73,0.68,0.85,0.73,0.73,0.41,1,0.7,0.86,1.15,0.29,0.5,0.58,0.73,0.64,0.79,0.88,0.5
Karnataka,Kalaburagi,0.76,0.78,0.72,0.47,0.43,0.7,0.66,0.68,0.63,0.75,0.56,0.67,0.93,1.15,0.75,0.42,0.96,0.9,0.94,0.84,0.68,0.7,0.76
Karnataka,Kolar,,,,,,,,,,,,,,,,,,,,1,0.67,1,1
Karnataka,Koppal,0.73,0.79,0.34,0.23,0.38,0.44,0.24,0.61,0.52,0.41,0.79,0.58,0.69,0.96,1.26,0.23,0.07,0.55,0.31,0.55,0.48,0.66,0.53
Karnataka,Mandya,,,,,,,,,,,,,,,,,,,0.67,0.89,0.7,0.86,
Karnataka,Mysuru,,,,,,,,,,,,,,,,,,,0.57,0.9,0.63,0.67,
Karnataka,Raichur,0.88,0.9,0.61,0.56,0.28,0.92,0.75,1.1,0.77,0.57,0.84,0.66,0.44,0.87,0.84,0.4,0.2,0.56,0.22,0.75,0.66,0.81,0.9
Karnataka,Ramanagara,,,,,,,,,,,,,,,,,,,0.67,1,0.6,1,
Karnataka,Shivamogga,,,,,0.5,1,,,,0.67,,0.67,0.6,0.75,0.82,,,,,,,,
Karnataka,Tumakuru,,0.8,,,0.5,0.73,0.71,,,,,,,0.81,,,,,0.58,0.91,0.67,0.76,0.89
Karnataka,Udupi,,,,,,,,,,,,,,,,,,,,,1,,
Karnataka,Uttara Kannada,1,,,,,,,,,,,,,,,,,,,,,,
Karnataka,Vijayanagar,,,,,,,,,,,,,,,,,,,,,,,0.91
Karnataka,Vijayapura,0.64,0.63,0.52,0.18,0.57,0.33,0.41,0.29,0.49,0.46,0.44,0.17,0.29,0.29,0.37,0.08,0.52,0.43,0.41,0.53,0.66,0.63,0.72
Karnataka,Yadgir,,,,,,,,,,,0.62,0.35,0.55,0.67,0.56,0.27,0.61,0.69,0.55,0.35,0.51,0.55,0.47
Madhya Pradesh,Anuppur,,,,,,,,,,,,,,,,0.55,0.6,,,,,,
Madhya Pradesh,Ashoknagar,,,,,0.24,,,,,,,,,,,,0.63,,,,,,
Madhya Pradesh,Balaghat,0.17,0.25,0.21,0.2,0.25,,,0.33,0.2,0.25,0.33,,,,,0.5,0.74,0.57,,,,,
Madhya Pradesh,Barwani,,,,,,,,,,,,,,,,,4.17,0.39,,,,,
Madhya Pradesh,Betul,0.2,0.19,0.19,0.22,,,,,,,,,,,,,0.55,,,,,,
Madhya Pradesh,Bhind,,,,,,,,,,,,,,,,,0.65,,,,,,
Madhya Pradesh,Bhopal,0.14,0.17,0.14,0.14,0.17,,,,,,,,,,,,0.3,,,,,,
Madhya Pradesh,Burhanpur,,,,,,,,,0.33,,,,,,,,,1,,,,,
Madhya Pradesh,Chhatarpur,,0.01,0.01,,,,,,,,,,,,0.33,0.6,0.2,,,,,,
Madhya Pradesh,Chhindwara,,0.38,,0.5,,,,0.33,,,0.33,0.4,0.44,0.53,,,0.11,,,,,,
Madhya Pradesh,Damoh,,,,,,,,,,,,,,,,,0.73,,,,,,
Madhya Pradesh,Datia,,,,,,,,,,,,,,,,,0.33,,,,,,
Madhya Pradesh,Dewas,,,,0.33,0.33,,0.5,,,,,,,,,,0.71,,0.33,0.33,,,
Madhya Pradesh,Dhar,,0.28,0.33,0.33,0.33,,0.33,,,0.5,0.28,0.19,0.36,,,,1,,0.25,1,,,
Madhya Pradesh,Dindori,,0.01,0.01,,,,,,,,,,,,,1,0.1,,,,,,
Madhya Pradesh,East Nimar,,0.25,0.2,0.33,0.5,,,0.29,,,,,,,,,1,,,,,,
Madhya Pradesh,Guna,0.25,0.24,0.09,0.23,0.24,,0.24,0.18,0.2,0.22,0.2,0.2,0.77,,,,0.5,,,,,,
Madhya Pradesh,Gwalior,,,,,,,,,,,,,,,,,0.2,,,,,,
Madhya Pradesh,Harda,0.33,,0.38,,,,,,,,,,,,,,0.3,,,,,,
Madhya Pradesh,Indore,,0.6,0.5,0.63,0.47,,0.55,0.57,,0.5,1,,0.5,,,,,,,,,,
Madhya Pradesh,Jabalpur,,,,,,,,,,,,,,,,,0.62,,,,,,
Madhya Pradesh,Katni,0.1,,,,,,,,,,,,,,,0.54,0.35,,,,,,
Madhya Pradesh,Khargone,,,,,,,,,,,,,,0.5,0.9,,,,,,,,
Madhya Pradesh,Mandla,,,,,,,,,,,,,,,,,1,,,,,,
Madhya Pradesh,Mandsaur,0.4,0.5,0.25,0.42,0.33,,0.5,,0.5,,,,,,,,0.83,,,,,,
Madhya Pradesh,Morena,,,,,,,,,,,,,,,,,0.69,,,,,,
Madhya Pradesh,Narmadapuram,0.25,0.4,,,,,,0.37,,0.25,,,,,,,0.63,,,,,,
Madhya Pradesh,Neemuch,,,0.5,0.42,0.29,,,,,,,,,,,,0.67,,,,,,
Madhya Pradesh,Panna,,,0.25,0.25,,,,,,,,,,,,,0.79,,,,,,
Madhya Pradesh,Raisen,0.5,,,,,,,,,,,,,,,,0.7,,,,,,
Madhya Pradesh,Rajgarh,0.33,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,Ratlam,,0.5,0.41,0.43,0.47,,0.5,1,0.36,,,,,,,,0.66,,,,,,
Madhya Pradesh,Rewa,,,,,,,,,,0.2,,,,,,,1.06,,,,,,
Madhya Pradesh,Sagar,0.17,0.2,0.14,0.25,0.27,,0.33,,,,,,,,,0.55,0.11,,0.5,,,,
Madhya Pradesh,Satna,,,,,,,,,,,,,,,,,0.12,,,,,,
Madhya Pradesh,Sehore,,,,,,,,,,,,,,,,,0.33,,,,,,
Madhya Pradesh,Seoni,0.17,0.29,0.25,0.33,0.2,,0.25,,,0.25,,,,,,,0.83,,,,,,
Madhya Pradesh,Shahdol,,,,,,,,,,,,0.25,0.25,,,0.57,0.45,,,,,,
Madhya Pradesh,Shajapur,,,,0.5,,,,,,,,,,,,,,,0.5,0.29,,,
Madhya Pradesh,Sheopur,,,,,,,,,,,,,,,,,0.3,,,,,,
Madhya Pradesh,Shivpuri,0.33,0.01,,0.25,0.17,,,,,0.23,,,,,,,0.25,,,,,,
Madhya Pradesh,Sidhi,0.1,,,,,,,,,,,,,,,,1.18,,,,,,
Madhya Pradesh,Singrauli,,,,,,,,,,,,,,,,,0.9,,,,,,
Madhya Pradesh,Tikamgarh,0.1,,,,,,,,,,,,,,,,0.33,,,,,,
Madhya Pradesh,Ujjain,,0.5,0.01,0.24,0.26,,0.25,,,,,,,,,,1,,,,,,
Madhya Pradesh,Umaria,,,,,,,,,,,,,,,,,1.13,,,,,,
Madhya Pradesh,Vidisha,0.1,0.01,0.01,,,,,,,,,,,,,,0.25,,,,,,
